"transab_cat","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1986","Couple + C. GT 16 ","Rural Area","160","0.415550596140687","0.366640197520549","0.464460994760826"
"No transfer dependency","1986","Couple + C. LE and GT 16","Urban Area","14","","",""
"No transfer dependency","1986","Couple + C. LE and GT 16","Rural Area","10","","",""
"Very low transfer dependency","1986","1-pers.-HH","Urban Area","96","0.0932286448831446","0.0746614531740659","0.111795836592223"
"Very low transfer dependency","1986","1-pers.-HH","Rural Area","21","","",""
"Very low transfer dependency","1986","(Married) couple without C. ","Urban Area","219","0.0933858147416911","0.0803468738364672","0.106424755646915"
"Very low transfer dependency","1986","(Married) couple without C. ","Rural Area","65","0.126425782221341","0.0951237977586953","0.157727766683988"
"Very low transfer dependency","1986","Single parent ","Urban Area","212","0.544455673127267","0.494514010728006","0.594397335526528"
"Very low transfer dependency","1986","Single parent ","Rural Area","63","0.536489621933007","0.443721877872283","0.62925736599373"
"Very low transfer dependency","1986","Couple + C. LE 16 ","Urban Area","1690","0.925815687062026","0.913892910310001","0.937738463814051"
"Very low transfer dependency","1986","Couple + C. LE 16 ","Rural Area","423","0.885206571439976","0.856718937434538","0.913694205445415"
"Very low transfer dependency","1986","Couple + C. GT 16 ","Urban Area","931","0.626680993147232","0.602333076698528","0.651028909595937"
"Very low transfer dependency","1986","Couple + C. GT 16 ","Rural Area","222","0.562215207423386","0.512977546012941","0.611452868833831"
"Very low transfer dependency","1986","Couple + C. LE and GT 16","Urban Area","955","0.946248423868733","0.932502117850151","0.959994729887314"
"Very low transfer dependency","1986","Couple + C. LE and GT 16","Rural Area","275","0.90297289621405","0.869808563065675","0.936137229362425"
"Low transfer dependency","1986","1-pers.-HH","Urban Area","20","","",""
"Low transfer dependency","1986","1-pers.-HH","Rural Area","8","","",""
"Low transfer dependency","1986","(Married) couple without C. ","Urban Area","36","0.018351421428221","0.0123368666953986","0.0243659761610434"
"Low transfer dependency","1986","(Married) couple without C. ","Rural Area","2","","",""
"Low transfer dependency","1986","Single parent ","Urban Area","30","0.0738937092102437","0.0476605520972467","0.100126866323241"
"Low transfer dependency","1986","Single parent ","Rural Area","9","","",""
"Low transfer dependency","1986","Couple + C. LE 16 ","Urban Area","66","0.0311828828638163","0.0232754022035037","0.0390903635241289"
"Low transfer dependency","1986","Couple + C. LE 16 ","Rural Area","29","","",""
"Low transfer dependency","1986","Couple + C. GT 16 ","Urban Area","35","0.0245809263417486","0.0167863370787827","0.0323755156047146"
"Low transfer dependency","1986","Couple + C. GT 16 ","Rural Area","6","","",""
"Low transfer dependency","1986","Couple + C. LE and GT 16","Urban Area","47","0.0259418447898337","0.0162528060279233","0.0356308835517441"
"Low transfer dependency","1986","Couple + C. LE and GT 16","Rural Area","10","","",""
"High transfer dependency","1986","1-pers.-HH","Urban Area","21","","",""
"High transfer dependency","1986","1-pers.-HH","Rural Area","4","","",""
"High transfer dependency","1986","(Married) couple without C. ","Urban Area","24","","",""
"High transfer dependency","1986","(Married) couple without C. ","Rural Area","2","","",""
"High transfer dependency","1986","Single parent ","Urban Area","4","","",""
"High transfer dependency","1986","Single parent ","Rural Area","2","","",""
"High transfer dependency","1986","Couple + C. LE 16 ","Urban Area","12","","",""
"High transfer dependency","1986","Couple + C. LE 16 ","Rural Area","10","","",""
"High transfer dependency","1986","Couple + C. GT 16 ","Urban Area","12","","",""
"High transfer dependency","1986","Couple + C. GT 16 ","Rural Area","2","","",""
"High transfer dependency","1986","Couple + C. LE and GT 16","Urban Area","12","","",""
"High transfer dependency","1986","Couple + C. LE and GT 16","Rural Area","8","","",""
"Very high transfer dependency","1986","1-pers.-HH","Urban Area","19","","",""
"Very high transfer dependency","1986","1-pers.-HH","Rural Area","4","","",""
"Very high transfer dependency","1986","(Married) couple without C. ","Urban Area","10","","",""
"Very high transfer dependency","1986","(Married) couple without C. ","Rural Area","2","","",""
"Very high transfer dependency","1986","Single parent ","Urban Area","8","","",""
"Very high transfer dependency","1986","Single parent ","Rural Area","","","",""
"Very high transfer dependency","1986","Couple + C. LE 16 ","Urban Area","10","","",""
"Very high transfer dependency","1986","Couple + C. LE 16 ","Rural Area","","","",""
"Very high transfer dependency","1986","Couple + C. GT 16 ","Urban Area","11","","",""
"Very high transfer dependency","1986","Couple + C. GT 16 ","Rural Area","","","",""
"Very high transfer dependency","1986","Couple + C. LE and GT 16","Urban Area","3","","",""
"Very high transfer dependency","1986","Couple + C. LE and GT 16","Rural Area","","","",""
"Complete transfer dependency","1986","1-pers.-HH","Urban Area","18","","",""
"Complete transfer dependency","1986","1-pers.-HH","Rural Area","5","","",""
"Complete transfer dependency","1986","(Married) couple without C. ","Urban Area","10","","",""
"Complete transfer dependency","1986","(Married) couple without C. ","Rural Area","2","","",""
"Complete transfer dependency","1986","Single parent ","Urban Area","13","","",""
"Complete transfer dependency","1986","Single parent ","Rural Area","2","","",""
"Complete transfer dependency","1986","Couple + C. LE 16 ","Urban Area","18","","",""
"Complete transfer dependency","1986","Couple + C. LE 16 ","Rural Area","9","","",""
"Complete transfer dependency","1986","Couple + C. GT 16 ","Urban Area","4","","",""
"Complete transfer dependency","1986","Couple + C. GT 16 ","Rural Area","","","",""
"Complete transfer dependency","1986","Couple + C. LE and GT 16","Urban Area","3","","",""
"Complete transfer dependency","1986","Couple + C. LE and GT 16","Rural Area","3","","",""
"No transfer dependency","1987","1-pers.-HH","Urban Area","765","0.831845933490846","0.807949757095193","0.855742109886499"
"No transfer dependency","1987","1-pers.-HH","Rural Area","126","0.786698736112908","0.724194844306908","0.849202627918909"
"No transfer dependency","1987","(Married) couple without C. ","Urban Area","1601","0.878991237827733","0.864193580928855","0.893788894726611"
"No transfer dependency","1987","(Married) couple without C. ","Rural Area","388","0.877620415833394","0.847407911968089","0.907832919698699"
"No transfer dependency","1987","Single parent ","Urban Area","116","0.343305979820422","0.295503469827944","0.391108489812901"
"No transfer dependency","1987","Single parent ","Rural Area","29","","",""
"No transfer dependency","1987","Couple + C. LE 16 ","Urban Area","42","0.025923317972786","0.0186207836231124","0.0332258523224597"
"No transfer dependency","1987","Couple + C. LE 16 ","Rural Area","10","","",""
"No transfer dependency","1987","Couple + C. GT 16 ","Urban Area","559","0.369197783312736","0.345016545764723","0.393379020860749"
"No transfer dependency","1987","Couple + C. GT 16 ","Rural Area","155","0.426980054074716","0.377377381908636","0.476582726240796"
"No transfer dependency","1987","Couple + C. LE and GT 16","Urban Area","19","","",""
"No transfer dependency","1987","Couple + C. LE and GT 16","Rural Area","7","","",""
"Very low transfer dependency","1987","1-pers.-HH","Urban Area","106","0.098812095199296","0.0797458132729518","0.11787837712564"
"Very low transfer dependency","1987","1-pers.-HH","Rural Area","26","","",""
"Very low transfer dependency","1987","(Married) couple without C. ","Urban Area","201","0.093087323377408","0.0799041404310403","0.106270506323776"
