"transab_cat","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1987","Part Time","Male","51","0.0746802846139915","0.0530619212037384","0.0962986480242446","2"
"Low transfer dependency","1987","Not Working","Male","57","0.0429622354919428","0.0309684881934234","0.0549559827904621","2"
"Low transfer dependency","1987","Not Working","Female","110","0.0332601550074887","0.0263315605552046","0.0401887494597729","2"
"Low transfer dependency","1987","Part Time","Female","53","0.0465385623765256","0.0344683973407771","0.058608727412274","2"
"No transfer dependency","1987","Full Time","Male","1204","0.44283617405104","0.425779845544185","0.459892502557895","0"
"No transfer dependency","1987","Full Time","Female","725","0.638304353891556","0.61252969051169","0.664079017271422","0"
"No transfer dependency","1987","Part Time","Male","155","0.33879283106629","0.299869517407012","0.377716144725568","0"
"No transfer dependency","1987","Part Time","Female","294","0.301851554794717","0.275547314919323","0.32815579467011","0"
"No transfer dependency","1987","Not Working","Male","565","0.64406273555154","0.615742442938821","0.67238302816426","0"
"No transfer dependency","1987","Not Working","Female","1081","0.574273931150676","0.55516867471577","0.593379187585583","0"
"Very high transfer dependency","1987","Part Time","Female","8","","","","4"
"Very high transfer dependency","1987","Full Time","Male","2","","","","4"
"Very high transfer dependency","1987","Full Time","Female","","","","","4"
"Very high transfer dependency","1987","Part Time","Male","3","","","","4"
"Very high transfer dependency","1987","Not Working","Male","23","","","","4"
"Very high transfer dependency","1987","Not Working","Female","28","","","","4"
"Very low transfer dependency","1987","Full Time","Male","1996","0.543245727944636","0.526141163490112","0.560350292399161","1"
"Very low transfer dependency","1987","Part Time","Female","800","0.630818556069747","0.603166506790304","0.658470605349189","1"
"Very low transfer dependency","1987","Not Working","Male","396","0.249625448630207","0.224026012549941","0.275224884710472","1"
"Very low transfer dependency","1987","Full Time","Female","585","0.338622909094901","0.313237147325188","0.364008670864613","1"
"Very low transfer dependency","1987","Part Time","Male","335","0.54219760721329","0.501225174506366","0.583170039920214","1"
"Very low transfer dependency","1987","Not Working","Female","1273","0.357868392019454","0.339345794377202","0.376390989661706","1"
"Complete transfer dependency","1988","Full Time","Male","","","","","5"
"Complete transfer dependency","1988","Full Time","Female","","","","","5"
"Complete transfer dependency","1988","Part Time","Male","","","","","5"
"Complete transfer dependency","1988","Part Time","Female","","","","","5"
"Complete transfer dependency","1988","Not Working","Male","25","","","","5"
"Complete transfer dependency","1988","Not Working","Female","42","0.0145231773944463","0.00973691506049482","0.0193094397283979","5"
"High transfer dependency","1988","Full Time","Female","3","","","","3"
"High transfer dependency","1988","Not Working","Female","27","","","","3"
"High transfer dependency","1988","Not Working","Male","24","","","","3"
"High transfer dependency","1988","Full Time","Male","2","","","","3"
"High transfer dependency","1988","Part Time","Male","13","","","","3"
"High transfer dependency","1988","Part Time","Female","16","","","","3"
"Low transfer dependency","1988","Part Time","Male","48","0.0679307542014169","0.0473637291970025","0.0884977792058314","2"
"Low transfer dependency","1988","Full Time","Male","43","0.0129698166436331","0.00894978705298386","0.0169898462342824","2"
"Low transfer dependency","1988","Full Time","Female","22","","","","2"
"Low transfer dependency","1988","Part Time","Female","46","0.0429367531252052","0.0313508644939631","0.0545226417564472","2"
"Low transfer dependency","1988","Not Working","Male","53","0.0297869365228647","0.0194550910925399","0.0401187819531895","2"
"Low transfer dependency","1988","Not Working","Female","91","0.0277097696476915","0.0211429227831376","0.0342766165122454","2"
"No transfer dependency","1988","Full Time","Male","1167","0.470750686884417","0.453016031754429","0.488485342014405","0"
"No transfer dependency","1988","Full Time","Female","686","0.657702497528296","0.631304024235337","0.684100970821256","0"
"No transfer dependency","1988","Part Time","Male","161","0.357087422587172","0.317924291481571","0.396250553692773","0"
"No transfer dependency","1988","Part Time","Female","307","0.327489331589174","0.300667242686913","0.354311420491435","0"
"No transfer dependency","1988","Not Working","Male","564","0.666560948284174","0.637908641964836","0.695213254603512","0"
"No transfer dependency","1988","Not Working","Female","1022","0.583919047796426","0.564199011556959","0.603639084035893","0"
"Very high transfer dependency","1988","Part Time","Female","7","","","","4"
"Very high transfer dependency","1988","Full Time","Male","1","","","","4"
"Very high transfer dependency","1988","Full Time","Female","1","","","","4"
"Very high transfer dependency","1988","Part Time","Male","7","","","","4"
"Very high transfer dependency","1988","Not Working","Male","25","","","","4"
"Very high transfer dependency","1988","Not Working","Female","35","0.0138983822926193","0.00921472152077699","0.0185820430644616","4"
"Very low transfer dependency","1988","Part Time","Female","800","0.610048075921358","0.582171977141932","0.637924174700784","1"
"Very low transfer dependency","1988","Part Time","Male","346","0.540418422207037","0.499684095044962","0.581152749369113","1"
"Very low transfer dependency","1988","Full Time","Male","1830","0.515368942441538","0.497612258782487","0.53312562610059","1"
"Very low transfer dependency","1988","Not Working","Male","349","0.246385851781948","0.220197158708142","0.272574544855754","1"
"Very low transfer dependency","1988","Full Time","Female","529","0.323594042413047","0.297564521726295","0.3496235630998","1"
"Very low transfer dependency","1988","Not Working","Female","1183","0.34867824223452","0.329612545211859","0.367743939257182","1"
"Complete transfer dependency","1989","Part Time","Male","","","","","5"
"Complete transfer dependency","1989","Not Working","Female","45","0.0199277621807135","0.0141938824348953","0.0256616419265317","5"
"Complete transfer dependency","1989","Full Time","Female","","","","","5"
"Complete transfer dependency","1989","Full Time","Male","","","","","5"
"Complete transfer dependency","1989","Not Working","Male","36","0.0290044281772026","0.0187507145927122","0.039258141761693","5"
"Complete transfer dependency","1989","Part Time","Female","","","","","5"
"High transfer dependency","1989","Full Time","Male","4","","","","3"
"High transfer dependency","1989","Full Time","Female","6","","","","3"
"High transfer dependency","1989","Not Working","Male","22","","","","3"
"High transfer dependency","1989","Not Working","Female","36","0.013268138053409","0.00857357866148671","0.0179626974453313","3"
"High transfer dependency","1989","Part Time","Male","18","","","","3"
"High transfer dependency","1989","Part Time","Female","16","","","","3"
"Low transfer dependency","1989","Full Time","Male","42","0.0105776797642263","0.00690771425829592","0.0142476452701567","2"
"Low transfer dependency","1989","Full Time","Female","20","","","","2"
"Low transfer dependency","1989","Part Time","Male","46","0.0784365431129262","0.0545581303305671","0.102314955895285","2"
"Low transfer dependency","1989","Part Time","Female","45","0.0345422497650115","0.0238757766655595","0.0452087228644636","2"
"Low transfer dependency","1989","Not Working","Male","52","0.0277927024509378","0.0177491990515326","0.037836205850343","2"
"Low transfer dependency","1989","Not Working","Female","85","0.0263313995416233","0.0197618918591129","0.0329009072241336","2"
"No transfer dependency","1989","Full Time","Male","1180","0.477459573434316","0.459540969344423","0.495378177524208","0"
"No transfer dependency","1989","Part Time","Female","295","0.316961027584476","0.28978383631488","0.344138218854073","0"
"No transfer dependency","1989","Not Working","Male","541","0.648084127793459","0.618904783810235","0.677263471776682","0"
"No transfer dependency","1989","Full Time","Female","724","0.670662394740843","0.64484534993441","0.696479439547277","0"
"No transfer dependency","1989","Part Time","Male","146","0.358358662848194","0.315770517094555","0.400946808601832","0"
"No transfer dependency","1989","Not Working","Female","983","0.587131861746612","0.566931284504244","0.60733243898898","0"
"Very high transfer dependency","1989","Full Time","Male","1","","","","4"
"Very high transfer dependency","1989","Full Time","Female","","","","","4"
"Very high transfer dependency","1989","Part Time","Male","2","","","","4"
"Very high transfer dependency","1989","Part Time","Female","7","","","","4"
"Very high transfer dependency","1989","Not Working","Male","20","","","","4"
"Very high transfer dependency","1989","Not Working","Female","26","","","","4"
"Very low transfer dependency","1989","Part Time","Female","763","0.623447342077081","0.595147002715524","0.651747681438638","1"
"Very low transfer dependency","1989","Part Time","Male","275","0.513472633794598","0.469081534671224","0.557863732917971","1"
"Very low transfer dependency","1989","Full Time","Male","1758","0.510641631680541","0.492708854901617","0.528574408459464","1"
"Very low transfer dependency","1989","Full Time","Female","523","0.309710003237344","0.284310378776693","0.335109627697995","1"
"Very low transfer dependency","1989","Not Working","Male","358","0.26321923120326","0.236312040761321","0.2901264216452","1"
"Very low transfer dependency","1989","Not Working","Female","1107","0.341460797688672","0.322004889289301","0.360916706088043","1"
"Complete transfer dependency","1990","Part Time","Male","","","","","5"
"Complete transfer dependency","1990","Full Time","Female","","","","","5"
"Complete transfer dependency","1990","Not Working","Female","30","0.0142661590735101","0.00928817837246838","0.0192441397745518","5"
"Complete transfer dependency","1990","Full Time","Male","","","","","5"
"Complete transfer dependency","1990","Part Time","Female","","","","","5"
"Complete transfer dependency","1990","Not Working","Male","23","","","","5"
"High transfer dependency","1990","Full Time","Male","4","","","","3"
"High transfer dependency","1990","Full Time","Female","5","","","","3"
"High transfer dependency","1990","Not Working","Male","24","","","","3"
"High transfer dependency","1990","Not Working","Female","30","0.0125434170264402","0.00787158973242876","0.0172152443204517","3"
"High transfer dependency","1990","Part Time","Male","17","","","","3"
"High transfer dependency","1990","Part Time","Female","19","","","","3"
"Low transfer dependency","1990","Full Time","Male","36","0.0102159268711087","0.00654661774885016","0.0138852359933672","2"
"Low transfer dependency","1990","Full Time","Female","10","","","","2"
"Low transfer dependency","1990","Part Time","Male","42","0.0729250975915027","0.0494680681336811","0.0963821270493243","2"
"Low transfer dependency","1990","Part Time","Female","35","0.0321582241565344","0.0218353680498392","0.0424810802632297","2"
"Low transfer dependency","1990","Not Working","Male","40","0.0260314542986293","0.0162163663660259","0.0358465422312328","2"
"Low transfer dependency","1990","Not Working","Female","84","0.0286898482794682","0.0216823510631072","0.0356973454958293","2"
"No transfer dependency","1990","Full Time","Male","1211","0.501587604811456","0.483342641376258","0.519832568246654","0"
"No transfer dependency","1990","Not Working","Male","572","0.679548308200208","0.650783335552501","0.708313280847916","0"
"No transfer dependency","1990","Part Time","Female","307","0.329995620333323","0.302482200743939","0.357509039922706","0"
"No transfer dependency","1990","Part Time","Male","149","0.370702087184275","0.327129058000815","0.414275116367734","0"
"No transfer dependency","1990","Full Time","Female","742","0.708449838238673","0.682978834558431","0.733920841918915","0"
"No transfer dependency","1990","Not Working","Female","996","0.592663034444266","0.57203771534901","0.613288353539522","0"
"Very high transfer dependency","1990","Full Time","Male","1","","","","4"
"Very high transfer dependency","1990","Full Time","Female","","","","","4"
"Very high transfer dependency","1990","Part Time","Male","5","","","","4"
"Very high transfer dependency","1990","Part Time","Female","5","","","","4"
"Very high transfer dependency","1990","Not Working","Male","18","","","","4"
"Very high transfer dependency","1990","Not Working","Female","18","","","","4"
"Very low transfer dependency","1990","Part Time","Female","756","0.615144871587098","0.586674770742283","0.643614972431914","1"
"Very low transfer dependency","1990","Part Time","Male","259","0.498307904840972","0.45320083573899","0.543414973942954","1"
"Very low transfer dependency","1990","Full Time","Male","1633","0.486259552547611","0.468021387769588","0.504497717325635","1"
"Very low transfer dependency","1990","Full Time","Female","466","0.283630771957944","0.258368058441464","0.308893485474423","1"
"Very low transfer dependency","1990","Not Working","Male","334","0.245296081864493","0.218774090996336","0.271818072732651","1"
"Very low transfer dependency","1990","Not Working","Female","1022","0.344844578173754","0.324891784345522","0.364797372001986","1"
"Complete transfer dependency","1991","Full Time","Male","","","","","5"
"Complete transfer dependency","1991","Full Time","Female","","","","","5"
"Complete transfer dependency","1991","Part Time","Male","","","","","5"
"Complete transfer dependency","1991","Part Time","Female","","","","","5"
"Complete transfer dependency","1991","Not Working","Male","28","","","","5"
"Complete transfer dependency","1991","Not Working","Female","30","0.0125900572195226","0.00784948001538419","0.0173306344236611","5"
"High transfer dependency","1991","Not Working","Female","34","0.0166373374340035","0.0111989844390512","0.0220756904289558","3"
"High transfer dependency","1991","Full Time","Male","2","","","","3"
"High transfer dependency","1991","Not Working","Male","22","","","","3"
"High transfer dependency","1991","Full Time","Female","4","","","","3"
"High transfer dependency","1991","Part Time","Male","13","","","","3"
"High transfer dependency","1991","Part Time","Female","16","","","","3"
"Low transfer dependency","1991","Full Time","Male","43","0.0121195590108075","0.00808963303526273","0.0161494849863523","2"
"Low transfer dependency","1991","Full Time","Female","23","","","","2"
"Low transfer dependency","1991","Part Time","Male","39","0.0782375560132092","0.0544113264167293","0.102063785609689","2"
"Low transfer dependency","1991","Part Time","Female","34","0.0263575512198857","0.0169965110398559","0.0357185913999156","2"
"Low transfer dependency","1991","Not Working","Male","51","0.0316146412693126","0.0207263309121995","0.0425029516264257","2"
"Low transfer dependency","1991","Not Working","Female","90","0.0340432526612228","0.0263330998066543","0.0417534055157913","2"
"No transfer dependency","1991","Full Time","Male","1227","0.508860901580504","0.490448804234498","0.527272998926511","0"
"No transfer dependency","1991","Full Time","Female","777","0.710586830762288","0.685264104583789","0.735909556940787","0"
"No transfer dependency","1991","Part Time","Male","176","0.404282031004569","0.360740795368699","0.447823266640438","0"
"No transfer dependency","1991","Part Time","Female","324","0.341992972928091","0.314272815852787","0.369713130003396","0"
"No transfer dependency","1991","Not Working","Male","572","0.703517242146364","0.675096896942386","0.731937587350341","0"
"No transfer dependency","1991","Not Working","Female","1005","0.60798220308996","0.587225090116623","0.628739316063296","0"
"Very high transfer dependency","1991","Full Time","Male","","","","","4"
"Very high transfer dependency","1991","Part Time","Female","6","","","","4"
"Very high transfer dependency","1991","Part Time","Male","3","","","","4"
"Very high transfer dependency","1991","Full Time","Female","","","","","4"
"Very high transfer dependency","1991","Not Working","Male","16","","","","4"
"Very high transfer dependency","1991","Not Working","Female","16","","","","4"
"Very low transfer dependency","1991","Part Time","Female","745","0.612338691615482","0.583868269296341","0.640809113934624","1"
"Very low transfer dependency","1991","Part Time","Male","257","0.485831224854346","0.441487339636714","0.530175110071977","1"
"Very low transfer dependency","1991","Full Time","Male","1560","0.47825313152069","0.459855568330846","0.496650694710534","1"
"Very low transfer dependency","1991","Full Time","Female","428","0.273430380241529","0.24854153555289","0.298319224930169","1"
"Very low transfer dependency","1991","Not Working","Male","303","0.213717228732616","0.188207760714002","0.239226696751231","1"
"Very low transfer dependency","1991","Not Working","Female","950","0.321300854930148","0.301446160137187","0.341155549723109","1"
"Complete transfer dependency","1992","Full Time","Male","","","","","5"
"Complete transfer dependency","1992","Full Time","Female","","","","","5"
"Complete transfer dependency","1992","Part Time","Male","","","","","5"
"Complete transfer dependency","1992","Part Time","Female","","","","","5"
"Complete transfer dependency","1992","Not Working","Male","25","","","","5"
"Complete transfer dependency","1992","Not Working","Female","29","","","","5"
"High transfer dependency","1992","Full Time","Male","13","","","","3"
"High transfer dependency","1992","Not Working","Male","40","0.0224517714878763","0.0143798792362118","0.0305236637395408","3"
"High transfer dependency","1992","Not Working","Female","48","0.0140390490652297","0.00962249177131197","0.0184556063591475","3"
"High transfer dependency","1992","Full Time","Female","7","","","","3"
"High transfer dependency","1992","Part Time","Male","21","","","","3"
"High transfer dependency","1992","Part Time","Female","39","0.0227307561017395","0.0154662325240177","0.0299952796794613","3"
"Low transfer dependency","1992","Full Time","Male","140","0.024720167394241","0.0199155594577171","0.0295247753307648","2"
"Low transfer dependency","1992","Full Time","Female","52","0.0164802887482708","0.0110595739886742","0.0219010035078675","2"
"Low transfer dependency","1992","Part Time","Male","89","0.102051513804428","0.0801519483165828","0.123951079292274","2"
"Low transfer dependency","1992","Part Time","Female","113","0.0522763446316154","0.0414274236084844","0.0631252656547465","2"
"Low transfer dependency","1992","Not Working","Male","83","0.0320461264715455","0.022449997967625","0.041642254975466","2"
"Low transfer dependency","1992","Not Working","Female","165","0.0341458071324341","0.0273285505257314","0.0409630637391368","2"
"No transfer dependency","1992","Full Time","Male","1547","0.471369628615984","0.45592332800714","0.486815929224828","0"
"No transfer dependency","1992","Part Time","Female","381","0.301825178980036","0.279450701303698","0.324199656656373","0"
"No transfer dependency","1992","Not Working","Male","742","0.68328176300651","0.657935297707041","0.708628228305979","0"
"No transfer dependency","1992","Full Time","Female","1035","0.614603504783393","0.593881393132667","0.63532561643412","0"
"No transfer dependency","1992","Part Time","Male","203","0.353533356305337","0.318948313322396","0.388118399288278","0"
"No transfer dependency","1992","Not Working","Female","1251","0.585903844561351","0.567413332498412","0.60439435662429","0"
"Very high transfer dependency","1992","Full Time","Male","4","","","","4"
"Very high transfer dependency","1992","Part Time","Female","8","","","","4"
"Very high transfer dependency","1992","Full Time","Female","3","","","","4"
"Very high transfer dependency","1992","Part Time","Male","6","","","","4"
"Very high transfer dependency","1992","Not Working","Male","24","","","","4"
"Very high transfer dependency","1992","Not Working","Female","35","0.0144323561802084","0.00995525403374588","0.018909458326671","4"
"Very low transfer dependency","1992","Part Time","Female","1076","0.618478928109576","0.594802575478237","0.642155280740916","1"
"Very low transfer dependency","1992","Part Time","Male","415","0.509786862670794","0.473621997219385","0.545951728122203","1"
"Very low transfer dependency","1992","Full Time","Male","2308","0.499885371502031","0.484413686249904","0.515357056754157","1"
"Very low transfer dependency","1992","Full Time","Female","1022","0.364468834141123","0.343976980853984","0.384960687428262","1"
"Very low transfer dependency","1992","Not Working","Male","380","0.224729046116372","0.201986592711192","0.247471499521553","1"
"Very low transfer dependency","1992","Not Working","Female","1198","0.341375347058079","0.323575337563091","0.359175356553066","1"
"Complete transfer dependency","1993","Full Time","Female","","","","","5"
"Complete transfer dependency","1993","Full Time","Male","","","","","5"
"Complete transfer dependency","1993","Part Time","Male","","","","","5"
"Complete transfer dependency","1993","Part Time","Female","","","","","5"
"Complete transfer dependency","1993","Not Working","Male","20","","","","5"
"Complete transfer dependency","1993","Not Working","Female","37","0.0119290699342182","0.00796813889735924","0.0158900009710771","5"
"High transfer dependency","1993","Full Time","Male","19","","","","3"
"High transfer dependency","1993","Full Time","Female","12","","","","3"
"High transfer dependency","1993","Part Time","Male","41","0.0527918552958255","0.0366365429822632","0.0689471676093878","3"
"High transfer dependency","1993","Part Time","Female","31","0.0184387943030164","0.011855081745159","0.0250225068608737","3"
"High transfer dependency","1993","Not Working","Male","44","0.022955714762991","0.0151962670950426","0.0307151624309393","3"
