"transab_cat","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1986","no migration background","Urban Area","130","0.0231818118323443","0.0192271153675704","0.0271365082971183","2"
"Low transfer dependency","1986","indirect migration background","Rural Area","","","","","2"
"Low transfer dependency","1986","direct migration background","Urban Area","109","0.0427764988216767","0.0346451954586123","0.0509078021847412","2"
"Low transfer dependency","1986","no migration background","Rural Area","54","0.0324244490130319","0.0240803720257827","0.040768526000281","2"
"Low transfer dependency","1986","direct migration background","Rural Area","31","0.056974199746922","0.0326208125699053","0.0813275869239387","2"
"No transfer dependency","1986","no migration background","Urban Area","2593","0.525828755206893","0.512706080254791","0.538951430158994","0"
"No transfer dependency","1986","no migration background","Rural Area","673","0.45566475059072","0.4322032652742","0.47912623590724","0"
"No transfer dependency","1986","direct migration background","Urban Area","620","0.37124659393791","0.351832269440991","0.390660918434829","0"
"No transfer dependency","1986","direct migration background","Rural Area","87","0.305367798341427","0.256978698391121","0.353756898291734","0"
"No transfer dependency","1986","indirect migration background","Urban Area","35","0.474109009217642","0.388274212230705","0.559943806204579","0"
"No transfer dependency","1986","indirect migration background","Rural Area","9","","","","0"
"Very high transfer dependency","1986","direct migration background","Rural Area","","","","","4"
"Very high transfer dependency","1986","no migration background","Urban Area","33","0.00671101143831014","0.00456533417726658","0.00885668869935371","4"
"Very high transfer dependency","1986","direct migration background","Urban Area","28","","","","4"
"Very high transfer dependency","1986","indirect migration background","Rural Area","","","","","4"
"Very high transfer dependency","1986","no migration background","Rural Area","6","","","","4"
"Very high transfer dependency","1986","indirect migration background","Urban Area","1","","","","4"
"Very low transfer dependency","1986","indirect migration background","Urban Area","88","0.46317208100795","0.377455439081415","0.548888722934485","1"
"Very low transfer dependency","1986","no migration background","Urban Area","2717","0.426323265090849","0.413326486086726","0.439320044094971","1"
"Very low transfer dependency","1986","direct migration background","Rural Area","218","0.588275034191703","0.536567684401775","0.639982383981631","1"
"Very low transfer dependency","1986","no migration background","Rural Area","961","0.48467749368799","0.461134291139919","0.508220696236062","1"
"Very low transfer dependency","1986","direct migration background","Urban Area","1552","0.545964744738949","0.525957929661698","0.5659715598162","1"
"Very low transfer dependency","1986","indirect migration background","Rural Area","10","","","","1"
"Complete transfer dependency","1987","no migration background","Urban Area","37","0.00781509813720383","0.00547317997514544","0.0101570162992622","5"
"Complete transfer dependency","1987","no migration background","Rural Area","6","","","","5"
"Complete transfer dependency","1987","direct migration background","Urban Area","25","","","","5"
"Complete transfer dependency","1987","direct migration background","Rural Area","6","","","","5"
"Complete transfer dependency","1987","indirect migration background","Urban Area","","","","","5"
"Complete transfer dependency","1987","indirect migration background","Rural Area","","","","","5"
"High transfer dependency","1987","no migration background","Rural Area","20","","","","3"
"High transfer dependency","1987","no migration background","Urban Area","40","0.00736258718847817","0.00508896271731607","0.00963621165964027","3"
"High transfer dependency","1987","indirect migration background","Urban Area","","","","","3"
"High transfer dependency","1987","indirect migration background","Rural Area","","","","","3"
"High transfer dependency","1987","direct migration background","Urban Area","49","0.0167398006758965","0.0115648112262722","0.0219147901255208","3"
"High transfer dependency","1987","direct migration background","Rural Area","4","","","","3"
"Low transfer dependency","1987","no migration background","Rural Area","55","0.0324825589398501","0.0240180326674315","0.0409470852122687","2"
"Low transfer dependency","1987","direct migration background","Urban Area","94","0.0339353682466933","0.0266318945094708","0.0412388419839159","2"
"Low transfer dependency","1987","indirect migration background","Rural Area","","","","","2"
"Low transfer dependency","1987","no migration background","Urban Area","159","0.0280991013533446","0.0237040353970259","0.0324941673096633","2"
"Low transfer dependency","1987","indirect migration background","Urban Area","10","","","","2"
"Low transfer dependency","1987","direct migration background","Rural Area","24","","","","2"
"No transfer dependency","1987","no migration background","Urban Area","2632","0.547970691064631","0.534734282859496","0.561207099269766","0"
"No transfer dependency","1987","no migration background","Rural Area","668","0.463605775496687","0.439795489948586","0.487416061044788","0"
"No transfer dependency","1987","direct migration background","Urban Area","597","0.371960995297536","0.352465148366757","0.391456842228315","0"
"No transfer dependency","1987","direct migration background","Rural Area","78","0.290474117376252","0.243315514116322","0.337632720636182","0"
"No transfer dependency","1987","indirect migration background","Urban Area","41","0.504895742965029","0.42434558099012","0.585445904939937","0"
"No transfer dependency","1987","indirect migration background","Rural Area","8","","","","0"
"Very high transfer dependency","1987","direct migration background","Rural Area","","","","","4"
"Very high transfer dependency","1987","no migration background","Urban Area","28","","","","4"
"Very high transfer dependency","1987","no migration background","Rural Area","19","","","","4"
"Very high transfer dependency","1987","direct migration background","Urban Area","15","","","","4"
"Very high transfer dependency","1987","indirect migration background","Urban Area","2","","","","4"
"Very high transfer dependency","1987","indirect migration background","Rural Area","","","","","4"
"Very low transfer dependency","1987","no migration background","Urban Area","2535","0.402738032737423","0.389694298487881","0.415781766986965","1"
"Very low transfer dependency","1987","indirect migration background","Urban Area","95","0.431671642329412","0.351873339209991","0.511469945448834","1"
"Very low transfer dependency","1987","direct migration background","Rural Area","244","0.611688166432559","0.561061603456446","0.662314729408672","1"
"Very low transfer dependency","1987","no migration background","Rural Area","917","0.475816761560967","0.451971089245587","0.499662433876348","1"
"Very low transfer dependency","1987","direct migration background","Urban Area","1581","0.557266273009887","0.537230653255688","0.577301892764085","1"
"Very low transfer dependency","1987","indirect migration background","Rural Area","13","","","","1"
"Complete transfer dependency","1988","no migration background","Urban Area","26","","","","5"
"Complete transfer dependency","1988","no migration background","Rural Area","5","","","","5"
"Complete transfer dependency","1988","direct migration background","Urban Area","28","","","","5"
"Complete transfer dependency","1988","direct migration background","Rural Area","5","","","","5"
"Complete transfer dependency","1988","indirect migration background","Urban Area","3","","","","5"
"Complete transfer dependency","1988","indirect migration background","Rural Area","","","","","5"
"High transfer dependency","1988","indirect migration background","Urban Area","2","","","","3"
"High transfer dependency","1988","no migration background","Rural Area","14","","","","3"
"High transfer dependency","1988","indirect migration background","Rural Area","2","","","","3"
"High transfer dependency","1988","no migration background","Urban Area","39","0.00748955776501317","0.00512609753864408","0.00985301799138227","3"
"High transfer dependency","1988","direct migration background","Urban Area","23","","","","3"
"High transfer dependency","1988","direct migration background","Rural Area","5","","","","3"
"Low transfer dependency","1988","no migration background","Urban Area","111","0.0226950584897759","0.0186124910368669","0.0267776259426849","2"
"Low transfer dependency","1988","no migration background","Rural Area","46","0.0287353562683674","0.0204952254052365","0.0369754871314983","2"
"Low transfer dependency","1988","direct migration background","Urban Area","115","0.0406921215730538","0.032519260989048","0.0488649821570597","2"
"Low transfer dependency","1988","indirect migration background","Urban Area","8","","","","2"
"Low transfer dependency","1988","indirect migration background","Rural Area","2","","","","2"
"Low transfer dependency","1988","direct migration background","Rural Area","21","","","","2"
"No transfer dependency","1988","no migration background","Urban Area","2523","0.564980204783174","0.551390069056829","0.578570340509518","0"
"No transfer dependency","1988","no migration background","Rural Area","658","0.48306179294626","0.45841401988878","0.507709566003739","0"
"No transfer dependency","1988","direct migration background","Urban Area","593","0.398708988760763","0.378455012923333","0.418962964598194","0"
"No transfer dependency","1988","direct migration background","Rural Area","77","0.340865435220572","0.28949032811639","0.392240542324754","0"
"No transfer dependency","1988","indirect migration background","Urban Area","48","0.418126827371263","0.346856728168783","0.489396926573743","0"
"No transfer dependency","1988","indirect migration background","Rural Area","8","","","","0"
"Very high transfer dependency","1988","direct migration background","Rural Area","1","","","","4"
"Very high transfer dependency","1988","no migration background","Urban Area","35","0.00714407308228595","0.00483536656397522","0.00945277960059667","4"
"Very high transfer dependency","1988","no migration background","Rural Area","19","","","","4"
"Very high transfer dependency","1988","direct migration background","Urban Area","18","","","","4"
"Very high transfer dependency","1988","indirect migration background","Urban Area","3","","","","4"
"Very high transfer dependency","1988","indirect migration background","Rural Area","","","","","4"
"Very low transfer dependency","1988","no migration background","Urban Area","2378","0.390882044003718","0.377506044935829","0.404258043071606","1"
"Very low transfer dependency","1988","direct migration background","Rural Area","218","0.555443179235315","0.501584255245505","0.609302103225125","1"
"Very low transfer dependency","1988","indirect migration background","Urban Area","120","0.509830476833453","0.437599210523633","0.582061743143272","1"
"Very low transfer dependency","1988","no migration background","Rural Area","837","0.461620993349941","0.43703182388631","0.486210162813572","1"
"Very low transfer dependency","1988","direct migration background","Urban Area","1468","0.528734521644428","0.508085876274342","0.549383167014515","1"
"Very low transfer dependency","1988","indirect migration background","Rural Area","16","","","","1"
"Complete transfer dependency","1989","direct migration background","Urban Area","28","","","","5"
"Complete transfer dependency","1989","indirect migration background","Rural Area","","","","","5"
"Complete transfer dependency","1989","no migration background","Urban Area","30","0.00775303025014377","0.00530742536096034","0.0101986351393272","5"
"Complete transfer dependency","1989","no migration background","Rural Area","14","","","","5"
"Complete transfer dependency","1989","indirect migration background","Urban Area","2","","","","5"
"Complete transfer dependency","1989","direct migration background","Rural Area","7","","","","5"
"High transfer dependency","1989","no migration background","Rural Area","18","","","","3"
"High transfer dependency","1989","indirect migration background","Rural Area","","","","","3"
"High transfer dependency","1989","no migration background","Urban Area","40","0.010116979648138","0.00732663377045541","0.0129073255258206","3"
"High transfer dependency","1989","indirect migration background","Urban Area","2","","","","3"
"High transfer dependency","1989","direct migration background","Urban Area","42","0.0162054640951122","0.0109412336358707","0.0214696945543538","3"
"High transfer dependency","1989","direct migration background","Rural Area","","","","","3"
"Low transfer dependency","1989","direct migration background","Urban Area","114","0.0426550920929836","0.0342300590672296","0.0510801251187377","2"
"Low transfer dependency","1989","no migration background","Urban Area","117","0.0213546016696188","0.017323728989226","0.0253854743500116","2"
"Low transfer dependency","1989","no migration background","Rural Area","32","0.0199032992142634","0.0127900575864381","0.0270165408420887","2"
"Low transfer dependency","1989","direct migration background","Rural Area","15","","","","2"
"Low transfer dependency","1989","indirect migration background","Urban Area","10","","","","2"
"Low transfer dependency","1989","indirect migration background","Rural Area","2","","","","2"
"No transfer dependency","1989","no migration background","Urban Area","2496","0.571072011068098","0.55727203621833","0.584871985917865","0"
"No transfer dependency","1989","no migration background","Rural Area","609","0.482521411057656","0.457072157486052","0.50797066462926","0"
"No transfer dependency","1989","direct migration background","Urban Area","611","0.406409228645677","0.385931711183876","0.426886746107477","0"
"No transfer dependency","1989","direct migration background","Rural Area","85","0.352783276087245","0.298712036797252","0.406854515377239","0"
"No transfer dependency","1989","indirect migration background","Urban Area","56","0.351768912918605","0.288379971409873","0.415157854427338","0"
"No transfer dependency","1989","indirect migration background","Rural Area","12","","","","0"
"Very high transfer dependency","1989","no migration background","Urban Area","26","","","","4"
"Very high transfer dependency","1989","no migration background","Rural Area","12","","","","4"
"Very high transfer dependency","1989","direct migration background","Rural Area","3","","","","4"
"Very high transfer dependency","1989","indirect migration background","Urban Area","1","","","","4"
"Very high transfer dependency","1989","direct migration background","Urban Area","13","","","","4"
"Very high transfer dependency","1989","indirect migration background","Rural Area","1","","","","4"
"Very low transfer dependency","1989","direct migration background","Rural Area","190","0.563544118599821","0.507423609828251","0.61966462737139","1"
"Very low transfer dependency","1989","direct migration background","Urban Area","1402","0.514394153868125","0.493556831073875","0.535231476662375","1"
"Very low transfer dependency","1989","no migration background","Urban Area","2232","0.384062150179822","0.370500583461703","0.397623716897941","1"
"Very low transfer dependency","1989","indirect migration background","Urban Area","147","0.567481310613857","0.501715819909328","0.633246801318386","1"
"Very low transfer dependency","1989","no migration background","Rural Area","796","0.46173054936617","0.436340430580941","0.4871206681514","1"
"Very low transfer dependency","1989","indirect migration background","Rural Area","17","","","","1"
"Complete transfer dependency","1990","direct migration background","Urban Area","22","","","","5"
"Complete transfer dependency","1990","no migration background","Rural Area","10","","","","5"
"Complete transfer dependency","1990","indirect migration background","Rural Area","","","","","5"
"Complete transfer dependency","1990","no migration background","Urban Area","18","","","","5"
"Complete transfer dependency","1990","direct migration background","Rural Area","2","","","","5"
"Complete transfer dependency","1990","indirect migration background","Urban Area","1","","","","5"
"High transfer dependency","1990","no migration background","Urban Area","43","0.0103043684666326","0.00742978694196742","0.0131789499912978","3"
"High transfer dependency","1990","no migration background","Rural Area","12","","","","3"
"High transfer dependency","1990","indirect migration background","Urban Area","","","","","3"
"High transfer dependency","1990","indirect migration background","Rural Area","","","","","3"
"High transfer dependency","1990","direct migration background","Urban Area","43","0.0158802266803683","0.0105398195314599","0.0212206338292767","3"
"High transfer dependency","1990","direct migration background","Rural Area","1","","","","3"
"Low transfer dependency","1990","no migration background","Urban Area","90","0.0180709647209507","0.0142791785924391","0.0218627508494623","2"
"Low transfer dependency","1990","no migration background","Rural Area","45","0.0306290065425059","0.0218024965330247","0.039455516551987","2"
"Low transfer dependency","1990","direct migration background","Urban Area","88","0.0335313989702386","0.0258411260630534","0.0412216718774238","2"
"Low transfer dependency","1990","direct migration background","Rural Area","11","","","","2"
"Low transfer dependency","1990","indirect migration background","Urban Area","12","","","","2"
"Low transfer dependency","1990","indirect migration background","Rural Area","1","","","","2"
"No transfer dependency","1990","no migration background","Urban Area","2530","0.586747757983095","0.572731036560664","0.600764479405525","0"
"No transfer dependency","1990","direct migration background","Rural Area","89","0.407008876155123","0.35214344841431","0.461874303895937","0"
"No transfer dependency","1990","indirect migration background","Urban Area","60","0.340533438339693","0.280454062520994","0.400612814158393","0"
"No transfer dependency","1990","direct migration background","Urban Area","617","0.416025137636711","0.39496899063662","0.437081284636802","0"
"No transfer dependency","1990","no migration background","Rural Area","670","0.513701712271081","0.488099091141693","0.539304333400468","0"
"No transfer dependency","1990","indirect migration background","Rural Area","11","","","","0"
"Very high transfer dependency","1990","no migration background","Urban Area","20","","","","4"
"Very high transfer dependency","1990","no migration background","Rural Area","1","","","","4"
"Very high transfer dependency","1990","direct migration background","Urban Area","21","","","","4"
"Very high transfer dependency","1990","direct migration background","Rural Area","3","","","","4"
"Very high transfer dependency","1990","indirect migration background","Urban Area","2","","","","4"
"Very high transfer dependency","1990","indirect migration background","Rural Area","","","","","4"
"Very low transfer dependency","1990","direct migration background","Rural Area","202","0.52634795226502","0.470585879190504","0.582110025339536","1"
"Very low transfer dependency","1990","direct migration background","Urban Area","1314","0.508177138231436","0.486820447492514","0.529533828970359","1"
"Very low transfer dependency","1990","no migration background","Urban Area","2040","0.374621104719597","0.360843274017766","0.388398935421427","1"
"Very low transfer dependency","1990","no migration background","Rural Area","726","0.437274194884886","0.411864298583949","0.462684091185823","1"
"Very low transfer dependency","1990","indirect migration background","Urban Area","164","0.614836315845647","0.553141089427247","0.676531542264048","1"
"Very low transfer dependency","1990","indirect migration background","Rural Area","24","","","","1"
"Complete transfer dependency","1991","no migration background","Urban Area","20","","","","5"
"Complete transfer dependency","1991","no migration background","Rural Area","7","","","","5"
"Complete transfer dependency","1991","direct migration background","Urban Area","21","","","","5"
"Complete transfer dependency","1991","direct migration background","Rural Area","6","","","","5"
"Complete transfer dependency","1991","indirect migration background","Urban Area","3","","","","5"
"Complete transfer dependency","1991","indirect migration background","Rural Area","1","","","","5"
"High transfer dependency","1991","no migration background","Urban Area","36","0.00806909447341392","0.0054896082200925","0.0106485807267353","3"
"High transfer dependency","1991","no migration background","Rural Area","20","","","","3"
"High transfer dependency","1991","indirect migration background","Urban Area","2","","","","3"
"High transfer dependency","1991","indirect migration background","Rural Area","","","","","3"
"High transfer dependency","1991","direct migration background","Rural Area","1","","","","3"
"High transfer dependency","1991","direct migration background","Urban Area","32","0.01147822328619","0.00686264914774053","0.0160937974246394","3"
"Low transfer dependency","1991","no migration background","Urban Area","106","0.0224566317668174","0.0181847381146868","0.026728525418948","2"
"Low transfer dependency","1991","no migration background","Rural Area","40","0.0232636550197334","0.0156606151819344","0.0308666948575323","2"
"Low transfer dependency","1991","direct migration background","Urban Area","105","0.0516845349856932","0.0420915889927287","0.0612774809786576","2"
"Low transfer dependency","1991","indirect migration background","Rural Area","3","","","","2"
"Low transfer dependency","1991","direct migration background","Rural Area","13","","","","2"
"Low transfer dependency","1991","indirect migration background","Urban Area","13","","","","2"
"No transfer dependency","1991","no migration background","Urban Area","2548","0.602852976484305","0.58874510588647","0.61696084708214","0"
"No transfer dependency","1991","indirect migration background","Urban Area","89","0.415288745156077","0.358178913254092","0.472398577058062","0"
"No transfer dependency","1991","direct migration background","Rural Area","93","0.438810745035042","0.382278590723056","0.495342899347028","0"
"No transfer dependency","1991","direct migration background","Urban Area","632","0.435698583916543","0.414213160312821","0.457184007520265","0"
"No transfer dependency","1991","indirect migration background","Rural Area","11","","","","0"
"No transfer dependency","1991","no migration background","Rural Area","708","0.520055506843844","0.494856700229619","0.545254313458069","0"
"Very high transfer dependency","1991","no migration background","Urban Area","17","","","","4"
"Very high transfer dependency","1991","no migration background","Rural Area","7","","","","4"
"Very high transfer dependency","1991","direct migration background","Urban Area","10","","","","4"
"Very high transfer dependency","1991","direct migration background","Rural Area","3","","","","4"
"Very high transfer dependency","1991","indirect migration background","Urban Area","4","","","","4"
"Very high transfer dependency","1991","indirect migration background","Rural Area","","","","","4"
"Very low transfer dependency","1991","direct migration background","Urban Area","1246","0.488997415504515","0.467337333000046","0.510657498008984","1"
"Very low transfer dependency","1991","direct migration background","Rural Area","180","0.494465053012009","0.437508246842562","0.551421859181456","1"
"Very low transfer dependency","1991","no migration background","Urban Area","1894","0.355227625088107","0.341428972390131","0.369026277786083","1"
"Very low transfer dependency","1991","no migration background","Rural Area","728","0.432125020093927","0.407139367855565","0.45711067233229","1"
"Very low transfer dependency","1991","indirect migration background","Urban Area","175","0.521072760174534","0.463176697580362","0.578968822768706","1"
"Very low transfer dependency","1991","indirect migration background","Rural Area","20","","","","1"
"Complete transfer dependency","1992","no migration background","Urban Area","29","","","","5"
"Complete transfer dependency","1992","no migration background","Rural Area","5","","","","5"
"Complete transfer dependency","1992","direct migration background","Urban Area","18","","","","5"
"Complete transfer dependency","1992","direct migration background","Rural Area","2","","","","5"
"Complete transfer dependency","1992","indirect migration background","Urban Area","","","","","5"
"Complete transfer dependency","1992","indirect migration background","Rural Area","","","","","5"
"High transfer dependency","1992","indirect migration background","Rural Area","1","","","","3"
"High transfer dependency","1992","no migration background","Urban Area","69","0.0106975065218404","0.00806379585835339","0.0133312171853275","3"
"High transfer dependency","1992","indirect migration background","Urban Area","3","","","","3"
"High transfer dependency","1992","no migration background","Rural Area","56","0.0150184667104039","0.0111401438826066","0.0188967895382012","3"
"High transfer dependency","1992","direct migration background","Urban Area","34","0.0132941857850438","0.00828222871728341","0.0183061428528041","3"
"High transfer dependency","1992","direct migration background","Rural Area","3","","","","3"
"Low transfer dependency","1992","no migration background","Urban Area","208","0.0246677151302028","0.0206966867339843","0.0286387435264212","2"
"Low transfer dependency","1992","no migration background","Rural Area","281","0.053225136938657","0.046067018707372","0.0603832551699421","2"
"Low transfer dependency","1992","direct migration background","Urban Area","99","0.0356117462213288","0.0275020382134394","0.0437214542292182","2"
"Low transfer dependency","1992","direct migration background","Rural Area","22","","","","2"
"Low transfer dependency","1992","indirect migration background","Urban Area","20","","","","2"
"Low transfer dependency","1992","indirect migration background","Rural Area","4","","","","2"
"No transfer dependency","1992","no migration background","Urban Area","2932","0.573304187800728","0.560641847597795","0.58596652800366","0"
"No transfer dependency","1992","no migration background","Rural Area","1298","0.451268700243669","0.435400978105786","0.467136422381553","0"
"No transfer dependency","1992","direct migration background","Urban Area","683","0.459516171706569","0.437707742855743","0.481324600557396","0"
"No transfer dependency","1992","direct migration background","Rural Area","123","0.477598664729736","0.42690807237973","0.528289257079741","0"
"No transfer dependency","1992","indirect migration background","Urban Area","92","0.345913743238777","0.2939594339152","0.397868052562355","0"
"No transfer dependency","1992","indirect migration background","Rural Area","14","","","","0"
"Very high transfer dependency","1992","no migration background","Urban Area","24","","","","4"
"Very high transfer dependency","1992","direct migration background","Rural Area","9","","","","4"
"Very high transfer dependency","1992","direct migration background","Urban Area","18","","","","4"
"Very high transfer dependency","1992","no migration background","Rural Area","21","","","","4"
"Very high transfer dependency","1992","indirect migration background","Urban Area","8","","","","4"
"Very high transfer dependency","1992","indirect migration background","Rural Area","","","","","4"
"Very low transfer dependency","1992","direct migration background","Rural Area","214","0.444195090279233","0.393770573911109","0.494619606647356","1"
"Very low transfer dependency","1992","direct migration background","Urban Area","1154","0.476856422568179","0.454999606689452","0.498713238446906","1"
"Very low transfer dependency","1992","no migration background","Urban Area","2599","0.378698444202713","0.366280199558726","0.391116688846701","1"
"Very low transfer dependency","1992","no migration background","Rural Area","2117","0.470579088793163","0.454663087269792","0.486495090316533","1"
"Very low transfer dependency","1992","indirect migration background","Urban Area","199","0.578242788655064","0.524303337096199","0.63218224021393","1"
"Very low transfer dependency","1992","indirect migration background","Rural Area","32","0.66373853022753","0.534080305468971","0.79339675498609","1"
"Complete transfer dependency","1993","no migration background","Urban Area","26","","","","5"
"Complete transfer dependency","1993","no migration background","Rural Area","11","","","","5"
"Complete transfer dependency","1993","direct migration background","Urban Area","13","","","","5"
"Complete transfer dependency","1993","direct migration background","Rural Area","5","","","","5"
"Complete transfer dependency","1993","indirect migration background","Urban Area","2","","","","5"
"Complete transfer dependency","1993","indirect migration background","Rural Area","","","","","5"
"High transfer dependency","1993","no migration background","Urban Area","82","0.0116789587039641","0.00896162692823807","0.0143962904796901","3"
"High transfer dependency","1993","no migration background","Rural Area","69","0.018296617539412","0.0140326121045597","0.0225606229742643","3"
"High transfer dependency","1993","indirect migration background","Urban Area","10","","","","3"
"High transfer dependency","1993","indirect migration background","Rural Area","1","","","","3"
"High transfer dependency","1993","direct migration background","Rural Area","15","","","","3"
"High transfer dependency","1993","direct migration background","Urban Area","35","0.012746643561189","0.00782903536170278","0.0176642517606753","3"
"Low transfer dependency","1993","no migration background","Urban Area","277","0.0309984836083195","0.0266149530523861","0.0353820141642529","2"
"Low transfer dependency","1993","no migration background","Rural Area","367","0.0675826103738894","0.0595959564817395","0.0755692642660394","2"
"Low transfer dependency","1993","direct migration background","Urban Area","92","0.0363238619645783","0.0281221737629652","0.0445255501661913","2"
"Low transfer dependency","1993","direct migration background","Rural Area","27","","","","2"
"Low transfer dependency","1993","indirect migration background","Urban Area","18","","","","2"
"Low transfer dependency","1993","indirect migration background","Rural Area","3","","","","2"
"No transfer dependency","1993","no migration background","Urban Area","2928","0.566306311474031","0.553771758876441","0.57884086407162","0"
"No transfer dependency","1993","no migration background","Rural Area","1315","0.462605181637145","0.446741857997442","0.478468505276849","0"
"No transfer dependency","1993","direct migration background","Urban Area","673","0.439776483723514","0.418017512252964","0.461535455194064","0"
"No transfer dependency","1993","direct migration background","Rural Area","139","0.483199529949717","0.433540527416882","0.532858532482552","0"
"No transfer dependency","1993","indirect migration background","Urban Area","105","0.299143609719283","0.253166677816397","0.345120541622168","0"
"No transfer dependency","1993","indirect migration background","Rural Area","18","","","","0"
"Very high transfer dependency","1993","no migration background","Urban Area","47","0.00807064627243855","0.00580763814937358","0.0103336543955035","4"
"Very high transfer dependency","1993","direct migration background","Urban Area","27","","","","4"
"Very high transfer dependency","1993","direct migration background","Rural Area","1","","","","4"
"Very high transfer dependency","1993","no migration background","Rural Area","39","0.0105694747344001","0.00731589423985332","0.0138230552289468","4"
"Very high transfer dependency","1993","indirect migration background","Rural Area","","","","","4"
"Very high transfer dependency","1993","indirect migration background","Urban Area","6","","","","4"
"Very low transfer dependency","1993","direct migration background","Rural Area","202","0.421358359015191","0.372289728269943","0.47042698976044","1"
"Very low transfer dependency","1993","direct migration background","Urban Area","1159","0.496253136218972","0.474335207820469","0.518171064617475","1"
"Very low transfer dependency","1993","no migration background","Urban Area","2645","0.376926226600898","0.364669076651006","0.38918337655079","1"
"Very low transfer dependency","1993","no migration background","Rural Area","1994","0.437512484343921","0.4217293275904","0.453295641097442","1"
