"transab_cat","year","education","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1985","lower secondary degree","2660","0.423519434350968","0.410256731846973","0.436782136854962"
"Very low transfer dependency","1985","secondary school degree","989","0.497752948844844","0.474570920455336","0.520934977234352"
"Very low transfer dependency","1985","college entrance qualification","584","0.452688473285093","0.424044311900922","0.481332634669265"
"Very low transfer dependency","1985","Other degree","790","0.623475883599402","0.595725060295056","0.651226706903749"
"Very low transfer dependency","1985","no degree/no degree yet","744","0.691206798616997","0.663328919743614","0.719084677490381"
"Low transfer dependency","1985","lower secondary degree","159","0.0265898952852169","0.0222716305934082","0.0309081599770256"
"Low transfer dependency","1985","secondary school degree","34","0.0130821743937576","0.00781392557428761","0.0183504232132276"
"Low transfer dependency","1985","college entrance qualification","30","0.0200060526469171","0.0119483451726709","0.0280637601211634"
"Low transfer dependency","1985","Other degree","61","0.050631920458878","0.0380745369973586","0.0631893039203974"
"Low transfer dependency","1985","no degree/no degree yet","62","0.0594869421858734","0.045213947677911","0.0737599366938359"
"High transfer dependency","1985","lower secondary degree","57","0.010608455019435","0.0078585785319637","0.0133583315069064"
"High transfer dependency","1985","secondary school degree","14","","",""
"High transfer dependency","1985","college entrance qualification","26","","",""
"High transfer dependency","1985","Other degree","23","","",""
"High transfer dependency","1985","no degree/no degree yet","12","","",""
"Very high transfer dependency","1985","lower secondary degree","31","0.00637675810076673","0.00424020415535899","0.00851331204617447"
"Very high transfer dependency","1985","secondary school degree","10","","",""
"Very high transfer dependency","1985","college entrance qualification","12","","",""
"Very high transfer dependency","1985","Other degree","6","","",""
"Very high transfer dependency","1985","no degree/no degree yet","10","","",""
"Complete transfer dependency","1985","lower secondary degree","53","0.0103683258056716","0.0076494201886983","0.0130872314226448"
"Complete transfer dependency","1985","secondary school degree","12","","",""
"Complete transfer dependency","1985","college entrance qualification","2","","",""
"Complete transfer dependency","1985","Other degree","12","","",""
"Complete transfer dependency","1985","no degree/no degree yet","20","","",""
"No transfer dependency","1986","lower secondary degree","2279","0.531653166803202","0.517817776578015","0.545488557028388"
"No transfer dependency","1986","secondary school degree","728","0.482794775814103","0.4593356334958","0.506253918132405"
"No transfer dependency","1986","college entrance qualification","516","0.485756370963013","0.457347702639714","0.514165039286312"
"No transfer dependency","1986","Other degree","261","0.267761369360063","0.241653752489804","0.293868986230321"
"No transfer dependency","1986","no degree/no degree yet","202","0.224270524834925","0.198327852331113","0.250213197338738"
"Very low transfer dependency","1986","lower secondary degree","2455","0.41525643587489","0.401593805235476","0.428919066514303"
"Very low transfer dependency","1986","secondary school degree","942","0.478193266532828","0.454742558198882","0.501643974866774"
"Very low transfer dependency","1986","college entrance qualification","607","0.452645520067998","0.424353066265285","0.480937973870711"
"Very low transfer dependency","1986","Other degree","761","0.639774552021748","0.611469260784408","0.668079843259087"
"Very low transfer dependency","1986","no degree/no degree yet","685","0.679684422486467","0.650663169779799","0.708705675193134"
"Low transfer dependency","1986","lower secondary degree","137","0.025903161141096","0.021498922256746","0.030307400025446"
"Low transfer dependency","1986","secondary school degree","47","0.0225170754029358","0.0155522540976724","0.0294818967081991"
"Low transfer dependency","1986","college entrance qualification","32","0.0306298688366799","0.0208355429734188","0.040424194699941"
"Low transfer dependency","1986","Other degree","42","0.0454862113839232","0.0332005670662726","0.0577718557015739"
"Low transfer dependency","1986","no degree/no degree yet","61","0.0438823839209241","0.0311422429627454","0.0566225248791028"
"High transfer dependency","1986","lower secondary degree","56","0.0120684114567326","0.00904092710886521","0.0150958958046"
"High transfer dependency","1986","secondary school degree","13","","",""
"High transfer dependency","1986","college entrance qualification","10","","",""
"High transfer dependency","1986","Other degree","21","","",""
"High transfer dependency","1986","no degree/no degree yet","20","","",""
"Very high transfer dependency","1986","lower secondary degree","22","","",""
"Very high transfer dependency","1986","secondary school degree","8","","",""
"Very high transfer dependency","1986","college entrance qualification","16","","",""
"Very high transfer dependency","1986","Other degree","7","","",""
"Very high transfer dependency","1986","no degree/no degree yet","14","","",""
"Complete transfer dependency","1986","lower secondary degree","48","0.0100655003422425","0.00729783018963332","0.0128331704948517"
"Complete transfer dependency","1986","secondary school degree","5","","",""
"Complete transfer dependency","1986","college entrance qualification","8","","",""
"Complete transfer dependency","1986","Other degree","13","","",""
"Complete transfer dependency","1986","no degree/no degree yet","11","","",""
"No transfer dependency","1987","lower secondary degree","2324","0.554670612402827","0.540767570521068","0.568573654284586"
"No transfer dependency","1987","secondary school degree","725","0.500328098600804","0.476615777427278","0.524040419774331"
"No transfer dependency","1987","college entrance qualification","510","0.488839902887504","0.460172492329036","0.517507313445972"
"No transfer dependency","1987","Other degree","234","0.243030687629575","0.217718479699527","0.268342895559623"
"No transfer dependency","1987","no degree/no degree yet","199","0.220445147865878","0.194180853712256","0.2467094420195"
"Very low transfer dependency","1987","lower secondary degree","2307","0.389747173632238","0.376104547995261","0.403389799269215"
"Very low transfer dependency","1987","secondary school degree","915","0.465532829559118","0.441876910186411","0.489188748931824"
"Very low transfer dependency","1987","college entrance qualification","594","0.452109505376378","0.423566784430521","0.480652226322235"
"Very low transfer dependency","1987","Other degree","795","0.679358118081385","0.651814572547785","0.706901663614984"
"Very low transfer dependency","1987","no degree/no degree yet","667","0.68164269991768","0.652128710137145","0.711156689698215"
"Low transfer dependency","1987","lower secondary degree","171","0.0320257964483307","0.0271004879683767","0.0369511049282846"
"Low transfer dependency","1987","secondary school degree","39","0.0199060144491917","0.0132818641570489","0.0265301647413345"
"Low transfer dependency","1987","college entrance qualification","36","0.0304981279502775","0.0206367503936419","0.0403595055069131"
"Low transfer dependency","1987","Other degree","39","0.0312516266362612","0.020983241686077","0.0415200115864455"
"Low transfer dependency","1987","no degree/no degree yet","46","0.0428219515967827","0.0299950514090097","0.0556488517845558"
"High transfer dependency","1987","lower secondary degree","43","0.00872013291170257","0.00611930707938253","0.0113209587440226"
"High transfer dependency","1987","secondary school degree","14","","",""
"High transfer dependency","1987","college entrance qualification","10","","",""
"High transfer dependency","1987","Other degree","19","","",""
"High transfer dependency","1987","no degree/no degree yet","23","","",""
"Very high transfer dependency","1987","lower secondary degree","28","","",""
"Very high transfer dependency","1987","secondary school degree","9","","",""
"Very high transfer dependency","1987","college entrance qualification","12","","",""
"Very high transfer dependency","1987","Other degree","6","","",""
"Very high transfer dependency","1987","no degree/no degree yet","8","","",""
"Complete transfer dependency","1987","lower secondary degree","36","0.00817965063723654","0.00566002824311045","0.0106992730313626"
"Complete transfer dependency","1987","secondary school degree","6","","",""
"Complete transfer dependency","1987","college entrance qualification","6","","",""
"Complete transfer dependency","1987","Other degree","10","","",""
"Complete transfer dependency","1987","no degree/no degree yet","14","","",""
"No transfer dependency","1988","lower secondary degree","2249","0.569088709194301","0.554905649408237","0.583271768980365"
"No transfer dependency","1988","secondary school degree","703","0.518418127384744","0.494168991590441","0.542667263179047"
"No transfer dependency","1988","college entrance qualification","506","0.522719552394581","0.493040171486107","0.552398933303055"
"No transfer dependency","1988","Other degree","218","0.2451100782793","0.218827812570694","0.271392343987906"
"No transfer dependency","1988","no degree/no degree yet","186","0.214531440783444","0.187207180107148","0.24185570145974"
"Very low transfer dependency","1988","lower secondary degree","2190","0.379117059202711","0.365221451673182","0.39301266673224"
"Very low transfer dependency","1988","secondary school degree","870","0.448632327351094","0.424495118822996","0.472769535879192"
"Very low transfer dependency","1988","college entrance qualification","540","0.440757541233981","0.411256755219082","0.470258327248881"
"Very low transfer dependency","1988","Other degree","730","0.653553184692587","0.624479561465325","0.682626807919849"
"Very low transfer dependency","1988","no degree/no degree yet","588","0.662342780770888","0.630863995465416","0.69382156607636"
"Low transfer dependency","1988","lower secondary degree","125","0.0238428868115708","0.0194734517192154","0.0282123219039261"
"Low transfer dependency","1988","secondary school degree","36","0.021333261948561","0.0143208542538727","0.0283456696432492"
"Low transfer dependency","1988","college entrance qualification","27","","",""
"Low transfer dependency","1988","Other degree","45","0.0502890776952809","0.0369362589028784","0.0636418964876834"
"Low transfer dependency","1988","no degree/no degree yet","62","0.075575621425858","0.0579816006395895","0.0931696422121265"
"High transfer dependency","1988","lower secondary degree","44","0.00915474942894457","0.00642695172755077","0.0118825471303384"
"High transfer dependency","1988","secondary school degree","10","","",""
"High transfer dependency","1988","college entrance qualification","9","","",""
"High transfer dependency","1988","Other degree","14","","",""
"High transfer dependency","1988","no degree/no degree yet","8","","",""
"Very high transfer dependency","1988","lower secondary degree","43","0.00969930776994527","0.00689232385778185","0.0125062916821087"
"Very high transfer dependency","1988","secondary school degree","11","","",""
"Very high transfer dependency","1988","college entrance qualification","5","","",""
"Very high transfer dependency","1988","Other degree","8","","",""
"Very high transfer dependency","1988","no degree/no degree yet","7","","",""
"Complete transfer dependency","1988","lower secondary degree","32","0.0090972875925267","0.00637798533725024","0.0118165898478032"
"Complete transfer dependency","1988","secondary school degree","1","","",""
"Complete transfer dependency","1988","college entrance qualification","1","","",""
"Complete transfer dependency","1988","Other degree","14","","",""
"Complete transfer dependency","1988","no degree/no degree yet","16","","",""
"No transfer dependency","1989","lower secondary degree","2126","0.567885867243267","0.55332971283606","0.582442021650473"
"No transfer dependency","1989","secondary school degree","734","0.542487690736908","0.518076754549586","0.56689862692423"
"No transfer dependency","1989","college entrance qualification","540","0.537094601117054","0.507787881198625","0.566401321035483"
"No transfer dependency","1989","Other degree","244","0.29289337315154","0.264687125315379","0.3210996209877"
"No transfer dependency","1989","no degree/no degree yet","171","0.175309028861229","0.14953438256513","0.201083675157328"
"Very low transfer dependency","1989","lower secondary degree","2079","0.379873896308997","0.365612021486776","0.394135771131217"
"Very low transfer dependency","1989","secondary school degree","823","0.429813806738864","0.40555683237771","0.454070781100019"
"Very low transfer dependency","1989","college entrance qualification","525","0.419618418917495","0.390612957435575","0.448623880399415"
"Very low transfer dependency","1989","Other degree","668","0.603461198013479","0.573142146465349","0.633780249561609"
"Very low transfer dependency","1989","no degree/no degree yet","572","0.687755341093491","0.656342338703964","0.719168343483017"
"Low transfer dependency","1989","lower secondary degree","131","0.0236363775738609","0.0191724910839389","0.028100264063783"
"Low transfer dependency","1989","secondary school degree","20","","",""
"Low transfer dependency","1989","college entrance qualification","33","0.0240244049010754","0.0150244259077849","0.0330243838943659"
"Low transfer dependency","1989","Other degree","46","0.0401030157454812","0.0279425860560017","0.0522634454349607"
"Low transfer dependency","1989","no degree/no degree yet","54","0.0690759061647343","0.0518863215115454","0.0862654908179232"
"High transfer dependency","1989","lower secondary degree","42","0.00946370750723025","0.00661870444013379","0.0123087105743267"
"High transfer dependency","1989","secondary school degree","13","","",""
"High transfer dependency","1989","college entrance qualification","12","","",""
"High transfer dependency","1989","Other degree","15","","",""
"High transfer dependency","1989","no degree/no degree yet","16","","",""
"Very high transfer dependency","1989","lower secondary degree","33","0.00720404010581063","0.00471899114497855","0.0096890890666427"
"Very high transfer dependency","1989","secondary school degree","5","","",""
"Very high transfer dependency","1989","college entrance qualification","2","","",""
"Very high transfer dependency","1989","Other degree","10","","",""
"Very high transfer dependency","1989","no degree/no degree yet","4","","",""
"Complete transfer dependency","1989","lower secondary degree","38","0.011936111260835","0.00874500819701662","0.0151272143246534"
"Complete transfer dependency","1989","secondary school degree","5","","",""
"Complete transfer dependency","1989","college entrance qualification","","","",""
"Complete transfer dependency","1989","Other degree","17","","",""
"Complete transfer dependency","1989","no degree/no degree yet","19","","",""
"No transfer dependency","1990","lower secondary degree","2188","0.586830564813104","0.572131844178776","0.601529285447432"
"No transfer dependency","1990","secondary school degree","758","0.564231605965925","0.539506371531337","0.588956840400514"
"No transfer dependency","1990","college entrance qualification","548","0.539908568590176","0.510441873623903","0.569375263556448"
"No transfer dependency","1990","Other degree","250","0.303848287140747","0.274739833692355","0.332956740589138"
"No transfer dependency","1990","no degree/no degree yet","169","0.20746811376167","0.179138231065152","0.235797996458187"
"Very low transfer dependency","1990","lower secondary degree","1915","0.366083740318354","0.351703529754409","0.380463950882298"
"Very low transfer dependency","1990","secondary school degree","740","0.408151271715383","0.383643728025575","0.432658815405191"
"Very low transfer dependency","1990","college entrance qualification","522","0.431237572242945","0.401957442912038","0.460517701573851"
"Very low transfer dependency","1990","Other degree","632","0.603477106201462","0.572516937356722","0.634437275046202"
"Very low transfer dependency","1990","no degree/no degree yet","549","0.681262974412479","0.648706724336818","0.713819224488141"
"Low transfer dependency","1990","lower secondary degree","118","0.0235074767187412","0.018984789558473","0.0280301638790095"
"Low transfer dependency","1990","secondary school degree","25","","",""
"Low transfer dependency","1990","college entrance qualification","20","","",""
"Low transfer dependency","1990","Other degree","40","0.0417257148522995","0.0290700315787738","0.0543813981258252"
"Low transfer dependency","1990","no degree/no degree yet","32","0.0467316336144298","0.0319856482978831","0.0614776189309764"
"High transfer dependency","1990","lower secondary degree","50","0.012081570326748","0.0088203411705246","0.0153427994829713"
"High transfer dependency","1990","secondary school degree","9","","",""
"High transfer dependency","1990","college entrance qualification","6","","",""
"High transfer dependency","1990","Other degree","15","","",""
"High transfer dependency","1990","no degree/no degree yet","17","","",""
"Very high transfer dependency","1990","lower secondary degree","19","","",""
"Very high transfer dependency","1990","secondary school degree","10","","",""
"Very high transfer dependency","1990","college entrance qualification","3","","",""
"Very high transfer dependency","1990","Other degree","6","","",""
"Very high transfer dependency","1990","no degree/no degree yet","8","","",""
"Complete transfer dependency","1990","lower secondary degree","21","","",""
"Complete transfer dependency","1990","secondary school degree","3","","",""
"Complete transfer dependency","1990","college entrance qualification","","","",""
"Complete transfer dependency","1990","Other degree","16","","",""
"Complete transfer dependency","1990","no degree/no degree yet","12","","",""
"No transfer dependency","1991","lower secondary degree","2255","0.614242960943462","0.599535515388464","0.628950406498461"
"No transfer dependency","1991","secondary school degree","787","0.568896739372401","0.544290192557342","0.59350328618746"
"No transfer dependency","1991","college entrance qualification","549","0.536212691638445","0.506915331926204","0.565510051350687"
"No transfer dependency","1991","Other degree","265","0.320113128087373","0.290226271682075","0.349999984492671"
"No transfer dependency","1991","no degree/no degree yet","165","0.217501749659302","0.188324755662004","0.2466787436566"
"Very low transfer dependency","1991","lower secondary degree","1746","0.336493722593507","0.322217239780335","0.35077020540668"
"Very low transfer dependency","1991","secondary school degree","717","0.401023316792245","0.376671404812736","0.425375228771754"
"Very low transfer dependency","1991","college entrance qualification","525","0.434002293779124","0.404884809017961","0.463119778540287"
"Very low transfer dependency","1991","Other degree","591","0.577761927392623","0.546119971427117","0.60940388335813"
"Very low transfer dependency","1991","no degree/no degree yet","531","0.675634580591191","0.642525990285882","0.708743170896501"
"Low transfer dependency","1991","lower secondary degree","116","0.0254441675321082","0.0206863507796252","0.0302019842845913"
"Low transfer dependency","1991","secondary school degree","29","","",""
"Low transfer dependency","1991","college entrance qualification","29","","",""
"Low transfer dependency","1991","Other degree","43","0.0546267647320981","0.040068334213031","0.0691851952511651"
"Low transfer dependency","1991","no degree/no degree yet","51","0.072965172851363","0.054571294331849","0.091359051370877"
"High transfer dependency","1991","lower secondary degree","49","0.0115972967137857","0.0083624361012448","0.0148321573263266"
"High transfer dependency","1991","secondary school degree","13","","",""
"High transfer dependency","1991","college entrance qualification","4","","",""
"High transfer dependency","1991","Other degree","15","","",""
"High transfer dependency","1991","no degree/no degree yet","7","","",""
"Very high transfer dependency","1991","lower secondary degree","19","","",""
"Very high transfer dependency","1991","secondary school degree","5","","",""
"Very high transfer dependency","1991","college entrance qualification","4","","",""
"Very high transfer dependency","1991","Other degree","7","","",""
"Very high transfer dependency","1991","no degree/no degree yet","3","","",""
"Complete transfer dependency","1991","lower secondary degree","23","","",""
"Complete transfer dependency","1991","secondary school degree","5","","",""
"Complete transfer dependency","1991","college entrance qualification","2","","",""
"Complete transfer dependency","1991","Other degree","15","","",""
"Complete transfer dependency","1991","no degree/no degree yet","11","","",""
"No transfer dependency","1992","lower secondary degree","2865","0.597813592983399","0.584897039774648","0.61073014619215"
"No transfer dependency","1992","secondary school degree","1098","0.442899085329917","0.426209849794191","0.459588320865643"
"No transfer dependency","1992","college entrance qualification","623","0.497906443648459","0.473221270277488","0.522591617019429"
"No transfer dependency","1992","Other degree","300","0.360805622761416","0.330089357011528","0.391521888511305"
"No transfer dependency","1992","no degree/no degree yet","179","0.238789491564491","0.209171776541633","0.268407206587349"
"Very low transfer dependency","1992","lower secondary degree","2341","0.35158657609118","0.339009137909556","0.364164014272804"
"Very low transfer dependency","1992","secondary school degree","2000","0.486164103251898","0.469371393510343","0.502956812993453"
"Very low transfer dependency","1992","college entrance qualification","838","0.451653134758184","0.427083416219126","0.476222853297242"
"Very low transfer dependency","1992","Other degree","551","0.544658821519373","0.512806137784552","0.576511505254193"
"Very low transfer dependency","1992","no degree/no degree yet","534","0.675104112681205","0.642569245289955","0.707638980072455"
"Low transfer dependency","1992","lower secondary degree","205","0.0256096069429919","0.0214484125609919","0.0297708013249919"
"Low transfer dependency","1992","secondary school degree","244","0.0509084304050268","0.0435231663480013","0.0582936944620522"
"Low transfer dependency","1992","college entrance qualification","83","0.0336840352537855","0.0247768267539674","0.0425912437536037"
"Low transfer dependency","1992","Other degree","44","0.0366102687114061","0.024598201333003","0.0486223360898091"
"Low transfer dependency","1992","no degree/no degree yet","56","0.051573860887325","0.0362097250986361","0.066937996676014"
"High transfer dependency","1992","lower secondary degree","71","0.011509428865217","0.00869970783315278","0.0143191498972813"
"High transfer dependency","1992","secondary school degree","40","0.010830124155519","0.00735260704849781","0.0143076412625401"
"High transfer dependency","1992","college entrance qualification","20","","",""
"High transfer dependency","1992","Other degree","19","","",""
"High transfer dependency","1992","no degree/no degree yet","12","","",""
"Very high transfer dependency","1992","lower secondary degree","33","0.00774962079372388","0.0054396796570058","0.010059561930442"
"Very high transfer dependency","1992","secondary school degree","18","","",""
"Very high transfer dependency","1992","college entrance qualification","7","","",""
"Very high transfer dependency","1992","Other degree","11","","",""
"Very high transfer dependency","1992","no degree/no degree yet","9","","",""
"Complete transfer dependency","1992","lower secondary degree","21","","",""
"Complete transfer dependency","1992","secondary school degree","3","","",""
"Complete transfer dependency","1992","college entrance qualification","5","","",""
"Complete transfer dependency","1992","Other degree","14","","",""
"Complete transfer dependency","1992","no degree/no degree yet","6","","",""
"No transfer dependency","1993","lower secondary degree","2840","0.600465682571856","0.587542235065979","0.613389130077733"
"No transfer dependency","1993","secondary school degree","1103","0.433096058554092","0.416520886573926","0.449671230534257"
"No transfer dependency","1993","college entrance qualification","672","0.509581008029688","0.485611996571094","0.533550019488281"
"No transfer dependency","1993","Other degree","278","0.331431515762394","0.301129042570293","0.361733988954496"
"No transfer dependency","1993","no degree/no degree yet","195","0.243228237703053","0.21371889525229","0.272737580153816"
"Very low transfer dependency","1993","lower secondary degree","2247","0.337478183311953","0.325002044841544","0.349954321782361"
"Very low transfer dependency","1993","secondary school degree","1914","0.474952038104422","0.458247458300565","0.491656617908278"
"Very low transfer dependency","1993","college entrance qualification","887","0.447776591237803","0.423934301285529","0.471618881190077"
"Very low transfer dependency","1993","Other degree","558","0.571362080990268","0.539504761927128","0.603219400053407"
"Very low transfer dependency","1993","no degree/no degree yet","525","0.64925204954235","0.616429348884043","0.682074750200657"
"Low transfer dependency","1993","lower secondary degree","284","0.0348092091909017","0.0299729350990398","0.0396454832827636"
"Low transfer dependency","1993","secondary school degree","315","0.0621661511328956","0.0540891316397389","0.0702431706260523"
"Low transfer dependency","1993","college entrance qualification","75","0.0282358428932612","0.0202936453914443","0.0361780403950782"
"Low transfer dependency","1993","Other degree","48","0.040177739379653","0.027536304213991","0.052819174545315"
"Low transfer dependency","1993","no degree/no degree yet","47","0.0559357183415115","0.0401299551973508","0.0717414814856723"
"High transfer dependency","1993","lower secondary degree","80","0.0130973604845376","0.0100976020116152","0.0160971189574601"
"High transfer dependency","1993","secondary school degree","56","0.0151939707591124","0.0111020974213913","0.0192858440968335"
"High transfer dependency","1993","college entrance qualification","22","","",""
"High transfer dependency","1993","Other degree","23","","",""
"High transfer dependency","1993","no degree/no degree yet","24","","",""
"Very high transfer dependency","1993","lower secondary degree","45","0.00892990743047767","0.00644772951806069","0.0114120853428947"
"Very high transfer dependency","1993","secondary school degree","33","0.00973483766460542","0.00645047356327851","0.0130192017659323"
"Very high transfer dependency","1993","college entrance qualification","11","","",""
"Very high transfer dependency","1993","Other degree","10","","",""
"Very high transfer dependency","1993","no degree/no degree yet","14","","",""
"Complete transfer dependency","1993","lower secondary degree","22","","",""
"Complete transfer dependency","1993","secondary school degree","12","","",""
"Complete transfer dependency","1993","college entrance qualification","4","","",""
"Complete transfer dependency","1993","Other degree","10","","",""
"Complete transfer dependency","1993","no degree/no degree yet","7","","",""
"No transfer dependency","1994","lower secondary degree","2806","0.604685103917525","0.591602341559779","0.617767866275271"
"No transfer dependency","1994","secondary school degree","1163","0.462995159460544","0.44615776404964","0.479832554871448"
"No transfer dependency","1994","college entrance qualification","686","0.503164723431169","0.47941808870787","0.526911358154467"
"No transfer dependency","1994","Other degree","262","0.324728010628195","0.29364743223543","0.355808589020959"
"No transfer dependency","1994","no degree/no degree yet","184","0.214904036643576","0.186458410901816","0.243349662385336"
"Very low transfer dependency","1994","lower secondary degree","2113","0.328982275278837","0.316409924958139","0.341554625599535"
"Very low transfer dependency","1994","secondary school degree","1799","0.441769099806053","0.425000291909668","0.458537907702438"
"Very low transfer dependency","1994","college entrance qualification","893","0.44636367866122","0.422753597595238","0.469973759727201"
"Very low transfer dependency","1994","Other degree","506","0.536633306144103","0.503536120386562","0.569730491901644"
"Very low transfer dependency","1994","no degree/no degree yet","523","0.666912826913616","0.634273189733407","0.699552464093825"
"Low transfer dependency","1994","lower secondary degree","275","0.0336778077657319","0.0288505986667678","0.0385050168646961"
"Low transfer dependency","1994","secondary school degree","294","0.0605180829462055","0.052466442379382","0.068569723513029"
"Low transfer dependency","1994","college entrance qualification","82","0.0293101798431232","0.0212991150150564","0.03732124467119"
"Low transfer dependency","1994","Other degree","60","0.0716776392043075","0.054556561404134","0.0887987170044811"
"Low transfer dependency","1994","no degree/no degree yet","50","0.0560459199784606","0.0401172590296991","0.0719745809272221"
"High transfer dependency","1994","lower secondary degree","92","0.0155908163489307","0.0122758014540685","0.0189058312437929"
"High transfer dependency","1994","secondary school degree","68","0.0188002262130251","0.0142139749676177","0.0233864774584325"
"High transfer dependency","1994","college entrance qualification","24","","",""
"High transfer dependency","1994","Other degree","21","","",""
"High transfer dependency","1994","no degree/no degree yet","19","","",""
"Very high transfer dependency","1994","lower secondary degree","53","0.0110608645957654","0.0082622535262104","0.0138594756653203"
"Very high transfer dependency","1994","secondary school degree","33","0.0120500801145021","0.00836573742763112","0.0157344228013731"
"Very high transfer dependency","1994","college entrance qualification","10","","",""
"Very high transfer dependency","1994","Other degree","12","","",""
"Very high transfer dependency","1994","no degree/no degree yet","11","","",""
"Complete transfer dependency","1994","lower secondary degree","26","","",""
"Complete transfer dependency","1994","secondary school degree","12","","",""
"Complete transfer dependency","1994","college entrance qualification","8","","",""
"Complete transfer dependency","1994","Other degree","11","","",""
"Complete transfer dependency","1994","no degree/no degree yet","14","","",""
"No transfer dependency","1995","lower secondary degree","2815","0.616291783603247","0.603155155989991","0.629428411216503"
"No transfer dependency","1995","secondary school degree","1199","0.470003123431927","0.453319814880902","0.486686431982952"
"No transfer dependency","1995","college entrance qualification","754","0.517248066010546","0.49403408960029","0.540462042420801"
"No transfer dependency","1995","Other degree","318","0.318822575089834","0.291876672683561","0.345768477496108"
"No transfer dependency","1995","no degree/no degree yet","176","0.200612153181877","0.173252816508501","0.227971489855252"
"Very low transfer dependency","1995","lower secondary degree","1955","0.302035891227844","0.289632627650204","0.314439154805483"
"Very low transfer dependency","1995","secondary school degree","1875","0.448377419879553","0.431753323837285","0.46500151592182"
"Very low transfer dependency","1995","college entrance qualification","912","0.432343947179367","0.409329771816855","0.455358122541879"
"Very low transfer dependency","1995","Other degree","653","0.483443689509092","0.454548878367214","0.51233850065097"
"Very low transfer dependency","1995","no degree/no degree yet","533","0.664976703788924","0.632729735356072","0.697223672221777"
"Low transfer dependency","1995","lower secondary degree","289","0.0432145754528126","0.0377215381096882","0.0487076127959371"
"Low transfer dependency","1995","secondary school degree","240","0.0468985348324943","0.0398313839919736","0.0539656856730149"
"Low transfer dependency","1995","college entrance qualification","65","0.0240653640511813","0.0169459430800794","0.0311847850222833"
"Low transfer dependency","1995","Other degree","91","0.0769284044981793","0.0615203029200768","0.0923365060762818"
"Low transfer dependency","1995","no degree/no degree yet","55","0.0548134978843571","0.0392627712322811","0.0703642245364331"
"High transfer dependency","1995","lower secondary degree","96","0.0156467483016928","0.0122941795785428","0.0189993170248428"
"High transfer dependency","1995","secondary school degree","71","0.0204830632174558","0.0157482965404355","0.0252178298944761"
"High transfer dependency","1995","college entrance qualification","16","","",""
"High transfer dependency","1995","Other degree","25","","",""
"High transfer dependency","1995","no degree/no degree yet","30","0.0252246472972403","0.0145116006887458","0.0359376939057348"
