"transab_cat","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1985","middle vocational","134","0.0213411829529367","0.0173349940495272","0.0253473718563461","2"
"Low transfer dependency","1985","general elemantary","113","0.0298606286623831","0.0237425201594786","0.0359787371652876","2"
"Low transfer dependency","1985","in school","8","","","","2"
"Low transfer dependency","1985","inadequately","52","0.0879776664918706","0.0684584317845985","0.107496901199143","2"
"No transfer dependency","1985","in school","9","","","","0"
"No transfer dependency","1985","inadequately","185","0.286373220184319","0.255221961352273","0.317524479016365","0"
"No transfer dependency","1985","general elemantary","1129","0.495208661787852","0.477236484266708","0.513180839308996","0"
"No transfer dependency","1985","middle vocational","2066","0.496392630160439","0.482532566544544","0.510252693776334","0"
"No transfer dependency","1985","vocational + Abi","117","0.557414493968282","0.497837281056046","0.616991706880518","0"
"No transfer dependency","1985","higher vocational","268","0.511406413192228","0.471139883362389","0.551672943022067","0"
"No transfer dependency","1985","higher education","325","0.525114748309047","0.488562847859449","0.561666648758645","0"
"Very high transfer dependency","1985","higher vocational","2","","","","4"
"Very high transfer dependency","1985","higher education","1","","","","4"
"Very high transfer dependency","1985","general elemantary","19","","","","4"
"Very high transfer dependency","1985","middle vocational","36","0.00744948171396455","0.00506581318786269","0.0098331502400664","4"
"Very high transfer dependency","1985","vocational + Abi","2","","","","4"
"Very high transfer dependency","1985","inadequately","6","","","","4"
"Very high transfer dependency","1985","in school","3","","","","4"
"Very low transfer dependency","1985","inadequately","537","0.559655925044478","0.525447706213139","0.593864143875818","1"
"Very low transfer dependency","1985","higher education","377","0.457841390627117","0.42137361966471","0.494309161589524","1"
"Very low transfer dependency","1985","general elemantary","1628","0.439721800664248","0.421879884375822","0.457563716952673","1"
"Very low transfer dependency","1985","in school","158","0.867402989519562","0.817996257667482","0.916809721371643","1"
"Very low transfer dependency","1985","middle vocational","2670","0.457453043155013","0.44364289145808","0.471263194851946","1"
"Very low transfer dependency","1985","higher vocational","295","0.438515409623086","0.398544080631634","0.478486738614538","1"
"Very low transfer dependency","1985","vocational + Abi","126","0.374495422543684","0.316441580987408","0.432549264099961","1"
"Complete transfer dependency","1986","middle vocational","25","","","","5"
"Complete transfer dependency","1986","higher education","5","","","","5"
"Complete transfer dependency","1986","general elemantary","38","0.0139227837924017","0.00956643826096909","0.0182791293238343","5"
"Complete transfer dependency","1986","inadequately","11","","","","5"
"Complete transfer dependency","1986","higher vocational","5","","","","5"
"Complete transfer dependency","1986","in school","","","","","5"
"Complete transfer dependency","1986","vocational + Abi","1","","","","5"
"High transfer dependency","1986","higher education","3","","","","3"
"High transfer dependency","1986","general elemantary","42","0.0149907522567702","0.0104728619201616","0.0195086425933788","3"
"High transfer dependency","1986","higher vocational","4","","","","3"
"High transfer dependency","1986","middle vocational","47","0.00971032482410421","0.00694052776509384","0.0124801218831146","3"
"High transfer dependency","1986","inadequately","16","","","","3"
"High transfer dependency","1986","in school","2","","","","3"
"High transfer dependency","1986","vocational + Abi","7","","","","3"
"Low transfer dependency","1986","higher vocational","12","","","","2"
"Low transfer dependency","1986","higher education","10","","","","2"
"Low transfer dependency","1986","inadequately","56","0.0732346363860671","0.0546392340185813","0.0918300387535529","2"
"Low transfer dependency","1986","middle vocational","135","0.0261035146636727","0.0215999558615978","0.0306070734657476","2"
"Low transfer dependency","1986","vocational + Abi","15","","","","2"
"Low transfer dependency","1986","in school","3","","","","2"
"Low transfer dependency","1986","general elemantary","88","0.0276008761331537","0.0215098911174778","0.0336918611488297","2"
"No transfer dependency","1986","in school","10","","","","0"
"No transfer dependency","1986","inadequately","170","0.286473513742939","0.254202715735078","0.3187443117508","0"
"No transfer dependency","1986","general elemantary","1089","0.516136184541841","0.49755610606479","0.534716263018892","0"
"No transfer dependency","1986","middle vocational","2038","0.498800442301979","0.484677710888203","0.512923173715754","0"
"No transfer dependency","1986","vocational + Abi","124","0.603900999783649","0.544679119400851","0.663122880166447","0"
"No transfer dependency","1986","higher vocational","250","0.515313303717544","0.473734898599165","0.556891708835924","0"
"No transfer dependency","1986","higher education","312","0.499023436508483","0.462322892476961","0.535723980540004","0"
"Very high transfer dependency","1986","higher vocational","3","","","","4"
"Very high transfer dependency","1986","higher education","2","","","","4"
"Very high transfer dependency","1986","in school","2","","","","4"
"Very high transfer dependency","1986","inadequately","11","","","","4"
"Very high transfer dependency","1986","general elemantary","13","","","","4"
"Very high transfer dependency","1986","middle vocational","33","0.00733730677724587","0.00492674018059755","0.00974787337389418","4"
"Very high transfer dependency","1986","vocational + Abi","3","","","","4"
"Very low transfer dependency","1986","general elemantary","1509","0.423098858549458","0.404730284490794","0.441467432608122","1"
"Very low transfer dependency","1986","inadequately","490","0.568089993604534","0.532733627616741","0.603446359592327","1"
"Very low transfer dependency","1986","higher education","381","0.469262031162259","0.432630833926874","0.505893228397643","1"
"Very low transfer dependency","1986","middle vocational","2537","0.452328433782597","0.43826999847778","0.466386869087414","1"
"Very low transfer dependency","1986","higher vocational","281","0.430929233264559","0.389730134491607","0.472128332037511","1"
"Very low transfer dependency","1986","in school","164","0.886888445372386","0.840746405755952","0.933030484988819","1"
"Very low transfer dependency","1986","vocational + Abi","112","0.313865164800108","0.257673262032047","0.370057067568169","1"
"Complete transfer dependency","1987","general elemantary","28","","","","5"
"Complete transfer dependency","1987","inadequately","13","","","","5"
"Complete transfer dependency","1987","higher education","4","","","","5"
"Complete transfer dependency","1987","in school","","","","","5"
"Complete transfer dependency","1987","middle vocational","25","","","","5"
"Complete transfer dependency","1987","higher vocational","1","","","","5"
"Complete transfer dependency","1987","vocational + Abi","1","","","","5"
"High transfer dependency","1987","higher education","2","","","","3"
"High transfer dependency","1987","general elemantary","29","","","","3"
"High transfer dependency","1987","higher vocational","4","","","","3"
"High transfer dependency","1987","inadequately","22","","","","3"
"High transfer dependency","1987","in school","3","","","","3"
"High transfer dependency","1987","middle vocational","44","0.00829185295708038","0.00570896340311755","0.0108747425110432","3"
"High transfer dependency","1987","vocational + Abi","6","","","","3"
"Low transfer dependency","1987","higher vocational","13","","","","2"
"Low transfer dependency","1987","higher education","16","","","","2"
"Low transfer dependency","1987","general elemantary","118","0.0381804730188489","0.0309801618157904","0.0453807842219075","2"
"Low transfer dependency","1987","vocational + Abi","9","","","","2"
"Low transfer dependency","1987","inadequately","33","0.0431978462571951","0.028419596400183","0.0579760961142072","2"
"Low transfer dependency","1987","middle vocational","134","0.0264344372493537","0.0218650734596141","0.0310038010390934","2"
"Low transfer dependency","1987","in school","8","","","","2"
"No transfer dependency","1987","general elemantary","1087","0.545840611766213","0.527132890491945","0.564548333040481","0"
"No transfer dependency","1987","middle vocational","2065","0.519458882962582","0.505228094441927","0.533689671483238","0"
"No transfer dependency","1987","vocational + Abi","128","0.58156027547152","0.522278514864765","0.640842036078275","0"
"No transfer dependency","1987","higher vocational","231","0.488379096944736","0.446412619849621","0.530345574039852","0"
"No transfer dependency","1987","higher education","310","0.497482266847319","0.460704664312241","0.534259869382397","0"
"No transfer dependency","1987","in school","12","","","","0"
"No transfer dependency","1987","inadequately","166","0.249809170958398","0.21834103992033","0.281277301996466","0"
"Very high transfer dependency","1987","higher education","3","","","","4"
"Very high transfer dependency","1987","higher vocational","4","","","","4"
"Very high transfer dependency","1987","in school","1","","","","4"
"Very high transfer dependency","1987","inadequately","6","","","","4"
"Very high transfer dependency","1987","general elemantary","16","","","","4"
"Very high transfer dependency","1987","middle vocational","30","0.00698287934300484","0.00461104836799342","0.00935471031801626","4"
"Very high transfer dependency","1987","vocational + Abi","3","","","","4"
"Very low transfer dependency","1987","higher education","375","0.459987859217886","0.423327740820832","0.496647977614939","1"
"Very low transfer dependency","1987","general elemantary","1443","0.390184791152819","0.371856662930392","0.408512919375246","1"
"Very low transfer dependency","1987","higher vocational","292","0.470044176662989","0.428141765641995","0.511946587683983","1"
"Very low transfer dependency","1987","inadequately","487","0.614135689708577","0.578749780448298","0.649521598968856","1"
"Very low transfer dependency","1987","in school","156","0.848860765112908","0.796534627565591","0.901186902660225","1"
"Very low transfer dependency","1987","middle vocational","2437","0.433086666457884","0.418973195246586","0.447200137669183","1"
"Very low transfer dependency","1987","vocational + Abi","119","0.348417698084185","0.291158927877942","0.405676468290428","1"
"Complete transfer dependency","1988","general elemantary","30","0.0125726867885623","0.00829891555631406","0.0168464580208105","5"
"Complete transfer dependency","1988","higher education","","","","","5"
"Complete transfer dependency","1988","inadequately","16","","","","5"
"Complete transfer dependency","1988","higher vocational","1","","","","5"
"Complete transfer dependency","1988","in school","","","","","5"
"Complete transfer dependency","1988","middle vocational","16","","","","5"
"Complete transfer dependency","1988","vocational + Abi","1","","","","5"
"High transfer dependency","1988","higher education","2","","","","3"
"High transfer dependency","1988","higher vocational","7","","","","3"
"High transfer dependency","1988","general elemantary","34","0.0111242080621951","0.00710120762905927","0.0151472084953308","3"
"High transfer dependency","1988","middle vocational","32","0.0071953368517475","0.00472589216115101","0.009664781542344","3"
"High transfer dependency","1988","inadequately","7","","","","3"
"High transfer dependency","1988","vocational + Abi","2","","","","3"
"High transfer dependency","1988","in school","1","","","","3"
"Low transfer dependency","1988","higher education","10","","","","2"
"Low transfer dependency","1988","higher vocational","11","","","","2"
"Low transfer dependency","1988","general elemantary","96","0.0309540063664141","0.0243108376234651","0.037597175109363","2"
"Low transfer dependency","1988","middle vocational","114","0.0228334474382248","0.0184691747913722","0.0271977200850773","2"
"Low transfer dependency","1988","vocational + Abi","8","","","","2"
"Low transfer dependency","1988","inadequately","51","0.0819872405034493","0.061275545784015","0.102698935222884","2"
"Low transfer dependency","1988","in school","8","","","","2"
"No transfer dependency","1988","general elemantary","1036","0.549103300455777","0.530017507407844","0.56818909350371","0"
"No transfer dependency","1988","middle vocational","2022","0.539367338559159","0.524803980728204","0.553930696390114","0"
"No transfer dependency","1988","vocational + Abi","119","0.569652992869591","0.509353620164607","0.629952365574575","0"
"No transfer dependency","1988","higher vocational","226","0.52973979872849","0.48637976477105","0.573099832685929","0"
"No transfer dependency","1988","higher education","304","0.55332062963134","0.514713745362135","0.591927513900546","0"
"No transfer dependency","1988","in school","8","","","","0"
"No transfer dependency","1988","inadequately","158","0.247270794296926","0.214700330854944","0.279841257738908","0"
"Very high transfer dependency","1988","higher vocational","","","","","4"
"Very high transfer dependency","1988","higher education","1","","","","4"
"Very high transfer dependency","1988","general elemantary","31","0.0129605753794238","0.00862223077411419","0.0172989199847333","4"
"Very high transfer dependency","1988","middle vocational","30","0.00753062547208617","0.00500472685152456","0.0100565240926478","4"
"Very high transfer dependency","1988","vocational + Abi","2","","","","4"
"Very high transfer dependency","1988","in school","3","","","","4"
"Very high transfer dependency","1988","inadequately","7","","","","4"
"Very low transfer dependency","1988","higher education","320","0.42674459062898","0.388335283937412","0.465153897320549","1"
"Very low transfer dependency","1988","higher vocational","264","0.432044854270497","0.389010961075034","0.47507874746596","1"
"Very low transfer dependency","1988","general elemantary","1384","0.383285222947628","0.364636552668902","0.401933893226354","1"
"Very low transfer dependency","1988","middle vocational","2286","0.418530624999257","0.404117144057979","0.432944105940536","1"
"Very low transfer dependency","1988","vocational + Abi","127","0.394399821685752","0.334880282365577","0.453919361005928","1"
"Very low transfer dependency","1988","inadequately","435","0.593023430216204","0.55593497262756","0.630111887804847","1"
"Very low transfer dependency","1988","in school","131","0.844646122296076","0.786868713241876","0.902423531350277","1"
"Complete transfer dependency","1989","general elemantary","29","","","","5"
"Complete transfer dependency","1989","inadequately","19","","","","5"
"Complete transfer dependency","1989","higher education","","","","","5"
"Complete transfer dependency","1989","higher vocational","1","","","","5"
"Complete transfer dependency","1989","in school","2","","","","5"
"Complete transfer dependency","1989","middle vocational","27","","","","5"
"Complete transfer dependency","1989","vocational + Abi","1","","","","5"
"High transfer dependency","1989","higher education","","","","","3"
"High transfer dependency","1989","higher vocational","1","","","","3"
"High transfer dependency","1989","inadequately","11","","","","3"
"High transfer dependency","1989","general elemantary","36","0.0117321669664403","0.00749343187721369","0.0159709020556668","3"
"High transfer dependency","1989","middle vocational","42","0.0110603177066142","0.00796127354264882","0.0141593618705796","3"
"High transfer dependency","1989","vocational + Abi","6","","","","3"
"High transfer dependency","1989","in school","3","","","","3"
"Low transfer dependency","1989","higher vocational","11","","","","2"
"Low transfer dependency","1989","higher education","10","","","","2"
"Low transfer dependency","1989","general elemantary","95","0.0281185402680128","0.0216110599705153","0.0346260205655103","2"
"Low transfer dependency","1989","middle vocational","105","0.0208997321081909","0.0166609313169806","0.0251385328994012","2"
"Low transfer dependency","1989","vocational + Abi","12","","","","2"
"Low transfer dependency","1989","in school","10","","","","2"
"Low transfer dependency","1989","inadequately","42","0.063341976188473","0.044306703548276","0.08237724882867","2"
"No transfer dependency","1989","general elemantary","1036","0.570360631721128","0.550874006483187","0.589847256959068","0"
"No transfer dependency","1989","middle vocational","1971","0.538372481253137","0.523600241965008","0.553144720541266","0"
"No transfer dependency","1989","vocational + Abi","129","0.567468915389018","0.509439422422877","0.62549840835516","0"
"No transfer dependency","1989","higher vocational","224","0.537967996804584","0.493320760192639","0.58261523341653","0"
"No transfer dependency","1989","higher education","318","0.553667082297558","0.515421651831029","0.591912512764087","0"
"No transfer dependency","1989","in school","4","","","","0"
"No transfer dependency","1989","inadequately","150","0.254448879290174","0.220411058046186","0.288486700534161","0"
"Very high transfer dependency","1989","higher vocational","1","","","","4"
"Very high transfer dependency","1989","higher education","1","","","","4"
"Very high transfer dependency","1989","middle vocational","21","","","","4"
"Very high transfer dependency","1989","general elemantary","27","","","","4"
"Very high transfer dependency","1989","vocational + Abi","","","","","4"
"Very high transfer dependency","1989","in school","","","","","4"
"Very high transfer dependency","1989","inadequately","5","","","","4"
"Very low transfer dependency","1989","higher education","320","0.428158776296784","0.390090264623132","0.466227287970435","1"
"Very low transfer dependency","1989","higher vocational","241","0.441217780790283","0.396751774371717","0.485683787208849","1"
"Very low transfer dependency","1989","inadequately","402","0.575999213476455","0.537378788839149","0.614619638113761","1"
"Very low transfer dependency","1989","general elemantary","1256","0.365019886078698","0.346068186975522","0.383971585181873","1"
"Very low transfer dependency","1989","middle vocational","2209","0.416587884742648","0.401979570519935","0.43119619896536","1"
"Very low transfer dependency","1989","vocational + Abi","132","0.366215358606977","0.309785598016869","0.422645119197085","1"
"Very low transfer dependency","1989","in school","135","0.852646918193833","0.796664461141561","0.908629375246104","1"
"Complete transfer dependency","1990","higher education","","","","","5"
"Complete transfer dependency","1990","inadequately","12","","","","5"
"Complete transfer dependency","1990","general elemantary","16","","","","5"
"Complete transfer dependency","1990","higher vocational","2","","","","5"
"Complete transfer dependency","1990","in school","1","","","","5"
"Complete transfer dependency","1990","middle vocational","19","","","","5"
"Complete transfer dependency","1990","vocational + Abi","2","","","","5"
"High transfer dependency","1990","higher vocational","2","","","","3"
"High transfer dependency","1990","higher education","1","","","","3"
"High transfer dependency","1990","inadequately","14","","","","3"
"High transfer dependency","1990","general elemantary","44","0.0217018909029866","0.0158095077703876","0.0275942740355856","3"
"High transfer dependency","1990","middle vocational","33","0.00658427884710326","0.00415649483798529","0.00901206285622123","3"
"High transfer dependency","1990","vocational + Abi","2","","","","3"
"High transfer dependency","1990","in school","3","","","","3"
"Low transfer dependency","1990","general elemantary","90","0.0298113369909929","0.0229339192075007","0.0366887547744851","2"
"Low transfer dependency","1990","middle vocational","89","0.0190562853621214","0.0149520562847677","0.023160514439475","2"
"Low transfer dependency","1990","vocational + Abi","14","","","","2"
"Low transfer dependency","1990","higher vocational","5","","","","2"
"Low transfer dependency","1990","higher education","6","","","","2"
"Low transfer dependency","1990","in school","4","","","","2"
"Low transfer dependency","1990","inadequately","28","","","","2"
"No transfer dependency","1990","general elemantary","1039","0.579797417835972","0.559836795416954","0.59975804025499","0"
"No transfer dependency","1990","middle vocational","2046","0.560736478790001","0.545838326852894","0.575634630727108","0"
"No transfer dependency","1990","in school","8","","","","0"
"No transfer dependency","1990","inadequately","148","0.286852074087971","0.25081170643534","0.322892441740601","0"
"No transfer dependency","1990","vocational + Abi","132","0.558368442872899","0.500410359013269","0.616326526732528","0"
"No transfer dependency","1990","higher vocational","235","0.552957669317266","0.508292921941158","0.597622416693374","0"
"No transfer dependency","1990","higher education","328","0.565998068415338","0.527448942584183","0.604547194246492","0"
"Very high transfer dependency","1990","general elemantary","17","","","","4"
"Very high transfer dependency","1990","vocational + Abi","3","","","","4"
"Very high transfer dependency","1990","middle vocational","18","","","","4"
"Very high transfer dependency","1990","higher vocational","","","","","4"
"Very high transfer dependency","1990","higher education","1","","","","4"
"Very high transfer dependency","1990","in school","1","","","","4"
"Very high transfer dependency","1990","inadequately","7","","","","4"
"Very low transfer dependency","1990","higher vocational","232","0.422613933221797","0.378237778198777","0.466990088244817","1"
"Very low transfer dependency","1990","higher education","299","0.423408273444278","0.38497785603336","0.461838690855197","1"
"Very low transfer dependency","1990","inadequately","396","0.58332754133662","0.54404278695003","0.622612295723209","1"
"Very low transfer dependency","1990","general elemantary","1143","0.355121661959021","0.335769296389293","0.374474027528749","1"
"Very low transfer dependency","1990","middle vocational","2058","0.403605193984839","0.388877467020683","0.418332920948994","1"
"Very low transfer dependency","1990","vocational + Abi","129","0.369278797119348","0.312951431708984","0.425606162529712","1"
"Very low transfer dependency","1990","in school","123","0.867874449717572","0.811781803438659","0.923967095996484","1"
"Complete transfer dependency","1991","higher education","1","","","","5"
"Complete transfer dependency","1991","higher vocational","3","","","","5"
"Complete transfer dependency","1991","inadequately","11","","","","5"
"Complete transfer dependency","1991","general elemantary","21","","","","5"
"Complete transfer dependency","1991","vocational + Abi","2","","","","5"
"Complete transfer dependency","1991","in school","1","","","","5"
"Complete transfer dependency","1991","middle vocational","17","","","","5"
"High transfer dependency","1991","general elemantary","41","0.021251346008131","0.0153328104864728","0.0271698815297893","3"
"High transfer dependency","1991","inadequately","7","","","","3"
"High transfer dependency","1991","middle vocational","35","0.00732230164373535","0.00475366187661848","0.00989094141085222","3"
"High transfer dependency","1991","higher vocational","2","","","","3"
"High transfer dependency","1991","vocational + Abi","4","","","","3"
"High transfer dependency","1991","higher education","1","","","","3"
"High transfer dependency","1991","in school","","","","","3"
"Low transfer dependency","1991","general elemantary","83","0.0318640661687892","0.0246562414645402","0.0390718908730381","2"
"Low transfer dependency","1991","middle vocational","110","0.0226507141611205","0.0181679993376364","0.0271334289846045","2"
"Low transfer dependency","1991","in school","8","","","","2"
"Low transfer dependency","1991","inadequately","39","0.0660588306900986","0.0459995366453076","0.0861181247348896","2"
"Low transfer dependency","1991","vocational + Abi","17","","","","2"
"Low transfer dependency","1991","higher vocational","7","","","","2"
"Low transfer dependency","1991","higher education","8","","","","2"
"No transfer dependency","1991","general elemantary","1076","0.60089917217151","0.580802341859944","0.620996002483077","0"
"No transfer dependency","1991","middle vocational","2101","0.578188491638276","0.563309647467741","0.593067335808811","0"
"No transfer dependency","1991","in school","7","","","","0"
"No transfer dependency","1991","inadequately","148","0.287068570345655","0.250533735592644","0.323603405098665","0"
"No transfer dependency","1991","vocational + Abi","140","0.566132078401952","0.509091129100126","0.623173027703778","0"
"No transfer dependency","1991","higher vocational","233","0.544377394218228","0.499590189366164","0.589164599070293","0"
"No transfer dependency","1991","higher education","338","0.567463477395139","0.529110469840722","0.605816484949557","0"
"Very high transfer dependency","1991","general elemantary","17","","","","4"
"Very high transfer dependency","1991","middle vocational","13","","","","4"
"Very high transfer dependency","1991","in school","","","","","4"
"Very high transfer dependency","1991","inadequately","4","","","","4"
"Very high transfer dependency","1991","vocational + Abi","1","","","","4"
"Very high transfer dependency","1991","higher vocational","1","","","","4"
"Very high transfer dependency","1991","higher education","2","","","","4"
"Very low transfer dependency","1991","middle vocational","1956","0.383373198543599","0.36872455759238","0.398021839494819","1"
"Very low transfer dependency","1991","higher vocational","229","0.432385696686391","0.38783406535272","0.476937328020062","1"
"Very low transfer dependency","1991","general elemantary","1043","0.330112002862589","0.310813785028945","0.349410220696233","1"
"Very low transfer dependency","1991","vocational + Abi","126","0.370746802984025","0.315156311362723","0.426337294605327","1"
"Very low transfer dependency","1991","higher education","291","0.41304966294292","0.374932471754529","0.451166854131312","1"
"Very low transfer dependency","1991","inadequately","380","0.588211265778346","0.548465182042579","0.627957349514113","1"
"Very low transfer dependency","1991","in school","113","0.841483296240556","0.778458202242479","0.904508390238634","1"
"Complete transfer dependency","1992","higher vocational","1","","","","5"
"Complete transfer dependency","1992","higher education","","","","","5"
"Complete transfer dependency","1992","general elemantary","12","","","","5"
"Complete transfer dependency","1992","inadequately","7","","","","5"
"Complete transfer dependency","1992","in school","","","","","5"
"Complete transfer dependency","1992","middle vocational","22","","","","5"
"Complete transfer dependency","1992","vocational + Abi","7","","","","5"
"High transfer dependency","1992","inadequately","13","","","","3"
"High transfer dependency","1992","general elemantary","45","0.0152872697806381","0.0106052802682342","0.019969259293042","3"
"High transfer dependency","1992","higher education","20","","","","3"
"High transfer dependency","1992","middle vocational","71","0.00987926387714908","0.00744361078405902","0.0123149169702391","3"
"High transfer dependency","1992","vocational + Abi","6","","","","3"
"High transfer dependency","1992","higher vocational","7","","","","3"
"High transfer dependency","1992","in school","1","","","","3"
"Low transfer dependency","1992","general elemantary","116","0.03255141596537","0.0257795308067398","0.0393233011240001","2"
"Low transfer dependency","1992","middle vocational","341","0.036268042177274","0.0316638944705911","0.040872189883957","2"
"Low transfer dependency","1992","higher education","81","0.0342370175467959","0.02510768877037","0.0433663463232217","2"
"Low transfer dependency","1992","in school","8","","","","2"
"Low transfer dependency","1992","inadequately","41","0.0526766982290099","0.0345591239612366","0.0707942724967833","2"
"Low transfer dependency","1992","higher vocational","19","","","","2"
"Low transfer dependency","1992","vocational + Abi","26","","","","2"
"No transfer dependency","1992","general elemantary","1192","0.573740970694271","0.554869514071869","0.592612427316673","0"
"No transfer dependency","1992","middle vocational","2732","0.531044248749077","0.518754575123185","0.543333922374968","0"
"No transfer dependency","1992","higher education","534","0.466403641375678","0.441357374584597","0.491449908166758","0"
"No transfer dependency","1992","in school","8","","","","0"
"No transfer dependency","1992","inadequately","157","0.308193193624159","0.270743729784774","0.345642657463545","0"
"No transfer dependency","1992","vocational + Abi","149","0.504168221521426","0.452520430254342","0.55581601278851","0"
"No transfer dependency","1992","higher vocational","325","0.55430997095996","0.517903013666946","0.590716928252974","0"
"Very high transfer dependency","1992","general elemantary","30","0.0111776023761996","0.00716575713975964","0.0151894476126396","4"
"Very high transfer dependency","1992","middle vocational","27","","","","4"
"Very high transfer dependency","1992","higher education","6","","","","4"
"Very high transfer dependency","1992","in school","4","","","","4"
"Very high transfer dependency","1992","inadequately","6","","","","4"
"Very high transfer dependency","1992","vocational + Abi","2","","","","4"
"Very high transfer dependency","1992","higher vocational","4","","","","4"
"Very low transfer dependency","1992","inadequately","360","0.574931281885635","0.534837298165573","0.615025265605698","1"
"Very low transfer dependency","1992","general elemantary","1243","0.362520711739666","0.344176031464697","0.380865392014635","1"
"Very low transfer dependency","1992","middle vocational","3141","0.412150341607878","0.400028460261536","0.42427222295422","1"
"Very low transfer dependency","1992","vocational + Abi","170","0.413807030421835","0.362930665255223","0.464683395588447","1"
"Very low transfer dependency","1992","higher vocational","360","0.404800065665652","0.368846389342722","0.440753741988582","1"
"Very low transfer dependency","1992","higher education","883","0.482967249059809","0.457878819603913","0.508055678515705","1"
"Very low transfer dependency","1992","in school","151","0.891141035874349","0.844594304661444","0.937687767087254","1"
"Complete transfer dependency","1993","general elemantary","11","","","","5"
"Complete transfer dependency","1993","inadequately","7","","","","5"
