"transab_cat","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Very high transfer dependency","1985","Not Working","Rural Area","15","","","","4"
"Very low transfer dependency","1985","Not Working","Urban Area","1483","0.346510251031343","0.330071643157546","0.36294885890514","1"
"Very low transfer dependency","1985","Full Time","Urban Area","2194","0.498372763111005","0.482504644025963","0.514240882196048","1"
"Very low transfer dependency","1985","Part Time","Rural Area","270","0.685911296980842","0.638870743188334","0.732951850773351","1"
"Very low transfer dependency","1985","Part Time","Urban Area","923","0.603130484739921","0.577629738082001","0.628631231397841","1"
"Very low transfer dependency","1985","Full Time","Rural Area","601","0.59112106068913","0.559642571322752","0.622599550055508","1"
"Very low transfer dependency","1985","Not Working","Rural Area","397","0.357518672674202","0.326013865181426","0.389023480166978","1"
"Complete transfer dependency","1986","Full Time","Rural Area","","","","","5"
"Complete transfer dependency","1986","Full Time","Urban Area","","","","","5"
"Complete transfer dependency","1986","Part Time","Urban Area","","","","","5"
"Complete transfer dependency","1986","Part Time","Rural Area","","","","","5"
"Complete transfer dependency","1986","Not Working","Urban Area","66","0.0202303271613048","0.015209951936557","0.0252507023860526","5"
"Complete transfer dependency","1986","Not Working","Rural Area","21","","","","5"
"High transfer dependency","1986","Full Time","Urban Area","3","","","","3"
"High transfer dependency","1986","Full Time","Rural Area","3","","","","3"
"High transfer dependency","1986","Not Working","Rural Area","15","","","","3"
"High transfer dependency","1986","Not Working","Urban Area","56","0.0131698034119224","0.00910458775454512","0.0172350190692997","3"
"High transfer dependency","1986","Part Time","Urban Area","35","0.025353372951978","0.017014195221619","0.0336925506823369","3"
"High transfer dependency","1986","Part Time","Rural Area","10","","","","3"
"Low transfer dependency","1986","Not Working","Urban Area","116","0.0276296616422415","0.0217847713643931","0.0334745519200899","2"
"Low transfer dependency","1986","Full Time","Urban Area","57","0.0119476049620441","0.00843960354745091","0.0154556063766374","2"
"Low transfer dependency","1986","Not Working","Rural Area","33","0.0297871947764935","0.0179476827230872","0.0416267068298997","2"
"Low transfer dependency","1986","Part Time","Urban Area","71","0.0541795392410603","0.0421706242263173","0.0661884542558033","2"
"Low transfer dependency","1986","Full Time","Rural Area","15","","","","2"
"Low transfer dependency","1986","Part Time","Rural Area","37","0.0867307451885641","0.0585077977347554","0.114953692642373","2"
"No transfer dependency","1986","Full Time","Urban Area","1560","0.507706217874171","0.491564574005531","0.523847861742811","0"
"No transfer dependency","1986","Full Time","Rural Area","329","0.40008850786112","0.368499663750837","0.431677351971402","0"
"No transfer dependency","1986","Part Time","Urban Area","385","0.320229149092261","0.295478108359056","0.344980189825467","0"
"No transfer dependency","1986","Part Time","Rural Area","74","0.224393664437937","0.182558413439453","0.266228915436421","0"
"No transfer dependency","1986","Not Working","Urban Area","1303","0.576506584989164","0.558886897738949","0.59412627223938","0"
"No transfer dependency","1986","Not Working","Rural Area","366","0.577703081745165","0.543304004052306","0.612102159438024","0"
"Very high transfer dependency","1986","Part Time","Rural Area","2","","","","4"
"Very high transfer dependency","1986","Full Time","Urban Area","2","","","","4"
"Very high transfer dependency","1986","Part Time","Urban Area","9","","","","4"
"Very high transfer dependency","1986","Not Working","Rural Area","4","","","","4"
"Very high transfer dependency","1986","Full Time","Rural Area","","","","","4"
"Very high transfer dependency","1986","Not Working","Urban Area","51","0.0152708307217926","0.010898002057581","0.0196436593860041","4"
"Very low transfer dependency","1986","Not Working","Urban Area","1429","0.347192792073574","0.330216198598327","0.364169385548821","1"
"Very low transfer dependency","1986","Full Time","Urban Area","2063","0.479629310842743","0.46349915305328","0.495759468632207","1"
"Very low transfer dependency","1986","Part Time","Rural Area","259","0.650105355989973","0.602277938748968","0.697932773230978","1"
"Very low transfer dependency","1986","Full Time","Rural Area","577","0.581082165647077","0.549269848494579","0.612894482799575","1"
"Very low transfer dependency","1986","Part Time","Urban Area","865","0.594203419159111","0.568153670924291","0.62025316739393","1"
"Very low transfer dependency","1986","Not Working","Rural Area","353","0.345922979596354","0.312795404094886","0.379050555097821","1"
"Complete transfer dependency","1987","Full Time","Urban Area","","","","","5"
"Complete transfer dependency","1987","Full Time","Rural Area","","","","","5"
"Complete transfer dependency","1987","Part Time","Urban Area","","","","","5"
"Complete transfer dependency","1987","Part Time","Rural Area","","","","","5"
"Complete transfer dependency","1987","Not Working","Urban Area","62","0.0192287710735844","0.0142545832738772","0.0242029588732916","5"
"Complete transfer dependency","1987","Not Working","Rural Area","12","","","","5"
"High transfer dependency","1987","Full Time","Rural Area","3","","","","3"
"High transfer dependency","1987","Full Time","Urban Area","7","","","","3"
"High transfer dependency","1987","Not Working","Urban Area","50","0.0101526384673249","0.0065215558503675","0.0137837210842822","3"
"High transfer dependency","1987","Not Working","Rural Area","14","","","","3"
"High transfer dependency","1987","Part Time","Urban Area","32","0.0212365940000656","0.0135086550713802","0.0289645329287509","3"
"High transfer dependency","1987","Part Time","Rural Area","7","","","","3"
"Low transfer dependency","1987","Full Time","Rural Area","13","","","","2"
"Low transfer dependency","1987","Part Time","Urban Area","72","0.049252210092595","0.0376530134450091","0.0608514067401809","2"
"Low transfer dependency","1987","Not Working","Rural Area","34","0.0349299636555363","0.0217281935136952","0.0481317337973775","2"
"Low transfer dependency","1987","Full Time","Urban Area","58","0.0134455230421414","0.00972187344862163","0.0171691726356611","2"
"Low transfer dependency","1987","Not Working","Urban Area","133","0.0365769082519139","0.0297774458442086","0.0433763706596193","2"
"Low transfer dependency","1987","Part Time","Rural Area","32","0.0740040463117782","0.0483823321226913","0.0996257605008651","2"
"No transfer dependency","1987","Full Time","Urban Area","1592","0.5251574978033","0.509012462576832","0.541302533029768","0"
"No transfer dependency","1987","Full Time","Rural Area","337","0.415811945696499","0.383929504496588","0.447694386896409","0"
"No transfer dependency","1987","Part Time","Urban Area","384","0.351448259717209","0.325857369102575","0.377039150331843","0"
"No transfer dependency","1987","Part Time","Rural Area","65","0.203550938976843","0.164142297658759","0.242959580294927","0"
"No transfer dependency","1987","Not Working","Urban Area","1294","0.594960434464394","0.577179469676958","0.612741399251831","0"
"No transfer dependency","1987","Not Working","Rural Area","352","0.597042476931922","0.561774062661207","0.632310891202636","0"
"Very high transfer dependency","1987","Part Time","Rural Area","5","","","","4"
"Very high transfer dependency","1987","Full Time","Urban Area","2","","","","4"
"Very high transfer dependency","1987","Full Time","Rural Area","","","","","4"
"Very high transfer dependency","1987","Part Time","Urban Area","6","","","","4"
"Very high transfer dependency","1987","Not Working","Urban Area","37","0.0121886017994356","0.00821415657592589","0.0161630470229454","4"
"Very high transfer dependency","1987","Not Working","Rural Area","14","","","","4"
"Very low transfer dependency","1987","Full Time","Urban Area","2016","0.458941918982474","0.442831003221725","0.475052834743222","1"
"Very low transfer dependency","1987","Not Working","Urban Area","1352","0.326892645943347","0.309902101413905","0.343883190472789","1"
"Very low transfer dependency","1987","Part Time","Rural Area","292","0.68853995420786","0.643214553794418","0.733865354621302","1"
"Very low transfer dependency","1987","Full Time","Rural Area","565","0.564959324356425","0.532889227378901","0.597029421333948","1"
"Very low transfer dependency","1987","Part Time","Urban Area","843","0.572860578442794","0.54634557526064","0.599375581624948","1"
"Very low transfer dependency","1987","Not Working","Rural Area","317","0.318792045738387","0.28528414056745","0.352299950909325","1"
"Complete transfer dependency","1988","Full Time","Urban Area","","","","","5"
"Complete transfer dependency","1988","Full Time","Rural Area","","","","","5"
"Complete transfer dependency","1988","Part Time","Urban Area","","","","","5"
"Complete transfer dependency","1988","Part Time","Rural Area","","","","","5"
"Complete transfer dependency","1988","Not Working","Urban Area","57","0.0177664359264232","0.0128380910405204","0.0226947808123259","5"
"Complete transfer dependency","1988","Not Working","Rural Area","10","","","","5"
"High transfer dependency","1988","Not Working","Urban Area","40","0.0121306211113793","0.00804662959796857","0.01621461262479","3"
"High transfer dependency","1988","Full Time","Rural Area","1","","","","3"
"High transfer dependency","1988","Not Working","Rural Area","11","","","","3"
"High transfer dependency","1988","Full Time","Urban Area","4","","","","3"
"High transfer dependency","1988","Part Time","Urban Area","20","","","","3"
"High transfer dependency","1988","Part Time","Rural Area","9","","","","3"
"Low transfer dependency","1988","Full Time","Urban Area","55","0.0136416963102551","0.00976930719788667","0.0175140854226236","2"
"Low transfer dependency","1988","Full Time","Rural Area","10","","","","2"
"Low transfer dependency","1988","Part Time","Urban Area","66","0.0472811863341167","0.0358918942861091","0.0586704783821244","2"
"Low transfer dependency","1988","Not Working","Urban Area","113","0.0268094571802005","0.0207833548761471","0.0328355594842539","2"
"Low transfer dependency","1988","Not Working","Rural Area","31","0.0336832857518079","0.0201232571600523","0.0472433143435635","2"
"Low transfer dependency","1988","Part Time","Rural Area","28","","","","2"
"No transfer dependency","1988","Full Time","Urban Area","1537","0.552036780565213","0.535435842277474","0.568637718852952","0"
"No transfer dependency","1988","Full Time","Rural Area","316","0.429033059250279","0.39550285317008","0.462563265330477","0"
"No transfer dependency","1988","Part Time","Urban Area","372","0.357594234071563","0.331874282581125","0.383314185562002","0"
"No transfer dependency","1988","Part Time","Rural Area","96","0.280143985393014","0.237042371343183","0.323245599442845","0"
"No transfer dependency","1988","Not Working","Urban Area","1255","0.609989771959533","0.591793064013795","0.628186479905271","0"
"No transfer dependency","1988","Not Working","Rural Area","331","0.607880944657116","0.571185523765154","0.644576365549078","0"
"Very high transfer dependency","1988","Part Time","Rural Area","5","","","","4"
"Very high transfer dependency","1988","Full Time","Urban Area","1","","","","4"
"Very high transfer dependency","1988","Full Time","Rural Area","1","","","","4"
"Very high transfer dependency","1988","Part Time","Urban Area","9","","","","4"
"Very high transfer dependency","1988","Not Working","Urban Area","46","0.014815085776743","0.0103079098332229","0.019322261720263","4"
"Very high transfer dependency","1988","Not Working","Rural Area","14","","","","4"
"Very low transfer dependency","1988","Full Time","Urban Area","1850","0.432780535221383","0.41624048316696","0.449320587275805","1"
"Very low transfer dependency","1988","Part Time","Rural Area","279","0.624541676637794","0.578064296003186","0.671019057272401","1"
"Very low transfer dependency","1988","Not Working","Urban Area","1249","0.318488628045721","0.301107535638464","0.335869720452979","1"
"Very low transfer dependency","1988","Full Time","Rural Area","509","0.555287128669006","0.521621710360864","0.588952546977148","1"
"Very low transfer dependency","1988","Part Time","Urban Area","867","0.575162019372416","0.548635703058929","0.601688335685903","1"
"Very low transfer dependency","1988","Not Working","Rural Area","283","0.311836141114811","0.277018223871701","0.34665405835792","1"
"Complete transfer dependency","1989","Part Time","Urban Area","","","","","5"
"Complete transfer dependency","1989","Not Working","Rural Area","21","","","","5"
"Complete transfer dependency","1989","Full Time","Urban Area","","","","","5"
"Complete transfer dependency","1989","Full Time","Rural Area","","","","","5"
"Complete transfer dependency","1989","Not Working","Urban Area","60","0.0211901442561915","0.0157130504502263","0.0266672380621567","5"
"Complete transfer dependency","1989","Part Time","Rural Area","","","","","5"
"High transfer dependency","1989","Full Time","Rural Area","5","","","","3"
"High transfer dependency","1989","Not Working","Rural Area","7","","","","3"
"High transfer dependency","1989","Full Time","Urban Area","5","","","","3"
"High transfer dependency","1989","Not Working","Urban Area","51","0.0149171906238101","0.0103070524135006","0.0195273288341195","3"
"High transfer dependency","1989","Part Time","Urban Area","28","","","","3"
"High transfer dependency","1989","Part Time","Rural Area","6","","","","3"
"Low transfer dependency","1989","Part Time","Urban Area","70","0.0432103974935459","0.0319789021793791","0.0544418928077126","2"
"Low transfer dependency","1989","Full Time","Urban Area","54","0.0133623633805526","0.00953316909205163","0.0171915576690536","2"
"Low transfer dependency","1989","Full Time","Rural Area","8","","","","2"
"Low transfer dependency","1989","Part Time","Rural Area","21","","","","2"
"Low transfer dependency","1989","Not Working","Urban Area","117","0.0284597464420814","0.0221359196157015","0.0347835732684613","2"
"Low transfer dependency","1989","Not Working","Rural Area","20","","","","2"
"No transfer dependency","1989","Full Time","Urban Area","1587","0.561162606372766","0.544613174106804","0.577712038638727","0"
"No transfer dependency","1989","Full Time","Rural Area","317","0.437870704064774","0.403577258577833","0.472164149551714","0"
"No transfer dependency","1989","Part Time","Urban Area","373","0.360541372421707","0.334018594715827","0.387064150127587","0"
"No transfer dependency","1989","Part Time","Rural Area","68","0.233537378450148","0.189464628392576","0.277610128507719","0"
"No transfer dependency","1989","Not Working","Urban Area","1203","0.607353939496294","0.588782070809786","0.625925808182803","0"
"No transfer dependency","1989","Not Working","Rural Area","321","0.603627418502877","0.56616776785105","0.641087069154703","0"
"Very high transfer dependency","1989","Full Time","Urban Area","1","","","","4"
"Very high transfer dependency","1989","Full Time","Rural Area","","","","","4"
"Very high transfer dependency","1989","Part Time","Rural Area","2","","","","4"
"Very high transfer dependency","1989","Not Working","Urban Area","32","0.0114408184871171","0.00739632686238731","0.0154853101118468","4"
"Very high transfer dependency","1989","Part Time","Urban Area","7","","","","4"
"Very high transfer dependency","1989","Not Working","Rural Area","14","","","","4"
"Very low transfer dependency","1989","Part Time","Rural Area","257","0.668582342679752","0.619546715673455","0.717617969686048","1"
"Very low transfer dependency","1989","Part Time","Urban Area","781","0.565740743241526","0.538361685563863","0.593119800919189","1"
"Very low transfer dependency","1989","Full Time","Urban Area","1807","0.424708389838407","0.408223867598624","0.44119291207819","1"
"Very low transfer dependency","1989","Not Working","Urban Area","1193","0.316638160694506","0.298947622552944","0.334328698836067","1"
"Very low transfer dependency","1989","Full Time","Rural Area","474","0.547519779221342","0.513114920972092","0.581924637470591","1"
"Very low transfer dependency","1989","Not Working","Rural Area","272","0.316449182848558","0.280831567970775","0.352066797726341","1"
"Complete transfer dependency","1990","Part Time","Urban Area","","","","","5"
"Complete transfer dependency","1990","Full Time","Rural Area","","","","","5"
"Complete transfer dependency","1990","Not Working","Rural Area","12","","","","5"
"Complete transfer dependency","1990","Full Time","Urban Area","","","","","5"
"Complete transfer dependency","1990","Part Time","Rural Area","","","","","5"
"Complete transfer dependency","1990","Not Working","Urban Area","41","0.0149412762506572","0.0102325557837847","0.0196499967175296","5"
"High transfer dependency","1990","Full Time","Urban Area","9","","","","3"
"High transfer dependency","1990","Full Time","Rural Area","","","","","3"
"High transfer dependency","1990","Not Working","Urban Area","47","0.0132822210129885","0.00883887812240281","0.0177255639035741","3"
"High transfer dependency","1990","Not Working","Rural Area","7","","","","3"
"High transfer dependency","1990","Part Time","Urban Area","30","0.0273667570074988","0.018325982055491","0.0364075319595066","3"
"High transfer dependency","1990","Part Time","Rural Area","6","","","","3"
"Low transfer dependency","1990","Full Time","Urban Area","40","0.0100915309316865","0.00667313341300965","0.0135099284503633","2"
"Low transfer dependency","1990","Full Time","Rural Area","6","","","","2"
"Low transfer dependency","1990","Part Time","Urban Area","55","0.0368448859211001","0.0264059516812389","0.0472838201609613","2"
"Low transfer dependency","1990","Part Time","Rural Area","22","","","","2"
"Low transfer dependency","1990","Not Working","Urban Area","95","0.0241059903996658","0.0181529090606248","0.0300590717387068","2"
"Low transfer dependency","1990","Not Working","Rural Area","29","","","","2"
"No transfer dependency","1990","Full Time","Urban Area","1588","0.580492215677904","0.563614458711564","0.597369972644245","0"
"No transfer dependency","1990","Part Time","Rural Area","76","0.26572064483005","0.218974657312117","0.312466632347983","0"
"No transfer dependency","1990","Not Working","Urban Area","1239","0.624344163113088","0.60554731208976","0.643141014136417","0"
"No transfer dependency","1990","Part Time","Urban Area","380","0.365220238827759","0.338538852569503","0.391901625086016","0"
"No transfer dependency","1990","Full Time","Rural Area","365","0.501240327593348","0.467101142262844","0.535379512923852","0"
"No transfer dependency","1990","Not Working","Rural Area","329","0.606027920751759","0.568201250359117","0.643854591144401","0"
"Very high transfer dependency","1990","Full Time","Urban Area","1","","","","4"
"Very high transfer dependency","1990","Full Time","Rural Area","","","","","4"
"Very high transfer dependency","1990","Part Time","Urban Area","10","","","","4"
"Very high transfer dependency","1990","Part Time","Rural Area","","","","","4"
"Very high transfer dependency","1990","Not Working","Urban Area","32","0.0116858157305193","0.00751467318379041","0.0158569582772482","4"
"Very high transfer dependency","1990","Not Working","Rural Area","4","","","","4"
"Very low transfer dependency","1990","Part Time","Rural Area","239","0.640835760284151","0.590064149159136","0.691607371409167","1"
"Very low transfer dependency","1990","Part Time","Urban Area","776","0.561869782130324","0.534375722014246","0.589363842246401","1"
"Very low transfer dependency","1990","Full Time","Urban Area","1646","0.407205020279419","0.390401304116573","0.424008736442265","1"
"Very low transfer dependency","1990","Full Time","Rural Area","453","0.493102087291948","0.458966045852041","0.527238128731855","1"
"Very low transfer dependency","1990","Not Working","Urban Area","1096","0.311640533493081","0.293663724042672","0.32961734294349","1"
"Very low transfer dependency","1990","Not Working","Rural Area","260","0.319206170748855","0.283118195124402","0.355294146373308","1"
"Complete transfer dependency","1991","Full Time","Urban Area","","","","","5"
"Complete transfer dependency","1991","Full Time","Rural Area","","","","","5"
"Complete transfer dependency","1991","Part Time","Urban Area","","","","","5"
"Complete transfer dependency","1991","Part Time","Rural Area","","","","","5"
"Complete transfer dependency","1991","Not Working","Urban Area","44","0.0159264478443289","0.0109823264345185","0.0208705692541393","5"
"Complete transfer dependency","1991","Not Working","Rural Area","14","","","","5"
"High transfer dependency","1991","Full Time","Urban Area","5","","","","3"
"High transfer dependency","1991","Full Time","Rural Area","1","","","","3"
"High transfer dependency","1991","Not Working","Urban Area","41","0.0126958053295735","0.00827428624938127","0.0171173244097657","3"
"High transfer dependency","1991","Not Working","Rural Area","15","","","","3"
"High transfer dependency","1991","Part Time","Rural Area","5","","","","3"
"High transfer dependency","1991","Part Time","Urban Area","24","","","","3"
"Low transfer dependency","1991","Full Time","Urban Area","54","0.0124488836029997","0.00863101848366897","0.0162667487223304","2"
"Low transfer dependency","1991","Full Time","Rural Area","12","","","","2"
"Low transfer dependency","1991","Part Time","Urban Area","54","0.0428746242959336","0.0316446784102611","0.0541045701816062","2"
"Low transfer dependency","1991","Not Working","Rural Area","25","","","","2"
"Low transfer dependency","1991","Part Time","Rural Area","19","","","","2"
"Low transfer dependency","1991","Not Working","Urban Area","116","0.0349780456361146","0.0277222966139723","0.0422337946582568","2"
"No transfer dependency","1991","Full Time","Urban Area","1618","0.589189002778224","0.572248592180303","0.606129413376144","0"
"No transfer dependency","1991","Not Working","Urban Area","1243","0.64641956141682","0.627538898212615","0.665300224621024","0"
"No transfer dependency","1991","Part Time","Rural Area","92","0.296233727777059","0.249263111848558","0.34320434370556","0"
"No transfer dependency","1991","Part Time","Urban Area","408","0.382855901914931","0.355909297443914","0.409802506385948","0"
"No transfer dependency","1991","Not Working","Rural Area","334","0.611357620142175","0.573999762728075","0.648715477556275","0"
"No transfer dependency","1991","Full Time","Rural Area","386","0.50830615330462","0.474171573946694","0.542440732662546","0"
"Very high transfer dependency","1991","Full Time","Urban Area","","","","","4"
"Very high transfer dependency","1991","Full Time","Rural Area","","","","","4"
"Very high transfer dependency","1991","Part Time","Urban Area","8","","","","4"
"Very high transfer dependency","1991","Part Time","Rural Area","1","","","","4"
"Very high transfer dependency","1991","Not Working","Urban Area","23","","","","4"
"Very high transfer dependency","1991","Not Working","Rural Area","9","","","","4"
"Very low transfer dependency","1991","Part Time","Urban Area","756","0.550984397143123","0.523410798415435","0.57855799587081","1"
"Very low transfer dependency","1991","Part Time","Rural Area","246","0.640224039503997","0.59085248088186","0.689595598126134","1"
"Very low transfer dependency","1991","Full Time","Urban Area","1563","0.397137552143776","0.380289287346443","0.41398581694111","1"
"Very low transfer dependency","1991","Full Time","Rural Area","425","0.477268883621991","0.44316489129077","0.511372875953212","1"
"Very low transfer dependency","1991","Not Working","Urban Area","996","0.280288412079141","0.262550695785053","0.298026128373229","1"
"Very low transfer dependency","1991","Not Working","Rural Area","257","0.310198067192481","0.274746048955443","0.34565008542952","1"
"Complete transfer dependency","1992","Full Time","Urban Area","","","","","5"
"Complete transfer dependency","1992","Full Time","Rural Area","","","","","5"
"Complete transfer dependency","1992","Part Time","Urban Area","","","","","5"
"Complete transfer dependency","1992","Part Time","Rural Area","","","","","5"
"Complete transfer dependency","1992","Not Working","Urban Area","47","0.0169117155802094","0.0120713823815832","0.0217520487788356","5"
"Complete transfer dependency","1992","Not Working","Rural Area","7","","","","5"
"High transfer dependency","1992","Not Working","Rural Area","31","0.0214226367623206","0.0134532939514953","0.0293919795731458","3"
"High transfer dependency","1992","Full Time","Urban Area","12","","","","3"
"High transfer dependency","1992","Not Working","Urban Area","56","0.0147265131754908","0.0102046904874516","0.0192483358635301","3"
"High transfer dependency","1992","Full Time","Rural Area","7","","","","3"
"High transfer dependency","1992","Part Time","Urban Area","38","0.0235954859024346","0.0158256748486623","0.031365296956207","3"
"High transfer dependency","1992","Part Time","Rural Area","22","","","","3"
"Low transfer dependency","1992","Full Time","Urban Area","82","0.0134491982958912","0.00987820576140001","0.0170201908303825","2"
"Low transfer dependency","1992","Full Time","Rural Area","107","0.0409600548277352","0.0324281293617633","0.049491980293707","2"
"Low transfer dependency","1992","Part Time","Urban Area","101","0.0566461214184465","0.0448128857204304","0.0684793571164626","2"
"Low transfer dependency","1992","Part Time","Rural Area","100","0.0903862713472927","0.0712337368147407","0.109538805879845","2"
"Low transfer dependency","1992","Not Working","Urban Area","144","0.0280261170932075","0.0218303664718166","0.0342218677145985","2"
"Low transfer dependency","1992","Not Working","Rural Area","100","0.0449309661566563","0.0335290268463428","0.0563329054669698","2"
"No transfer dependency","1992","Full Time","Urban Area","1913","0.566022613075013","0.550657652220992","0.581387573929035","0"
"No transfer dependency","1992","Full Time","Rural Area","662","0.414306981579368","0.393101673353953","0.435512289804783","0"
"No transfer dependency","1992","Part Time","Urban Area","430","0.35926652440595","0.33470653418969","0.38382651462221","0"
"No transfer dependency","1992","Part Time","Rural Area","152","0.2448428434374","0.21612122596428","0.27356446091052","0"
"No transfer dependency","1992","Not Working","Urban Area","1364","0.625184593171262","0.607012790344113","0.64335639599841","0"
"No transfer dependency","1992","Not Working","Rural Area","621","0.602444245863218","0.575507451154679","0.629381040571758","0"
"Very high transfer dependency","1992","Full Time","Urban Area","3","","","","4"
"Very high transfer dependency","1992","Part Time","Rural Area","4","","","","4"
"Very high transfer dependency","1992","Part Time","Urban Area","10","","","","4"
"Very high transfer dependency","1992","Full Time","Rural Area","4","","","","4"
"Very high transfer dependency","1992","Not Working","Urban Area","37","0.0132430256050674","0.00895177500680547","0.0175342762033293","4"
"Very high transfer dependency","1992","Not Working","Rural Area","22","","","","4"
"Very low transfer dependency","1992","Part Time","Rural Area","583","0.632044013770777","0.599831982436123","0.664256045105432","1"
"Very low transfer dependency","1992","Part Time","Urban Area","887","0.555642355547681","0.53020657287203","0.581078138223331","1"
"Very low transfer dependency","1992","Full Time","Urban Area","1987","0.416711698808949","0.401427576780713","0.431995820837186","1"
"Very low transfer dependency","1992","Full Time","Rural Area","1293","0.539985025421947","0.518530185291003","0.561439865552892","1"
"Very low transfer dependency","1992","Not Working","Urban Area","1078","0.301908035374763","0.284674323777134","0.319141746972392","1"
"Very low transfer dependency","1992","Not Working","Rural Area","487","0.305489815096909","0.280137002772074","0.330842627421744","1"
"Complete transfer dependency","1993","Full Time","Urban Area","","","","","5"
"Complete transfer dependency","1993","Full Time","Rural Area","","","","","5"
"Complete transfer dependency","1993","Part Time","Urban Area","","","","","5"
"Complete transfer dependency","1993","Part Time","Rural Area","","","","","5"
"Complete transfer dependency","1993","Not Working","Urban Area","41","0.0151691735667903","0.010703731353777","0.0196346157798036","5"
"Complete transfer dependency","1993","Not Working","Rural Area","16","","","","5"
"High transfer dependency","1993","Full Time","Urban Area","16","","","","3"
"High transfer dependency","1993","Full Time","Rural Area","15","","","","3"
"High transfer dependency","1993","Not Working","Urban Area","68","0.0152714654210097","0.0107912250600973","0.0197517057819221","3"
"High transfer dependency","1993","Not Working","Rural Area","41","0.0237706656120287","0.0158999487023761","0.0316413825216812","3"
"High transfer dependency","1993","Part Time","Rural Area","29","","","","3"
"High transfer dependency","1993","Part Time","Urban Area","43","0.0263261668952225","0.0183659821314076","0.0342863516590375","3"
"Low transfer dependency","1993","Full Time","Urban Area","99","0.0170122425208394","0.0129809944795377","0.0210434905621411","2"
"Low transfer dependency","1993","Full Time","Rural Area","141","0.0557004708857587","0.0457189105665024","0.0656820312050149","2"
"Low transfer dependency","1993","Part Time","Urban Area","108","0.0535517214878727","0.0423584317713758","0.0647450112043697","2"
"Low transfer dependency","1993","Part Time","Rural Area","85","0.0828299933115545","0.0635611540844727","0.102098832538636","2"
"Low transfer dependency","1993","Not Working","Urban Area","180","0.0385130264016801","0.0314826557503254","0.0455433970530348","2"
"Low transfer dependency","1993","Not Working","Rural Area","171","0.0683423234248496","0.0553049307251794","0.0813797161245199","2"
"No transfer dependency","1993","Full Time","Urban Area","1843","0.555004190411533","0.539512073147866","0.5704963076752","0"
"No transfer dependency","1993","Full Time","Rural Area","650","0.425693531367015","0.404173916473349","0.447213146260682","0"
"No transfer dependency","1993","Part Time","Urban Area","455","0.354816532720229","0.331028083961916","0.378604981478541","0"
"No transfer dependency","1993","Part Time","Rural Area","158","0.278756931585805","0.247410328715176","0.310103534456433","0"
"No transfer dependency","1993","Not Working","Urban Area","1408","0.613930076004768","0.596143385996719","0.631716766012817","0"
"No transfer dependency","1993","Not Working","Rural Area","664","0.577630657799096","0.552110167993431","0.603151147604762","0"
