"transab_cat","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Low transfer dependency","1985","no degree/no degree yet","East Germany","","","",""
"High transfer dependency","1985","lower secondary degree","West Germany","57","0.010608455019435","0.0078585785319637","0.0133583315069064"
"High transfer dependency","1985","lower secondary degree","East Germany","","","",""
"High transfer dependency","1985","secondary school degree","West Germany","14","","",""
"High transfer dependency","1985","secondary school degree","East Germany","","","",""
"High transfer dependency","1985","college entrance qualification","West Germany","26","","",""
"High transfer dependency","1985","college entrance qualification","East Germany","","","",""
"High transfer dependency","1985","Other degree","West Germany","23","","",""
"High transfer dependency","1985","Other degree","East Germany","","","",""
"High transfer dependency","1985","no degree/no degree yet","West Germany","12","","",""
"High transfer dependency","1985","no degree/no degree yet","East Germany","","","",""
"Very high transfer dependency","1985","lower secondary degree","West Germany","31","0.00637675810076673","0.00424020415535899","0.00851331204617447"
"Very high transfer dependency","1985","lower secondary degree","East Germany","","","",""
"Very high transfer dependency","1985","secondary school degree","West Germany","10","","",""
"Very high transfer dependency","1985","secondary school degree","East Germany","","","",""
"Very high transfer dependency","1985","college entrance qualification","West Germany","12","","",""
"Very high transfer dependency","1985","college entrance qualification","East Germany","","","",""
"Very high transfer dependency","1985","Other degree","West Germany","6","","",""
"Very high transfer dependency","1985","Other degree","East Germany","","","",""
"Very high transfer dependency","1985","no degree/no degree yet","West Germany","10","","",""
"Very high transfer dependency","1985","no degree/no degree yet","East Germany","","","",""
"Complete transfer dependency","1985","lower secondary degree","West Germany","53","0.0103683258056716","0.0076494201886983","0.0130872314226448"
"Complete transfer dependency","1985","lower secondary degree","East Germany","","","",""
"Complete transfer dependency","1985","secondary school degree","West Germany","12","","",""
"Complete transfer dependency","1985","secondary school degree","East Germany","","","",""
"Complete transfer dependency","1985","college entrance qualification","West Germany","2","","",""
"Complete transfer dependency","1985","college entrance qualification","East Germany","","","",""
"Complete transfer dependency","1985","Other degree","West Germany","12","","",""
"Complete transfer dependency","1985","Other degree","East Germany","","","",""
"Complete transfer dependency","1985","no degree/no degree yet","West Germany","20","","",""
"Complete transfer dependency","1985","no degree/no degree yet","East Germany","","","",""
"No transfer dependency","1986","lower secondary degree","West Germany","2279","0.531653166803202","0.517817776578015","0.545488557028388"
"No transfer dependency","1986","lower secondary degree","East Germany","","","",""
"No transfer dependency","1986","secondary school degree","West Germany","728","0.482794775814103","0.4593356334958","0.506253918132405"
"No transfer dependency","1986","secondary school degree","East Germany","","","",""
"No transfer dependency","1986","college entrance qualification","West Germany","516","0.485756370963013","0.457347702639714","0.514165039286312"
"No transfer dependency","1986","college entrance qualification","East Germany","","","",""
"No transfer dependency","1986","Other degree","West Germany","261","0.267761369360063","0.241653752489804","0.293868986230321"
"No transfer dependency","1986","Other degree","East Germany","","","",""
"No transfer dependency","1986","no degree/no degree yet","West Germany","202","0.224270524834925","0.198327852331113","0.250213197338738"
"No transfer dependency","1986","no degree/no degree yet","East Germany","","","",""
"Very low transfer dependency","1986","lower secondary degree","West Germany","2455","0.41525643587489","0.401593805235476","0.428919066514303"
"Very low transfer dependency","1986","lower secondary degree","East Germany","","","",""
"Very low transfer dependency","1986","secondary school degree","West Germany","942","0.478193266532828","0.454742558198882","0.501643974866774"
"Very low transfer dependency","1986","secondary school degree","East Germany","","","",""
"Very low transfer dependency","1986","college entrance qualification","West Germany","607","0.452645520067998","0.424353066265285","0.480937973870711"
"Very low transfer dependency","1986","college entrance qualification","East Germany","","","",""
"Very low transfer dependency","1986","Other degree","West Germany","761","0.639774552021748","0.611469260784408","0.668079843259087"
"Very low transfer dependency","1986","Other degree","East Germany","","","",""
"Very low transfer dependency","1986","no degree/no degree yet","West Germany","685","0.679684422486467","0.650663169779799","0.708705675193134"
"Very low transfer dependency","1986","no degree/no degree yet","East Germany","","","",""
"Low transfer dependency","1986","lower secondary degree","West Germany","137","0.025903161141096","0.021498922256746","0.030307400025446"
"Low transfer dependency","1986","lower secondary degree","East Germany","","","",""
"Low transfer dependency","1986","secondary school degree","West Germany","47","0.0225170754029358","0.0155522540976724","0.0294818967081991"
"Low transfer dependency","1986","secondary school degree","East Germany","","","",""
"Low transfer dependency","1986","college entrance qualification","West Germany","32","0.0306298688366799","0.0208355429734188","0.040424194699941"
"Low transfer dependency","1986","college entrance qualification","East Germany","","","",""
"Low transfer dependency","1986","Other degree","West Germany","42","0.0454862113839232","0.0332005670662726","0.0577718557015739"
"Low transfer dependency","1986","Other degree","East Germany","","","",""
"Low transfer dependency","1986","no degree/no degree yet","West Germany","61","0.0438823839209241","0.0311422429627454","0.0566225248791028"
"Low transfer dependency","1986","no degree/no degree yet","East Germany","","","",""
"High transfer dependency","1986","lower secondary degree","West Germany","56","0.0120684114567326","0.00904092710886521","0.0150958958046"
"High transfer dependency","1986","lower secondary degree","East Germany","","","",""
"High transfer dependency","1986","secondary school degree","West Germany","13","","",""
"High transfer dependency","1986","secondary school degree","East Germany","","","",""
"High transfer dependency","1986","college entrance qualification","West Germany","10","","",""
"High transfer dependency","1986","college entrance qualification","East Germany","","","",""
"High transfer dependency","1986","Other degree","West Germany","21","","",""
"High transfer dependency","1986","Other degree","East Germany","","","",""
"High transfer dependency","1986","no degree/no degree yet","West Germany","20","","",""
"High transfer dependency","1986","no degree/no degree yet","East Germany","","","",""
"Very high transfer dependency","1986","lower secondary degree","West Germany","22","","",""
"Very high transfer dependency","1986","lower secondary degree","East Germany","","","",""
"Very high transfer dependency","1986","secondary school degree","West Germany","8","","",""
"Very high transfer dependency","1986","secondary school degree","East Germany","","","",""
"Very high transfer dependency","1986","college entrance qualification","West Germany","16","","",""
"Very high transfer dependency","1986","college entrance qualification","East Germany","","","",""
"Very high transfer dependency","1986","Other degree","West Germany","7","","",""
"Very high transfer dependency","1986","Other degree","East Germany","","","",""
"Very high transfer dependency","1986","no degree/no degree yet","West Germany","14","","",""
"Very high transfer dependency","1986","no degree/no degree yet","East Germany","","","",""
"Complete transfer dependency","1986","lower secondary degree","West Germany","48","0.0100655003422425","0.00729783018963332","0.0128331704948517"
"Complete transfer dependency","1986","lower secondary degree","East Germany","","","",""
"Complete transfer dependency","1986","secondary school degree","West Germany","5","","",""
"Complete transfer dependency","1986","secondary school degree","East Germany","","","",""
"Complete transfer dependency","1986","college entrance qualification","West Germany","8","","",""
"Complete transfer dependency","1986","college entrance qualification","East Germany","","","",""
"Complete transfer dependency","1986","Other degree","West Germany","13","","",""
"Complete transfer dependency","1986","Other degree","East Germany","","","",""
"Complete transfer dependency","1986","no degree/no degree yet","West Germany","11","","",""
"Complete transfer dependency","1986","no degree/no degree yet","East Germany","","","",""
"No transfer dependency","1987","lower secondary degree","West Germany","2324","0.554670612402827","0.540767570521068","0.568573654284586"
"No transfer dependency","1987","lower secondary degree","East Germany","","","",""
"No transfer dependency","1987","secondary school degree","West Germany","725","0.500328098600804","0.476615777427278","0.524040419774331"
"No transfer dependency","1987","secondary school degree","East Germany","","","",""
"No transfer dependency","1987","college entrance qualification","West Germany","510","0.488839902887504","0.460172492329036","0.517507313445972"
"No transfer dependency","1987","college entrance qualification","East Germany","","","",""
"No transfer dependency","1987","Other degree","West Germany","234","0.243030687629575","0.217718479699527","0.268342895559623"
"No transfer dependency","1987","Other degree","East Germany","","","",""
"No transfer dependency","1987","no degree/no degree yet","West Germany","199","0.220445147865878","0.194180853712256","0.2467094420195"
"No transfer dependency","1987","no degree/no degree yet","East Germany","","","",""
"Very low transfer dependency","1987","lower secondary degree","West Germany","2307","0.389747173632238","0.376104547995261","0.403389799269215"
"Very low transfer dependency","1987","lower secondary degree","East Germany","","","",""
"Very low transfer dependency","1987","secondary school degree","West Germany","915","0.465532829559118","0.441876910186411","0.489188748931824"
"Very low transfer dependency","1987","secondary school degree","East Germany","","","",""
"Very low transfer dependency","1987","college entrance qualification","West Germany","594","0.452109505376378","0.423566784430521","0.480652226322235"
"Very low transfer dependency","1987","college entrance qualification","East Germany","","","",""
"Very low transfer dependency","1987","Other degree","West Germany","795","0.679358118081385","0.651814572547785","0.706901663614984"
"Very low transfer dependency","1987","Other degree","East Germany","","","",""
"Very low transfer dependency","1987","no degree/no degree yet","West Germany","667","0.68164269991768","0.652128710137145","0.711156689698215"
"Very low transfer dependency","1987","no degree/no degree yet","East Germany","","","",""
"Low transfer dependency","1987","lower secondary degree","West Germany","171","0.0320257964483307","0.0271004879683767","0.0369511049282846"
"Low transfer dependency","1987","lower secondary degree","East Germany","","","",""
"Low transfer dependency","1987","secondary school degree","West Germany","39","0.0199060144491917","0.0132818641570489","0.0265301647413345"
"Low transfer dependency","1987","secondary school degree","East Germany","","","",""
"Low transfer dependency","1987","college entrance qualification","West Germany","36","0.0304981279502775","0.0206367503936419","0.0403595055069131"
"Low transfer dependency","1987","college entrance qualification","East Germany","","","",""
"Low transfer dependency","1987","Other degree","West Germany","39","0.0312516266362612","0.020983241686077","0.0415200115864455"
"Low transfer dependency","1987","Other degree","East Germany","","","",""
"Low transfer dependency","1987","no degree/no degree yet","West Germany","46","0.0428219515967827","0.0299950514090097","0.0556488517845558"
"Low transfer dependency","1987","no degree/no degree yet","East Germany","","","",""
"High transfer dependency","1987","lower secondary degree","West Germany","43","0.00872013291170257","0.00611930707938253","0.0113209587440226"
"High transfer dependency","1987","lower secondary degree","East Germany","","","",""
"High transfer dependency","1987","secondary school degree","West Germany","14","","",""
"High transfer dependency","1987","secondary school degree","East Germany","","","",""
"High transfer dependency","1987","college entrance qualification","West Germany","10","","",""
"High transfer dependency","1987","college entrance qualification","East Germany","","","",""
"High transfer dependency","1987","Other degree","West Germany","19","","",""
"High transfer dependency","1987","Other degree","East Germany","","","",""
"High transfer dependency","1987","no degree/no degree yet","West Germany","23","","",""
"High transfer dependency","1987","no degree/no degree yet","East Germany","","","",""
"Very high transfer dependency","1987","lower secondary degree","West Germany","28","","",""
"Very high transfer dependency","1987","lower secondary degree","East Germany","","","",""
"Very high transfer dependency","1987","secondary school degree","West Germany","9","","",""
"Very high transfer dependency","1987","secondary school degree","East Germany","","","",""
"Very high transfer dependency","1987","college entrance qualification","West Germany","12","","",""
"Very high transfer dependency","1987","college entrance qualification","East Germany","","","",""
"Very high transfer dependency","1987","Other degree","West Germany","6","","",""
"Very high transfer dependency","1987","Other degree","East Germany","","","",""
"Very high transfer dependency","1987","no degree/no degree yet","West Germany","8","","",""
"Very high transfer dependency","1987","no degree/no degree yet","East Germany","","","",""
"Complete transfer dependency","1987","lower secondary degree","West Germany","36","0.00817965063723654","0.00566002824311045","0.0106992730313626"
"Complete transfer dependency","1987","lower secondary degree","East Germany","","","",""
"Complete transfer dependency","1987","secondary school degree","West Germany","6","","",""
"Complete transfer dependency","1987","secondary school degree","East Germany","","","",""
"Complete transfer dependency","1987","college entrance qualification","West Germany","6","","",""
"Complete transfer dependency","1987","college entrance qualification","East Germany","","","",""
"Complete transfer dependency","1987","Other degree","West Germany","10","","",""
"Complete transfer dependency","1987","Other degree","East Germany","","","",""
"Complete transfer dependency","1987","no degree/no degree yet","West Germany","14","","",""
"Complete transfer dependency","1987","no degree/no degree yet","East Germany","","","",""
"No transfer dependency","1988","lower secondary degree","West Germany","2249","0.569088709194301","0.554905649408237","0.583271768980365"
"No transfer dependency","1988","lower secondary degree","East Germany","","","",""
"No transfer dependency","1988","secondary school degree","West Germany","703","0.518418127384744","0.494168991590441","0.542667263179047"
"No transfer dependency","1988","secondary school degree","East Germany","","","",""
"No transfer dependency","1988","college entrance qualification","West Germany","506","0.522719552394581","0.493040171486107","0.552398933303055"
"No transfer dependency","1988","college entrance qualification","East Germany","","","",""
"No transfer dependency","1988","Other degree","West Germany","218","0.2451100782793","0.218827812570694","0.271392343987906"
"No transfer dependency","1988","Other degree","East Germany","","","",""
"No transfer dependency","1988","no degree/no degree yet","West Germany","186","0.214531440783444","0.187207180107148","0.24185570145974"
"No transfer dependency","1988","no degree/no degree yet","East Germany","","","",""
"Very low transfer dependency","1988","lower secondary degree","West Germany","2190","0.379117059202711","0.365221451673182","0.39301266673224"
"Very low transfer dependency","1988","lower secondary degree","East Germany","","","",""
"Very low transfer dependency","1988","secondary school degree","West Germany","870","0.448632327351094","0.424495118822996","0.472769535879192"
"Very low transfer dependency","1988","secondary school degree","East Germany","","","",""
"Very low transfer dependency","1988","college entrance qualification","West Germany","540","0.440757541233981","0.411256755219082","0.470258327248881"
"Very low transfer dependency","1988","college entrance qualification","East Germany","","","",""
"Very low transfer dependency","1988","Other degree","West Germany","730","0.653553184692587","0.624479561465325","0.682626807919849"
"Very low transfer dependency","1988","Other degree","East Germany","","","",""
"Very low transfer dependency","1988","no degree/no degree yet","West Germany","588","0.662342780770888","0.630863995465416","0.69382156607636"
"Very low transfer dependency","1988","no degree/no degree yet","East Germany","","","",""
"Low transfer dependency","1988","lower secondary degree","West Germany","125","0.0238428868115708","0.0194734517192154","0.0282123219039261"
"Low transfer dependency","1988","lower secondary degree","East Germany","","","",""
"Low transfer dependency","1988","secondary school degree","West Germany","36","0.021333261948561","0.0143208542538727","0.0283456696432492"
"Low transfer dependency","1988","secondary school degree","East Germany","","","",""
"Low transfer dependency","1988","college entrance qualification","West Germany","27","","",""
"Low transfer dependency","1988","college entrance qualification","East Germany","","","",""
"Low transfer dependency","1988","Other degree","West Germany","45","0.0502890776952809","0.0369362589028784","0.0636418964876834"
"Low transfer dependency","1988","Other degree","East Germany","","","",""
"Low transfer dependency","1988","no degree/no degree yet","West Germany","62","0.075575621425858","0.0579816006395895","0.0931696422121265"
"Low transfer dependency","1988","no degree/no degree yet","East Germany","","","",""
"High transfer dependency","1988","lower secondary degree","West Germany","44","0.00915474942894457","0.00642695172755077","0.0118825471303384"
"High transfer dependency","1988","lower secondary degree","East Germany","","","",""
"High transfer dependency","1988","secondary school degree","West Germany","10","","",""
"High transfer dependency","1988","secondary school degree","East Germany","","","",""
"High transfer dependency","1988","college entrance qualification","West Germany","9","","",""
"High transfer dependency","1988","college entrance qualification","East Germany","","","",""
"High transfer dependency","1988","Other degree","West Germany","14","","",""
"High transfer dependency","1988","Other degree","East Germany","","","",""
"High transfer dependency","1988","no degree/no degree yet","West Germany","8","","",""
"High transfer dependency","1988","no degree/no degree yet","East Germany","","","",""
"Very high transfer dependency","1988","lower secondary degree","West Germany","43","0.00969930776994527","0.00689232385778185","0.0125062916821087"
"Very high transfer dependency","1988","lower secondary degree","East Germany","","","",""
"Very high transfer dependency","1988","secondary school degree","West Germany","11","","",""
"Very high transfer dependency","1988","secondary school degree","East Germany","","","",""
"Very high transfer dependency","1988","college entrance qualification","West Germany","5","","",""
"Very high transfer dependency","1988","college entrance qualification","East Germany","","","",""
"Very high transfer dependency","1988","Other degree","West Germany","8","","",""
"Very high transfer dependency","1988","Other degree","East Germany","","","",""
"Very high transfer dependency","1988","no degree/no degree yet","West Germany","7","","",""
"Very high transfer dependency","1988","no degree/no degree yet","East Germany","","","",""
"Complete transfer dependency","1988","lower secondary degree","West Germany","32","0.0090972875925267","0.00637798533725024","0.0118165898478032"
"Complete transfer dependency","1988","lower secondary degree","East Germany","","","",""
"Complete transfer dependency","1988","secondary school degree","West Germany","1","","",""
"Complete transfer dependency","1988","secondary school degree","East Germany","","","",""
"Complete transfer dependency","1988","college entrance qualification","West Germany","1","","",""
"Complete transfer dependency","1988","college entrance qualification","East Germany","","","",""
"Complete transfer dependency","1988","Other degree","West Germany","14","","",""
"Complete transfer dependency","1988","Other degree","East Germany","","","",""
"Complete transfer dependency","1988","no degree/no degree yet","West Germany","16","","",""
"Complete transfer dependency","1988","no degree/no degree yet","East Germany","","","",""
"No transfer dependency","1989","lower secondary degree","West Germany","2126","0.567885867243267","0.55332971283606","0.582442021650473"
"No transfer dependency","1989","lower secondary degree","East Germany","","","",""
"No transfer dependency","1989","secondary school degree","West Germany","734","0.542487690736908","0.518076754549586","0.56689862692423"
"No transfer dependency","1989","secondary school degree","East Germany","","","",""
"No transfer dependency","1989","college entrance qualification","West Germany","540","0.537094601117054","0.507787881198625","0.566401321035483"
"No transfer dependency","1989","college entrance qualification","East Germany","","","",""
"No transfer dependency","1989","Other degree","West Germany","244","0.29289337315154","0.264687125315379","0.3210996209877"
"No transfer dependency","1989","Other degree","East Germany","","","",""
"No transfer dependency","1989","no degree/no degree yet","West Germany","171","0.175309028861229","0.14953438256513","0.201083675157328"
"No transfer dependency","1989","no degree/no degree yet","East Germany","","","",""
"Very low transfer dependency","1989","lower secondary degree","West Germany","2079","0.379873896308997","0.365612021486776","0.394135771131217"
"Very low transfer dependency","1989","lower secondary degree","East Germany","","","",""
"Very low transfer dependency","1989","secondary school degree","West Germany","823","0.429813806738864","0.40555683237771","0.454070781100019"
"Very low transfer dependency","1989","secondary school degree","East Germany","","","",""
"Very low transfer dependency","1989","college entrance qualification","West Germany","525","0.419618418917495","0.390612957435575","0.448623880399415"
"Very low transfer dependency","1989","college entrance qualification","East Germany","","","",""
"Very low transfer dependency","1989","Other degree","West Germany","668","0.603461198013479","0.573142146465349","0.633780249561609"
"Very low transfer dependency","1989","Other degree","East Germany","","","",""
"Very low transfer dependency","1989","no degree/no degree yet","West Germany","572","0.687755341093491","0.656342338703964","0.719168343483017"
"Very low transfer dependency","1989","no degree/no degree yet","East Germany","","","",""
"Low transfer dependency","1989","lower secondary degree","West Germany","131","0.0236363775738609","0.0191724910839389","0.028100264063783"
"Low transfer dependency","1989","lower secondary degree","East Germany","","","",""
"Low transfer dependency","1989","secondary school degree","West Germany","20","","",""
"Low transfer dependency","1989","secondary school degree","East Germany","","","",""
"Low transfer dependency","1989","college entrance qualification","West Germany","33","0.0240244049010754","0.0150244259077849","0.0330243838943659"
"Low transfer dependency","1989","college entrance qualification","East Germany","","","",""
"Low transfer dependency","1989","Other degree","West Germany","46","0.0401030157454812","0.0279425860560017","0.0522634454349607"
"Low transfer dependency","1989","Other degree","East Germany","","","",""
"Low transfer dependency","1989","no degree/no degree yet","West Germany","54","0.0690759061647343","0.0518863215115454","0.0862654908179232"
"Low transfer dependency","1989","no degree/no degree yet","East Germany","","","",""
"High transfer dependency","1989","lower secondary degree","West Germany","42","0.00946370750723025","0.00661870444013379","0.0123087105743267"
"High transfer dependency","1989","lower secondary degree","East Germany","","","",""
"High transfer dependency","1989","secondary school degree","West Germany","13","","",""
"High transfer dependency","1989","secondary school degree","East Germany","","","",""
"High transfer dependency","1989","college entrance qualification","West Germany","12","","",""
"High transfer dependency","1989","college entrance qualification","East Germany","","","",""
"High transfer dependency","1989","Other degree","West Germany","15","","",""
"High transfer dependency","1989","Other degree","East Germany","","","",""
"High transfer dependency","1989","no degree/no degree yet","West Germany","16","","",""
"High transfer dependency","1989","no degree/no degree yet","East Germany","","","",""
"Very high transfer dependency","1989","lower secondary degree","West Germany","33","0.00720404010581063","0.00471899114497855","0.0096890890666427"
"Very high transfer dependency","1989","lower secondary degree","East Germany","","","",""
"Very high transfer dependency","1989","secondary school degree","West Germany","5","","",""
"Very high transfer dependency","1989","secondary school degree","East Germany","","","",""
"Very high transfer dependency","1989","college entrance qualification","West Germany","2","","",""
"Very high transfer dependency","1989","college entrance qualification","East Germany","","","",""
"Very high transfer dependency","1989","Other degree","West Germany","10","","",""
"Very high transfer dependency","1989","Other degree","East Germany","","","",""
"Very high transfer dependency","1989","no degree/no degree yet","West Germany","4","","",""
"Very high transfer dependency","1989","no degree/no degree yet","East Germany","","","",""
"Complete transfer dependency","1989","lower secondary degree","West Germany","38","0.011936111260835","0.00874500819701662","0.0151272143246534"
"Complete transfer dependency","1989","lower secondary degree","East Germany","","","",""
"Complete transfer dependency","1989","secondary school degree","West Germany","5","","",""
"Complete transfer dependency","1989","secondary school degree","East Germany","","","",""
"Complete transfer dependency","1989","college entrance qualification","West Germany","","","",""
"Complete transfer dependency","1989","college entrance qualification","East Germany","","","",""
"Complete transfer dependency","1989","Other degree","West Germany","17","","",""
"Complete transfer dependency","1989","Other degree","East Germany","","","",""
"Complete transfer dependency","1989","no degree/no degree yet","West Germany","19","","",""
"Complete transfer dependency","1989","no degree/no degree yet","East Germany","","","",""
"No transfer dependency","1990","lower secondary degree","West Germany","2188","0.586830564813104","0.572131844178776","0.601529285447432"
"No transfer dependency","1990","lower secondary degree","East Germany","","","",""
"No transfer dependency","1990","secondary school degree","West Germany","758","0.564231605965925","0.539506371531337","0.588956840400514"
"No transfer dependency","1990","secondary school degree","East Germany","","","",""
"No transfer dependency","1990","college entrance qualification","West Germany","548","0.539908568590176","0.510441873623903","0.569375263556448"
"No transfer dependency","1990","college entrance qualification","East Germany","","","",""
"No transfer dependency","1990","Other degree","West Germany","250","0.303848287140747","0.274739833692355","0.332956740589138"
"No transfer dependency","1990","Other degree","East Germany","","","",""
