"transab_cat","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","35-65 y.","1-pers.-HH","9","","","","3"
"High transfer dependency","1984","16-34 y.","Couple + C. GT 16 ","4","","","","3"
"High transfer dependency","1984","16-34 y.","Couple + C. LE and GT 16","6","","","","3"
"High transfer dependency","1984","16-34 y.","Couple + C. LE 16 ","24","","","","3"
"High transfer dependency","1984","66 and older","Couple + C. GT 16 ","","","","","3"
"High transfer dependency","1984","66 and older","Couple + C. LE and GT 16","","","","","3"
"Low transfer dependency","1984","35-65 y.","1-pers.-HH","17","","","","2"
"Low transfer dependency","1984","16-34 y.","Couple + C. LE and GT 16","51","0.0428137678439373","0.0273225301449782","0.0583050055428964","2"
"Low transfer dependency","1984","66 and older","Couple + C. LE and GT 16","","","","","2"
"Low transfer dependency","1984","16-34 y.","Couple + C. GT 16 ","21","","","","2"
"Low transfer dependency","1984","66 and older","Couple + C. GT 16 ","2","","","","2"
"Low transfer dependency","1984","16-34 y.","1-pers.-HH","20","","","","2"
"Low transfer dependency","1984","16-34 y.","(Married) couple without C. ","25","","","","2"
"Low transfer dependency","1984","16-34 y.","Single parent ","27","","","","2"
"Low transfer dependency","1984","16-34 y.","Couple + C. LE 16 ","60","0.0439581143628753","0.0334997709231231","0.0544164578026275","2"
"Low transfer dependency","1984","35-65 y.","(Married) couple without C. ","41","0.0205174585960161","0.0132730675151936","0.0277618496768386","2"
"Low transfer dependency","1984","35-65 y.","Single parent ","18","","","","2"
"Low transfer dependency","1984","35-65 y.","Couple + C. LE 16 ","65","0.0328543964901973","0.0238485919068079","0.0418602010735866","2"
"Low transfer dependency","1984","35-65 y.","Couple + C. GT 16 ","31","0.0274354715172587","0.0176978997555125","0.037173043279005","2"
"Low transfer dependency","1984","35-65 y.","Couple + C. LE and GT 16","64","0.0320558677378527","0.0209073352971347","0.0432044001785708","2"
"Low transfer dependency","1984","66 and older","1-pers.-HH","4","","","","2"
"Low transfer dependency","1984","66 and older","(Married) couple without C. ","4","","","","2"
"Low transfer dependency","1984","66 and older","Single parent ","4","","","","2"
"Low transfer dependency","1984","66 and older","Couple + C. LE 16 ","","","","","2"
"No transfer dependency","1984","16-34 y.","1-pers.-HH","256","0.749711377643099","0.703734602480789","0.795688152805408","0"
"No transfer dependency","1984","16-34 y.","(Married) couple without C. ","476","0.75283660666276","0.719338457381335","0.786334755944185","0"
"No transfer dependency","1984","16-34 y.","Single parent ","67","0.248451442613992","0.197192923899773","0.299709961328211","0"
"No transfer dependency","1984","16-34 y.","Couple + C. LE 16 ","77","0.0500895638374624","0.0389614933777692","0.0612176342971557","0"
"No transfer dependency","1984","16-34 y.","Couple + C. GT 16 ","258","0.334623930507534","0.30071815283386","0.368529708181207","0"
"No transfer dependency","1984","16-34 y.","Couple + C. LE and GT 16","35","0.0354341199687883","0.0212868401134874","0.0495813998240892","0"
"No transfer dependency","1984","35-65 y.","1-pers.-HH","388","0.79798255318488","0.763136456277402","0.832828650092358","0"
"No transfer dependency","1984","35-65 y.","(Married) couple without C. ","1244","0.869956047037748","0.852767645469818","0.887144448605679","0"
"No transfer dependency","1984","35-65 y.","Single parent ","81","0.327418202721405","0.27004547556009","0.384790929882719","0"
"No transfer dependency","1984","35-65 y.","Couple + C. LE 16 ","81","0.0505187890779848","0.0394538380892556","0.0615837400667139","0"
"No transfer dependency","1984","35-65 y.","Couple + C. GT 16 ","416","0.375211567114598","0.346348675165285","0.404074459063912","0"
"No transfer dependency","1984","35-65 y.","Couple + C. LE and GT 16","45","0.0286706489949594","0.0181087792932616","0.0392325186966572","0"
"No transfer dependency","1984","66 and older","1-pers.-HH","395","0.859907454956017","0.82815516017152","0.891659749740513","0"
"No transfer dependency","1984","66 and older","(Married) couple without C. ","552","0.960890952590675","0.945046040292164","0.976735864889185","0"
"No transfer dependency","1984","66 and older","Single parent ","21","","","","0"
"No transfer dependency","1984","66 and older","Couple + C. LE 16 ","2","","","","0"
"No transfer dependency","1984","66 and older","Couple + C. GT 16 ","33","0.694006647616136","0.562260788732596","0.825752506499676","0"
"No transfer dependency","1984","66 and older","Couple + C. LE and GT 16","","","","","0"
"Very high transfer dependency","1984","35-65 y.","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","1984","35-65 y.","Single parent ","1","","","","4"
"Very high transfer dependency","1984","35-65 y.","(Married) couple without C. ","5","","","","4"
"Very high transfer dependency","1984","35-65 y.","1-pers.-HH","6","","","","4"
"Very high transfer dependency","1984","16-34 y.","Couple + C. GT 16 ","10","","","","4"
"Very high transfer dependency","1984","16-34 y.","Couple + C. LE and GT 16","5","","","","4"
"Very high transfer dependency","1984","16-34 y.","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","1984","16-34 y.","1-pers.-HH","4","","","","4"
"Very high transfer dependency","1984","16-34 y.","(Married) couple without C. ","3","","","","4"
"Very high transfer dependency","1984","16-34 y.","Single parent ","5","","","","4"
"Very high transfer dependency","1984","35-65 y.","Couple + C. GT 16 ","10","","","","4"
"Very high transfer dependency","1984","35-65 y.","Couple + C. LE and GT 16","6","","","","4"
"Very high transfer dependency","1984","66 and older","1-pers.-HH","1","","","","4"
"Very high transfer dependency","1984","66 and older","(Married) couple without C. ","","","","","4"
"Very high transfer dependency","1984","66 and older","Single parent ","","","","","4"
"Very high transfer dependency","1984","66 and older","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","1984","66 and older","Couple + C. GT 16 ","","","","","4"
"Very high transfer dependency","1984","66 and older","Couple + C. LE and GT 16","","","","","4"
"Very low transfer dependency","1984","35-65 y.","Couple + C. GT 16 ","618","0.588436165341958","0.559099987828584","0.617772342855331","1"
"Very low transfer dependency","1984","35-65 y.","Couple + C. LE 16 ","1323","0.89586537361435","0.880434205663696","0.911296541565004","1"
"Very low transfer dependency","1984","35-65 y.","Single parent ","141","0.539989430772846","0.479055658638639","0.600923202907052","1"
"Very low transfer dependency","1984","35-65 y.","(Married) couple without C. ","162","0.0949429942855815","0.0799630159938721","0.109922972577291","1"
"Very low transfer dependency","1984","35-65 y.","1-pers.-HH","68","0.108185169111898","0.0812273836767917","0.135142954547005","1"
"Very low transfer dependency","1984","16-34 y.","Couple + C. LE and GT 16","557","0.911011404993182","0.889223009323817","0.932799800662548","1"
"Very low transfer dependency","1984","66 and older","Couple + C. LE and GT 16","","","","","1"
"Very low transfer dependency","1984","66 and older","Couple + C. GT 16 ","12","","","","1"
"Very low transfer dependency","1984","16-34 y.","Couple + C. GT 16 ","450","0.630298357137215","0.59561186344905","0.66498485082538","1"
"Very low transfer dependency","1984","16-34 y.","Single parent ","149","0.54145441446373","0.482347406540508","0.600561422386952","1"
"Very low transfer dependency","1984","16-34 y.","Couple + C. LE 16 ","1283","0.867666595396823","0.850379736221294","0.884953454572351","1"
"Very low transfer dependency","1984","16-34 y.","1-pers.-HH","20","","","","1"
"Very low transfer dependency","1984","16-34 y.","(Married) couple without C. ","126","0.188038961222102","0.15769516649183","0.218382755952374","1"
"Very low transfer dependency","1984","35-65 y.","Couple + C. LE and GT 16","832","0.929443783251443","0.913236209976265","0.945651356526621","1"
"Very low transfer dependency","1984","66 and older","1-pers.-HH","53","0.117848384825977","0.0883515658842952","0.147345203767658","1"
"Very low transfer dependency","1984","66 and older","(Married) couple without C. ","17","","","","1"
"Very low transfer dependency","1984","66 and older","Single parent ","3","","","","1"
"Very low transfer dependency","1984","66 and older","Couple + C. LE 16 ","1","","","","1"
"Complete transfer dependency","1985","16-34 y.","Couple + C. GT 16 ","1","","","","5"
"Complete transfer dependency","1985","16-34 y.","Couple + C. LE 16 ","19","","","","5"
"Complete transfer dependency","1985","16-34 y.","Single parent ","14","","","","5"
"Complete transfer dependency","1985","16-34 y.","1-pers.-HH","8","","","","5"
"Complete transfer dependency","1985","16-34 y.","(Married) couple without C. ","","","","","5"
"Complete transfer dependency","1985","16-34 y.","Couple + C. LE and GT 16","5","","","","5"
"Complete transfer dependency","1985","35-65 y.","1-pers.-HH","11","","","","5"
"Complete transfer dependency","1985","35-65 y.","(Married) couple without C. ","12","","","","5"
"Complete transfer dependency","1985","35-65 y.","Single parent ","2","","","","5"
"Complete transfer dependency","1985","35-65 y.","Couple + C. LE 16 ","17","","","","5"
"Complete transfer dependency","1985","35-65 y.","Couple + C. GT 16 ","2","","","","5"
"Complete transfer dependency","1985","35-65 y.","Couple + C. LE and GT 16","2","","","","5"
"Complete transfer dependency","1985","66 and older","1-pers.-HH","3","","","","5"
"Complete transfer dependency","1985","66 and older","(Married) couple without C. ","2","","","","5"
"Complete transfer dependency","1985","66 and older","Single parent ","","","","","5"
"Complete transfer dependency","1985","66 and older","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","1985","66 and older","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","1985","66 and older","Couple + C. LE and GT 16","","","","","5"
"High transfer dependency","1985","16-34 y.","(Married) couple without C. ","8","","","","3"
"High transfer dependency","1985","16-34 y.","Single parent ","8","","","","3"
"High transfer dependency","1985","16-34 y.","1-pers.-HH","9","","","","3"
"High transfer dependency","1985","35-65 y.","(Married) couple without C. ","6","","","","3"
"High transfer dependency","1985","35-65 y.","Single parent ","4","","","","3"
"High transfer dependency","1985","35-65 y.","Couple + C. LE 16 ","10","","","","3"
"High transfer dependency","1985","35-65 y.","Couple + C. GT 16 ","12","","","","3"
"High transfer dependency","1985","35-65 y.","Couple + C. LE and GT 16","11","","","","3"
"High transfer dependency","1985","66 and older","1-pers.-HH","6","","","","3"
"High transfer dependency","1985","66 and older","(Married) couple without C. ","4","","","","3"
"High transfer dependency","1985","66 and older","Single parent ","","","","","3"
"High transfer dependency","1985","66 and older","Couple + C. LE 16 ","","","","","3"
"High transfer dependency","1985","16-34 y.","Couple + C. LE and GT 16","9","","","","3"
"High transfer dependency","1985","35-65 y.","1-pers.-HH","7","","","","3"
"High transfer dependency","1985","16-34 y.","Couple + C. GT 16 ","17","","","","3"
"High transfer dependency","1985","16-34 y.","Couple + C. LE 16 ","12","","","","3"
"High transfer dependency","1985","66 and older","Couple + C. GT 16 ","","","","","3"
"High transfer dependency","1985","66 and older","Couple + C. LE and GT 16","","","","","3"
"Low transfer dependency","1985","35-65 y.","1-pers.-HH","11","","","","2"
"Low transfer dependency","1985","16-34 y.","Couple + C. LE and GT 16","34","0.0355574024363346","0.0207151195554371","0.0503996853172321","2"
"Low transfer dependency","1985","16-34 y.","Couple + C. GT 16 ","18","","","","2"
"Low transfer dependency","1985","66 and older","Couple + C. LE and GT 16","","","","","2"
"Low transfer dependency","1985","66 and older","Couple + C. GT 16 ","","","","","2"
"Low transfer dependency","1985","16-34 y.","1-pers.-HH","11","","","","2"
"Low transfer dependency","1985","16-34 y.","(Married) couple without C. ","17","","","","2"
"Low transfer dependency","1985","16-34 y.","Single parent ","10","","","","2"
"Low transfer dependency","1985","16-34 y.","Couple + C. LE 16 ","56","0.0391889840142342","0.0283403979509101","0.0500375700775583","2"
"Low transfer dependency","1985","35-65 y.","(Married) couple without C. ","32","0.0199126015287042","0.0123533712125915","0.0274718318448169","2"
"Low transfer dependency","1985","35-65 y.","Single parent ","18","","","","2"
"Low transfer dependency","1985","35-65 y.","Couple + C. LE 16 ","47","0.0268485546088985","0.0182798631517263","0.0354172460660708","2"
"Low transfer dependency","1985","35-65 y.","Couple + C. GT 16 ","18","","","","2"
"Low transfer dependency","1985","35-65 y.","Couple + C. LE and GT 16","35","0.0245051333628654","0.0139930545450836","0.0350172121806472","2"
"Low transfer dependency","1985","66 and older","1-pers.-HH","3","","","","2"
"Low transfer dependency","1985","66 and older","(Married) couple without C. ","1","","","","2"
"Low transfer dependency","1985","66 and older","Single parent ","2","","","","2"
"Low transfer dependency","1985","66 and older","Couple + C. LE 16 ","","","","","2"
"No transfer dependency","1985","16-34 y.","1-pers.-HH","252","0.784725162047137","0.739621877020524","0.82982844707375","0"
"No transfer dependency","1985","16-34 y.","(Married) couple without C. ","418","0.733123068059319","0.69712509439738","0.769121041721259","0"
"No transfer dependency","1985","16-34 y.","Single parent ","68","0.215820925033721","0.166382836350286","0.265259013717156","0"
"No transfer dependency","1985","16-34 y.","Couple + C. LE 16 ","32","0.0234675322070929","0.0150040476810213","0.0319310167331646","0"
"No transfer dependency","1985","16-34 y.","Couple + C. GT 16 ","246","0.296967077067482","0.264756364828805","0.329177789306159","0"
"No transfer dependency","1985","16-34 y.","Couple + C. LE and GT 16","8","","","","0"
"No transfer dependency","1985","35-65 y.","1-pers.-HH","330","0.787248284463808","0.749095226427746","0.825401342499871","0"
"No transfer dependency","1985","35-65 y.","(Married) couple without C. ","1115","0.874975629042617","0.857078783461671","0.892872474623564","0"
"No transfer dependency","1985","35-65 y.","Single parent ","76","0.330409850316423","0.270272376466877","0.390547324165969","0"
"No transfer dependency","1985","35-65 y.","Couple + C. LE 16 ","37","0.0320689446687159","0.0227293424441839","0.041408546893248","0"
"No transfer dependency","1985","35-65 y.","Couple + C. GT 16 ","392","0.363411414488507","0.33448367230123","0.392339156675785","0"
"No transfer dependency","1985","35-65 y.","Couple + C. LE and GT 16","14","","","","0"
"No transfer dependency","1985","66 and older","1-pers.-HH","356","0.884549477571976","0.853271769554203","0.915827185589749","0"
"No transfer dependency","1985","66 and older","(Married) couple without C. ","475","0.959278471972403","0.941867225088819","0.976689718855987","0"
"No transfer dependency","1985","66 and older","Single parent ","23","","","","0"
"No transfer dependency","1985","66 and older","Couple + C. LE 16 ","1","","","","0"
"No transfer dependency","1985","66 and older","Couple + C. GT 16 ","41","0.858757862570508","0.76023319547629","0.957282529664725","0"
"No transfer dependency","1985","66 and older","Couple + C. LE and GT 16","","","","","0"
"Very high transfer dependency","1985","16-34 y.","Couple + C. LE and GT 16","","","","","4"
"Very high transfer dependency","1985","35-65 y.","1-pers.-HH","9","","","","4"
"Very high transfer dependency","1985","35-65 y.","(Married) couple without C. ","6","","","","4"
"Very high transfer dependency","1985","35-65 y.","Single parent ","5","","","","4"
"Very high transfer dependency","1985","35-65 y.","Couple + C. LE 16 ","7","","","","4"
"Very high transfer dependency","1985","16-34 y.","Couple + C. GT 16 ","1","","","","4"
"Very high transfer dependency","1985","16-34 y.","Couple + C. LE 16 ","7","","","","4"
"Very high transfer dependency","1985","66 and older","Couple + C. LE and GT 16","","","","","4"
"Very high transfer dependency","1985","16-34 y.","1-pers.-HH","12","","","","4"
"Very high transfer dependency","1985","16-34 y.","(Married) couple without C. ","4","","","","4"
"Very high transfer dependency","1985","16-34 y.","Single parent ","9","","","","4"
"Very high transfer dependency","1985","35-65 y.","Couple + C. GT 16 ","2","","","","4"
"Very high transfer dependency","1985","35-65 y.","Couple + C. LE and GT 16","","","","","4"
"Very high transfer dependency","1985","66 and older","1-pers.-HH","","","","","4"
"Very high transfer dependency","1985","66 and older","(Married) couple without C. ","","","","","4"
"Very high transfer dependency","1985","66 and older","Single parent ","","","","","4"
"Very high transfer dependency","1985","66 and older","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","1985","66 and older","Couple + C. GT 16 ","","","","","4"
"Very low transfer dependency","1985","35-65 y.","Couple + C. GT 16 ","636","0.611224873077807","0.581906789532828","0.640542956622786","1"
"Very low transfer dependency","1985","35-65 y.","Couple + C. LE 16 ","1249","0.918888021209342","0.904415718861887","0.933360323556797","1"
"Very low transfer dependency","1985","35-65 y.","Single parent ","130","0.549148480200123","0.485531093958908","0.612765866441338","1"
"Very low transfer dependency","1985","35-65 y.","(Married) couple without C. ","141","0.087103448902867","0.071845026536047","0.102361871269687","1"
"Very low transfer dependency","1985","35-65 y.","1-pers.-HH","74","0.122231234262967","0.091694814534985","0.15276765399095","1"
"Very low transfer dependency","1985","16-34 y.","Couple + C. LE and GT 16","542","0.935377430397859","0.915672130273035","0.955082730522684","1"
"Very low transfer dependency","1985","16-34 y.","Couple + C. GT 16 ","490","0.671201960520177","0.638085069271918","0.704318851768436","1"
"Very low transfer dependency","1985","16-34 y.","(Married) couple without C. ","133","0.214336570742538","0.180940105513761","0.247733035971314","1"
"Very low transfer dependency","1985","16-34 y.","Single parent ","157","0.62490083682323","0.56671920825557","0.68308246539089","1"
"Very low transfer dependency","1985","66 and older","Couple + C. GT 16 ","7","","","","1"
"Very low transfer dependency","1985","66 and older","Couple + C. LE and GT 16","","","","","1"
"Very low transfer dependency","1985","16-34 y.","Couple + C. LE 16 ","1103","0.910859404203115","0.894928677430738","0.926790130975492","1"
"Very low transfer dependency","1985","16-34 y.","1-pers.-HH","27","","","","1"
"Very low transfer dependency","1985","66 and older","Couple + C. LE 16 ","1","","","","1"
"Very low transfer dependency","1985","66 and older","Single parent ","3","","","","1"
"Very low transfer dependency","1985","35-65 y.","Couple + C. LE and GT 16","769","0.947473620340997","0.932305915218198","0.962641325463796","1"
"Very low transfer dependency","1985","66 and older","1-pers.-HH","33","0.08539427256162","0.058041129639112","0.112747415484128","1"
"Very low transfer dependency","1985","66 and older","(Married) couple without C. ","13","","","","1"
"Complete transfer dependency","1986","16-34 y.","Couple + C. GT 16 ","2","","","","5"
"Complete transfer dependency","1986","16-34 y.","(Married) couple without C. ","2","","","","5"
"Complete transfer dependency","1986","16-34 y.","1-pers.-HH","9","","","","5"
"Complete transfer dependency","1986","16-34 y.","Couple + C. LE 16 ","16","","","","5"
"Complete transfer dependency","1986","16-34 y.","Single parent ","12","","","","5"
"Complete transfer dependency","1986","16-34 y.","Couple + C. LE and GT 16","4","","","","5"
"Complete transfer dependency","1986","35-65 y.","1-pers.-HH","13","","","","5"
"Complete transfer dependency","1986","35-65 y.","(Married) couple without C. ","10","","","","5"
"Complete transfer dependency","1986","35-65 y.","Single parent ","3","","","","5"
"Complete transfer dependency","1986","35-65 y.","Couple + C. LE 16 ","11","","","","5"
"Complete transfer dependency","1986","35-65 y.","Couple + C. GT 16 ","2","","","","5"
"Complete transfer dependency","1986","35-65 y.","Couple + C. LE and GT 16","2","","","","5"
"Complete transfer dependency","1986","66 and older","1-pers.-HH","1","","","","5"
"Complete transfer dependency","1986","66 and older","(Married) couple without C. ","","","","","5"
"Complete transfer dependency","1986","66 and older","Single parent ","","","","","5"
"Complete transfer dependency","1986","66 and older","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","1986","66 and older","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","1986","66 and older","Couple + C. LE and GT 16","","","","","5"
"High transfer dependency","1986","16-34 y.","(Married) couple without C. ","6","","","","3"
"High transfer dependency","1986","16-34 y.","1-pers.-HH","13","","","","3"
"High transfer dependency","1986","66 and older","Single parent ","","","","","3"
"High transfer dependency","1986","35-65 y.","Single parent ","1","","","","3"
"High transfer dependency","1986","35-65 y.","Couple + C. LE and GT 16","10","","","","3"
"High transfer dependency","1986","66 and older","1-pers.-HH","4","","","","3"
"High transfer dependency","1986","35-65 y.","Couple + C. LE 16 ","12","","","","3"
"High transfer dependency","1986","35-65 y.","Couple + C. GT 16 ","7","","","","3"
"High transfer dependency","1986","66 and older","(Married) couple without C. ","4","","","","3"
"High transfer dependency","1986","35-65 y.","1-pers.-HH","8","","","","3"
"High transfer dependency","1986","35-65 y.","(Married) couple without C. ","16","","","","3"
"High transfer dependency","1986","16-34 y.","Couple + C. GT 16 ","7","","","","3"
"High transfer dependency","1986","16-34 y.","Single parent ","5","","","","3"
"High transfer dependency","1986","16-34 y.","Couple + C. LE and GT 16","10","","","","3"
"High transfer dependency","1986","66 and older","Couple + C. LE 16 ","","","","","3"
"High transfer dependency","1986","66 and older","Couple + C. GT 16 ","","","","","3"
"High transfer dependency","1986","66 and older","Couple + C. LE and GT 16","","","","","3"
"High transfer dependency","1986","16-34 y.","Couple + C. LE 16 ","10","","","","3"
"Low transfer dependency","1986","16-34 y.","Couple + C. LE and GT 16","27","","","","2"
"Low transfer dependency","1986","16-34 y.","Single parent ","22","","","","2"
"Low transfer dependency","1986","16-34 y.","Couple + C. LE 16 ","53","0.0436917576551893","0.0317577904375188","0.0556257248728598","2"
"Low transfer dependency","1986","35-65 y.","1-pers.-HH","14","","","","2"
"Low transfer dependency","1986","66 and older","Couple + C. LE 16 ","","","","","2"
"Low transfer dependency","1986","35-65 y.","(Married) couple without C. ","20","","","","2"
"Low transfer dependency","1986","16-34 y.","(Married) couple without C. ","16","","","","2"
"Low transfer dependency","1986","66 and older","Single parent ","","","","","2"
"Low transfer dependency","1986","16-34 y.","1-pers.-HH","12","","","","2"
"Low transfer dependency","1986","66 and older","Couple + C. LE and GT 16","","","","","2"
"Low transfer dependency","1986","16-34 y.","Couple + C. GT 16 ","18","","","","2"
"Low transfer dependency","1986","66 and older","Couple + C. GT 16 ","","","","","2"
"Low transfer dependency","1986","35-65 y.","Single parent ","17","","","","2"
"Low transfer dependency","1986","35-65 y.","Couple + C. LE 16 ","42","0.0298695251123137","0.0202741010403669","0.0394649491842605","2"
"Low transfer dependency","1986","35-65 y.","Couple + C. GT 16 ","23","","","","2"
"Low transfer dependency","1986","35-65 y.","Couple + C. LE and GT 16","30","0.0218336092403865","0.0115843681489833","0.0320828503317897","2"
"Low transfer dependency","1986","66 and older","1-pers.-HH","2","","","","2"
"Low transfer dependency","1986","66 and older","(Married) couple without C. ","2","","","","2"
"No transfer dependency","1986","16-34 y.","1-pers.-HH","246","0.775064207816919","0.729172665331594","0.820955750302245","0"
"No transfer dependency","1986","16-34 y.","(Married) couple without C. ","490","0.786057477950592","0.754136280874075","0.817978675027109","0"
"No transfer dependency","1986","16-34 y.","Single parent ","62","0.229025546729005","0.176621892488307","0.281429200969703","0"
"No transfer dependency","1986","16-34 y.","Couple + C. LE 16 ","46","0.0315394633089989","0.0213358440057393","0.0417430826122586","0"
"No transfer dependency","1986","16-34 y.","Couple + C. GT 16 ","252","0.322758280723364","0.289968906937459","0.35554765450927","0"
"No transfer dependency","1986","16-34 y.","Couple + C. LE and GT 16","10","","","","0"
"No transfer dependency","1986","35-65 y.","1-pers.-HH","321","0.766089476967598","0.725796459583873","0.806382494351323","0"
"No transfer dependency","1986","35-65 y.","(Married) couple without C. ","1032","0.856819330565333","0.837324293253109","0.876314367877557","0"
"No transfer dependency","1986","35-65 y.","Single parent ","67","0.311359059425995","0.250447632099754","0.372270486752236","0"
"No transfer dependency","1986","35-65 y.","Couple + C. LE 16 ","24","","","","0"
"No transfer dependency","1986","35-65 y.","Couple + C. GT 16 ","395","0.359523041722669","0.330864416098125","0.388181667347212","0"
"No transfer dependency","1986","35-65 y.","Couple + C. LE and GT 16","14","","","","0"
"No transfer dependency","1986","66 and older","1-pers.-HH","327","0.879877940023536","0.846661982074226","0.913093897972847","0"
"No transfer dependency","1986","66 and older","(Married) couple without C. ","452","0.954575728216423","0.935790076242274","0.973361380190573","0"
"No transfer dependency","1986","66 and older","Single parent ","21","","","","0"
"No transfer dependency","1986","66 and older","Couple + C. LE 16 ","","","","","0"
"No transfer dependency","1986","66 and older","Couple + C. GT 16 ","36","0.749908608121011","0.627395935658773","0.872421280583248","0"
"No transfer dependency","1986","66 and older","Couple + C. LE and GT 16","","","","","0"
"Very high transfer dependency","1986","35-65 y.","Couple + C. LE 16 ","7","","","","4"
"Very high transfer dependency","1986","35-65 y.","Single parent ","4","","","","4"
"Very high transfer dependency","1986","35-65 y.","(Married) couple without C. ","5","","","","4"
"Very high transfer dependency","1986","16-34 y.","Couple + C. LE and GT 16","1","","","","4"
"Very high transfer dependency","1986","35-65 y.","1-pers.-HH","9","","","","4"
"Very high transfer dependency","1986","16-34 y.","Couple + C. GT 16 ","5","","","","4"
"Very high transfer dependency","1986","16-34 y.","Couple + C. LE 16 ","3","","","","4"
"Very high transfer dependency","1986","16-34 y.","(Married) couple without C. ","7","","","","4"
"Very high transfer dependency","1986","16-34 y.","Single parent ","4","","","","4"
"Very high transfer dependency","1986","16-34 y.","1-pers.-HH","13","","","","4"
"Very high transfer dependency","1986","66 and older","(Married) couple without C. ","","","","","4"
"Very high transfer dependency","1986","66 and older","Single parent ","","","","","4"
"Very high transfer dependency","1986","66 and older","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","1986","66 and older","Couple + C. GT 16 ","","","","","4"
"Very high transfer dependency","1986","66 and older","Couple + C. LE and GT 16","","","","","4"
"Very high transfer dependency","1986","35-65 y.","Couple + C. GT 16 ","6","","","","4"
"Very high transfer dependency","1986","35-65 y.","Couple + C. LE and GT 16","2","","","","4"
"Very high transfer dependency","1986","66 and older","1-pers.-HH","1","","","","4"
"Very low transfer dependency","1986","35-65 y.","Couple + C. GT 16 ","644","0.610436157710968","0.581312247413329","0.639560068008608","1"
"Very low transfer dependency","1986","35-65 y.","Couple + C. LE 16 ","1113","0.931216833115158","0.916950858946609","0.945482807283706","1"
"Very low transfer dependency","1986","35-65 y.","Single parent ","130","0.565175385825658","0.499964472378963","0.630386299272352","1"
"Very low transfer dependency","1986","35-65 y.","(Married) couple without C. ","157","0.106131414896628","0.0889880502587067","0.12327477953455","1"
"Very low transfer dependency","1986","35-65 y.","1-pers.-HH","59","0.116090324879683","0.0855996441941358","0.146581005565231","1"
"Very low transfer dependency","1986","16-34 y.","Couple + C. LE and GT 16","507","0.920449567735546","0.898017802140554","0.942881333330537","1"
"Very low transfer dependency","1986","16-34 y.","Couple + C. GT 16 ","497","0.645093195893321","0.611535590144059","0.678650801642583","1"
