"transab_cat","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Very high transfer dependency","1984","no migration background","Female","16","","",""
"Very high transfer dependency","1984","direct migration background","Male","15","","",""
"Very high transfer dependency","1984","direct migration background","Female","12","","",""
"Very high transfer dependency","1984","indirect migration background","Male","","","",""
"Very high transfer dependency","1984","indirect migration background","Female","3","","",""
"Complete transfer dependency","1984","no migration background","Male","38","0.0103047708230444","0.00715543153991097","0.0134541101061779"
"Complete transfer dependency","1984","no migration background","Female","62","0.0138751487745354","0.0104117964010455","0.0173385011480253"
"Complete transfer dependency","1984","direct migration background","Male","26","","",""
"Complete transfer dependency","1984","direct migration background","Female","32","0.036049974671605","0.0267875852505777","0.0453123640926324"
"Complete transfer dependency","1984","indirect migration background","Male","","","",""
"Complete transfer dependency","1984","indirect migration background","Female","","","",""
"No transfer dependency","1985","no migration background","Male","1551","0.472831469539572","0.456676648163206","0.488986290915938"
"No transfer dependency","1985","no migration background","Female","1845","0.525444225732423","0.510006048197323","0.540882403267524"
"No transfer dependency","1985","direct migration background","Male","378","0.344154486611398","0.320127980646957","0.368180992575839"
"No transfer dependency","1985","direct migration background","Female","311","0.354668733317465","0.32881114478803","0.3805263218469"
"No transfer dependency","1985","indirect migration background","Male","14","","",""
"No transfer dependency","1985","indirect migration background","Female","19","","",""
"Very low transfer dependency","1985","no migration background","Male","1959","0.484522046587294","0.468351077220189","0.5006930159544"
"Very low transfer dependency","1985","no migration background","Female","1946","0.419416755258137","0.404160630726731","0.434672879789543"
"Very low transfer dependency","1985","direct migration background","Male","986","0.569396084727568","0.544354641792809","0.594437527662326"
"Very low transfer dependency","1985","direct migration background","Female","878","0.55071879419422","0.523833840714479","0.577603747673962"
"Very low transfer dependency","1985","indirect migration background","Male","43","0.488198169439937","0.36573454891845","0.610661789961424"
"Very low transfer dependency","1985","indirect migration background","Female","56","0.5073968653036","0.396447897762991","0.618345832844208"
"Low transfer dependency","1985","no migration background","Male","88","0.0220637707255743","0.0173107536898689","0.0268167877612796"
"Low transfer dependency","1985","no migration background","Female","110","0.0246913379421684","0.0198936450972054","0.0294890307871315"
"Low transfer dependency","1985","direct migration background","Male","82","0.0429994093064528","0.032740516961936","0.0532583016509696"
"Low transfer dependency","1985","direct migration background","Female","69","0.0432058456694016","0.0322166545567948","0.0541950367820085"
"Low transfer dependency","1985","indirect migration background","Male","5","","",""
"Low transfer dependency","1985","indirect migration background","Female","2","","",""
"High transfer dependency","1985","no migration background","Male","28","","",""
"High transfer dependency","1985","no migration background","Female","45","0.0123716117966567","0.00895418663832134","0.0157890369549921"
"High transfer dependency","1985","direct migration background","Male","30","0.0225930456873413","0.0150778857557521","0.0301082056189305"
"High transfer dependency","1985","direct migration background","Female","29","","",""
"High transfer dependency","1985","indirect migration background","Male","1","","",""
"High transfer dependency","1985","indirect migration background","Female","1","","",""
"Very high transfer dependency","1985","no migration background","Male","23","","",""
"Very high transfer dependency","1985","no migration background","Female","31","0.00765623335938959","0.00496142589276022","0.010351040826019"
"Very high transfer dependency","1985","direct migration background","Male","8","","",""
"Very high transfer dependency","1985","direct migration background","Female","8","","",""
"Very high transfer dependency","1985","indirect migration background","Male","1","","",""
"Very high transfer dependency","1985","indirect migration background","Female","","","",""
"Complete transfer dependency","1985","no migration background","Male","20","","",""
"Complete transfer dependency","1985","no migration background","Female","42","0.0104198359112247","0.00728044773303159","0.0135592240894178"
"Complete transfer dependency","1985","direct migration background","Male","18","","",""
"Complete transfer dependency","1985","direct migration background","Female","20","","",""
"Complete transfer dependency","1985","indirect migration background","Male","","","",""
"Complete transfer dependency","1985","indirect migration background","Female","","","",""
"No transfer dependency","1986","no migration background","Male","1492","0.478302921813912","0.461711086561369","0.494894757066454"
"No transfer dependency","1986","no migration background","Female","1774","0.535358055376707","0.519523349765128","0.551192760988285"
"No transfer dependency","1986","direct migration background","Male","404","0.362935502700673","0.338279117215485","0.387591888185861"
"No transfer dependency","1986","direct migration background","Female","303","0.359607629354097","0.333173271719081","0.386041986989114"
"No transfer dependency","1986","indirect migration background","Male","19","","",""
"No transfer dependency","1986","indirect migration background","Female","25","","",""
"Very low transfer dependency","1986","no migration background","Male","1839","0.474737179079349","0.458150911747371","0.491323446411326"
"Very low transfer dependency","1986","no migration background","Female","1839","0.410624967508855","0.395006185629154","0.426243749388556"
"Very low transfer dependency","1986","direct migration background","Male","930","0.550540555149535","0.52503334872713","0.576047761571941"
"Very low transfer dependency","1986","direct migration background","Female","840","0.554249128444024","0.526869355132361","0.581628901755688"
"Very low transfer dependency","1986","indirect migration background","Male","45","0.474123141037406","0.355442128946442","0.592804153128371"
"Very low transfer dependency","1986","indirect migration background","Female","53","0.391902916320486","0.285591160840998","0.498214671799974"
"Low transfer dependency","1986","no migration background","Male","92","0.0278921193227215","0.0224228199396911","0.0333614187057519"
"Low transfer dependency","1986","no migration background","Female","92","0.0232823449976079","0.0184946497780827","0.0280700402171332"
"Low transfer dependency","1986","direct migration background","Male","71","0.0400477916249536","0.0299938334233166","0.0501017498265906"
"Low transfer dependency","1986","direct migration background","Female","69","0.0500857618093549","0.0380705735820609","0.0621009500366488"
"Low transfer dependency","1986","indirect migration background","Male","3","","",""
"Low transfer dependency","1986","indirect migration background","Female","2","","",""
"High transfer dependency","1986","no migration background","Male","27","","",""
"High transfer dependency","1986","no migration background","Female","43","0.0133588628569296","0.00971390113530205","0.0170038245785572"
"High transfer dependency","1986","direct migration background","Male","26","","",""
"High transfer dependency","1986","direct migration background","Female","25","","",""
"High transfer dependency","1986","indirect migration background","Male","","","",""
"High transfer dependency","1986","indirect migration background","Female","1","","",""
"Very high transfer dependency","1986","no migration background","Male","12","","",""
"Very high transfer dependency","1986","no migration background","Female","27","","",""
"Very high transfer dependency","1986","direct migration background","Male","14","","",""
"Very high transfer dependency","1986","direct migration background","Female","14","","",""
"Very high transfer dependency","1986","indirect migration background","Male","1","","",""
"Very high transfer dependency","1986","indirect migration background","Female","","","",""
"Complete transfer dependency","1986","no migration background","Male","20","","",""
"Complete transfer dependency","1986","no migration background","Female","36","0.00944333321345073","0.00637267883635183","0.0125139875905496"
"Complete transfer dependency","1986","direct migration background","Male","16","","",""
"Complete transfer dependency","1986","direct migration background","Female","15","","",""
"Complete transfer dependency","1986","indirect migration background","Male","","","",""
"Complete transfer dependency","1986","indirect migration background","Female","","","",""
"No transfer dependency","1987","no migration background","Male","1529","0.503285052581854","0.486481333763462","0.520088771400247"
"No transfer dependency","1987","no migration background","Female","1771","0.548939816799981","0.53293877372011","0.564940859879853"
"No transfer dependency","1987","direct migration background","Male","374","0.358452263919218","0.333735358441787","0.383169169396649"
"No transfer dependency","1987","direct migration background","Female","301","0.362051736160378","0.335630486010636","0.388472986310121"
"No transfer dependency","1987","indirect migration background","Male","21","","",""
"No transfer dependency","1987","indirect migration background","Female","28","","",""
"Very low transfer dependency","1987","no migration background","Male","1710","0.448058116519867","0.431344954429578","0.464771278610156"
"Very low transfer dependency","1987","no migration background","Female","1742","0.396138833829817","0.380411288628345","0.411866379031288"
"Very low transfer dependency","1987","direct migration background","Male","967","0.57428752085473","0.548802392530914","0.599772649178546"
"Very low transfer dependency","1987","direct migration background","Female","858","0.555355991271813","0.528036835849124","0.582675146694501"
"Very low transfer dependency","1987","indirect migration background","Male","50","0.496593769437092","0.384917048205605","0.608270490668579"
"Very low transfer dependency","1987","indirect migration background","Female","58","0.367986518603136","0.269441811584343","0.466531225621929"
"Low transfer dependency","1987","no migration background","Male","95","0.0269916123496561","0.0215451126868897","0.0324381120124224"
"Low transfer dependency","1987","no migration background","Female","119","0.0310358110004123","0.0254594087402756","0.0366122132605491"
"Low transfer dependency","1987","direct migration background","Male","58","0.0289182133070065","0.0202809217977195","0.0375555048162935"
"Low transfer dependency","1987","direct migration background","Female","60","0.0463442771116605","0.0347866366132377","0.0579019176100833"
"Low transfer dependency","1987","indirect migration background","Male","5","","",""
"Low transfer dependency","1987","indirect migration background","Female","5","","",""
"High transfer dependency","1987","no migration background","Male","29","","",""
"High transfer dependency","1987","no migration background","Female","31","0.00847354909922724","0.00552605116570206","0.0114210470327524"
"High transfer dependency","1987","direct migration background","Male","27","","",""
"High transfer dependency","1987","direct migration background","Female","26","","",""
"High transfer dependency","1987","indirect migration background","Male","","","",""
"High transfer dependency","1987","indirect migration background","Female","","","",""
"Very high transfer dependency","1987","no migration background","Male","19","","",""
"Very high transfer dependency","1987","no migration background","Female","28","","",""
"Very high transfer dependency","1987","direct migration background","Male","8","","",""
"Very high transfer dependency","1987","direct migration background","Female","7","","",""
"Very high transfer dependency","1987","indirect migration background","Male","1","","",""
"Very high transfer dependency","1987","indirect migration background","Female","1","","",""
"Complete transfer dependency","1987","no migration background","Male","19","","",""
"Complete transfer dependency","1987","no migration background","Female","24","","",""
"Complete transfer dependency","1987","direct migration background","Male","12","","",""
"Complete transfer dependency","1987","direct migration background","Female","19","","",""
"Complete transfer dependency","1987","indirect migration background","Male","","","",""
"Complete transfer dependency","1987","indirect migration background","Female","","","",""
"No transfer dependency","1988","no migration background","Male","1490","0.526970732911292","0.509672156836115","0.54426930898647"
"No transfer dependency","1988","no migration background","Female","1691","0.561425030748771","0.544964608445483","0.577885453052058"
"No transfer dependency","1988","direct migration background","Male","376","0.40603599119509","0.379887852857567","0.432184129532613"
"No transfer dependency","1988","direct migration background","Female","294","0.374070596763989","0.346884787551625","0.401256405976353"
"No transfer dependency","1988","indirect migration background","Male","26","","",""
"No transfer dependency","1988","indirect migration background","Female","30","0.430937750467539","0.337972209597048","0.523903291338031"
"Very low transfer dependency","1988","no migration background","Male","1584","0.432774634257897","0.415608131691401","0.449941136824393"
"Very low transfer dependency","1988","no migration background","Female","1631","0.386012746904036","0.369863448212861","0.402162045595211"
"Very low transfer dependency","1988","direct migration background","Male","874","0.522467567783722","0.495871982751824","0.54906315281562"
"Very low transfer dependency","1988","direct migration background","Female","812","0.543111075173624","0.515124326562955","0.571097823784293"
"Very low transfer dependency","1988","indirect migration background","Male","67","0.553759628253824","0.45775889432964","0.649760362178008"
"Very low transfer dependency","1988","indirect migration background","Female","69","0.522415317102563","0.428644437941992","0.616186196263134"
"Low transfer dependency","1988","no migration background","Male","73","0.0222148625353852","0.017108441355335","0.0273212837154354"
"Low transfer dependency","1988","no migration background","Female","84","0.0258306977683891","0.0205686055402838","0.0310927899964943"
"Low transfer dependency","1988","direct migration background","Male","66","0.0367913856654731","0.0267680633765294","0.0468147079544168"
"Low transfer dependency","1988","direct migration background","Female","70","0.051900767253533","0.0394379396216178","0.0643635948854483"
"Low transfer dependency","1988","indirect migration background","Male","5","","",""
"Low transfer dependency","1988","indirect migration background","Female","5","","",""
"High transfer dependency","1988","no migration background","Male","22","","",""
"High transfer dependency","1988","no migration background","Female","31","0.00921993119310081","0.00604944667118974","0.0123904157150119"
"High transfer dependency","1988","direct migration background","Male","14","","",""
"High transfer dependency","1988","direct migration background","Female","14","","",""
"High transfer dependency","1988","indirect migration background","Male","3","","",""
"High transfer dependency","1988","indirect migration background","Female","1","","",""
"Very high transfer dependency","1988","no migration background","Male","20","","",""
"Very high transfer dependency","1988","no migration background","Female","34","0.010444937769341","0.00707248343699874","0.0138173921016832"
"Very high transfer dependency","1988","direct migration background","Male","11","","",""
"Very high transfer dependency","1988","direct migration background","Female","8","","",""
"Very high transfer dependency","1988","indirect migration background","Male","2","","",""
"Very high transfer dependency","1988","indirect migration background","Female","1","","",""
"Complete transfer dependency","1988","no migration background","Male","11","","",""
"Complete transfer dependency","1988","no migration background","Female","20","","",""
"Complete transfer dependency","1988","direct migration background","Male","14","","",""
"Complete transfer dependency","1988","direct migration background","Female","19","","",""
"Complete transfer dependency","1988","indirect migration background","Male","","","",""
"Complete transfer dependency","1988","indirect migration background","Female","3","","",""
"No transfer dependency","1989","no migration background","Male","1454","0.528803053358608","0.51117146420751","0.546434642509706"
"No transfer dependency","1989","no migration background","Female","1651","0.569602515994505","0.552818313357688","0.586386718631322"
"No transfer dependency","1989","direct migration background","Male","381","0.419513323516977","0.392739410851672","0.446287236182282"
"No transfer dependency","1989","direct migration background","Female","315","0.377355253197708","0.349986820224089","0.404723686171327"
"No transfer dependency","1989","indirect migration background","Male","32","0.287524064841265","0.205512072971719","0.369536056710811"
"No transfer dependency","1989","indirect migration background","Female","36","0.423222635395606","0.339255213629407","0.507190057161805"
"Very low transfer dependency","1989","no migration background","Male","1500","0.429529104242248","0.412044480501353","0.447013727983143"
"Very low transfer dependency","1989","no migration background","Female","1528","0.377945603769469","0.361509126873901","0.394382080665038"
"Very low transfer dependency","1989","direct migration background","Male","815","0.511278687636546","0.484157898677946","0.538399476595146"
"Very low transfer dependency","1989","direct migration background","Female","777","0.53206636235164","0.503893588952325","0.560239135750956"
"Very low transfer dependency","1989","indirect migration background","Male","76","0.613092829898527","0.524841416879444","0.701344242917611"
"Very low transfer dependency","1989","indirect migration background","Female","88","0.512099221706852","0.42714888904663","0.597049554367075"
"Low transfer dependency","1989","no migration background","Male","71","0.0203562374290161","0.0153682415126651","0.0253442333453671"
"Low transfer dependency","1989","no migration background","Female","78","0.0216001709304681","0.0166722165276352","0.026528125333301"
"Low transfer dependency","1989","direct migration background","Male","63","0.0328939741100007","0.0232170340058087","0.0425709142141927"
"Low transfer dependency","1989","direct migration background","Female","66","0.0539824133685976","0.0412230113616913","0.0667418153755039"
"Low transfer dependency","1989","indirect migration background","Male","6","","",""
"Low transfer dependency","1989","indirect migration background","Female","6","","",""
"High transfer dependency","1989","no migration background","Male","23","","",""
"High transfer dependency","1989","no migration background","Female","35","0.0124876637065875","0.0087232983766941","0.0162520290364809"
"High transfer dependency","1989","direct migration background","Male","20","","",""
"High transfer dependency","1989","direct migration background","Female","22","","",""
"High transfer dependency","1989","indirect migration background","Male","1","","",""
"High transfer dependency","1989","indirect migration background","Female","1","","",""
"Very high transfer dependency","1989","no migration background","Male","15","","",""
"Very high transfer dependency","1989","no migration background","Female","23","","",""
"Very high transfer dependency","1989","direct migration background","Male","7","","",""
"Very high transfer dependency","1989","direct migration background","Female","9","","",""
"Very high transfer dependency","1989","indirect migration background","Male","1","","",""
"Very high transfer dependency","1989","indirect migration background","Female","1","","",""
"Complete transfer dependency","1989","no migration background","Male","16","","",""
"Complete transfer dependency","1989","no migration background","Female","28","","",""
"Complete transfer dependency","1989","direct migration background","Male","19","","",""
"Complete transfer dependency","1989","direct migration background","Female","16","","",""
"Complete transfer dependency","1989","indirect migration background","Male","1","","",""
"Complete transfer dependency","1989","indirect migration background","Female","1","","",""
"No transfer dependency","1990","no migration background","Male","1502","0.553046214272667","0.53515055245333","0.570941876092004"
"No transfer dependency","1990","no migration background","Female","1698","0.584255422687553","0.567285093822154","0.601225751552953"
"No transfer dependency","1990","direct migration background","Male","394","0.440263590830528","0.412950839897594","0.467576341763461"
"No transfer dependency","1990","direct migration background","Female","312","0.387844990075466","0.359609529533402","0.416080450617531"
"No transfer dependency","1990","indirect migration background","Male","36","0.284620640860147","0.20821998433367","0.361021297386625"
"No transfer dependency","1990","indirect migration background","Female","35","0.373817217765617","0.293959159525557","0.453675276005678"
"Very low transfer dependency","1990","no migration background","Male","1361","0.409338861197791","0.391639954905805","0.427037767489778"
"Very low transfer dependency","1990","no migration background","Female","1405","0.371609467816773","0.354970216259151","0.388248719374394"
"Very low transfer dependency","1990","direct migration background","Male","776","0.48884172931422","0.461338789910569","0.516344668717871"
"Very low transfer dependency","1990","direct migration background","Female","740","0.5339611535609","0.505054290212985","0.562868016908815"
"Very low transfer dependency","1990","indirect migration background","Male","89","0.655397765706072","0.574932728845228","0.735862802566916"
"Very low transfer dependency","1990","indirect migration background","Female","99","0.599445468035168","0.518564898607738","0.680326037462597"
"Low transfer dependency","1990","no migration background","Male","60","0.0197804916016024","0.0147684351554463","0.0247925480477585"
"Low transfer dependency","1990","no migration background","Female","75","0.0221186659069816","0.0170546142341338","0.0271827175798295"
"Low transfer dependency","1990","direct migration background","Male","50","0.0284851810319358","0.0193324334232883","0.0376379286405832"
"Low transfer dependency","1990","direct migration background","Female","49","0.0413534555811032","0.0298157291482049","0.0528911820140015"
"Low transfer dependency","1990","indirect migration background","Male","8","","",""
"Low transfer dependency","1990","indirect migration background","Female","5","","",""
"High transfer dependency","1990","no migration background","Male","23","","",""
"High transfer dependency","1990","no migration background","Female","32","0.0106708912152467","0.00713298492132619","0.0142087975091672"
"High transfer dependency","1990","direct migration background","Male","22","","",""
"High transfer dependency","1990","direct migration background","Female","22","","",""
"High transfer dependency","1990","indirect migration background","Male","","","",""
"High transfer dependency","1990","indirect migration background","Female","","","",""
"Very high transfer dependency","1990","no migration background","Male","9","","",""
"Very high transfer dependency","1990","no migration background","Female","12","","",""
"Very high transfer dependency","1990","direct migration background","Male","15","","",""
"Very high transfer dependency","1990","direct migration background","Female","9","","",""
"Very high transfer dependency","1990","indirect migration background","Male","","","",""
"Very high transfer dependency","1990","indirect migration background","Female","2","","",""
"Complete transfer dependency","1990","no migration background","Male","10","","",""
"Complete transfer dependency","1990","no migration background","Female","18","","",""
"Complete transfer dependency","1990","direct migration background","Male","12","","",""
"Complete transfer dependency","1990","direct migration background","Female","12","","",""
"Complete transfer dependency","1990","indirect migration background","Male","1","","",""
"Complete transfer dependency","1990","indirect migration background","Female","","","",""
"No transfer dependency","1991","no migration background","Male","1527","0.567574462520212","0.549608544949952","0.585540380090472"
"No transfer dependency","1991","no migration background","Female","1729","0.595331626208206","0.578352134542925","0.612311117873486"
"No transfer dependency","1991","direct migration background","Male","395","0.453545808283431","0.425724151104752","0.48136746546211"
"No transfer dependency","1991","direct migration background","Female","330","0.417651345008946","0.388664951886442","0.44663773813145"
"No transfer dependency","1991","indirect migration background","Male","53","0.392179791468808","0.316763473309279","0.467596109628337"
"No transfer dependency","1991","indirect migration background","Female","47","0.399935044723101","0.324028021161606","0.475842068284597"
"Very low transfer dependency","1991","no migration background","Male","1289","0.394760895025412","0.377034808486765","0.412486981564059"
"Very low transfer dependency","1991","no migration background","Female","1333","0.356317466131787","0.339750232646132","0.372884699617443"
"Very low transfer dependency","1991","direct migration background","Male","738","0.474782483889999","0.446875527087667","0.502689440692331"
"Very low transfer dependency","1991","direct migration background","Female","688","0.505861392868627","0.47647570518644","0.535247080550813"
"Very low transfer dependency","1991","indirect migration background","Male","93","0.517735990744029","0.440551195340975","0.594920786147082"
"Very low transfer dependency","1991","indirect migration background","Female","102","0.54020437152828","0.462980856496157","0.617427886560402"
"Low transfer dependency","1991","no migration background","Male","64","0.0210683660847171","0.0158603307514146","0.0262764014180196"
"Low transfer dependency","1991","no migration background","Female","82","0.0240386298758088","0.0187399614426881","0.0293372983089294"
"Low transfer dependency","1991","direct migration background","Male","59","0.0452985099951428","0.0336767662822781","0.0569202537080075"
"Low transfer dependency","1991","direct migration background","Female","59","0.0514702635528588","0.0384835467917882","0.0644569803139295"
"Low transfer dependency","1991","indirect migration background","Male","10","","",""
"Low transfer dependency","1991","indirect migration background","Female","6","","",""
"High transfer dependency","1991","no migration background","Male","19","","",""
"High transfer dependency","1991","no migration background","Female","37","0.0127044354496203","0.00883010327439667","0.016578767624844"
"High transfer dependency","1991","direct migration background","Male","17","","",""
"High transfer dependency","1991","direct migration background","Female","16","","",""
"High transfer dependency","1991","indirect migration background","Male","1","","",""
"High transfer dependency","1991","indirect migration background","Female","1","","",""
"Very high transfer dependency","1991","no migration background","Male","11","","",""
"Very high transfer dependency","1991","no migration background","Female","13","","",""
"Very high transfer dependency","1991","direct migration background","Male","7","","",""
"Very high transfer dependency","1991","direct migration background","Female","6","","",""
"Very high transfer dependency","1991","indirect migration background","Male","1","","",""
"Very high transfer dependency","1991","indirect migration background","Female","3","","",""
"Complete transfer dependency","1991","no migration background","Male","11","","",""
"Complete transfer dependency","1991","no migration background","Female","16","","",""
"Complete transfer dependency","1991","direct migration background","Male","14","","",""
"Complete transfer dependency","1991","direct migration background","Female","13","","",""
"Complete transfer dependency","1991","indirect migration background","Male","3","","",""
"Complete transfer dependency","1991","indirect migration background","Female","1","","",""
"No transfer dependency","1992","no migration background","Male","2005","0.521744769280884","0.507339113736103","0.536150424825666"
"No transfer dependency","1992","no migration background","Female","2242","0.540671696547085","0.527034728285213","0.554308664808958"
"No transfer dependency","1992","direct migration background","Male","430","0.473171840286794","0.445314833704625","0.501028846868964"
"No transfer dependency","1992","direct migration background","Female","376","0.452063691851839","0.423248558381977","0.480878825321701"
"No transfer dependency","1992","indirect migration background","Male","57","0.322627448877381","0.255624835586521","0.38963006216824"
"No transfer dependency","1992","indirect migration background","Female","49","0.333985370171851","0.266206047400756","0.401764692942946"
"Very low transfer dependency","1992","no migration background","Male","2291","0.421178046268708","0.406939046920455","0.43541704561696"
"Very low transfer dependency","1992","no migration background","Female","2508","0.400475271275982","0.387066752292287","0.413883790259677"
"Very low transfer dependency","1992","direct migration background","Male","702","0.46702153419423","0.439185087602357","0.494857980786103"
"Very low transfer dependency","1992","direct migration background","Female","667","0.474785224502244","0.44587357652305","0.503696872481439"
"Very low transfer dependency","1992","indirect migration background","Male","110","0.566589598761335","0.495564597295929","0.637614600226742"
"Very low transfer dependency","1992","indirect migration background","Female","121","0.616094570231969","0.546202575282509","0.685986565181429"
"Low transfer dependency","1992","no migration background","Male","237","0.0359323004988504","0.0305648210835285","0.0412997799141722"
"Low transfer dependency","1992","no migration background","Female","260","0.0327122410356827","0.0278445567420807","0.0375799253292848"
"Low transfer dependency","1992","direct migration background","Male","61","0.0314264619238848","0.0216921657494724","0.0411607580982972"
"Low transfer dependency","1992","direct migration background","Female","60","0.0397807097444882","0.0284651182885128","0.0510963012004636"
"Low transfer dependency","1992","indirect migration background","Male","14","","",""
"Low transfer dependency","1992","indirect migration background","Female","10","","",""
"High transfer dependency","1992","no migration background","Male","54","0.0109488184749243","0.00794781069931498","0.0139498262505335"
"High transfer dependency","1992","no migration background","Female","73","0.0131538394920881","0.0100360958273411","0.0162715831568351"
"High transfer dependency","1992","direct migration background","Male","17","","",""
"High transfer dependency","1992","direct migration background","Female","20","","",""
"High transfer dependency","1992","indirect migration background","Male","3","","",""
"High transfer dependency","1992","indirect migration background","Female","1","","",""
"Very high transfer dependency","1992","no migration background","Male","18","","",""
"Very high transfer dependency","1992","no migration background","Female","27","","",""
"Very high transfer dependency","1992","direct migration background","Male","13","","",""
"Very high transfer dependency","1992","direct migration background","Female","14","","",""
"Very high transfer dependency","1992","indirect migration background","Male","3","","",""
"Very high transfer dependency","1992","indirect migration background","Female","5","","",""
"Complete transfer dependency","1992","no migration background","Male","14","","",""
"Complete transfer dependency","1992","no migration background","Female","20","","",""
"Complete transfer dependency","1992","direct migration background","Male","11","","",""
"Complete transfer dependency","1992","direct migration background","Female","9","","",""
"Complete transfer dependency","1992","indirect migration background","Male","","","",""
"Complete transfer dependency","1992","indirect migration background","Female","","","",""
"No transfer dependency","1993","no migration background","Male","2014","0.525504360355552","0.511164245697122","0.539844475013981"
"No transfer dependency","1993","no migration background","Female","2229","0.539502096721534","0.52587847890492","0.553125714538149"
"No transfer dependency","1993","direct migration background","Male","425","0.441294115496512","0.413623492827317","0.468964738165707"
"No transfer dependency","1993","direct migration background","Female","387","0.454821115444705","0.426053739293529","0.483588491595882"
"No transfer dependency","1993","indirect migration background","Male","59","0.239097249220637","0.183732602325319","0.294461896115956"
"No transfer dependency","1993","indirect migration background","Female","64","0.340686593694897","0.278342533988567","0.403030653401227"
"Very low transfer dependency","1993","no migration background","Male","2222","0.404559968009374","0.390465171288988","0.41865476472976"
"Very low transfer dependency","1993","no migration background","Female","2417","0.389167998186294","0.375841639264618","0.40249435710797"
"Very low transfer dependency","1993","direct migration background","Male","701","0.493858141680287","0.465996899342495","0.521719384018079"
"Very low transfer dependency","1993","direct migration background","Female","660","0.470070528887335","0.441236788919771","0.4989042688549"
"Very low transfer dependency","1993","indirect migration background","Male","144","0.664327391489883","0.603031735244399","0.725623047735367"
"Very low transfer dependency","1993","indirect migration background","Female","143","0.617932011765853","0.5540156160679","0.681848407463806"
"Low transfer dependency","1993","no migration background","Male","305","0.0433047702407302","0.0374595211563607","0.0491500193250996"
"Low transfer dependency","1993","no migration background","Female","339","0.0423350091340651","0.0368315126998609","0.0478385055682692"
"Low transfer dependency","1993","direct migration background","Male","59","0.0319352875660652","0.0221369848752733","0.0417335902568571"
"Low transfer dependency","1993","direct migration background","Female","60","0.0436363877137051","0.031834639442492","0.0554381359849183"
"Low transfer dependency","1993","indirect migration background","Male","14","","",""
"Low transfer dependency","1993","indirect migration background","Female","7","","",""
"High transfer dependency","1993","no migration background","Male","69","0.0137406285903685","0.0103975451159227","0.0170837120648143"
"High transfer dependency","1993","no migration background","Female","82","0.0138776649208704","0.0106802010117058","0.0170751288300349"
"High transfer dependency","1993","direct migration background","Male","28","","",""
"High transfer dependency","1993","direct migration background","Female","22","","",""
"High transfer dependency","1993","indirect migration background","Male","7","","",""
"High transfer dependency","1993","indirect migration background","Female","4","","",""
"Very high transfer dependency","1993","no migration background","Male","36","0.00821027918903673","0.00561886332509373","0.0108016950529797"
"Very high transfer dependency","1993","no migration background","Female","50","0.00947621978407531","0.00682813387409994","0.0121243056940507"
"Very high transfer dependency","1993","direct migration background","Male","16","","",""
"Very high transfer dependency","1993","direct migration background","Female","12","","",""
"Very high transfer dependency","1993","indirect migration background","Male","4","","",""
"Very high transfer dependency","1993","indirect migration background","Female","2","","",""
"Complete transfer dependency","1993","no migration background","Male","12","","",""
"Complete transfer dependency","1993","no migration background","Female","25","","",""
"Complete transfer dependency","1993","direct migration background","Male","8","","",""
"Complete transfer dependency","1993","direct migration background","Female","10","","",""
