"transab_cat","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1986","66 and older","Male","33","0.0671795516405198","0.043267071494327","0.0910920317867126"
"Very low transfer dependency","1986","66 and older","Female","70","0.103011161354272","0.0789283024514491","0.127094020257094"
"Low transfer dependency","1986","16-34 y.","Male","80","0.0405471249445004","0.0318329273984584","0.0492613224905424"
"Low transfer dependency","1986","16-34 y.","Female","81","0.0376763235414225","0.0291900954491641","0.0461625516336809"
"Low transfer dependency","1986","35-65 y.","Male","84","0.027930480246175","0.0216235269975239","0.0342374334948261"
"Low transfer dependency","1986","35-65 y.","Female","76","0.0258651693827889","0.0197778133368331","0.0319525254287448"
"Low transfer dependency","1986","66 and older","Male","2","","",""
"Low transfer dependency","1986","66 and older","Female","6","","",""
"High transfer dependency","1986","16-34 y.","Male","24","","",""
"High transfer dependency","1986","16-34 y.","Female","32","0.0170384168795083","0.0112707157442186","0.0228061180147979"
"High transfer dependency","1986","35-65 y.","Male","27","","",""
"High transfer dependency","1986","35-65 y.","Female","31","0.0109604581618702","0.00696761100037276","0.0149533053233677"
"High transfer dependency","1986","66 and older","Male","2","","",""
"High transfer dependency","1986","66 and older","Female","6","","",""
"Very high transfer dependency","1986","16-34 y.","Male","12","","",""
"Very high transfer dependency","1986","16-34 y.","Female","22","","",""
"Very high transfer dependency","1986","35-65 y.","Male","15","","",""
"Very high transfer dependency","1986","35-65 y.","Female","18","","",""
"Very high transfer dependency","1986","66 and older","Male","","","",""
"Very high transfer dependency","1986","66 and older","Female","1","","",""
"Complete transfer dependency","1986","16-34 y.","Male","14","","",""
"Complete transfer dependency","1986","16-34 y.","Female","31","0.0189204452089059","0.0128483629757513","0.0249925274420605"
"Complete transfer dependency","1986","35-65 y.","Male","22","","",""
"Complete transfer dependency","1986","35-65 y.","Female","19","","",""
"Complete transfer dependency","1986","66 and older","Male","","","",""
"Complete transfer dependency","1986","66 and older","Female","1","","",""
"No transfer dependency","1987","16-34 y.","Male","618","0.379050857386539","0.357495589201915","0.400606125571162"
"No transfer dependency","1987","16-34 y.","Female","514","0.336757567917472","0.315411506002523","0.358103629832421"
"No transfer dependency","1987","35-65 y.","Male","924","0.440282593174408","0.421018745908977","0.45954644043984"
"No transfer dependency","1987","35-65 y.","Female","1034","0.491358358034103","0.471935670301856","0.51078104576635"
"No transfer dependency","1987","66 and older","Male","382","0.905489945542625","0.877743013124773","0.933236877960476"
"No transfer dependency","1987","66 and older","Female","552","0.866322225228964","0.84016083947434","0.892483610983587"
"Very low transfer dependency","1987","16-34 y.","Male","1199","0.559049732583867","0.53699017997463","0.581109285193103"
"Very low transfer dependency","1987","16-34 y.","Female","1215","0.579499865586784","0.557203572207863","0.601796158965705"
"Very low transfer dependency","1987","35-65 y.","Male","1491","0.508109342063303","0.488709162981809","0.527509521144797"
"Very low transfer dependency","1987","35-65 y.","Female","1357","0.449420780515719","0.430094838134052","0.468746722897386"
"Very low transfer dependency","1987","66 and older","Male","37","0.0722081742083607","0.0476581114633088","0.0967582369534125"
"Very low transfer dependency","1987","66 and older","Female","86","0.114369540199399","0.08990298240039","0.138836097998408"
"Low transfer dependency","1987","16-34 y.","Male","80","0.035136126296251","0.0269554984573645","0.0433167541351374"
"Low transfer dependency","1987","16-34 y.","Female","90","0.0465845598258305","0.0370656980692875","0.0561034215823736"
"Low transfer dependency","1987","35-65 y.","Male","72","0.0245786350667844","0.018570110041453","0.0305871600921158"
"Low transfer dependency","1987","35-65 y.","Female","86","0.0326704534808765","0.02576377871445","0.0395771282473031"
"Low transfer dependency","1987","66 and older","Male","6","","",""
"Low transfer dependency","1987","66 and older","Female","8","","",""
"High transfer dependency","1987","16-34 y.","Male","25","","",""
"High transfer dependency","1987","16-34 y.","Female","23","","",""
"High transfer dependency","1987","35-65 y.","Male","29","","",""
"High transfer dependency","1987","35-65 y.","Female","32","0.0106148409124069","0.00663336916499149","0.0145963126598223"
"High transfer dependency","1987","66 and older","Male","2","","",""
"High transfer dependency","1987","66 and older","Female","2","","",""
"Very high transfer dependency","1987","16-34 y.","Male","14","","",""
"Very high transfer dependency","1987","16-34 y.","Female","19","","",""
"Very high transfer dependency","1987","35-65 y.","Male","14","","",""
"Very high transfer dependency","1987","35-65 y.","Female","17","","",""
"Very high transfer dependency","1987","66 and older","Male","","","",""
"Very high transfer dependency","1987","66 and older","Female","","","",""
"Complete transfer dependency","1987","16-34 y.","Male","10","","",""
"Complete transfer dependency","1987","16-34 y.","Female","22","","",""
"Complete transfer dependency","1987","35-65 y.","Male","21","","",""
"Complete transfer dependency","1987","35-65 y.","Female","19","","",""
"Complete transfer dependency","1987","66 and older","Male","","","",""
"Complete transfer dependency","1987","66 and older","Female","2","","",""
"No transfer dependency","1988","16-34 y.","Male","607","0.402481430926395","0.380092464206572","0.424870397646219"
"No transfer dependency","1988","16-34 y.","Female","491","0.341865467792667","0.319860844534268","0.363870091051066"
"No transfer dependency","1988","35-65 y.","Male","908","0.470088605859824","0.45010397294233","0.490073238777317"
"No transfer dependency","1988","35-65 y.","Female","993","0.508644856304649","0.488644047786043","0.528645664823255"
"No transfer dependency","1988","66 and older","Male","377","0.913676948257882","0.886786328839269","0.940567567676496"
"No transfer dependency","1988","66 and older","Female","531","0.86509083456555","0.838456543891293","0.891725125239807"
"Very low transfer dependency","1988","16-34 y.","Male","1121","0.541512383230844","0.518763848682063","0.564260917779625"
"Very low transfer dependency","1988","16-34 y.","Female","1166","0.586906403383522","0.564064218822772","0.609748587944271"
"Very low transfer dependency","1988","35-65 y.","Male","1363","0.481010888836784","0.461004842926877","0.50101693474669"
"Very low transfer dependency","1988","35-65 y.","Female","1258","0.428333426000109","0.408536176645034","0.448130675355184"
"Very low transfer dependency","1988","66 and older","Male","41","0.0857245618665185","0.0589185476895129","0.112530576043524"
"Very low transfer dependency","1988","66 and older","Female","88","0.11464476574747","0.0898062610632376","0.139483270431702"
"Low transfer dependency","1988","16-34 y.","Male","73","0.035436881152781","0.0269961805559717","0.0438775817495902"
"Low transfer dependency","1988","16-34 y.","Female","68","0.0354828362324078","0.0269007450517173","0.0440649274130983"
"Low transfer dependency","1988","35-65 y.","Male","71","0.0227956455308943","0.0168194702269771","0.0287718208348116"
"Low transfer dependency","1988","35-65 y.","Female","86","0.0331980879575143","0.0260305870581956","0.040365588856833"
"Low transfer dependency","1988","66 and older","Male","","","",""
"Low transfer dependency","1988","66 and older","Female","5","","",""
"High transfer dependency","1988","16-34 y.","Male","18","","",""
"High transfer dependency","1988","16-34 y.","Female","21","","",""
"High transfer dependency","1988","35-65 y.","Male","20","","",""
"High transfer dependency","1988","35-65 y.","Female","21","","",""
"High transfer dependency","1988","66 and older","Male","1","","",""
"High transfer dependency","1988","66 and older","Female","4","","",""
"Very high transfer dependency","1988","16-34 y.","Male","19","","",""
"Very high transfer dependency","1988","16-34 y.","Female","18","","",""
"Very high transfer dependency","1988","35-65 y.","Male","14","","",""
"Very high transfer dependency","1988","35-65 y.","Female","22","","",""
"Very high transfer dependency","1988","66 and older","Male","","","",""
"Very high transfer dependency","1988","66 and older","Female","3","","",""
"Complete transfer dependency","1988","16-34 y.","Male","5","","",""
"Complete transfer dependency","1988","16-34 y.","Female","21","","",""
"Complete transfer dependency","1988","35-65 y.","Male","20","","",""
"Complete transfer dependency","1988","35-65 y.","Female","20","","",""
"Complete transfer dependency","1988","66 and older","Male","","","",""
"Complete transfer dependency","1988","66 and older","Female","1","","",""
"No transfer dependency","1989","16-34 y.","Male","616","0.403303666342358","0.380666472269407","0.425940860415309"
"No transfer dependency","1989","16-34 y.","Female","507","0.354876626860629","0.332407608332572","0.377345645388685"
"No transfer dependency","1989","35-65 y.","Male","894","0.476769133612243","0.456352725007574","0.497185542216913"
"No transfer dependency","1989","35-65 y.","Female","972","0.515269945761399","0.494916113395292","0.535623778127505"
"No transfer dependency","1989","66 and older","Male","357","0.912010440440835","0.884179874884333","0.939841005997336"
"No transfer dependency","1989","66 and older","Female","523","0.860902086017946","0.833728856548943","0.88807531548695"
"Very low transfer dependency","1989","16-34 y.","Male","1073","0.539312419095499","0.516311071163799","0.5623137670272"
"Very low transfer dependency","1989","16-34 y.","Female","1110","0.567328667363169","0.544062736087682","0.590594598638656"
"Very low transfer dependency","1989","35-65 y.","Male","1277","0.473151253276745","0.452742260197145","0.493560246356344"
"Very low transfer dependency","1989","35-65 y.","Female","1201","0.426051334915332","0.405911945303369","0.446190724527295"
"Very low transfer dependency","1989","66 and older","Male","41","0.0879895595591651","0.0601589940026635","0.115820125115667"
"Very low transfer dependency","1989","66 and older","Female","82","0.114062505746484","0.089100638869415","0.139024372623553"
"Low transfer dependency","1989","16-34 y.","Male","68","0.0288485088211556","0.0211246380349207","0.0365723796073904"
"Low transfer dependency","1989","16-34 y.","Female","64","0.0313282855323538","0.0231477706499406","0.0395088004147671"
"Low transfer dependency","1989","35-65 y.","Male","72","0.0241377272952122","0.0178640661504613","0.0304113884399631"
"Low transfer dependency","1989","35-65 y.","Female","75","0.0273436704869021","0.0207018531412582","0.033985487832546"
"Low transfer dependency","1989","66 and older","Male","","","",""
"Low transfer dependency","1989","66 and older","Female","11","","",""
"High transfer dependency","1989","16-34 y.","Male","25","","",""
"High transfer dependency","1989","16-34 y.","Female","27","","",""
"High transfer dependency","1989","35-65 y.","Male","19","","",""
"High transfer dependency","1989","35-65 y.","Female","27","","",""
"High transfer dependency","1989","66 and older","Male","","","",""
"High transfer dependency","1989","66 and older","Female","4","","",""
"Very high transfer dependency","1989","16-34 y.","Male","10","","",""
"Very high transfer dependency","1989","16-34 y.","Female","14","","",""
"Very high transfer dependency","1989","35-65 y.","Male","13","","",""
"Very high transfer dependency","1989","35-65 y.","Female","17","","",""
"Very high transfer dependency","1989","66 and older","Male","","","",""
"Very high transfer dependency","1989","66 and older","Female","2","","",""
"Complete transfer dependency","1989","16-34 y.","Male","12","","",""
"Complete transfer dependency","1989","16-34 y.","Female","20","","",""
"Complete transfer dependency","1989","35-65 y.","Male","24","","",""
"Complete transfer dependency","1989","35-65 y.","Female","24","","",""
"Complete transfer dependency","1989","66 and older","Male","","","",""
"Complete transfer dependency","1989","66 and older","Female","1","","",""
"No transfer dependency","1990","16-34 y.","Male","649","0.439963090602677","0.416545395751554","0.463380785453801"
"No transfer dependency","1990","16-34 y.","Female","534","0.381009909524745","0.35772525225548","0.40429456679401"
"No transfer dependency","1990","35-65 y.","Male","917","0.497354282343258","0.476592988174344","0.518115576512172"
"No transfer dependency","1990","35-65 y.","Female","971","0.524319126587426","0.503530732585604","0.545107520589247"
"No transfer dependency","1990","66 and older","Male","366","0.917945727660084","0.891509041089085","0.944382414231083"
"No transfer dependency","1990","66 and older","Female","540","0.863485458749986","0.836823297783978","0.890147619715993"
"Very low transfer dependency","1990","16-34 y.","Male","976","0.500629545279653","0.47704120656189","0.524217883997416"
"Very low transfer dependency","1990","16-34 y.","Female","1033","0.553966911128842","0.530133548690937","0.577800273566748"
"Very low transfer dependency","1990","35-65 y.","Male","1207","0.46189999614983","0.441198774535994","0.482601217763665"
"Very low transfer dependency","1990","35-65 y.","Female","1130","0.426345299401315","0.405759332872338","0.446931265930292"
"Very low transfer dependency","1990","66 and older","Male","43","0.0785965845450206","0.0526742168644964","0.104518952225545"
"Very low transfer dependency","1990","66 and older","Female","81","0.114442768439317","0.0897209239983171","0.139164612880317"
"Low transfer dependency","1990","16-34 y.","Male","64","0.0330775363150827","0.0246404965160293","0.0415145761141361"
"Low transfer dependency","1990","16-34 y.","Female","61","0.0377135960774401","0.0285795959441423","0.046847596210738"
"Low transfer dependency","1990","35-65 y.","Male","51","0.0182115687947141","0.0126592661282575","0.0237638714611708"
"Low transfer dependency","1990","35-65 y.","Female","59","0.0218048894247527","0.0157255704256685","0.027884208423837"
"Low transfer dependency","1990","66 and older","Male","3","","",""
"Low transfer dependency","1990","66 and older","Female","9","","",""
"High transfer dependency","1990","16-34 y.","Male","21","","",""
"High transfer dependency","1990","16-34 y.","Female","21","","",""
"High transfer dependency","1990","35-65 y.","Male","22","","",""
"High transfer dependency","1990","35-65 y.","Female","27","","",""
"High transfer dependency","1990","66 and older","Male","2","","",""
"High transfer dependency","1990","66 and older","Female","6","","",""
"Very high transfer dependency","1990","16-34 y.","Male","11","","",""
"Very high transfer dependency","1990","16-34 y.","Female","9","","",""
"Very high transfer dependency","1990","35-65 y.","Male","13","","",""
"Very high transfer dependency","1990","35-65 y.","Female","13","","",""
"Very high transfer dependency","1990","66 and older","Male","","","",""
"Very high transfer dependency","1990","66 and older","Female","1","","",""
"Complete transfer dependency","1990","16-34 y.","Male","5","","",""
"Complete transfer dependency","1990","16-34 y.","Female","13","","",""
"Complete transfer dependency","1990","35-65 y.","Male","18","","",""
"Complete transfer dependency","1990","35-65 y.","Female","17","","",""
"Complete transfer dependency","1990","66 and older","Male","","","",""
"Complete transfer dependency","1990","66 and older","Female","","","",""
"No transfer dependency","1991","16-34 y.","Male","656","0.445730825956933","0.422089275987559","0.469372375926307"
"No transfer dependency","1991","16-34 y.","Female","540","0.381258000973347","0.357843983102181","0.404672018844512"
"No transfer dependency","1991","35-65 y.","Male","939","0.508946295879293","0.488023040791918","0.529869550966668"
"No transfer dependency","1991","35-65 y.","Female","995","0.528762507598059","0.507827553214629","0.549697461981489"
"No transfer dependency","1991","66 and older","Male","380","0.932991043630918","0.909106760681505","0.95687532658033"
"No transfer dependency","1991","66 and older","Female","571","0.886697102294178","0.862235979554412","0.911158225033943"
"Very low transfer dependency","1991","16-34 y.","Male","938","0.49485785798749","0.471077067633761","0.518638648341219"
"Very low transfer dependency","1991","16-34 y.","Female","998","0.547537752523774","0.523543353715781","0.571532151331768"
"Very low transfer dependency","1991","35-65 y.","Male","1150","0.449024254237955","0.428206689878073","0.469841818597837"
"Very low transfer dependency","1991","35-65 y.","Female","1064","0.416785266436799","0.396108044155405","0.437462488718194"
"Very low transfer dependency","1991","66 and older","Male","32","0.0590891771882645","0.0365657099386021","0.0816126444379268"
"Very low transfer dependency","1991","66 and older","Female","61","0.0904372329497759","0.0683033196817933","0.112571146217758"
"Low transfer dependency","1991","16-34 y.","Male","66","0.0372827477888023","0.0282715487630895","0.0462939468145151"
"Low transfer dependency","1991","16-34 y.","Female","67","0.0400594012434887","0.0306060439849186","0.0495127585020587"
"Low transfer dependency","1991","35-65 y.","Male","60","0.0218012942870916","0.0156892927361569","0.0279132958380262"
"Low transfer dependency","1991","35-65 y.","Female","75","0.0297581298108926","0.0226318216717677","0.0368844379500175"
"Low transfer dependency","1991","66 and older","Male","7","","",""
"Low transfer dependency","1991","66 and older","Female","5","","",""
"High transfer dependency","1991","16-34 y.","Male","17","","",""
"High transfer dependency","1991","16-34 y.","Female","22","","",""
"High transfer dependency","1991","35-65 y.","Male","18","","",""
"High transfer dependency","1991","35-65 y.","Female","26","","",""
"High transfer dependency","1991","66 and older","Male","2","","",""
"High transfer dependency","1991","66 and older","Female","6","","",""
"Very high transfer dependency","1991","16-34 y.","Male","10","","",""
"Very high transfer dependency","1991","16-34 y.","Female","11","","",""
"Very high transfer dependency","1991","35-65 y.","Male","9","","",""
"Very high transfer dependency","1991","35-65 y.","Female","9","","",""
"Very high transfer dependency","1991","66 and older","Male","","","",""
"Very high transfer dependency","1991","66 and older","Female","2","","",""
"Complete transfer dependency","1991","16-34 y.","Male","11","","",""
"Complete transfer dependency","1991","16-34 y.","Female","15","","",""
"Complete transfer dependency","1991","35-65 y.","Male","17","","",""
"Complete transfer dependency","1991","35-65 y.","Female","15","","",""
"Complete transfer dependency","1991","66 and older","Male","","","",""
"Complete transfer dependency","1991","66 and older","Female","","","",""
"No transfer dependency","1992","16-34 y.","Male","758","0.39541847903862","0.375539872202582","0.415297085874657"
"No transfer dependency","1992","16-34 y.","Female","616","0.32182677576064","0.303041988567718","0.340611562953563"
"No transfer dependency","1992","35-65 y.","Male","1256","0.486526591720908","0.469130077367253","0.503923106074563"
"No transfer dependency","1992","35-65 y.","Female","1351","0.511034512293741","0.493695959285728","0.528373065301754"
"No transfer dependency","1992","66 and older","Male","478","0.895294536391975","0.869589544038576","0.920999528745375"
"No transfer dependency","1992","66 and older","Female","700","0.824540885621536","0.799593994836262","0.84948777640681"
"Very low transfer dependency","1992","16-34 y.","Male","1340","0.51989828075537","0.499586132843315","0.540210428667425"
"Very low transfer dependency","1992","16-34 y.","Female","1493","0.573994866985994","0.554111666426003","0.593878067545985"
"Very low transfer dependency","1992","35-65 y.","Male","1701","0.457206586422337","0.439867608498719","0.474545564345955"
"Very low transfer dependency","1992","35-65 y.","Female","1623","0.432099059761768","0.414916946153873","0.449281173369662"
"Very low transfer dependency","1992","66 and older","Male","62","0.103383670790864","0.0778225945285738","0.128944747053155"
"Very low transfer dependency","1992","66 and older","Female","180","0.163732715315683","0.139463113711115","0.188002316920251"
"Low transfer dependency","1992","16-34 y.","Male","164","0.0543076771199823","0.0450939451462062","0.0635214090937584"
"Low transfer dependency","1992","16-34 y.","Female","184","0.0608721954080537","0.0512583595063808","0.0704860313097265"
"Low transfer dependency","1992","35-65 y.","Male","145","0.03319160006279","0.0269566314440522","0.0394265686815278"
"Low transfer dependency","1992","35-65 y.","Female","142","0.0318565816155763","0.0257651683276752","0.0379479949034773"
"Low transfer dependency","1992","66 and older","Male","3","","",""
"Low transfer dependency","1992","66 and older","Female","4","","",""
"High transfer dependency","1992","16-34 y.","Male","35","0.0182722140899905","0.0128269222809626","0.0237175058990183"
"High transfer dependency","1992","16-34 y.","Female","41","0.0210222428004744","0.0152539033559562","0.0267905822449926"
"High transfer dependency","1992","35-65 y.","Male","37","0.00960497685548825","0.00621026938574758","0.0129996843252289"
"High transfer dependency","1992","35-65 y.","Female","47","0.0123574765372891","0.00852558313399995","0.0161893699405783"
"High transfer dependency","1992","66 and older","Male","2","","",""
"High transfer dependency","1992","66 and older","Female","6","","",""
"Very high transfer dependency","1992","16-34 y.","Male","17","","",""
"Very high transfer dependency","1992","16-34 y.","Female","27","","",""
"Very high transfer dependency","1992","35-65 y.","Male","17","","",""
"Very high transfer dependency","1992","35-65 y.","Female","17","","",""
"Very high transfer dependency","1992","66 and older","Male","","","",""
"Very high transfer dependency","1992","66 and older","Female","2","","",""
"Complete transfer dependency","1992","16-34 y.","Male","10","","",""
"Complete transfer dependency","1992","16-34 y.","Female","15","","",""
"Complete transfer dependency","1992","35-65 y.","Male","15","","",""
"Complete transfer dependency","1992","35-65 y.","Female","13","","",""
"Complete transfer dependency","1992","66 and older","Male","","","",""
"Complete transfer dependency","1992","66 and older","Female","1","","",""
"No transfer dependency","1993","16-34 y.","Male","780","0.403717069953604","0.383913616342653","0.423520523564556"
"No transfer dependency","1993","16-34 y.","Female","641","0.334209286772764","0.315133401316711","0.353285172228817"
"No transfer dependency","1993","35-65 y.","Male","1216","0.467666969096343","0.45039561500852","0.484938323184165"
"No transfer dependency","1993","35-65 y.","Female","1313","0.499268972632607","0.482039162619006","0.516498782646209"
"No transfer dependency","1993","66 and older","Male","502","0.924453017402638","0.902545499729097","0.946360535076179"
"No transfer dependency","1993","66 and older","Female","726","0.816900162100354","0.792057294685696","0.841743029515012"
"Very low transfer dependency","1993","16-34 y.","Male","1298","0.498868070792703","0.478686959282948","0.519049182302458"
"Very low transfer dependency","1993","16-34 y.","Female","1399","0.547045369538511","0.5269152845883","0.567175454488723"
"Very low transfer dependency","1993","35-65 y.","Male","1720","0.463070619097037","0.445810311539534","0.480330926654539"
"Very low transfer dependency","1993","35-65 y.","Female","1636","0.431754247835631","0.414685669211003","0.448822826460259"
"Very low transfer dependency","1993","66 and older","Male","49","0.070623834413378","0.04938583526944","0.091861833557316"
"Very low transfer dependency","1993","66 and older","Female","185","0.164966722237822","0.141125785524087","0.188807658951557"
"Low transfer dependency","1993","16-34 y.","Male","186","0.0601957113202404","0.0505955688698861","0.0697958537705947"
"Low transfer dependency","1993","16-34 y.","Female","204","0.071045831519279","0.0606568487165374","0.0814348143220205"
"Low transfer dependency","1993","35-65 y.","Male","185","0.0407153285380362","0.03387433695291","0.0475563201231625"
"Low transfer dependency","1993","35-65 y.","Female","190","0.0408110185817643","0.0339931008543301","0.0476289363091985"
"Low transfer dependency","1993","66 and older","Male","7","","",""
"Low transfer dependency","1993","66 and older","Female","12","","",""
"High transfer dependency","1993","16-34 y.","Male","52","0.0194308901606","0.0138595247578702","0.0250022555633297"
"High transfer dependency","1993","16-34 y.","Female","52","0.0230683733764604","0.0169975562114084","0.0291391905415124"
"High transfer dependency","1993","35-65 y.","Male","51","0.0152516714247634","0.0110095052338709","0.0194938376156558"
"High transfer dependency","1993","35-65 y.","Female","52","0.0133077727146132","0.00935906953470775","0.0172564758945186"
"High transfer dependency","1993","66 and older","Male","1","","",""
"High transfer dependency","1993","66 and older","Female","4","","",""
