"transab_cat","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","1991","direct migration background","1426","0.489826665408628","0.469580875061469","0.510072455755788","1"
"Very low transfer dependency","1991","indirect migration background","195","0.529250358748092","0.474646774130531","0.583853943365653","1"
"Very low transfer dependency","1991","no migration background","2622","0.374213950224406","0.362100848666886","0.386327051781926","1"
"Complete transfer dependency","1992","indirect migration background","","","","","5"
"Complete transfer dependency","1992","no migration background","34","0.00493840549677631","0.00354689524033145","0.00632991575322117","5"
"Complete transfer dependency","1992","direct migration background","20","","","","5"
"High transfer dependency","1992","no migration background","127","0.0121154341799785","0.00994378010483725","0.0142870882551197","3"
"High transfer dependency","1992","indirect migration background","4","","","","3"
"High transfer dependency","1992","direct migration background","37","0.0121310983952518","0.00773305680356072","0.0165291399869428","3"
"Low transfer dependency","1992","indirect migration background","24","","","","2"
"Low transfer dependency","1992","no migration background","497","0.034228655993107","0.0306195458451782","0.0378377661410358","2"
"Low transfer dependency","1992","direct migration background","121","0.0355501671567153","0.0281110695482065","0.0429892647652241","2"
"No transfer dependency","1992","no migration background","4247","0.531758483628863","0.521853352523955","0.541663614733772","0"
"No transfer dependency","1992","direct migration background","806","0.462752735655744","0.44272087842432","0.482784592887169","0"
"No transfer dependency","1992","indirect migration background","106","0.328411477990305","0.280751430438673","0.376071525541937","0"
"Very high transfer dependency","1992","indirect migration background","8","","","","4"
"Very high transfer dependency","1992","no migration background","45","0.00673424075371225","0.00511076761518897","0.00835771389223553","4"
"Very high transfer dependency","1992","direct migration background","27","","","","4"
"Very low transfer dependency","1992","no migration background","4799","0.410224779947563","0.400460903800311","0.419988656094814","1"
"Very low transfer dependency","1992","direct migration background","1369","0.4708537368098","0.450800222605605","0.490907251013994","1"
"Very low transfer dependency","1992","indirect migration background","231","0.591800039016811","0.541921049198821","0.641679028834802","1"
"Complete transfer dependency","1993","indirect migration background","2","","","","5"
"Complete transfer dependency","1993","direct migration background","18","","","","5"
"Complete transfer dependency","1993","no migration background","37","0.00518563679206015","0.00376361214375662","0.00660766144036368","5"
"High transfer dependency","1993","no migration background","151","0.0138127307899329","0.0115019724834892","0.0161234890963766","3"
"High transfer dependency","1993","direct migration background","50","0.0149506209301688","0.010083304897864","0.0198179369624736","3"
"High transfer dependency","1993","indirect migration background","11","","","","3"
"Low transfer dependency","1993","indirect migration background","21","","","","2"
"Low transfer dependency","1993","no migration background","644","0.042794526653599","0.0387874121433344","0.0468016411638636","2"
"Low transfer dependency","1993","direct migration background","119","0.0376384619606304","0.0300050976028397","0.0452718263184212","2"
"No transfer dependency","1993","no migration background","4243","0.532869323918235","0.522991424333354","0.542747223503116","0"
"No transfer dependency","1993","direct migration background","812","0.44788724253298","0.427942466348512","0.467832018717447","0"
"No transfer dependency","1993","indirect migration background","123","0.289845991952243","0.247927875965993","0.331764107938492","0"
"Very high transfer dependency","1993","direct migration background","28","","","","4"
"Very high transfer dependency","1993","indirect migration background","6","","","","4"
"Very high transfer dependency","1993","no migration background","86","0.00887635876870641","0.00701933956604236","0.0107333779713705","4"
"Very low transfer dependency","1993","direct migration background","1361","0.482263940923365","0.462222565108874","0.502305316737855","1"
"Very low transfer dependency","1993","no migration background","4639","0.396461423077467","0.386776681467376","0.406146164687557","1"
"Very low transfer dependency","1993","indirect migration background","287","0.641150677418788","0.596832902013477","0.685468452824098","1"
"Complete transfer dependency","1994","direct migration background","26","","","","5"
"Complete transfer dependency","1994","indirect migration background","2","","","","5"
"Complete transfer dependency","1994","no migration background","48","0.00689720908440015","0.00524722042672539","0.0085471977420749","5"
"High transfer dependency","1994","no migration background","172","0.0153429035583533","0.012892467090839","0.0177933400258676","3"
"High transfer dependency","1994","indirect migration background","7","","","","3"
"High transfer dependency","1994","direct migration background","50","0.0213013385475558","0.0153889428677046","0.0272137342274071","3"
"Low transfer dependency","1994","indirect migration background","36","0.0496786324051517","0.0301181760356082","0.0692390887746951","2"
"Low transfer dependency","1994","no migration background","591","0.0409000851521209","0.036951502854493","0.0448486674497487","2"
"Low transfer dependency","1994","direct migration background","150","0.0528991573831096","0.0437336178474832","0.062064696918736","2"
"No transfer dependency","1994","no migration background","4280","0.539189676313077","0.529252132736295","0.54912721988986","0"
"No transfer dependency","1994","direct migration background","797","0.451841235059888","0.431462291858487","0.47222017826129","0"
"No transfer dependency","1994","indirect migration background","135","0.322725230674036","0.280637275266862","0.364813186081209","0"
"Very high transfer dependency","1994","direct migration background","28","","","","4"
"Very high transfer dependency","1994","no migration background","95","0.0104066180309779","0.00838345742466766","0.012429778637288","4"
"Very high transfer dependency","1994","indirect migration background","4","","","","4"
"Very low transfer dependency","1994","direct migration background","1240","0.448500230422133","0.428134989633425","0.468865471210842","1"
"Very low transfer dependency","1994","no migration background","4479","0.38726350786107","0.377551985324747","0.396975030397394","1"
"Very low transfer dependency","1994","indirect migration background","290","0.594416782650798","0.550214526238348","0.638619039063248","1"
"Complete transfer dependency","1995","direct migration background","68","0.037912215201165","0.0307533239260737","0.0450711064762563","5"
"Complete transfer dependency","1995","indirect migration background","2","","","","5"
"Complete transfer dependency","1995","no migration background","52","0.00800319621649713","0.00622026289045223","0.00978612954254202","5"
"High transfer dependency","1995","no migration background","157","0.0146120334597001","0.0122109503641778","0.0170131165552224","3"
"High transfer dependency","1995","direct migration background","77","0.0266546660574042","0.0206170021424407","0.0326923299723677","3"
"High transfer dependency","1995","indirect migration background","14","","","","3"
"Low transfer dependency","1995","indirect migration background","33","0.0475061725596362","0.0287289766559384","0.066283368463334","2"
"Low transfer dependency","1995","direct migration background","184","0.0557217807975507","0.0471235061005781","0.0643200554945232","2"
"Low transfer dependency","1995","no migration background","550","0.0414936307703189","0.0375030467924499","0.0454842147481879","2"
"No transfer dependency","1995","no migration background","4375","0.552101592951494","0.542151033633651","0.562052152269338","0"
"No transfer dependency","1995","direct migration background","886","0.422225987958171","0.403711985459865","0.440739990456477","0"
"No transfer dependency","1995","indirect migration background","144","0.379539553587405","0.336703426034448","0.422375681140362","0"
"Very high transfer dependency","1995","no migration background","121","0.0120661279302079","0.00988140616849996","0.0142508496919159","4"
"Very high transfer dependency","1995","direct migration background","53","0.0207759088942663","0.015429404885799","0.0261224129027336","4"
"Very high transfer dependency","1995","indirect migration background","5","","","","4"
"Very low transfer dependency","1995","direct migration background","1466","0.436709441091442","0.418118072447221","0.455300809735664","1"
"Very low transfer dependency","1995","no migration background","4339","0.371723418671782","0.362053259309479","0.381393578034085","1"
"Very low transfer dependency","1995","indirect migration background","295","0.536278954078312","0.492259118951728","0.580298789204896","1"
"Complete transfer dependency","1996","direct migration background","53","0.0340640112807799","0.0269901997357581","0.0411378228258017","5"
"Complete transfer dependency","1996","indirect migration background","1","","","","5"
"Complete transfer dependency","1996","no migration background","52","0.00679801049622588","0.00515354088901641","0.00844248010343535","5"
"High transfer dependency","1996","no migration background","221","0.0200923231268646","0.0172841504945633","0.022900495759166","3"
"High transfer dependency","1996","direct migration background","73","0.02452778544285","0.018495692300861","0.030559878584839","3"
"High transfer dependency","1996","indirect migration background","12","","","","3"
"Low transfer dependency","1996","indirect migration background","36","0.0465986024588476","0.0285342838436923","0.0646629210740029","2"
"Low transfer dependency","1996","direct migration background","179","0.054372204214012","0.0455296037582549","0.0632148046697692","2"
"Low transfer dependency","1996","no migration background","621","0.0497600887505022","0.0454082444150313","0.054111933085973","2"
"No transfer dependency","1996","indirect migration background","167","0.351829369529766","0.310902552873053","0.39275618618648","0"
"No transfer dependency","1996","no migration background","4116","0.526712519254601","0.5167202190239","0.536704819485301","0"
"No transfer dependency","1996","direct migration background","856","0.422645637953869","0.403381887702408","0.44190938820533","0"
"Very high transfer dependency","1996","no migration background","119","0.0104181406693437","0.00838607791018343","0.0124502034285041","4"
"Very high transfer dependency","1996","direct migration background","52","0.020448419245169","0.014929234352487","0.025967604137851","4"
"Very high transfer dependency","1996","indirect migration background","14","","","","4"
"Very low transfer dependency","1996","direct migration background","1313","0.44394194186332","0.42456636792363","0.463317515803011","1"
"Very low transfer dependency","1996","no migration background","4462","0.386218917702463","0.376474864061098","0.395962971343828","1"
"Very low transfer dependency","1996","indirect migration background","293","0.563165694067895","0.520657396603785","0.605673991532006","1"
"Complete transfer dependency","1997","no migration background","50","0.00772743059298565","0.00598510977933381","0.00946975140663749","5"
"Complete transfer dependency","1997","direct migration background","49","0.0311955304749969","0.0243201273972418","0.0380709335527519","5"
"Complete transfer dependency","1997","indirect migration background","5","","","","5"
"High transfer dependency","1997","no migration background","239","0.0226961209843838","0.0197327521745096","0.025659489794258","3"
"High transfer dependency","1997","direct migration background","70","0.0271861447132348","0.0207544918568066","0.033617797569663","3"
"High transfer dependency","1997","indirect migration background","11","","","","3"
"Low transfer dependency","1997","direct migration background","246","0.0842668574960276","0.073280675852846","0.0952530391392093","2"
"Low transfer dependency","1997","indirect migration background","60","0.0927178771160943","0.068823660753155","0.116612093479034","2"
"Low transfer dependency","1997","no migration background","685","0.0560841039768638","0.0515060425228022","0.0606621654309255","2"
"No transfer dependency","1997","indirect migration background","148","0.307154653385308","0.269150017388518","0.345159289382098","0"
"No transfer dependency","1997","direct migration background","821","0.410750231345333","0.391293381447896","0.43020708124277","0"
"No transfer dependency","1997","no migration background","3983","0.497869087430916","0.487920506538816","0.507817668323016","0"
"Very high transfer dependency","1997","no migration background","137","0.014978909078866","0.0125620132486967","0.0173958049090354","4"
"Very high transfer dependency","1997","direct migration background","54","0.018358082231691","0.0130489430243535","0.0236672214390284","4"
"Very high transfer dependency","1997","indirect migration background","13","","","","4"
"Very low transfer dependency","1997","direct migration background","1216","0.428243153738717","0.408673424770336","0.447812882707099","1"
"Very low transfer dependency","1997","no migration background","4609","0.400644347935985","0.390894072414382","0.410394623457588","1"
"Very low transfer dependency","1997","indirect migration background","329","0.5608086165664","0.519922664060484","0.601694569072317","1"
"Complete transfer dependency","1998","no migration background","89","0.0104281678547582","0.00854346164000514","0.0123128740695113","5"
"Complete transfer dependency","1998","direct migration background","48","0.0291676261981571","0.0224268689741328","0.0359083834221815","5"
"Complete transfer dependency","1998","indirect migration background","3","","","","5"
"High transfer dependency","1998","no migration background","220","0.0176355750296081","0.0151935668205859","0.0200775832386304","3"
"High transfer dependency","1998","direct migration background","79","0.027639975475592","0.0210729546639351","0.0342069962872489","3"
"High transfer dependency","1998","indirect migration background","24","","","","3"
"Low transfer dependency","1998","indirect migration background","51","0.0813406777816254","0.0594130292169212","0.10326832634633","2"
"Low transfer dependency","1998","direct migration background","248","0.0868006570659597","0.0755227030493903","0.0980786110825291","2"
"Low transfer dependency","1998","no migration background","752","0.0517950232990433","0.047683420762591","0.0559066258354956","2"
"No transfer dependency","1998","no migration background","4751","0.505392208838894","0.496116208804703","0.514668208873085","0"
"No transfer dependency","1998","direct migration background","759","0.401289355731962","0.381654698333249","0.420924013130675","0"
"No transfer dependency","1998","indirect migration background","147","0.297209265753415","0.260548197853694","0.333870333653137","0"
"Very high transfer dependency","1998","no migration background","169","0.0151517662987826","0.012885388639651","0.0174181439579141","4"
"Very high transfer dependency","1998","direct migration background","42","0.0209069914429136","0.0151758152064991","0.0266381676793281","4"
"Very high transfer dependency","1998","indirect migration background","15","","","","4"
"Very low transfer dependency","1998","direct migration background","1218","0.434195394085415","0.414340761108324","0.454050027062506","1"
"Very low transfer dependency","1998","indirect migration background","357","0.560562152481487","0.520749460777123","0.600374844185852","1"
"Very low transfer dependency","1998","no migration background","5179","0.399597258678914","0.390509671773897","0.408684845583932","1"
"Complete transfer dependency","1999","indirect migration background","2","","","","5"
"Complete transfer dependency","1999","direct migration background","38","0.0175581433482414","0.0120460954603136","0.0230701912361693","5"
"Complete transfer dependency","1999","no migration background","69","0.00877948274842117","0.00702076952342613","0.0105381959734162","5"
"High transfer dependency","1999","no migration background","245","0.0171618099889855","0.0147133219918758","0.0196102979860953","3"
"High transfer dependency","1999","direct migration background","52","0.0292641470428607","0.022190575857723","0.0363377182279984","3"
"High transfer dependency","1999","indirect migration background","19","","","","3"
"Low transfer dependency","1999","indirect migration background","52","0.0731946302151252","0.0524061224447954","0.0939831379854549","2"
"Low transfer dependency","1999","no migration background","680","0.0487927472861263","0.0447312082147148","0.0528542863575378","2"
"Low transfer dependency","1999","direct migration background","246","0.0902182388263548","0.078194596635137","0.102241881017572","2"
"No transfer dependency","1999","no migration background","4571","0.501492192752814","0.492065844223402","0.510918541282226","0"
"No transfer dependency","1999","direct migration background","721","0.41758521285329","0.3968881360911","0.43828228961548","0"
"No transfer dependency","1999","indirect migration background","154","0.293308041038322","0.256969583026109","0.329646499050536","0"
"Very high transfer dependency","1999","no migration background","131","0.0124716775293927","0.0103794320430205","0.0145639230157649","4"
"Very high transfer dependency","1999","direct migration background","29","","","","4"
"Very high transfer dependency","1999","indirect migration background","13","","","","4"
"Very low transfer dependency","1999","direct migration background","1095","0.43759676323215","0.41677673977524","0.458416786689059","1"
"Very low transfer dependency","1999","no migration background","5112","0.41130208969426","0.402025205651505","0.420578973737015","1"
"Very low transfer dependency","1999","indirect migration background","363","0.578999181686649","0.539592498722125","0.618405864651173","1"
"Complete transfer dependency","2000","direct migration background","92","0.0283937796017113","0.022706129237728","0.0340814299656945","5"
"Complete transfer dependency","2000","indirect migration background","4","","","","5"
"Complete transfer dependency","2000","no migration background","138","0.00693032113394829","0.00577714533659443","0.00808349693130216","5"
"High transfer dependency","2000","no migration background","339","0.0146068697740912","0.0129391913033939","0.0162745482447886","3"
"High transfer dependency","2000","indirect migration background","22","","","","3"
"High transfer dependency","2000","direct migration background","107","0.030983189577063","0.025049772704484","0.036916606449642","3"
"Low transfer dependency","2000","no migration background","1147","0.046705360420593","0.0437722668510423","0.0496384539901437","2"
"Low transfer dependency","2000","direct migration background","341","0.0932194461573657","0.0832635466877276","0.103175345627004","2"
"Low transfer dependency","2000","indirect migration background","66","0.070004881555355","0.052487314698076","0.087522448412634","2"
"No transfer dependency","2000","no migration background","9134","0.530973921661029","0.524037043454824","0.537910799867234","0"
"No transfer dependency","2000","direct migration background","1079","0.389268141239841","0.372571625050908","0.405964657428775","0"
"No transfer dependency","2000","indirect migration background","236","0.328486547348004","0.296242062742515","0.360731031953493","0"
"Very high transfer dependency","2000","no migration background","227","0.0108162637907291","0.00937843857014441","0.0122540890113138","4"
"Very high transfer dependency","2000","indirect migration background","10","","","","4"
"Very high transfer dependency","2000","direct migration background","67","0.024872442230203","0.0195395098755946","0.0302053745848114","4"
"Very low transfer dependency","2000","direct migration background","1590","0.433263001193816","0.416294529459328","0.450231472928303","1"
"Very low transfer dependency","2000","no migration background","8896","0.389967263219609","0.383187420416374","0.396747106022844","1"
"Very low transfer dependency","2000","indirect migration background","477","0.555856088233224","0.521743684216826","0.589968492249622","1"
"Complete transfer dependency","2001","direct migration background","49","0.022806290858138","0.0173503291858176","0.0282622525304585","5"
"Complete transfer dependency","2001","indirect migration background","11","","","","5"
"Complete transfer dependency","2001","no migration background","127","0.00707349748197408","0.00585184254897466","0.0082951524149735","5"
"High transfer dependency","2001","no migration background","335","0.0153153949648058","0.013525260827079","0.0171055291025326","3"
"High transfer dependency","2001","indirect migration background","20","","","","3"
"High transfer dependency","2001","direct migration background","88","0.0348157866328937","0.0281162176814879","0.0415153555842996","3"
"Low transfer dependency","2001","no migration background","1082","0.0470016211844483","0.0439164774671148","0.0500867649017819","2"
"Low transfer dependency","2001","direct migration background","331","0.0992257461537968","0.0882994285801164","0.110152063727477","2"
"Low transfer dependency","2001","indirect migration background","52","0.0535543747257773","0.0375165500358148","0.0695921994157398","2"
"No transfer dependency","2001","no migration background","7732","0.508877496605148","0.501590065867666","0.516164927342629","0"
"No transfer dependency","2001","direct migration background","872","0.347246658348285","0.329846738825648","0.364646577870922","0"
"No transfer dependency","2001","indirect migration background","199","0.303455224679654","0.270704419590659","0.336206029768648","0"
"Very high transfer dependency","2001","no migration background","232","0.0124224437405004","0.0108078546077852","0.0140370328732157","4"
