study,dataset,version,variable,value,label,label_de
soep-core,p_data,v36,m11104,1,Almost never or never,Almost never or never
soep-core,p_data,v36,m11104,2,Several times a year,Several times a year
soep-core,p_data,v36,m11104,3,At least once a month,At least once a month
soep-core,p_data,v36,m11104,4,At lease once a week,At lease once a week
soep-core,p_data,v36,m11124,0,Not disabled,Not disabled
soep-core,p_data,v36,m11124,1,Disabled,Disabled
soep-core,p_data,v36,m11125,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,m11125,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,m11125,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,m11125,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,m11125,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,m11125,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,m11125,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,m11125,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,m11125,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,m11125,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,m11125,10,10 Completely satisfied,10 Completely satisfied
soep-core,p_data,v36,m11126,1,Very good,Very good
soep-core,p_data,v36,m11126,2,Good,Good
soep-core,p_data,v36,m11126,3,Satisfactory,Satisfactory
soep-core,p_data,v36,m11126,4,Poor,Poor
soep-core,p_data,v36,m11126,5,Bad ,Bad 
soep-core,p_data,v36,migback,1,no migration background,no migration background
soep-core,p_data,v36,migback,2,direct migration background,direct migration background
soep-core,p_data,v36,migback,3,indirect migration background,indirect migration background
soep-core,p_data,v36,party,1,SPD,SPD
soep-core,p_data,v36,party,2,CDU/CSU,CDU/CSU
soep-core,p_data,v36,party,3,FDP,FDP
soep-core,p_data,v36,party,4,Grüne,Grüne
soep-core,p_data,v36,party,5,PDS/Linke,PDS/Linke
soep-core,p_data,v36,party,6,NPD,NPD
soep-core,p_data,v36,party,7,AfD,AfD
soep-core,p_data,v36,party,8,Other,Other
soep-core,p_data,v36,pgcasmin,0,(0) in school,(0) in school
soep-core,p_data,v36,pgcasmin,1,(1a) inadequately completed,(1a) inadequately completed
soep-core,p_data,v36,pgcasmin,2,(1b) general elementary school,(1b) general elementary school
soep-core,p_data,v36,pgcasmin,3,(1c) basic vocational qualification,(1c) basic vocational qualification
soep-core,p_data,v36,pgcasmin,4,(2b) intermediate general qualification,(2b) intermediate general qualification
soep-core,p_data,v36,pgcasmin,5,(2a) intermediate vocational,(2a) intermediate vocational
soep-core,p_data,v36,pgcasmin,6,(2c_gen) general maturity certificate,(2c_gen) general maturity certificate
soep-core,p_data,v36,pgcasmin,7,(2c_voc) vocational maturity certificate,(2c_voc) vocational maturity certificate
soep-core,p_data,v36,pgcasmin,8,(3a) lower tertiary education,(3a) lower tertiary education
soep-core,p_data,v36,pgcasmin,9,(3b) higher tertiary education,(3b) higher tertiary education
soep-core,p_data,v36,pgisced97,0,in school,in school
soep-core,p_data,v36,pgisced97,1,inadequately,inadequately
soep-core,p_data,v36,pgisced97,2,general elemantary,general elemantary
soep-core,p_data,v36,pgisced97,3,middle vocational,middle vocational
soep-core,p_data,v36,pgisced97,4,vocational + Abi,vocational + Abi
soep-core,p_data,v36,pgisced97,5,higher vocational,higher vocational
soep-core,p_data,v36,pgisced97,6,higher education,higher education
soep-core,p_data,v36,pgoeffd,1,Yes,Yes
soep-core,p_data,v36,pgoeffd,2,No,No
soep-core,p_data,v36,plb0037_h,1,Permanent,Permanent
soep-core,p_data,v36,plb0037_h,2,Limited,Limited
soep-core,p_data,v36,plb0050,1,Yes,Yes
soep-core,p_data,v36,plb0050,2,No,No
soep-core,p_data,v36,plb0195_h,1,Acclaimed,Acclaimed
soep-core,p_data,v36,plb0195_h,2,"Partly, partly","Partly, partly"
soep-core,p_data,v36,plb0195_h,3,Paid,Paid
soep-core,p_data,v36,plb0195_h,4,Not paid,Not paid
soep-core,p_data,v36,plb0196_h,1,Yes,Yes
soep-core,p_data,v36,plb0196_h,2,No,No
soep-core,p_data,v36,plb0218,1,"No, never","No, never"
soep-core,p_data,v36,plb0218,2,"Yes, every week","Yes, every week"
soep-core,p_data,v36,plb0218,3,"Yes, every 2 weeks","Yes, every 2 weeks"
soep-core,p_data,v36,plb0218,4,"Yes, every 3-4 weeks","Yes, every 3-4 weeks"
soep-core,p_data,v36,plb0218,5,Rarely,Rarely
soep-core,p_data,v36,plb0219,1,"No, never","No, never"
soep-core,p_data,v36,plb0219,2,"Yes, every week","Yes, every week"
soep-core,p_data,v36,plb0219,3,"Yes, every 2 weeks","Yes, every 2 weeks"
soep-core,p_data,v36,plb0219,4,"Yes, every 3-4 weeks","Yes, every 3-4 weeks"
soep-core,p_data,v36,plb0219,5,Rarely,Rarely
soep-core,p_data,v36,pld0043,1,Very often,Very often
soep-core,p_data,v36,pld0043,2,Often,Often
soep-core,p_data,v36,pld0043,3,Sometimes,Sometimes
soep-core,p_data,v36,pld0043,4,Rarely,Rarely
soep-core,p_data,v36,pld0043,5,Never,Never
soep-core,p_data,v36,pld0044,1,Very often,Very often
soep-core,p_data,v36,pld0044,2,Often,Often
soep-core,p_data,v36,pld0044,3,Sometimes,Sometimes
soep-core,p_data,v36,pld0044,4,Rarely,Rarely
soep-core,p_data,v36,pld0044,5,Never,Never
soep-core,p_data,v36,pld0045,1,Very often,Very often
soep-core,p_data,v36,pld0045,2,Often,Often
soep-core,p_data,v36,pld0045,3,Sometimes,Sometimes
soep-core,p_data,v36,pld0045,4,Rarely,Rarely
soep-core,p_data,v36,pld0045,5,Never,Never
soep-core,p_data,v36,ple0004,1,Strong,Strong
soep-core,p_data,v36,ple0004,2,A little,A little
soep-core,p_data,v36,ple0004,3,Not at all,Not at all
soep-core,p_data,v36,ple0005,1,Strong,Strong
soep-core,p_data,v36,ple0005,2,A little,A little
soep-core,p_data,v36,ple0005,3,Not at all,Not at all
soep-core,p_data,v36,ple0008,1,Very good,Very good
soep-core,p_data,v36,ple0008,2,Good,Good
soep-core,p_data,v36,ple0008,3,Satisfactory,Satisfactory
soep-core,p_data,v36,ple0008,4,Less good,Less good
soep-core,p_data,v36,ple0008,5,Poor,Poor
soep-core,p_data,v36,ple0009,1,"Yes, strongly limited","Yes, strongly limited"
soep-core,p_data,v36,ple0009,2,"Yes, somewhat limited","Yes, somewhat limited"
soep-core,p_data,v36,ple0009,3,"No, not limited","No, not limited"
soep-core,p_data,v36,ple0011,1,Yes,Yes
soep-core,p_data,v36,ple0011,2,No,No
soep-core,p_data,v36,ple0012,1,Yes,Yes
soep-core,p_data,v36,ple0012,2,No,No
soep-core,p_data,v36,ple0013,1,Yes,Yes
soep-core,p_data,v36,ple0013,2,No,No
soep-core,p_data,v36,ple0014,1,Yes,Yes
soep-core,p_data,v36,ple0014,2,No,No
soep-core,p_data,v36,ple0015,1,Yes,Yes
soep-core,p_data,v36,ple0015,2,No,No
soep-core,p_data,v36,ple0016,1,Yes,Yes
soep-core,p_data,v36,ple0016,2,No,No
soep-core,p_data,v36,ple0017,1,Yes,Yes
soep-core,p_data,v36,ple0017,2,No,No
soep-core,p_data,v36,ple0018,1,Yes,Yes
soep-core,p_data,v36,ple0018,2,No,No
soep-core,p_data,v36,ple0019,1,Yes,Yes
soep-core,p_data,v36,ple0019,2,No,No
soep-core,p_data,v36,ple0020,1,Yes,Yes
soep-core,p_data,v36,ple0020,2,No,No
soep-core,p_data,v36,ple0021,1,Yes,Yes
soep-core,p_data,v36,ple0021,2,No,No
soep-core,p_data,v36,ple0022,1,Yes,Yes
soep-core,p_data,v36,ple0022,2,No,No
soep-core,p_data,v36,ple0024,1,Yes,Yes
soep-core,p_data,v36,ple0024,2,No,No
soep-core,p_data,v36,ple0040,1,Yes,Yes
soep-core,p_data,v36,ple0040,2,No,No
soep-core,p_data,v36,ple0044_h,1,Yes,Yes
soep-core,p_data,v36,ple0044_h,2,No,No
soep-core,p_data,v36,ple0053,1,Yes,Yes
soep-core,p_data,v36,ple0053,2,No,No
soep-core,p_data,v36,ple0081_h,1,Yes,Yes
soep-core,p_data,v36,ple0081_h,2,No,No
soep-core,p_data,v36,ple0097,1,Public health insurance,Public health insurance
soep-core,p_data,v36,ple0097,2,Private health insurance,Private health insurance
soep-core,p_data,v36,ple0097,3,Neither,Neither
soep-core,p_data,v36,ple0098_v5,1,Yes,Yes
soep-core,p_data,v36,ple0098_v5,2,No,No
soep-core,p_data,v36,ple0160,1,Yes,Yes
soep-core,p_data,v36,ple0160,2,No,No
soep-core,p_data,v36,ple0162,1,Yes,Yes
soep-core,p_data,v36,ple0162,2,No,No
soep-core,p_data,v36,plh0032,1,Big worries,Big worries
soep-core,p_data,v36,plh0032,2,Some worries,Some worries
soep-core,p_data,v36,plh0032,3,No worries,No worries
soep-core,p_data,v36,plh0033,1,Big worries,Big worries
soep-core,p_data,v36,plh0033,2,Some worries,Some worries
soep-core,p_data,v36,plh0033,3,No worries,No worries
soep-core,p_data,v36,plh0034,1,Big worries,Big worries
soep-core,p_data,v36,plh0034,2,Some worries,Some worries
soep-core,p_data,v36,plh0034,3,No worries,No worries
soep-core,p_data,v36,plh0035,1,Big worries,Big worries
soep-core,p_data,v36,plh0035,2,Some worries,Some worries
soep-core,p_data,v36,plh0035,3,No worries,No worries
soep-core,p_data,v36,plh0036,1,Big worries,Big worries
soep-core,p_data,v36,plh0036,2,Some worries,Some worries
soep-core,p_data,v36,plh0036,3,No worries,No worries
soep-core,p_data,v36,plh0037,1,Big worries,Big worries
soep-core,p_data,v36,plh0037,2,Some worries,Some worries
soep-core,p_data,v36,plh0037,3,No worries,No worries
soep-core,p_data,v36,plh0038,1,Big worries,Big worries
soep-core,p_data,v36,plh0038,2,Some worries,Some worries
soep-core,p_data,v36,plh0038,3,No worries,No worries
soep-core,p_data,v36,plh0039,1,Big worries,Big worries
soep-core,p_data,v36,plh0039,2,Some worries,Some worries
soep-core,p_data,v36,plh0039,3,No worries,No worries
soep-core,p_data,v36,plh0040,1,Big worries,Big worries
soep-core,p_data,v36,plh0040,2,Some worries,Some worries
soep-core,p_data,v36,plh0040,3,No worries,No worries
soep-core,p_data,v36,plh0042,1,Big worries,Big worries
soep-core,p_data,v36,plh0042,2,Some worries,Some worries
soep-core,p_data,v36,plh0042,3,No worries,No worries
soep-core,p_data,v36,plh0105,1,Very important,Very important
soep-core,p_data,v36,plh0105,2,Important,Important
soep-core,p_data,v36,plh0105,3,Less important,Less important
soep-core,p_data,v36,plh0105,4,Quite unimportant,Quite unimportant
soep-core,p_data,v36,plh0106,1,Very important,Very important
soep-core,p_data,v36,plh0106,2,Important,Important
soep-core,p_data,v36,plh0106,3,Less important,Less important
soep-core,p_data,v36,plh0106,4,Quite unimportant,Quite unimportant
soep-core,p_data,v36,plh0107,1,Very important,Very important
soep-core,p_data,v36,plh0107,2,Important,Important
soep-core,p_data,v36,plh0107,3,Less important,Less important
soep-core,p_data,v36,plh0107,4,Quite unimportant,Quite unimportant
soep-core,p_data,v36,plh0108,1,Very important,Very important
soep-core,p_data,v36,plh0108,2,Important,Important
soep-core,p_data,v36,plh0108,3,Less important,Less important
soep-core,p_data,v36,plh0108,4,Quite unimportant,Quite unimportant
soep-core,p_data,v36,plh0109,1,Very important,Very important
soep-core,p_data,v36,plh0109,2,Important,Important
soep-core,p_data,v36,plh0109,3,Less important,Less important
soep-core,p_data,v36,plh0109,4,Quite unimportant,Quite unimportant
soep-core,p_data,v36,plh0110,1,Very important,Very important
soep-core,p_data,v36,plh0110,2,Important,Important
soep-core,p_data,v36,plh0110,3,Less important,Less important
soep-core,p_data,v36,plh0110,4,Quite unimportant,Quite unimportant
soep-core,p_data,v36,plh0111,1,Very important,Very important
soep-core,p_data,v36,plh0111,2,Important,Important
soep-core,p_data,v36,plh0111,3,Less important,Less important
soep-core,p_data,v36,plh0111,4,Quite unimportant,Quite unimportant
soep-core,p_data,v36,plh0112,1,Very important,Very important
soep-core,p_data,v36,plh0112,2,Important,Important
soep-core,p_data,v36,plh0112,3,Less important,Less important
soep-core,p_data,v36,plh0112,4,Quite unimportant,Quite unimportant
soep-core,p_data,v36,plh0162,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,plh0162,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,plh0162,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,plh0162,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,plh0162,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,plh0162,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,plh0162,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,plh0162,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,plh0162,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,plh0162,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,plh0162,10,10 Completely satisfied,10 Completely satisfied
soep-core,p_data,v36,plh0164,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,plh0164,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,plh0164,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,plh0164,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,plh0164,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,plh0164,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,plh0164,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,plh0164,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,plh0164,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,plh0164,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,plh0164,10,10 Completely satisfied,10 Completely satisfied
soep-core,p_data,v36,plh0171,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,plh0171,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,plh0171,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,plh0171,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,plh0171,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,plh0171,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,plh0171,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,plh0171,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,plh0171,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,plh0171,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,plh0171,10,10 Completely satisfied,10 Completely satisfied
soep-core,p_data,v36,plh0172,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,plh0172,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,plh0172,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,plh0172,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,plh0172,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,plh0172,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,plh0172,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,plh0172,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,plh0172,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,plh0172,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,plh0172,10,10 Completely satisfied,10 Completely satisfied
soep-core,p_data,v36,plh0173,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,plh0173,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,plh0173,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,plh0173,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,plh0173,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,plh0173,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,plh0173,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,plh0173,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,plh0173,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,plh0173,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,plh0173,10,10 Completely satisfied,10 Completely satisfied
soep-core,p_data,v36,plh0174,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,plh0174,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,plh0174,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,plh0174,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,plh0174,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,plh0174,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,plh0174,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,plh0174,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,plh0174,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,plh0174,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,plh0174,10,10 Completely satisfied,10 Completely satisfied
soep-core,p_data,v36,plh0175,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,plh0175,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,plh0175,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,plh0175,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,plh0175,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,plh0175,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,plh0175,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,plh0175,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,plh0175,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,plh0175,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,plh0175,10,10 Completely satisfied,10 Completely satisfied
soep-core,p_data,v36,plh0176,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,plh0176,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,plh0176,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,plh0176,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,plh0176,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,plh0176,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,plh0176,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,plh0176,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,plh0176,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,plh0176,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,plh0176,10,10 Completely satisfied,10 Completely satisfied
soep-core,p_data,v36,plh0177,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,plh0177,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,plh0177,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,plh0177,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,plh0177,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,plh0177,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,plh0177,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,plh0177,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,plh0177,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,plh0177,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,plh0177,10,10 Completely satisfied,10 Completely satisfied
soep-core,p_data,v36,plh0178,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,plh0178,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,plh0178,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,plh0178,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,plh0178,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,plh0178,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,plh0178,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,plh0178,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,plh0178,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,plh0178,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,plh0178,10,10 Completely satisfied,10 Completely satisfied
soep-core,p_data,v36,plh0179,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,plh0179,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,plh0179,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,plh0179,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,plh0179,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,plh0179,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,plh0179,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,plh0179,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,plh0179,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,plh0179,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,plh0179,10,10 Completely satisfied,10 Completely satisfied
soep-core,p_data,v36,plh0180,0,0 Completely dissatisfied,0 Completely dissatisfied
soep-core,p_data,v36,plh0180,1,1 on Scale 1 to 10,1 on Scale 1 to 10
soep-core,p_data,v36,plh0180,2,2 on Scale 1 to 10,2 on Scale 1 to 10
soep-core,p_data,v36,plh0180,3,3 on Scale 1 to 10,3 on Scale 1 to 10
soep-core,p_data,v36,plh0180,4,4 on Scale 1 to 10,4 on Scale 1 to 10
soep-core,p_data,v36,plh0180,5,5 on Scale 1 to 10,5 on Scale 1 to 10
soep-core,p_data,v36,plh0180,6,6 on Scale 1 to 10,6 on Scale 1 to 10
soep-core,p_data,v36,plh0180,7,7 on Scale 1 to 10,7 on Scale 1 to 10
soep-core,p_data,v36,plh0180,8,8 on Scale 1 to 10,8 on Scale 1 to 10
soep-core,p_data,v36,plh0180,9,9 on Scale 1 to 10,9 on Scale 1 to 10
soep-core,p_data,v36,plh0180,10,10 Completely satisfied,10 Completely satisfied
