"year","e11102","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1991","Not Employed","Urban Area","27.27","18","406","5","8","30","56","220","23.7","30.84","1","365","14","15"
"1992","Employed","Rural Area","17.86","10.28","262","4","6","21","35","120","15.17","20.55","1","150","9","12"
"1992","Employed","Urban Area","14.5","10","575","3","5","17","30","90","13.13","15.87","1","187","10","11"
"1992","Not Employed","Rural Area","29.36","16.01","217","6","9","36","56","312","24.02","34.7","1","365","14","20"
"1992","Not Employed","Urban Area","26.36","15","408","5","8","35","56","150","23.5","29.22","1","270","14","16"
"1993","Employed","Rural Area","","","","","","","","","","","","","",""
"1993","Employed","Urban Area","","","","","","","","","","","","","",""
"1993","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1993","Not Employed","Urban Area","","","","","","","","","","","","","",""
"1994","Employed","Rural Area","13.22","8","254","3","5","15","28","67","11.06","15.38","1","120","7","10"
"1994","Employed","Urban Area","14.64","10","530","3","5","16","30","95","13.06","16.22","1","196","8","10"
"1994","Not Employed","Rural Area","23.23","14","235","5","10","28","55","110","20","26.46","1","240","13","14"
"1994","Not Employed","Urban Area","23.7","14","474","4","7","28","54","150","21.31","26.09","1","180","11","14"
"1995","Employed","Rural Area","12.08","7","285","2","4","15","30","70","10.32","13.84","0","120","7","10"
"1995","Employed","Urban Area","15.06","8","527","3","5","16","30","108","13.28","16.84","1","250","9","10"
"1995","Not Employed","Rural Area","22.84","14","268","4","8","30","50","90","20.19","25.49","1","170","11","14"
"1995","Not Employed","Urban Area","23.23","15","479","4","7","29","50","150","20.75","25.71","1","195","13","15"
"1996","Employed","Rural Area","12.88","8","297","3","5","16","28","90","11.16","14.6","1","120","7","10"
"1996","Employed","Urban Area","14.36","8","532","3","5","15","31","90","12.95","15.77","1","180","7","9"
"1996","Not Employed","Rural Area","21.48","14","265","5","9","25","42","106","18.79","24.17","1","215","14","14"
"1996","Not Employed","Urban Area","21.53","14","495","3","6","28","42","150","19.11","23.95","1","190","12","14"
"1997","Employed","Rural Area","13.89","8","275","3","5","16","28","73","10.96","16.82","1","320","7","10"
"1997","Employed","Urban Area","14.13","7","501","2","4","14","32","125","12.48","15.78","1","182","7","8"
"1997","Not Employed","Rural Area","18.21","14","253","3","6","26","40","104","16.13","20.29","1","120","10","14"
"1997","Not Employed","Urban Area","19.49","12","519","3","6","22","42","120","17.64","21.34","1","185","10","14"
"1998","Employed","Rural Area","10.91","8","303","2","4","14","21","50","9.78","12.04","1","52","7","9"
"1998","Employed","Urban Area","12.04","7","531","3","5","14","21","90","10.58","13.5","1","210","7","8"
"1998","Not Employed","Rural Area","20.48","14","326","3","7","24","48","129","18.02","22.94","1","140","10","14"
