"plb0195_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Not paid","1985","16-34 y.","(Married) couple without C. ","67","0.213889279382233","0.169913734859402","0.257864823905064"
"Not paid","1985","16-34 y.","Single parent ","16","","",""
"Not paid","1985","16-34 y.","Couple + C. LE 16 ","88","0.225386988389808","0.185985463328213","0.264788513451403"
"Not paid","1985","16-34 y.","Couple + C. GT 16 ","39","0.154961169191513","0.111059845755531","0.198862492627495"
"Not paid","1985","16-34 y.","Couple + C. LE and GT 16","26","","",""
"Not paid","1985","35-65 y.","1-pers.-HH","45","0.303574263370996","0.232550278683064","0.374598248058928"
"Not paid","1985","35-65 y.","(Married) couple without C. ","122","0.321935707786239","0.276544587833958","0.36732682773852"
"Not paid","1985","35-65 y.","Single parent ","17","","",""
"Not paid","1985","35-65 y.","Couple + C. LE 16 ","173","0.328157435058927","0.291168004253288","0.365146865864565"
"Not paid","1985","35-65 y.","Couple + C. GT 16 ","143","0.323455031869923","0.280798809354698","0.366111254385148"
"Not paid","1985","35-65 y.","Couple + C. LE and GT 16","80","0.30869683850382","0.259665780586696","0.357727896420943"
"Not paid","1985","66 and older","1-pers.-HH","","","",""
"Not paid","1985","66 and older","(Married) couple without C. ","6","","",""
"Not paid","1985","66 and older","Single parent ","","","",""
"Not paid","1985","66 and older","Couple + C. LE 16 ","","","",""
"Not paid","1985","66 and older","Couple + C. GT 16 ","1","","",""
"Not paid","1985","66 and older","Couple + C. LE and GT 16","","","",""
"Acclaimed","1986","16-34 y.","1-pers.-HH","65","0.394854816829976","0.323245408389456","0.466464225270496"
"Acclaimed","1986","16-34 y.","(Married) couple without C. ","140","0.357848285509277","0.310272706649951","0.405423864368604"
"Acclaimed","1986","16-34 y.","Single parent ","20","","",""
"Acclaimed","1986","16-34 y.","Couple + C. LE 16 ","92","0.258530275930251","0.216355737664773","0.300704814195729"
"Acclaimed","1986","16-34 y.","Couple + C. GT 16 ","81","0.331853327357707","0.27405876305757","0.389647891657844"
"Acclaimed","1986","16-34 y.","Couple + C. LE and GT 16","43","0.364050799232947","0.285462289689179","0.442639308776715"
"Acclaimed","1986","35-65 y.","1-pers.-HH","53","0.358280317706351","0.288618219324559","0.427942416088144"
"Acclaimed","1986","35-65 y.","(Married) couple without C. ","103","0.284407885312974","0.239403169003658","0.329412601622291"
"Acclaimed","1986","35-65 y.","Single parent ","27","","",""
"Acclaimed","1986","35-65 y.","Couple + C. LE 16 ","125","0.261047420595427","0.223690693619025","0.298404147571829"
"Acclaimed","1986","35-65 y.","Couple + C. GT 16 ","116","0.287070357649041","0.244360613750214","0.329780101547869"
"Acclaimed","1986","35-65 y.","Couple + C. LE and GT 16","56","0.230903333271471","0.18073045553502","0.281076211007921"
"Acclaimed","1986","66 and older","1-pers.-HH","","","",""
"Acclaimed","1986","66 and older","(Married) couple without C. ","","","",""
"Acclaimed","1986","66 and older","Single parent ","","","",""
"Acclaimed","1986","66 and older","Couple + C. LE 16 ","","","",""
"Acclaimed","1986","66 and older","Couple + C. GT 16 ","","","",""
"Acclaimed","1986","66 and older","Couple + C. LE and GT 16","","","",""
"Partly, partly","1986","16-34 y.","1-pers.-HH","29","","",""
"Partly, partly","1986","16-34 y.","(Married) couple without C. ","54","0.137083733299886","0.102949270129194","0.171218196470578"
"Partly, partly","1986","16-34 y.","Single parent ","10","","",""
"Partly, partly","1986","16-34 y.","Couple + C. LE 16 ","46","0.120886070788613","0.0894839751466349","0.152288166430591"
"Partly, partly","1986","16-34 y.","Couple + C. GT 16 ","34","0.160825127546762","0.1157350285651","0.205915226528425"
"Partly, partly","1986","16-34 y.","Couple + C. LE and GT 16","17","","",""
"Partly, partly","1986","35-65 y.","1-pers.-HH","14","","",""
"Partly, partly","1986","35-65 y.","(Married) couple without C. ","39","0.107090729398671","0.0762422299983341","0.137939228799009"
"Partly, partly","1986","35-65 y.","Single parent ","4","","",""
"Partly, partly","1986","35-65 y.","Couple + C. LE 16 ","53","0.0940673156865884","0.0692378044714475","0.118896826901729"
"Partly, partly","1986","35-65 y.","Couple + C. GT 16 ","50","0.122429324675322","0.0914841289315974","0.153374520419046"
"Partly, partly","1986","35-65 y.","Couple + C. LE and GT 16","24","","",""
"Partly, partly","1986","66 and older","1-pers.-HH","","","",""
"Partly, partly","1986","66 and older","(Married) couple without C. ","","","",""
"Partly, partly","1986","66 and older","Single parent ","","","",""
"Partly, partly","1986","66 and older","Couple + C. LE 16 ","","","",""
"Partly, partly","1986","66 and older","Couple + C. GT 16 ","","","",""
"Partly, partly","1986","66 and older","Couple + C. LE and GT 16","","","",""
"Paid","1986","16-34 y.","1-pers.-HH","52","0.252902433595357","0.189224825666088","0.316580041524626"
"Paid","1986","16-34 y.","(Married) couple without C. ","127","0.316212805076172","0.270063411804926","0.362362198347418"
"Paid","1986","16-34 y.","Single parent ","35","0.408925132075728","0.302514673921623","0.515335590229832"
"Paid","1986","16-34 y.","Couple + C. LE 16 ","216","0.461531839313594","0.413511108163285","0.509552570463903"
"Paid","1986","16-34 y.","Couple + C. GT 16 ","104","0.367996965156002","0.308805416710726","0.427188513601278"
"Paid","1986","16-34 y.","Couple + C. LE and GT 16","63","0.380182993467323","0.300897281203301","0.459468705731345"
"Paid","1986","35-65 y.","1-pers.-HH","73","0.295120211962301","0.228857470026306","0.361382953898295"
"Paid","1986","35-65 y.","(Married) couple without C. ","147","0.332699384815877","0.285694694015662","0.379704075616092"
"Paid","1986","35-65 y.","Single parent ","34","0.425140627389148","0.314720093849855","0.535561160928441"
"Paid","1986","35-65 y.","Couple + C. LE 16 ","240","0.390989538020862","0.349484981711517","0.432494094330206"
"Paid","1986","35-65 y.","Couple + C. GT 16 ","174","0.364518589703656","0.319080431223076","0.409956748184236"
"Paid","1986","35-65 y.","Couple + C. LE and GT 16","141","0.442755043241483","0.383616819329128","0.501893267153839"
"Paid","1986","66 and older","1-pers.-HH","","","",""
"Paid","1986","66 and older","(Married) couple without C. ","1","","",""
"Paid","1986","66 and older","Single parent ","","","",""
"Paid","1986","66 and older","Couple + C. LE 16 ","","","",""
"Paid","1986","66 and older","Couple + C. GT 16 ","1","","",""
"Paid","1986","66 and older","Couple + C. LE and GT 16","","","",""
"Not paid","1986","16-34 y.","1-pers.-HH","33","0.178998880061709","0.122839978171292","0.235157781952126"
"Not paid","1986","16-34 y.","(Married) couple without C. ","69","0.188855176114665","0.150010685179599","0.22769966704973"
"Not paid","1986","16-34 y.","Single parent ","17","","",""
"Not paid","1986","16-34 y.","Couple + C. LE 16 ","60","0.159051813967542","0.123822689273916","0.194280938661168"
"Not paid","1986","16-34 y.","Couple + C. GT 16 ","36","0.139324579939529","0.096822364137704","0.181826795741353"
"Not paid","1986","16-34 y.","Couple + C. LE and GT 16","21","","",""
"Not paid","1986","35-65 y.","1-pers.-HH","42","0.267456606062857","0.203149977710307","0.331763234415407"
"Not paid","1986","35-65 y.","(Married) couple without C. ","97","0.275802000472477","0.231217715593997","0.320386285350958"
"Not paid","1986","35-65 y.","Single parent ","12","","",""
"Not paid","1986","35-65 y.","Couple + C. LE 16 ","113","0.253895725697123","0.216876418289607","0.290915033104638"
"Not paid","1986","35-65 y.","Couple + C. GT 16 ","91","0.225981727971981","0.186497675075872","0.26546578086809"
"Not paid","1986","35-65 y.","Couple + C. LE and GT 16","50","0.233934201008138","0.183532714848862","0.284335687167414"
"Not paid","1986","66 and older","1-pers.-HH","1","","",""
"Not paid","1986","66 and older","(Married) couple without C. ","","","",""
"Not paid","1986","66 and older","Single parent ","","","",""
"Not paid","1986","66 and older","Couple + C. LE 16 ","","","",""
"Not paid","1986","66 and older","Couple + C. GT 16 ","","","",""
"Not paid","1986","66 and older","Couple + C. LE and GT 16","","","",""
"Acclaimed","1987","16-34 y.","1-pers.-HH","","","",""
"Acclaimed","1987","16-34 y.","(Married) couple without C. ","","","",""
"Acclaimed","1987","16-34 y.","Single parent ","","","",""
"Acclaimed","1987","16-34 y.","Couple + C. LE 16 ","","","",""
"Acclaimed","1987","16-34 y.","Couple + C. GT 16 ","","","",""
"Acclaimed","1987","16-34 y.","Couple + C. LE and GT 16","","","",""
"Acclaimed","1987","35-65 y.","1-pers.-HH","","","",""
"Acclaimed","1987","35-65 y.","(Married) couple without C. ","","","",""
"Acclaimed","1987","35-65 y.","Single parent ","","","",""
"Acclaimed","1987","35-65 y.","Couple + C. LE 16 ","","","",""
"Acclaimed","1987","35-65 y.","Couple + C. GT 16 ","","","",""
"Acclaimed","1987","35-65 y.","Couple + C. LE and GT 16","","","",""
"Acclaimed","1987","66 and older","1-pers.-HH","","","",""
"Acclaimed","1987","66 and older","(Married) couple without C. ","","","",""
"Acclaimed","1987","66 and older","Single parent ","","","",""
"Acclaimed","1987","66 and older","Couple + C. LE 16 ","","","",""
"Acclaimed","1987","66 and older","Couple + C. GT 16 ","","","",""
"Acclaimed","1987","66 and older","Couple + C. LE and GT 16","","","",""
"Partly, partly","1987","16-34 y.","1-pers.-HH","","","",""
"Partly, partly","1987","16-34 y.","(Married) couple without C. ","","","",""
"Partly, partly","1987","16-34 y.","Single parent ","","","",""
"Partly, partly","1987","16-34 y.","Couple + C. LE 16 ","","","",""
"Partly, partly","1987","16-34 y.","Couple + C. GT 16 ","","","",""
"Partly, partly","1987","16-34 y.","Couple + C. LE and GT 16","","","",""
"Partly, partly","1987","35-65 y.","1-pers.-HH","","","",""
"Partly, partly","1987","35-65 y.","(Married) couple without C. ","","","",""
"Partly, partly","1987","35-65 y.","Single parent ","","","",""
"Partly, partly","1987","35-65 y.","Couple + C. LE 16 ","","","",""
"Partly, partly","1987","35-65 y.","Couple + C. GT 16 ","","","",""
"Partly, partly","1987","35-65 y.","Couple + C. LE and GT 16","","","",""
"Partly, partly","1987","66 and older","1-pers.-HH","","","",""
"Partly, partly","1987","66 and older","(Married) couple without C. ","","","",""
"Partly, partly","1987","66 and older","Single parent ","","","",""
"Partly, partly","1987","66 and older","Couple + C. LE 16 ","","","",""
"Partly, partly","1987","66 and older","Couple + C. GT 16 ","","","",""
"Partly, partly","1987","66 and older","Couple + C. LE and GT 16","","","",""
"Paid","1987","16-34 y.","1-pers.-HH","","","",""
"Paid","1987","16-34 y.","(Married) couple without C. ","","","",""
"Paid","1987","16-34 y.","Single parent ","","","",""
"Paid","1987","16-34 y.","Couple + C. LE 16 ","","","",""
"Paid","1987","16-34 y.","Couple + C. GT 16 ","","","",""
"Paid","1987","16-34 y.","Couple + C. LE and GT 16","","","",""
"Paid","1987","35-65 y.","1-pers.-HH","","","",""
"Paid","1987","35-65 y.","(Married) couple without C. ","","","",""
"Paid","1987","35-65 y.","Single parent ","","","",""
"Paid","1987","35-65 y.","Couple + C. LE 16 ","","","",""
"Paid","1987","35-65 y.","Couple + C. GT 16 ","","","",""
"Paid","1987","35-65 y.","Couple + C. LE and GT 16","","","",""
"Paid","1987","66 and older","1-pers.-HH","","","",""
"Paid","1987","66 and older","(Married) couple without C. ","","","",""
"Paid","1987","66 and older","Single parent ","","","",""
"Paid","1987","66 and older","Couple + C. LE 16 ","","","",""
"Paid","1987","66 and older","Couple + C. GT 16 ","","","",""
"Paid","1987","66 and older","Couple + C. LE and GT 16","","","",""
"Not paid","1987","16-34 y.","1-pers.-HH","","","",""
"Not paid","1987","16-34 y.","(Married) couple without C. ","","","",""
"Not paid","1987","16-34 y.","Single parent ","","","",""
"Not paid","1987","16-34 y.","Couple + C. LE 16 ","","","",""
"Not paid","1987","16-34 y.","Couple + C. GT 16 ","","","",""
"Not paid","1987","16-34 y.","Couple + C. LE and GT 16","","","",""
"Not paid","1987","35-65 y.","1-pers.-HH","","","",""
"Not paid","1987","35-65 y.","(Married) couple without C. ","","","",""
"Not paid","1987","35-65 y.","Single parent ","","","",""
"Not paid","1987","35-65 y.","Couple + C. LE 16 ","","","",""
"Not paid","1987","35-65 y.","Couple + C. GT 16 ","","","",""
"Not paid","1987","35-65 y.","Couple + C. LE and GT 16","","","",""
"Not paid","1987","66 and older","1-pers.-HH","","","",""
"Not paid","1987","66 and older","(Married) couple without C. ","","","",""
"Not paid","1987","66 and older","Single parent ","","","",""
"Not paid","1987","66 and older","Couple + C. LE 16 ","","","",""
"Not paid","1987","66 and older","Couple + C. GT 16 ","","","",""
"Not paid","1987","66 and older","Couple + C. LE and GT 16","","","",""
"Acclaimed","1988","16-34 y.","1-pers.-HH","58","0.371400523698078","0.295087968762606","0.447713078633551"
"Acclaimed","1988","16-34 y.","(Married) couple without C. ","132","0.369398175466076","0.320286345053754","0.418510005878398"
"Acclaimed","1988","16-34 y.","Single parent ","32","0.387521009519232","0.286305675634125","0.48873634340434"
"Acclaimed","1988","16-34 y.","Couple + C. LE 16 ","102","0.269454630458639","0.226190913345003","0.312718347572275"
"Acclaimed","1988","16-34 y.","Couple + C. GT 16 ","109","0.385434897847065","0.330992359229649","0.439877436464482"
"Acclaimed","1988","16-34 y.","Couple + C. LE and GT 16","40","0.339331704854161","0.254261287623549","0.424402122084773"
"Acclaimed","1988","35-65 y.","1-pers.-HH","40","0.314798145982126","0.24022537096125","0.389370921003002"
"Acclaimed","1988","35-65 y.","(Married) couple without C. ","126","0.335575026347268","0.289757060952426","0.381392991742111"
"Acclaimed","1988","35-65 y.","Single parent ","33","0.403388418019251","0.298478632205975","0.508298203832527"
"Acclaimed","1988","35-65 y.","Couple + C. LE 16 ","134","0.291948782400399","0.253565741431105","0.330331823369694"
"Acclaimed","1988","35-65 y.","Couple + C. GT 16 ","130","0.315634683703238","0.271858237897664","0.359411129508813"
"Acclaimed","1988","35-65 y.","Couple + C. LE and GT 16","43","0.226130900829474","0.172532248323465","0.279729553335483"
"Acclaimed","1988","66 and older","1-pers.-HH","1","","",""
"Acclaimed","1988","66 and older","(Married) couple without C. ","1","","",""
"Acclaimed","1988","66 and older","Single parent ","","","",""
"Acclaimed","1988","66 and older","Couple + C. LE 16 ","","","",""
"Acclaimed","1988","66 and older","Couple + C. GT 16 ","","","",""
"Acclaimed","1988","66 and older","Couple + C. LE and GT 16","","","",""
"Partly, partly","1988","16-34 y.","1-pers.-HH","19","","",""
"Partly, partly","1988","16-34 y.","(Married) couple without C. ","61","0.154113618116976","0.117373744243764","0.190853491990188"
"Partly, partly","1988","16-34 y.","Single parent ","12","","",""
"Partly, partly","1988","16-34 y.","Couple + C. LE 16 ","45","0.115720484075969","0.0845274721167713","0.146913496035166"
"Partly, partly","1988","16-34 y.","Couple + C. GT 16 ","32","0.102101942850484","0.0682323931817959","0.135971492519173"
"Partly, partly","1988","16-34 y.","Couple + C. LE and GT 16","12","","",""
"Partly, partly","1988","35-65 y.","1-pers.-HH","20","","",""
"Partly, partly","1988","35-65 y.","(Married) couple without C. ","50","0.142662857888228","0.108727745737252","0.176597970039203"
"Partly, partly","1988","35-65 y.","Single parent ","8","","",""
"Partly, partly","1988","35-65 y.","Couple + C. LE 16 ","71","0.131009174303825","0.102524440916412","0.159493907691237"
"Partly, partly","1988","35-65 y.","Couple + C. GT 16 ","47","0.113848803037358","0.0839315102611299","0.143766095813587"
"Partly, partly","1988","35-65 y.","Couple + C. LE and GT 16","23","","",""
"Partly, partly","1988","66 and older","1-pers.-HH","","","",""
"Partly, partly","1988","66 and older","(Married) couple without C. ","1","","",""
"Partly, partly","1988","66 and older","Single parent ","","","",""
"Partly, partly","1988","66 and older","Couple + C. LE 16 ","","","",""
"Partly, partly","1988","66 and older","Couple + C. GT 16 ","","","",""
"Partly, partly","1988","66 and older","Couple + C. LE and GT 16","","","",""
"Paid","1988","16-34 y.","1-pers.-HH","43","0.246904461315717","0.178799737408387","0.315009185223046"
"Paid","1988","16-34 y.","(Married) couple without C. ","123","0.311759981169543","0.264625223309015","0.358894739030071"
"Paid","1988","16-34 y.","Single parent ","38","0.404342106095434","0.302382999129958","0.50630121306091"
"Paid","1988","16-34 y.","Couple + C. LE 16 ","196","0.43366494948209","0.385340013203749","0.481989885760432"
"Paid","1988","16-34 y.","Couple + C. GT 16 ","121","0.376778939353814","0.322573449503271","0.430984429204357"
"Paid","1988","16-34 y.","Couple + C. LE and GT 16","47","0.31428445885349","0.230876391254676","0.397692526452304"
"Paid","1988","35-65 y.","1-pers.-HH","54","0.296794318192756","0.223440295774655","0.370148340610857"
"Paid","1988","35-65 y.","(Married) couple without C. ","149","0.299933538011548","0.255470394787699","0.344396681235398"
"Paid","1988","35-65 y.","Single parent ","31","0.361066210183863","0.25835217291314","0.463780247454585"
"Paid","1988","35-65 y.","Couple + C. LE 16 ","230","0.336920710101917","0.297018192857368","0.376823227346465"
