"plb0195_h","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Paid","1992","West Germany","1440","0.338699885519581","0.32347510883673","0.353924662202433","3"
"Paid","1992","East Germany","445","0.275593650809986","0.254310038473456","0.296877263146516","3"
"Partly, partly","1992","East Germany","278","0.16642815297793","0.148686073195027","0.184170232760832","2"
"Partly, partly","1992","West Germany","616","0.16771089735545","0.1556920767533","0.1797297179576","2"
"Acclaimed","1993","West Germany","1174","0.339201339750622","0.323797891165882","0.354604788335363","1"
"Acclaimed","1993","East Germany","630","0.377393789704337","0.353983575354908","0.400804004053765","1"
"Not paid","1993","West Germany","508","0.166550475264223","0.154428672961662","0.178672277566784","4"
"Not paid","1993","East Germany","296","0.185805558711322","0.167021271964849","0.204589845457796","4"
"Paid","1993","West Germany","1337","0.331949639783754","0.316628350627407","0.347270928940101","3"
"Paid","1993","East Germany","429","0.263193362975689","0.241925907966555","0.284460817984822","3"
"Partly, partly","1993","East Germany","292","0.173607288608653","0.155314559306868","0.191900017910438","2"
"Partly, partly","1993","West Germany","610","0.1622985452014","0.15030199004157","0.174295100361231","2"
"Acclaimed","1994","West Germany","1288","0.374716116614251","0.358828921641982","0.39060331158652","1"
"Acclaimed","1994","East Germany","639","0.372594881547903","0.349173299744729","0.396016463351077","1"
"Not paid","1994","West Germany","475","0.15864284207011","0.1466517742489","0.170633909891321","4"
"Not paid","1994","East Germany","322","0.192174674674855","0.173087987277192","0.211261362072517","4"
"Paid","1994","East Germany","383","0.250885572209528","0.229884780112743","0.271886364306313","3"
"Paid","1994","West Germany","1190","0.298620749244731","0.283599921391931","0.31364157709753","3"
"Partly, partly","1994","East Germany","293","0.184344871567714","0.165560677479027","0.203129065656401","2"
"Partly, partly","1994","West Germany","613","0.168020292070908","0.155748876711837","0.180291707429979","2"
"Acclaimed","1995","West Germany","1376","0.370256405831653","0.35510747491344","0.385405336749865","1"
"Acclaimed","1995","East Germany","674","0.392869827278996","0.369232878543391","0.416506776014601","1"
"Not paid","1995","West Germany","540","0.163565462794001","0.151961385919352","0.17516953966865","4"
"Not paid","1995","East Germany","279","0.174498257302015","0.156129460445903","0.192867054158128","4"
"Paid","1995","East Germany","370","0.237781706506706","0.217177539059902","0.258385873953511","3"
"Paid","1995","West Germany","1310","0.292817639614233","0.278541422544454","0.307093856684012","3"
"Partly, partly","1995","East Germany","317","0.194850208912282","0.175680525208036","0.214019892616528","2"
"Partly, partly","1995","West Germany","677","0.173360491760113","0.161484169883047","0.18523681363718","2"
"Acclaimed","1996","West Germany","1535","0.417525940122458","0.40179862370471","0.433253256540205","1"
"Acclaimed","1996","East Germany","677","0.408040636733778","0.383822400735912","0.432258872731644","1"
"Not paid","1996","West Germany","502","0.155651298067174","0.144089859068558","0.167212737065791","4"
"Not paid","1996","East Germany","293","0.188489298818377","0.169216919873264","0.20776167776349","4"
"Paid","1996","East Germany","347","0.233475206570934","0.2126289375041","0.254321475637767","3"
"Paid","1996","West Germany","1125","0.258876835418747","0.244907800980651","0.272845869856842","3"
"Partly, partly","1996","West Germany","615","0.167945926391621","0.156024310874252","0.179867541908991","2"
"Partly, partly","1996","East Germany","265","0.169994857876911","0.151484997820405","0.188504717933416","2"
"Acclaimed","1997","West Germany","1360","0.436093687286018","0.41886615192869","0.453321222643346","1"
"Acclaimed","1997","East Germany","609","0.421087541891336","0.395398403551724","0.446776680230948","1"
"Not paid","1997","East Germany","280","0.206713644090674","0.185644036014886","0.227783252166461","4"
"Not paid","1997","West Germany","502","0.187385380960185","0.173829119383174","0.200941642537197","4"
"Paid","1997","East Germany","208","0.152784764390304","0.134065283710491","0.171504245070116","3"
"Paid","1997","West Germany","669","0.174309520973612","0.161130020051833","0.187489021895392","3"
"Partly, partly","1997","West Germany","652","0.202211410780185","0.188258124285407","0.216164697274962","2"
"Partly, partly","1997","East Germany","322","0.219414049627687","0.197881300779217","0.240946798476157","2"
"Acclaimed","1998","West Germany","1533","0.443864904553175","0.427423691629374","0.460306117476977","1"
"Acclaimed","1998","East Germany","687","0.438412020921373","0.413483822483354","0.463340219359392","1"
"Not paid","1998","East Germany","275","0.179533413931674","0.160251778866593","0.198815048996755","4"
"Not paid","1998","West Germany","577","0.18120137153641","0.168454970095479","0.193947772977341","4"
"Paid","1998","East Germany","210","0.142994415807224","0.125407400985772","0.160581430628676","3"
"Paid","1998","West Germany","665","0.173102658937922","0.160582900028334","0.18562241784751","3"
"Partly, partly","1998","West Germany","733","0.201831064972493","0.188549179990774","0.215112949954211","2"
"Partly, partly","1998","East Germany","350","0.239060149339729","0.217632747095089","0.260487551584368","2"
"Acclaimed","1999","West Germany","1511","0.455301149900972","0.438690852643427","0.471911447158517","1"
"Acclaimed","1999","East Germany","696","0.447844785283956","0.422788137000831","0.47290143356708","1"
"Not paid","1999","East Germany","272","0.174298052212807","0.155182513205051","0.193413591220563","4"
"Not paid","1999","West Germany","569","0.181266076836843","0.168416777039184","0.194115376634501","4"
"Paid","1999","West Germany","643","0.160113114209715","0.147881785035213","0.172344443384217","3"
"Paid","1999","East Germany","205","0.129348466487716","0.11243893971108","0.146257993264353","3"
"Partly, partly","1999","West Germany","730","0.203319659052471","0.189895671570387","0.216743646534555","2"
"Partly, partly","1999","East Germany","340","0.248508696015521","0.226733533650229","0.270283858380813","2"
"Acclaimed","2000","West Germany","2877","0.471644749536585","0.459207957694025","0.484081541379146","1"
"Acclaimed","2000","East Germany","1024","0.48332919236381","0.46195103118021","0.504707353547409","1"
"Not paid","2000","East Germany","365","0.161713544788157","0.145962430063105","0.177464659513208","4"
"Not paid","2000","West Germany","1012","0.163992668300442","0.154767907601002","0.173217428999882","4"
"Paid","2000","West Germany","1032","0.162779648825951","0.153582403062579","0.171976894589324","3"
"Paid","2000","East Germany","276","0.131251264850611","0.11680549428076","0.145697035420462","3"
"Partly, partly","2000","West Germany","1268","0.201582933337022","0.191588006123191","0.211577860550852","2"
"Partly, partly","2000","East Germany","434","0.223705997997423","0.205878360227504","0.241533635767341","2"
"Acclaimed","2001","West Germany","2557","0.452460398075452","0.439604266299253","0.465316529851652","1"
"Acclaimed","2001","East Germany","969","0.480799761983037","0.458858935270057","0.502740588696018","1"
"Not paid","2001","West Germany","962","0.164756718561946","0.155175068116936","0.174338369006956","4"
"Not paid","2001","East Germany","317","0.14784915205866","0.132261845269287","0.163436458848032","4"
"Paid","2001","West Germany","975","0.165922162012399","0.156313393059532","0.175530930965267","3"
"Paid","2001","East Germany","262","0.139715052794242","0.124490442473267","0.154939663115216","3"
"Partly, partly","2001","West Germany","1264","0.216860721350202","0.206216296182827","0.227505146517577","2"
"Partly, partly","2001","East Germany","444","0.231636033164061","0.21310967830335","0.250162388024772","2"
"Acclaimed","2002","East Germany","970","0.508907916988187","0.486826532343944","0.53098930163243","1"
"Acclaimed","2002","West Germany","2663","0.472566422789257","0.459947630072774","0.48518521550574","1"
"Not paid","2002","West Germany","1322","0.181731907059129","0.171985020992269","0.191478793125989","4"
"Not paid","2002","East Germany","373","0.159464218547678","0.143293289915397","0.175635147179958","4"
"Paid","2002","West Germany","789","0.140529939199847","0.131745737593715","0.149314140805979","3"
"Paid","2002","East Germany","203","0.111008369868233","0.0971327647593075","0.124883974977159","3"
"Partly, partly","2002","West Germany","1239","0.205171730951768","0.194964735934042","0.215378725969493","2"
"Partly, partly","2002","East Germany","423","0.220619494595902","0.20230386108228","0.238935128109525","2"
"Acclaimed","2003","East Germany","973","0.551385400669111","0.528721922618323","0.574048878719899","1"
"Acclaimed","2003","West Germany","2655","0.495036787649112","0.482081092390902","0.507992482907322","1"
"Not paid","2003","West Germany","1222","0.174982591669345","0.165137016423237","0.184828166915453","4"
"Not paid","2003","East Germany","327","0.140035549630428","0.124222281815682","0.155848817445174","4"
"Paid","2003","West Germany","711","0.135303879889426","0.126440507476786","0.144167252302066","3"
"Paid","2003","East Germany","191","0.110282310916835","0.0960084563212792","0.124556165512391","3"
"Partly, partly","2003","West Germany","1133","0.194676740792118","0.1844165775212","0.204936904063035","2"
"Partly, partly","2003","East Germany","359","0.198296738783626","0.180127913951923","0.216465563615329","2"
"Acclaimed","2004","East Germany","927","0.520276392620368","0.497254479366764","0.543298305873972","1"
"Acclaimed","2004","West Germany","2566","0.488497271159873","0.475277075729803","0.501717466589943","1"
"Not paid","2004","West Germany","1289","0.199196499767929","0.188633514854161","0.209759484681697","4"
"Not paid","2004","East Germany","317","0.156037790334076","0.139315136350732","0.172760444317421","4"
"Paid","2004","West Germany","633","0.129238629261444","0.120366485395635","0.138110773127254","3"
"Paid","2004","East Germany","176","0.100388276173254","0.0865399316580237","0.114236620688484","3"
"Partly, partly","2004","East Germany","389","0.223297540872302","0.204106518230016","0.242488563514588","2"
"Partly, partly","2004","West Germany","1004","0.183067599810754","0.172839813847998","0.19329538577351","2"
"Acclaimed","2005","East Germany","873","0.53124868136044","0.507435866606795","0.555061496114084","1"
"Acclaimed","2005","West Germany","2519","0.499279598713716","0.485574576360715","0.512984621066716","1"
"Not paid","2005","West Germany","1077","0.186720579348216","0.176039228530249","0.197401930166184","4"
"Not paid","2005","East Germany","301","0.142847645915709","0.126149967035418","0.159545324796001","4"
"Paid","2005","West Germany","525","0.108988730407696","0.100447064318496","0.117530396496897","3"
"Paid","2005","East Germany","164","0.118821892426998","0.103381062780175","0.134262722073822","3"
"Partly, partly","2005","East Germany","349","0.207081780296852","0.187745377097897","0.226418183495808","2"
"Partly, partly","2005","West Germany","992","0.205011091530372","0.193945378372349","0.216076804688394","2"
"Acclaimed","2006","West Germany","2793","0.492880647296581","0.479886958765444","0.505874335827718","1"
"Acclaimed","2006","East Germany","944","0.500630990297554","0.477678785244742","0.523583195350366","1"
"Not paid","2006","West Germany","1257","0.202243588907499","0.191804105457348","0.21268307235765","4"
"Not paid","2006","East Germany","362","0.174913982775774","0.15747518126085","0.192352784290698","4"
"Paid","2006","West Germany","613","0.122247902181837","0.113734304515275","0.1307614998484","3"
"Paid","2006","East Germany","150","0.101941362213804","0.0880519994754382","0.11583072495217","3"
"Partly, partly","2006","East Germany","367","0.222513664712868","0.203420431276581","0.241606898149155","2"
"Partly, partly","2006","West Germany","1024","0.182627861614083","0.172586331180412","0.192669392047753","2"
"Acclaimed","2007","West Germany","2526","0.487637715472352","0.474025762755228","0.501249668189476","1"
"Acclaimed","2007","East Germany","928","0.516189102259061","0.492960426507227","0.539417778010894","1"
"Not paid","2007","West Germany","1151","0.201126213307702","0.190210386533257","0.212042040082147","4"
"Not paid","2007","East Germany","344","0.157511162007388","0.140578705909086","0.17444361810569","4"
"Paid","2007","East Germany","139","0.0811898365423901","0.0684944496226705","0.0938852234621096","3"
"Paid","2007","West Germany","498","0.104987982878605","0.0966402712053525","0.113335694551858","3"
"Partly, partly","2007","East Germany","367","0.245109899191161","0.225115677482258","0.265104120900064","2"
"Partly, partly","2007","West Germany","1005","0.206248088341341","0.195229636718368","0.217266539964313","2"
"Acclaimed","2008","West Germany","2451","0.483189008636425","0.469525084720024","0.496852932552827","1"
"Acclaimed","2008","East Germany","877","0.511417422636027","0.487862494307001","0.534972350965053","1"
"Not paid","2008","West Germany","1152","0.198697064124348","0.187786552078668","0.209607576170027","4"
"Not paid","2008","East Germany","326","0.149804019406172","0.132987105677517","0.166620933134827","4"
"Paid","2008","East Germany","162","0.0898542269861517","0.0763785753972377","0.103329878575066","3"
"Paid","2008","West Germany","531","0.110705892834217","0.102126449350214","0.119285336318219","3"
"Partly, partly","2008","East Germany","365","0.248924330971649","0.22854919290086","0.269299469042439","2"
"Partly, partly","2008","West Germany","1004","0.20740803440501","0.196321682453928","0.218494386356092","2"
"Acclaimed","2009","West Germany","2164","0.473386245899903","0.458828945736559","0.487943546063248","1"
"Acclaimed","2009","East Germany","817","0.540180154730199","0.515527628318344","0.564832681142053","1"
"Not paid","2009","West Germany","1020","0.200030908037702","0.188367859650616","0.211693956424788","4"
"Not paid","2009","East Germany","270","0.135665892074119","0.118727412377991","0.152604371770247","4"
"Paid","2009","East Germany","143","0.0699690213085507","0.0573507496854444","0.0825872929316571","3"
"Paid","2009","West Germany","448","0.112673507681624","0.103454598178127","0.121892417185121","3"
"Partly, partly","2009","West Germany","887","0.21390933838077","0.20195355297947","0.225865123782071","2"
"Partly, partly","2009","East Germany","340","0.254184931887132","0.232647756610726","0.275722107163537","2"
"Acclaimed","2010","West Germany","3252","0.509369363807577","0.4972265877615","0.521512139853655","1"
"Acclaimed","2010","East Germany","1017","0.555745577557723","0.533594949147499","0.577896205967946","1"
"Not paid","2010","East Germany","328","0.156277910683367","0.140090377491681","0.172465443875053","4"
"Not paid","2010","West Germany","1303","0.192990274313131","0.183404408629807","0.202576139996455","4"
"Paid","2010","East Germany","199","0.0817002542868863","0.0694896797181368","0.0939108288556359","3"
"Paid","2010","West Germany","766","0.112670418620648","0.104990233692933","0.120350603548362","3"
"Partly, partly","2010","West Germany","1190","0.184969943258644","0.175538858726693","0.194401027790595","2"
"Partly, partly","2010","East Germany","389","0.206276257472024","0.188238129181438","0.22431438576261","2"
"Acclaimed","2011","West Germany","3818","0.484374753947873","0.473339803762926","0.49540970413282","1"
"Acclaimed","2011","East Germany","1200","0.540700899097324","0.520223078494004","0.561178719700644","1"
"Not paid","2011","East Germany","399","0.166007655090448","0.150717831304711","0.181297478876185","4"
"Not paid","2011","West Germany","1562","0.19498891511348","0.18624072056652","0.20373710966044","4"
"Paid","2011","East Germany","252","0.0995717606019401","0.0872676553606246","0.111875865843256","3"
"Paid","2011","West Germany","990","0.124920248569759","0.117619745666154","0.132220751473364","3"
"Partly, partly","2011","West Germany","1509","0.195716082368888","0.186955550171894","0.204476614565881","2"
"Partly, partly","2011","East Germany","424","0.193719685210288","0.177479637671442","0.209959732749133","2"
"Acclaimed","2012","West Germany","4070","0.498864765027783","0.48799086130694","0.509738668748625","1"
"Acclaimed","2012","East Germany","1231","0.558974194317664","0.538517582958814","0.579430805676514","1"
"Not paid","2012","East Germany","323","0.14044707607604","0.126131841263769","0.154762310888311","4"
"Not paid","2012","West Germany","1487","0.173136857315605","0.164908215081938","0.181365499549272","4"
"Paid","2012","West Germany","995","0.121756666223833","0.114645015750062","0.128868316697603","3"
"Paid","2012","East Germany","217","0.0873525576693049","0.0757194660807732","0.0989856492578366","3"
"Partly, partly","2012","West Germany","1570","0.20624171143278","0.197442393959303","0.215041028906256","2"
"Partly, partly","2012","East Germany","492","0.213226171936991","0.196350890618684","0.230101453255298","2"
"Acclaimed","2013","West Germany","4426","0.501968584027883","0.49156801360645","0.512369154449316","1"
"Acclaimed","2013","East Germany","1178","0.54597301605759","0.525039380952752","0.566906651162429","1"
"Not paid","2013","East Germany","336","0.141866077960961","0.127195911423598","0.156536244498325","4"
"Not paid","2013","West Germany","1494","0.173594802671573","0.165716087508378","0.181473517834769","4"
"Paid","2013","West Germany","1167","0.116583400900489","0.109907780112808","0.12325902168817","3"
"Paid","2013","East Germany","240","0.103048195833771","0.0902654846039536","0.115830907063589","3"
"Partly, partly","2013","West Germany","1791","0.207853212400055","0.199412643412859","0.21629378138725","2"
"Partly, partly","2013","East Germany","419","0.209112710147677","0.192013905866792","0.226211514428561","2"
"Acclaimed","2014","West Germany","4032","0.501885579964133","0.490970660224635","0.512800499703631","1"
"Acclaimed","2014","East Germany","1061","0.533965418062692","0.512173681435694","0.55575715468969","1"
"Not paid","2014","West Germany","1313","0.164030328855237","0.155946614312512","0.172114043397963","4"
"Not paid","2014","East Germany","301","0.14490887228812","0.129531579198005","0.160286165378235","4"
"Paid","2014","West Germany","1003","0.114405045189715","0.107456501607724","0.121353588771707","3"
"Paid","2014","East Germany","195","0.0973526113053493","0.0844029302758618","0.110302292334837","3"
"Partly, partly","2014","West Germany","1713","0.219679045990914","0.21064079115977","0.228717300822058","2"
"Partly, partly","2014","East Germany","456","0.223773098343839","0.205566681321487","0.241979515366191","2"
"Acclaimed","2015","East Germany","","","","","1"
"Acclaimed","2015","West Germany","","","","","1"
"Not paid","2015","West Germany","","","","","4"
"Not paid","2015","East Germany","","","","","4"
"Paid","2015","West Germany","","","","","3"
"Paid","2015","East Germany","","","","","3"
"Partly, partly","2015","West Germany","","","","","2"
"Partly, partly","2015","East Germany","","","","","2"
"Acclaimed","2016","East Germany","","","","","1"
"Acclaimed","2016","West Germany","","","","","1"
"Not paid","2016","West Germany","","","","","4"
"Not paid","2016","East Germany","","","","","4"
"Paid","2016","East Germany","","","","","3"
"Paid","2016","West Germany","","","","","3"
"Partly, partly","2016","West Germany","","","","","2"
"Partly, partly","2016","East Germany","","","","","2"
"Acclaimed","2017","East Germany","","","","","1"
"Acclaimed","2017","West Germany","","","","","1"
"Not paid","2017","West Germany","","","","","4"
"Not paid","2017","East Germany","","","","","4"
"Paid","2017","West Germany","","","","","3"
"Paid","2017","East Germany","","","","","3"
"Partly, partly","2017","East Germany","","","","","2"
"Partly, partly","2017","West Germany","","","","","2"
"Acclaimed","2018","East Germany","1118","0.566552807331324","0.544894208814816","0.588211405847833","1"
"Acclaimed","2018","West Germany","4152","0.528289471000731","0.51726541448676","0.539313527514702","1"
"Not paid","2018","West Germany","1057","0.134680958217346","0.127142042337364","0.142219874097329","4"
"Not paid","2018","East Germany","223","0.12102277979706","0.106767871501989","0.135277688092131","4"
"Paid","2018","West Germany","981","0.111735473315206","0.104778275304088","0.118692671326324","3"
"Paid","2018","East Germany","212","0.100475633816241","0.0873361320104445","0.113615135622037","3"
"Partly, partly","2018","East Germany","458","0.211948779055375","0.1940865876668","0.229810970443949","2"
"Partly, partly","2018","West Germany","1687","0.225294097466717","0.216068149358307","0.234520045575127","2"
