"plb0195_h","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"Paid","2006","Employed","750","0.11663344492705","0.109341776082427","0.123925113771673","3"
"Partly, partly","2006","Employed","1377","0.189885753220408","0.180976029557342","0.198795476883473","2"
"Partly, partly","2006","Not Employed","14","","","","2"
"Acclaimed","2007","Not Employed","35","0.586699301865224","0.474504409486731","0.698894194243717","1"
"Acclaimed","2007","Employed","3419","0.491851358188146","0.480041627818939","0.503661088557352","1"
"Not paid","2007","Not Employed","14","","","","4"
"Not paid","2007","Employed","1481","0.19333548036515","0.184006591512965","0.202664369217334","4"
"Paid","2007","Employed","628","0.100495194212583","0.0933928445263922","0.107597543898773","3"
"Paid","2007","Not Employed","9","","","","3"
"Partly, partly","2007","Employed","1356","0.214317967234122","0.204624472878955","0.224011461589288","2"
"Partly, partly","2007","Not Employed","16","","","","2"
"Acclaimed","2008","Not Employed","31","0.502625176549035","0.380129115926111","0.625121237171959","1"
"Acclaimed","2008","Employed","3297","0.488175936356638","0.476298725329759","0.500053147383517","1"
"Not paid","2008","Not Employed","18","","","","4"
"Not paid","2008","Employed","1460","0.189573333767778","0.180259865834834","0.198886801700723","4"
"Paid","2008","Employed","686","0.106713451184394","0.0993772553076051","0.114049647061183","3"
"Paid","2008","Not Employed","7","","","","3"
"Partly, partly","2008","Employed","1361","0.215537278691189","0.205766857382117","0.225307700000262","2"
"Partly, partly","2008","Not Employed","8","","","","2"
"Acclaimed","2009","Not Employed","15","","","","1"
"Acclaimed","2009","Employed","2966","0.484963069841986","0.472376922150655","0.497549217533317","1"
"Not paid","2009","Not Employed","9","","","","4"
"Not paid","2009","Employed","1281","0.18754163589145","0.177711291992997","0.197371979789903","4"
"Paid","2009","Employed","584","0.105126405415341","0.0974021600973601","0.112850650733322","3"
"Paid","2009","Not Employed","7","","","","3"
"Partly, partly","2009","Not Employed","1","","","","2"
"Partly, partly","2009","Employed","1226","0.222368888851223","0.211896563390264","0.232841214312182","2"
"Acclaimed","2010","Not Employed","65","0.306490182994119","0.2290059697597","0.383974396228539","1"
"Acclaimed","2010","Employed","4204","0.519894685182562","0.509151679813277","0.530637690551847","1"
"Not paid","2010","Employed","1609","0.186965349676388","0.1785816649578","0.195349034394976","4"
"Not paid","2010","Not Employed","22","","","","4"
"Paid","2010","Employed","941","0.106597912500608","0.0999620454166532","0.113233779584563","3"
"Paid","2010","Not Employed","24","","","","3"
"Partly, partly","2010","Not Employed","25","","","","2"
"Partly, partly","2010","Employed","1554","0.186542052640442","0.178165684120213","0.194918421160671","2"
"Acclaimed","2011","Not Employed","79","0.496704483874557","0.412673546587946","0.580735421161169","1"
"Acclaimed","2011","Employed","4939","0.494581563967703","0.484791126928298","0.504372001007108","1"
"Not paid","2011","Employed","1946","0.190081869240265","0.182398556960292","0.197765181520239","4"
"Not paid","2011","Not Employed","15","","","","4"
"Paid","2011","Employed","1219","0.119312130143856","0.112964510661924","0.125659749625789","3"
"Paid","2011","Not Employed","23","","","","3"
"Partly, partly","2011","Not Employed","19","","","","2"
"Partly, partly","2011","Employed","1914","0.196024436648175","0.188250623299629","0.203798249996722","2"
"Acclaimed","2012","Not Employed","108","0.579881044572287","0.513124470851282","0.646637618293292","1"
"Acclaimed","2012","Employed","5193","0.508090160752772","0.498376251785717","0.517804069719827","1"
"Not paid","2012","Employed","1773","0.16794529059493","0.160681877600214","0.175208703589645","4"
"Not paid","2012","Not Employed","37","0.1396333379084","0.0927547209387681","0.186511954878032","4"
"Paid","2012","Not Employed","24","","","","3"
"Paid","2012","Employed","1188","0.115972832584682","0.109751379646243","0.12219428552312","3"
"Partly, partly","2012","Not Employed","41","0.174625027319589","0.12327776005149","0.225972294587688","2"
"Partly, partly","2012","Employed","2021","0.207991716067617","0.200105498339892","0.215877933795341","2"
"Acclaimed","2013","Not Employed","813","0.432901737792338","0.410354156734704","0.455449318849972","1"
"Acclaimed","2013","Employed","4791","0.517654739182133","0.507441871274516","0.527867607089751","1"
"Not paid","2013","Employed","1596","0.170133235134716","0.162453479948868","0.177812990320563","4"
"Not paid","2013","Not Employed","234","0.145921711472","0.129856556018822","0.161986866925178","4"
"Paid","2013","Not Employed","393","0.205384758105945","0.187000814247879","0.22376870196401","3"
"Paid","2013","Employed","1014","0.104914365915747","0.0986511355845342","0.111177596246959","3"
"Partly, partly","2013","Not Employed","415","0.215791792629718","0.19707164423516","0.234511941024276","2"
"Partly, partly","2013","Employed","1795","0.207297659767404","0.199012500153793","0.215582819381016","2"
"Acclaimed","2014","Not Employed","115","0.53859557003392","0.475394939811334","0.601796200256505","1"
"Acclaimed","2014","Employed","4978","0.507000888707984","0.497120174510381","0.516881602905588","1"
"Not paid","2014","Not Employed","34","0.138698398524915","0.0948793956046901","0.182517401445139","4"
"Not paid","2014","Employed","1580","0.161043697309606","0.153779252213338","0.168308142405875","4"
"Paid","2014","Not Employed","44","0.185692443204387","0.136393173229585","0.23499171317919","3"
"Paid","2014","Employed","1154","0.110044159575241","0.103859317188441","0.116229001962041","3"
"Partly, partly","2014","Not Employed","46","0.137013588236778","0.093418963921255","0.180608212552301","2"
"Partly, partly","2014","Employed","2123","0.221911254407168","0.213698948093338","0.230123560720999","2"
"Acclaimed","2015","Employed","","","","","1"
"Acclaimed","2015","Not Employed","","","","","1"
"Not paid","2015","Not Employed","","","","","4"
"Not paid","2015","Employed","","","","","4"
"Paid","2015","Not Employed","","","","","3"
"Paid","2015","Employed","","","","","3"
"Partly, partly","2015","Not Employed","","","","","2"
"Partly, partly","2015","Employed","","","","","2"
"Acclaimed","2016","Employed","","","","","1"
"Acclaimed","2016","Not Employed","","","","","1"
"Not paid","2016","Not Employed","","","","","4"
"Not paid","2016","Employed","","","","","4"
"Paid","2016","Employed","","","","","3"
"Paid","2016","Not Employed","","","","","3"
"Partly, partly","2016","Not Employed","","","","","2"
"Partly, partly","2016","Employed","","","","","2"
"Acclaimed","2017","Employed","","","","","1"
"Acclaimed","2017","Not Employed","","","","","1"
"Not paid","2017","Not Employed","","","","","4"
"Not paid","2017","Employed","","","","","4"
"Paid","2017","Not Employed","","","","","3"
"Paid","2017","Employed","","","","","3"
"Partly, partly","2017","Employed","","","","","2"
"Partly, partly","2017","Not Employed","","","","","2"
"Acclaimed","2018","Employed","5225","0.53608233796633","0.526191156486082","0.545973519446578","1"
"Acclaimed","2018","Not Employed","45","0.40534654209551","0.318582306312391","0.492110777878629","1"
"Not paid","2018","Not Employed","22","","","","4"
"Not paid","2018","Employed","1258","0.131920304733461","0.125208372096294","0.138632237370629","4"
"Paid","2018","Not Employed","29","","","","3"
"Paid","2018","Employed","1164","0.108966551678606","0.102786308348057","0.115146795009155","3"
"Partly, partly","2018","Employed","2118","0.223030805621603","0.214774299755553","0.231287311487652","2"
"Partly, partly","2018","Not Employed","27","","","","2"
