"plb0195_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Partly, partly","1985","middle vocational","Urban Area","173","0.117667877405849","0.101606294224319","0.133729460587378","2"
"Partly, partly","1985","middle vocational","Rural Area","51","0.106117682554153","0.0786792396635026","0.133556125444802","2"
"Acclaimed","1986","in school","Urban Area","","","","","1"
"Acclaimed","1986","in school","Rural Area","","","","","1"
"Acclaimed","1986","inadequately","Urban Area","16","","","","1"
"Acclaimed","1986","inadequately","Rural Area","4","","","","1"
"Acclaimed","1986","general elemantary","Urban Area","109","0.266409385149015","0.228302411218892","0.304516359079138","1"
"Acclaimed","1986","general elemantary","Rural Area","39","0.307813740233892","0.232422249113842","0.383205231353941","1"
"Acclaimed","1986","middle vocational","Urban Area","448","0.319201842320649","0.295673609945317","0.342730074695982","1"
"Acclaimed","1986","middle vocational","Rural Area","157","0.373976926514994","0.328611505388307","0.419342347641682","1"
"Acclaimed","1986","vocational + Abi","Urban Area","23","","","","1"
"Acclaimed","1986","vocational + Abi","Rural Area","2","","","","1"
"Acclaimed","1986","higher vocational","Urban Area","68","0.353451301041695","0.286696825022976","0.420205777060414","1"
"Acclaimed","1986","higher vocational","Rural Area","17","","","","1"
"Acclaimed","1986","higher education","Urban Area","64","0.218049970467485","0.171167825303654","0.264932115631317","1"
"Acclaimed","1986","higher education","Rural Area","13","","","","1"
"Not paid","1986","in school","Rural Area","","","","","4"
"Not paid","1986","higher education","Urban Area","169","0.581901423274822","0.525899361891475","0.63790348465817","4"
"Not paid","1986","inadequately","Urban Area","5","","","","4"
"Not paid","1986","inadequately","Rural Area","2","","","","4"
"Not paid","1986","in school","Urban Area","","","","","4"
"Not paid","1986","general elemantary","Urban Area","56","0.131691188891791","0.102542549818572","0.160839827965009","4"
"Not paid","1986","higher vocational","Rural Area","18","","","","4"
"Not paid","1986","higher education","Rural Area","29","","","","4"
"Not paid","1986","middle vocational","Urban Area","214","0.155491753853793","0.137202202654074","0.173781305053512","4"
"Not paid","1986","general elemantary","Rural Area","19","","","","4"
"Not paid","1986","middle vocational","Rural Area","69","0.150380329032862","0.11686718543848","0.183893472627245","4"
"Not paid","1986","vocational + Abi","Urban Area","24","","","","4"
"Not paid","1986","vocational + Abi","Rural Area","2","","","","4"
"Not paid","1986","higher vocational","Urban Area","51","0.25750429703799","0.19644466390916","0.318563930166821","4"
"Paid","1986","inadequately","Rural Area","16","","","","3"
"Paid","1986","inadequately","Urban Area","110","0.671765153505339","0.594802301861793","0.748728005148886","3"
"Paid","1986","general elemantary","Urban Area","305","0.496667900317019","0.45356929864679","0.539766501987248","3"
"Paid","1986","in school","Rural Area","","","","","3"
"Paid","1986","vocational + Abi","Urban Area","41","0.34380506331226","0.24928265126073","0.438327475363789","3"
"Paid","1986","in school","Urban Area","2","","","","3"
"Paid","1986","vocational + Abi","Rural Area","6","","","","3"
"Paid","1986","general elemantary","Rural Area","74","0.492285791425341","0.410630345608319","0.573941237242364","3"
"Paid","1986","middle vocational","Urban Area","647","0.389172796455385","0.364564710054146","0.413780882856625","3"
"Paid","1986","middle vocational","Rural Area","169","0.367749383894538","0.32254006334767","0.412958704441405","3"
"Paid","1986","higher vocational","Urban Area","50","0.248330475696175","0.187999067896934","0.308661883495415","3"
"Paid","1986","higher vocational","Rural Area","14","","","","3"
"Paid","1986","higher education","Urban Area","37","0.108118591031972","0.0728617251683606","0.143375456895584","3"
"Paid","1986","higher education","Rural Area","8","","","","3"
"Partly, partly","1986","higher vocational","Rural Area","6","","","","2"
"Partly, partly","1986","higher education","Urban Area","28","","","","2"
"Partly, partly","1986","general elemantary","Urban Area","47","0.105231525642175","0.0787811959366774","0.131681855347673","2"
"Partly, partly","1986","inadequately","Urban Area","12","","","","2"
"Partly, partly","1986","in school","Rural Area","","","","","2"
"Partly, partly","1986","higher vocational","Urban Area","28","","","","2"
"Partly, partly","1986","inadequately","Rural Area","1","","","","2"
"Partly, partly","1986","general elemantary","Rural Area","12","","","","2"
"Partly, partly","1986","higher education","Rural Area","7","","","","2"
"Partly, partly","1986","in school","Urban Area","","","","","2"
"Partly, partly","1986","vocational + Abi","Urban Area","9","","","","2"
"Partly, partly","1986","vocational + Abi","Rural Area","3","","","","2"
"Partly, partly","1986","middle vocational","Urban Area","199","0.136133607370172","0.118825348339348","0.153441866400997","2"
"Partly, partly","1986","middle vocational","Rural Area","42","0.107893360557605","0.0788054103264329","0.136981310788778","2"
"Acclaimed","1987","in school","Urban Area","","","","","1"
"Acclaimed","1987","in school","Rural Area","","","","","1"
"Acclaimed","1987","inadequately","Urban Area","","","","","1"
"Acclaimed","1987","inadequately","Rural Area","","","","","1"
"Acclaimed","1987","general elemantary","Urban Area","","","","","1"
"Acclaimed","1987","general elemantary","Rural Area","","","","","1"
"Acclaimed","1987","middle vocational","Urban Area","","","","","1"
"Acclaimed","1987","middle vocational","Rural Area","","","","","1"
"Acclaimed","1987","vocational + Abi","Urban Area","","","","","1"
"Acclaimed","1987","vocational + Abi","Rural Area","","","","","1"
"Acclaimed","1987","higher vocational","Urban Area","","","","","1"
"Acclaimed","1987","higher vocational","Rural Area","","","","","1"
"Acclaimed","1987","higher education","Urban Area","","","","","1"
"Acclaimed","1987","higher education","Rural Area","","","","","1"
"Not paid","1987","inadequately","Urban Area","","","","","4"
"Not paid","1987","higher education","Rural Area","","","","","4"
"Not paid","1987","higher education","Urban Area","","","","","4"
"Not paid","1987","higher vocational","Rural Area","","","","","4"
"Not paid","1987","in school","Rural Area","","","","","4"
"Not paid","1987","inadequately","Rural Area","","","","","4"
"Not paid","1987","general elemantary","Urban Area","","","","","4"
"Not paid","1987","in school","Urban Area","","","","","4"
"Not paid","1987","higher vocational","Urban Area","","","","","4"
"Not paid","1987","general elemantary","Rural Area","","","","","4"
"Not paid","1987","middle vocational","Urban Area","","","","","4"
"Not paid","1987","middle vocational","Rural Area","","","","","4"
"Not paid","1987","vocational + Abi","Urban Area","","","","","4"
"Not paid","1987","vocational + Abi","Rural Area","","","","","4"
"Paid","1987","inadequately","Rural Area","","","","","3"
"Paid","1987","higher vocational","Rural Area","","","","","3"
"Paid","1987","in school","Urban Area","","","","","3"
"Paid","1987","higher education","Rural Area","","","","","3"
"Paid","1987","in school","Rural Area","","","","","3"
"Paid","1987","inadequately","Urban Area","","","","","3"
"Paid","1987","higher education","Urban Area","","","","","3"
"Paid","1987","vocational + Abi","Urban Area","","","","","3"
"Paid","1987","vocational + Abi","Rural Area","","","","","3"
"Paid","1987","higher vocational","Urban Area","","","","","3"
"Paid","1987","general elemantary","Urban Area","","","","","3"
"Paid","1987","general elemantary","Rural Area","","","","","3"
"Paid","1987","middle vocational","Urban Area","","","","","3"
"Paid","1987","middle vocational","Rural Area","","","","","3"
"Partly, partly","1987","inadequately","Urban Area","","","","","2"
"Partly, partly","1987","general elemantary","Urban Area","","","","","2"
"Partly, partly","1987","inadequately","Rural Area","","","","","2"
"Partly, partly","1987","higher vocational","Rural Area","","","","","2"
"Partly, partly","1987","in school","Rural Area","","","","","2"
"Partly, partly","1987","higher vocational","Urban Area","","","","","2"
"Partly, partly","1987","higher education","Urban Area","","","","","2"
"Partly, partly","1987","higher education","Rural Area","","","","","2"
"Partly, partly","1987","general elemantary","Rural Area","","","","","2"
"Partly, partly","1987","in school","Urban Area","","","","","2"
"Partly, partly","1987","middle vocational","Rural Area","","","","","2"
"Partly, partly","1987","vocational + Abi","Urban Area","","","","","2"
"Partly, partly","1987","vocational + Abi","Rural Area","","","","","2"
"Partly, partly","1987","middle vocational","Urban Area","","","","","2"
"Acclaimed","1988","in school","Urban Area","","","","","1"
"Acclaimed","1988","in school","Rural Area","","","","","1"
"Acclaimed","1988","inadequately","Urban Area","15","","","","1"
"Acclaimed","1988","inadequately","Rural Area","2","","","","1"
"Acclaimed","1988","general elemantary","Urban Area","125","0.298545261562838","0.26001931076306","0.337071212362615","1"
"Acclaimed","1988","general elemantary","Rural Area","41","0.317386263339022","0.238577000219169","0.396195526458875","1"
"Acclaimed","1988","middle vocational","Urban Area","467","0.341146215885156","0.316819401215418","0.365473030554893","1"
"Acclaimed","1988","middle vocational","Rural Area","156","0.389800645675672","0.343102651303025","0.436498640048319","1"
"Acclaimed","1988","vocational + Abi","Urban Area","27","","","","1"
"Acclaimed","1988","vocational + Abi","Rural Area","3","","","","1"
"Acclaimed","1988","higher vocational","Urban Area","72","0.402638664503465","0.332904181799333","0.472373147207596","1"
"Acclaimed","1988","higher vocational","Rural Area","19","","","","1"
"Acclaimed","1988","higher education","Urban Area","66","0.2011615703324","0.156751863574642","0.245571277090158","1"
"Acclaimed","1988","higher education","Rural Area","12","","","","1"
"Not paid","1988","higher vocational","Rural Area","12","","","","4"
"Not paid","1988","inadequately","Rural Area","2","","","","4"
"Not paid","1988","general elemantary","Urban Area","45","0.101917615546895","0.0764474854112653","0.127387745682524","4"
"Not paid","1988","in school","Urban Area","","","","","4"
"Not paid","1988","inadequately","Urban Area","2","","","","4"
"Not paid","1988","in school","Rural Area","","","","","4"
"Not paid","1988","general elemantary","Rural Area","13","","","","4"
"Not paid","1988","higher education","Urban Area","177","0.594080415976793","0.53967795543306","0.648482876520526","4"
"Not paid","1988","higher education","Rural Area","25","","","","4"
"Not paid","1988","higher vocational","Urban Area","44","0.234730804603229","0.174466041986927","0.294995567219531","4"
"Not paid","1988","middle vocational","Urban Area","187","0.138056707548172","0.120356084714132","0.155757330382212","4"
"Not paid","1988","middle vocational","Rural Area","58","0.150405820168157","0.116178006037305","0.18463363429901","4"
"Not paid","1988","vocational + Abi","Urban Area","22","","","","4"
"Not paid","1988","vocational + Abi","Rural Area","1","","","","4"
"Paid","1988","vocational + Abi","Urban Area","31","0.212245091229838","0.131289017065259","0.293201165394416","3"
"Paid","1988","vocational + Abi","Rural Area","6","","","","3"
"Paid","1988","higher vocational","Urban Area","50","0.235248065633542","0.174937331751","0.295558799516084","3"
"Paid","1988","higher vocational","Rural Area","4","","","","3"
"Paid","1988","higher education","Urban Area","30","0.0846210689735195","0.0537880796904833","0.115454058256556","3"
"Paid","1988","in school","Urban Area","1","","","","3"
"Paid","1988","in school","Rural Area","","","","","3"
"Paid","1988","inadequately","Urban Area","111","0.844914854275122","0.784299955898726","0.905529752651519","3"
"Paid","1988","inadequately","Rural Area","22","","","","3"
"Paid","1988","general elemantary","Urban Area","320","0.494835835401384","0.452744249726657","0.536927421076111","3"
"Paid","1988","general elemantary","Rural Area","67","0.438891265983729","0.354868364325116","0.522914167642343","3"
"Paid","1988","middle vocational","Urban Area","614","0.388595674683527","0.363584523601492","0.413606825765562","3"
"Paid","1988","middle vocational","Rural Area","152","0.331646809457589","0.286567007013617","0.376726611901561","3"
"Paid","1988","higher education","Rural Area","9","","","","3"
"Partly, partly","1988","inadequately","Urban Area","9","","","","2"
"Partly, partly","1988","inadequately","Rural Area","","","","","2"
"Partly, partly","1988","higher vocational","Rural Area","14","","","","2"
"Partly, partly","1988","higher education","Urban Area","40","0.120136944717287","0.0841187654807107","0.156155123953864","2"
"Partly, partly","1988","higher education","Rural Area","3","","","","2"
"Partly, partly","1988","general elemantary","Urban Area","52","0.104701287488883","0.0789257079475758","0.130476867030191","2"
"Partly, partly","1988","in school","Rural Area","","","","","2"
"Partly, partly","1988","higher vocational","Urban Area","24","","","","2"
"Partly, partly","1988","general elemantary","Rural Area","13","","","","2"
"Partly, partly","1988","in school","Urban Area","","","","","2"
"Partly, partly","1988","middle vocational","Rural Area","53","0.128146724698582","0.096141820134271","0.160151629262893","2"
"Partly, partly","1988","vocational + Abi","Urban Area","18","","","","2"
"Partly, partly","1988","vocational + Abi","Rural Area","2","","","","2"
"Partly, partly","1988","middle vocational","Urban Area","191","0.132201401883145","0.114821474904891","0.1495813288614","2"
"Acclaimed","1989","in school","Urban Area","","","","","1"
"Acclaimed","1989","in school","Rural Area","","","","","1"
"Acclaimed","1989","inadequately","Urban Area","19","","","","1"
"Acclaimed","1989","inadequately","Rural Area","6","","","","1"
"Acclaimed","1989","general elemantary","Urban Area","128","0.29376206723983","0.256757104037862","0.330767030441798","1"
"Acclaimed","1989","general elemantary","Rural Area","38","0.305427536433025","0.227442987008869","0.383412085857181","1"
"Acclaimed","1989","middle vocational","Urban Area","490","0.33645600685143","0.313016652554918","0.359895361147943","1"
"Acclaimed","1989","middle vocational","Rural Area","157","0.349971283454345","0.306337364073833","0.393605202834858","1"
"Acclaimed","1989","vocational + Abi","Urban Area","44","0.408363019610346","0.318133940582418","0.498592098638274","1"
"Acclaimed","1989","vocational + Abi","Rural Area","","","","","1"
"Acclaimed","1989","higher vocational","Urban Area","67","0.370808517637058","0.3024860183455","0.439131016928616","1"
"Acclaimed","1989","higher vocational","Rural Area","15","","","","1"
"Acclaimed","1989","higher education","Urban Area","67","0.213980100899338","0.167954270184096","0.260005931614581","1"
"Acclaimed","1989","higher education","Rural Area","8","","","","1"
"Not paid","1989","general elemantary","Rural Area","17","","","","4"
"Not paid","1989","higher vocational","Rural Area","7","","","","4"
"Not paid","1989","inadequately","Urban Area","5","","","","4"
"Not paid","1989","inadequately","Rural Area","","","","","4"
"Not paid","1989","general elemantary","Urban Area","44","0.0886436686659404","0.0655520398908569","0.111735297441024","4"
"Not paid","1989","in school","Rural Area","","","","","4"
"Not paid","1989","higher education","Urban Area","160","0.538901131653575","0.482957617018844","0.594844646288306","4"
"Not paid","1989","in school","Urban Area","","","","","4"
"Not paid","1989","higher education","Rural Area","27","","","","4"
"Not paid","1989","higher vocational","Urban Area","40","0.212556210484936","0.15468745306921","0.270424967900663","4"
"Not paid","1989","middle vocational","Urban Area","184","0.132487019985553","0.115669138174833","0.149304901796272","4"
"Not paid","1989","middle vocational","Rural Area","61","0.145379824296483","0.113133487270831","0.177626161322135","4"
"Not paid","1989","vocational + Abi","Urban Area","23","","","","4"
"Not paid","1989","vocational + Abi","Rural Area","","","","","4"
"Paid","1989","in school","Urban Area","3","","","","3"
"Paid","1989","in school","Rural Area","","","","","3"
"Paid","1989","inadequately","Urban Area","108","0.713944855745142","0.640640652345881","0.787249059144402","3"
"Paid","1989","inadequately","Rural Area","19","","","","3"
"Paid","1989","general elemantary","Urban Area","329","0.479142259203259","0.438556058537417","0.5197284598691","3"
"Paid","1989","general elemantary","Rural Area","63","0.4122329649775","0.32888986247549","0.495576067479511","3"
"Paid","1989","middle vocational","Urban Area","668","0.389290059388924","0.365102013098435","0.413478105679414","3"
"Paid","1989","middle vocational","Rural Area","179","0.369193749334645","0.325045151784484","0.413342346884806","3"
"Paid","1989","vocational + Abi","Urban Area","33","0.221880402097705","0.14560608740003","0.29815471679538","3"
"Paid","1989","vocational + Abi","Rural Area","3","","","","3"
"Paid","1989","higher vocational","Urban Area","43","0.209664313262516","0.152085125944434","0.267243500580598","3"
"Paid","1989","higher vocational","Rural Area","7","","","","3"
"Paid","1989","higher education","Urban Area","33","0.0941062858526246","0.0613385743709091","0.12687399733434","3"
"Paid","1989","higher education","Rural Area","6","","","","3"
"Partly, partly","1989","higher vocational","Rural Area","12","","","","2"
"Partly, partly","1989","inadequately","Urban Area","14","","","","2"
"Partly, partly","1989","general elemantary","Urban Area","81","0.138452004890971","0.110392761173586","0.166511248608355","2"
"Partly, partly","1989","higher education","Urban Area","45","0.153012481594462","0.112610738204846","0.193414224984078","2"
"Partly, partly","1989","higher education","Rural Area","10","","","","2"
"Partly, partly","1989","inadequately","Rural Area","1","","","","2"
"Partly, partly","1989","in school","Rural Area","","","","","2"
"Partly, partly","1989","higher vocational","Urban Area","42","0.20697095861549","0.14966540293277","0.264276514298209","2"
"Partly, partly","1989","general elemantary","Rural Area","16","","","","2"
"Partly, partly","1989","in school","Urban Area","","","","","2"
"Partly, partly","1989","middle vocational","Urban Area","219","0.141766913774093","0.124463304153375","0.159070523394811","2"
"Partly, partly","1989","middle vocational","Rural Area","62","0.135455142914527","0.104148733284302","0.166761552544752","2"
"Partly, partly","1989","vocational + Abi","Urban Area","14","","","","2"
"Partly, partly","1989","vocational + Abi","Rural Area","4","","","","2"
"Acclaimed","1990","general elemantary","Urban Area","130","0.29812797026305","0.260738914437837","0.335517026088262","1"
"Acclaimed","1990","general elemantary","Rural Area","37","0.298379399316674","0.223648117982054","0.373110680651294","1"
"Acclaimed","1990","middle vocational","Urban Area","472","0.335898963555813","0.312092570138092","0.359705356973535","1"
"Acclaimed","1990","middle vocational","Rural Area","181","0.413800122792209","0.368841210308182","0.458759035276237","1"
"Acclaimed","1990","vocational + Abi","Urban Area","33","0.366089054291244","0.276471291287009","0.455706817295479","1"
"Acclaimed","1990","in school","Urban Area","","","","","1"
"Acclaimed","1990","in school","Rural Area","","","","","1"
"Acclaimed","1990","inadequately","Urban Area","20","","","","1"
"Acclaimed","1990","inadequately","Rural Area","2","","","","1"
"Acclaimed","1990","vocational + Abi","Rural Area","7","","","","1"
"Acclaimed","1990","higher vocational","Urban Area","71","0.373493177418473","0.303215623681316","0.44377073115563","1"
"Acclaimed","1990","higher vocational","Rural Area","18","","","","1"
"Acclaimed","1990","higher education","Urban Area","83","0.260485216409189","0.211706219316612","0.309264213501767","1"
"Acclaimed","1990","higher education","Rural Area","13","","","","1"
"Not paid","1990","inadequately","Urban Area","1","","","","4"
"Not paid","1990","inadequately","Rural Area","","","","","4"
"Not paid","1990","higher vocational","Rural Area","3","","","","4"
"Not paid","1990","in school","Rural Area","","","","","4"
"Not paid","1990","higher education","Urban Area","153","0.517779382589137","0.46224484493655","0.573313920241725","4"
"Not paid","1990","general elemantary","Urban Area","40","0.0841063630407019","0.0614207188427353","0.106792007238669","4"
"Not paid","1990","higher vocational","Urban Area","34","0.209352662373126","0.150245100217718","0.268460224528534","4"
"Not paid","1990","higher education","Rural Area","23","","","","4"
"Not paid","1990","general elemantary","Rural Area","11","","","","4"
"Not paid","1990","in school","Urban Area","","","","","4"
"Not paid","1990","middle vocational","Rural Area","57","0.138296663903829","0.106784199550287","0.16980912825737","4"
"Not paid","1990","vocational + Abi","Urban Area","19","","","","4"
"Not paid","1990","vocational + Abi","Rural Area","","","","","4"
"Not paid","1990","middle vocational","Urban Area","170","0.126179589062829","0.109442580350181","0.142916597775477","4"
"Paid","1990","in school","Urban Area","2","","","","3"
"Paid","1990","in school","Rural Area","","","","","3"
"Paid","1990","inadequately","Urban Area","95","0.669948343112213","0.590626495023917","0.749270191200508","3"
"Paid","1990","inadequately","Rural Area","20","","","","3"
"Paid","1990","general elemantary","Urban Area","329","0.490208778196551","0.449348540650038","0.531069015743065","3"
"Paid","1990","general elemantary","Rural Area","81","0.48736365879656","0.405724577056654","0.569002740536466","3"
"Paid","1990","middle vocational","Urban Area","649","0.404168255547901","0.379433073321886","0.428903437773915","3"
"Paid","1990","middle vocational","Rural Area","161","0.320274770741481","0.277683000821342","0.36286654066162","3"
"Paid","1990","vocational + Abi","Urban Area","39","0.215109234122944","0.138669223544931","0.291549244700958","3"
"Paid","1990","vocational + Abi","Rural Area","3","","","","3"
"Paid","1990","higher vocational","Urban Area","39","0.214463267542097","0.154832265782432","0.274094269301761","3"
"Paid","1990","higher vocational","Rural Area","11","","","","3"
"Paid","1990","higher education","Urban Area","24","","","","3"
"Paid","1990","higher education","Rural Area","6","","","","3"
"Partly, partly","1990","higher vocational","Rural Area","14","","","","2"
"Partly, partly","1990","inadequately","Urban Area","19","","","","2"
"Partly, partly","1990","inadequately","Rural Area","2","","","","2"
"Partly, partly","1990","general elemantary","Urban Area","76","0.127556888499697","0.100290056260731","0.154823720738663","2"
"Partly, partly","1990","higher education","Urban Area","51","0.161214811366941","0.120345648433319","0.202083974300564","2"
"Partly, partly","1990","higher education","Rural Area","14","","","","2"
"Partly, partly","1990","in school","Rural Area","","","","","2"
"Partly, partly","1990","general elemantary","Rural Area","15","","","","2"
"Partly, partly","1990","higher vocational","Urban Area","38","0.202690892666304","0.144286854358494","0.261094930974115","2"
"Partly, partly","1990","in school","Urban Area","1","","","","2"
"Partly, partly","1990","middle vocational","Urban Area","221","0.133753191833457","0.11659604387734","0.150910339789575","2"
"Partly, partly","1990","middle vocational","Rural Area","62","0.127628442562481","0.0971689887198993","0.158087896405062","2"
"Partly, partly","1990","vocational + Abi","Urban Area","20","","","","2"
"Partly, partly","1990","vocational + Abi","Rural Area","4","","","","2"
"Acclaimed","1991","general elemantary","Urban Area","157","0.29843486676997","0.263040075448969","0.333829658090972","1"
"Acclaimed","1991","general elemantary","Rural Area","58","0.316426248148615","0.251149317523482","0.381703178773749","1"
"Acclaimed","1991","middle vocational","Urban Area","661","0.338097380789576","0.31700866582163","0.359186095757522","1"
"Acclaimed","1991","middle vocational","Rural Area","514","0.409990287512808","0.382139591904593","0.437840983121023","1"
"Acclaimed","1991","vocational + Abi","Urban Area","52","0.430695538677284","0.350374531931483","0.511016545423085","1"
"Acclaimed","1991","in school","Urban Area","","","","","1"
"Acclaimed","1991","in school","Rural Area","","","","","1"
"Acclaimed","1991","inadequately","Urban Area","26","","","","1"
"Acclaimed","1991","inadequately","Rural Area","4","","","","1"
"Acclaimed","1991","vocational + Abi","Rural Area","17","","","","1"
"Acclaimed","1991","higher vocational","Urban Area","95","0.387661633885061","0.325236093748819","0.450087174021304","1"
"Acclaimed","1991","higher vocational","Rural Area","57","0.428680816238682","0.341575697631626","0.515785934845738","1"
"Acclaimed","1991","higher education","Urban Area","194","0.313248276277481","0.275337874015699","0.351158678539263","1"
"Acclaimed","1991","higher education","Rural Area","153","0.368271333708803","0.318923929976602","0.417618737441005","1"
"Not paid","1991","inadequately","Rural Area","1","","","","4"
"Not paid","1991","higher education","Urban Area","235","0.42731533350939","0.386881382108583","0.467749284910197","4"
"Not paid","1991","inadequately","Urban Area","5","","","","4"
"Not paid","1991","general elemantary","Urban Area","41","0.0904039523868777","0.0682220613180468","0.112585843455709","4"
"Not paid","1991","higher vocational","Rural Area","16","","","","4"
"Not paid","1991","in school","Rural Area","","","","","4"
"Not paid","1991","higher vocational","Urban Area","37","0.178749000648363","0.129658221053089","0.227839780243638","4"
"Not paid","1991","higher education","Rural Area","126","0.369169289369625","0.319796887465424","0.418541691273826","4"
"Not paid","1991","general elemantary","Rural Area","16","","","","4"
"Not paid","1991","in school","Urban Area","","","","","4"
"Not paid","1991","middle vocational","Rural Area","83","0.0882694949723259","0.0722053266597932","0.104333663284859","4"
"Not paid","1991","vocational + Abi","Urban Area","26","","","","4"
"Not paid","1991","vocational + Abi","Rural Area","2","","","","4"
"Not paid","1991","middle vocational","Urban Area","194","0.120824872794068","0.106295460966323","0.135354284621812","4"
"Paid","1991","in school","Urban Area","1","","","","3"
"Paid","1991","in school","Rural Area","","","","","3"
"Paid","1991","inadequately","Urban Area","119","0.716029800008104","0.647017246112748","0.785042353903459","3"
"Paid","1991","inadequately","Rural Area","20","","","","3"
"Paid","1991","general elemantary","Urban Area","363","0.505738147459344","0.467063890362313","0.544412404556375","3"
"Paid","1991","general elemantary","Rural Area","97","0.496777012942544","0.426600502829872","0.566953523055216","3"
"Paid","1991","middle vocational","Urban Area","780","0.383786823288877","0.362107651624297","0.405465994953458","3"
"Paid","1991","middle vocational","Rural Area","423","0.354519104880989","0.327430839200127","0.381607370561851","3"
"Paid","1991","vocational + Abi","Urban Area","47","0.237376671463423","0.168361316804137","0.306392026122708","3"
"Paid","1991","vocational + Abi","Rural Area","10","","","","3"
"Paid","1991","higher vocational","Urban Area","63","0.275278502870833","0.218050066099911","0.332506939641754","3"
"Paid","1991","higher vocational","Rural Area","29","","","","3"
"Paid","1991","higher education","Urban Area","58","0.102623066160769","0.077818929643564","0.127427202677973","3"
