"plb0195_h","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"Not paid","1984","Rhineland-Palatinate,Saarland","Full Time","55","0.268725766795996","0.21067354139872","0.326777992193271","4"
"Not paid","1984","North Rhine-Westphalia","Full Time","200","0.259433413425593","0.231232114337493","0.287634712513693","4"
"Not paid","1984","Hesse","Part Time","10","","","","4"
"Not paid","1984","Bremen","Not Working","","","","","4"
"Not paid","1984","North Rhine-Westphalia","Part Time","34","0.210681174173677","0.15329776825148","0.268064580095875","4"
"Not paid","1984","Hamburg","Not Working","1","","","","4"
"Not paid","1984","Lower Saxony","Not Working","2","","","","4"
"Not paid","1984","Hesse","Full Time","91","0.271641587778014","0.227036221496995","0.316246954059033","4"
"Not paid","1984","Bremen","Full Time","3","","","","4"
"Not paid","1984","Bremen","Part Time","3","","","","4"
"Not paid","1984","Schleswig-Holstein","Full Time","27","","","","4"
"Not paid","1984","Schleswig-Holstein","Part Time","4","","","","4"
"Not paid","1984","Schleswig-Holstein","Not Working","","","","","4"
"Not paid","1984","Hamburg","Full Time","14","","","","4"
"Not paid","1984","Hamburg","Part Time","1","","","","4"
"Not paid","1984","Lower Saxony","Full Time","86","0.259385774436955","0.213136210172237","0.305635338701673","4"
"Not paid","1984","Lower Saxony","Part Time","20","","","","4"
"Not paid","1984","Rhineland-Palatinate,Saarland","Part Time","5","","","","4"
"Not paid","1984","Rhineland-Palatinate,Saarland","Not Working","","","","","4"
"Not paid","1984","Baden-Württemberg","Full Time","158","0.276274722030965","0.242837732541741","0.309711711520189","4"
"Not paid","1984","Baden-Württemberg","Part Time","17","","","","4"
"Not paid","1984","Baden-Württemberg","Not Working","1","","","","4"
"Not paid","1984","Bavaria","Full Time","147","0.277598417411153","0.242405867438038","0.312790967384268","4"
"Not paid","1984","Bavaria","Part Time","32","0.243407007587708","0.174034543699402","0.312779471476014","4"
"Not paid","1984","Bavaria","Not Working","4","","","","4"
"Not paid","1984","Berlin","Full Time","19","","","","4"
"Not paid","1984","Berlin","Part Time","6","","","","4"
"Not paid","1984","Berlin","Not Working","","","","","4"
"Not paid","1984","Brandenburg","Full Time","","","","","4"
"Not paid","1984","Brandenburg","Part Time","","","","","4"
"Not paid","1984","Brandenburg","Not Working","","","","","4"
"Not paid","1984","Mecklenburg-Western Pomerania","Full Time","","","","","4"
"Not paid","1984","Mecklenburg-Western Pomerania","Part Time","","","","","4"
"Not paid","1984","Mecklenburg-Western Pomerania","Not Working","","","","","4"
"Not paid","1984","Saxony","Full Time","","","","","4"
"Not paid","1984","Saxony","Part Time","","","","","4"
"Not paid","1984","Saxony","Not Working","","","","","4"
"Not paid","1984","Saxony-Anhalt","Full Time","","","","","4"
"Not paid","1984","Saxony-Anhalt","Part Time","","","","","4"
"Not paid","1984","Saxony-Anhalt","Not Working","","","","","4"
"Not paid","1984","Thuringia","Full Time","","","","","4"
"Not paid","1984","Thuringia","Part Time","","","","","4"
"Not paid","1984","Thuringia","Not Working","","","","","4"
"Paid","1984","Schleswig-Holstein","Part Time","10","","","","3"
"Paid","1984","Baden-Württemberg","Not Working","4","","","","3"
"Paid","1984","Hesse","Not Working","3","","","","3"
"Paid","1984","North Rhine-Westphalia","Not Working","11","","","","3"
"Paid","1984","Schleswig-Holstein","Not Working","4","","","","3"
"Paid","1984","Rhineland-Palatinate,Saarland","Not Working","1","","","","3"
"Paid","1984","Schleswig-Holstein","Full Time","47","0.370760651088338","0.282863691869506","0.458657610307169","3"
"Paid","1984","Rhineland-Palatinate,Saarland","Part Time","23","","","","3"
"Paid","1984","Rhineland-Palatinate,Saarland","Full Time","89","0.354283333426165","0.291647848940073","0.416918817912256","3"
"Paid","1984","Baden-Württemberg","Part Time","63","0.409763212936439","0.321772449029706","0.497753976843172","3"
"Paid","1984","Mecklenburg-Western Pomerania","Full Time","","","","","3"
"Paid","1984","Brandenburg","Part Time","","","","","3"
"Paid","1984","Saxony","Full Time","","","","","3"
"Paid","1984","Bavaria","Full Time","217","0.277464835228049","0.242277500852343","0.312652169603755","3"
"Paid","1984","Hamburg","Full Time","39","0.404857844796574","0.301114438962435","0.508601250630713","3"
"Paid","1984","Brandenburg","Not Working","","","","","3"
"Paid","1984","Saxony","Part Time","","","","","3"
"Paid","1984","Hamburg","Part Time","8","","","","3"
"Paid","1984","Hamburg","Not Working","","","","","3"
"Paid","1984","Lower Saxony","Full Time","118","0.310112376016719","0.261304796579945","0.358919955453493","3"
"Paid","1984","Lower Saxony","Part Time","37","0.401369610908149","0.302801164381828","0.499938057434471","3"
"Paid","1984","Lower Saxony","Not Working","4","","","","3"
"Paid","1984","Bremen","Not Working","1","","","","3"
"Paid","1984","North Rhine-Westphalia","Full Time","441","0.384998277325818","0.353691262264628","0.416305292387008","3"
"Paid","1984","North Rhine-Westphalia","Part Time","80","0.361839833453868","0.294220597436189","0.429459069471546","3"
"Paid","1984","Hesse","Full Time","157","0.313962610680632","0.267422301060676","0.360502920300588","3"
"Paid","1984","Hesse","Part Time","31","0.422864007676631","0.306300398506565","0.539427616846696","3"
"Paid","1984","Baden-Württemberg","Full Time","342","0.402591000235552","0.365918743701647","0.439263256769457","3"
"Paid","1984","Bavaria","Part Time","51","0.316047844353324","0.240889240985742","0.391206447720905","3"
"Paid","1984","Bavaria","Not Working","5","","","","3"
"Paid","1984","Berlin","Full Time","50","0.328055562254835","0.245417974200901","0.410693150308769","3"
"Paid","1984","Berlin","Part Time","14","","","","3"
"Paid","1984","Berlin","Not Working","2","","","","3"
"Paid","1984","Brandenburg","Full Time","","","","","3"
"Paid","1984","Mecklenburg-Western Pomerania","Part Time","","","","","3"
"Paid","1984","Mecklenburg-Western Pomerania","Not Working","","","","","3"
"Paid","1984","Saxony","Not Working","","","","","3"
"Paid","1984","Saxony-Anhalt","Full Time","","","","","3"
"Paid","1984","Saxony-Anhalt","Part Time","","","","","3"
"Paid","1984","Saxony-Anhalt","Not Working","","","","","3"
"Paid","1984","Bremen","Full Time","17","","","","3"
"Paid","1984","Bremen","Part Time","4","","","","3"
"Paid","1984","Thuringia","Full Time","","","","","3"
"Paid","1984","Thuringia","Part Time","","","","","3"
"Paid","1984","Thuringia","Not Working","","","","","3"
"Partly, partly","1984","Lower Saxony","Not Working","","","","","2"
"Partly, partly","1984","Hamburg","Full Time","9","","","","2"
"Partly, partly","1984","Schleswig-Holstein","Full Time","10","","","","2"
"Partly, partly","1984","Schleswig-Holstein","Part Time","5","","","","2"
"Partly, partly","1984","North Rhine-Westphalia","Part Time","25","","","","2"
"Partly, partly","1984","Hamburg","Part Time","2","","","","2"
"Partly, partly","1984","Schleswig-Holstein","Not Working","","","","","2"
"Partly, partly","1984","Lower Saxony","Part Time","7","","","","2"
"Partly, partly","1984","Lower Saxony","Full Time","43","0.12612690431975","0.0910947701024308","0.161159038537068","2"
"Partly, partly","1984","North Rhine-Westphalia","Full Time","97","0.115869173817943","0.0952763300535049","0.136462017582381","2"
"Partly, partly","1984","Hamburg","Not Working","","","","","2"
"Partly, partly","1984","Hesse","Not Working","","","","","2"
"Partly, partly","1984","Rhineland-Palatinate,Saarland","Full Time","21","","","","2"
"Partly, partly","1984","Rhineland-Palatinate,Saarland","Not Working","","","","","2"
"Partly, partly","1984","Saxony-Anhalt","Not Working","","","","","2"
"Partly, partly","1984","Bremen","Full Time","1","","","","2"
"Partly, partly","1984","North Rhine-Westphalia","Not Working","2","","","","2"
"Partly, partly","1984","Hesse","Part Time","7","","","","2"
"Partly, partly","1984","Thuringia","Full Time","","","","","2"
"Partly, partly","1984","Bremen","Part Time","","","","","2"
"Partly, partly","1984","Bremen","Not Working","","","","","2"
"Partly, partly","1984","Thuringia","Not Working","","","","","2"
"Partly, partly","1984","Hesse","Full Time","41","0.104198734287165","0.0735612242018241","0.134836244372505","2"
"Partly, partly","1984","Rhineland-Palatinate,Saarland","Part Time","2","","","","2"
"Partly, partly","1984","Baden-Württemberg","Full Time","67","0.104269911098515","0.0814171959859577","0.127122626211073","2"
"Partly, partly","1984","Baden-Württemberg","Part Time","10","","","","2"
"Partly, partly","1984","Bavaria","Part Time","13","","","","2"
"Partly, partly","1984","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"Partly, partly","1984","Saxony","Full Time","","","","","2"
"Partly, partly","1984","Saxony","Part Time","","","","","2"
"Partly, partly","1984","Saxony","Not Working","","","","","2"
"Partly, partly","1984","Saxony-Anhalt","Full Time","","","","","2"
"Partly, partly","1984","Saxony-Anhalt","Part Time","","","","","2"
"Partly, partly","1984","Thuringia","Part Time","","","","","2"
"Partly, partly","1984","Baden-Württemberg","Not Working","","","","","2"
"Partly, partly","1984","Bavaria","Full Time","82","0.136778724084368","0.109775026185365","0.163782421983371","2"
"Partly, partly","1984","Bavaria","Not Working","4","","","","2"
"Partly, partly","1984","Berlin","Not Working","","","","","2"
"Partly, partly","1984","Brandenburg","Full Time","","","","","2"
"Partly, partly","1984","Brandenburg","Part Time","","","","","2"
"Partly, partly","1984","Brandenburg","Not Working","","","","","2"
"Partly, partly","1984","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"Partly, partly","1984","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"Partly, partly","1984","Berlin","Full Time","12","","","","2"
"Partly, partly","1984","Berlin","Part Time","2","","","","2"
"Acclaimed","1985","Schleswig-Holstein","Full Time","28","","","","1"
"Acclaimed","1985","Schleswig-Holstein","Part Time","10","","","","1"
"Acclaimed","1985","Schleswig-Holstein","Not Working","","","","","1"
"Acclaimed","1985","Hamburg","Full Time","20","","","","1"
"Acclaimed","1985","Hamburg","Part Time","8","","","","1"
"Acclaimed","1985","Hamburg","Not Working","1","","","","1"
"Acclaimed","1985","Lower Saxony","Full Time","86","0.291208060496456","0.23962572047346","0.342790400519452","1"
"Acclaimed","1985","Lower Saxony","Part Time","25","","","","1"
"Acclaimed","1985","Lower Saxony","Not Working","","","","","1"
"Acclaimed","1985","Bremen","Full Time","3","","","","1"
"Acclaimed","1985","Bremen","Part Time","2","","","","1"
"Acclaimed","1985","Bremen","Not Working","","","","","1"
"Acclaimed","1985","North Rhine-Westphalia","Full Time","160","0.238717479371154","0.208819790832571","0.268615167909736","1"
"Acclaimed","1985","North Rhine-Westphalia","Part Time","52","0.317919910442001","0.25239238376182","0.383447437122183","1"
"Acclaimed","1985","North Rhine-Westphalia","Not Working","4","","","","1"
"Acclaimed","1985","Hesse","Full Time","77","0.289642915001731","0.239866620588302","0.339419209415159","1"
"Acclaimed","1985","Hesse","Part Time","17","","","","1"
"Acclaimed","1985","Hesse","Not Working","2","","","","1"
"Acclaimed","1985","Rhineland-Palatinate,Saarland","Full Time","39","0.256294634756381","0.191237451769638","0.321351817743125","1"
"Acclaimed","1985","Rhineland-Palatinate,Saarland","Part Time","5","","","","1"
"Acclaimed","1985","Rhineland-Palatinate,Saarland","Not Working","1","","","","1"
"Acclaimed","1985","Baden-Württemberg","Full Time","98","0.20629321034184","0.172749221725926","0.239837198957754","1"
"Acclaimed","1985","Baden-Württemberg","Part Time","32","0.270468412218351","0.194402028575869","0.346534795860834","1"
"Acclaimed","1985","Baden-Württemberg","Not Working","2","","","","1"
"Acclaimed","1985","Bavaria","Full Time","149","0.298985208453427","0.260155341275271","0.337815075631584","1"
"Acclaimed","1985","Bavaria","Part Time","41","0.271769668854882","0.199853871825429","0.343685465884334","1"
"Acclaimed","1985","Bavaria","Not Working","2","","","","1"
"Acclaimed","1985","Berlin","Full Time","31","0.371179881330219","0.270240140959721","0.472119621700718","1"
"Acclaimed","1985","Berlin","Part Time","9","","","","1"
"Acclaimed","1985","Berlin","Not Working","","","","","1"
"Acclaimed","1985","Brandenburg","Full Time","","","","","1"
"Acclaimed","1985","Brandenburg","Part Time","","","","","1"
"Acclaimed","1985","Brandenburg","Not Working","","","","","1"
"Acclaimed","1985","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Acclaimed","1985","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Acclaimed","1985","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Acclaimed","1985","Saxony","Full Time","","","","","1"
"Acclaimed","1985","Saxony","Part Time","","","","","1"
"Acclaimed","1985","Saxony","Not Working","","","","","1"
"Acclaimed","1985","Saxony-Anhalt","Full Time","","","","","1"
"Acclaimed","1985","Saxony-Anhalt","Part Time","","","","","1"
"Acclaimed","1985","Saxony-Anhalt","Not Working","","","","","1"
"Acclaimed","1985","Thuringia","Full Time","","","","","1"
"Acclaimed","1985","Thuringia","Part Time","","","","","1"
"Acclaimed","1985","Thuringia","Not Working","","","","","1"
"Not paid","1985","North Rhine-Westphalia","Not Working","6","","","","4"
"Not paid","1985","Hesse","Part Time","12","","","","4"
"Not paid","1985","Hesse","Not Working","1","","","","4"
"Not paid","1985","Rhineland-Palatinate,Saarland","Full Time","43","0.258590662303886","0.193343671853826","0.323837652753946","4"
"Not paid","1985","Bremen","Not Working","","","","","4"
"Not paid","1985","North Rhine-Westphalia","Full Time","193","0.289574053597477","0.25776419019655","0.321383916998404","4"
"Not paid","1985","North Rhine-Westphalia","Part Time","43","0.241681555649196","0.181440192637392","0.301922918661","4"
"Not paid","1985","Hesse","Full Time","85","0.305964625434473","0.255396231359756","0.356533019509189","4"
"Not paid","1985","Hamburg","Not Working","","","","","4"
"Not paid","1985","Lower Saxony","Not Working","","","","","4"
"Not paid","1985","Bremen","Full Time","3","","","","4"
"Not paid","1985","Bremen","Part Time","1","","","","4"
"Not paid","1985","Schleswig-Holstein","Full Time","22","","","","4"
"Not paid","1985","Schleswig-Holstein","Part Time","2","","","","4"
"Not paid","1985","Schleswig-Holstein","Not Working","","","","","4"
"Not paid","1985","Hamburg","Full Time","22","","","","4"
"Not paid","1985","Hamburg","Part Time","1","","","","4"
"Not paid","1985","Lower Saxony","Full Time","88","0.309108420342532","0.256639717596141","0.361577123088923","4"
"Not paid","1985","Lower Saxony","Part Time","11","","","","4"
"Not paid","1985","Rhineland-Palatinate,Saarland","Part Time","9","","","","4"
"Not paid","1985","Rhineland-Palatinate,Saarland","Not Working","","","","","4"
"Not paid","1985","Baden-Württemberg","Full Time","139","0.29646457973754","0.258605367124127","0.334323792350953","4"
"Not paid","1985","Baden-Württemberg","Part Time","25","","","","4"
"Not paid","1985","Baden-Württemberg","Not Working","3","","","","4"
"Not paid","1985","Bavaria","Full Time","154","0.319531861102634","0.27998259356667","0.359081128638598","4"
"Not paid","1985","Bavaria","Part Time","29","","","","4"
"Not paid","1985","Bavaria","Not Working","5","","","","4"
"Not paid","1985","Berlin","Full Time","20","","","","4"
"Not paid","1985","Berlin","Part Time","4","","","","4"
"Not paid","1985","Berlin","Not Working","","","","","4"
"Not paid","1985","Brandenburg","Full Time","","","","","4"
"Not paid","1985","Brandenburg","Part Time","","","","","4"
"Not paid","1985","Brandenburg","Not Working","","","","","4"
"Not paid","1985","Mecklenburg-Western Pomerania","Full Time","","","","","4"
"Not paid","1985","Mecklenburg-Western Pomerania","Part Time","","","","","4"
"Not paid","1985","Mecklenburg-Western Pomerania","Not Working","","","","","4"
"Not paid","1985","Saxony","Full Time","","","","","4"
"Not paid","1985","Saxony","Part Time","","","","","4"
"Not paid","1985","Saxony","Not Working","","","","","4"
"Not paid","1985","Saxony-Anhalt","Full Time","","","","","4"
"Not paid","1985","Saxony-Anhalt","Part Time","","","","","4"
"Not paid","1985","Saxony-Anhalt","Not Working","","","","","4"
"Not paid","1985","Thuringia","Full Time","","","","","4"
"Not paid","1985","Thuringia","Part Time","","","","","4"
"Not paid","1985","Thuringia","Not Working","","","","","4"
"Paid","1985","Schleswig-Holstein","Full Time","46","0.402742063890592","0.309375877813662","0.496108249967522","3"
"Paid","1985","Hesse","Not Working","1","","","","3"
"Paid","1985","Schleswig-Holstein","Part Time","19","","","","3"
"Paid","1985","Hamburg","Part Time","5","","","","3"
"Paid","1985","Rhineland-Palatinate,Saarland","Not Working","","","","","3"
"Paid","1985","Baden-Württemberg","Part Time","57","0.368456019016611","0.285850879105655","0.451061158927567","3"
"Paid","1985","Bremen","Not Working","","","","","3"
"Paid","1985","North Rhine-Westphalia","Not Working","6","","","","3"
"Paid","1985","Schleswig-Holstein","Not Working","1","","","","3"
"Paid","1985","Hesse","Part Time","23","","","","3"
"Paid","1985","Hamburg","Not Working","","","","","3"
"Paid","1985","Lower Saxony","Full Time","96","0.302187253361102","0.250050080390578","0.354324426331626","3"
"Paid","1985","Baden-Württemberg","Full Time","256","0.370278845658659","0.330249289099076","0.410308402218241","3"
"Paid","1985","Baden-Württemberg","Not Working","8","","","","3"
"Paid","1985","Bavaria","Full Time","170","0.261712499460011","0.224430220391305","0.298994778528717","3"
"Paid","1985","Bavaria","Part Time","59","0.385238189941329","0.306568483283711","0.463907896598947","3"
"Paid","1985","Rhineland-Palatinate,Saarland","Full Time","76","0.384577386552184","0.312083123985462","0.457071649118906","3"
"Paid","1985","Rhineland-Palatinate,Saarland","Part Time","13","","","","3"
"Paid","1985","Berlin","Not Working","1","","","","3"
"Paid","1985","Brandenburg","Full Time","","","","","3"
"Paid","1985","Brandenburg","Part Time","","","","","3"
"Paid","1985","Mecklenburg-Western Pomerania","Full Time","","","","","3"
"Paid","1985","Mecklenburg-Western Pomerania","Part Time","","","","","3"
"Paid","1985","Mecklenburg-Western Pomerania","Not Working","","","","","3"
"Paid","1985","Saxony","Full Time","","","","","3"
"Paid","1985","Saxony","Part Time","","","","","3"
"Paid","1985","Hamburg","Full Time","28","","","","3"
"Paid","1985","Saxony","Not Working","","","","","3"
"Paid","1985","Saxony-Anhalt","Full Time","","","","","3"
"Paid","1985","Brandenburg","Not Working","","","","","3"
"Paid","1985","North Rhine-Westphalia","Full Time","352","0.368056395453425","0.334232866309692","0.401879924597159","3"
"Paid","1985","Hesse","Full Time","121","0.278003335449791","0.228839546191498","0.327167124708084","3"
"Paid","1985","Berlin","Part Time","10","","","","3"
"Paid","1985","Lower Saxony","Part Time","26","","","","3"
"Paid","1985","Lower Saxony","Not Working","2","","","","3"
"Paid","1985","Bremen","Full Time","8","","","","3"
"Paid","1985","Bremen","Part Time","5","","","","3"
"Paid","1985","North Rhine-Westphalia","Part Time","75","0.311646137466495","0.246470696649942","0.376821578283049","3"
"Paid","1985","Bavaria","Not Working","3","","","","3"
"Paid","1985","Berlin","Full Time","26","","","","3"
"Paid","1985","Saxony-Anhalt","Part Time","","","","","3"
"Paid","1985","Saxony-Anhalt","Not Working","","","","","3"
"Paid","1985","Thuringia","Full Time","","","","","3"
"Paid","1985","Thuringia","Part Time","","","","","3"
"Paid","1985","Thuringia","Not Working","","","","","3"
"Partly, partly","1985","Hamburg","Part Time","1","","","","2"
"Partly, partly","1985","Bremen","Full Time","1","","","","2"
"Partly, partly","1985","Schleswig-Holstein","Full Time","10","","","","2"
"Partly, partly","1985","Hamburg","Full Time","10","","","","2"
"Partly, partly","1985","Hamburg","Not Working","","","","","2"
"Partly, partly","1985","Lower Saxony","Full Time","28","","","","2"
"Partly, partly","1985","Schleswig-Holstein","Not Working","","","","","2"
"Partly, partly","1985","Lower Saxony","Not Working","","","","","2"
"Partly, partly","1985","Schleswig-Holstein","Part Time","4","","","","2"
"Partly, partly","1985","Thuringia","Not Working","","","","","2"
"Partly, partly","1985","Lower Saxony","Part Time","3","","","","2"
"Partly, partly","1985","Bremen","Part Time","","","","","2"
"Partly, partly","1985","North Rhine-Westphalia","Part Time","24","","","","2"
"Partly, partly","1985","Hesse","Part Time","6","","","","2"
"Partly, partly","1985","Hesse","Not Working","","","","","2"
"Partly, partly","1985","Bremen","Not Working","","","","","2"
"Partly, partly","1985","North Rhine-Westphalia","Full Time","76","0.103652071577944","0.0822749180266345","0.125029225129253","2"
"Partly, partly","1985","Rhineland-Palatinate,Saarland","Full Time","15","","","","2"
"Partly, partly","1985","Rhineland-Palatinate,Saarland","Not Working","","","","","2"
"Partly, partly","1985","Baden-Württemberg","Full Time","66","0.126963364261961","0.0993640919010317","0.15456263662289","2"
"Partly, partly","1985","Baden-Württemberg","Part Time","17","","","","2"
"Partly, partly","1985","Saxony","Not Working","","","","","2"
"Partly, partly","1985","Saxony-Anhalt","Full Time","","","","","2"
"Partly, partly","1985","Saxony-Anhalt","Part Time","","","","","2"
"Partly, partly","1985","Saxony-Anhalt","Not Working","","","","","2"
"Partly, partly","1985","Thuringia","Full Time","","","","","2"
"Partly, partly","1985","Thuringia","Part Time","","","","","2"
"Partly, partly","1985","North Rhine-Westphalia","Not Working","","","","","2"
"Partly, partly","1985","Hesse","Full Time","36","0.126389124114006","0.0899249301813164","0.162853318046695","2"
"Partly, partly","1985","Rhineland-Palatinate,Saarland","Part Time","7","","","","2"
"Partly, partly","1985","Baden-Württemberg","Not Working","","","","","2"
"Partly, partly","1985","Bavaria","Part Time","18","","","","2"
"Partly, partly","1985","Bavaria","Not Working","2","","","","2"
"Partly, partly","1985","Brandenburg","Not Working","","","","","2"
"Partly, partly","1985","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"Partly, partly","1985","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"Partly, partly","1985","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"Partly, partly","1985","Saxony","Full Time","","","","","2"
"Partly, partly","1985","Saxony","Part Time","","","","","2"
"Partly, partly","1985","Bavaria","Full Time","61","0.119770430983927","0.09223129912975","0.147309562838105","2"
"Partly, partly","1985","Berlin","Full Time","11","","","","2"
"Partly, partly","1985","Berlin","Part Time","6","","","","2"
"Partly, partly","1985","Berlin","Not Working","1","","","","2"
"Partly, partly","1985","Brandenburg","Full Time","","","","","2"
"Partly, partly","1985","Brandenburg","Part Time","","","","","2"
"Acclaimed","1986","Schleswig-Holstein","Full Time","27","","","","1"
"Acclaimed","1986","Schleswig-Holstein","Part Time","12","","","","1"
"Acclaimed","1986","Schleswig-Holstein","Not Working","","","","","1"
"Acclaimed","1986","Hamburg","Full Time","16","","","","1"
"Acclaimed","1986","Hamburg","Part Time","8","","","","1"
"Acclaimed","1986","Hamburg","Not Working","","","","","1"
"Acclaimed","1986","Lower Saxony","Full Time","91","0.31388140197115","0.260098099960197","0.367664703982103","1"
"Acclaimed","1986","Lower Saxony","Part Time","36","0.40884888589677","0.308390812974056","0.509306958819483","1"
"Acclaimed","1986","Lower Saxony","Not Working","3","","","","1"
"Acclaimed","1986","Bremen","Full Time","3","","","","1"
"Acclaimed","1986","Bremen","Part Time","2","","","","1"
"Acclaimed","1986","Bremen","Not Working","","","","","1"
"Acclaimed","1986","North Rhine-Westphalia","Full Time","174","0.273582336761457","0.241698883902939","0.305465789619975","1"
"Acclaimed","1986","North Rhine-Westphalia","Part Time","37","0.281426098142339","0.205568495848983","0.357283700435696","1"
"Acclaimed","1986","North Rhine-Westphalia","Not Working","1","","","","1"
"Acclaimed","1986","Hesse","Full Time","76","0.337310939323187","0.281833538825159","0.392788339821216","1"
"Acclaimed","1986","Hesse","Part Time","24","","","","1"
"Acclaimed","1986","Hesse","Not Working","1","","","","1"
"Acclaimed","1986","Rhineland-Palatinate,Saarland","Full Time","41","0.249078844553088","0.185002952989641","0.313154736116535","1"
"Acclaimed","1986","Rhineland-Palatinate,Saarland","Part Time","11","","","","1"
"Acclaimed","1986","Rhineland-Palatinate,Saarland","Not Working","1","","","","1"
"Acclaimed","1986","Baden-Württemberg","Full Time","117","0.244377817719511","0.208882004201901","0.27987363123712","1"
"Acclaimed","1986","Baden-Württemberg","Part Time","30","0.33286382061945","0.246736742399818","0.418990898839083","1"
"Acclaimed","1986","Baden-Württemberg","Not Working","1","","","","1"
"Acclaimed","1986","Bavaria","Full Time","169","0.373505912808023","0.330499107259406","0.416512718356641","1"
"Acclaimed","1986","Bavaria","Part Time","47","0.397231906331172","0.307799202516951","0.486664610145394","1"
"Acclaimed","1986","Bavaria","Not Working","3","","","","1"
"Acclaimed","1986","Berlin","Full Time","27","","","","1"
"Acclaimed","1986","Berlin","Part Time","11","","","","1"
"Acclaimed","1986","Berlin","Not Working","","","","","1"
"Acclaimed","1986","Brandenburg","Full Time","","","","","1"
"Acclaimed","1986","Brandenburg","Part Time","","","","","1"
"Acclaimed","1986","Brandenburg","Not Working","","","","","1"
