"plb0195_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Partly, partly","1985","1-pers.-HH","East Germany","","","","","2"
"Partly, partly","1985","(Married) couple without C. ","West Germany","83","0.111596958750218","0.0890172160857977","0.134176701414639","2"
"Partly, partly","1985","(Married) couple without C. ","East Germany","","","","","2"
"Partly, partly","1985","Single parent ","West Germany","20","","","","2"
"Partly, partly","1985","Single parent ","East Germany","","","","","2"
"Partly, partly","1985","Couple + C. LE 16 ","East Germany","","","","","2"
"Partly, partly","1985","Couple + C. LE 16 ","West Germany","114","0.114094882439447","0.0948739956454644","0.133315769233429","2"
"Partly, partly","1985","Couple + C. LE and GT 16","East Germany","","","","","2"
"Partly, partly","1985","Couple + C. GT 16 ","West Germany","79","0.115518192485016","0.0922507455324525","0.138785639437579","2"
"Partly, partly","1985","Couple + C. LE and GT 16","West Germany","54","0.120427075752672","0.091491778193738","0.149362373311606","2"
"Partly, partly","1985","Couple + C. GT 16 ","East Germany","","","","","2"
"Acclaimed","1986","1-pers.-HH","West Germany","118","0.37597822996982","0.326081162090901","0.425875297848739","1"
"Acclaimed","1986","1-pers.-HH","East Germany","","","","","1"
"Acclaimed","1986","(Married) couple without C. ","West Germany","243","0.317834193164307","0.285093877387053","0.350574508941561","1"
"Acclaimed","1986","(Married) couple without C. ","East Germany","","","","","1"
"Acclaimed","1986","Single parent ","West Germany","47","0.319004640939674","0.246557691084208","0.39145159079514","1"
"Acclaimed","1986","Single parent ","East Germany","","","","","1"
"Acclaimed","1986","Couple + C. LE 16 ","West Germany","217","0.259915884289421","0.231952538119116","0.287879230459725","1"
"Acclaimed","1986","Couple + C. LE 16 ","East Germany","","","","","1"
"Acclaimed","1986","Couple + C. GT 16 ","West Germany","197","0.303001934756721","0.26863757874984","0.337366290763603","1"
"Acclaimed","1986","Couple + C. GT 16 ","East Germany","","","","","1"
"Acclaimed","1986","Couple + C. LE and GT 16","West Germany","99","0.279223969437232","0.236062068972212","0.322385869902252","1"
"Acclaimed","1986","Couple + C. LE and GT 16","East Germany","","","","","1"
"Not paid","1986","1-pers.-HH","West Germany","76","0.224100355973496","0.181144947296654","0.267055764650339","4"
"Not paid","1986","1-pers.-HH","East Germany","","","","","4"
"Not paid","1986","(Married) couple without C. ","West Germany","166","0.234784661911136","0.204981367309769","0.264587956512502","4"
"Not paid","1986","(Married) couple without C. ","East Germany","","","","","4"
"Not paid","1986","Single parent ","West Germany","29","","","","4"
"Not paid","1986","Single parent ","East Germany","","","","","4"
"Not paid","1986","Couple + C. LE 16 ","West Germany","173","0.211260381368127","0.18523434426743","0.237286418468824","4"
"Not paid","1986","Couple + C. LE 16 ","East Germany","","","","","4"
"Not paid","1986","Couple + C. GT 16 ","West Germany","127","0.194145631685686","0.164568107622768","0.223723155748603","4"
"Not paid","1986","Couple + C. GT 16 ","East Germany","","","","","4"
"Not paid","1986","Couple + C. LE and GT 16","West Germany","71","0.200251201012957","0.161748747455847","0.238753654570067","4"
"Not paid","1986","Couple + C. LE and GT 16","East Germany","","","","","4"
"Paid","1986","Single parent ","East Germany","","","","","3"
"Paid","1986","(Married) couple without C. ","West Germany","275","0.326617780828677","0.29364251420497","0.359593047452384","3"
"Paid","1986","1-pers.-HH","West Germany","125","0.271767918091756","0.225940245330464","0.317595590853048","3"
"Paid","1986","1-pers.-HH","East Germany","","","","","3"
"Paid","1986","Couple + C. LE 16 ","West Germany","456","0.422700538237204","0.39120499064981","0.454196085824597","3"
"Paid","1986","Couple + C. LE 16 ","East Germany","","","","","3"
"Paid","1986","(Married) couple without C. ","East Germany","","","","","3"
"Paid","1986","Single parent ","West Germany","69","0.417082389210272","0.340440880865688","0.493723897554856","3"
"Paid","1986","Couple + C. GT 16 ","East Germany","","","","","3"
"Paid","1986","Couple + C. GT 16 ","West Germany","279","0.366604258087641","0.33057079154944","0.402637724625842","3"
"Paid","1986","Couple + C. LE and GT 16","West Germany","204","0.420046978694781","0.372560563772057","0.467533393617504","3"
"Paid","1986","Couple + C. LE and GT 16","East Germany","","","","","3"
"Partly, partly","1986","1-pers.-HH","West Germany","43","0.128153495964927","0.0937201639647897","0.162586827965065","2"
"Partly, partly","1986","(Married) couple without C. ","East Germany","","","","","2"
"Partly, partly","1986","Single parent ","East Germany","","","","","2"
"Partly, partly","1986","1-pers.-HH","East Germany","","","","","2"
"Partly, partly","1986","(Married) couple without C. ","West Germany","93","0.12076336409588","0.0978516241717637","0.143675104019997","2"
"Partly, partly","1986","Single parent ","West Germany","14","","","","2"
"Partly, partly","1986","Couple + C. LE 16 ","West Germany","99","0.106123196105249","0.0864861490379287","0.125760243172569","2"
"Partly, partly","1986","Couple + C. LE 16 ","East Germany","","","","","2"
"Partly, partly","1986","Couple + C. GT 16 ","West Germany","84","0.136248175469952","0.110595683579091","0.161900667360813","2"
"Partly, partly","1986","Couple + C. GT 16 ","East Germany","","","","","2"
"Partly, partly","1986","Couple + C. LE and GT 16","East Germany","","","","","2"
"Partly, partly","1986","Couple + C. LE and GT 16","West Germany","41","0.100477850855031","0.0715533986904459","0.129402303019615","2"
"Acclaimed","1987","1-pers.-HH","West Germany","","","","","1"
"Acclaimed","1987","1-pers.-HH","East Germany","","","","","1"
"Acclaimed","1987","(Married) couple without C. ","West Germany","","","","","1"
"Acclaimed","1987","(Married) couple without C. ","East Germany","","","","","1"
"Acclaimed","1987","Single parent ","West Germany","","","","","1"
"Acclaimed","1987","Single parent ","East Germany","","","","","1"
"Acclaimed","1987","Couple + C. LE 16 ","West Germany","","","","","1"
"Acclaimed","1987","Couple + C. LE 16 ","East Germany","","","","","1"
"Acclaimed","1987","Couple + C. GT 16 ","West Germany","","","","","1"
"Acclaimed","1987","Couple + C. GT 16 ","East Germany","","","","","1"
"Acclaimed","1987","Couple + C. LE and GT 16","West Germany","","","","","1"
"Acclaimed","1987","Couple + C. LE and GT 16","East Germany","","","","","1"
"Not paid","1987","1-pers.-HH","West Germany","","","","","4"
"Not paid","1987","1-pers.-HH","East Germany","","","","","4"
"Not paid","1987","(Married) couple without C. ","East Germany","","","","","4"
"Not paid","1987","(Married) couple without C. ","West Germany","","","","","4"
"Not paid","1987","Single parent ","West Germany","","","","","4"
"Not paid","1987","Single parent ","East Germany","","","","","4"
"Not paid","1987","Couple + C. LE 16 ","West Germany","","","","","4"
"Not paid","1987","Couple + C. LE 16 ","East Germany","","","","","4"
"Not paid","1987","Couple + C. GT 16 ","West Germany","","","","","4"
"Not paid","1987","Couple + C. GT 16 ","East Germany","","","","","4"
"Not paid","1987","Couple + C. LE and GT 16","West Germany","","","","","4"
"Not paid","1987","Couple + C. LE and GT 16","East Germany","","","","","4"
"Paid","1987","(Married) couple without C. ","West Germany","","","","","3"
"Paid","1987","(Married) couple without C. ","East Germany","","","","","3"
"Paid","1987","Single parent ","West Germany","","","","","3"
"Paid","1987","Single parent ","East Germany","","","","","3"
"Paid","1987","Couple + C. LE 16 ","West Germany","","","","","3"
"Paid","1987","Couple + C. LE 16 ","East Germany","","","","","3"
"Paid","1987","1-pers.-HH","West Germany","","","","","3"
"Paid","1987","1-pers.-HH","East Germany","","","","","3"
"Paid","1987","Couple + C. GT 16 ","East Germany","","","","","3"
"Paid","1987","Couple + C. GT 16 ","West Germany","","","","","3"
"Paid","1987","Couple + C. LE and GT 16","West Germany","","","","","3"
"Paid","1987","Couple + C. LE and GT 16","East Germany","","","","","3"
"Partly, partly","1987","1-pers.-HH","West Germany","","","","","2"
"Partly, partly","1987","(Married) couple without C. ","East Germany","","","","","2"
"Partly, partly","1987","Single parent ","East Germany","","","","","2"
"Partly, partly","1987","Couple + C. LE 16 ","West Germany","","","","","2"
"Partly, partly","1987","Couple + C. LE 16 ","East Germany","","","","","2"
"Partly, partly","1987","1-pers.-HH","East Germany","","","","","2"
"Partly, partly","1987","(Married) couple without C. ","West Germany","","","","","2"
"Partly, partly","1987","Single parent ","West Germany","","","","","2"
"Partly, partly","1987","Couple + C. GT 16 ","East Germany","","","","","2"
"Partly, partly","1987","Couple + C. GT 16 ","West Germany","","","","","2"
"Partly, partly","1987","Couple + C. LE and GT 16","West Germany","","","","","2"
"Partly, partly","1987","Couple + C. LE and GT 16","East Germany","","","","","2"
"Acclaimed","1988","1-pers.-HH","West Germany","99","0.349614494892861","0.296011205513532","0.40321778427219","1"
"Acclaimed","1988","1-pers.-HH","East Germany","","","","","1"
"Acclaimed","1988","(Married) couple without C. ","West Germany","259","0.350748781734073","0.31728099088177","0.384216572586375","1"
"Acclaimed","1988","(Married) couple without C. ","East Germany","","","","","1"
"Acclaimed","1988","Single parent ","West Germany","65","0.395815434515831","0.322944185177404","0.468686683854257","1"
"Acclaimed","1988","Single parent ","East Germany","","","","","1"
"Acclaimed","1988","Couple + C. LE 16 ","West Germany","236","0.282437643218768","0.253704485423192","0.311170801014345","1"
"Acclaimed","1988","Couple + C. LE 16 ","East Germany","","","","","1"
"Acclaimed","1988","Couple + C. GT 16 ","West Germany","239","0.343179578560112","0.308995566826573","0.377363590293651","1"
"Acclaimed","1988","Couple + C. GT 16 ","East Germany","","","","","1"
"Acclaimed","1988","Couple + C. LE and GT 16","West Germany","83","0.262979956265443","0.217053629424802","0.308906283106084","1"
"Acclaimed","1988","Couple + C. LE and GT 16","East Germany","","","","","1"
"Not paid","1988","1-pers.-HH","West Germany","69","0.247395689324437","0.19889021966777","0.295901158981105","4"
"Not paid","1988","1-pers.-HH","East Germany","","","","","4"
"Not paid","1988","(Married) couple without C. ","East Germany","","","","","4"
"Not paid","1988","(Married) couple without C. ","West Germany","138","0.195971047851268","0.168132000146076","0.223810095556461","4"
"Not paid","1988","Single parent ","West Germany","19","","","","4"
"Not paid","1988","Single parent ","East Germany","","","","","4"
"Not paid","1988","Couple + C. LE 16 ","West Germany","165","0.21519085096608","0.188961582713249","0.24142011921891","4"
"Not paid","1988","Couple + C. LE 16 ","East Germany","","","","","4"
"Not paid","1988","Couple + C. GT 16 ","West Germany","124","0.17449506883094","0.147168166650336","0.201821971011544","4"
"Not paid","1988","Couple + C. GT 16 ","East Germany","","","","","4"
"Not paid","1988","Couple + C. LE and GT 16","West Germany","50","0.193720423832938","0.152492518227492","0.234948329438385","4"
"Not paid","1988","Couple + C. LE and GT 16","East Germany","","","","","4"
"Paid","1988","1-pers.-HH","West Germany","97","0.267457820766398","0.217700696967017","0.317214944565778","3"
"Paid","1988","1-pers.-HH","East Germany","","","","","3"
"Paid","1988","(Married) couple without C. ","West Germany","272","0.304172464075425","0.271907340886447","0.336437587264402","3"
"Paid","1988","(Married) couple without C. ","East Germany","","","","","3"
"Paid","1988","Single parent ","West Germany","69","0.38172034824514","0.309328415462096","0.454112281028183","3"
"Paid","1988","Single parent ","East Germany","","","","","3"
"Paid","1988","Couple + C. LE 16 ","West Germany","426","0.377826805523882","0.34688153555036","0.408772075497405","3"
"Paid","1988","Couple + C. LE 16 ","East Germany","","","","","3"
"Paid","1988","Couple + C. GT 16 ","West Germany","299","0.373376207825541","0.338549233356801","0.408203182294281","3"
"Paid","1988","Couple + C. GT 16 ","East Germany","","","","","3"
"Paid","1988","Couple + C. LE and GT 16","West Germany","185","0.441414934222409","0.389615035613368","0.49321483283145","3"
"Paid","1988","Couple + C. LE and GT 16","East Germany","","","","","3"
"Partly, partly","1988","1-pers.-HH","West Germany","39","0.135531995016304","0.0970545100774888","0.174009479955119","2"
"Partly, partly","1988","1-pers.-HH","East Germany","","","","","2"
"Partly, partly","1988","(Married) couple without C. ","West Germany","112","0.149107706339234","0.124126700890112","0.174088711788356","2"
"Partly, partly","1988","(Married) couple without C. ","East Germany","","","","","2"
"Partly, partly","1988","Single parent ","West Germany","20","","","","2"
"Partly, partly","1988","Single parent ","East Germany","","","","","2"
"Partly, partly","1988","Couple + C. LE 16 ","West Germany","116","0.12454470029127","0.103469492819843","0.145619907762696","2"
"Partly, partly","1988","Couple + C. LE 16 ","East Germany","","","","","2"
"Partly, partly","1988","Couple + C. GT 16 ","East Germany","","","","","2"
"Partly, partly","1988","Couple + C. LE and GT 16","East Germany","","","","","2"
"Partly, partly","1988","Couple + C. LE and GT 16","West Germany","35","0.10188468567921","0.0703287367696831","0.133440634588736","2"
"Partly, partly","1988","Couple + C. GT 16 ","West Germany","79","0.108949144783407","0.0865153808543076","0.131382908712507","2"
"Acclaimed","1989","1-pers.-HH","West Germany","134","0.378966251846145","0.329332977409018","0.428599526283272","1"
"Acclaimed","1989","1-pers.-HH","East Germany","","","","","1"
"Acclaimed","1989","(Married) couple without C. ","West Germany","272","0.34280710287716","0.31082299468212","0.3747912110722","1"
"Acclaimed","1989","(Married) couple without C. ","East Germany","","","","","1"
"Acclaimed","1989","Single parent ","West Germany","49","0.307491919953682","0.234845951372519","0.380137888534846","1"
"Acclaimed","1989","Single parent ","East Germany","","","","","1"
"Acclaimed","1989","Couple + C. LE 16 ","West Germany","235","0.264443672357105","0.236457180570347","0.292430164143864","1"
"Acclaimed","1989","Couple + C. LE 16 ","East Germany","","","","","1"
"Acclaimed","1989","Couple + C. GT 16 ","West Germany","237","0.321463288915046","0.289300185426434","0.353626392403657","1"
"Acclaimed","1989","Couple + C. GT 16 ","East Germany","","","","","1"
"Acclaimed","1989","Couple + C. LE and GT 16","West Germany","74","0.234439061835407","0.189274831745384","0.27960329192543","1"
"Acclaimed","1989","Couple + C. LE and GT 16","East Germany","","","","","1"
"Not paid","1989","1-pers.-HH","West Germany","67","0.208313955186254","0.166765896526901","0.249862013845607","4"
"Not paid","1989","1-pers.-HH","East Germany","","","","","4"
"Not paid","1989","(Married) couple without C. ","East Germany","","","","","4"
"Not paid","1989","(Married) couple without C. ","West Germany","150","0.197044749564621","0.170241280032507","0.223848219096736","4"
"Not paid","1989","Single parent ","West Germany","21","","","","4"
"Not paid","1989","Single parent ","East Germany","","","","","4"
"Not paid","1989","Couple + C. LE 16 ","West Germany","143","0.174689180277291","0.150594804658961","0.198783555895621","4"
"Not paid","1989","Couple + C. LE 16 ","East Germany","","","","","4"
"Not paid","1989","Couple + C. GT 16 ","West Germany","122","0.166042402848678","0.140416034103983","0.191668771593374","4"
"Not paid","1989","Couple + C. GT 16 ","East Germany","","","","","4"
"Not paid","1989","Couple + C. LE and GT 16","West Germany","47","0.203729243462687","0.160790749254899","0.246667737670474","4"
"Not paid","1989","Couple + C. LE and GT 16","East Germany","","","","","4"
"Paid","1989","1-pers.-HH","West Germany","117","0.273143309283762","0.227556967894699","0.318729650672825","3"
"Paid","1989","1-pers.-HH","East Germany","","","","","3"
"Paid","1989","(Married) couple without C. ","West Germany","293","0.30482162801478","0.273802190047143","0.335841065982418","3"
"Paid","1989","(Married) couple without C. ","East Germany","","","","","3"
"Paid","1989","Single parent ","West Germany","73","0.472348881698733","0.393755293110853","0.550942470286614","3"
"Paid","1989","Single parent ","East Germany","","","","","3"
"Paid","1989","Couple + C. LE 16 ","West Germany","441","0.397744700277017","0.366687205584444","0.42880219496959","3"
"Paid","1989","Couple + C. LE 16 ","East Germany","","","","","3"
"Paid","1989","Couple + C. GT 16 ","West Germany","331","0.363070346467775","0.32995367300851","0.396187019927041","3"
"Paid","1989","Couple + C. GT 16 ","East Germany","","","","","3"
"Paid","1989","Couple + C. LE and GT 16","West Germany","168","0.409580047116728","0.357154900999847","0.46200519323361","3"
"Paid","1989","Couple + C. LE and GT 16","East Germany","","","","","3"
"Partly, partly","1989","1-pers.-HH","West Germany","49","0.139576483683839","0.104121497438179","0.175031469929499","2"
"Partly, partly","1989","1-pers.-HH","East Germany","","","","","2"
"Partly, partly","1989","(Married) couple without C. ","West Germany","131","0.155326519543438","0.130918634759209","0.179734404327667","2"
"Partly, partly","1989","(Married) couple without C. ","East Germany","","","","","2"
"Partly, partly","1989","Single parent ","West Germany","12","","","","2"
"Partly, partly","1989","Single parent ","East Germany","","","","","2"
"Partly, partly","1989","Couple + C. LE 16 ","West Germany","135","0.163122447088587","0.139676826795558","0.186568067381615","2"
"Partly, partly","1989","Couple + C. LE 16 ","East Germany","","","","","2"
"Partly, partly","1989","Couple + C. GT 16 ","East Germany","","","","","2"
"Partly, partly","1989","Couple + C. GT 16 ","West Germany","120","0.149423961768501","0.124872787047074","0.173975136489928","2"
"Partly, partly","1989","Couple + C. LE and GT 16","East Germany","","","","","2"
"Partly, partly","1989","Couple + C. LE and GT 16","West Germany","49","0.152251647585178","0.113951167425515","0.190552127744841","2"
"Acclaimed","1990","1-pers.-HH","West Germany","131","0.379720227193496","0.328730329024979","0.430710125362013","1"
"Acclaimed","1990","1-pers.-HH","East Germany","","","","","1"
"Acclaimed","1990","(Married) couple without C. ","West Germany","310","0.377433053659966","0.345073132631611","0.409792974688321","1"
"Acclaimed","1990","(Married) couple without C. ","East Germany","","","","","1"
"Acclaimed","1990","Single parent ","West Germany","63","0.38228210327779","0.310489643666466","0.454074562889114","1"
"Acclaimed","1990","Single parent ","East Germany","","","","","1"
"Acclaimed","1990","Couple + C. LE 16 ","West Germany","230","0.268290392915221","0.239951215881226","0.296629569949215","1"
"Acclaimed","1990","Couple + C. LE 16 ","East Germany","","","","","1"
"Acclaimed","1990","Couple + C. GT 16 ","West Germany","238","0.337352704404934","0.304108121038986","0.370597287770883","1"
"Acclaimed","1990","Couple + C. GT 16 ","East Germany","","","","","1"
"Acclaimed","1990","Couple + C. LE and GT 16","West Germany","67","0.249224982460852","0.201607201455415","0.29684276346629","1"
"Acclaimed","1990","Couple + C. LE and GT 16","East Germany","","","","","1"
"Not paid","1990","(Married) couple without C. ","East Germany","","","","","4"
"Not paid","1990","1-pers.-HH","West Germany","57","0.186213345908165","0.145313737255","0.22711295456133","4"
"Not paid","1990","1-pers.-HH","East Germany","","","","","4"
"Not paid","1990","(Married) couple without C. ","West Germany","130","0.175467499243761","0.150075512020034","0.200859486467487","4"
"Not paid","1990","Single parent ","West Germany","19","","","","4"
"Not paid","1990","Single parent ","East Germany","","","","","4"
"Not paid","1990","Couple + C. LE 16 ","West Germany","134","0.174616584110451","0.150334502844804","0.198898665376099","4"
"Not paid","1990","Couple + C. LE 16 ","East Germany","","","","","4"
"Not paid","1990","Couple + C. GT 16 ","West Germany","119","0.173780015524305","0.147136879308165","0.200423151740445","4"
"Not paid","1990","Couple + C. GT 16 ","East Germany","","","","","4"
"Not paid","1990","Couple + C. LE and GT 16","West Germany","33","0.149393231845787","0.110151484419321","0.188634979272253","4"
"Not paid","1990","Couple + C. LE and GT 16","East Germany","","","","","4"
"Paid","1990","1-pers.-HH","West Germany","111","0.287204784790229","0.239667246046475","0.334742323533983","3"
"Paid","1990","1-pers.-HH","East Germany","","","","","3"
"Paid","1990","(Married) couple without C. ","West Germany","304","0.312477501970626","0.281535579592823","0.343419424348429","3"
"Paid","1990","(Married) couple without C. ","East Germany","","","","","3"
"Paid","1990","Single parent ","West Germany","77","0.420140286833759","0.347219660695141","0.493060912972376","3"
"Paid","1990","Single parent ","East Germany","","","","","3"
"Paid","1990","Couple + C. LE 16 ","West Germany","422","0.381180274840313","0.35011590281868","0.412244646861946","3"
"Paid","1990","Couple + C. LE 16 ","East Germany","","","","","3"
"Paid","1990","Couple + C. GT 16 ","West Germany","300","0.340722198508978","0.307397055426934","0.374047341591022","3"
"Paid","1990","Couple + C. GT 16 ","East Germany","","","","","3"
"Paid","1990","Couple + C. LE and GT 16","West Germany","165","0.458689694314982","0.403836604117675","0.513542784512289","3"
"Paid","1990","Couple + C. LE and GT 16","East Germany","","","","","3"
"Partly, partly","1990","1-pers.-HH","West Germany","49","0.14686164210811","0.109671966230642","0.184051317985578","2"
"Partly, partly","1990","1-pers.-HH","East Germany","","","","","2"
"Partly, partly","1990","(Married) couple without C. ","West Germany","118","0.134621945125647","0.111836614875433","0.157407275375862","2"
"Partly, partly","1990","(Married) couple without C. ","East Germany","","","","","2"
"Partly, partly","1990","Single parent ","West Germany","17","","","","2"
"Partly, partly","1990","Single parent ","East Germany","","","","","2"
"Partly, partly","1990","Couple + C. LE 16 ","West Germany","153","0.175912748134015","0.15155985575717","0.200265640510861","2"
"Partly, partly","1990","Couple + C. LE 16 ","East Germany","","","","","2"
"Partly, partly","1990","Couple + C. GT 16 ","East Germany","","","","","2"
"Partly, partly","1990","Couple + C. GT 16 ","West Germany","120","0.148145081561782","0.123166715960365","0.173123447163199","2"
