"plb0195_h","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Paid","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","10","","",""
"Paid","1984","Couple + C. GT 16 ","(3a) lower tertiary education","7","","",""
"Paid","1984","Couple + C. GT 16 ","(3b) higher tertiary education","2","","",""
"Paid","1984","Couple + C. LE and GT 16","(0) in school","","","",""
"Paid","1984","Couple + C. LE and GT 16","(1a) inadequately completed","43","0.675742784601783","0.55527535964551","0.796210209558057"
"Paid","1984","Couple + C. LE and GT 16","(1b) general elementary school","90","0.514152996152427","0.432235622083632","0.596070370221222"
"Paid","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","121","0.461366550821187","0.399323668890109","0.523409432752266"
"Paid","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","5","","",""
"Paid","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","15","","",""
"Paid","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","7","","",""
"Paid","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","5","","",""
"Paid","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","2","","",""
"Paid","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","2","","",""
"Not paid","1984","1-pers.-HH","(0) in school","","","",""
"Not paid","1984","1-pers.-HH","(1a) inadequately completed","3","","",""
"Not paid","1984","1-pers.-HH","(1b) general elementary school","4","","",""
"Not paid","1984","1-pers.-HH","(1c) basic vocational qualification","19","","",""
"Not paid","1984","1-pers.-HH","(2b) intermediate general qualification","1","","",""
"Not paid","1984","1-pers.-HH","(2a) intermediate vocational","19","","",""
"Not paid","1984","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Not paid","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","11","","",""
"Not paid","1984","1-pers.-HH","(3a) lower tertiary education","9","","",""
"Not paid","1984","1-pers.-HH","(3b) higher tertiary education","22","","",""
"Not paid","1984","(Married) couple without C. ","(0) in school","1","","",""
"Not paid","1984","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Not paid","1984","(Married) couple without C. ","(1b) general elementary school","13","","",""
"Not paid","1984","(Married) couple without C. ","(1c) basic vocational qualification","71","0.196259068064027","0.156220816837934","0.23629731929012"
"Not paid","1984","(Married) couple without C. ","(2b) intermediate general qualification","6","","",""
"Not paid","1984","(Married) couple without C. ","(2a) intermediate vocational","51","0.30796542275654","0.239567337694589","0.376363507818491"
"Not paid","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","1","","",""
"Not paid","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","19","","",""
"Not paid","1984","(Married) couple without C. ","(3a) lower tertiary education","20","","",""
"Not paid","1984","(Married) couple without C. ","(3b) higher tertiary education","35","0.585020558253994","0.462375204197371","0.707665912310617"
"Not paid","1984","Single parent ","(0) in school","","","",""
"Not paid","1984","Single parent ","(1a) inadequately completed","1","","",""
"Not paid","1984","Single parent ","(1b) general elementary school","8","","",""
"Not paid","1984","Single parent ","(1c) basic vocational qualification","13","","",""
"Not paid","1984","Single parent ","(2b) intermediate general qualification","3","","",""
"Not paid","1984","Single parent ","(2a) intermediate vocational","4","","",""
"Not paid","1984","Single parent ","(2c_gen) general maturity certificate","2","","",""
"Not paid","1984","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Not paid","1984","Single parent ","(3a) lower tertiary education","1","","",""
"Not paid","1984","Single parent ","(3b) higher tertiary education","2","","",""
"Not paid","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Not paid","1984","Couple + C. LE 16 ","(1a) inadequately completed","8","","",""
"Not paid","1984","Couple + C. LE 16 ","(1b) general elementary school","20","","",""
"Not paid","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","86","0.147863123181731","0.118773727822467","0.176952518540994"
"Not paid","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","1","","",""
"Not paid","1984","Couple + C. LE 16 ","(2a) intermediate vocational","62","0.328562526146216","0.262297978279017","0.394827074013416"
"Not paid","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","3","","",""
"Not paid","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","19","","",""
"Not paid","1984","Couple + C. LE 16 ","(3a) lower tertiary education","22","","",""
"Not paid","1984","Couple + C. LE 16 ","(3b) higher tertiary education","65","0.653412184737601","0.562819022773284","0.744005346701917"
"Not paid","1984","Couple + C. GT 16 ","(0) in school","","","",""
"Not paid","1984","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Not paid","1984","Couple + C. GT 16 ","(1b) general elementary school","31","0.266993476252273","0.186488385986816","0.34749856651773"
"Not paid","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","60","0.182176137736053","0.140593720820398","0.223758554651707"
"Not paid","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","6","","",""
"Not paid","1984","Couple + C. GT 16 ","(2a) intermediate vocational","25","","",""
"Not paid","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","4","","",""
"Not paid","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","6","","",""
"Not paid","1984","Couple + C. GT 16 ","(3a) lower tertiary education","8","","",""
"Not paid","1984","Couple + C. GT 16 ","(3b) higher tertiary education","19","","",""
"Not paid","1984","Couple + C. LE and GT 16","(0) in school","","","",""
"Not paid","1984","Couple + C. LE and GT 16","(1a) inadequately completed","3","","",""
"Not paid","1984","Couple + C. LE and GT 16","(1b) general elementary school","12","","",""
"Not paid","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","36","0.160202753132132","0.114552366350888","0.205853139913376"
"Not paid","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","5","","",""
"Not paid","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","21","","",""
"Not paid","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Not paid","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","4","","",""
"Not paid","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","8","","",""
"Not paid","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","19","","",""
"Acclaimed","1985","1-pers.-HH","(0) in school","","","",""
"Acclaimed","1985","1-pers.-HH","(1a) inadequately completed","1","","",""
"Acclaimed","1985","1-pers.-HH","(1b) general elementary school","11","","",""
"Acclaimed","1985","1-pers.-HH","(1c) basic vocational qualification","37","0.397103008293384","0.303064751838265","0.491141264748502"
"Acclaimed","1985","1-pers.-HH","(2b) intermediate general qualification","4","","",""
"Acclaimed","1985","1-pers.-HH","(2a) intermediate vocational","30","0.410134992610923","0.298819096108339","0.521450889113508"
"Acclaimed","1985","1-pers.-HH","(2c_gen) general maturity certificate","4","","",""
"Acclaimed","1985","1-pers.-HH","(2c_voc) vocational maturity certificate","18","","",""
"Acclaimed","1985","1-pers.-HH","(3a) lower tertiary education","3","","",""
"Acclaimed","1985","1-pers.-HH","(3b) higher tertiary education","8","","",""
"Acclaimed","1985","(Married) couple without C. ","(0) in school","","","",""
"Acclaimed","1985","(Married) couple without C. ","(1a) inadequately completed","1","","",""
"Acclaimed","1985","(Married) couple without C. ","(1b) general elementary school","22","","",""
"Acclaimed","1985","(Married) couple without C. ","(1c) basic vocational qualification","89","0.281656831287938","0.232602997249669","0.330710665326207"
"Acclaimed","1985","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Acclaimed","1985","(Married) couple without C. ","(2a) intermediate vocational","61","0.39528462062821","0.317814748105373","0.472754493151047"
"Acclaimed","1985","(Married) couple without C. ","(2c_gen) general maturity certificate","4","","",""
"Acclaimed","1985","(Married) couple without C. ","(2c_voc) vocational maturity certificate","14","","",""
"Acclaimed","1985","(Married) couple without C. ","(3a) lower tertiary education","12","","",""
"Acclaimed","1985","(Married) couple without C. ","(3b) higher tertiary education","7","","",""
"Acclaimed","1985","Single parent ","(0) in school","","","",""
"Acclaimed","1985","Single parent ","(1a) inadequately completed","","","",""
"Acclaimed","1985","Single parent ","(1b) general elementary school","9","","",""
"Acclaimed","1985","Single parent ","(1c) basic vocational qualification","19","","",""
"Acclaimed","1985","Single parent ","(2b) intermediate general qualification","4","","",""
"Acclaimed","1985","Single parent ","(2a) intermediate vocational","10","","",""
"Acclaimed","1985","Single parent ","(2c_gen) general maturity certificate","1","","",""
"Acclaimed","1985","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"Acclaimed","1985","Single parent ","(3a) lower tertiary education","","","",""
"Acclaimed","1985","Single parent ","(3b) higher tertiary education","3","","",""
"Acclaimed","1985","Couple + C. LE 16 ","(0) in school","","","",""
"Acclaimed","1985","Couple + C. LE 16 ","(1a) inadequately completed","6","","",""
"Acclaimed","1985","Couple + C. LE 16 ","(1b) general elementary school","16","","",""
"Acclaimed","1985","Couple + C. LE 16 ","(1c) basic vocational qualification","96","0.227472842099157","0.189247730847896","0.265697953350418"
"Acclaimed","1985","Couple + C. LE 16 ","(2b) intermediate general qualification","5","","",""
"Acclaimed","1985","Couple + C. LE 16 ","(2a) intermediate vocational","44","0.266537183227096","0.199478069661185","0.333596296793008"
"Acclaimed","1985","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"Acclaimed","1985","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","6","","",""
"Acclaimed","1985","Couple + C. LE 16 ","(3a) lower tertiary education","11","","",""
"Acclaimed","1985","Couple + C. LE 16 ","(3b) higher tertiary education","9","","",""
"Acclaimed","1985","Couple + C. GT 16 ","(0) in school","","","",""
"Acclaimed","1985","Couple + C. GT 16 ","(1a) inadequately completed","1","","",""
"Acclaimed","1985","Couple + C. GT 16 ","(1b) general elementary school","25","","",""
"Acclaimed","1985","Couple + C. GT 16 ","(1c) basic vocational qualification","78","0.250206430904937","0.201990857758453","0.298422004051421"
"Acclaimed","1985","Couple + C. GT 16 ","(2b) intermediate general qualification","17","","",""
"Acclaimed","1985","Couple + C. GT 16 ","(2a) intermediate vocational","50","0.414339971325795","0.326567846131125","0.502112096520464"
"Acclaimed","1985","Couple + C. GT 16 ","(2c_gen) general maturity certificate","9","","",""
"Acclaimed","1985","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","6","","",""
"Acclaimed","1985","Couple + C. GT 16 ","(3a) lower tertiary education","5","","",""
"Acclaimed","1985","Couple + C. GT 16 ","(3b) higher tertiary education","4","","",""
"Acclaimed","1985","Couple + C. LE and GT 16","(0) in school","","","",""
"Acclaimed","1985","Couple + C. LE and GT 16","(1a) inadequately completed","3","","",""
"Acclaimed","1985","Couple + C. LE and GT 16","(1b) general elementary school","12","","",""
"Acclaimed","1985","Couple + C. LE and GT 16","(1c) basic vocational qualification","37","0.173969445930222","0.123647851842005","0.224291040018439"
"Acclaimed","1985","Couple + C. LE and GT 16","(2b) intermediate general qualification","12","","",""
"Acclaimed","1985","Couple + C. LE and GT 16","(2a) intermediate vocational","17","","",""
"Acclaimed","1985","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","1","","",""
"Acclaimed","1985","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","2","","",""
"Acclaimed","1985","Couple + C. LE and GT 16","(3a) lower tertiary education","1","","",""
"Acclaimed","1985","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Partly, partly","1985","1-pers.-HH","(0) in school","","","",""
"Partly, partly","1985","1-pers.-HH","(1a) inadequately completed","1","","",""
"Partly, partly","1985","1-pers.-HH","(1b) general elementary school","3","","",""
"Partly, partly","1985","1-pers.-HH","(1c) basic vocational qualification","8","","",""
"Partly, partly","1985","1-pers.-HH","(2b) intermediate general qualification","1","","",""
"Partly, partly","1985","1-pers.-HH","(2a) intermediate vocational","13","","",""
"Partly, partly","1985","1-pers.-HH","(2c_gen) general maturity certificate","1","","",""
"Partly, partly","1985","1-pers.-HH","(2c_voc) vocational maturity certificate","5","","",""
"Partly, partly","1985","1-pers.-HH","(3a) lower tertiary education","2","","",""
"Partly, partly","1985","1-pers.-HH","(3b) higher tertiary education","6","","",""
"Partly, partly","1985","(Married) couple without C. ","(0) in school","","","",""
"Partly, partly","1985","(Married) couple without C. ","(1a) inadequately completed","2","","",""
"Partly, partly","1985","(Married) couple without C. ","(1b) general elementary school","9","","",""
"Partly, partly","1985","(Married) couple without C. ","(1c) basic vocational qualification","35","0.108691043517801","0.0747474479425627","0.142634639093039"
"Partly, partly","1985","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"Partly, partly","1985","(Married) couple without C. ","(2a) intermediate vocational","22","","",""
"Partly, partly","1985","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Partly, partly","1985","(Married) couple without C. ","(2c_voc) vocational maturity certificate","3","","",""
"Partly, partly","1985","(Married) couple without C. ","(3a) lower tertiary education","2","","",""
"Partly, partly","1985","(Married) couple without C. ","(3b) higher tertiary education","9","","",""
"Partly, partly","1985","Single parent ","(0) in school","","","",""
"Partly, partly","1985","Single parent ","(1a) inadequately completed","1","","",""
"Partly, partly","1985","Single parent ","(1b) general elementary school","6","","",""
"Partly, partly","1985","Single parent ","(1c) basic vocational qualification","6","","",""
"Partly, partly","1985","Single parent ","(2b) intermediate general qualification","1","","",""
"Partly, partly","1985","Single parent ","(2a) intermediate vocational","5","","",""
"Partly, partly","1985","Single parent ","(2c_gen) general maturity certificate","1","","",""
"Partly, partly","1985","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Partly, partly","1985","Single parent ","(3a) lower tertiary education","","","",""
"Partly, partly","1985","Single parent ","(3b) higher tertiary education","","","",""
"Partly, partly","1985","Couple + C. LE 16 ","(0) in school","","","",""
