"plb0195_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1985","35-65 y.","Employed","464","0.242121986055882","0.224094503540586","0.260149468571177","1"
"Acclaimed","1985","66 and older","Not Employed","","","","","1"
"Acclaimed","1985","66 and older","Employed","","","","","1"
"Not paid","1985","16-34 y.","Not Employed","6","","","","4"
"Not paid","1985","16-34 y.","Employed","285","0.205858019927489","0.185341832771","0.226374207083979","4"
"Not paid","1985","35-65 y.","Not Employed","8","","","","4"
"Not paid","1985","66 and older","Not Employed","1","","","","4"
"Not paid","1985","35-65 y.","Employed","614","0.320588127006956","0.300947353017601","0.340228900996312","4"
"Not paid","1985","66 and older","Employed","7","","","","4"
"Paid","1985","16-34 y.","Not Employed","17","","","","3"
"Paid","1985","16-34 y.","Employed","596","0.346543885292196","0.322397561910394","0.370690208673997","3"
"Paid","1985","35-65 y.","Not Employed","5","","","","3"
"Paid","1985","35-65 y.","Employed","874","0.331082907840153","0.311277999259713","0.350887816420593","3"
"Paid","1985","66 and older","Not Employed","","","","","3"
"Paid","1985","66 and older","Employed","1","","","","3"
"Partly, partly","1985","16-34 y.","Employed","183","0.131419077032168","0.114275634769954","0.148562519294382","2"
"Partly, partly","1985","16-34 y.","Not Employed","3","","","","2"
"Partly, partly","1985","35-65 y.","Employed","217","0.106206979097009","0.0932407609897832","0.119173197204235","2"
"Partly, partly","1985","35-65 y.","Not Employed","","","","","2"
"Partly, partly","1985","66 and older","Not Employed","","","","","2"
"Partly, partly","1985","66 and older","Employed","","","","","2"
"Acclaimed","1986","16-34 y.","Not Employed","10","","","","1"
"Acclaimed","1986","16-34 y.","Employed","453","0.332180419305735","0.308361079864129","0.35599975874734","1"
"Acclaimed","1986","35-65 y.","Not Employed","","","","","1"
"Acclaimed","1986","35-65 y.","Employed","506","0.29073506621995","0.270677502275824","0.310792630164077","1"
"Acclaimed","1986","66 and older","Not Employed","","","","","1"
"Acclaimed","1986","66 and older","Employed","","","","","1"
"Not paid","1986","16-34 y.","Not Employed","9","","","","4"
"Not paid","1986","16-34 y.","Employed","230","0.159963400031319","0.141424987500724","0.178501812561914","4"
"Not paid","1986","35-65 y.","Not Employed","2","","","","4"
"Not paid","1986","66 and older","Not Employed","","","","","4"
"Not paid","1986","35-65 y.","Employed","419","0.243885294292995","0.224917716129884","0.262852872456107","4"
"Not paid","1986","66 and older","Employed","1","","","","4"
"Paid","1986","16-34 y.","Not Employed","18","","","","3"
"Paid","1986","16-34 y.","Employed","621","0.362964584246075","0.33864662988111","0.38728253861104","3"
"Paid","1986","35-65 y.","Employed","852","0.365249776320581","0.343982021571547","0.386517531069615","3"
"Paid","1986","35-65 y.","Not Employed","5","","","","3"
"Paid","1986","66 and older","Not Employed","","","","","3"
"Paid","1986","66 and older","Employed","2","","","","3"
"Partly, partly","1986","16-34 y.","Not Employed","4","","","","2"
"Partly, partly","1986","35-65 y.","Employed","192","0.100129863166473","0.0868712846737281","0.113388441659219","2"
"Partly, partly","1986","16-34 y.","Employed","198","0.144891596416872","0.127090559097199","0.162692633736544","2"
"Partly, partly","1986","35-65 y.","Not Employed","1","","","","2"
"Partly, partly","1986","66 and older","Not Employed","","","","","2"
"Partly, partly","1986","66 and older","Employed","","","","","2"
"Acclaimed","1987","16-34 y.","Not Employed","","","","","1"
"Acclaimed","1987","16-34 y.","Employed","","","","","1"
"Acclaimed","1987","35-65 y.","Not Employed","","","","","1"
"Acclaimed","1987","35-65 y.","Employed","","","","","1"
"Acclaimed","1987","66 and older","Not Employed","","","","","1"
"Acclaimed","1987","66 and older","Employed","","","","","1"
"Not paid","1987","16-34 y.","Not Employed","","","","","4"
"Not paid","1987","16-34 y.","Employed","","","","","4"
"Not paid","1987","35-65 y.","Not Employed","","","","","4"
"Not paid","1987","35-65 y.","Employed","","","","","4"
"Not paid","1987","66 and older","Not Employed","","","","","4"
"Not paid","1987","66 and older","Employed","","","","","4"
"Paid","1987","16-34 y.","Not Employed","","","","","3"
"Paid","1987","16-34 y.","Employed","","","","","3"
"Paid","1987","35-65 y.","Employed","","","","","3"
"Paid","1987","35-65 y.","Not Employed","","","","","3"
"Paid","1987","66 and older","Not Employed","","","","","3"
"Paid","1987","66 and older","Employed","","","","","3"
"Partly, partly","1987","16-34 y.","Employed","","","","","2"
"Partly, partly","1987","35-65 y.","Not Employed","","","","","2"
"Partly, partly","1987","16-34 y.","Not Employed","","","","","2"
"Partly, partly","1987","35-65 y.","Employed","","","","","2"
"Partly, partly","1987","66 and older","Not Employed","","","","","2"
"Partly, partly","1987","66 and older","Employed","","","","","2"
"Acclaimed","1988","16-34 y.","Not Employed","10","","","","1"
"Acclaimed","1988","16-34 y.","Employed","480","0.347632903931536","0.323460728835916","0.371805079027155","1"
"Acclaimed","1988","35-65 y.","Not Employed","3","","","","1"
"Acclaimed","1988","35-65 y.","Employed","526","0.311782308774078","0.291126929185859","0.332437688362296","1"
"Acclaimed","1988","66 and older","Not Employed","","","","","1"
"Acclaimed","1988","66 and older","Employed","2","","","","1"
"Not paid","1988","16-34 y.","Not Employed","4","","","","4"
"Not paid","1988","16-34 y.","Employed","228","0.175741319289184","0.156422615869033","0.195060022709335","4"
"Not paid","1988","35-65 y.","Not Employed","3","","","","4"
"Not paid","1988","66 and older","Not Employed","","","","","4"
"Not paid","1988","35-65 y.","Employed","354","0.215130154473574","0.196807263540194","0.233453045406954","4"
"Not paid","1988","66 and older","Employed","2","","","","4"
"Paid","1988","16-34 y.","Employed","595","0.346232353139628","0.322083038753741","0.370381667525514","3"
"Paid","1988","16-34 y.","Not Employed","15","","","","3"
"Paid","1988","35-65 y.","Employed","823","0.348115212422306","0.326873405634287","0.369357019210325","3"
"Paid","1988","35-65 y.","Not Employed","5","","","","3"
"Paid","1988","66 and older","Not Employed","","","","","3"
"Paid","1988","66 and older","Employed","","","","","3"
"Partly, partly","1988","16-34 y.","Not Employed","2","","","","2"
"Partly, partly","1988","16-34 y.","Employed","188","0.130393423639653","0.113301201787049","0.147485645492256","2"
"Partly, partly","1988","35-65 y.","Employed","229","0.124972324330042","0.110226727742688","0.139717920917396","2"
"Partly, partly","1988","35-65 y.","Not Employed","","","","","2"
"Partly, partly","1988","66 and older","Not Employed","","","","","2"
"Partly, partly","1988","66 and older","Employed","1","","","","2"
"Acclaimed","1989","16-34 y.","Not Employed","5","","","","1"
"Acclaimed","1989","16-34 y.","Employed","503","0.339958296995905","0.316725893408823","0.363190700582987","1"
"Acclaimed","1989","35-65 y.","Not Employed","7","","","","1"
"Acclaimed","1989","35-65 y.","Employed","531","0.301027295643726","0.280989070574518","0.321065520712934","1"
"Acclaimed","1989","66 and older","Not Employed","","","","","1"
"Acclaimed","1989","66 and older","Employed","1","","","","1"
"Not paid","1989","16-34 y.","Not Employed","4","","","","4"
"Not paid","1989","16-34 y.","Employed","195","0.133535286251401","0.11685248045115","0.150218092051653","4"
"Not paid","1989","35-65 y.","Not Employed","2","","","","4"
"Not paid","1989","66 and older","Not Employed","","","","","4"
"Not paid","1989","35-65 y.","Employed","367","0.217600821536848","0.199576012935968","0.235625630137728","4"
"Not paid","1989","66 and older","Employed","4","","","","4"
"Paid","1989","16-34 y.","Not Employed","20","","","","3"
"Paid","1989","16-34 y.","Employed","652","0.364790494863457","0.341181587730797","0.388399401996117","3"
"Paid","1989","35-65 y.","Employed","840","0.341615003499558","0.320897632920937","0.362332374078179","3"
"Paid","1989","35-65 y.","Not Employed","3","","","","3"
"Paid","1989","66 and older","Not Employed","1","","","","3"
"Paid","1989","66 and older","Employed","1","","","","3"
"Partly, partly","1989","16-34 y.","Employed","247","0.161715921889237","0.14365800573745","0.179773838041023","2"
"Partly, partly","1989","16-34 y.","Not Employed","3","","","","2"
"Partly, partly","1989","35-65 y.","Not Employed","2","","","","2"
"Partly, partly","1989","35-65 y.","Employed","275","0.139756879319868","0.124609991638731","0.154903767001004","2"
"Partly, partly","1989","66 and older","Not Employed","","","","","2"
"Partly, partly","1989","66 and older","Employed","","","","","2"
"Acclaimed","1990","16-34 y.","Not Employed","7","","","","1"
"Acclaimed","1990","16-34 y.","Employed","508","0.342732325689567","0.319461683193632","0.366002968185503","1"
"Acclaimed","1990","35-65 y.","Not Employed","2","","","","1"
"Acclaimed","1990","35-65 y.","Employed","560","0.324424904907497","0.303824717769895","0.345025092045099","1"
"Acclaimed","1990","66 and older","Not Employed","","","","","1"
"Acclaimed","1990","66 and older","Employed","","","","","1"
"Not paid","1990","16-34 y.","Not Employed","1","","","","4"
"Not paid","1990","16-34 y.","Employed","173","0.128693934043102","0.112275788138701","0.145112079947503","4"
"Not paid","1990","66 and older","Not Employed","1","","","","4"
"Not paid","1990","35-65 y.","Not Employed","1","","","","4"
"Not paid","1990","35-65 y.","Employed","335","0.199420816793334","0.181838963611724","0.217002669974945","4"
"Not paid","1990","66 and older","Employed","2","","","","4"
"Paid","1990","16-34 y.","Employed","653","0.361815569576093","0.338255507437167","0.385375631715019","3"
"Paid","1990","16-34 y.","Not Employed","19","","","","3"
"Paid","1990","35-65 y.","Not Employed","3","","","","3"
"Paid","1990","35-65 y.","Employed","817","0.342341374057313","0.321462493384005","0.363220254730621","3"
"Paid","1990","66 and older","Not Employed","","","","","3"
"Paid","1990","66 and older","Employed","","","","","3"
"Partly, partly","1990","16-34 y.","Not Employed","3","","","","2"
"Partly, partly","1990","16-34 y.","Employed","264","0.166758170691238","0.148481848879825","0.185034492502651","2"
"Partly, partly","1990","35-65 y.","Employed","272","0.133812904241856","0.118832204134481","0.148793604349231","2"
"Partly, partly","1990","35-65 y.","Not Employed","","","","","2"
"Partly, partly","1990","66 and older","Not Employed","","","","","2"
"Partly, partly","1990","66 and older","Employed","","","","","2"
"Acclaimed","1991","16-34 y.","Not Employed","9","","","","1"
"Acclaimed","1991","16-34 y.","Employed","561","0.354566786864482","0.331691416673541","0.377442157055423","1"
"Acclaimed","1991","35-65 y.","Not Employed","3","","","","1"
"Acclaimed","1991","35-65 y.","Employed","589","0.304432980181997","0.284840114863608","0.324025845500386","1"
"Acclaimed","1991","66 and older","Not Employed","","","","","1"
"Acclaimed","1991","66 and older","Employed","2","","","","1"
"Not paid","1991","16-34 y.","Not Employed","4","","","","4"
"Not paid","1991","16-34 y.","Employed","169","0.119935826558858","0.104400331855765","0.135471321261951","4"
"Not paid","1991","35-65 y.","Not Employed","3","","","","4"
"Not paid","1991","66 and older","Not Employed","","","","","4"
"Not paid","1991","35-65 y.","Employed","325","0.191360806133193","0.174611897933187","0.208109714333199","4"
"Not paid","1991","66 and older","Employed","1","","","","4"
"Paid","1991","16-34 y.","Employed","683","0.363514319887094","0.34051322388835","0.386515415885838","3"
"Paid","1991","16-34 y.","Not Employed","28","","","","3"
"Paid","1991","35-65 y.","Not Employed","6","","","","3"
"Paid","1991","35-65 y.","Employed","904","0.365331750287238","0.34482958607235","0.385833914502126","3"
"Paid","1991","66 and older","Not Employed","","","","","3"
"Paid","1991","66 and older","Employed","","","","","3"
"Partly, partly","1991","16-34 y.","Employed","267","0.161983066689565","0.144365145792806","0.179600987586325","2"
"Partly, partly","1991","16-34 y.","Not Employed","6","","","","2"
"Partly, partly","1991","35-65 y.","Not Employed","1","","","","2"
"Partly, partly","1991","35-65 y.","Employed","301","0.138874463397572","0.124150421526441","0.153598505268704","2"
"Partly, partly","1991","66 and older","Not Employed","","","","","2"
"Partly, partly","1991","66 and older","Employed","","","","","2"
"Acclaimed","1992","16-34 y.","Not Employed","19","","","","1"
"Acclaimed","1992","16-34 y.","Employed","855","0.371523945119106","0.35192456114837","0.391123329089842","1"
"Acclaimed","1992","35-65 y.","Not Employed","6","","","","1"
"Acclaimed","1992","35-65 y.","Employed","972","0.334594025698925","0.317740329844392","0.351447721553458","1"
"Acclaimed","1992","66 and older","Not Employed","","","","","1"
"Acclaimed","1992","66 and older","Employed","","","","","1"
"Not paid","1992","16-34 y.","Not Employed","5","","","","4"
"Not paid","1992","16-34 y.","Employed","237","0.10875545704892","0.0961276301684766","0.121383283929364","4"
"Not paid","1992","35-65 y.","Not Employed","2","","","","4"
"Not paid","1992","35-65 y.","Employed","529","0.188999973173493","0.175015889341371","0.202984057005614","4"
"Not paid","1992","66 and older","Not Employed","","","","","4"
"Not paid","1992","66 and older","Employed","1","","","","4"
"Paid","1992","16-34 y.","Employed","839","0.334110758764144","0.314979177011209","0.35324234051708","3"
"Paid","1992","16-34 y.","Not Employed","9","","","","3"
"Paid","1992","35-65 y.","Employed","1029","0.321168733125046","0.304490875525037","0.337846590725054","3"
"Paid","1992","35-65 y.","Not Employed","6","","","","3"
"Paid","1992","66 and older","Not Employed","","","","","3"
"Paid","1992","66 and older","Employed","2","","","","3"
"Partly, partly","1992","16-34 y.","Not Employed","5","","","","2"
"Partly, partly","1992","16-34 y.","Employed","404","0.185609839067829","0.169840212661453","0.201379465474205","2"
"Partly, partly","1992","35-65 y.","Not Employed","3","","","","2"
"Partly, partly","1992","35-65 y.","Employed","481","0.155237268002537","0.142302516732966","0.168172019272108","2"
"Partly, partly","1992","66 and older","Not Employed","","","","","2"
"Partly, partly","1992","66 and older","Employed","1","","","","2"
"Acclaimed","1993","16-34 y.","Not Employed","19","","","","1"
"Acclaimed","1993","16-34 y.","Employed","828","0.369071986571415","0.349216694055239","0.388927279087591","1"
"Acclaimed","1993","35-65 y.","Not Employed","6","","","","1"
"Acclaimed","1993","35-65 y.","Employed","951","0.330128444161645","0.313095104923869","0.347161783399421","1"
"Acclaimed","1993","66 and older","Not Employed","","","","","1"
"Acclaimed","1993","66 and older","Employed","","","","","1"
"Not paid","1993","16-34 y.","Employed","251","0.129928467513838","0.116094062661595","0.143762872366082","4"
"Not paid","1993","16-34 y.","Not Employed","7","","","","4"
"Not paid","1993","35-65 y.","Not Employed","7","","","","4"
"Not paid","1993","35-65 y.","Employed","537","0.198089941499191","0.183653618276018","0.212526264722363","4"
"Not paid","1993","66 and older","Not Employed","","","","","4"
"Not paid","1993","66 and older","Employed","2","","","","4"
"Paid","1993","16-34 y.","Not Employed","19","","","","3"
"Paid","1993","16-34 y.","Employed","782","0.325398295109788","0.306120285302456","0.34467630491712","3"
"Paid","1993","35-65 y.","Not Employed","6","","","","3"
"Paid","1993","35-65 y.","Employed","956","0.313698156374154","0.29689170122818","0.330504611520128","3"
"Paid","1993","66 and older","Not Employed","","","","","3"
"Paid","1993","66 and older","Employed","3","","","","3"
"Partly, partly","1993","16-34 y.","Not Employed","9","","","","2"
"Partly, partly","1993","16-34 y.","Employed","408","0.175601250804958","0.159945881833109","0.191256619776808","2"
"Partly, partly","1993","35-65 y.","Employed","484","0.15808345796501","0.14486927579207","0.17129764013795","2"
"Partly, partly","1993","35-65 y.","Not Employed","1","","","","2"
"Partly, partly","1993","66 and older","Not Employed","","","","","2"
"Partly, partly","1993","66 and older","Employed","","","","","2"
"Acclaimed","1994","16-34 y.","Not Employed","15","","","","1"
"Acclaimed","1994","16-34 y.","Employed","853","0.393890989098551","0.373625031826793","0.414156946370309","1"
"Acclaimed","1994","35-65 y.","Not Employed","10","","","","1"
"Acclaimed","1994","35-65 y.","Employed","1048","0.359970686526356","0.342522147228722","0.377419225823991","1"
"Acclaimed","1994","66 and older","Not Employed","","","","","1"
"Acclaimed","1994","66 and older","Employed","1","","","","1"
"Not paid","1994","16-34 y.","Not Employed","6","","","","4"
"Not paid","1994","16-34 y.","Employed","260","0.124409769926784","0.110720464084906","0.138099075768663","4"
"Not paid","1994","35-65 y.","Not Employed","","","","","4"
"Not paid","1994","35-65 y.","Employed","531","0.194438779202258","0.1800519100526","0.208825648351915","4"
"Not paid","1994","66 and older","Not Employed","","","","","4"
"Not paid","1994","66 and older","Employed","","","","","4"
"Paid","1994","16-34 y.","Employed","704","0.29620696360667","0.277269411346578","0.315144515866761","3"
"Paid","1994","16-34 y.","Not Employed","17","","","","3"
"Paid","1994","35-65 y.","Employed","846","0.282627936784655","0.26625956996571","0.2989963036036","3"
"Paid","1994","35-65 y.","Not Employed","6","","","","3"
"Paid","1994","66 and older","Not Employed","","","","","3"
"Paid","1994","66 and older","Employed","","","","","3"
"Partly, partly","1994","16-34 y.","Employed","416","0.185492277367995","0.169370450635902","0.201614104100089","2"
"Partly, partly","1994","16-34 y.","Not Employed","5","","","","2"
"Partly, partly","1994","35-65 y.","Employed","482","0.162962597486731","0.149536741740424","0.176388453233039","2"
"Partly, partly","1994","35-65 y.","Not Employed","3","","","","2"
"Partly, partly","1994","66 and older","Not Employed","","","","","2"
"Partly, partly","1994","66 and older","Employed","","","","","2"
"Acclaimed","1995","16-34 y.","Not Employed","23","","","","1"
"Acclaimed","1995","16-34 y.","Employed","892","0.383151336280022","0.363474686585719","0.402827985974324","1"
"Acclaimed","1995","35-65 y.","Employed","1125","0.368680023778486","0.351705141450241","0.385654906106732","1"
"Acclaimed","1995","35-65 y.","Not Employed","9","","","","1"
"Acclaimed","1995","66 and older","Employed","1","","","","1"
"Acclaimed","1995","66 and older","Not Employed","","","","","1"
"Not paid","1995","16-34 y.","Employed","272","0.127525203757651","0.114024664203618","0.141025743311684","4"
"Not paid","1995","16-34 y.","Not Employed","9","","","","4"
"Not paid","1995","35-65 y.","Not Employed","1","","","","4"
"Not paid","1995","35-65 y.","Employed","537","0.192092401726822","0.178231447070032","0.205953356383612","4"
"Not paid","1995","66 and older","Not Employed","","","","","4"
"Not paid","1995","66 and older","Employed","","","","","4"
"Paid","1995","16-34 y.","Not Employed","21","","","","3"
"Paid","1995","16-34 y.","Employed","741","0.292704127284804","0.274288282218623","0.311119972350985","3"
"Paid","1995","35-65 y.","Not Employed","10","","","","3"
"Paid","1995","35-65 y.","Employed","904","0.272187232386999","0.25652690225717","0.287847562516829","3"
"Paid","1995","66 and older","Not Employed","","","","","3"
"Paid","1995","66 and older","Employed","4","","","","3"
"Partly, partly","1995","16-34 y.","Employed","440","0.196619332677523","0.18053324377112","0.212705421583927","2"
"Partly, partly","1995","16-34 y.","Not Employed","13","","","","2"
"Partly, partly","1995","35-65 y.","Not Employed","4","","","","2"
"Partly, partly","1995","35-65 y.","Employed","537","0.167040342107693","0.153915929581897","0.180164754633488","2"
"Partly, partly","1995","66 and older","Not Employed","","","","","2"
"Partly, partly","1995","66 and older","Employed","","","","","2"
"Acclaimed","1996","16-34 y.","Not Employed","16","","","","1"
"Acclaimed","1996","16-34 y.","Employed","951","0.427086528023569","0.406597398977964","0.447575657069173","1"
"Acclaimed","1996","35-65 y.","Employed","1232","0.408442534002556","0.39097209445032","0.425912973554792","1"
"Acclaimed","1996","35-65 y.","Not Employed","11","","","","1"
"Acclaimed","1996","66 and older","Employed","1","","","","1"
"Acclaimed","1996","66 and older","Not Employed","1","","","","1"
"Not paid","1996","16-34 y.","Not Employed","8","","","","4"
"Not paid","1996","16-34 y.","Employed","261","0.122927430962076","0.109326669894765","0.136528192029386","4"
"Not paid","1996","35-65 y.","Not Employed","2","","","","4"
"Not paid","1996","35-65 y.","Employed","523","0.187861264340017","0.173978574726032","0.201743953954002","4"
"Not paid","1996","66 and older","Not Employed","","","","","4"
"Not paid","1996","66 and older","Employed","1","","","","4"
"Paid","1996","16-34 y.","Employed","633","0.267191862797089","0.248863325834433","0.285520399759744","3"
"Paid","1996","16-34 y.","Not Employed","26","","","","3"
"Paid","1996","35-65 y.","Employed","809","0.24228341172562","0.227054982165474","0.257511841285766","3"
"Paid","1996","35-65 y.","Not Employed","2","","","","3"
"Paid","1996","66 and older","Not Employed","","","","","3"
"Paid","1996","66 and older","Employed","2","","","","3"
"Partly, partly","1996","16-34 y.","Employed","394","0.182794178217267","0.166785040150633","0.198803316283901","2"
"Partly, partly","1996","16-34 y.","Not Employed","8","","","","2"
"Partly, partly","1996","35-65 y.","Employed","477","0.161412789931807","0.14833654730597","0.174489032557643","2"
"Partly, partly","1996","35-65 y.","Not Employed","1","","","","2"
"Partly, partly","1996","66 and older","Not Employed","","","","","2"
"Partly, partly","1996","66 and older","Employed","","","","","2"
"Acclaimed","1997","16-34 y.","Not Employed","14","","","","1"
"Acclaimed","1997","16-34 y.","Employed","879","0.461971412950223","0.439837795561308","0.484105030339138","1"
"Acclaimed","1997","35-65 y.","Not Employed","6","","","","1"
"Acclaimed","1997","35-65 y.","Employed","1069","0.413705547406551","0.394822070961768","0.432589023851335","1"
"Acclaimed","1997","66 and older","Not Employed","","","","","1"
"Acclaimed","1997","66 and older","Employed","1","","","","1"
"Not paid","1997","16-34 y.","Not Employed","4","","","","4"
"Not paid","1997","16-34 y.","Employed","260","0.146580046065302","0.13087782834336","0.162282263787243","4"
"Not paid","1997","35-65 y.","Not Employed","2","","","","4"
"Not paid","1997","35-65 y.","Employed","515","0.220021525143147","0.204137803033594","0.2359052472527","4"
"Not paid","1997","66 and older","Not Employed","","","","","4"
"Not paid","1997","66 and older","Employed","1","","","","4"
"Paid","1997","16-34 y.","Not Employed","6","","","","3"
"Paid","1997","16-34 y.","Employed","378","0.176378906125938","0.159457781491695","0.193300030760181","3"
"Paid","1997","35-65 y.","Employed","492","0.166539485195741","0.152254509360739","0.180824461030743","3"
"Paid","1997","35-65 y.","Not Employed","1","","","","3"
"Paid","1997","66 and older","Not Employed","","","","","3"
"Paid","1997","66 and older","Employed","","","","","3"
"Partly, partly","1997","16-34 y.","Not Employed","5","","","","2"
"Partly, partly","1997","16-34 y.","Employed","432","0.215069634858538","0.196828691893184","0.233310577823891","2"
"Partly, partly","1997","35-65 y.","Not Employed","","","","","2"
"Partly, partly","1997","35-65 y.","Employed","537","0.19973344225456","0.184404184955066","0.215062699554055","2"
"Partly, partly","1997","66 and older","Not Employed","","","","","2"
"Partly, partly","1997","66 and older","Employed","","","","","2"
"Acclaimed","1998","16-34 y.","Not Employed","8","","","","1"
"Acclaimed","1998","16-34 y.","Employed","872","0.439028825991768","0.417397940107121","0.460659711876416","1"
"Acclaimed","1998","35-65 y.","Employed","1331","0.446060722662868","0.428129166271416","0.463992279054321","1"
"Acclaimed","1998","35-65 y.","Not Employed","7","","","","1"
"Acclaimed","1998","66 and older","Employed","2","","","","1"
"Acclaimed","1998","66 and older","Not Employed","","","","","1"
"Not paid","1998","16-34 y.","Not Employed","7","","","","4"
"Not paid","1998","16-34 y.","Employed","291","0.15298419370938","0.13729406328138","0.16867432413738","4"
"Not paid","1998","35-65 y.","Not Employed","5","","","","4"
"Not paid","1998","35-65 y.","Employed","547","0.196783607319445","0.182441906619609","0.211125308019281","4"
"Not paid","1998","66 and older","Not Employed","","","","","4"
"Not paid","1998","66 and older","Employed","2","","","","4"
"Paid","1998","16-34 y.","Employed","374","0.174065464647304","0.157538745941054","0.190592183353555","3"
"Paid","1998","16-34 y.","Not Employed","10","","","","3"
"Paid","1998","35-65 y.","Employed","487","0.161909533949648","0.148621168115698","0.175197899783597","3"
"Paid","1998","35-65 y.","Not Employed","4","","","","3"
"Paid","1998","66 and older","Not Employed","","","","","3"
"Paid","1998","66 and older","Employed","","","","","3"
"Partly, partly","1998","16-34 y.","Employed","485","0.233921515651547","0.215470119528738","0.252372911774356","2"
"Partly, partly","1998","16-34 y.","Not Employed","7","","","","2"
"Partly, partly","1998","35-65 y.","Not Employed","4","","","","2"
"Partly, partly","1998","35-65 y.","Employed","587","0.195246136068039","0.180946905345451","0.209545366790626","2"
"Partly, partly","1998","66 and older","Not Employed","","","","","2"
"Partly, partly","1998","66 and older","Employed","","","","","2"
"Acclaimed","1999","16-34 y.","Not Employed","14","","","","1"
"Acclaimed","1999","16-34 y.","Employed","863","0.450732160821513","0.428777036158832","0.472687285484195","1"
"Acclaimed","1999","35-65 y.","Employed","1322","0.452071962466524","0.434109070698651","0.470034854234396","1"
"Acclaimed","1999","35-65 y.","Not Employed","7","","","","1"
"Acclaimed","1999","66 and older","Employed","1","","","","1"
"Acclaimed","1999","66 and older","Not Employed","","","","","1"
"Not paid","1999","16-34 y.","Employed","280","0.149177469042411","0.133457356287954","0.164897581796868","4"
"Not paid","1999","16-34 y.","Not Employed","1","","","","4"
"Not paid","1999","35-65 y.","Not Employed","3","","","","4"
"Not paid","1999","35-65 y.","Employed","556","0.198864119498964","0.184458165885499","0.213270073112429","4"
"Not paid","1999","66 and older","Not Employed","","","","","4"
"Not paid","1999","66 and older","Employed","1","","","","4"
"Paid","1999","16-34 y.","Not Employed","5","","","","3"
"Paid","1999","16-34 y.","Employed","352","0.157754288269535","0.141670270678256","0.173838305860815","3"
"Paid","1999","35-65 y.","Employed","486","0.151618410436403","0.138673999488885","0.164562821383921","3"
"Paid","1999","35-65 y.","Not Employed","2","","","","3"
"Paid","1999","66 and older","Not Employed","","","","","3"
"Paid","1999","66 and older","Employed","3","","","","3"
"Partly, partly","1999","16-34 y.","Not Employed","4","","","","2"
"Partly, partly","1999","16-34 y.","Employed","478","0.24233608186654","0.223428678384711","0.261243485348369","2"
"Partly, partly","1999","35-65 y.","Employed","585","0.197445507598109","0.18307832543644","0.211812689759778","2"
"Partly, partly","1999","35-65 y.","Not Employed","1","","","","2"
"Partly, partly","1999","66 and older","Not Employed","","","","","2"
"Partly, partly","1999","66 and older","Employed","2","","","","2"
"Acclaimed","2000","16-34 y.","Not Employed","22","","","","1"
"Acclaimed","2000","16-34 y.","Employed","1349","0.488159222957303","0.469749398091733","0.506569047822873","1"
"Acclaimed","2000","35-65 y.","Not Employed","12","","","","1"
"Acclaimed","2000","35-65 y.","Employed","2514","0.466835842319567","0.453492226872559","0.480179457766574","1"
"Acclaimed","2000","66 and older","Employed","3","","","","1"
"Acclaimed","2000","66 and older","Not Employed","","","","","1"
"Not paid","2000","16-34 y.","Not Employed","6","","","","4"
"Not paid","2000","16-34 y.","Employed","407","0.137993559903433","0.125291149771142","0.150695970035723","4"
