"plb0195_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Not paid","1993","direct migration background","West Germany","59","0.122149146094225","0.0994720511381856","0.144826241050264","4"
"Not paid","1993","direct migration background","East Germany","5","","","","4"
"Not paid","1993","indirect migration background","West Germany","14","","","","4"
"Not paid","1993","indirect migration background","East Germany","","","","","4"
"Paid","1993","no migration background","West Germany","828","0.310375596539898","0.292846677678435","0.327904515401362","3"
"Paid","1993","no migration background","East Germany","418","0.265181305609084","0.243578634209555","0.286783977008613","3"
"Paid","1993","direct migration background","West Germany","449","0.474524052501888","0.439943066722001","0.509105038281774","3"
"Paid","1993","direct migration background","East Germany","9","","","","3"
"Paid","1993","indirect migration background","West Germany","60","0.393749573185832","0.316077951325704","0.47142119504596","3"
"Paid","1993","indirect migration background","East Germany","2","","","","3"
"Partly, partly","1993","no migration background","West Germany","455","0.163211604101419","0.149209658773066","0.177213549429773","2"
"Partly, partly","1993","no migration background","East Germany","289","0.177034555044705","0.15835503423176","0.195714075857649","2"
"Partly, partly","1993","direct migration background","East Germany","3","","","","2"
"Partly, partly","1993","direct migration background","West Germany","125","0.149921884027185","0.125199305409678","0.174644462644692","2"
"Partly, partly","1993","indirect migration background","West Germany","30","0.20155190988551","0.137777991864634","0.265325827906386","2"
"Partly, partly","1993","indirect migration background","East Germany","","","","","2"
"Acclaimed","1994","no migration background","West Germany","1041","0.38875639741805","0.370259405099416","0.407253389736683","1"
"Acclaimed","1994","no migration background","East Germany","619","0.374861711058725","0.351044921512612","0.398678500604838","1"
"Acclaimed","1994","direct migration background","West Germany","191","0.280878783895767","0.2481868735185","0.313570694273033","1"
"Acclaimed","1994","direct migration background","East Germany","19","","","","1"
"Acclaimed","1994","indirect migration background","West Germany","56","0.315018809097034","0.245597718298645","0.384439899895423","1"
"Acclaimed","1994","indirect migration background","East Germany","1","","","","1"
"Not paid","1994","no migration background","West Germany","408","0.166911136730683","0.152761558316977","0.181060715144389","4"
"Not paid","1994","no migration background","East Germany","310","0.190328800862488","0.171015067609202","0.209642534115775","4"
"Not paid","1994","direct migration background","West Germany","43","0.107446673229808","0.0849201921947514","0.129973154264865","4"
"Not paid","1994","direct migration background","East Germany","11","","","","4"
"Not paid","1994","indirect migration background","West Germany","24","","","","4"
"Not paid","1994","indirect migration background","East Germany","1","","","","4"
"Paid","1994","no migration background","East Germany","372","0.253504428978385","0.23210185430444","0.274907003652331","3"
"Paid","1994","no migration background","West Germany","733","0.271824029160366","0.254942286608824","0.288705771711908","3"
"Paid","1994","direct migration background","East Germany","10","","","","3"
"Paid","1994","direct migration background","West Germany","395","0.481050686655872","0.4447062726517","0.517395100660045","3"
"Paid","1994","indirect migration background","West Germany","62","0.394068409889251","0.321041743520268","0.467095076258234","3"
"Paid","1994","indirect migration background","East Germany","1","","","","3"
"Partly, partly","1994","no migration background","East Germany","286","0.181305059100401","0.162349978199354","0.200260140001448","2"
"Partly, partly","1994","no migration background","West Germany","486","0.172508436690902","0.158171969819933","0.18684490356187","2"
"Partly, partly","1994","direct migration background","East Germany","6","","","","2"
"Partly, partly","1994","direct migration background","West Germany","97","0.130623856218553","0.106110945108852","0.155136767328253","2"
"Partly, partly","1994","indirect migration background","West Germany","30","0.18995266705394","0.13133051418465","0.248574819923231","2"
"Partly, partly","1994","indirect migration background","East Germany","1","","","","2"
"Acclaimed","1995","no migration background","West Germany","1093","0.390019150085796","0.371968920741428","0.408069379430164","1"
"Acclaimed","1995","no migration background","East Germany","648","0.390101553285442","0.366095868289438","0.414107238281446","1"
"Acclaimed","1995","direct migration background","East Germany","20","","","","1"
"Acclaimed","1995","direct migration background","West Germany","216","0.258922056174887","0.230570304867807","0.287273807481966","1"
"Acclaimed","1995","indirect migration background","East Germany","6","","","","1"
"Acclaimed","1995","indirect migration background","West Germany","67","0.342113986822891","0.272999427188379","0.411228546457403","1"
"Not paid","1995","no migration background","East Germany","269","0.171910046582765","0.153341159025625","0.190478934139906","4"
"Not paid","1995","no migration background","West Germany","445","0.170528281543992","0.156610158951183","0.184446404136802","4"
"Not paid","1995","direct migration background","West Germany","69","0.124494459736751","0.103126262440464","0.145862657033037","4"
"Not paid","1995","direct migration background","East Germany","9","","","","4"
"Not paid","1995","indirect migration background","West Germany","26","","","","4"
"Not paid","1995","indirect migration background","East Germany","1","","","","4"
"Paid","1995","no migration background","West Germany","750","0.258435654248654","0.242235009701799","0.274636298795509","3"
"Paid","1995","no migration background","East Germany","359","0.241990317419822","0.220912148978873","0.263068485860771","3"
"Paid","1995","direct migration background","West Germany","500","0.490471195633388","0.458115216478194","0.522827174788582","3"
"Paid","1995","direct migration background","East Germany","9","","","","3"
"Paid","1995","indirect migration background","West Germany","60","0.311433856917233","0.243971028077292","0.378896685757173","3"
"Paid","1995","indirect migration background","East Germany","2","","","","3"
"Partly, partly","1995","no migration background","East Germany","310","0.19599808271197","0.176461394156349","0.215534771267591","2"
"Partly, partly","1995","no migration background","West Germany","517","0.181016914121557","0.166768100592328","0.195265727650786","2"
"Partly, partly","1995","direct migration background","West Germany","132","0.126112288454974","0.104625577448445","0.147598999461504","2"
"Partly, partly","1995","direct migration background","East Germany","6","","","","2"
"Partly, partly","1995","indirect migration background","West Germany","28","","","","2"
"Partly, partly","1995","indirect migration background","East Germany","1","","","","2"
"Acclaimed","1996","no migration background","West Germany","1197","0.42981999672903","0.411314104851556","0.448325888606504","1"
"Acclaimed","1996","no migration background","East Germany","657","0.40801489647107","0.383460900514777","0.432568892427362","1"
"Acclaimed","1996","direct migration background","East Germany","16","","","","1"
"Acclaimed","1996","direct migration background","West Germany","265","0.342209952785693","0.310086956395895","0.37433294917549","1"
"Acclaimed","1996","indirect migration background","East Germany","4","","","","1"
"Acclaimed","1996","indirect migration background","West Germany","73","0.427070486004068","0.35673545751004","0.497405514498097","1"
"Not paid","1996","no migration background","West Germany","421","0.163250291528769","0.149434190868858","0.17706639218868","4"
"Not paid","1996","no migration background","East Germany","284","0.187654674804824","0.168148198799331","0.207161150810316","4"
"Not paid","1996","direct migration background","West Germany","59","0.118030263773075","0.0961853863518577","0.139875141194293","4"
"Not paid","1996","direct migration background","East Germany","8","","","","4"
"Not paid","1996","indirect migration background","West Germany","22","","","","4"
"Not paid","1996","indirect migration background","East Germany","1","","","","4"
"Paid","1996","no migration background","East Germany","338","0.23134752266191","0.210279381315846","0.252415664007974","3"
"Paid","1996","no migration background","West Germany","674","0.233365835339587","0.21755432181943","0.249177348859743","3"
"Paid","1996","direct migration background","East Germany","9","","","","3"
"Paid","1996","direct migration background","West Germany","397","0.410352852571153","0.37704850647741","0.443657198664896","3"
"Paid","1996","indirect migration background","West Germany","54","0.271426248807928","0.208194677650056","0.3346578199658","3"
"Paid","1996","indirect migration background","East Germany","","","","","3"
"Partly, partly","1996","no migration background","East Germany","260","0.172982906062197","0.154086134255548","0.191879677868845","2"
"Partly, partly","1996","no migration background","West Germany","457","0.173563876402614","0.159406100373362","0.187721652431866","2"
"Partly, partly","1996","direct migration background","East Germany","4","","","","2"
"Partly, partly","1996","direct migration background","West Germany","117","0.129406930870079","0.106681482895088","0.152132378845071","2"
"Partly, partly","1996","indirect migration background","West Germany","41","0.200037593731954","0.143157292140023","0.256917895323884","2"
"Partly, partly","1996","indirect migration background","East Germany","1","","","","2"
"Acclaimed","1997","no migration background","West Germany","1031","0.442715525144349","0.422607466850509","0.46282358343819","1"
"Acclaimed","1997","no migration background","East Germany","590","0.421593243759552","0.395520485254279","0.447666002264825","1"
"Acclaimed","1997","direct migration background","West Germany","243","0.376303683830306","0.339089078193562","0.41351828946705","1"
"Acclaimed","1997","direct migration background","East Germany","12","","","","1"
"Acclaimed","1997","indirect migration background","West Germany","86","0.520111538973065","0.448696847454614","0.591526230491516","1"
"Acclaimed","1997","indirect migration background","East Germany","7","","","","1"
"Not paid","1997","no migration background","West Germany","412","0.192767897946582","0.176798598836117","0.208737197057047","4"
"Not paid","1997","no migration background","East Germany","270","0.205806088756286","0.184460120049323","0.227152057463249","4"
"Not paid","1997","direct migration background","West Germany","67","0.175355712272129","0.146144412396848","0.20456701214741","4"
"Not paid","1997","direct migration background","East Germany","8","","","","4"
"Not paid","1997","indirect migration background","West Germany","23","","","","4"
"Not paid","1997","indirect migration background","East Germany","2","","","","4"
"Paid","1997","no migration background","West Germany","416","0.157956553957903","0.143192508880051","0.172720599035755","3"
"Paid","1997","no migration background","East Germany","204","0.151424013094773","0.132497690986782","0.170350335202764","3"
"Paid","1997","direct migration background","East Germany","3","","","","3"
"Paid","1997","direct migration background","West Germany","215","0.265125941305202","0.231218878796015","0.299033003814389","3"
"Paid","1997","indirect migration background","West Germany","38","0.226472519418832","0.166643099004291","0.286301939833374","3"
"Paid","1997","indirect migration background","East Germany","1","","","","3"
"Partly, partly","1997","no migration background","West Germany","485","0.206560022951166","0.190171135864087","0.222948910038244","2"
"Partly, partly","1997","no migration background","East Germany","314","0.221176654389389","0.199263111149993","0.243090197628785","2"
"Partly, partly","1997","direct migration background","West Germany","126","0.183214662592364","0.153498571789973","0.212930753394754","2"
"Partly, partly","1997","direct migration background","East Germany","8","","","","2"
"Partly, partly","1997","indirect migration background","West Germany","41","0.164798532797188","0.111766110891188","0.217830954703188","2"
"Partly, partly","1997","indirect migration background","East Germany","","","","","2"
"Acclaimed","1998","no migration background","West Germany","1224","0.45396448834488","0.435278033887804","0.472650942801956","1"
"Acclaimed","1998","no migration background","East Germany","670","0.438889130530042","0.41368321389141","0.464095047168674","1"
"Acclaimed","1998","direct migration background","East Germany","13","","","","1"
"Acclaimed","1998","direct migration background","West Germany","233","0.370980528410443","0.332359978130483","0.409601078690402","1"
"Acclaimed","1998","indirect migration background","East Germany","4","","","","1"
"Acclaimed","1998","indirect migration background","West Germany","76","0.479012563075956","0.406033393743196","0.551991732408716","1"
"Not paid","1998","no migration background","West Germany","493","0.186578642786179","0.171957063877072","0.201200221695285","4"
"Not paid","1998","no migration background","East Germany","270","0.181019112495144","0.161462220326662","0.200576004663627","4"
"Not paid","1998","direct migration background","West Germany","61","0.160266517387029","0.130937130125976","0.189595904648081","4"
"Not paid","1998","direct migration background","East Germany","5","","","","4"
"Not paid","1998","indirect migration background","West Germany","23","","","","4"
"Not paid","1998","indirect migration background","East Germany","","","","","4"
"Paid","1998","no migration background","East Germany","205","0.14156568021391","0.123859158014155","0.159272202413666","3"
"Paid","1998","no migration background","West Germany","442","0.157380498488274","0.143712757709201","0.171048239267347","3"
"Paid","1998","direct migration background","East Germany","4","","","","3"
"Paid","1998","direct migration background","West Germany","185","0.268634341165796","0.233197181745268","0.304071500586324","3"
"Paid","1998","indirect migration background","West Germany","38","0.193591248843128","0.135870452361435","0.251312045324821","3"
"Paid","1998","indirect migration background","East Germany","1","","","","3"
"Partly, partly","1998","no migration background","East Germany","344","0.238526076760903","0.216879152760769","0.260173000761036","2"
"Partly, partly","1998","no migration background","West Germany","568","0.202076370380668","0.187005305079861","0.217147435681474","2"
"Partly, partly","1998","direct migration background","West Germany","122","0.200118613036733","0.168132063619322","0.232105162454143","2"
"Partly, partly","1998","direct migration background","East Germany","5","","","","2"
"Partly, partly","1998","indirect migration background","West Germany","43","0.202442252569443","0.143741524476282","0.261142980662603","2"
"Partly, partly","1998","indirect migration background","East Germany","1","","","","2"
"Acclaimed","1999","no migration background","West Germany","1222","0.456732157597185","0.437988213138488","0.475476102055883","1"
"Acclaimed","1999","no migration background","East Germany","673","0.44192841441817","0.416627387320926","0.467229441515413","1"
"Acclaimed","1999","direct migration background","East Germany","18","","","","1"
