"plb0195_h","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Not paid","1984","(0) in school","East Germany","","","",""
"Not paid","1984","(1a) inadequately completed","West Germany","15","","",""
"Not paid","1984","(1a) inadequately completed","East Germany","","","",""
"Not paid","1984","(1b) general elementary school","West Germany","102","0.169052657205812","0.14173290884397","0.196372405567654"
"Not paid","1984","(1b) general elementary school","East Germany","","","",""
"Not paid","1984","(1c) basic vocational qualification","West Germany","304","0.171460023206753","0.154205417815007","0.188714628598498"
"Not paid","1984","(1c) basic vocational qualification","East Germany","","","",""
"Not paid","1984","(2b) intermediate general qualification","West Germany","25","","",""
"Not paid","1984","(2b) intermediate general qualification","East Germany","","","",""
"Not paid","1984","(2a) intermediate vocational","West Germany","190","0.295183140965537","0.260463498560623","0.329902783370451"
"Not paid","1984","(2a) intermediate vocational","East Germany","","","",""
"Not paid","1984","(2c_gen) general maturity certificate","West Germany","11","","",""
"Not paid","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"Not paid","1984","(2c_voc) vocational maturity certificate","West Germany","63","0.351346790107215","0.286625192522696","0.416068387691735"
"Not paid","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Not paid","1984","(3a) lower tertiary education","West Germany","69","0.47647549788533","0.396548913513089","0.55640208225757"
"Not paid","1984","(3a) lower tertiary education","East Germany","","","",""
"Not paid","1984","(3b) higher tertiary education","West Germany","170","0.652062023401048","0.596171090356174","0.707952956445922"
"Not paid","1984","(3b) higher tertiary education","East Germany","","","",""
"Acclaimed","1985","(0) in school","West Germany","","","",""
"Acclaimed","1985","(0) in school","East Germany","","","",""
"Acclaimed","1985","(1a) inadequately completed","West Germany","13","","",""
"Acclaimed","1985","(1a) inadequately completed","East Germany","","","",""
"Acclaimed","1985","(1b) general elementary school","West Germany","99","0.213743470923071","0.179940690191405","0.247546251654738"
"Acclaimed","1985","(1b) general elementary school","East Germany","","","",""
"Acclaimed","1985","(1c) basic vocational qualification","West Germany","374","0.255580726941111","0.233907870739408","0.277253583142814"
"Acclaimed","1985","(1c) basic vocational qualification","East Germany","","","",""
"Acclaimed","1985","(2b) intermediate general qualification","West Germany","48","0.418091273803553","0.327547487435337","0.508635060171769"
"Acclaimed","1985","(2b) intermediate general qualification","East Germany","","","",""
"Acclaimed","1985","(2a) intermediate vocational","West Germany","221","0.359397459933562","0.321598086900877","0.397196832966247"
"Acclaimed","1985","(2a) intermediate vocational","East Germany","","","",""
"Acclaimed","1985","(2c_gen) general maturity certificate","West Germany","20","","",""
"Acclaimed","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"Acclaimed","1985","(2c_voc) vocational maturity certificate","West Germany","53","0.362387084404634","0.29034024327366","0.434433925535607"
"Acclaimed","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Acclaimed","1985","(3a) lower tertiary education","West Germany","33","0.237308950499457","0.165808295371703","0.30880960562721"
"Acclaimed","1985","(3a) lower tertiary education","East Germany","","","",""
"Acclaimed","1985","(3b) higher tertiary education","West Germany","34","0.137885710564643","0.0975015436853561","0.17826987744393"
"Acclaimed","1985","(3b) higher tertiary education","East Germany","","","",""
"Partly, partly","1985","(0) in school","West Germany","","","",""
"Partly, partly","1985","(0) in school","East Germany","","","",""
"Partly, partly","1985","(1a) inadequately completed","West Germany","12","","",""
"Partly, partly","1985","(1a) inadequately completed","East Germany","","","",""
"Partly, partly","1985","(1b) general elementary school","West Germany","53","0.113770163252443","0.0875876554622108","0.139952671042675"
"Partly, partly","1985","(1b) general elementary school","East Germany","","","",""
"Partly, partly","1985","(1c) basic vocational qualification","West Germany","171","0.111186831534677","0.0955670407655924","0.126806622303762"
"Partly, partly","1985","(1c) basic vocational qualification","East Germany","","","",""
"Partly, partly","1985","(2b) intermediate general qualification","West Germany","12","","",""
"Partly, partly","1985","(2b) intermediate general qualification","East Germany","","","",""
"Partly, partly","1985","(2a) intermediate vocational","West Germany","82","0.132721249547407","0.105994118056682","0.159448381038132"
"Partly, partly","1985","(2a) intermediate vocational","East Germany","","","",""
"Partly, partly","1985","(2c_gen) general maturity certificate","West Germany","4","","",""
"Partly, partly","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"Partly, partly","1985","(2c_voc) vocational maturity certificate","West Germany","15","","",""
"Partly, partly","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Partly, partly","1985","(3a) lower tertiary education","West Germany","15","","",""
"Partly, partly","1985","(3a) lower tertiary education","East Germany","","","",""
"Partly, partly","1985","(3b) higher tertiary education","West Germany","39","0.138999744513575","0.0984789719923152","0.179520517034834"
"Partly, partly","1985","(3b) higher tertiary education","East Germany","","","",""
"Paid","1985","(0) in school","West Germany","","","",""
"Paid","1985","(0) in school","East Germany","","","",""
"Paid","1985","(1a) inadequately completed","West Germany","151","0.710698655918794","0.646053622892392","0.775343688945196"
"Paid","1985","(1a) inadequately completed","East Germany","","","",""
"Paid","1985","(1b) general elementary school","West Germany","348","0.531770467803268","0.490625628016347","0.572915307590188"
"Paid","1985","(1b) general elementary school","East Germany","","","",""
"Paid","1985","(1c) basic vocational qualification","West Germany","695","0.419277338930827","0.394759715148848","0.443794962712807"
"Paid","1985","(1c) basic vocational qualification","East Germany","","","",""
"Paid","1985","(2b) intermediate general qualification","West Germany","28","","",""
"Paid","1985","(2b) intermediate general qualification","East Germany","","","",""
"Paid","1985","(2a) intermediate vocational","West Germany","130","0.193822054167969","0.162681967343835","0.224962140992103"
"Paid","1985","(2a) intermediate vocational","East Germany","","","",""
"Paid","1985","(2c_gen) general maturity certificate","West Germany","24","","",""
"Paid","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"Paid","1985","(2c_voc) vocational maturity certificate","West Germany","49","0.209083964042692","0.148133700331552","0.270034227753832"
"Paid","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Paid","1985","(3a) lower tertiary education","West Germany","19","","",""
"Paid","1985","(3a) lower tertiary education","East Germany","","","",""
"Paid","1985","(3b) higher tertiary education","West Germany","33","0.0914618984339906","0.0576973649382081","0.125226431929773"
"Paid","1985","(3b) higher tertiary education","East Germany","","","",""
"Not paid","1985","(0) in school","West Germany","1","","",""
"Not paid","1985","(0) in school","East Germany","","","",""
"Not paid","1985","(1a) inadequately completed","West Germany","13","","",""
"Not paid","1985","(1a) inadequately completed","East Germany","","","",""
"Not paid","1985","(1b) general elementary school","West Germany","65","0.140715898021218","0.112043511748943","0.169388284293493"
"Not paid","1985","(1b) general elementary school","East Germany","","","",""
"Not paid","1985","(1c) basic vocational qualification","West Germany","316","0.213955102593384","0.193578663284019","0.23433154190275"
"Not paid","1985","(1c) basic vocational qualification","East Germany","","","",""
"Not paid","1985","(2b) intermediate general qualification","West Germany","26","","",""
"Not paid","1985","(2b) intermediate general qualification","East Germany","","","",""
"Not paid","1985","(2a) intermediate vocational","West Germany","186","0.314059236351062","0.277495391456006","0.350623081246119"
"Not paid","1985","(2a) intermediate vocational","East Germany","","","",""
"Not paid","1985","(2c_gen) general maturity certificate","West Germany","10","","",""
"Not paid","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"Not paid","1985","(2c_voc) vocational maturity certificate","West Germany","54","0.354268103950525","0.282580810850563","0.425955397050488"
"Not paid","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Not paid","1985","(3a) lower tertiary education","West Germany","69","0.520684741922871","0.436723918417697","0.604645565428045"
"Not paid","1985","(3a) lower tertiary education","East Germany","","","",""
"Not paid","1985","(3b) higher tertiary education","West Germany","174","0.631652646487792","0.575154134179157","0.688151158796428"
"Not paid","1985","(3b) higher tertiary education","East Germany","","","",""
"Acclaimed","1986","(0) in school","West Germany","","","",""
"Acclaimed","1986","(0) in school","East Germany","","","",""
"Acclaimed","1986","(1a) inadequately completed","West Germany","22","","",""
"Acclaimed","1986","(1a) inadequately completed","East Germany","","","",""
"Acclaimed","1986","(1b) general elementary school","West Germany","104","0.230261943956923","0.195547802417227","0.264976085496619"
"Acclaimed","1986","(1b) general elementary school","East Germany","","","",""
"Acclaimed","1986","(1c) basic vocational qualification","West Germany","404","0.296794012386761","0.273239017460966","0.320349007312556"
"Acclaimed","1986","(1c) basic vocational qualification","East Germany","","","",""
"Acclaimed","1986","(2b) intermediate general qualification","West Germany","45","0.438706911002881","0.343336532376073","0.534077289629688"
"Acclaimed","1986","(2b) intermediate general qualification","East Germany","","","",""
"Acclaimed","1986","(2a) intermediate vocational","West Germany","235","0.416507472569309","0.376248202425518","0.4567667427131"
"Acclaimed","1986","(2a) intermediate vocational","East Germany","","","",""
"Acclaimed","1986","(2c_gen) general maturity certificate","West Germany","20","","",""
"Acclaimed","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"Acclaimed","1986","(2c_voc) vocational maturity certificate","West Germany","51","0.338245007638891","0.266703553880128","0.409786461397654"
"Acclaimed","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Acclaimed","1986","(3a) lower tertiary education","West Germany","39","0.300679584620657","0.218291447229117","0.383067722012196"
"Acclaimed","1986","(3a) lower tertiary education","East Germany","","","",""
"Acclaimed","1986","(3b) higher tertiary education","West Germany","38","0.165024895564735","0.117665779682694","0.212384011446777"
"Acclaimed","1986","(3b) higher tertiary education","East Germany","","","",""
"Partly, partly","1986","(0) in school","West Germany","1","","",""
"Partly, partly","1986","(0) in school","East Germany","","","",""
"Partly, partly","1986","(1a) inadequately completed","West Germany","13","","",""
"Partly, partly","1986","(1a) inadequately completed","East Germany","","","",""
"Partly, partly","1986","(1b) general elementary school","West Germany","46","0.0866871873430517","0.0634859525933188","0.109888422092785"
"Partly, partly","1986","(1b) general elementary school","East Germany","","","",""
"Partly, partly","1986","(1c) basic vocational qualification","West Germany","179","0.12976086008577","0.112434579972641","0.1470871401989"
"Partly, partly","1986","(1c) basic vocational qualification","East Germany","","","",""
"Partly, partly","1986","(2b) intermediate general qualification","West Germany","14","","",""
"Partly, partly","1986","(2b) intermediate general qualification","East Germany","","","",""
"Partly, partly","1986","(2a) intermediate vocational","West Germany","78","0.132197634798041","0.104537193374762","0.159858076221321"
"Partly, partly","1986","(2a) intermediate vocational","East Germany","","","",""
"Partly, partly","1986","(2c_gen) general maturity certificate","West Germany","9","","",""
"Partly, partly","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"Partly, partly","1986","(2c_voc) vocational maturity certificate","West Germany","19","","",""
"Partly, partly","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Partly, partly","1986","(3a) lower tertiary education","West Germany","12","","",""
"Partly, partly","1986","(3a) lower tertiary education","East Germany","","","",""
"Partly, partly","1986","(3b) higher tertiary education","West Germany","23","","",""
"Partly, partly","1986","(3b) higher tertiary education","East Germany","","","",""
"Paid","1986","(0) in school","West Germany","2","","",""
"Paid","1986","(0) in school","East Germany","","","",""
"Paid","1986","(1a) inadequately completed","West Germany","152","0.688194993804193","0.623010466208751","0.753379521399635"
"Paid","1986","(1a) inadequately completed","East Germany","","","",""
"Paid","1986","(1b) general elementary school","West Germany","359","0.576471449000393","0.535728344793916","0.617214553206869"
"Paid","1986","(1b) general elementary school","East Germany","","","",""
"Paid","1986","(1c) basic vocational qualification","West Germany","682","0.44633922727149","0.420708048877475","0.471970405665506"
"Paid","1986","(1c) basic vocational qualification","East Germany","","","",""
"Paid","1986","(2b) intermediate general qualification","West Germany","26","","",""
"Paid","1986","(2b) intermediate general qualification","East Germany","","","",""
"Paid","1986","(2a) intermediate vocational","West Germany","127","0.213021297258718","0.179584101200164","0.246458493317272"
"Paid","1986","(2a) intermediate vocational","East Germany","","","",""
"Paid","1986","(2c_gen) general maturity certificate","West Germany","27","","",""
"Paid","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"Paid","1986","(2c_voc) vocational maturity certificate","West Germany","55","0.264134456091216","0.197468330938372","0.33080058124406"
"Paid","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Paid","1986","(3a) lower tertiary education","West Germany","15","","",""
"Paid","1986","(3a) lower tertiary education","East Germany","","","",""
"Paid","1986","(3b) higher tertiary education","West Germany","30","0.103523199248142","0.0646562494328542","0.142390149063429"
"Paid","1986","(3b) higher tertiary education","East Germany","","","",""
"Not paid","1986","(0) in school","West Germany","","","",""
"Not paid","1986","(0) in school","East Germany","","","",""
"Not paid","1986","(1a) inadequately completed","West Germany","7","","",""
"Not paid","1986","(1a) inadequately completed","East Germany","","","",""
"Not paid","1986","(1b) general elementary school","West Germany","56","0.106579419699633","0.0811352362019878","0.132023603197277"
"Not paid","1986","(1b) general elementary school","East Germany","","","",""
"Not paid","1986","(1c) basic vocational qualification","West Germany","180","0.127105900255978","0.109931649408551","0.144280151103406"
"Not paid","1986","(1c) basic vocational qualification","East Germany","","","",""
"Not paid","1986","(2b) intermediate general qualification","West Germany","19","","",""
"Not paid","1986","(2b) intermediate general qualification","East Germany","","","",""
"Not paid","1986","(2a) intermediate vocational","West Germany","136","0.238273595373931","0.203482002431256","0.273065188316606"
"Not paid","1986","(2a) intermediate vocational","East Germany","","","",""
"Not paid","1986","(2c_gen) general maturity certificate","West Germany","18","","",""
"Not paid","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"Not paid","1986","(2c_voc) vocational maturity certificate","West Germany","43","0.275032294982442","0.207510399270062","0.342554190694821"
"Not paid","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Not paid","1986","(3a) lower tertiary education","West Germany","53","0.47139881595466","0.381711109156295","0.561086522753024"
"Not paid","1986","(3a) lower tertiary education","East Germany","","","",""
"Not paid","1986","(3b) higher tertiary education","West Germany","145","0.631703494129045","0.570164905954641","0.693242082303449"
"Not paid","1986","(3b) higher tertiary education","East Germany","","","",""
"Acclaimed","1987","(0) in school","West Germany","","","",""
"Acclaimed","1987","(0) in school","East Germany","","","",""
"Acclaimed","1987","(1a) inadequately completed","West Germany","","","",""
"Acclaimed","1987","(1a) inadequately completed","East Germany","","","",""
"Acclaimed","1987","(1b) general elementary school","West Germany","","","",""
"Acclaimed","1987","(1b) general elementary school","East Germany","","","",""
"Acclaimed","1987","(1c) basic vocational qualification","West Germany","","","",""
"Acclaimed","1987","(1c) basic vocational qualification","East Germany","","","",""
"Acclaimed","1987","(2b) intermediate general qualification","West Germany","","","",""
"Acclaimed","1987","(2b) intermediate general qualification","East Germany","","","",""
"Acclaimed","1987","(2a) intermediate vocational","West Germany","","","",""
"Acclaimed","1987","(2a) intermediate vocational","East Germany","","","",""
"Acclaimed","1987","(2c_gen) general maturity certificate","West Germany","","","",""
"Acclaimed","1987","(2c_gen) general maturity certificate","East Germany","","","",""
"Acclaimed","1987","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Acclaimed","1987","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Acclaimed","1987","(3a) lower tertiary education","West Germany","","","",""
"Acclaimed","1987","(3a) lower tertiary education","East Germany","","","",""
"Acclaimed","1987","(3b) higher tertiary education","West Germany","","","",""
"Acclaimed","1987","(3b) higher tertiary education","East Germany","","","",""
"Partly, partly","1987","(0) in school","West Germany","","","",""
"Partly, partly","1987","(0) in school","East Germany","","","",""
"Partly, partly","1987","(1a) inadequately completed","West Germany","","","",""
"Partly, partly","1987","(1a) inadequately completed","East Germany","","","",""
"Partly, partly","1987","(1b) general elementary school","West Germany","","","",""
"Partly, partly","1987","(1b) general elementary school","East Germany","","","",""
"Partly, partly","1987","(1c) basic vocational qualification","West Germany","","","",""
"Partly, partly","1987","(1c) basic vocational qualification","East Germany","","","",""
"Partly, partly","1987","(2b) intermediate general qualification","West Germany","","","",""
"Partly, partly","1987","(2b) intermediate general qualification","East Germany","","","",""
"Partly, partly","1987","(2a) intermediate vocational","West Germany","","","",""
"Partly, partly","1987","(2a) intermediate vocational","East Germany","","","",""
"Partly, partly","1987","(2c_gen) general maturity certificate","West Germany","","","",""
"Partly, partly","1987","(2c_gen) general maturity certificate","East Germany","","","",""
"Partly, partly","1987","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Partly, partly","1987","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Partly, partly","1987","(3a) lower tertiary education","West Germany","","","",""
"Partly, partly","1987","(3a) lower tertiary education","East Germany","","","",""
"Partly, partly","1987","(3b) higher tertiary education","West Germany","","","",""
"Partly, partly","1987","(3b) higher tertiary education","East Germany","","","",""
"Paid","1987","(0) in school","West Germany","","","",""
"Paid","1987","(0) in school","East Germany","","","",""
"Paid","1987","(1a) inadequately completed","West Germany","","","",""
"Paid","1987","(1a) inadequately completed","East Germany","","","",""
"Paid","1987","(1b) general elementary school","West Germany","","","",""
"Paid","1987","(1b) general elementary school","East Germany","","","",""
"Paid","1987","(1c) basic vocational qualification","West Germany","","","",""
"Paid","1987","(1c) basic vocational qualification","East Germany","","","",""
"Paid","1987","(2b) intermediate general qualification","West Germany","","","",""
"Paid","1987","(2b) intermediate general qualification","East Germany","","","",""
"Paid","1987","(2a) intermediate vocational","West Germany","","","",""
"Paid","1987","(2a) intermediate vocational","East Germany","","","",""
"Paid","1987","(2c_gen) general maturity certificate","West Germany","","","",""
"Paid","1987","(2c_gen) general maturity certificate","East Germany","","","",""
"Paid","1987","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Paid","1987","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Paid","1987","(3a) lower tertiary education","West Germany","","","",""
"Paid","1987","(3a) lower tertiary education","East Germany","","","",""
"Paid","1987","(3b) higher tertiary education","West Germany","","","",""
"Paid","1987","(3b) higher tertiary education","East Germany","","","",""
"Not paid","1987","(0) in school","West Germany","","","",""
"Not paid","1987","(0) in school","East Germany","","","",""
"Not paid","1987","(1a) inadequately completed","West Germany","","","",""
"Not paid","1987","(1a) inadequately completed","East Germany","","","",""
"Not paid","1987","(1b) general elementary school","West Germany","","","",""
"Not paid","1987","(1b) general elementary school","East Germany","","","",""
"Not paid","1987","(1c) basic vocational qualification","West Germany","","","",""
"Not paid","1987","(1c) basic vocational qualification","East Germany","","","",""
"Not paid","1987","(2b) intermediate general qualification","West Germany","","","",""
"Not paid","1987","(2b) intermediate general qualification","East Germany","","","",""
"Not paid","1987","(2a) intermediate vocational","West Germany","","","",""
"Not paid","1987","(2a) intermediate vocational","East Germany","","","",""
"Not paid","1987","(2c_gen) general maturity certificate","West Germany","","","",""
"Not paid","1987","(2c_gen) general maturity certificate","East Germany","","","",""
"Not paid","1987","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Not paid","1987","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Not paid","1987","(3a) lower tertiary education","West Germany","","","",""
"Not paid","1987","(3a) lower tertiary education","East Germany","","","",""
"Not paid","1987","(3b) higher tertiary education","West Germany","","","",""
"Not paid","1987","(3b) higher tertiary education","East Germany","","","",""
"Acclaimed","1988","(0) in school","West Germany","","","",""
"Acclaimed","1988","(0) in school","East Germany","","","",""
"Acclaimed","1988","(1a) inadequately completed","West Germany","20","","",""
"Acclaimed","1988","(1a) inadequately completed","East Germany","","","",""
"Acclaimed","1988","(1b) general elementary school","West Germany","114","0.265965921583978","0.229337913999113","0.302593929168844"
"Acclaimed","1988","(1b) general elementary school","East Germany","","","",""
"Acclaimed","1988","(1c) basic vocational qualification","West Germany","410","0.319687705536766","0.295127028667565","0.344248382405967"
"Acclaimed","1988","(1c) basic vocational qualification","East Germany","","","",""
"Acclaimed","1988","(2b) intermediate general qualification","West Germany","52","0.404935308798009","0.317830307783658","0.492040309812359"
"Acclaimed","1988","(2b) intermediate general qualification","East Germany","","","",""
"Acclaimed","1988","(2a) intermediate vocational","West Germany","248","0.441028226590603","0.399831840147092","0.482224613034114"
"Acclaimed","1988","(2a) intermediate vocational","East Germany","","","",""
"Acclaimed","1988","(2c_gen) general maturity certificate","West Germany","21","","",""
"Acclaimed","1988","(2c_gen) general maturity certificate","East Germany","","","",""
"Acclaimed","1988","(2c_voc) vocational maturity certificate","West Germany","58","0.375967760665225","0.304407720849365","0.447527800481084"
"Acclaimed","1988","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Acclaimed","1988","(3a) lower tertiary education","West Germany","30","0.235965159816592","0.158022326484171","0.313907993149013"
"Acclaimed","1988","(3a) lower tertiary education","East Germany","","","",""
"Acclaimed","1988","(3b) higher tertiary education","West Germany","48","0.183357572543677","0.135197443090152","0.231517701997202"
"Acclaimed","1988","(3b) higher tertiary education","East Germany","","","",""
"Partly, partly","1988","(0) in school","West Germany","","","",""
"Partly, partly","1988","(0) in school","East Germany","","","",""
"Partly, partly","1988","(1a) inadequately completed","West Germany","13","","",""
"Partly, partly","1988","(1a) inadequately completed","East Germany","","","",""
"Partly, partly","1988","(1b) general elementary school","West Germany","51","0.101957669811424","0.0768734532359168","0.127041886386931"
"Partly, partly","1988","(1b) general elementary school","East Germany","","","",""
"Partly, partly","1988","(1c) basic vocational qualification","West Germany","188","0.140892690970093","0.122569920413649","0.159215461526538"
"Partly, partly","1988","(1c) basic vocational qualification","East Germany","","","",""
"Partly, partly","1988","(2b) intermediate general qualification","West Germany","14","","",""
"Partly, partly","1988","(2b) intermediate general qualification","East Germany","","","",""
"Partly, partly","1988","(2a) intermediate vocational","West Germany","72","0.118475920088968","0.0916618261419232","0.145290014036012"
"Partly, partly","1988","(2a) intermediate vocational","East Germany","","","",""
"Partly, partly","1988","(2c_gen) general maturity certificate","West Germany","6","","",""
"Partly, partly","1988","(2c_gen) general maturity certificate","East Germany","","","",""
"Partly, partly","1988","(2c_voc) vocational maturity certificate","West Germany","31","0.178478289944188","0.121907274072133","0.235049305816243"
"Partly, partly","1988","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Partly, partly","1988","(3a) lower tertiary education","West Germany","15","","",""
"Partly, partly","1988","(3a) lower tertiary education","East Germany","","","",""
"Partly, partly","1988","(3b) higher tertiary education","West Germany","28","","",""
"Partly, partly","1988","(3b) higher tertiary education","East Germany","","","",""
"Paid","1988","(0) in school","West Germany","1","","",""
"Paid","1988","(0) in school","East Germany","","","",""
"Paid","1988","(1a) inadequately completed","West Germany","147","0.783664760873507","0.724171472735705","0.843158049011309"
"Paid","1988","(1a) inadequately completed","East Germany","","","",""
"Paid","1988","(1b) general elementary school","West Germany","359","0.563562048855774","0.522449508677884","0.604674589033664"
"Paid","1988","(1b) general elementary school","East Germany","","","",""
"Paid","1988","(1c) basic vocational qualification","West Germany","625","0.421114771951674","0.395111998273402","0.447117545629945"
"Paid","1988","(1c) basic vocational qualification","East Germany","","","",""
"Paid","1988","(2b) intermediate general qualification","West Germany","33","0.251112389124159","0.174162044589476","0.328062733658843"
"Paid","1988","(2b) intermediate general qualification","East Germany","","","",""
"Paid","1988","(2a) intermediate vocational","West Germany","128","0.227604234317882","0.192815301836678","0.262393166799086"
"Paid","1988","(2a) intermediate vocational","East Germany","","","",""
"Paid","1988","(2c_gen) general maturity certificate","West Germany","36","0.38426967251235","0.274184003264179","0.494355341760522"
"Paid","1988","(2c_gen) general maturity certificate","East Germany","","","",""
