"plb0195_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Paid","1984","no degree/no degree yet","middle vocational","35","0.747240385898533","0.615806467473116","0.87867430432395"
"Paid","1984","no degree/no degree yet","vocational + Abi","","","",""
"Paid","1984","no degree/no degree yet","higher vocational","1","","",""
"Paid","1984","no degree/no degree yet","higher education","","","",""
"Not paid","1984","lower secondary degree","in school","","","",""
"Not paid","1984","lower secondary degree","inadequately","","","",""
"Not paid","1984","lower secondary degree","general elemantary","80","0.181467268421647","0.146093376382436","0.216841160460857"
"Not paid","1984","lower secondary degree","middle vocational","228","0.154289079929704","0.135842099739108","0.1727360601203"
"Not paid","1984","lower secondary degree","vocational + Abi","","","",""
"Not paid","1984","lower secondary degree","higher vocational","56","0.341165679755048","0.268825947975378","0.413505411534718"
"Not paid","1984","lower secondary degree","higher education","4","","",""
"Not paid","1984","secondary school degree","in school","","","",""
"Not paid","1984","secondary school degree","inadequately","","","",""
"Not paid","1984","secondary school degree","general elemantary","25","","",""
"Not paid","1984","secondary school degree","middle vocational","161","0.297538560291073","0.259469155915179","0.335607964666966"
"Not paid","1984","secondary school degree","vocational + Abi","","","",""
"Not paid","1984","secondary school degree","higher vocational","29","","",""
"Not paid","1984","secondary school degree","higher education","22","","",""
"Not paid","1984","college entrance qualification","in school","","","",""
"Not paid","1984","college entrance qualification","inadequately","","","",""
"Not paid","1984","college entrance qualification","general elemantary","","","",""
"Not paid","1984","college entrance qualification","middle vocational","8","","",""
"Not paid","1984","college entrance qualification","vocational + Abi","35","0.378273601045838","0.281263904626001","0.475283297465674"
"Not paid","1984","college entrance qualification","higher vocational","22","","",""
"Not paid","1984","college entrance qualification","higher education","211","0.613403647037442","0.562459231277917","0.664348062796967"
"Not paid","1984","Other degree","in school","","","",""
"Not paid","1984","Other degree","inadequately","1","","",""
"Not paid","1984","Other degree","general elemantary","21","","",""
"Not paid","1984","Other degree","middle vocational","23","","",""
"Not paid","1984","Other degree","vocational + Abi","5","","",""
"Not paid","1984","Other degree","higher vocational","1","","",""
"Not paid","1984","Other degree","higher education","2","","",""
"Not paid","1984","no degree/no degree yet","in school","1","","",""
"Not paid","1984","no degree/no degree yet","inadequately","13","","",""
"Not paid","1984","no degree/no degree yet","general elemantary","","","",""
"Not paid","1984","no degree/no degree yet","middle vocational","2","","",""
"Not paid","1984","no degree/no degree yet","vocational + Abi","","","",""
"Not paid","1984","no degree/no degree yet","higher vocational","","","",""
"Not paid","1984","no degree/no degree yet","higher education","","","",""
"Acclaimed","1985","lower secondary degree","in school","","","",""
"Acclaimed","1985","lower secondary degree","inadequately","","","",""
"Acclaimed","1985","lower secondary degree","general elemantary","80","0.226025103940062","0.184620671713971","0.267429536166153"
"Acclaimed","1985","lower secondary degree","middle vocational","319","0.259652743935597","0.235405216181684","0.28390027168951"
"Acclaimed","1985","lower secondary degree","vocational + Abi","","","",""
"Acclaimed","1985","lower secondary degree","higher vocational","32","0.233611260298519","0.16301527701574","0.304207243581299"
"Acclaimed","1985","lower secondary degree","higher education","6","","",""
"Acclaimed","1985","secondary school degree","in school","","","",""
"Acclaimed","1985","secondary school degree","inadequately","","","",""
"Acclaimed","1985","secondary school degree","general elemantary","48","0.418091273803553","0.327547487435337","0.508635060171769"
"Acclaimed","1985","secondary school degree","middle vocational","192","0.367216726430209","0.325903799069379","0.408529653791039"
"Acclaimed","1985","secondary school degree","vocational + Abi","","","",""
"Acclaimed","1985","secondary school degree","higher vocational","29","","",""
"Acclaimed","1985","secondary school degree","higher education","8","","",""
"Acclaimed","1985","college entrance qualification","in school","","","",""
"Acclaimed","1985","college entrance qualification","inadequately","","","",""
"Acclaimed","1985","college entrance qualification","general elemantary","","","",""
"Acclaimed","1985","college entrance qualification","middle vocational","19","","",""
"Acclaimed","1985","college entrance qualification","vocational + Abi","19","","",""
"Acclaimed","1985","college entrance qualification","higher vocational","31","0.491957156891198","0.371345319472919","0.612568994309476"
"Acclaimed","1985","college entrance qualification","higher education","52","0.154220494312473","0.116275185365026","0.19216580325992"
"Acclaimed","1985","Other degree","in school","","","",""
"Acclaimed","1985","Other degree","inadequately","","","",""
"Acclaimed","1985","Other degree","general elemantary","19","","",""
"Acclaimed","1985","Other degree","middle vocational","24","","",""
"Acclaimed","1985","Other degree","vocational + Abi","3","","",""
"Acclaimed","1985","Other degree","higher vocational","","","",""
"Acclaimed","1985","Other degree","higher education","1","","",""
"Acclaimed","1985","no degree/no degree yet","in school","","","",""
"Acclaimed","1985","no degree/no degree yet","inadequately","13","","",""
"Acclaimed","1985","no degree/no degree yet","general elemantary","","","",""
"Acclaimed","1985","no degree/no degree yet","middle vocational","","","",""
"Acclaimed","1985","no degree/no degree yet","vocational + Abi","","","",""
"Acclaimed","1985","no degree/no degree yet","higher vocational","","","",""
"Acclaimed","1985","no degree/no degree yet","higher education","","","",""
"Partly, partly","1985","lower secondary degree","in school","","","",""
"Partly, partly","1985","lower secondary degree","inadequately","","","",""
"Partly, partly","1985","lower secondary degree","general elemantary","47","0.120171437902588","0.0879826432284111","0.152360232576765"
"Partly, partly","1985","lower secondary degree","middle vocational","141","0.112679523435125","0.0951924946883796","0.130166552181871"
"Partly, partly","1985","lower secondary degree","vocational + Abi","","","",""
"Partly, partly","1985","lower secondary degree","higher vocational","16","","",""
"Partly, partly","1985","lower secondary degree","higher education","2","","",""
"Partly, partly","1985","secondary school degree","in school","","","",""
"Partly, partly","1985","secondary school degree","inadequately","","","",""
"Partly, partly","1985","secondary school degree","general elemantary","12","","",""
"Partly, partly","1985","secondary school degree","middle vocational","63","0.122631093079101","0.094519292329921","0.15074289382828"
"Partly, partly","1985","secondary school degree","vocational + Abi","1","","",""
"Partly, partly","1985","secondary school degree","higher vocational","19","","",""
"Partly, partly","1985","secondary school degree","higher education","2","","",""
"Partly, partly","1985","college entrance qualification","in school","","","",""
"Partly, partly","1985","college entrance qualification","inadequately","","","",""
"Partly, partly","1985","college entrance qualification","general elemantary","","","",""
"Partly, partly","1985","college entrance qualification","middle vocational","4","","",""
"Partly, partly","1985","college entrance qualification","vocational + Abi","5","","",""
"Partly, partly","1985","college entrance qualification","higher vocational","6","","",""
"Partly, partly","1985","college entrance qualification","higher education","45","0.129320255488308","0.0940652353901918","0.164575275586425"
"Partly, partly","1985","Other degree","in school","","","",""
"Partly, partly","1985","Other degree","inadequately","1","","",""
"Partly, partly","1985","Other degree","general elemantary","5","","",""
"Partly, partly","1985","Other degree","middle vocational","14","","",""
"Partly, partly","1985","Other degree","vocational + Abi","2","","",""
"Partly, partly","1985","Other degree","higher vocational","1","","",""
"Partly, partly","1985","Other degree","higher education","5","","",""
"Partly, partly","1985","no degree/no degree yet","in school","","","",""
"Partly, partly","1985","no degree/no degree yet","inadequately","10","","",""
"Partly, partly","1985","no degree/no degree yet","general elemantary","","","",""
"Partly, partly","1985","no degree/no degree yet","middle vocational","2","","",""
"Partly, partly","1985","no degree/no degree yet","vocational + Abi","","","",""
"Partly, partly","1985","no degree/no degree yet","higher vocational","","","",""
"Partly, partly","1985","no degree/no degree yet","higher education","","","",""
"Paid","1985","lower secondary degree","in school","","","",""
"Paid","1985","lower secondary degree","inadequately","","","",""
"Paid","1985","lower secondary degree","general elemantary","208","0.502590968133342","0.453095067534811","0.552086868731872"
"Paid","1985","lower secondary degree","middle vocational","545","0.428299420620456","0.400933420096195","0.455665421144717"
"Paid","1985","lower secondary degree","vocational + Abi","3","","",""
"Paid","1985","lower secondary degree","higher vocational","41","0.280558112359553","0.205600141209981","0.355516083509125"
"Paid","1985","lower secondary degree","higher education","","","",""
"Paid","1985","secondary school degree","in school","","","",""
"Paid","1985","secondary school degree","inadequately","","","",""
"Paid","1985","secondary school degree","general elemantary","28","","",""
"Paid","1985","secondary school degree","middle vocational","115","0.205781564702143","0.171134179779949","0.240428949624338"
"Paid","1985","secondary school degree","vocational + Abi","","","",""
"Paid","1985","secondary school degree","higher vocational","15","","",""
"Paid","1985","secondary school degree","higher education","2","","",""
"Paid","1985","college entrance qualification","in school","","","",""
"Paid","1985","college entrance qualification","inadequately","","","",""
"Paid","1985","college entrance qualification","general elemantary","","","",""
"Paid","1985","college entrance qualification","middle vocational","11","","",""
"Paid","1985","college entrance qualification","vocational + Abi","18","","",""
"Paid","1985","college entrance qualification","higher vocational","6","","",""
"Paid","1985","college entrance qualification","higher education","40","0.11271524317648","0.0794889949318724","0.145941491421087"
"Paid","1985","Other degree","in school","","","",""
"Paid","1985","Other degree","inadequately","6","","",""
"Paid","1985","Other degree","general elemantary","134","0.82699432549401","0.769279477294038","0.884709173693983"
"Paid","1985","Other degree","middle vocational","121","0.649426776607822","0.57873261747634","0.720120935739304"
"Paid","1985","Other degree","vocational + Abi","21","","",""
"Paid","1985","Other degree","higher vocational","2","","",""
"Paid","1985","Other degree","higher education","10","","",""
"Paid","1985","no degree/no degree yet","in school","","","",""
"Paid","1985","no degree/no degree yet","inadequately","128","0.709417181932399","0.639501209773182","0.779333154091617"
"Paid","1985","no degree/no degree yet","general elemantary","","","",""
"Paid","1985","no degree/no degree yet","middle vocational","22","","",""
"Paid","1985","no degree/no degree yet","vocational + Abi","","","",""
"Paid","1985","no degree/no degree yet","higher vocational","1","","",""
"Paid","1985","no degree/no degree yet","higher education","","","",""
"Not paid","1985","lower secondary degree","in school","","","",""
"Not paid","1985","lower secondary degree","inadequately","","","",""
"Not paid","1985","lower secondary degree","general elemantary","57","0.151212490024008","0.11574761937946","0.186677360668557"
"Not paid","1985","lower secondary degree","middle vocational","251","0.199368312008822","0.177273122811218","0.221463501206425"
"Not paid","1985","lower secondary degree","vocational + Abi","","","",""
"Not paid","1985","lower secondary degree","higher vocational","49","0.372701080672632","0.292028464056543","0.453373697288722"
"Not paid","1985","lower secondary degree","higher education","3","","",""
"Not paid","1985","secondary school degree","in school","","","",""
"Not paid","1985","secondary school degree","inadequately","","","",""
"Not paid","1985","secondary school degree","general elemantary","26","","",""
"Not paid","1985","secondary school degree","middle vocational","153","0.304370615788547","0.264935096185106","0.343806135391989"
"Not paid","1985","secondary school degree","vocational + Abi","","","",""
"Not paid","1985","secondary school degree","higher vocational","33","0.367905261584613","0.271439863335379","0.464370659833846"
"Not paid","1985","secondary school degree","higher education","24","","",""
"Not paid","1985","college entrance qualification","in school","","","",""
"Not paid","1985","college entrance qualification","inadequately","","","",""
"Not paid","1985","college entrance qualification","general elemantary","","","",""
"Not paid","1985","college entrance qualification","middle vocational","9","","",""
"Not paid","1985","college entrance qualification","vocational + Abi","27","","",""
"Not paid","1985","college entrance qualification","higher vocational","23","","",""
"Not paid","1985","college entrance qualification","higher education","211","0.603744007022739","0.552354694568386","0.655133319477092"
"Not paid","1985","Other degree","in school","","","",""
"Not paid","1985","Other degree","inadequately","1","","",""
"Not paid","1985","Other degree","general elemantary","7","","",""
"Not paid","1985","Other degree","middle vocational","16","","",""
"Not paid","1985","Other degree","vocational + Abi","3","","",""
"Not paid","1985","Other degree","higher vocational","2","","",""
"Not paid","1985","Other degree","higher education","5","","",""
"Not paid","1985","no degree/no degree yet","in school","1","","",""
"Not paid","1985","no degree/no degree yet","inadequately","11","","",""
"Not paid","1985","no degree/no degree yet","general elemantary","","","",""
"Not paid","1985","no degree/no degree yet","middle vocational","2","","",""
"Not paid","1985","no degree/no degree yet","vocational + Abi","","","",""
"Not paid","1985","no degree/no degree yet","higher vocational","","","",""
"Not paid","1985","no degree/no degree yet","higher education","","","",""
"Acclaimed","1986","lower secondary degree","in school","","","",""
"Acclaimed","1986","lower secondary degree","inadequately","","","",""
"Acclaimed","1986","lower secondary degree","general elemantary","80","0.24727405915966","0.20264593965293","0.29190217866639"
"Acclaimed","1986","lower secondary degree","middle vocational","351","0.303388401921851","0.277068811732442","0.329707992111259"
"Acclaimed","1986","lower secondary degree","vocational + Abi","","","",""
"Acclaimed","1986","lower secondary degree","higher vocational","30","0.266115392730944","0.186714845127726","0.345515940334162"
"Acclaimed","1986","lower secondary degree","higher education","3","","",""
"Acclaimed","1986","secondary school degree","in school","","","",""
"Acclaimed","1986","secondary school degree","inadequately","","","",""
"Acclaimed","1986","secondary school degree","general elemantary","45","0.438706911002881","0.343336532376073","0.534077289629688"
"Acclaimed","1986","secondary school degree","middle vocational","209","0.418001610755725","0.37498340712954","0.461019814381911"
"Acclaimed","1986","secondary school degree","vocational + Abi","","","",""
"Acclaimed","1986","secondary school degree","higher vocational","26","","",""
"Acclaimed","1986","secondary school degree","higher education","9","","",""
"Acclaimed","1986","college entrance qualification","in school","","","",""
"Acclaimed","1986","college entrance qualification","inadequately","","","",""
"Acclaimed","1986","college entrance qualification","general elemantary","","","",""
"Acclaimed","1986","college entrance qualification","middle vocational","19","","",""
"Acclaimed","1986","college entrance qualification","vocational + Abi","20","","",""
"Acclaimed","1986","college entrance qualification","higher vocational","25","","",""
"Acclaimed","1986","college entrance qualification","higher education","62","0.194171960574846","0.149632882613936","0.238711038535756"
"Acclaimed","1986","Other degree","in school","","","",""
"Acclaimed","1986","Other degree","inadequately","1","","",""
"Acclaimed","1986","Other degree","general elemantary","23","","",""
"Acclaimed","1986","Other degree","middle vocational","22","","",""
"Acclaimed","1986","Other degree","vocational + Abi","5","","",""
"Acclaimed","1986","Other degree","higher vocational","3","","",""
"Acclaimed","1986","Other degree","higher education","3","","",""
"Acclaimed","1986","no degree/no degree yet","in school","","","",""
"Acclaimed","1986","no degree/no degree yet","inadequately","19","","",""
"Acclaimed","1986","no degree/no degree yet","general elemantary","","","",""
"Acclaimed","1986","no degree/no degree yet","middle vocational","2","","",""
"Acclaimed","1986","no degree/no degree yet","vocational + Abi","","","",""
"Acclaimed","1986","no degree/no degree yet","higher vocational","1","","",""
"Acclaimed","1986","no degree/no degree yet","higher education","","","",""
"Partly, partly","1986","lower secondary degree","in school","","","",""
"Partly, partly","1986","lower secondary degree","inadequately","","","",""
"Partly, partly","1986","lower secondary degree","general elemantary","30","0.0884884081304725","0.0591102099660437","0.117866606294901"
"Partly, partly","1986","lower secondary degree","middle vocational","147","0.131519567009857","0.112170524023074","0.150868609996639"
"Partly, partly","1986","lower secondary degree","vocational + Abi","","","",""
"Partly, partly","1986","lower secondary degree","higher vocational","13","","",""
"Partly, partly","1986","lower secondary degree","higher education","","","",""
"Partly, partly","1986","secondary school degree","in school","","","",""
"Partly, partly","1986","secondary school degree","inadequately","","","",""
"Partly, partly","1986","secondary school degree","general elemantary","14","","",""
"Partly, partly","1986","secondary school degree","middle vocational","64","0.126782741922372","0.0977629945668847","0.155802489277859"
"Partly, partly","1986","secondary school degree","vocational + Abi","","","",""
"Partly, partly","1986","secondary school degree","higher vocational","14","","",""
"Partly, partly","1986","secondary school degree","higher education","1","","",""
"Partly, partly","1986","college entrance qualification","in school","","","",""
"Partly, partly","1986","college entrance qualification","inadequately","","","",""
"Partly, partly","1986","college entrance qualification","general elemantary","","","",""
"Partly, partly","1986","college entrance qualification","middle vocational","6","","",""
"Partly, partly","1986","college entrance qualification","vocational + Abi","10","","",""
"Partly, partly","1986","college entrance qualification","higher vocational","7","","",""
"Partly, partly","1986","college entrance qualification","higher education","31","0.103318018101285","0.0690464456159824","0.137589590586588"
"Partly, partly","1986","Other degree","in school","","","",""
"Partly, partly","1986","Other degree","inadequately","1","","",""
"Partly, partly","1986","Other degree","general elemantary","15","","",""
"Partly, partly","1986","Other degree","middle vocational","22","","",""
"Partly, partly","1986","Other degree","vocational + Abi","2","","",""
"Partly, partly","1986","Other degree","higher vocational","","","",""
"Partly, partly","1986","Other degree","higher education","3","","",""
"Partly, partly","1986","no degree/no degree yet","in school","","","",""
"Partly, partly","1986","no degree/no degree yet","inadequately","12","","",""
"Partly, partly","1986","no degree/no degree yet","general elemantary","","","",""
"Partly, partly","1986","no degree/no degree yet","middle vocational","2","","",""
"Partly, partly","1986","no degree/no degree yet","vocational + Abi","","","",""
"Partly, partly","1986","no degree/no degree yet","higher vocational","","","",""
"Partly, partly","1986","no degree/no degree yet","higher education","","","",""
"Paid","1986","lower secondary degree","in school","","","",""
"Paid","1986","lower secondary degree","inadequately","","","",""
"Paid","1986","lower secondary degree","general elemantary","206","0.55451276542253","0.503099608354845","0.605925922490215"
"Paid","1986","lower secondary degree","middle vocational","537","0.450536706843344","0.42205154327055","0.479021870416138"
"Paid","1986","lower secondary degree","vocational + Abi","4","","",""
"Paid","1986","lower secondary degree","higher vocational","40","0.342957460560202","0.257668763095602","0.428246158024802"
"Paid","1986","lower secondary degree","higher education","1","","",""
"Paid","1986","secondary school degree","in school","","","",""
"Paid","1986","secondary school degree","inadequately","","","",""
"Paid","1986","secondary school degree","general elemantary","26","","",""
"Paid","1986","secondary school degree","middle vocational","112","0.216044729413336","0.180150892767433","0.251938566059239"
"Paid","1986","secondary school degree","vocational + Abi","","","",""
"Paid","1986","secondary school degree","higher vocational","15","","",""
"Paid","1986","secondary school degree","higher education","3","","",""
"Paid","1986","college entrance qualification","in school","","","",""
"Paid","1986","college entrance qualification","inadequately","","","",""
"Paid","1986","college entrance qualification","general elemantary","","","",""
"Paid","1986","college entrance qualification","middle vocational","10","","",""
"Paid","1986","college entrance qualification","vocational + Abi","22","","",""
"Paid","1986","college entrance qualification","higher vocational","7","","",""
"Paid","1986","college entrance qualification","higher education","32","0.108289015463805","0.0733000551577397","0.143277975769871"
"Paid","1986","Other degree","in school","","","",""
"Paid","1986","Other degree","inadequately","6","","",""
"Paid","1986","Other degree","general elemantary","147","0.720007480535146","0.657467575935852","0.78254738513444"
"Paid","1986","Other degree","middle vocational","121","0.659469254319144","0.588853682450986","0.730084826187302"
"Paid","1986","Other degree","vocational + Abi","21","","",""
"Paid","1986","Other degree","higher vocational","2","","",""
"Paid","1986","Other degree","higher education","9","","",""
"Paid","1986","no degree/no degree yet","in school","2","","",""
"Paid","1986","no degree/no degree yet","inadequately","120","0.670118307112144","0.596806420435314","0.743430193788974"
"Paid","1986","no degree/no degree yet","general elemantary","","","",""
"Paid","1986","no degree/no degree yet","middle vocational","32","0.782975339176814","0.648319427216762","0.917631251136866"
"Paid","1986","no degree/no degree yet","vocational + Abi","","","",""
"Paid","1986","no degree/no degree yet","higher vocational","","","",""
"Paid","1986","no degree/no degree yet","higher education","","","",""
"Not paid","1986","lower secondary degree","in school","","","",""
"Not paid","1986","lower secondary degree","inadequately","","","",""
"Not paid","1986","lower secondary degree","general elemantary","43","0.109724767287337","0.077394049495624","0.142055485079051"
"Not paid","1986","lower secondary degree","middle vocational","137","0.114555324224949","0.096321715122708","0.132788933327189"
"Not paid","1986","lower secondary degree","vocational + Abi","","","",""
"Not paid","1986","lower secondary degree","higher vocational","36","0.277635130619245","0.197173259425125","0.358097001813364"
"Not paid","1986","lower secondary degree","higher education","2","","",""
"Not paid","1986","secondary school degree","in school","","","",""
"Not paid","1986","secondary school degree","inadequately","","","",""
"Not paid","1986","secondary school degree","general elemantary","19","","",""
"Not paid","1986","secondary school degree","middle vocational","120","0.239170917908567","0.201966018084531","0.276375817732603"
"Not paid","1986","secondary school degree","vocational + Abi","","","",""
"Not paid","1986","secondary school degree","higher vocational","16","","",""
"Not paid","1986","secondary school degree","higher education","12","","",""
"Not paid","1986","college entrance qualification","in school","","","",""
"Not paid","1986","college entrance qualification","inadequately","","","",""
"Not paid","1986","college entrance qualification","general elemantary","","","",""
"Not paid","1986","college entrance qualification","middle vocational","17","","",""
"Not paid","1986","college entrance qualification","vocational + Abi","20","","",""
"Not paid","1986","college entrance qualification","higher vocational","17","","",""
"Not paid","1986","college entrance qualification","higher education","178","0.594221005860063","0.538931137302174","0.649510874417953"
"Not paid","1986","Other degree","in school","","","",""
"Not paid","1986","Other degree","inadequately","","","",""
"Not paid","1986","Other degree","general elemantary","13","","",""
"Not paid","1986","Other degree","middle vocational","8","","",""
"Not paid","1986","Other degree","vocational + Abi","6","","",""
"Not paid","1986","Other degree","higher vocational","","","",""
"Not paid","1986","Other degree","higher education","5","","",""
"Not paid","1986","no degree/no degree yet","in school","","","",""
"Not paid","1986","no degree/no degree yet","inadequately","7","","",""
"Not paid","1986","no degree/no degree yet","general elemantary","","","",""
"Not paid","1986","no degree/no degree yet","middle vocational","","","",""
"Not paid","1986","no degree/no degree yet","vocational + Abi","","","",""
"Not paid","1986","no degree/no degree yet","higher vocational","","","",""
"Not paid","1986","no degree/no degree yet","higher education","1","","",""
"Acclaimed","1987","lower secondary degree","in school","","","",""
"Acclaimed","1987","lower secondary degree","inadequately","","","",""
"Acclaimed","1987","lower secondary degree","general elemantary","","","",""
"Acclaimed","1987","lower secondary degree","middle vocational","","","",""
"Acclaimed","1987","lower secondary degree","vocational + Abi","","","",""
"Acclaimed","1987","lower secondary degree","higher vocational","","","",""
"Acclaimed","1987","lower secondary degree","higher education","","","",""
"Acclaimed","1987","secondary school degree","in school","","","",""
"Acclaimed","1987","secondary school degree","inadequately","","","",""
"Acclaimed","1987","secondary school degree","general elemantary","","","",""
"Acclaimed","1987","secondary school degree","middle vocational","","","",""
"Acclaimed","1987","secondary school degree","vocational + Abi","","","",""
"Acclaimed","1987","secondary school degree","higher vocational","","","",""
