"plb0195_h","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1985","Baden-Württemberg","Not Employed","2","","",""
"Acclaimed","1985","Baden-Württemberg","Employed","130","0.218720273431855","0.18787622735706","0.24956431950665"
"Acclaimed","1985","Bavaria","Not Employed","2","","",""
"Acclaimed","1985","Bavaria","Employed","190","0.293170823656895","0.258981371439011","0.32736027587478"
"Acclaimed","1985","Berlin","Not Employed","","","",""
"Acclaimed","1985","Berlin","Employed","40","0.357352709880028","0.270518663270795","0.444186756489261"
"Acclaimed","1985","Brandenburg","Not Employed","","","",""
"Acclaimed","1985","Brandenburg","Employed","","","",""
"Acclaimed","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Acclaimed","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Acclaimed","1985","Saxony","Not Employed","","","",""
"Acclaimed","1985","Saxony","Employed","","","",""
"Acclaimed","1985","Saxony-Anhalt","Not Employed","","","",""
"Acclaimed","1985","Saxony-Anhalt","Employed","","","",""
"Acclaimed","1985","Thuringia","Not Employed","","","",""
"Acclaimed","1985","Thuringia","Employed","","","",""
"Partly, partly","1985","Schleswig-Holstein","Not Employed","","","",""
"Partly, partly","1985","Schleswig-Holstein","Employed","14","","",""
"Partly, partly","1985","Hamburg","Not Employed","","","",""
"Partly, partly","1985","Hamburg","Employed","11","","",""
"Partly, partly","1985","Lower Saxony","Not Employed","","","",""
"Partly, partly","1985","Lower Saxony","Employed","31","0.0864979654436801","0.0575810154371162","0.115414915450244"
"Partly, partly","1985","Bremen","Not Employed","","","",""
"Partly, partly","1985","Bremen","Employed","1","","",""
"Partly, partly","1985","North Rhine-Westphalia","Not Employed","","","",""
"Partly, partly","1985","North Rhine-Westphalia","Employed","100","0.108838252681959","0.0892896899726809","0.128386815391237"
"Partly, partly","1985","Hesse","Not Employed","","","",""
"Partly, partly","1985","Hesse","Employed","42","0.122330895890479","0.0892550546035226","0.155406737177435"
"Partly, partly","1985","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Partly, partly","1985","Rhineland-Palatinate,Saarland","Employed","22","","",""
"Partly, partly","1985","Baden-Württemberg","Not Employed","","","",""
"Partly, partly","1985","Baden-Württemberg","Employed","83","0.13356701826326","0.108184152732781","0.158949883793738"
"Partly, partly","1985","Bavaria","Not Employed","2","","",""
"Partly, partly","1985","Bavaria","Employed","79","0.119911517031661","0.0955127346966274","0.144310299366694"
"Partly, partly","1985","Berlin","Not Employed","1","","",""
"Partly, partly","1985","Berlin","Employed","17","","",""
"Partly, partly","1985","Brandenburg","Not Employed","","","",""
"Partly, partly","1985","Brandenburg","Employed","","","",""
"Partly, partly","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Partly, partly","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Partly, partly","1985","Saxony","Not Employed","","","",""
"Partly, partly","1985","Saxony","Employed","","","",""
"Partly, partly","1985","Saxony-Anhalt","Not Employed","","","",""
"Partly, partly","1985","Saxony-Anhalt","Employed","","","",""
"Partly, partly","1985","Thuringia","Not Employed","","","",""
"Partly, partly","1985","Thuringia","Employed","","","",""
"Paid","1985","Schleswig-Holstein","Not Employed","1","","",""
"Paid","1985","Schleswig-Holstein","Employed","65","0.433766942970375","0.35196485846825","0.515569027472499"
"Paid","1985","Hamburg","Not Employed","","","",""
"Paid","1985","Hamburg","Employed","33","0.310946063267086","0.217866265952323","0.404025860581848"
"Paid","1985","Lower Saxony","Not Employed","2","","",""
"Paid","1985","Lower Saxony","Employed","122","0.321120176064574","0.273088800333624","0.369151551795525"
"Paid","1985","Bremen","Not Employed","","","",""
"Paid","1985","Bremen","Employed","13","","",""
"Paid","1985","North Rhine-Westphalia","Not Employed","6","","",""
"Paid","1985","North Rhine-Westphalia","Employed","427","0.356401015866693","0.326338666004456","0.38646336572893"
"Paid","1985","Hesse","Not Employed","1","","",""
"Paid","1985","Hesse","Employed","144","0.286074370543414","0.240455620858982","0.331693120227847"
"Paid","1985","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Paid","1985","Rhineland-Palatinate,Saarland","Employed","89","0.378229229108884","0.312166636540343","0.444291821677425"
"Paid","1985","Baden-Württemberg","Not Employed","8","","",""
"Paid","1985","Baden-Württemberg","Employed","313","0.369925868480239","0.333903130311571","0.405948606648907"
"Paid","1985","Bavaria","Not Employed","3","","",""
"Paid","1985","Bavaria","Employed","229","0.288102786307532","0.254088848689973","0.322116723925091"
"Paid","1985","Berlin","Not Employed","1","","",""
"Paid","1985","Berlin","Employed","36","0.27761300718673","0.196468332368122","0.358757682005338"
"Paid","1985","Brandenburg","Not Employed","","","",""
"Paid","1985","Brandenburg","Employed","","","",""
"Paid","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Paid","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Paid","1985","Saxony","Not Employed","","","",""
"Paid","1985","Saxony","Employed","","","",""
"Paid","1985","Saxony-Anhalt","Not Employed","","","",""
"Paid","1985","Saxony-Anhalt","Employed","","","",""
"Paid","1985","Thuringia","Not Employed","","","",""
"Paid","1985","Thuringia","Employed","","","",""
"Not paid","1985","Schleswig-Holstein","Not Employed","","","",""
"Not paid","1985","Schleswig-Holstein","Employed","24","","",""
"Not paid","1985","Hamburg","Not Employed","","","",""
"Not paid","1985","Hamburg","Employed","23","","",""
"Not paid","1985","Lower Saxony","Not Employed","","","",""
"Not paid","1985","Lower Saxony","Employed","99","0.282034223134983","0.235743117325079","0.328325328944887"
"Not paid","1985","Bremen","Not Employed","","","",""
"Not paid","1985","Bremen","Employed","4","","",""
"Not paid","1985","North Rhine-Westphalia","Not Employed","6","","",""
"Not paid","1985","North Rhine-Westphalia","Employed","236","0.279678597294594","0.251505242850495","0.307851951738693"
"Not paid","1985","Hesse","Not Employed","1","","",""
"Not paid","1985","Hesse","Employed","97","0.293700000043948","0.247724761388117","0.33967523869978"
"Not paid","1985","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Not paid","1985","Rhineland-Palatinate,Saarland","Employed","52","0.260475019547517","0.200685869135146","0.320264169959888"
"Not paid","1985","Baden-Württemberg","Not Employed","3","","",""
"Not paid","1985","Baden-Württemberg","Employed","164","0.277786839824647","0.244366406379007","0.311207273270286"
"Not paid","1985","Bavaria","Not Employed","5","","",""
"Not paid","1985","Bavaria","Employed","183","0.298814873003912","0.264435972124282","0.333193773883543"
"Not paid","1985","Berlin","Not Employed","","","",""
"Not paid","1985","Berlin","Employed","24","","",""
"Not paid","1985","Brandenburg","Not Employed","","","",""
"Not paid","1985","Brandenburg","Employed","","","",""
"Not paid","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Not paid","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Not paid","1985","Saxony","Not Employed","","","",""
"Not paid","1985","Saxony","Employed","","","",""
"Not paid","1985","Saxony-Anhalt","Not Employed","","","",""
"Not paid","1985","Saxony-Anhalt","Employed","","","",""
"Not paid","1985","Thuringia","Not Employed","","","",""
"Not paid","1985","Thuringia","Employed","","","",""
"Acclaimed","1986","Schleswig-Holstein","Not Employed","","","",""
"Acclaimed","1986","Schleswig-Holstein","Employed","39","0.350725253229829","0.268056596540182","0.433393909919475"
"Acclaimed","1986","Hamburg","Not Employed","","","",""
"Acclaimed","1986","Hamburg","Employed","24","","",""
"Acclaimed","1986","Lower Saxony","Not Employed","3","","",""
"Acclaimed","1986","Lower Saxony","Employed","127","0.337557712678707","0.289887154973711","0.385228270383702"
"Acclaimed","1986","Bremen","Not Employed","","","",""
"Acclaimed","1986","Bremen","Employed","5","","",""
"Acclaimed","1986","North Rhine-Westphalia","Not Employed","1","","",""
"Acclaimed","1986","North Rhine-Westphalia","Employed","211","0.274864415886879","0.245467613120742","0.304261218653017"
"Acclaimed","1986","Hesse","Not Employed","1","","",""
"Acclaimed","1986","Hesse","Employed","100","0.34210413908632","0.292259757693086","0.391948520479553"
"Acclaimed","1986","Rhineland-Palatinate,Saarland","Not Employed","1","","",""
"Acclaimed","1986","Rhineland-Palatinate,Saarland","Employed","52","0.253180948864173","0.195192108887304","0.311169788841042"
"Acclaimed","1986","Baden-Württemberg","Not Employed","1","","",""
"Acclaimed","1986","Baden-Württemberg","Employed","147","0.259194007158433","0.22621041395425","0.292177600362616"
"Acclaimed","1986","Bavaria","Not Employed","3","","",""
"Acclaimed","1986","Bavaria","Employed","216","0.378030149423607","0.339263457712295","0.416796841134919"
"Acclaimed","1986","Berlin","Not Employed","","","",""
"Acclaimed","1986","Berlin","Employed","38","0.307350814435764","0.225139942584057","0.389561686287472"
"Acclaimed","1986","Brandenburg","Not Employed","","","",""
"Acclaimed","1986","Brandenburg","Employed","","","",""
"Acclaimed","1986","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Acclaimed","1986","Mecklenburg-Western Pomerania","Employed","","","",""
"Acclaimed","1986","Saxony","Not Employed","","","",""
"Acclaimed","1986","Saxony","Employed","","","",""
"Acclaimed","1986","Saxony-Anhalt","Not Employed","","","",""
"Acclaimed","1986","Saxony-Anhalt","Employed","","","",""
"Acclaimed","1986","Thuringia","Not Employed","","","",""
"Acclaimed","1986","Thuringia","Employed","","","",""
"Partly, partly","1986","Schleswig-Holstein","Not Employed","","","",""
"Partly, partly","1986","Schleswig-Holstein","Employed","15","","",""
"Partly, partly","1986","Hamburg","Not Employed","","","",""
"Partly, partly","1986","Hamburg","Employed","18","","",""
"Partly, partly","1986","Lower Saxony","Not Employed","1","","",""
"Partly, partly","1986","Lower Saxony","Employed","49","0.141317911424682","0.106200944528226","0.176434878321138"
"Partly, partly","1986","Bremen","Not Employed","","","",""
"Partly, partly","1986","Bremen","Employed","5","","",""
"Partly, partly","1986","North Rhine-Westphalia","Not Employed","2","","",""
"Partly, partly","1986","North Rhine-Westphalia","Employed","86","0.104861391027698","0.0846877549525022","0.125035027102894"
"Partly, partly","1986","Hesse","Not Employed","1","","",""
"Partly, partly","1986","Hesse","Employed","44","0.140424682384866","0.103922219977454","0.176927144792278"
"Partly, partly","1986","Rhineland-Palatinate,Saarland","Not Employed","1","","",""
"Partly, partly","1986","Rhineland-Palatinate,Saarland","Employed","14","","",""
"Partly, partly","1986","Baden-Württemberg","Not Employed","","","",""
"Partly, partly","1986","Baden-Württemberg","Employed","65","0.106468355993231","0.0832517630561142","0.129684948930348"
"Partly, partly","1986","Bavaria","Not Employed","","","",""
"Partly, partly","1986","Bavaria","Employed","76","0.123151022951994","0.0968790755067027","0.149422970397286"
"Partly, partly","1986","Berlin","Not Employed","","","",""
"Partly, partly","1986","Berlin","Employed","18","","",""
"Partly, partly","1986","Brandenburg","Not Employed","","","",""
"Partly, partly","1986","Brandenburg","Employed","","","",""
"Partly, partly","1986","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Partly, partly","1986","Mecklenburg-Western Pomerania","Employed","","","",""
"Partly, partly","1986","Saxony","Not Employed","","","",""
"Partly, partly","1986","Saxony","Employed","","","",""
"Partly, partly","1986","Saxony-Anhalt","Not Employed","","","",""
"Partly, partly","1986","Saxony-Anhalt","Employed","","","",""
"Partly, partly","1986","Thuringia","Not Employed","","","",""
"Partly, partly","1986","Thuringia","Employed","","","",""
"Paid","1986","Schleswig-Holstein","Not Employed","2","","",""
"Paid","1986","Schleswig-Holstein","Employed","55","0.384487801922262","0.300212033455926","0.468763570388597"
"Paid","1986","Hamburg","Not Employed","","","",""
"Paid","1986","Hamburg","Employed","24","","",""
"Paid","1986","Lower Saxony","Not Employed","4","","",""
"Paid","1986","Lower Saxony","Employed","131","0.334832474773999","0.287257179053991","0.382407770494008"
"Paid","1986","Bremen","Not Employed","2","","",""
"Paid","1986","Bremen","Employed","18","","",""
"Paid","1986","North Rhine-Westphalia","Not Employed","4","","",""
"Paid","1986","North Rhine-Westphalia","Employed","411","0.385686894569296","0.35363574865645","0.417738040482141"
"Paid","1986","Hesse","Not Employed","3","","",""
"Paid","1986","Hesse","Employed","142","0.323250384779808","0.274109609599035","0.372391159960582"
"Paid","1986","Rhineland-Palatinate,Saarland","Not Employed","2","","",""
"Paid","1986","Rhineland-Palatinate,Saarland","Employed","107","0.473097691040929","0.40651494838112","0.539680433700739"
"Paid","1986","Baden-Württemberg","Not Employed","2","","",""
"Paid","1986","Baden-Württemberg","Employed","344","0.413637518139463","0.376567201713582","0.450707834565344"
"Paid","1986","Bavaria","Not Employed","4","","",""
"Paid","1986","Bavaria","Employed","199","0.30108424122134","0.264409480927506","0.337759001515174"
"Paid","1986","Berlin","Not Employed","","","",""
"Paid","1986","Berlin","Employed","44","0.362518892058459","0.276863563114005","0.448174221002913"
"Paid","1986","Brandenburg","Not Employed","","","",""
"Paid","1986","Brandenburg","Employed","","","",""
"Paid","1986","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Paid","1986","Mecklenburg-Western Pomerania","Employed","","","",""
"Paid","1986","Saxony","Not Employed","","","",""
"Paid","1986","Saxony","Employed","","","",""
"Paid","1986","Saxony-Anhalt","Not Employed","","","",""
"Paid","1986","Saxony-Anhalt","Employed","","","",""
"Paid","1986","Thuringia","Not Employed","","","",""
"Paid","1986","Thuringia","Employed","","","",""
"Not paid","1986","Schleswig-Holstein","Not Employed","1","","",""
"Not paid","1986","Schleswig-Holstein","Employed","19","","",""
"Not paid","1986","Hamburg","Not Employed","1","","",""
"Not paid","1986","Hamburg","Employed","21","","",""
"Not paid","1986","Lower Saxony","Not Employed","","","",""
"Not paid","1986","Lower Saxony","Employed","71","0.186291901122612","0.147042458138348","0.225541344106875"
"Not paid","1986","Bremen","Not Employed","","","",""
"Not paid","1986","Bremen","Employed","3","","",""
"Not paid","1986","North Rhine-Westphalia","Not Employed","2","","",""
"Not paid","1986","North Rhine-Westphalia","Employed","178","0.234587298516127","0.206685557103186","0.262489039929068"
"Not paid","1986","Hesse","Not Employed","1","","",""
"Not paid","1986","Hesse","Employed","62","0.194220793749006","0.152657078643052","0.23578450885496"
"Not paid","1986","Rhineland-Palatinate,Saarland","Not Employed","1","","",""
"Not paid","1986","Rhineland-Palatinate,Saarland","Employed","43","0.200398997379098","0.147015668427255","0.253782326330941"
"Not paid","1986","Baden-Württemberg","Not Employed","2","","",""
"Not paid","1986","Baden-Württemberg","Employed","122","0.220700118708873","0.189483430082018","0.251916807335729"
"Not paid","1986","Bavaria","Not Employed","3","","",""
"Not paid","1986","Bavaria","Employed","110","0.197734586403059","0.165891789284246","0.229577383521872"
"Not paid","1986","Berlin","Not Employed","","","",""
"Not paid","1986","Berlin","Employed","21","","",""
"Not paid","1986","Brandenburg","Not Employed","","","",""
"Not paid","1986","Brandenburg","Employed","","","",""
"Not paid","1986","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Not paid","1986","Mecklenburg-Western Pomerania","Employed","","","",""
"Not paid","1986","Saxony","Not Employed","","","",""
"Not paid","1986","Saxony","Employed","","","",""
"Not paid","1986","Saxony-Anhalt","Not Employed","","","",""
"Not paid","1986","Saxony-Anhalt","Employed","","","",""
"Not paid","1986","Thuringia","Not Employed","","","",""
"Not paid","1986","Thuringia","Employed","","","",""
"Acclaimed","1987","Schleswig-Holstein","Not Employed","","","",""
"Acclaimed","1987","Schleswig-Holstein","Employed","","","",""
"Acclaimed","1987","Hamburg","Not Employed","","","",""
"Acclaimed","1987","Hamburg","Employed","","","",""
"Acclaimed","1987","Lower Saxony","Not Employed","","","",""
"Acclaimed","1987","Lower Saxony","Employed","","","",""
"Acclaimed","1987","Bremen","Not Employed","","","",""
"Acclaimed","1987","Bremen","Employed","","","",""
"Acclaimed","1987","North Rhine-Westphalia","Not Employed","","","",""
"Acclaimed","1987","North Rhine-Westphalia","Employed","","","",""
"Acclaimed","1987","Hesse","Not Employed","","","",""
"Acclaimed","1987","Hesse","Employed","","","",""
"Acclaimed","1987","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Acclaimed","1987","Rhineland-Palatinate,Saarland","Employed","","","",""
"Acclaimed","1987","Baden-Württemberg","Not Employed","","","",""
"Acclaimed","1987","Baden-Württemberg","Employed","","","",""
"Acclaimed","1987","Bavaria","Not Employed","","","",""
"Acclaimed","1987","Bavaria","Employed","","","",""
"Acclaimed","1987","Berlin","Not Employed","","","",""
"Acclaimed","1987","Berlin","Employed","","","",""
"Acclaimed","1987","Brandenburg","Not Employed","","","",""
"Acclaimed","1987","Brandenburg","Employed","","","",""
"Acclaimed","1987","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Acclaimed","1987","Mecklenburg-Western Pomerania","Employed","","","",""
"Acclaimed","1987","Saxony","Not Employed","","","",""
"Acclaimed","1987","Saxony","Employed","","","",""
"Acclaimed","1987","Saxony-Anhalt","Not Employed","","","",""
"Acclaimed","1987","Saxony-Anhalt","Employed","","","",""
"Acclaimed","1987","Thuringia","Not Employed","","","",""
"Acclaimed","1987","Thuringia","Employed","","","",""
"Partly, partly","1987","Schleswig-Holstein","Not Employed","","","",""
"Partly, partly","1987","Schleswig-Holstein","Employed","","","",""
"Partly, partly","1987","Hamburg","Not Employed","","","",""
"Partly, partly","1987","Hamburg","Employed","","","",""
"Partly, partly","1987","Lower Saxony","Not Employed","","","",""
"Partly, partly","1987","Lower Saxony","Employed","","","",""
"Partly, partly","1987","Bremen","Not Employed","","","",""
"Partly, partly","1987","Bremen","Employed","","","",""
"Partly, partly","1987","North Rhine-Westphalia","Not Employed","","","",""
"Partly, partly","1987","North Rhine-Westphalia","Employed","","","",""
"Partly, partly","1987","Hesse","Not Employed","","","",""
"Partly, partly","1987","Hesse","Employed","","","",""
"Partly, partly","1987","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Partly, partly","1987","Rhineland-Palatinate,Saarland","Employed","","","",""
"Partly, partly","1987","Baden-Württemberg","Not Employed","","","",""
"Partly, partly","1987","Baden-Württemberg","Employed","","","",""
"Partly, partly","1987","Bavaria","Not Employed","","","",""
"Partly, partly","1987","Bavaria","Employed","","","",""
"Partly, partly","1987","Berlin","Not Employed","","","",""
"Partly, partly","1987","Berlin","Employed","","","",""
"Partly, partly","1987","Brandenburg","Not Employed","","","",""
"Partly, partly","1987","Brandenburg","Employed","","","",""
"Partly, partly","1987","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Partly, partly","1987","Mecklenburg-Western Pomerania","Employed","","","",""
"Partly, partly","1987","Saxony","Not Employed","","","",""
"Partly, partly","1987","Saxony","Employed","","","",""
"Partly, partly","1987","Saxony-Anhalt","Not Employed","","","",""
