"ple0053","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2008","Employed","Rural Area","3619","0.905163744848945","0.896059027348925","0.914268462348966","2"
"No","2008","Not Employed","Urban Area","4101","0.842813132999913","0.832615722916507","0.853010543083319","2"
"Yes","2008","Employed","Rural Area","359","0.0948362551510546","0.0857315376510336","0.103940972651076","1"
"Yes","2008","Not Employed","Urban Area","793","0.157186867000087","0.146989456916681","0.167384277083492","1"
"Yes","2008","Not Employed","Rural Area","479","0.186260859882389","0.171232553545776","0.201289166219003","1"
"Yes","2008","Employed","Urban Area","633","0.0816839093724912","0.0756497827064014","0.0877180360385811","1"
"No","2009","Not Employed","Rural Area","1901","0.784063658926254","0.767577659769951","0.800549658082557","2"
"No","2009","Employed","Urban Area","6703","0.909181817507154","0.902621480933465","0.915742154080844","2"
"No","2009","Employed","Rural Area","3483","0.900018877299959","0.890545828693759","0.909491925906159","2"
"No","2009","Not Employed","Urban Area","3681","0.825764504699961","0.814643620045799","0.836885389354124","2"
"Yes","2009","Employed","Rural Area","369","0.099981122700041","0.0905080740938407","0.109454171306241","1"
"Yes","2009","Not Employed","Urban Area","788","0.174235495300039","0.163114610645876","0.185356379954201","1"
"Yes","2009","Not Employed","Rural Area","492","0.215936341073746","0.199450341917443","0.232422340230049","1"
"Yes","2009","Employed","Urban Area","667","0.0908181824928456","0.0842578459191558","0.0973785190665354","1"
"No","2010","Not Employed","Rural Area","2306","0.805412240312293","0.790951380020616","0.81987310060397","2"
"No","2010","Not Employed","Urban Area","4493","0.810294211494468","0.799991412648614","0.820597010340323","2"
"No","2010","Employed","Urban Area","9147","0.910714739543058","0.905188718054344","0.916240761031772","2"
"No","2010","Employed","Rural Area","4785","0.916092728004094","0.90866771317351","0.923517742834679","2"
"Yes","2010","Not Employed","Urban Area","1070","0.189705788505532","0.179402989659677","0.200008587351386","1"
"Yes","2010","Not Employed","Rural Area","573","0.194587759687707","0.18012689939603","0.209048619979384","1"
"Yes","2010","Employed","Urban Area","1082","0.0892852604569421","0.0837592389682279","0.0948112819456563","1"
"Yes","2010","Employed","Rural Area","571","0.0839072719959056","0.0764822571653207","0.0913322868264904","1"
"No","2011","Not Employed","Rural Area","2813","0.789834699341061","0.77644737668941","0.803222021992711","2"
"No","2011","Employed","Rural Area","5802","0.896558963865553","0.889155631070574","0.903962296660531","2"
"No","2011","Not Employed","Urban Area","5339","0.811543993381923","0.802106951664188","0.820981035099657","2"
"No","2011","Employed","Urban Area","10586","0.901707975019797","0.89633961412285","0.907076335916743","2"
"Yes","2011","Not Employed","Urban Area","1258","0.188456006618077","0.179018964900342","0.197893048335812","1"
"Yes","2011","Not Employed","Rural Area","745","0.210165300658939","0.196777978007289","0.22355262331059","1"
"Yes","2011","Employed","Urban Area","1228","0.0982920249802032","0.0929236640832566","0.10366038587715","1"
"Yes","2011","Employed","Rural Area","698","0.103441036134447","0.0960377033394691","0.110844368929426","1"
"No","2012","Not Employed","Rural Area","2825","0.788047998492969","0.774624763278088","0.801471233707851","2"
"No","2012","Employed","Rural Area","5723","0.893523808035018","0.885969966956819","0.901077649113217","2"
"No","2012","Not Employed","Urban Area","5087","0.803534490994284","0.793686462485471","0.813382519503097","2"
"No","2012","Employed","Urban Area","10302","0.898532957784095","0.893007148545179","0.904058767023011","2"
"Yes","2012","Not Employed","Urban Area","1166","0.196465509005716","0.186617480496903","0.206313537514529","1"
"Yes","2012","Not Employed","Rural Area","736","0.211952001507031","0.198528766292149","0.225375236721912","1"
"Yes","2012","Employed","Urban Area","1168","0.101467042215904","0.0959412329769885","0.10699285145482","1"
"Yes","2012","Employed","Rural Area","682","0.106476191964982","0.0989223508867826","0.114030033043181","1"
"No","2013","Not Employed","Rural Area","2542","0.784304763164603","0.770020558099585","0.79858896822962","2"
"No","2013","Employed","Rural Area","5388","0.890317454214549","0.882437949215638","0.898196959213459","2"
"No","2013","Not Employed","Urban Area","4603","0.790590803079784","0.780012085629744","0.801169520529825","2"
"No","2013","Employed","Urban Area","9758","0.899128416944908","0.893463566453833","0.904793267435984","2"
"Yes","2013","Not Employed","Rural Area","643","0.215695236835397","0.20141103177038","0.229979441900415","1"
"Yes","2013","Employed","Urban Area","1099","0.100871583055092","0.0952067325640163","0.106536433546167","1"
"Yes","2013","Employed","Rural Area","654","0.109682545785451","0.101803040786541","0.117562050784362","1"
"Yes","2013","Not Employed","Urban Area","1080","0.209409196920216","0.198830479470175","0.219987914370256","1"
"No","2014","Not Employed","Rural Area","2623","0.781736537040069","0.767591735106917","0.795881338973222","2"
"No","2014","Employed","Rural Area","5382","0.884633056457183","0.876562412384723","0.892703700529644","2"
"No","2014","Not Employed","Urban Area","4982","0.813982156906752","0.804214051070309","0.823750262743195","2"
"No","2014","Employed","Urban Area","10594","0.900330981855882","0.89491919046821","0.905742773243554","2"
"Yes","2014","Not Employed","Rural Area","653","0.218263462959931","0.204118661026778","0.232408264893083","1"
"Yes","2014","Employed","Urban Area","1176","0.0996690181441181","0.0942572267564461","0.10508080953179","1"
"Yes","2014","Employed","Rural Area","637","0.115366943542816","0.107296299470356","0.123437587615277","1"
"Yes","2014","Not Employed","Urban Area","1114","0.186017843093248","0.176249737256806","0.195785948929691","1"
"No","2015","Not Employed","Urban Area","4439","0.797034127903156","0.786399698046049","0.807668557760263","2"
"No","2015","Not Employed","Rural Area","2387","0.779538594388191","0.764686769176496","0.794390419599885","2"
"No","2015","Employed","Rural Area","5072","0.880483761589073","0.872085159218691","0.888882363959455","2"
"No","2015","Employed","Urban Area","9870","0.907715788352054","0.902283113251614","0.913148463452493","2"
"Yes","2015","Not Employed","Rural Area","606","0.220461405611809","0.205609580400115","0.235313230823504","1"
"Yes","2015","Not Employed","Urban Area","1056","0.202965872096844","0.192331442239737","0.213600301953951","1"
"Yes","2015","Employed","Urban Area","1033","0.0922842116479462","0.0868515365475065","0.0977168867483858","1"
"Yes","2015","Employed","Rural Area","659","0.119516238410927","0.111117636040545","0.127914840781309","1"
"No","2016","Employed","Rural Area","4917","0.889707133805759","0.881455360315206","0.897958907296313","2"
