"ple0053","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2004","Female","1506","0.142782703572529","0.136326219917872","0.149239187227186","1"
"No","2005","Male","8916","0.895327544629066","0.889301217308926","0.901353871949207","2"
"No","2005","Female","9512","0.8663196320169","0.859909204795363","0.872730059238437","2"
"Yes","2005","Male","997","0.104672455370934","0.0986461280507929","0.110698782691074","1"
"Yes","2005","Female","1314","0.1336803679831","0.127269940761563","0.140090795204637","1"
"No","2006","Male","9395","0.886475539493481","0.880407446540496","0.892543632446465","2"
"No","2006","Female","10064","0.862142008902542","0.855852555087057","0.868431462718026","2"
"Yes","2006","Male","1104","0.113524460506519","0.107456367553535","0.119592553459504","1"
"Yes","2006","Female","1478","0.137857991097458","0.131568537281974","0.144147444912943","1"
"No","2007","Male","8706","0.884481474400643","0.878148384188548","0.890814564612738","2"
"No","2007","Female","9403","0.866346540966632","0.859922700018287","0.872770381914978","2"
"Yes","2007","Male","1080","0.115518525599357","0.109185435387262","0.121851615811452","1"
"Yes","2007","Female","1376","0.133653459033368","0.127229618085022","0.140077299981713","1"
"No","2008","Male","8214","0.893214749467687","0.88691040751048","0.899519091424895","2"
"No","2008","Female","8886","0.872221194104172","0.865724913202826","0.878717475005518","2"
"Yes","2008","Male","1005","0.106785250532313","0.100480908575105","0.11308959248952","1"
"Yes","2008","Female","1259","0.127778805895828","0.121282524994482","0.134275086797174","1"
"No","2009","Male","7588","0.883054784626636","0.876271670334389","0.889837898918883","2"
"No","2009","Female","8180","0.858340588369919","0.851314571944569","0.86536660479527","2"
"Yes","2009","Male","1034","0.116945215373364","0.110162101081117","0.123728329665611","1"
"Yes","2009","Female","1282","0.141659411630081","0.13463339520473","0.148685428055431","1"
"No","2010","Male","9727","0.88032868554844","0.874244035556579","0.886413335540302","2"
"No","2010","Female","11004","0.865725641273495","0.859886278704462","0.871565003842529","2"
"Yes","2010","Male","1204","0.11967131445156","0.113586664459698","0.125755964443421","1"
"Yes","2010","Female","2092","0.134274358726505","0.128434996157471","0.140113721295538","1"
"No","2011","Male","11398","0.878884146137455","0.873252910110896","0.884515382164015","2"
"No","2011","Female","13142","0.850190785106158","0.844585787046346","0.855795783165969","2"
"Yes","2011","Male","1497","0.121115853862545","0.115484617835985","0.126747089889104","1"
"Yes","2011","Female","2432","0.149809214893842","0.144204216834031","0.155414212953654","1"
"No","2012","Male","10984","0.868932990947894","0.863033891161394","0.874832090734395","2"
"No","2012","Female","12953","0.851285726027089","0.845613816591302","0.856957635462877","2"
"Yes","2012","Male","1588","0.131067009052106","0.125167909265605","0.136966108838606","1"
"Yes","2012","Female","2164","0.148714273972911","0.143042364537123","0.154386183408698","1"
"No","2013","Male","10186","0.86169742806346","0.855431145615599","0.867963710511321","2"
"No","2013","Female","12105","0.848336591006276","0.842417706413251","0.854255475599301","2"
"Yes","2013","Male","1473","0.13830257193654","0.132036289488679","0.144568854384401","1"
"Yes","2013","Female","2003","0.151663408993724","0.145744524400699","0.157582293586749","1"
"No","2014","Male","10986","0.871716771482418","0.86584816118443","0.877585381780405","2"
"No","2014","Female","12595","0.850612440043535","0.844847565760523","0.856377314326546","2"
"Yes","2014","Male","1487","0.128283228517582","0.122414618219595","0.13415183881557","1"
"Yes","2014","Female","2093","0.149387559956466","0.143622685673454","0.155152434239477","1"
"No","2015","Male","10052","0.8689990158273","0.862830802063044","0.875167229591555","2"
"No","2015","Female","11716","0.850077387440769","0.844083689790913","0.856071085090625","2"
"Yes","2015","Male","1442","0.1310009841727","0.124832770408445","0.137169197936956","1"
"Yes","2015","Female","1912","0.149922612559231","0.143928914909375","0.155916310209087","1"
"No","2016","Male","9778","0.875377312440714","0.869234248874053","0.881520376007375","2"
"No","2016","Female","11264","0.854078132216573","0.848045891762645","0.860110372670501","2"
"Yes","2016","Male","1327","0.124622687559286","0.118479623992625","0.130765751125947","1"
"Yes","2016","Female","1893","0.145921867783427","0.139889627329499","0.151954108237355","1"
"No","2017","Male","10709","0.866939963491685","0.860930628096576","0.872949298886795","2"
"No","2017","Female","12249","0.848445064889993","0.842564486066246","0.85432564371374","2"
"Yes","2017","Male","1562","0.133060036508315","0.127050701113205","0.139069371903424","1"
"Yes","2017","Female","2035","0.151554935110007","0.14567435628626","0.157435513933754","1"
"No","2018","Male","10327","0.871758849759984","0.865728348472744","0.877789351047224","2"
"No","2018","Female","11891","0.846058770990649","0.84005013972462","0.852067402256677","2"
"Yes","2018","Male","1482","0.128241150240016","0.122210648952776","0.134271651527256","1"
"Yes","2018","Female","1967","0.153941229009351","0.147932597743323","0.15994986027538","1"
"No","2019","Male","10738","0.870639775855098","0.864714006494443","0.876565545215752","2"
"No","2019","Female","11609","0.847773172650996","0.841713256158115","0.853833089143877","2"
"Yes","2019","Male","1583","0.129360224144902","0.123434454784248","0.135285993505557","1"
"Yes","2019","Female","1891","0.152226827349004","0.146166910856123","0.158286743841885","1"
