"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1991","no migration background","in school","6.12","1.99","97","0.76","1.19","4.58","19.72","49.9","4.17","8.07","0","49.9","1.50527095794678","2.9293532371521"
"1991","no migration background","inadequately","15.4","3.03","68","0","0","12.76","68.68","100","9.05","21.75","0","100","1.63925671577454","6.20272302627563"
"1991","no migration background","middle vocational","4.17","0","3632","0","0","2.51","10.78","68.43","3.82","4.52","0","100","0","0.693816661834717"
"1991","no migration background","vocational + Abi","3.87","0","200","0","0","2.22","11.27","41.66","2.52","5.22","0","86.76","0","0.55250608921051"
"1992","direct migration background","general elemantary","7.96","1.1","827","0","0","6.33","19.82","90.43","6.78","9.14","0","100","1.84617233276367","2.36808228492737"
"1992","direct migration background","higher education","4.32","0.57","132","0","0","4.03","12.19","99.46","2.4","6.24","0","99.46","0.57304984331131","1.79952645301819"
"1992","direct migration background","higher vocational","3.91","0","63","0","0","2.99","12.8","93.14","-0.72","8.54","0","100","0","2.54638051986694"
"1992","direct migration background","in school","","","","","","","","","","","","","",""
"1992","direct migration background","inadequately","9.02","2.68","518","0","0","9.7","24.57","99.08","7.52","10.52","0","100","2.61010026931763","4.07008504867554"
"1992","direct migration background","middle vocational","4.6","0.67","849","0","0","3.56","12.25","67.24","3.65","5.55","0","100","1.35034084320068","1.83618986606598"
"1992","direct migration background","vocational + Abi","20.54","4.02","98","0","0","20.63","99.27","100","14.95","26.13","0","100","2.0073230266571","7.01174974441528"
"1992","indirect migration background","general elemantary","9.23","2.23","168","0","0","11.29","22.7","76.04","6.58","11.88","0","95.07","1.46386408805847","3.84736013412476"
"1992","indirect migration background","higher education","","","","","","","","","","","","","",""
"1992","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1992","indirect migration background","in school","13.77","4.84","48","1.36","1.7","14.22","27.97","99.42","6.67","20.87","0","99.42","3.22343301773071","10.5260753631592"
"1992","indirect migration background","inadequately","","","","","","","","","","","","","",""
