"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2012","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2012","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2012","66 and older","Rural Area","","","","","","","","","","","","","",""
"2012","66 and older","Urban Area","","","","","","","","","","","","","",""
"2013","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2013","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2013","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2013","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2013","66 and older","Rural Area","","","","","","","","","","","","","",""
"2013","66 and older","Urban Area","","","","","","","","","","","","","",""
"2014","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2014","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2014","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2014","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2014","66 and older","Rural Area","","","","","","","","","","","","","",""
"2014","66 and older","Urban Area","","","","","","","","","","","","","",""
"2015","16-34 y.","Rural Area","5.25","5","2036","3","4","6","7","7","5.18","5.32","1","7","5","6"
"2015","16-34 y.","Urban Area","5.34","6","4582","4","5","6","7","7","5.3","5.38","1","7","6","6"
"2015","35-65 y.","Rural Area","5.26","6","5314","3","4","6","7","7","5.22","5.3","1","7","5","6"
"2015","35-65 y.","Urban Area","5.28","6","9809","3","4","6","7","7","5.25","5.31","1","7","6","6"
"2015","66 and older","Rural Area","5.27","6","1763","3","4","6","7","7","5.2","5.34","1","7","5","6"
"2015","66 and older","Urban Area","5.31","6","3152","3","4","7","7","7","5.26","5.36","1","7","6","6"
"2016","16-34 y.","Rural Area","6.19","7","776","4","6","7","7","7","6.11","6.27","1","7","7","7"
"2016","16-34 y.","Urban Area","5.87","7","1699","4","5","7","7","7","5.82","5.92","1","7","7","7"
"2016","35-65 y.","Rural Area","6.48","7","556","5","6","7","7","7","6.4","6.56","1","7","7","7"
"2016","35-65 y.","Urban Area","6.03","7","1286","4","6","7","7","7","5.97","6.09","1","7","7","7"
"2016","66 and older","Rural Area","","","","","","","","","","","","","",""
"2016","66 and older","Urban Area","","","","","","","","","","","","","",""
"2017","16-34 y.","Rural Area","6.31","7","493","4","6","7","7","7","6.2","6.42","1","7","7","7"
"2017","16-34 y.","Urban Area","6.32","7","1352","5","6","7","7","7","6.26","6.38","1","7","7","7"
"2017","35-65 y.","Rural Area","6.51","7","268","5","7","7","7","7","6.35","6.67","1","7","7","7"
"2017","35-65 y.","Urban Area","6.45","7","701","5","6","7","7","7","6.37","6.53","1","7","7","7"
"2017","66 and older","Rural Area","","","","","","","","","","","","","",""
"2017","66 and older","Urban Area","","","","","","","","","","","","","",""
"2018","16-34 y.","Rural Area","6.61","7","94","5","7","7","7","7","6.35","6.87","1","7","7","7"
"2018","16-34 y.","Urban Area","6.52","7","160","5","7","7","7","7","6.34","6.7","1","7","7","7"
"2018","35-65 y.","Rural Area","6.53","7","60","5","7","7","7","7","6.28","6.78","4","7","7","7"
"2018","35-65 y.","Urban Area","5.83","7","101","1","5","7","7","7","5.51","6.15","1","7","7","7"
"2018","66 and older","Rural Area","","","","","","","","","","","","","",""
"2018","66 and older","Urban Area","","","","","","","","","","","","","",""
"2019","16-34 y.","Rural Area","6.19","6.23","45","4","6","7","7","7","5.78","6.6","1","7","6","7"
"2019","16-34 y.","Urban Area","6.12","7","101","4","6","7","7","7","5.85","6.39","1","7","7","7"
"2019","35-65 y.","Rural Area","5.96","7","53","3","5","7","7","7","5.52","6.4","1","7","6","7"
"2019","35-65 y.","Urban Area","6.32","7","70","4","6","7","7","7","6","6.64","1","7","7","7"
"2019","66 and older","Rural Area","","","","","","","","","","","","","",""
"2019","66 and older","Urban Area","","","","","","","","","","","","","",""
