"year","education","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1994","Other degree","(0) in school","","","","","","","","","","","","","",""
"1994","Other degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"1994","Other degree","(1b) general elementary school","4.53","5","475","3","4","5","5","5","4.46","4.6","2","5","5","5"
"1994","Other degree","(1c) basic vocational qualification","4.36","5","289","3","4","5","5","5","4.26","4.46","2","5","4","5"
"1994","Other degree","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1994","Other degree","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1994","Other degree","(2c_gen) general maturity certificate","4.28","5","42","3","4","5","5","5","3.99","4.57","2","5","4","5"
"1994","Other degree","(2c_voc) vocational maturity certificate","4.42","5","62","3","4","5","5","5","4.23","4.61","2","5","4","5"
"1994","Other degree","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1994","Other degree","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1994","secondary school degree","(0) in school","","","","","","","","","","","","","",""
"1994","secondary school degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"1994","secondary school degree","(1b) general elementary school","","","","","","","","","","","","","",""
"1994","secondary school degree","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1994","secondary school degree","(2a) intermediate vocational","3.93","4","2555","3","4","5","5","5","3.9","3.96","2","5","4","4"
"1994","secondary school degree","(2b) intermediate general qualification","3.47","4","458","2","2","4","5","5","3.37","3.57","2","5","3","3"
"1994","secondary school degree","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1994","secondary school degree","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1994","secondary school degree","(3a) lower tertiary education","4.13","4","436","3","4","5","5","5","4.06","4.2","2","5","4","4"
"1994","secondary school degree","(3b) higher tertiary education","4.24","4","42","3","4","5","5","5","4.01","4.47","2","5","4","4"
"1995","college entrance qualification","(0) in school","","","","","","","","","","","","","",""
"1995","college entrance qualification","(1a) inadequately completed","","","","","","","","","","","","","",""
"1995","college entrance qualification","(1b) general elementary school","","","","","","","","","","","","","",""
"1995","college entrance qualification","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1995","college entrance qualification","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1995","college entrance qualification","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1995","college entrance qualification","(2c_gen) general maturity certificate","3.11","3","381","2","2","4","4","5","3.02","3.2","1","5","3","3"
"1995","college entrance qualification","(2c_voc) vocational maturity certificate","3.85","4","470","3","3","4","5","5","3.78","3.92","2","5","4","4"
"1995","college entrance qualification","(3a) lower tertiary education","4.04","4","325","3","4","5","5","5","3.95","4.13","2","5","4","4"
"1995","college entrance qualification","(3b) higher tertiary education","4.09","4","734","3","4","5","5","5","4.04","4.14","2","5","4","4"
"1995","lower secondary degree","(0) in school","","","","","","","","","","","","","",""
"1995","lower secondary degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"1995","lower secondary degree","(1b) general elementary school","4.56","5","1532","3","4","5","5","5","4.51","4.61","2","5","5","5"
"1995","lower secondary degree","(1c) basic vocational qualification","4.42","5","3707","3","4","5","5","5","4.39","4.45","1","5","5","5"
"1995","lower secondary degree","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1995","lower secondary degree","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1995","lower secondary degree","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1995","lower secondary degree","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1995","lower secondary degree","(3a) lower tertiary education","4.69","5","94","4","4","5","5","5","4.58","4.8","3","5","5","5"
"1995","lower secondary degree","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1995","no degree/no degree yet","(0) in school","2.83","3","265","2","2","3","4","5","2.72","2.94","2","5","3","3"
"1995","no degree/no degree yet","(1a) inadequately completed","4.56","5","596","3","4","5","5","5","4.5","4.62","2","5","5","5"
"1995","no degree/no degree yet","(1b) general elementary school","","","","","","","","","","","","","",""
"1995","no degree/no degree yet","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1995","no degree/no degree yet","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1995","no degree/no degree yet","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1995","no degree/no degree yet","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1995","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1995","no degree/no degree yet","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1995","no degree/no degree yet","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1995","Other degree","(0) in school","","","","","","","","","","","","","",""
"1995","Other degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"1995","Other degree","(1b) general elementary school","4.59","5","522","3","4","5","5","5","4.53","4.65","2","5","5","5"
"1995","Other degree","(1c) basic vocational qualification","4.52","5","375","3","4","5","5","5","4.44","4.6","2","5","5","5"
"1995","Other degree","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1995","Other degree","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1995","Other degree","(2c_gen) general maturity certificate","4.48","5","73","3","4","5","5","5","4.3","4.66","1","5","4","5"
"1995","Other degree","(2c_voc) vocational maturity certificate","4.2","4.54","119","2","4","5","5","5","4.05","4.35","2","5","5","5"
"1995","Other degree","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1995","Other degree","(3b) higher tertiary education","3.81","4","81","2","3","5","5","5","3.61","4.01","2","5","4","5"
"1995","secondary school degree","(0) in school","","","","","","","","","","","","","",""
"1995","secondary school degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"1995","secondary school degree","(1b) general elementary school","","","","","","","","","","","","","",""
"1995","secondary school degree","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1995","secondary school degree","(2a) intermediate vocational","4.05","4","2616","3","4","5","5","5","4.02","4.08","1","5","4","4"
"1995","secondary school degree","(2b) intermediate general qualification","3.6","4","472","2","3","5","5","5","3.5","3.7","2","5","3","4"
"1995","secondary school degree","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1995","secondary school degree","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1995","secondary school degree","(3a) lower tertiary education","4.2","4","432","3","4","5","5","5","4.13","4.27","2","5","4","4"
"1995","secondary school degree","(3b) higher tertiary education","4.29","4","46","3","4","5","5","5","4.08","4.5","2","5","4","5"
"1996","college entrance qualification","(0) in school","","","","","","","","","","","","","",""
"1996","college entrance qualification","(1a) inadequately completed","","","","","","","","","","","","","",""
"1996","college entrance qualification","(1b) general elementary school","","","","","","","","","","","","","",""
"1996","college entrance qualification","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1996","college entrance qualification","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1996","college entrance qualification","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1996","college entrance qualification","(2c_gen) general maturity certificate","3.05","3","356","2","2","4","5","5","2.95","3.15","2","5","3","3"
"1996","college entrance qualification","(2c_voc) vocational maturity certificate","3.65","4","480","2","3","4","5","5","3.57","3.73","2","5","4","4"
"1996","college entrance qualification","(3a) lower tertiary education","3.84","4","339","3","3","4","5","5","3.76","3.92","2","5","4","4"
"1996","college entrance qualification","(3b) higher tertiary education","3.93","4","736","3","3","4","5","5","3.87","3.99","2","5","4","4"
"1996","lower secondary degree","(0) in school","","","","","","","","","","","","","",""
"1996","lower secondary degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"1996","lower secondary degree","(1b) general elementary school","4.44","5","1464","3","4","5","5","5","4.39","4.49","2","5","5","5"
"1996","lower secondary degree","(1c) basic vocational qualification","4.2","4","3643","3","4","5","5","5","4.17","4.23","2","5","4","4"
"1996","lower secondary degree","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1996","lower secondary degree","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1996","lower secondary degree","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1996","lower secondary degree","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1996","lower secondary degree","(3a) lower tertiary education","4.37","5","91","3","4","5","5","5","4.2","4.54","2","5","4","5"
