"year","e11103","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","Full Time","East Germany","4.34","4","1859","3","4","5","5","5","4.31","4.37","1","5","5","5"
"2008","Full Time","West Germany","4.2","4","5610","3","4","5","5","5","4.18","4.22","1","5","4","4"
"2008","Not Working","East Germany","4.54","5","1965","4","4","5","5","5","4.51","4.57","1","5","5","5"
"2008","Not Working","West Germany","4.5","5","5450","3","4","5","5","5","4.48","4.52","1","5","5","5"
"2008","Part Time","East Germany","4.28","4","937","3","4","5","5","5","4.23","4.33","1","5","4","5"
"2008","Part Time","West Germany","4.2","4","3470","3","4","5","5","5","4.17","4.23","1","5","4","4"
"2009","Full Time","East Germany","","","","","","","","","","","","","",""
"2009","Full Time","West Germany","","","","","","","","","","","","","",""
"2009","Not Working","East Germany","","","","","","","","","","","","","",""
"2009","Not Working","West Germany","","","","","","","","","","","","","",""
"2009","Part Time","East Germany","","","","","","","","","","","","","",""
"2009","Part Time","West Germany","","","","","","","","","","","","","",""
"2010","Full Time","East Germany","","","","","","","","","","","","","",""
"2010","Full Time","West Germany","","","","","","","","","","","","","",""
"2010","Not Working","East Germany","","","","","","","","","","","","","",""
"2010","Not Working","West Germany","","","","","","","","","","","","","",""
"2010","Part Time","East Germany","","","","","","","","","","","","","",""
"2010","Part Time","West Germany","","","","","","","","","","","","","",""
"2011","Full Time","East Germany","","","","","","","","","","","","","",""
"2011","Full Time","West Germany","","","","","","","","","","","","","",""
"2011","Not Working","East Germany","","","","","","","","","","","","","",""
"2011","Not Working","West Germany","","","","","","","","","","","","","",""
"2011","Part Time","East Germany","","","","","","","","","","","","","",""
"2011","Part Time","West Germany","","","","","","","","","","","","","",""
"2012","Full Time","East Germany","","","","","","","","","","","","","",""
"2012","Full Time","West Germany","","","","","","","","","","","","","",""
"2012","Not Working","East Germany","","","","","","","","","","","","","",""
"2012","Not Working","West Germany","","","","","","","","","","","","","",""
"2012","Part Time","East Germany","","","","","","","","","","","","","",""
"2012","Part Time","West Germany","","","","","","","","","","","","","",""
"2013","Full Time","East Germany","4.41","5","2205","3","4","5","5","5","4.38","4.44","1","5","5","5"
"2013","Full Time","West Germany","4.18","4","7415","3","4","5","5","5","4.16","4.2","1","5","4","4"
"2013","Not Working","East Germany","4.59","5","2158","4","4","5","5","5","4.56","4.62","1","5","5","5"
"2013","Not Working","West Germany","4.51","5","6603","3","4","5","5","5","4.49","4.53","1","5","5","5"
"2013","Part Time","East Germany","4.39","5","1365","3","4","5","5","5","4.35","4.43","1","5","5","5"
"2013","Part Time","West Germany","4.24","4","5750","3","4","5","5","5","4.22","4.26","1","5","4","4"
"2014","Full Time","East Germany","","","","","","","","","","","","","",""
"2014","Full Time","West Germany","","","","","","","","","","","","","",""
"2014","Not Working","East Germany","","","","","","","","","","","","","",""
"2014","Not Working","West Germany","","","","","","","","","","","","","",""
"2014","Part Time","East Germany","","","","","","","","","","","","","",""
"2014","Part Time","West Germany","","","","","","","","","","","","","",""
"2015","Full Time","East Germany","","","","","","","","","","","","","",""
"2015","Full Time","West Germany","","","","","","","","","","","","","",""
"2015","Not Working","East Germany","","","","","","","","","","","","","",""
"2015","Not Working","West Germany","","","","","","","","","","","","","",""
"2015","Part Time","East Germany","","","","","","","","","","","","","",""
"2015","Part Time","West Germany","","","","","","","","","","","","","",""
"2016","Full Time","East Germany","","","","","","","","","","","","","",""
"2016","Full Time","West Germany","","","","","","","","","","","","","",""
"2016","Not Working","East Germany","","","","","","","","","","","","","",""
"2016","Not Working","West Germany","","","","","","","","","","","","","",""
"2016","Part Time","East Germany","","","","","","","","","","","","","",""
"2016","Part Time","West Germany","","","","","","","","","","","","","",""
"2017","Full Time","East Germany","","","","","","","","","","","","","",""
"2017","Full Time","West Germany","","","","","","","","","","","","","",""
"2017","Not Working","East Germany","","","","","","","","","","","","","",""
"2017","Not Working","West Germany","","","","","","","","","","","","","",""
"2017","Part Time","East Germany","","","","","","","","","","","","","",""
"2017","Part Time","West Germany","","","","","","","","","","","","","",""
"2018","Full Time","East Germany","4.27","4","2161","3","4","5","5","5","4.24","4.3","1","5","4","5"
"2018","Full Time","West Germany","4","4","7746","3","3","5","5","5","3.98","4.02","1","5","4","4"
"2018","Not Working","East Germany","4.54","5","1997","3","4","5","5","5","4.5","4.58","1","5","5","5"
"2018","Not Working","West Germany","4.39","5","6247","3","4","5","5","5","4.37","4.41","1","5","5","5"
"2018","Part Time","East Germany","4.23","4","1351","3","4","5","5","5","4.18","4.28","1","5","4","5"
"2018","Part Time","West Germany","4.04","4","6184","3","3","5","5","5","4.02","4.06","1","5","4","4"
