"ple0179","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Two to four days a month","2018","direct migration background","West Germany","517","0.145294605431688","0.134484135869728","0.156105074993648"
"Two to four days a month","2018","direct migration background","East Germany","44","0.145421879087897","0.10827684146598","0.182566916709813"
"Two to four days a month","2018","indirect migration background","West Germany","200","0.123340444487077","0.107141904450174","0.139538984523981"
"Two to four days a month","2018","indirect migration background","East Germany","16","","",""
"Once a month or less","2018","no migration background","West Germany","461","0.0354226433891088","0.0324122181909394","0.0384330685872781"
"Once a month or less","2018","no migration background","East Germany","152","0.025307003822234","0.0209628292585183","0.0296511783859498"
"Once a month or less","2018","direct migration background","West Germany","173","0.0469923002341515","0.0405003804111176","0.0534842200571853"
"Once a month or less","2018","direct migration background","East Germany","16","","",""
"Once a month or less","2018","indirect migration background","West Germany","61","0.0518231271363437","0.0409033413070723","0.0627429129656152"
"Once a month or less","2018","indirect migration background","East Germany","5","","",""
"Never","2018","no migration background","West Germany","519","0.0338311536976292","0.0308867066758452","0.0367756007194132"
"Never","2018","no migration background","East Germany","101","0.0231371771791551","0.0189787896730236","0.0272955646852865"
"Never","2018","direct migration background","West Germany","117","0.0251802002442959","0.0203739835081992","0.0299864169803926"
"Never","2018","direct migration background","East Germany","18","","",""
"Never","2018","indirect migration background","West Germany","71","0.0462840370453365","0.0359342175470128","0.0566338565436603"
"Never","2018","indirect migration background","East Germany","2","","",""
