"ple0179","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Never","2017","Not Working","Female","","","",""
"Daily","2018","Full Time","Male","1189","0.186079630212694","0.176465165768208","0.19569409465718"
"Daily","2018","Full Time","Female","257","0.0684564955275359","0.0601970804770118","0.07671591057806"
"Daily","2018","Part Time","Male","337","0.159157713925049","0.143375629475942","0.174939798374156"
"Daily","2018","Part Time","Female","383","0.0593308671323035","0.0530617049076013","0.0656000293570057"
"Daily","2018","Not Working","Male","384","0.0936782461811975","0.0839665256972876","0.103389966665107"
"Daily","2018","Not Working","Female","290","0.0487983641900815","0.0426868924220327","0.0549098359581303"
"Four to six days a week","2018","Full Time","Male","1936","0.303248597607917","0.291892658684711","0.314604536531122"
"Four to six days a week","2018","Full Time","Female","690","0.192873071247873","0.179968395247486","0.20577774724826"
"Four to six days a week","2018","Part Time","Male","558","0.252467324605696","0.233725540796005","0.271209108415387"
"Four to six days a week","2018","Part Time","Female","1030","0.182417881270371","0.172169621874274","0.192666140666467"
"Four to six days a week","2018","Not Working","Male","839","0.250638402626521","0.236193815923894","0.265082989329148"
"Four to six days a week","2018","Not Working","Female","800","0.151811556676413","0.141632548203179","0.161990565149648"
"Two to three days a week","2018","Full Time","Male","2509","0.401172777610429","0.389063974519557","0.4132815807013"
"Two to three days a week","2018","Full Time","Female","1628","0.43338054440055","0.417172865087567","0.449588223713533"
"Two to three days a week","2018","Part Time","Male","867","0.432321659859734","0.410949525100139","0.453693794619328"
"Two to three days a week","2018","Part Time","Female","2618","0.473493958457724","0.460244149573125","0.486743767342323"
"Two to three days a week","2018","Not Working","Male","1681","0.476156851827395","0.45951079973077","0.49280290392402"
"Two to three days a week","2018","Not Working","Female","2454","0.52638532769773","0.51222180295962","0.54054885243584"
"Two to four days a month","2018","Full Time","Male","475","0.0800709059024929","0.0733658983730149","0.0867759134319709"
"Two to four days a month","2018","Full Time","Female","651","0.185913965526324","0.173189734435253","0.198638196617396"
"Two to four days a month","2018","Part Time","Male","211","0.113834158231387","0.100132060918146","0.127536255544628"
"Two to four days a month","2018","Part Time","Female","866","0.170391764146822","0.160414498382599","0.180369029911046"
"Two to four days a month","2018","Not Working","Male","439","0.14594345607331","0.134176307900672","0.157710604245948"
"Two to four days a month","2018","Not Working","Female","848","0.192861294251884","0.181669402289418","0.204053186214349"
"Once a month or less","2018","Full Time","Male","97","0.0137639917925213","0.0108856169403339","0.0166423666447088"
"Once a month or less","2018","Full Time","Female","191","0.0636762044186377","0.0556899709363023","0.071662437900973"
"Once a month or less","2018","Part Time","Male","48","0.0216760981962714","0.0153937047490007","0.0279584916435421"
"Once a month or less","2018","Part Time","Female","249","0.0538393089793305","0.04784991471145","0.0598287032472111"
"Once a month or less","2018","Not Working","Male","71","0.0214534886858777","0.0166242875309359","0.0262826898408194"
"Once a month or less","2018","Not Working","Female","212","0.0495680466079906","0.0434110587050205","0.0557250345109607"
"Never","2018","Full Time","Male","88","0.0156640968739467","0.0125964238668553","0.0187317698810381"
"Never","2018","Full Time","Female","174","0.0556997188790782","0.0481986707925822","0.0632007669655742"
"Never","2018","Part Time","Male","43","0.0205430451818628","0.0144235114589606","0.0266625789047649"
"Never","2018","Part Time","Female","309","0.0605262200134492","0.0541982440399624","0.0668541959869359"
"Never","2018","Not Working","Male","44","0.0121295546056995","0.00848110778973927","0.0157780014216597"
"Never","2018","Not Working","Female","170","0.0305754105759007","0.0256916985403814","0.03545912261142"
