"ple0179","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Two to three days a week","2018","East Germany","Female","1500","0.501721956578497","0.483724830006913","0.51971908315008"
"Two to four days a month","2018","West Germany","Male","881","0.105617124156885","0.099368289562055","0.111865958751715"
"Two to four days a month","2018","West Germany","Female","1832","0.181046673128797","0.173803013631461","0.188290332626133"
"Two to four days a month","2018","East Germany","Male","244","0.107524059447286","0.0954364463516184","0.119611672542954"
"Two to four days a month","2018","East Germany","Female","533","0.194430761114224","0.180185524498463","0.208675997729985"
"Once a month or less","2018","West Germany","Male","178","0.0183837764010513","0.0156525459188965","0.0211150068832061"
"Once a month or less","2018","West Germany","Female","517","0.0580648891009634","0.0536654179885349","0.0624643602133919"
"Once a month or less","2018","East Germany","Male","38","0.0131400327137094","0.00869663226126471","0.0175834331661541"
"Once a month or less","2018","East Germany","Female","135","0.0393826782739227","0.032381621931623","0.0463837346162225"
"Never","2018","West Germany","Male","142","0.0155316881206117","0.0130176009961829","0.0180457752450405"
"Never","2018","West Germany","Female","565","0.0501409842096317","0.0460355492239161","0.0542464191953474"
"Never","2018","East Germany","Male","33","0.0151106785067931","0.0103504789129388","0.0198708781006473"
"Never","2018","East Germany","Female","88","0.0350578716645575","0.0284375491124754","0.0416781942166396"
