"ple0179","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Hesse","(Married) couple without C. ","46","0.0976260648271357","0.071101289381213","0.124150840273058"
"Daily","2016","Hesse","Single parent ","11","","",""
"Daily","2016","Hesse","Couple + C. LE 16 ","46","0.129318001556829","0.0961007012765075","0.16253530183715"
"Daily","2016","Hesse","Couple + C. GT 16 ","22","","",""
"Daily","2016","Hesse","Couple + C. LE and GT 16","22","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","1-pers.-HH","10","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","(Married) couple without C. ","26","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Single parent ","8","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","56","0.146969315732068","0.110136953144657","0.183801678319479"
"Daily","2016","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","18","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","6","","",""
"Daily","2016","Baden-Württemberg","1-pers.-HH","19","","",""
"Daily","2016","Baden-Württemberg","(Married) couple without C. ","36","0.050635944899771","0.034996531243662","0.06627535855588"
"Daily","2016","Baden-Württemberg","Single parent ","15","","",""
"Daily","2016","Baden-Württemberg","Couple + C. LE 16 ","72","0.0955780541532045","0.0749844742911566","0.116171634015252"
"Daily","2016","Baden-Württemberg","Couple + C. GT 16 ","30","0.0925544500977399","0.061973745787685","0.123135154407795"
"Daily","2016","Baden-Württemberg","Couple + C. LE and GT 16","28","","",""
"Daily","2016","Bavaria","1-pers.-HH","29","","",""
"Daily","2016","Bavaria","(Married) couple without C. ","91","0.0610639287179132","0.0470718508665091","0.0750560065693174"
"Daily","2016","Bavaria","Single parent ","25","","",""
"Daily","2016","Bavaria","Couple + C. LE 16 ","123","0.111387065049981","0.091537173876193","0.131236956223769"
"Daily","2016","Bavaria","Couple + C. GT 16 ","52","0.117338576698666","0.0887266280143581","0.145950525382974"
"Daily","2016","Bavaria","Couple + C. LE and GT 16","45","0.151021179317903","0.114236687895657","0.18780567074015"
"Daily","2016","Berlin","1-pers.-HH","23","","",""
"Daily","2016","Berlin","(Married) couple without C. ","23","","",""
"Daily","2016","Berlin","Single parent ","12","","",""
"Daily","2016","Berlin","Couple + C. LE 16 ","33","0.121227144346331","0.0741943826033595","0.168259906089303"
"Daily","2016","Berlin","Couple + C. GT 16 ","5","","",""
"Daily","2016","Berlin","Couple + C. LE and GT 16","9","","",""
"Daily","2016","Brandenburg","1-pers.-HH","13","","",""
"Daily","2016","Brandenburg","(Married) couple without C. ","37","0.0604101030253728","0.0367953357638259","0.0840248702869196"
"Daily","2016","Brandenburg","Single parent ","6","","",""
"Daily","2016","Brandenburg","Couple + C. LE 16 ","23","","",""
"Daily","2016","Brandenburg","Couple + C. GT 16 ","2","","",""
"Daily","2016","Brandenburg","Couple + C. LE and GT 16","10","","",""
"Daily","2016","Mecklenburg-Western Pomerania","1-pers.-HH","22","","",""
"Daily","2016","Mecklenburg-Western Pomerania","(Married) couple without C. ","31","0.153575769213755","0.103356442106298","0.203795096321211"
"Daily","2016","Mecklenburg-Western Pomerania","Single parent ","12","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","21","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","4","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","5","","",""
"Daily","2016","Saxony","1-pers.-HH","22","","",""
"Daily","2016","Saxony","(Married) couple without C. ","44","0.0710390809640346","0.0493116520738653","0.0927665098542038"
"Daily","2016","Saxony","Single parent ","9","","",""
"Daily","2016","Saxony","Couple + C. LE 16 ","34","0.0653870817198918","0.036886020115363","0.0938881433244206"
"Daily","2016","Saxony","Couple + C. GT 16 ","19","","",""
"Daily","2016","Saxony","Couple + C. LE and GT 16","16","","",""
"Daily","2016","Saxony-Anhalt","1-pers.-HH","19","","",""
"Daily","2016","Saxony-Anhalt","(Married) couple without C. ","37","0.120595053051702","0.082984385155057","0.158205720948347"
"Daily","2016","Saxony-Anhalt","Single parent ","14","","",""
"Daily","2016","Saxony-Anhalt","Couple + C. LE 16 ","33","0.172091686430339","0.114497693864653","0.229685678996024"
"Daily","2016","Saxony-Anhalt","Couple + C. GT 16 ","7","","",""
"Daily","2016","Saxony-Anhalt","Couple + C. LE and GT 16","8","","",""
"Daily","2016","Thuringia","1-pers.-HH","15","","",""
"Daily","2016","Thuringia","(Married) couple without C. ","35","0.107609983709367","0.0748629094967189","0.140357057922016"
"Daily","2016","Thuringia","Single parent ","13","","",""
"Daily","2016","Thuringia","Couple + C. LE 16 ","31","0.179006416419933","0.122208389746297","0.23580444309357"
"Daily","2016","Thuringia","Couple + C. GT 16 ","12","","",""
"Daily","2016","Thuringia","Couple + C. LE and GT 16","12","","",""
"Four to six days a week","2016","Schleswig-Holstein","1-pers.-HH","23","","",""
"Four to six days a week","2016","Schleswig-Holstein","(Married) couple without C. ","53","0.247019810334706","0.19116147138548","0.302878149283932"
