"year","age_gr","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2001","66 and older","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2002","16-34 y.","(0) in school","","","","","","","","","","","","","",""
"2002","16-34 y.","(1a) inadequately completed","","","","","","","","","","","","","",""
"2002","16-34 y.","(1b) general elementary school","","","","","","","","","","","","","",""
"2002","16-34 y.","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2002","16-34 y.","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2002","16-34 y.","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2002","16-34 y.","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2002","16-34 y.","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2002","16-34 y.","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2002","16-34 y.","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2002","35-65 y.","(0) in school","","","","","","","","","","","","","",""
"2002","35-65 y.","(1a) inadequately completed","","","","","","","","","","","","","",""
"2002","35-65 y.","(1b) general elementary school","","","","","","","","","","","","","",""
"2002","35-65 y.","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2002","35-65 y.","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2002","35-65 y.","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2002","35-65 y.","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2002","35-65 y.","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2002","35-65 y.","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2002","35-65 y.","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2002","66 and older","(0) in school","","","","","","","","","","","","","",""
"2002","66 and older","(1a) inadequately completed","","","","","","","","","","","","","",""
"2002","66 and older","(1b) general elementary school","","","","","","","","","","","","","",""
"2002","66 and older","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2002","66 and older","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2002","66 and older","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2002","66 and older","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2002","66 and older","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2002","66 and older","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2002","66 and older","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2003","16-34 y.","(0) in school","1.3","1","614","1","1","1","2","5","1.25","1.35","1","5","1","1"
"2003","16-34 y.","(1a) inadequately completed","1.33","1","51","1","1","1","2","4","1.18","1.48","1","4","1","1"
"2003","16-34 y.","(1b) general elementary school","1.16","1","501","1","1","1","1","5","1.1","1.22","1","5","1","1"
"2003","16-34 y.","(1c) basic vocational qualification","1.17","1","759","1","1","1","2","4","1.13","1.21","1","5","1","1"
"2003","16-34 y.","(2a) intermediate vocational","1.29","1","1388","1","1","1","2","5","1.26","1.32","1","5","1","1"
"2003","16-34 y.","(2b) intermediate general qualification","1.24","1","504","1","1","1","2","4","1.18","1.3","1","5","1","1"
"2003","16-34 y.","(2c_gen) general maturity certificate","1.42","1","728","1","1","2","2","5","1.36","1.48","1","5","1","1"
"2003","16-34 y.","(2c_voc) vocational maturity certificate","1.33","1","540","1","1","1","2","5","1.27","1.39","1","5","1","1"
"2003","16-34 y.","(3a) lower tertiary education","1.47","1","231","1","1","2","2","4","1.38","1.56","1","5","1","1"
"2003","16-34 y.","(3b) higher tertiary education","1.42","1","335","1","1","2","2","4","1.34","1.5","1","5","1","1"
"2003","35-65 y.","(0) in school","","","","","","","","","","","","","",""
"2003","35-65 y.","(1a) inadequately completed","1.19","1","163","1","1","1","1","4","1.09","1.29","1","5","1","1"
"2003","35-65 y.","(1b) general elementary school","1.11","1","900","1","1","1","1","5","1.07","1.15","1","5","1","1"
"2003","35-65 y.","(1c) basic vocational qualification","1.18","1","3866","1","1","1","2","5","1.16","1.2","1","5","1","1"
"2003","35-65 y.","(2a) intermediate vocational","1.21","1","3373","1","1","1","2","4","1.19","1.23","1","5","1","1"
"2003","35-65 y.","(2b) intermediate general qualification","1.08","1","96","1","1","1","1","3","0.98","1.18","1","5","1","1"
"2003","35-65 y.","(2c_gen) general maturity certificate","1.17","1","125","1","1","1","2","4","1.07","1.27","1","4","1","1"
"2003","35-65 y.","(2c_voc) vocational maturity certificate","1.28","1","890","1","1","1","2","5","1.23","1.33","1","5","1","1"
"2003","35-65 y.","(3a) lower tertiary education","1.34","1","1237","1","1","1","2","5","1.3","1.38","1","5","1","1"
"2003","35-65 y.","(3b) higher tertiary education","1.39","1","1977","1","1","1","2","5","1.35","1.43","1","5","1","1"
"2003","66 and older","(0) in school","","","","","","","","","","","","","",""
"2003","66 and older","(1a) inadequately completed","1.28","1","65","1","1","1","2","5","1.08","1.48","1","5","1","1"
"2003","66 and older","(1b) general elementary school","1.13","1","761","1","1","1","1","5","1.09","1.17","1","5","1","1"
"2003","66 and older","(1c) basic vocational qualification","1.13","1","1696","1","1","1","1","5","1.1","1.16","1","5","1","1"
"2003","66 and older","(2a) intermediate vocational","1.12","1","392","1","1","1","1","5","1.06","1.18","1","5","1","1"
"2003","66 and older","(2b) intermediate general qualification","1.47","1","34","1","1","1","5","5","1.14","1.8","1","5","1","1"
"2003","66 and older","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2003","66 and older","(2c_voc) vocational maturity certificate","1.04","1","142","1","1","1","1","2","1.01","1.07","1","2","1","1"
"2003","66 and older","(3a) lower tertiary education","1.08","1","252","1","1","1","1","5","1.02","1.14","1","5","1","1"
"2003","66 and older","(3b) higher tertiary education","1.12","1","322","1","1","1","1","5","1.05","1.19","1","5","1","1"
"2004","16-34 y.","(0) in school","","","","","","","","","","","","","",""
"2004","16-34 y.","(1a) inadequately completed","","","","","","","","","","","","","",""
"2004","16-34 y.","(1b) general elementary school","","","","","","","","","","","","","",""
"2004","16-34 y.","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2004","16-34 y.","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2004","16-34 y.","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2004","16-34 y.","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2004","16-34 y.","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2004","16-34 y.","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2004","16-34 y.","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2004","35-65 y.","(0) in school","","","","","","","","","","","","","",""
"2004","35-65 y.","(1a) inadequately completed","","","","","","","","","","","","","",""
"2004","35-65 y.","(1b) general elementary school","","","","","","","","","","","","","",""
"2004","35-65 y.","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2004","35-65 y.","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2004","35-65 y.","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2004","35-65 y.","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2004","35-65 y.","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
