"plb0196_h","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","1986","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","13","","",""
"No","1986","Couple + C. LE and GT 16","(3a) lower tertiary education","7","","",""
"No","1986","Couple + C. LE and GT 16","(3b) higher tertiary education","12","","",""
"Yes","1987","1-pers.-HH","(0) in school","","","",""
"Yes","1987","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","1987","1-pers.-HH","(1b) general elementary school","","","",""
"Yes","1987","1-pers.-HH","(1c) basic vocational qualification","","","",""
"Yes","1987","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Yes","1987","1-pers.-HH","(2a) intermediate vocational","","","",""
"Yes","1987","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Yes","1987","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","1-pers.-HH","(3a) lower tertiary education","","","",""
"Yes","1987","1-pers.-HH","(3b) higher tertiary education","","","",""
"Yes","1987","(Married) couple without C. ","(0) in school","","","",""
"Yes","1987","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Yes","1987","(Married) couple without C. ","(1b) general elementary school","","","",""
"Yes","1987","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"Yes","1987","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Yes","1987","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"Yes","1987","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Yes","1987","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Yes","1987","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"Yes","1987","Single parent ","(0) in school","","","",""
"Yes","1987","Single parent ","(1a) inadequately completed","","","",""
"Yes","1987","Single parent ","(1b) general elementary school","","","",""
"Yes","1987","Single parent ","(1c) basic vocational qualification","","","",""
"Yes","1987","Single parent ","(2b) intermediate general qualification","","","",""
"Yes","1987","Single parent ","(2a) intermediate vocational","","","",""
"Yes","1987","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Single parent ","(3a) lower tertiary education","","","",""
"Yes","1987","Single parent ","(3b) higher tertiary education","","","",""
"Yes","1987","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1987","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Yes","1987","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"Yes","1987","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"Yes","1987","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Yes","1987","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"Yes","1987","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"Yes","1987","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"Yes","1987","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","1987","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Yes","1987","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"Yes","1987","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"Yes","1987","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"Yes","1987","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"Yes","1987","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Yes","1987","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"Yes","1987","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","1987","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","1987","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"Yes","1987","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"Yes","1987","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"Yes","1987","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"Yes","1987","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Yes","1987","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"No","1987","1-pers.-HH","(0) in school","","","",""
"No","1987","1-pers.-HH","(1a) inadequately completed","","","",""
"No","1987","1-pers.-HH","(1b) general elementary school","","","",""
"No","1987","1-pers.-HH","(1c) basic vocational qualification","","","",""
"No","1987","1-pers.-HH","(2b) intermediate general qualification","","","",""
"No","1987","1-pers.-HH","(2a) intermediate vocational","","","",""
"No","1987","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"No","1987","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"No","1987","1-pers.-HH","(3a) lower tertiary education","","","",""
"No","1987","1-pers.-HH","(3b) higher tertiary education","","","",""
"No","1987","(Married) couple without C. ","(0) in school","","","",""
"No","1987","(Married) couple without C. ","(1a) inadequately completed","","","",""
"No","1987","(Married) couple without C. ","(1b) general elementary school","","","",""
"No","1987","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"No","1987","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"No","1987","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"No","1987","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"No","1987","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"No","1987","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"No","1987","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"No","1987","Single parent ","(0) in school","","","",""
"No","1987","Single parent ","(1a) inadequately completed","","","",""
"No","1987","Single parent ","(1b) general elementary school","","","",""
"No","1987","Single parent ","(1c) basic vocational qualification","","","",""
"No","1987","Single parent ","(2b) intermediate general qualification","","","",""
"No","1987","Single parent ","(2a) intermediate vocational","","","",""
"No","1987","Single parent ","(2c_gen) general maturity certificate","","","",""
"No","1987","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"No","1987","Single parent ","(3a) lower tertiary education","","","",""
"No","1987","Single parent ","(3b) higher tertiary education","","","",""
"No","1987","Couple + C. LE 16 ","(0) in school","","","",""
"No","1987","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"No","1987","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"No","1987","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"No","1987","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"No","1987","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"No","1987","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"No","1987","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"No","1987","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"No","1987","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"No","1987","Couple + C. GT 16 ","(0) in school","","","",""
"No","1987","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"No","1987","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"No","1987","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"No","1987","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"No","1987","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"No","1987","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"No","1987","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"No","1987","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"No","1987","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"No","1987","Couple + C. LE and GT 16","(0) in school","","","",""
"No","1987","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"No","1987","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"No","1987","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"No","1987","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"No","1987","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"No","1987","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"No","1987","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"No","1987","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"No","1987","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Yes","1988","1-pers.-HH","(0) in school","","","",""
"Yes","1988","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","1988","1-pers.-HH","(1b) general elementary school","","","",""
"Yes","1988","1-pers.-HH","(1c) basic vocational qualification","","","",""
"Yes","1988","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Yes","1988","1-pers.-HH","(2a) intermediate vocational","","","",""
"Yes","1988","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Yes","1988","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","1-pers.-HH","(3a) lower tertiary education","","","",""
"Yes","1988","1-pers.-HH","(3b) higher tertiary education","","","",""
"Yes","1988","(Married) couple without C. ","(0) in school","","","",""
"Yes","1988","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Yes","1988","(Married) couple without C. ","(1b) general elementary school","","","",""
"Yes","1988","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"Yes","1988","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Yes","1988","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"Yes","1988","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Yes","1988","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Yes","1988","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"Yes","1988","Single parent ","(0) in school","","","",""
"Yes","1988","Single parent ","(1a) inadequately completed","","","",""
"Yes","1988","Single parent ","(1b) general elementary school","","","",""
"Yes","1988","Single parent ","(1c) basic vocational qualification","","","",""
"Yes","1988","Single parent ","(2b) intermediate general qualification","","","",""
"Yes","1988","Single parent ","(2a) intermediate vocational","","","",""
"Yes","1988","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","1988","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","Single parent ","(3a) lower tertiary education","","","",""
"Yes","1988","Single parent ","(3b) higher tertiary education","","","",""
"Yes","1988","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1988","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Yes","1988","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"Yes","1988","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"Yes","1988","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Yes","1988","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"Yes","1988","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"Yes","1988","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"Yes","1988","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"Yes","1988","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","1988","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Yes","1988","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"Yes","1988","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"Yes","1988","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"Yes","1988","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"Yes","1988","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"Yes","1988","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Yes","1988","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"Yes","1988","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","1988","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","1988","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"Yes","1988","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"Yes","1988","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"Yes","1988","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"Yes","1988","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Yes","1988","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Yes","1988","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"No","1988","1-pers.-HH","(0) in school","","","",""
"No","1988","1-pers.-HH","(1a) inadequately completed","24","","",""
"No","1988","1-pers.-HH","(1b) general elementary school","55","1","1","1"
"No","1988","1-pers.-HH","(1c) basic vocational qualification","100","1","1","1"
"No","1988","1-pers.-HH","(2b) intermediate general qualification","11","","",""
"No","1988","1-pers.-HH","(2a) intermediate vocational","54","1","1","1"
"No","1988","1-pers.-HH","(2c_gen) general maturity certificate","11","","",""
"No","1988","1-pers.-HH","(2c_voc) vocational maturity certificate","18","","",""
"No","1988","1-pers.-HH","(3a) lower tertiary education","18","","",""
"No","1988","1-pers.-HH","(3b) higher tertiary education","37","1","1","1"
"No","1988","(Married) couple without C. ","(0) in school","","","",""
"No","1988","(Married) couple without C. ","(1a) inadequately completed","37","1","1","1"
"No","1988","(Married) couple without C. ","(1b) general elementary school","138","1","1","1"
"No","1988","(Married) couple without C. ","(1c) basic vocational qualification","329","1","1","1"
"No","1988","(Married) couple without C. ","(2b) intermediate general qualification","21","","",""
"No","1988","(Married) couple without C. ","(2a) intermediate vocational","137","1","1","1"
"No","1988","(Married) couple without C. ","(2c_gen) general maturity certificate","11","","",""
"No","1988","(Married) couple without C. ","(2c_voc) vocational maturity certificate","40","1","1","1"
"No","1988","(Married) couple without C. ","(3a) lower tertiary education","19","","",""
"No","1988","(Married) couple without C. ","(3b) higher tertiary education","47","1","1","1"
"No","1988","Single parent ","(0) in school","2","","",""
"No","1988","Single parent ","(1a) inadequately completed","18","","",""
"No","1988","Single parent ","(1b) general elementary school","56","1","1","1"
"No","1988","Single parent ","(1c) basic vocational qualification","77","1","1","1"
"No","1988","Single parent ","(2b) intermediate general qualification","8","","",""
"No","1988","Single parent ","(2a) intermediate vocational","28","","",""
"No","1988","Single parent ","(2c_gen) general maturity certificate","11","","",""
"No","1988","Single parent ","(2c_voc) vocational maturity certificate","5","","",""
"No","1988","Single parent ","(3a) lower tertiary education","1","","",""
"No","1988","Single parent ","(3b) higher tertiary education","4","","",""
"No","1988","Couple + C. LE 16 ","(0) in school","","","",""
"No","1988","Couple + C. LE 16 ","(1a) inadequately completed","89","1","1","1"
"No","1988","Couple + C. LE 16 ","(1b) general elementary school","185","1","1","1"
"No","1988","Couple + C. LE 16 ","(1c) basic vocational qualification","363","1","1","1"
"No","1988","Couple + C. LE 16 ","(2b) intermediate general qualification","15","","",""
"No","1988","Couple + C. LE 16 ","(2a) intermediate vocational","148","1","1","1"
"No","1988","Couple + C. LE 16 ","(2c_gen) general maturity certificate","21","","",""
"No","1988","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","40","1","1","1"
"No","1988","Couple + C. LE 16 ","(3a) lower tertiary education","23","","",""
"No","1988","Couple + C. LE 16 ","(3b) higher tertiary education","74","1","1","1"
"No","1988","Couple + C. GT 16 ","(0) in school","2","","",""
"No","1988","Couple + C. GT 16 ","(1a) inadequately completed","63","1","1","1"
"No","1988","Couple + C. GT 16 ","(1b) general elementary school","232","1","1","1"
"No","1988","Couple + C. GT 16 ","(1c) basic vocational qualification","341","1","1","1"
"No","1988","Couple + C. GT 16 ","(2b) intermediate general qualification","74","1","1","1"
"No","1988","Couple + C. GT 16 ","(2a) intermediate vocational","118","1","1","1"
"No","1988","Couple + C. GT 16 ","(2c_gen) general maturity certificate","31","1","1","1"
"No","1988","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","28","","",""
"No","1988","Couple + C. GT 16 ","(3a) lower tertiary education","21","","",""
"No","1988","Couple + C. GT 16 ","(3b) higher tertiary education","29","","",""
"No","1988","Couple + C. LE and GT 16","(0) in school","1","","",""
"No","1988","Couple + C. LE and GT 16","(1a) inadequately completed","61","1","1","1"
"No","1988","Couple + C. LE and GT 16","(1b) general elementary school","160","1","1","1"
"No","1988","Couple + C. LE and GT 16","(1c) basic vocational qualification","160","1","1","1"
"No","1988","Couple + C. LE and GT 16","(2b) intermediate general qualification","34","1","1","1"
"No","1988","Couple + C. LE and GT 16","(2a) intermediate vocational","35","1","1","1"
"No","1988","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","13","","",""
"No","1988","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","8","","",""
"No","1988","Couple + C. LE and GT 16","(3a) lower tertiary education","6","","",""
"No","1988","Couple + C. LE and GT 16","(3b) higher tertiary education","13","","",""
"Yes","1989","1-pers.-HH","(0) in school","","","",""
"Yes","1989","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","1989","1-pers.-HH","(1b) general elementary school","","","",""
"Yes","1989","1-pers.-HH","(1c) basic vocational qualification","","","",""
"Yes","1989","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Yes","1989","1-pers.-HH","(2a) intermediate vocational","","","",""
"Yes","1989","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Yes","1989","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","1-pers.-HH","(3a) lower tertiary education","","","",""
"Yes","1989","1-pers.-HH","(3b) higher tertiary education","","","",""
"Yes","1989","(Married) couple without C. ","(0) in school","","","",""
"Yes","1989","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Yes","1989","(Married) couple without C. ","(1b) general elementary school","","","",""
"Yes","1989","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"Yes","1989","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Yes","1989","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"Yes","1989","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Yes","1989","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Yes","1989","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"Yes","1989","Single parent ","(0) in school","","","",""
"Yes","1989","Single parent ","(1a) inadequately completed","","","",""
"Yes","1989","Single parent ","(1b) general elementary school","","","",""
"Yes","1989","Single parent ","(1c) basic vocational qualification","","","",""
"Yes","1989","Single parent ","(2b) intermediate general qualification","","","",""
"Yes","1989","Single parent ","(2a) intermediate vocational","","","",""
"Yes","1989","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","1989","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","Single parent ","(3a) lower tertiary education","","","",""
