"plb0196_h","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"No","1992","Employed","West Germany","3533","1","1","1"
"No","1992","Employed","East Germany","1404","1","1","1"
"Yes","1993","Not Employed","West Germany","","","",""
"Yes","1993","Not Employed","East Germany","","","",""
"Yes","1993","Employed","West Germany","","","",""
"Yes","1993","Employed","East Germany","","","",""
"No","1993","Not Employed","West Germany","97","1","1","1"
"No","1993","Not Employed","East Germany","51","1","1","1"
"No","1993","Employed","West Germany","3608","1","1","1"
"No","1993","Employed","East Germany","1207","1","1","1"
"Yes","1994","Not Employed","West Germany","","","",""
"Yes","1994","Not Employed","East Germany","","","",""
"Yes","1994","Employed","West Germany","","","",""
"Yes","1994","Employed","East Germany","","","",""
"No","1994","Not Employed","West Germany","90","1","1","1"
"No","1994","Not Employed","East Germany","41","1","1","1"
"No","1994","Employed","West Germany","3337","1","1","1"
"No","1994","Employed","East Germany","1136","1","1","1"
"Yes","1995","Not Employed","West Germany","","","",""
"Yes","1995","Not Employed","East Germany","","","",""
"Yes","1995","Employed","West Germany","","","",""
"Yes","1995","Employed","East Germany","","","",""
"No","1995","Not Employed","West Germany","96","1","1","1"
"No","1995","Not Employed","East Germany","56","1","1","1"
"No","1995","Employed","West Germany","3319","1","1","1"
"No","1995","Employed","East Germany","1129","1","1","1"
"Yes","1996","Not Employed","West Germany","","","",""
"Yes","1996","Not Employed","East Germany","","","",""
"Yes","1996","Employed","West Germany","","","",""
"Yes","1996","Employed","East Germany","","","",""
"No","1996","Not Employed","West Germany","78","1","1","1"
"No","1996","Not Employed","East Germany","43","1","1","1"
"No","1996","Employed","West Germany","3225","1","1","1"
"No","1996","Employed","East Germany","1119","1","1","1"
"Yes","1997","Not Employed","West Germany","","","",""
"Yes","1997","Not Employed","East Germany","","","",""
"Yes","1997","Employed","West Germany","","","",""
"Yes","1997","Employed","East Germany","","","",""
"No","1997","Not Employed","West Germany","13","","",""
"No","1997","Not Employed","East Germany","7","","",""
"No","1997","Employed","West Germany","972","1","1","1"
"No","1997","Employed","East Germany","434","1","1","1"
"Yes","1998","Not Employed","West Germany","","","",""
"Yes","1998","Not Employed","East Germany","","","",""
"Yes","1998","Employed","West Germany","","","",""
"Yes","1998","Employed","East Germany","","","",""
"No","1998","Not Employed","West Germany","15","","",""
"No","1998","Not Employed","East Germany","8","","",""
"No","1998","Employed","West Germany","999","1","1","1"
"No","1998","Employed","East Germany","483","1","1","1"
"Yes","1999","Not Employed","West Germany","","","",""
"Yes","1999","Not Employed","East Germany","","","",""
"Yes","1999","Employed","West Germany","","","",""
"Yes","1999","Employed","East Germany","","","",""
"No","1999","Not Employed","West Germany","12","","",""
"No","1999","Not Employed","East Germany","5","","",""
"No","1999","Employed","West Germany","935","1","1","1"
"No","1999","Employed","East Germany","461","1","1","1"
"Yes","2000","Not Employed","West Germany","","","",""
"Yes","2000","Not Employed","East Germany","","","",""
"Yes","2000","Employed","West Germany","","","",""
"Yes","2000","Employed","East Germany","","","",""
"No","2000","Not Employed","West Germany","27","","",""
"No","2000","Not Employed","East Germany","11","","",""
"No","2000","Employed","West Germany","1814","1","1","1"
"No","2000","Employed","East Germany","670","1","1","1"
"Yes","2001","Not Employed","West Germany","","","",""
"Yes","2001","Not Employed","East Germany","","","",""
"Yes","2001","Employed","West Germany","","","",""
"Yes","2001","Employed","East Germany","","","",""
"No","2001","Not Employed","West Germany","16","","",""
"No","2001","Not Employed","East Germany","15","","",""
"No","2001","Employed","West Germany","1709","1","1","1"
"No","2001","Employed","East Germany","619","1","1","1"
"Yes","2002","Not Employed","West Germany","19","","",""
"Yes","2002","Not Employed","East Germany","5","","",""
"Yes","2002","Employed","West Germany","4264","0.701877506294143","0.690253545367884","0.713501467220402"
"Yes","2002","Employed","East Germany","1324","0.663098160903708","0.642103652115895","0.68409266969152"
"No","2002","Not Employed","West Germany","17","","",""
"No","2002","Not Employed","East Germany","16","","",""
"No","2002","Employed","West Germany","1685","0.298122493705857","0.286498532779598","0.309746454632116"
"No","2002","Employed","East Germany","623","0.336901839096292","0.31590733030848","0.357896347884105"
"Yes","2003","Not Employed","West Germany","20","","",""
"Yes","2003","Not Employed","East Germany","11","","",""
"Yes","2003","Employed","West Germany","4018","0.705144234771574","0.693277703949895","0.717010765593253"
"Yes","2003","Employed","East Germany","1268","0.670520339715629","0.649061526163123","0.691979153268134"
"No","2003","Not Employed","West Germany","25","","",""
"No","2003","Not Employed","East Germany","9","","",""
"No","2003","Employed","West Germany","1654","0.294855765228426","0.282989234406747","0.306722296050105"
"No","2003","Employed","East Germany","575","0.329479660284371","0.308020846731866","0.350938473836877"
"Yes","2004","Not Employed","West Germany","13","","",""
"Yes","2004","Not Employed","East Germany","9","","",""
"Yes","2004","Employed","West Germany","3914","0.704224200044873","0.692117428837048","0.716330971252698"
"Yes","2004","Employed","East Germany","1246","0.684196786905877","0.662693014645984","0.70570055916577"
"No","2004","Not Employed","West Germany","16","","",""
"No","2004","Not Employed","East Germany","6","","",""
"No","2004","Employed","West Germany","1545","0.295775799955127","0.283669028747302","0.307882571162952"
"No","2004","Employed","East Germany","549","0.315803213094123","0.29429944083423","0.337306985354016"
"Yes","2005","Not Employed","West Germany","14","","",""
"Yes","2005","Not Employed","East Germany","10","","",""
"Yes","2005","Employed","West Germany","3645","0.707936056605589","0.695393635029365","0.720478478181814"
"Yes","2005","Employed","East Germany","1143","0.663218843587562","0.640599297782033","0.685838389393092"
"No","2005","Not Employed","West Germany","13","","",""
"No","2005","Not Employed","East Germany","4","","",""
"No","2005","Employed","West Germany","1404","0.292063943394411","0.279521521818186","0.304606364970635"
"No","2005","Employed","East Germany","534","0.336781156412438","0.314161610606908","0.359400702217967"
"Yes","2006","Not Employed","West Germany","25","","",""
"Yes","2006","Not Employed","East Germany","15","","",""
"Yes","2006","Employed","West Germany","4143","0.729456913464129","0.717830061817333","0.741083765110925"
"Yes","2006","Employed","East Germany","1272","0.693894984661551","0.672568515031733","0.715221454291369"
"No","2006","Not Employed","West Germany","14","","",""
"No","2006","Not Employed","East Germany","10","","",""
"No","2006","Employed","West Germany","1465","0.270543086535871","0.258916234889075","0.282169938182668"
"No","2006","Employed","East Germany","522","0.306105015338449","0.284778545708631","0.327431484968267"
"Yes","2007","Not Employed","West Germany","28","","",""
"Yes","2007","Not Employed","East Germany","16","","",""
"Yes","2007","Employed","West Germany","3884","0.759162660437185","0.747457210276338","0.770868110598032"
"Yes","2007","Employed","East Germany","1228","0.685836564636541","0.6641382105517","0.707534918721383"
"No","2007","Not Employed","West Germany","24","","",""
"No","2007","Not Employed","East Germany","5","","",""
"No","2007","Employed","West Germany","1242","0.240837339562815","0.229131889401968","0.252542789723662"
"No","2007","Employed","East Germany","530","0.314163435363459","0.292465081278617","0.3358617894483"
"Yes","2008","Not Employed","West Germany","26","","",""
"Yes","2008","Not Employed","East Germany","13","","",""
"Yes","2008","Employed","West Germany","3733","0.733327228492888","0.721141429953319","0.745513027032457"
"Yes","2008","Employed","East Germany","1203","0.679977530986419","0.657912707359084","0.702042354613755"
"No","2008","Not Employed","West Germany","18","","",""
"No","2008","Not Employed","East Germany","8","","",""
"No","2008","Employed","West Germany","1326","0.266672771507112","0.254486972967543","0.278858570046681"
"No","2008","Employed","East Germany","514","0.320022469013581","0.297957645386245","0.342087292640916"
"Yes","2009","Not Employed","West Germany","10","","",""
"Yes","2009","Not Employed","East Germany","4","","",""
"Yes","2009","Employed","West Germany","3194","0.71329964964457","0.700024843853073","0.726574455436066"
"Yes","2009","Employed","East Germany","1084","0.679625850743082","0.656492833593573","0.702758867892592"
"No","2009","Not Employed","West Germany","12","","",""
"No","2009","Not Employed","East Germany","5","","",""
"No","2009","Employed","West Germany","1264","0.28670035035543","0.273425544563933","0.299975156146926"
"No","2009","Employed","East Germany","479","0.320374149256918","0.297241132107408","0.343507166406427"
"Yes","2010","Not Employed","West Germany","52","0.531967994256574","0.433677612464734","0.630258376048414"
"Yes","2010","Not Employed","East Germany","18","","",""
"Yes","2010","Employed","West Germany","4427","0.687365627686733","0.675959334103806","0.69877192126966"
"Yes","2010","Employed","East Germany","1288","0.662643655963807","0.641350375879517","0.683936936048097"
"No","2010","Not Employed","West Germany","47","0.468032005743426","0.369741623951586","0.566322387535266"
"No","2010","Not Employed","East Germany","16","","",""
"No","2010","Employed","West Germany","1918","0.312634372313267","0.30122807873034","0.324040665896193"
"No","2010","Employed","East Germany","606","0.337356344036193","0.316063063951903","0.358649624120483"
"Yes","2011","Not Employed","West Germany","63","0.628315045891056","0.531645718940973","0.724984372841139"
"Yes","2011","Not Employed","East Germany","26","","",""
"Yes","2011","Employed","West Germany","5847","0.750981096173497","0.741364438788799","0.760597753558196"
"Yes","2011","Employed","East Germany","1574","0.703423072517996","0.684499852654663","0.722346292381329"
"No","2011","Not Employed","West Germany","33","0.371684954108944","0.275015627158861","0.468354281059026"
"No","2011","Not Employed","East Germany","12","","",""
"No","2011","Employed","West Germany","1921","0.249018903826503","0.239402246441804","0.258635561211201"
"No","2011","Employed","East Germany","664","0.296576927482004","0.277653707618671","0.315500147345337"
"Yes","2012","Not Employed","West Germany","89","0.620168621706267","0.541710169243969","0.698627074168564"
"Yes","2012","Not Employed","East Germany","39","0.469646285829058","0.349241326143735","0.590051245514381"
"Yes","2012","Employed","West Germany","5767","0.726485458542798","0.716684298431123","0.736286618654472"
"Yes","2012","Employed","East Germany","1532","0.679975274202482","0.660460247214472","0.699490301190492"
"No","2012","Not Employed","West Germany","58","0.379831378293733","0.301372925831436","0.45828983075603"
"No","2012","Not Employed","East Germany","27","","",""
"No","2012","Employed","West Germany","2179","0.273514541457202","0.263713381345528","0.283315701568877"
"No","2012","Employed","East Germany","663","0.320024725797518","0.300509698809508","0.339539752785528"
"Yes","2013","Not Employed","West Germany","1156","0.697144608674682","0.675139689560966","0.719149527788397"
"Yes","2013","Not Employed","East Germany","104","0.670511146051591","0.598574608311061","0.74244768379212"
"Yes","2013","Employed","West Germany","5295","0.735011593014083","0.72479562951544","0.745227556512725"
"Yes","2013","Employed","East Germany","1428","0.705538181518727","0.685562212822342","0.725514150215112"
"No","2013","Not Employed","West Germany","519","0.302855391325318","0.280850472211603","0.324860310439034"
"No","2013","Not Employed","East Germany","60","0.329488853948409","0.25755231620788","0.401425391688939"
"No","2013","Employed","West Germany","1874","0.264988406985917","0.254772443487275","0.27520437048456"
"No","2013","Employed","East Germany","572","0.294461818481273","0.274485849784888","0.314437787177658"
"Yes","2014","Not Employed","West Germany","112","0.47682305161314","0.405804107322821","0.54784199590346"
"Yes","2014","Not Employed","East Germany","34","0.694635733227309","0.558550995508729","0.83072047094589"
"Yes","2014","Employed","West Germany","5655","0.741547637283081","0.73182912445221","0.751266150113952"
"Yes","2014","Employed","East Germany","1389","0.694539131662591","0.674116487886054","0.714961775439128"
"No","2014","Not Employed","West Germany","78","0.52317694838686","0.45215800409654","0.594195892677179"
"No","2014","Not Employed","East Germany","10","","",""
"No","2014","Employed","West Germany","2140","0.258452362716919","0.248733849886048","0.268170875547789"
"No","2014","Employed","East Germany","565","0.305460868337409","0.285038224560872","0.325883512113946"
"Yes","2015","Not Employed","West Germany","392","0.718026758569101","0.680792653198508","0.755260863939695"
"Yes","2015","Not Employed","East Germany","51","0.601340608966268","0.490530667526304","0.712150550406232"
"Yes","2015","Employed","West Germany","5497","0.772889112191854","0.763139663206614","0.782638561177094"
"Yes","2015","Employed","East Germany","1339","0.731051567601539","0.710550212528427","0.751552922674652"
"No","2015","Not Employed","West Germany","169","0.281973241430899","0.244739136060305","0.319207346801492"
"No","2015","Not Employed","East Germany","24","","",""
"No","2015","Employed","West Germany","1597","0.227110887808146","0.217361438822906","0.236860336793386"
"No","2015","Employed","East Germany","458","0.268948432398461","0.248447077325348","0.289449787471573"
"Yes","2016","Not Employed","West Germany","81","0.617598089989559","0.528389091479206","0.706807088499912"
"Yes","2016","Not Employed","East Germany","16","","",""
"Yes","2016","Employed","West Germany","5462","0.773120296220294","0.76338532546436","0.782855266976229"
"Yes","2016","Employed","East Germany","1337","0.729785340665646","0.709265001715158","0.750305679616134"
"No","2016","Not Employed","West Germany","33","0.382401910010441","0.293192911500088","0.471610908520794"
"No","2016","Not Employed","East Germany","13","","",""
"No","2016","Employed","West Germany","1648","0.226879703779706","0.217144733023771","0.23661467453564"
"No","2016","Employed","East Germany","462","0.270214659334354","0.249694320383866","0.290734998284842"
"Yes","2017","Not Employed","West Germany","124","0.651753617154986","0.584365626210037","0.719141608099935"
"Yes","2017","Not Employed","East Germany","20","","",""
"Yes","2017","Employed","West Germany","5856","0.764100816935212","0.754565136515294","0.77363649735513"
"Yes","2017","Employed","East Germany","1431","0.757627493879549","0.738661359024188","0.776593628734909"
"No","2017","Not Employed","West Germany","68","0.348246382845014","0.280858391900065","0.415634373789963"
"No","2017","Not Employed","East Germany","8","","",""
"No","2017","Employed","West Germany","1759","0.235899183064788","0.22636350264487","0.245434863484706"
"No","2017","Employed","East Germany","530","0.242372506120451","0.223406371265091","0.261338640975812"
"Yes","2018","Not Employed","West Germany","189","0.628431771463773","0.570470111727452","0.686393431200095"
"Yes","2018","Not Employed","East Germany","23","","",""
"Yes","2018","Employed","West Germany","5894","0.75946130021837","0.750044673135581","0.768877927301159"
"Yes","2018","Employed","East Germany","1411","0.717084314455431","0.697442299790754","0.736726329120108"
"No","2018","Not Employed","West Germany","78","0.371568228536227","0.313606568799905","0.429529888272548"
"No","2018","Not Employed","East Germany","19","","",""
"No","2018","Employed","West Germany","2020","0.24053869978163","0.231122072698841","0.249955326864419"
"No","2018","Employed","East Germany","609","0.282915685544569","0.263273670879892","0.302557700209246"
"Yes","2019","Not Employed","West Germany","148","0.599044651720254","0.533987140214661","0.664102163225846"
"Yes","2019","Not Employed","East Germany","36","0.524723219813225","0.399402865657322","0.650043573969127"
"Yes","2019","Employed","West Germany","5448","0.778200762622678","0.768562115229107","0.787839410016249"
"Yes","2019","Employed","East Germany","1386","0.738159737644971","0.718055532683725","0.758263942606218"
"No","2019","Not Employed","West Germany","70","0.400955348279746","0.335897836774154","0.466012859785339"
"No","2019","Not Employed","East Germany","25","","",""
"No","2019","Employed","West Germany","1689","0.221799237377322","0.212160589983751","0.231437884770893"
"No","2019","Employed","East Germany","451","0.261840262355028","0.241736057393782","0.281944467316275"
