"plb0196_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","1986","lower secondary degree","middle vocational","1263","1","1","1"
"No","1986","lower secondary degree","vocational + Abi","4","","",""
"No","1986","lower secondary degree","higher vocational","109","1","1","1"
"No","1986","lower secondary degree","higher education","8","","",""
"No","1986","secondary school degree","in school","","","",""
"No","1986","secondary school degree","inadequately","","","",""
"No","1986","secondary school degree","general elemantary","172","1","1","1"
"No","1986","secondary school degree","middle vocational","468","1","1","1"
"No","1986","secondary school degree","vocational + Abi","1","","",""
"No","1986","secondary school degree","higher vocational","76","1","1","1"
"No","1986","secondary school degree","higher education","26","","",""
"No","1986","college entrance qualification","in school","","","",""
"No","1986","college entrance qualification","inadequately","","","",""
"No","1986","college entrance qualification","general elemantary","","","",""
"No","1986","college entrance qualification","middle vocational","93","1","1","1"
"No","1986","college entrance qualification","vocational + Abi","67","1","1","1"
"No","1986","college entrance qualification","higher vocational","44","1","1","1"
"No","1986","college entrance qualification","higher education","258","1","1","1"
"No","1986","Other degree","in school","","","",""
"No","1986","Other degree","inadequately","14","","",""
"No","1986","Other degree","general elemantary","314","1","1","1"
"No","1986","Other degree","middle vocational","244","1","1","1"
"No","1986","Other degree","vocational + Abi","46","1","1","1"
"No","1986","Other degree","higher vocational","3","","",""
"No","1986","Other degree","higher education","30","1","1","1"
"No","1986","no degree/no degree yet","in school","4","","",""
"No","1986","no degree/no degree yet","inadequately","343","1","1","1"
"No","1986","no degree/no degree yet","general elemantary","","","",""
"No","1986","no degree/no degree yet","middle vocational","46","1","1","1"
"No","1986","no degree/no degree yet","vocational + Abi","","","",""
"No","1986","no degree/no degree yet","higher vocational","1","","",""
"No","1986","no degree/no degree yet","higher education","1","","",""
"Yes","1987","lower secondary degree","in school","","","",""
"Yes","1987","lower secondary degree","inadequately","","","",""
"Yes","1987","lower secondary degree","general elemantary","","","",""
"Yes","1987","lower secondary degree","middle vocational","","","",""
"Yes","1987","lower secondary degree","vocational + Abi","","","",""
"Yes","1987","lower secondary degree","higher vocational","","","",""
"Yes","1987","lower secondary degree","higher education","","","",""
"Yes","1987","secondary school degree","in school","","","",""
"Yes","1987","secondary school degree","inadequately","","","",""
"Yes","1987","secondary school degree","general elemantary","","","",""
"Yes","1987","secondary school degree","middle vocational","","","",""
"Yes","1987","secondary school degree","vocational + Abi","","","",""
"Yes","1987","secondary school degree","higher vocational","","","",""
"Yes","1987","secondary school degree","higher education","","","",""
"Yes","1987","college entrance qualification","in school","","","",""
"Yes","1987","college entrance qualification","inadequately","","","",""
"Yes","1987","college entrance qualification","general elemantary","","","",""
"Yes","1987","college entrance qualification","middle vocational","","","",""
"Yes","1987","college entrance qualification","vocational + Abi","","","",""
"Yes","1987","college entrance qualification","higher vocational","","","",""
"Yes","1987","college entrance qualification","higher education","","","",""
"Yes","1987","Other degree","in school","","","",""
"Yes","1987","Other degree","inadequately","","","",""
"Yes","1987","Other degree","general elemantary","","","",""
"Yes","1987","Other degree","middle vocational","","","",""
"Yes","1987","Other degree","vocational + Abi","","","",""
"Yes","1987","Other degree","higher vocational","","","",""
"Yes","1987","Other degree","higher education","","","",""
"Yes","1987","no degree/no degree yet","in school","","","",""
"Yes","1987","no degree/no degree yet","inadequately","","","",""
"Yes","1987","no degree/no degree yet","general elemantary","","","",""
"Yes","1987","no degree/no degree yet","middle vocational","","","",""
"Yes","1987","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1987","no degree/no degree yet","higher vocational","","","",""
"Yes","1987","no degree/no degree yet","higher education","","","",""
"No","1987","lower secondary degree","in school","","","",""
"No","1987","lower secondary degree","inadequately","","","",""
"No","1987","lower secondary degree","general elemantary","","","",""
"No","1987","lower secondary degree","middle vocational","","","",""
"No","1987","lower secondary degree","vocational + Abi","","","",""
"No","1987","lower secondary degree","higher vocational","","","",""
"No","1987","lower secondary degree","higher education","","","",""
"No","1987","secondary school degree","in school","","","",""
"No","1987","secondary school degree","inadequately","","","",""
"No","1987","secondary school degree","general elemantary","","","",""
"No","1987","secondary school degree","middle vocational","","","",""
"No","1987","secondary school degree","vocational + Abi","","","",""
"No","1987","secondary school degree","higher vocational","","","",""
"No","1987","secondary school degree","higher education","","","",""
"No","1987","college entrance qualification","in school","","","",""
"No","1987","college entrance qualification","inadequately","","","",""
"No","1987","college entrance qualification","general elemantary","","","",""
"No","1987","college entrance qualification","middle vocational","","","",""
"No","1987","college entrance qualification","vocational + Abi","","","",""
"No","1987","college entrance qualification","higher vocational","","","",""
"No","1987","college entrance qualification","higher education","","","",""
"No","1987","Other degree","in school","","","",""
"No","1987","Other degree","inadequately","","","",""
"No","1987","Other degree","general elemantary","","","",""
"No","1987","Other degree","middle vocational","","","",""
"No","1987","Other degree","vocational + Abi","","","",""
"No","1987","Other degree","higher vocational","","","",""
"No","1987","Other degree","higher education","","","",""
"No","1987","no degree/no degree yet","in school","","","",""
"No","1987","no degree/no degree yet","inadequately","","","",""
"No","1987","no degree/no degree yet","general elemantary","","","",""
"No","1987","no degree/no degree yet","middle vocational","","","",""
"No","1987","no degree/no degree yet","vocational + Abi","","","",""
"No","1987","no degree/no degree yet","higher vocational","","","",""
"No","1987","no degree/no degree yet","higher education","","","",""
"Yes","1988","lower secondary degree","in school","","","",""
"Yes","1988","lower secondary degree","inadequately","","","",""
"Yes","1988","lower secondary degree","general elemantary","","","",""
"Yes","1988","lower secondary degree","middle vocational","","","",""
"Yes","1988","lower secondary degree","vocational + Abi","","","",""
"Yes","1988","lower secondary degree","higher vocational","","","",""
"Yes","1988","lower secondary degree","higher education","","","",""
"Yes","1988","secondary school degree","in school","","","",""
"Yes","1988","secondary school degree","inadequately","","","",""
"Yes","1988","secondary school degree","general elemantary","","","",""
"Yes","1988","secondary school degree","middle vocational","","","",""
"Yes","1988","secondary school degree","vocational + Abi","","","",""
"Yes","1988","secondary school degree","higher vocational","","","",""
"Yes","1988","secondary school degree","higher education","","","",""
"Yes","1988","college entrance qualification","in school","","","",""
"Yes","1988","college entrance qualification","inadequately","","","",""
"Yes","1988","college entrance qualification","general elemantary","","","",""
"Yes","1988","college entrance qualification","middle vocational","","","",""
"Yes","1988","college entrance qualification","vocational + Abi","","","",""
"Yes","1988","college entrance qualification","higher vocational","","","",""
"Yes","1988","college entrance qualification","higher education","","","",""
"Yes","1988","Other degree","in school","","","",""
"Yes","1988","Other degree","inadequately","","","",""
"Yes","1988","Other degree","general elemantary","","","",""
"Yes","1988","Other degree","middle vocational","","","",""
"Yes","1988","Other degree","vocational + Abi","","","",""
"Yes","1988","Other degree","higher vocational","","","",""
"Yes","1988","Other degree","higher education","","","",""
"Yes","1988","no degree/no degree yet","in school","","","",""
"Yes","1988","no degree/no degree yet","inadequately","","","",""
"Yes","1988","no degree/no degree yet","general elemantary","","","",""
"Yes","1988","no degree/no degree yet","middle vocational","","","",""
"Yes","1988","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1988","no degree/no degree yet","higher vocational","","","",""
"Yes","1988","no degree/no degree yet","higher education","","","",""
"No","1988","lower secondary degree","in school","","","",""
"No","1988","lower secondary degree","inadequately","","","",""
"No","1988","lower secondary degree","general elemantary","586","1","1","1"
"No","1988","lower secondary degree","middle vocational","1152","1","1","1"
"No","1988","lower secondary degree","vocational + Abi","6","","",""
"No","1988","lower secondary degree","higher vocational","95","1","1","1"
"No","1988","lower secondary degree","higher education","4","","",""
"No","1988","secondary school degree","in school","","","",""
"No","1988","secondary school degree","inadequately","","","",""
"No","1988","secondary school degree","general elemantary","177","1","1","1"
"No","1988","secondary school degree","middle vocational","468","1","1","1"
"No","1988","secondary school degree","vocational + Abi","","","",""
"No","1988","secondary school degree","higher vocational","75","1","1","1"
"No","1988","secondary school degree","higher education","28","","",""
"No","1988","college entrance qualification","in school","","","",""
"No","1988","college entrance qualification","inadequately","","","",""
"No","1988","college entrance qualification","general elemantary","","","",""
"No","1988","college entrance qualification","middle vocational","76","1","1","1"
"No","1988","college entrance qualification","vocational + Abi","71","1","1","1"
"No","1988","college entrance qualification","higher vocational","35","1","1","1"
"No","1988","college entrance qualification","higher education","259","1","1","1"
"No","1988","Other degree","in school","","","",""
"No","1988","Other degree","inadequately","10","","",""
"No","1988","Other degree","general elemantary","291","1","1","1"
"No","1988","Other degree","middle vocational","222","1","1","1"
"No","1988","Other degree","vocational + Abi","33","1","1","1"
"No","1988","Other degree","higher vocational","5","","",""
"No","1988","Other degree","higher education","16","","",""
"No","1988","no degree/no degree yet","in school","5","","",""
"No","1988","no degree/no degree yet","inadequately","279","1","1","1"
"No","1988","no degree/no degree yet","general elemantary","","","",""
"No","1988","no degree/no degree yet","middle vocational","38","1","1","1"
"No","1988","no degree/no degree yet","vocational + Abi","","","",""
"No","1988","no degree/no degree yet","higher vocational","2","","",""
"No","1988","no degree/no degree yet","higher education","","","",""
"Yes","1989","lower secondary degree","in school","","","",""
"Yes","1989","lower secondary degree","inadequately","","","",""
"Yes","1989","lower secondary degree","general elemantary","","","",""
"Yes","1989","lower secondary degree","middle vocational","","","",""
"Yes","1989","lower secondary degree","vocational + Abi","","","",""
"Yes","1989","lower secondary degree","higher vocational","","","",""
"Yes","1989","lower secondary degree","higher education","","","",""
"Yes","1989","secondary school degree","in school","","","",""
"Yes","1989","secondary school degree","inadequately","","","",""
"Yes","1989","secondary school degree","general elemantary","","","",""
"Yes","1989","secondary school degree","middle vocational","","","",""
"Yes","1989","secondary school degree","vocational + Abi","","","",""
"Yes","1989","secondary school degree","higher vocational","","","",""
"Yes","1989","secondary school degree","higher education","","","",""
"Yes","1989","college entrance qualification","in school","","","",""
"Yes","1989","college entrance qualification","inadequately","","","",""
"Yes","1989","college entrance qualification","general elemantary","","","",""
"Yes","1989","college entrance qualification","middle vocational","","","",""
"Yes","1989","college entrance qualification","vocational + Abi","","","",""
"Yes","1989","college entrance qualification","higher vocational","","","",""
"Yes","1989","college entrance qualification","higher education","","","",""
"Yes","1989","Other degree","in school","","","",""
"Yes","1989","Other degree","inadequately","","","",""
"Yes","1989","Other degree","general elemantary","","","",""
"Yes","1989","Other degree","middle vocational","","","",""
"Yes","1989","Other degree","vocational + Abi","","","",""
"Yes","1989","Other degree","higher vocational","","","",""
"Yes","1989","Other degree","higher education","","","",""
"Yes","1989","no degree/no degree yet","in school","","","",""
"Yes","1989","no degree/no degree yet","inadequately","","","",""
"Yes","1989","no degree/no degree yet","general elemantary","","","",""
"Yes","1989","no degree/no degree yet","middle vocational","","","",""
"Yes","1989","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1989","no degree/no degree yet","higher vocational","","","",""
"Yes","1989","no degree/no degree yet","higher education","","","",""
"No","1989","lower secondary degree","in school","","","",""
"No","1989","lower secondary degree","inadequately","","","",""
"No","1989","lower secondary degree","general elemantary","575","1","1","1"
"No","1989","lower secondary degree","middle vocational","1098","1","1","1"
"No","1989","lower secondary degree","vocational + Abi","5","","",""
"No","1989","lower secondary degree","higher vocational","96","1","1","1"
"No","1989","lower secondary degree","higher education","4","","",""
"No","1989","secondary school degree","in school","","","",""
"No","1989","secondary school degree","inadequately","","","",""
"No","1989","secondary school degree","general elemantary","161","1","1","1"
"No","1989","secondary school degree","middle vocational","441","1","1","1"
"No","1989","secondary school degree","vocational + Abi","","","",""
"No","1989","secondary school degree","higher vocational","72","1","1","1"
"No","1989","secondary school degree","higher education","23","","",""
"No","1989","college entrance qualification","in school","","","",""
"No","1989","college entrance qualification","inadequately","","","",""
"No","1989","college entrance qualification","general elemantary","","","",""
"No","1989","college entrance qualification","middle vocational","87","1","1","1"
"No","1989","college entrance qualification","vocational + Abi","67","1","1","1"
"No","1989","college entrance qualification","higher vocational","41","1","1","1"
"No","1989","college entrance qualification","higher education","246","1","1","1"
"No","1989","Other degree","in school","","","",""
"No","1989","Other degree","inadequately","8","","",""
"No","1989","Other degree","general elemantary","282","1","1","1"
"No","1989","Other degree","middle vocational","199","1","1","1"
"No","1989","Other degree","vocational + Abi","36","1","1","1"
"No","1989","Other degree","higher vocational","2","","",""
"No","1989","Other degree","higher education","19","","",""
"No","1989","no degree/no degree yet","in school","10","","",""
"No","1989","no degree/no degree yet","inadequately","251","1","1","1"
"No","1989","no degree/no degree yet","general elemantary","","","",""
"No","1989","no degree/no degree yet","middle vocational","45","1","1","1"
"No","1989","no degree/no degree yet","vocational + Abi","","","",""
"No","1989","no degree/no degree yet","higher vocational","1","","",""
"No","1989","no degree/no degree yet","higher education","","","",""
"Yes","1990","lower secondary degree","in school","","","",""
"Yes","1990","lower secondary degree","inadequately","","","",""
"Yes","1990","lower secondary degree","general elemantary","","","",""
"Yes","1990","lower secondary degree","middle vocational","","","",""
"Yes","1990","lower secondary degree","vocational + Abi","","","",""
"Yes","1990","lower secondary degree","higher vocational","","","",""
"Yes","1990","lower secondary degree","higher education","","","",""
"Yes","1990","secondary school degree","in school","","","",""
"Yes","1990","secondary school degree","inadequately","","","",""
"Yes","1990","secondary school degree","general elemantary","","","",""
"Yes","1990","secondary school degree","middle vocational","","","",""
"Yes","1990","secondary school degree","vocational + Abi","","","",""
"Yes","1990","secondary school degree","higher vocational","","","",""
"Yes","1990","secondary school degree","higher education","","","",""
"Yes","1990","college entrance qualification","in school","","","",""
"Yes","1990","college entrance qualification","inadequately","","","",""
"Yes","1990","college entrance qualification","general elemantary","","","",""
"Yes","1990","college entrance qualification","middle vocational","","","",""
"Yes","1990","college entrance qualification","vocational + Abi","","","",""
"Yes","1990","college entrance qualification","higher vocational","","","",""
"Yes","1990","college entrance qualification","higher education","","","",""
"Yes","1990","Other degree","in school","","","",""
"Yes","1990","Other degree","inadequately","","","",""
"Yes","1990","Other degree","general elemantary","","","",""
"Yes","1990","Other degree","middle vocational","","","",""
"Yes","1990","Other degree","vocational + Abi","","","",""
"Yes","1990","Other degree","higher vocational","","","",""
"Yes","1990","Other degree","higher education","","","",""
"Yes","1990","no degree/no degree yet","in school","","","",""
"Yes","1990","no degree/no degree yet","inadequately","","","",""
"Yes","1990","no degree/no degree yet","general elemantary","","","",""
"Yes","1990","no degree/no degree yet","middle vocational","","","",""
"Yes","1990","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1990","no degree/no degree yet","higher vocational","","","",""
"Yes","1990","no degree/no degree yet","higher education","","","",""
"No","1990","lower secondary degree","in school","","","",""
"No","1990","lower secondary degree","inadequately","","","",""
"No","1990","lower secondary degree","general elemantary","520","1","1","1"
"No","1990","lower secondary degree","middle vocational","1076","1","1","1"
"No","1990","lower secondary degree","vocational + Abi","4","","",""
"No","1990","lower secondary degree","higher vocational","83","1","1","1"
"No","1990","lower secondary degree","higher education","2","","",""
"No","1990","secondary school degree","in school","","","",""
"No","1990","secondary school degree","inadequately","","","",""
"No","1990","secondary school degree","general elemantary","158","1","1","1"
"No","1990","secondary school degree","middle vocational","435","1","1","1"
"No","1990","secondary school degree","vocational + Abi","","","",""
"No","1990","secondary school degree","higher vocational","72","1","1","1"
"No","1990","secondary school degree","higher education","21","","",""
"No","1990","college entrance qualification","in school","","","",""
"No","1990","college entrance qualification","inadequately","","","",""
"No","1990","college entrance qualification","general elemantary","","","",""
"No","1990","college entrance qualification","middle vocational","89","1","1","1"
"No","1990","college entrance qualification","vocational + Abi","69","1","1","1"
"No","1990","college entrance qualification","higher vocational","38","1","1","1"
"No","1990","college entrance qualification","higher education","224","1","1","1"
"No","1990","Other degree","in school","","","",""
"No","1990","Other degree","inadequately","11","","",""
"No","1990","Other degree","general elemantary","283","1","1","1"
"No","1990","Other degree","middle vocational","177","1","1","1"
"No","1990","Other degree","vocational + Abi","34","1","1","1"
"No","1990","Other degree","higher vocational","2","","",""
"No","1990","Other degree","higher education","16","","",""
"No","1990","no degree/no degree yet","in school","6","","",""
"No","1990","no degree/no degree yet","inadequately","256","1","1","1"
"No","1990","no degree/no degree yet","general elemantary","","","",""
"No","1990","no degree/no degree yet","middle vocational","33","1","1","1"
"No","1990","no degree/no degree yet","vocational + Abi","","","",""
"No","1990","no degree/no degree yet","higher vocational","2","","",""
"No","1990","no degree/no degree yet","higher education","","","",""
"Yes","1991","lower secondary degree","in school","","","",""
"Yes","1991","lower secondary degree","inadequately","","","",""
"Yes","1991","lower secondary degree","general elemantary","","","",""
"Yes","1991","lower secondary degree","middle vocational","","","",""
"Yes","1991","lower secondary degree","vocational + Abi","","","",""
"Yes","1991","lower secondary degree","higher vocational","","","",""
"Yes","1991","lower secondary degree","higher education","","","",""
"Yes","1991","secondary school degree","in school","","","",""
"Yes","1991","secondary school degree","inadequately","","","",""
"Yes","1991","secondary school degree","general elemantary","","","",""
"Yes","1991","secondary school degree","middle vocational","","","",""
"Yes","1991","secondary school degree","vocational + Abi","","","",""
"Yes","1991","secondary school degree","higher vocational","","","",""
"Yes","1991","secondary school degree","higher education","","","",""
"Yes","1991","college entrance qualification","in school","","","",""
"Yes","1991","college entrance qualification","inadequately","","","",""
"Yes","1991","college entrance qualification","general elemantary","","","",""
"Yes","1991","college entrance qualification","middle vocational","","","",""
"Yes","1991","college entrance qualification","vocational + Abi","","","",""
"Yes","1991","college entrance qualification","higher vocational","","","",""
"Yes","1991","college entrance qualification","higher education","","","",""
"Yes","1991","Other degree","in school","","","",""
"Yes","1991","Other degree","inadequately","","","",""
"Yes","1991","Other degree","general elemantary","","","",""
"Yes","1991","Other degree","middle vocational","","","",""
"Yes","1991","Other degree","vocational + Abi","","","",""
"Yes","1991","Other degree","higher vocational","","","",""
"Yes","1991","Other degree","higher education","","","",""
"Yes","1991","no degree/no degree yet","in school","","","",""
"Yes","1991","no degree/no degree yet","inadequately","","","",""
"Yes","1991","no degree/no degree yet","general elemantary","","","",""
"Yes","1991","no degree/no degree yet","middle vocational","","","",""
"Yes","1991","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1991","no degree/no degree yet","higher vocational","","","",""
"Yes","1991","no degree/no degree yet","higher education","","","",""
"No","1991","lower secondary degree","in school","","","",""
"No","1991","lower secondary degree","inadequately","","","",""
"No","1991","lower secondary degree","general elemantary","591","1","1","1"
"No","1991","lower secondary degree","middle vocational","1543","1","1","1"
"No","1991","lower secondary degree","vocational + Abi","3","","",""
"No","1991","lower secondary degree","higher vocational","132","1","1","1"
"No","1991","lower secondary degree","higher education","43","1","1","1"
"No","1991","secondary school degree","in school","","","",""
"No","1991","secondary school degree","inadequately","","","",""
"No","1991","secondary school degree","general elemantary","227","1","1","1"
"No","1991","secondary school degree","middle vocational","1078","1","1","1"
"No","1991","secondary school degree","vocational + Abi","","","",""
"No","1991","secondary school degree","higher vocational","160","1","1","1"
"No","1991","secondary school degree","higher education","249","1","1","1"
"No","1991","college entrance qualification","in school","","","",""
"No","1991","college entrance qualification","inadequately","","","",""
"No","1991","college entrance qualification","general elemantary","","","",""
"No","1991","college entrance qualification","middle vocational","85","1","1","1"
"No","1991","college entrance qualification","vocational + Abi","119","1","1","1"
"No","1991","college entrance qualification","higher vocational","50","1","1","1"
"No","1991","college entrance qualification","higher education","412","1","1","1"
"No","1991","Other degree","in school","","","",""
"No","1991","Other degree","inadequately","11","","",""
"No","1991","Other degree","general elemantary","275","1","1","1"
"No","1991","Other degree","middle vocational","193","1","1","1"
"No","1991","Other degree","vocational + Abi","38","1","1","1"
"No","1991","Other degree","higher vocational","3","","",""
"No","1991","Other degree","higher education","24","","",""
"No","1991","no degree/no degree yet","in school","7","","",""
"No","1991","no degree/no degree yet","inadequately","260","1","1","1"
"No","1991","no degree/no degree yet","general elemantary","","","",""
"No","1991","no degree/no degree yet","middle vocational","33","1","1","1"
"No","1991","no degree/no degree yet","vocational + Abi","","","",""
"No","1991","no degree/no degree yet","higher vocational","2","","",""
"No","1991","no degree/no degree yet","higher education","","","",""
"Yes","1992","lower secondary degree","in school","","","",""
"Yes","1992","lower secondary degree","inadequately","","","",""
"Yes","1992","lower secondary degree","general elemantary","","","",""
"Yes","1992","lower secondary degree","middle vocational","","","",""
"Yes","1992","lower secondary degree","vocational + Abi","","","",""
"Yes","1992","lower secondary degree","higher vocational","","","",""
"Yes","1992","lower secondary degree","higher education","","","",""
"Yes","1992","secondary school degree","in school","","","",""
"Yes","1992","secondary school degree","inadequately","","","",""
"Yes","1992","secondary school degree","general elemantary","","","",""
"Yes","1992","secondary school degree","middle vocational","","","",""
"Yes","1992","secondary school degree","vocational + Abi","","","",""
"Yes","1992","secondary school degree","higher vocational","","","",""
"Yes","1992","secondary school degree","higher education","","","",""
"Yes","1992","college entrance qualification","in school","","","",""
"Yes","1992","college entrance qualification","inadequately","","","",""
"Yes","1992","college entrance qualification","general elemantary","","","",""
"Yes","1992","college entrance qualification","middle vocational","","","",""
"Yes","1992","college entrance qualification","vocational + Abi","","","",""
"Yes","1992","college entrance qualification","higher vocational","","","",""
"Yes","1992","college entrance qualification","higher education","","","",""
"Yes","1992","Other degree","in school","","","",""
"Yes","1992","Other degree","inadequately","","","",""
"Yes","1992","Other degree","general elemantary","","","",""
"Yes","1992","Other degree","middle vocational","","","",""
"Yes","1992","Other degree","vocational + Abi","","","",""
"Yes","1992","Other degree","higher vocational","","","",""
"Yes","1992","Other degree","higher education","","","",""
"Yes","1992","no degree/no degree yet","in school","","","",""
"Yes","1992","no degree/no degree yet","inadequately","","","",""
"Yes","1992","no degree/no degree yet","general elemantary","","","",""
"Yes","1992","no degree/no degree yet","middle vocational","","","",""
"Yes","1992","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1992","no degree/no degree yet","higher vocational","","","",""
"Yes","1992","no degree/no degree yet","higher education","","","",""
"No","1992","lower secondary degree","in school","","","",""
"No","1992","lower secondary degree","inadequately","","","",""
"No","1992","lower secondary degree","general elemantary","549","1","1","1"
"No","1992","lower secondary degree","middle vocational","1369","1","1","1"
"No","1992","lower secondary degree","vocational + Abi","5","","",""
"No","1992","lower secondary degree","higher vocational","123","1","1","1"
"No","1992","lower secondary degree","higher education","26","","",""
"No","1992","secondary school degree","in school","","","",""
"No","1992","secondary school degree","inadequately","","","",""
"No","1992","secondary school degree","general elemantary","212","1","1","1"
"No","1992","secondary school degree","middle vocational","876","1","1","1"
"No","1992","secondary school degree","vocational + Abi","","","",""
"No","1992","secondary school degree","higher vocational","140","1","1","1"
"No","1992","secondary school degree","higher education","203","1","1","1"
"No","1992","college entrance qualification","in school","","","",""
"No","1992","college entrance qualification","inadequately","","","",""
"No","1992","college entrance qualification","general elemantary","","","",""
"No","1992","college entrance qualification","middle vocational","94","1","1","1"
"No","1992","college entrance qualification","vocational + Abi","99","1","1","1"
"No","1992","college entrance qualification","higher vocational","56","1","1","1"
"No","1992","college entrance qualification","higher education","367","1","1","1"
"No","1992","Other degree","in school","","","",""
"No","1992","Other degree","inadequately","7","","",""
"No","1992","Other degree","general elemantary","279","1","1","1"
"No","1992","Other degree","middle vocational","190","1","1","1"
"No","1992","Other degree","vocational + Abi","34","1","1","1"
"No","1992","Other degree","higher vocational","4","","",""
"No","1992","Other degree","higher education","15","","",""
"No","1992","no degree/no degree yet","in school","9","","",""
"No","1992","no degree/no degree yet","inadequately","226","1","1","1"
"No","1992","no degree/no degree yet","general elemantary","","","",""
"No","1992","no degree/no degree yet","middle vocational","33","1","1","1"
"No","1992","no degree/no degree yet","vocational + Abi","","","",""
"No","1992","no degree/no degree yet","higher vocational","3","","",""
"No","1992","no degree/no degree yet","higher education","","","",""
"Yes","1993","lower secondary degree","in school","","","",""
"Yes","1993","lower secondary degree","inadequately","","","",""
"Yes","1993","lower secondary degree","general elemantary","","","",""
"Yes","1993","lower secondary degree","middle vocational","","","",""
"Yes","1993","lower secondary degree","vocational + Abi","","","",""
"Yes","1993","lower secondary degree","higher vocational","","","",""
"Yes","1993","lower secondary degree","higher education","","","",""
"Yes","1993","secondary school degree","in school","","","",""
"Yes","1993","secondary school degree","inadequately","","","",""
"Yes","1993","secondary school degree","general elemantary","","","",""
"Yes","1993","secondary school degree","middle vocational","","","",""
"Yes","1993","secondary school degree","vocational + Abi","","","",""
"Yes","1993","secondary school degree","higher vocational","","","",""
"Yes","1993","secondary school degree","higher education","","","",""
"Yes","1993","college entrance qualification","in school","","","",""
"Yes","1993","college entrance qualification","inadequately","","","",""
"Yes","1993","college entrance qualification","general elemantary","","","",""
"Yes","1993","college entrance qualification","middle vocational","","","",""
"Yes","1993","college entrance qualification","vocational + Abi","","","",""
"Yes","1993","college entrance qualification","higher vocational","","","",""
"Yes","1993","college entrance qualification","higher education","","","",""
"Yes","1993","Other degree","in school","","","",""
"Yes","1993","Other degree","inadequately","","","",""
"Yes","1993","Other degree","general elemantary","","","",""
"Yes","1993","Other degree","middle vocational","","","",""
"Yes","1993","Other degree","vocational + Abi","","","",""
"Yes","1993","Other degree","higher vocational","","","",""
"Yes","1993","Other degree","higher education","","","",""
"Yes","1993","no degree/no degree yet","in school","","","",""
"Yes","1993","no degree/no degree yet","inadequately","","","",""
"Yes","1993","no degree/no degree yet","general elemantary","","","",""
"Yes","1993","no degree/no degree yet","middle vocational","","","",""
"Yes","1993","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1993","no degree/no degree yet","higher vocational","","","",""
"Yes","1993","no degree/no degree yet","higher education","","","",""
"No","1993","lower secondary degree","in school","","","",""
"No","1993","lower secondary degree","inadequately","","","",""
"No","1993","lower secondary degree","general elemantary","519","1","1","1"
"No","1993","lower secondary degree","middle vocational","1310","1","1","1"
"No","1993","lower secondary degree","vocational + Abi","3","","",""
"No","1993","lower secondary degree","higher vocational","123","1","1","1"
"No","1993","lower secondary degree","higher education","16","","",""
"No","1993","secondary school degree","in school","","","",""
"No","1993","secondary school degree","inadequately","","","",""
"No","1993","secondary school degree","general elemantary","203","1","1","1"
"No","1993","secondary school degree","middle vocational","899","1","1","1"
"No","1993","secondary school degree","vocational + Abi","","","",""
