"plb0196_h","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1986","Hamburg","Single parent ","4","","","","2"
"No","1986","Hamburg","Couple + C. LE 16 ","25","","","","2"
"No","1986","Hamburg","Couple + C. GT 16 ","14","","","","2"
"No","1986","North Rhine-Westphalia","Couple + C. LE 16 ","290","1","1","1","2"
"No","1986","Rhineland-Palatinate,Saarland","Single parent ","12","","","","2"
"No","1986","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","64","1","1","1","2"
"No","1986","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","73","1","1","1","2"
"No","1986","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","48","1","1","1","2"
"No","1986","Baden-Württemberg","1-pers.-HH","58","1","1","1","2"
"No","1986","Baden-Württemberg","(Married) couple without C. ","159","1","1","1","2"
"No","1986","Baden-Württemberg","Single parent ","41","1","1","1","2"
"No","1986","Baden-Württemberg","Couple + C. LE 16 ","245","1","1","1","2"
"No","1986","Baden-Württemberg","Couple + C. GT 16 ","198","1","1","1","2"
"No","1986","Baden-Württemberg","Couple + C. LE and GT 16","146","1","1","1","2"
"No","1986","Bavaria","1-pers.-HH","48","1","1","1","2"
"No","1986","Bavaria","(Married) couple without C. ","139","1","1","1","2"
"No","1986","Bavaria","Single parent ","49","1","1","1","2"
"No","1986","Bavaria","Couple + C. LE 16 ","210","1","1","1","2"
"No","1986","Bavaria","Couple + C. GT 16 ","167","1","1","1","2"
"No","1986","Bavaria","Couple + C. LE and GT 16","101","1","1","1","2"
"No","1986","Berlin","1-pers.-HH","21","","","","2"
"No","1986","Berlin","(Married) couple without C. ","32","1","1","1","2"
"No","1986","Berlin","Single parent ","17","","","","2"
"No","1986","Berlin","Couple + C. LE 16 ","33","1","1","1","2"
"No","1986","Berlin","Couple + C. GT 16 ","29","","","","2"
"No","1986","Berlin","Couple + C. LE and GT 16","22","","","","2"
"No","1986","Brandenburg","Couple + C. LE 16 ","","","","","2"
"No","1986","Brandenburg","1-pers.-HH","","","","","2"
"No","1986","Brandenburg","(Married) couple without C. ","","","","","2"
"No","1986","Brandenburg","Single parent ","","","","","2"
"No","1986","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","2"
"No","1986","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","2"
"No","1986","Mecklenburg-Western Pomerania","Single parent ","","","","","2"
"No","1986","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","2"
"No","1986","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","2"
"No","1986","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","2"
"No","1986","Saxony","1-pers.-HH","","","","","2"
"No","1986","Brandenburg","Couple + C. GT 16 ","","","","","2"
"No","1986","Brandenburg","Couple + C. LE and GT 16","","","","","2"
"No","1986","Saxony","(Married) couple without C. ","","","","","2"
"No","1986","Saxony","Single parent ","","","","","2"
"No","1986","Saxony","Couple + C. LE 16 ","","","","","2"
"No","1986","Saxony","Couple + C. GT 16 ","","","","","2"
"No","1986","Saxony","Couple + C. LE and GT 16","","","","","2"
"No","1986","Saxony-Anhalt","1-pers.-HH","","","","","2"
"No","1986","Saxony-Anhalt","(Married) couple without C. ","","","","","2"
"No","1986","Saxony-Anhalt","Single parent ","","","","","2"
"No","1986","Saxony-Anhalt","Couple + C. LE 16 ","","","","","2"
"No","1986","Saxony-Anhalt","Couple + C. GT 16 ","","","","","2"
"No","1986","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","2"
"No","1986","Thuringia","1-pers.-HH","","","","","2"
"No","1986","Thuringia","(Married) couple without C. ","","","","","2"
"No","1986","Thuringia","Single parent ","","","","","2"
"No","1986","Thuringia","Couple + C. LE 16 ","","","","","2"
"No","1986","Thuringia","Couple + C. GT 16 ","","","","","2"
"No","1986","Thuringia","Couple + C. LE and GT 16","","","","","2"
"Yes","1986","Schleswig-Holstein","1-pers.-HH","","","","","1"
"Yes","1986","Schleswig-Holstein","(Married) couple without C. ","","","","","1"
"Yes","1986","Schleswig-Holstein","Single parent ","","","","","1"
"Yes","1986","Schleswig-Holstein","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Schleswig-Holstein","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Hamburg","1-pers.-HH","","","","","1"
"Yes","1986","Hamburg","(Married) couple without C. ","","","","","1"
"Yes","1986","Hamburg","Single parent ","","","","","1"
"Yes","1986","Hamburg","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Hamburg","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Hamburg","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Lower Saxony","1-pers.-HH","","","","","1"
"Yes","1986","Lower Saxony","(Married) couple without C. ","","","","","1"
"Yes","1986","Lower Saxony","Single parent ","","","","","1"
"Yes","1986","Lower Saxony","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Lower Saxony","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Lower Saxony","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Bremen","1-pers.-HH","","","","","1"
"Yes","1986","Bremen","(Married) couple without C. ","","","","","1"
"Yes","1986","Bremen","Single parent ","","","","","1"
"Yes","1986","Bremen","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Bremen","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Bremen","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","North Rhine-Westphalia","1-pers.-HH","","","","","1"
"Yes","1986","North Rhine-Westphalia","(Married) couple without C. ","","","","","1"
"Yes","1986","North Rhine-Westphalia","Single parent ","","","","","1"
"Yes","1986","North Rhine-Westphalia","Couple + C. LE 16 ","","","","","1"
"Yes","1986","North Rhine-Westphalia","Couple + C. GT 16 ","","","","","1"
"Yes","1986","North Rhine-Westphalia","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Hesse","1-pers.-HH","","","","","1"
"Yes","1986","Hesse","(Married) couple without C. ","","","","","1"
"Yes","1986","Hesse","Single parent ","","","","","1"
"Yes","1986","Hesse","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Hesse","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Hesse","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Rhineland-Palatinate,Saarland","1-pers.-HH","","","","","1"
"Yes","1986","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","","","1"
"Yes","1986","Rhineland-Palatinate,Saarland","Single parent ","","","","","1"
"Yes","1986","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Baden-Württemberg","1-pers.-HH","","","","","1"
"Yes","1986","Baden-Württemberg","(Married) couple without C. ","","","","","1"
"Yes","1986","Baden-Württemberg","Single parent ","","","","","1"
"Yes","1986","Baden-Württemberg","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Baden-Württemberg","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Baden-Württemberg","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Bavaria","1-pers.-HH","","","","","1"
"Yes","1986","Bavaria","(Married) couple without C. ","","","","","1"
"Yes","1986","Bavaria","Single parent ","","","","","1"
"Yes","1986","Bavaria","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Bavaria","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Bavaria","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Berlin","1-pers.-HH","","","","","1"
"Yes","1986","Berlin","(Married) couple without C. ","","","","","1"
"Yes","1986","Berlin","Single parent ","","","","","1"
"Yes","1986","Berlin","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Berlin","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Berlin","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Brandenburg","1-pers.-HH","","","","","1"
"Yes","1986","Brandenburg","(Married) couple without C. ","","","","","1"
"Yes","1986","Brandenburg","Single parent ","","","","","1"
"Yes","1986","Brandenburg","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Brandenburg","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Brandenburg","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","Single parent ","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Saxony","1-pers.-HH","","","","","1"
"Yes","1986","Saxony","(Married) couple without C. ","","","","","1"
"Yes","1986","Saxony","Single parent ","","","","","1"
"Yes","1986","Saxony","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Saxony","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Saxony","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Saxony-Anhalt","1-pers.-HH","","","","","1"
"Yes","1986","Saxony-Anhalt","(Married) couple without C. ","","","","","1"
"Yes","1986","Saxony-Anhalt","Single parent ","","","","","1"
"Yes","1986","Saxony-Anhalt","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Saxony-Anhalt","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","Thuringia","1-pers.-HH","","","","","1"
"Yes","1986","Thuringia","(Married) couple without C. ","","","","","1"
"Yes","1986","Thuringia","Single parent ","","","","","1"
"Yes","1986","Thuringia","Couple + C. LE 16 ","","","","","1"
"Yes","1986","Thuringia","Couple + C. GT 16 ","","","","","1"
"Yes","1986","Thuringia","Couple + C. LE and GT 16","","","","","1"
"No","1987","Schleswig-Holstein","1-pers.-HH","","","","","2"
"No","1987","Schleswig-Holstein","Couple + C. GT 16 ","","","","","2"
"No","1987","Bremen","Couple + C. LE 16 ","","","","","2"
"No","1987","Schleswig-Holstein","(Married) couple without C. ","","","","","2"
"No","1987","North Rhine-Westphalia","1-pers.-HH","","","","","2"
"No","1987","Lower Saxony","Couple + C. LE and GT 16","","","","","2"
"No","1987","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","2"
"No","1987","Bremen","Couple + C. LE and GT 16","","","","","2"
"No","1987","Bremen","Single parent ","","","","","2"
"No","1987","Bremen","Couple + C. GT 16 ","","","","","2"
"No","1987","Hesse","Couple + C. GT 16 ","","","","","2"
"No","1987","Schleswig-Holstein","Couple + C. LE 16 ","","","","","2"
"No","1987","Hamburg","1-pers.-HH","","","","","2"
"No","1987","Rhineland-Palatinate,Saarland","1-pers.-HH","","","","","2"
"No","1987","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","","","2"
"No","1987","Hesse","Couple + C. LE and GT 16","","","","","2"
"No","1987","Schleswig-Holstein","Single parent ","","","","","2"
"No","1987","Hamburg","(Married) couple without C. ","","","","","2"
"No","1987","Hamburg","Single parent ","","","","","2"
"No","1987","Hamburg","Couple + C. LE 16 ","","","","","2"
"No","1987","Hamburg","Couple + C. GT 16 ","","","","","2"
"No","1987","Hamburg","Couple + C. LE and GT 16","","","","","2"
"No","1987","Lower Saxony","1-pers.-HH","","","","","2"
"No","1987","Lower Saxony","Single parent ","","","","","2"
"No","1987","Lower Saxony","Couple + C. LE 16 ","","","","","2"
"No","1987","Lower Saxony","Couple + C. GT 16 ","","","","","2"
"No","1987","Bremen","1-pers.-HH","","","","","2"
"No","1987","Bremen","(Married) couple without C. ","","","","","2"
"No","1987","North Rhine-Westphalia","(Married) couple without C. ","","","","","2"
"No","1987","North Rhine-Westphalia","Couple + C. GT 16 ","","","","","2"
"No","1987","North Rhine-Westphalia","Couple + C. LE and GT 16","","","","","2"
"No","1987","Hesse","1-pers.-HH","","","","","2"
"No","1987","Hesse","(Married) couple without C. ","","","","","2"
"No","1987","Hesse","Single parent ","","","","","2"
"No","1987","Hesse","Couple + C. LE 16 ","","","","","2"
"No","1987","Lower Saxony","(Married) couple without C. ","","","","","2"
"No","1987","North Rhine-Westphalia","Single parent ","","","","","2"
"No","1987","North Rhine-Westphalia","Couple + C. LE 16 ","","","","","2"
"No","1987","Rhineland-Palatinate,Saarland","Single parent ","","","","","2"
"No","1987","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","","","2"
"No","1987","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","","","2"
"No","1987","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","","","2"
"No","1987","Baden-Württemberg","1-pers.-HH","","","","","2"
"No","1987","Baden-Württemberg","(Married) couple without C. ","","","","","2"
"No","1987","Baden-Württemberg","Single parent ","","","","","2"
"No","1987","Baden-Württemberg","Couple + C. LE 16 ","","","","","2"
"No","1987","Baden-Württemberg","Couple + C. GT 16 ","","","","","2"
"No","1987","Baden-Württemberg","Couple + C. LE and GT 16","","","","","2"
"No","1987","Bavaria","1-pers.-HH","","","","","2"
"No","1987","Bavaria","(Married) couple without C. ","","","","","2"
"No","1987","Bavaria","Single parent ","","","","","2"
"No","1987","Brandenburg","(Married) couple without C. ","","","","","2"
"No","1987","Brandenburg","Single parent ","","","","","2"
"No","1987","Brandenburg","Couple + C. LE 16 ","","","","","2"
"No","1987","Bavaria","Couple + C. LE 16 ","","","","","2"
"No","1987","Bavaria","Couple + C. GT 16 ","","","","","2"
"No","1987","Bavaria","Couple + C. LE and GT 16","","","","","2"
"No","1987","Berlin","1-pers.-HH","","","","","2"
"No","1987","Berlin","(Married) couple without C. ","","","","","2"
"No","1987","Berlin","Single parent ","","","","","2"
"No","1987","Berlin","Couple + C. LE 16 ","","","","","2"
"No","1987","Berlin","Couple + C. GT 16 ","","","","","2"
"No","1987","Berlin","Couple + C. LE and GT 16","","","","","2"
"No","1987","Brandenburg","1-pers.-HH","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","Single parent ","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","2"
"No","1987","Saxony","1-pers.-HH","","","","","2"
"No","1987","Saxony","(Married) couple without C. ","","","","","2"
"No","1987","Saxony","Single parent ","","","","","2"
"No","1987","Saxony","Couple + C. LE 16 ","","","","","2"
"No","1987","Saxony","Couple + C. GT 16 ","","","","","2"
"No","1987","Brandenburg","Couple + C. GT 16 ","","","","","2"
"No","1987","Brandenburg","Couple + C. LE and GT 16","","","","","2"
"No","1987","Saxony","Couple + C. LE and GT 16","","","","","2"
"No","1987","Saxony-Anhalt","1-pers.-HH","","","","","2"
"No","1987","Saxony-Anhalt","(Married) couple without C. ","","","","","2"
"No","1987","Saxony-Anhalt","Single parent ","","","","","2"
"No","1987","Saxony-Anhalt","Couple + C. LE 16 ","","","","","2"
"No","1987","Saxony-Anhalt","Couple + C. GT 16 ","","","","","2"
"No","1987","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","2"
"No","1987","Thuringia","1-pers.-HH","","","","","2"
"No","1987","Thuringia","(Married) couple without C. ","","","","","2"
"No","1987","Thuringia","Single parent ","","","","","2"
"No","1987","Thuringia","Couple + C. LE 16 ","","","","","2"
"No","1987","Thuringia","Couple + C. GT 16 ","","","","","2"
"No","1987","Thuringia","Couple + C. LE and GT 16","","","","","2"
"Yes","1987","Hesse","(Married) couple without C. ","","","","","1"
"Yes","1987","Hesse","Single parent ","","","","","1"
"Yes","1987","Hesse","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Hesse","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Hesse","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Rhineland-Palatinate,Saarland","1-pers.-HH","","","","","1"
"Yes","1987","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","","","1"
"Yes","1987","Rhineland-Palatinate,Saarland","Single parent ","","","","","1"
"Yes","1987","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Baden-Württemberg","1-pers.-HH","","","","","1"
"Yes","1987","Baden-Württemberg","(Married) couple without C. ","","","","","1"
"Yes","1987","Baden-Württemberg","Single parent ","","","","","1"
"Yes","1987","Baden-Württemberg","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Baden-Württemberg","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Baden-Württemberg","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Bavaria","1-pers.-HH","","","","","1"
"Yes","1987","Bavaria","(Married) couple without C. ","","","","","1"
"Yes","1987","Bavaria","Single parent ","","","","","1"
"Yes","1987","Bavaria","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Schleswig-Holstein","1-pers.-HH","","","","","1"
"Yes","1987","Schleswig-Holstein","(Married) couple without C. ","","","","","1"
"Yes","1987","Schleswig-Holstein","Single parent ","","","","","1"
"Yes","1987","Schleswig-Holstein","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Schleswig-Holstein","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Hamburg","1-pers.-HH","","","","","1"
"Yes","1987","Hamburg","(Married) couple without C. ","","","","","1"
"Yes","1987","Hamburg","Single parent ","","","","","1"
"Yes","1987","Hamburg","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Hamburg","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Hamburg","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Lower Saxony","1-pers.-HH","","","","","1"
"Yes","1987","Lower Saxony","(Married) couple without C. ","","","","","1"
"Yes","1987","Lower Saxony","Single parent ","","","","","1"
"Yes","1987","Lower Saxony","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Lower Saxony","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Lower Saxony","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Bremen","1-pers.-HH","","","","","1"
"Yes","1987","Bremen","(Married) couple without C. ","","","","","1"
"Yes","1987","Bremen","Single parent ","","","","","1"
"Yes","1987","Bremen","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Bremen","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Bremen","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","North Rhine-Westphalia","1-pers.-HH","","","","","1"
"Yes","1987","North Rhine-Westphalia","(Married) couple without C. ","","","","","1"
"Yes","1987","North Rhine-Westphalia","Single parent ","","","","","1"
"Yes","1987","North Rhine-Westphalia","Couple + C. LE 16 ","","","","","1"
"Yes","1987","North Rhine-Westphalia","Couple + C. GT 16 ","","","","","1"
"Yes","1987","North Rhine-Westphalia","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Hesse","1-pers.-HH","","","","","1"
"Yes","1987","Bavaria","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Bavaria","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Berlin","1-pers.-HH","","","","","1"
"Yes","1987","Berlin","(Married) couple without C. ","","","","","1"
"Yes","1987","Berlin","Single parent ","","","","","1"
"Yes","1987","Berlin","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Berlin","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Berlin","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Brandenburg","1-pers.-HH","","","","","1"
"Yes","1987","Brandenburg","(Married) couple without C. ","","","","","1"
"Yes","1987","Brandenburg","Single parent ","","","","","1"
"Yes","1987","Brandenburg","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Brandenburg","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Brandenburg","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","Single parent ","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Saxony","1-pers.-HH","","","","","1"
"Yes","1987","Saxony","(Married) couple without C. ","","","","","1"
"Yes","1987","Saxony","Single parent ","","","","","1"
"Yes","1987","Saxony","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Saxony","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Saxony","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Saxony-Anhalt","1-pers.-HH","","","","","1"
"Yes","1987","Saxony-Anhalt","(Married) couple without C. ","","","","","1"
"Yes","1987","Saxony-Anhalt","Single parent ","","","","","1"
"Yes","1987","Saxony-Anhalt","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Saxony-Anhalt","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","1"
"Yes","1987","Thuringia","1-pers.-HH","","","","","1"
"Yes","1987","Thuringia","(Married) couple without C. ","","","","","1"
"Yes","1987","Thuringia","Single parent ","","","","","1"
"Yes","1987","Thuringia","Couple + C. LE 16 ","","","","","1"
"Yes","1987","Thuringia","Couple + C. GT 16 ","","","","","1"
"Yes","1987","Thuringia","Couple + C. LE and GT 16","","","","","1"
"No","1988","Schleswig-Holstein","(Married) couple without C. ","34","1","1","1","2"
"No","1988","Schleswig-Holstein","Single parent ","4","","","","2"
"No","1988","Schleswig-Holstein","Couple + C. LE 16 ","38","1","1","1","2"
"No","1988","Schleswig-Holstein","Couple + C. GT 16 ","19","","","","2"
"No","1988","Schleswig-Holstein","Couple + C. LE and GT 16","14","","","","2"
"No","1988","Schleswig-Holstein","1-pers.-HH","4","","","","2"
"No","1988","Bremen","Single parent ","","","","","2"
"No","1988","Bremen","Couple + C. LE 16 ","4","","","","2"
"No","1988","Bremen","Couple + C. LE and GT 16","3","","","","2"
"No","1988","North Rhine-Westphalia","1-pers.-HH","87","1","1","1","2"
"No","1988","Bremen","Couple + C. GT 16 ","7","","","","2"
"No","1988","Hesse","Couple + C. GT 16 ","94","1","1","1","2"
"No","1988","Rhineland-Palatinate,Saarland","(Married) couple without C. ","53","1","1","1","2"
"No","1988","Hesse","Couple + C. LE and GT 16","61","1","1","1","2"
"No","1988","Hamburg","1-pers.-HH","10","","","","2"
"No","1988","Hamburg","(Married) couple without C. ","15","","","","2"
"No","1988","Hamburg","Single parent ","3","","","","2"
"No","1988","Hamburg","Couple + C. LE 16 ","11","","","","2"
"No","1988","Hamburg","Couple + C. GT 16 ","16","","","","2"
"No","1988","Lower Saxony","Single parent ","26","","","","2"
"No","1988","Lower Saxony","Couple + C. LE 16 ","82","1","1","1","2"
"No","1988","Lower Saxony","Couple + C. GT 16 ","93","1","1","1","2"
"No","1988","Lower Saxony","Couple + C. LE and GT 16","41","1","1","1","2"
"No","1988","Bremen","1-pers.-HH","7","","","","2"
"No","1988","Bremen","(Married) couple without C. ","5","","","","2"
"No","1988","North Rhine-Westphalia","Couple + C. GT 16 ","250","1","1","1","2"
"No","1988","North Rhine-Westphalia","Couple + C. LE and GT 16","127","1","1","1","2"
"No","1988","Hesse","(Married) couple without C. ","79","1","1","1","2"
"No","1988","Hesse","Single parent ","19","","","","2"
"No","1988","Hesse","Couple + C. LE 16 ","124","1","1","1","2"
"No","1988","Rhineland-Palatinate,Saarland","1-pers.-HH","20","","","","2"
"No","1988","Hamburg","Couple + C. LE and GT 16","4","","","","2"
"No","1988","Lower Saxony","1-pers.-HH","32","1","1","1","2"
"No","1988","Lower Saxony","(Married) couple without C. ","86","1","1","1","2"
"No","1988","North Rhine-Westphalia","(Married) couple without C. ","222","1","1","1","2"
"No","1988","North Rhine-Westphalia","Single parent ","42","1","1","1","2"
"No","1988","North Rhine-Westphalia","Couple + C. LE 16 ","246","1","1","1","2"
"No","1988","Hesse","1-pers.-HH","25","","","","2"
"No","1988","Rhineland-Palatinate,Saarland","Single parent ","14","","","","2"
"No","1988","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","50","1","1","1","2"
"No","1988","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","67","1","1","1","2"
"No","1988","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","38","1","1","1","2"
"No","1988","Baden-Württemberg","1-pers.-HH","62","1","1","1","2"
"No","1988","Baden-Württemberg","(Married) couple without C. ","142","1","1","1","2"
"No","1988","Baden-Württemberg","Single parent ","39","1","1","1","2"
