"plb0196_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2018","East Germany","Female","325","0.293203707889807","0.265416134757147","0.320991281022467","2"
"Yes","2018","West Germany","Female","2899","0.741015746528017","0.727371457952948","0.754660035103087","1"
"Yes","2018","East Germany","Female","706","0.706796292110193","0.679008718977533","0.734583865242853","1"
"Yes","2018","West Germany","Male","3184","0.771428639520371","0.75876089778293","0.784096381257813","1"
"Yes","2018","East Germany","Male","728","0.725927501362563","0.698700606594049","0.753154396131077","1"
"No","2019","West Germany","Male","879","0.223251337016079","0.210011166321359","0.236491507710798","2"
"No","2019","West Germany","Female","879","0.227126521974574","0.213351969219096","0.240901074730053","2"
"No","2019","East Germany","Male","220","0.267404883422549","0.238616197377004","0.296193569468094","2"
"No","2019","East Germany","Female","256","0.266407880303166","0.238856027631119","0.293959732975213","2"
"Yes","2019","West Germany","Female","2675","0.772873478025426","0.759098925269947","0.786648030780904","1"
"Yes","2019","East Germany","Female","733","0.733592119696834","0.706040267024787","0.761143972368881","1"
"Yes","2019","West Germany","Male","2921","0.776748662983922","0.763508492289202","0.789988833678641","1"
"Yes","2019","East Germany","Male","688","0.732595116577451","0.703806430531906","0.761383802622996","1"
