"plb0196_h","year","age_gr","n","percent","lower_confidence","upper_confidence"
"No","2004","16-34 y.","643","0.311099742917929","0.291233353760573","0.330966132075286"
"No","2004","35-65 y.","1469","0.294691422421553","0.282301231616876","0.307081613226229"
"No","2004","66 and older","4","","",""
"Yes","2005","16-34 y.","1365","0.693087926501135","0.672612011177274","0.713563841824996"
"Yes","2005","35-65 y.","3439","0.701820420013696","0.688889845807721","0.714750994219672"
"Yes","2005","66 and older","8","","",""
"No","2005","16-34 y.","584","0.306912073498865","0.286436158175004","0.327387988822727"
"No","2005","35-65 y.","1369","0.298179579986304","0.285249005780328","0.311110154192279"
"No","2005","66 and older","2","","",""
"Yes","2006","16-34 y.","1459","0.706387967879091","0.68644378777459","0.726332147983591"
"Yes","2006","35-65 y.","3983","0.729441037927455","0.717637970698918","0.741244105155992"
"Yes","2006","66 and older","13","","",""
"No","2006","16-34 y.","544","0.293612032120909","0.273667852016409","0.31355621222541"
"No","2006","35-65 y.","1459","0.270558962072545","0.258755894844008","0.282362029301082"
"No","2006","66 and older","8","","",""
"Yes","2007","16-34 y.","1368","0.742220464758646","0.722315252429577","0.762125677087716"
"Yes","2007","35-65 y.","3773","0.744399271521353","0.732403090849249","0.756395452193456"
"Yes","2007","66 and older","15","","",""
"No","2007","16-34 y.","487","0.257779535241354","0.237874322912284","0.277684747570423"
"No","2007","35-65 y.","1306","0.255600728478647","0.243604547806544","0.267596909150751"
"No","2007","66 and older","8","","",""
"Yes","2008","16-34 y.","1341","0.726150391604063","0.705752696180477","0.746548087027649"
"Yes","2008","35-65 y.","3623","0.718991230026174","0.70651595466395","0.731466505388398"
"Yes","2008","66 and older","11","","",""
"No","2008","16-34 y.","495","0.273849608395937","0.253451912972351","0.294247303819523"
"No","2008","35-65 y.","1364","0.281008769973826","0.268533494611602","0.29348404533605"
"No","2008","66 and older","7","","",""
"Yes","2009","16-34 y.","1144","0.702062918103439","0.679784981487269","0.72434085471961"
"Yes","2009","35-65 y.","3132","0.708105796917514","0.694690751446233","0.721520842388796"
"Yes","2009","66 and older","16","","",""
"No","2009","16-34 y.","475","0.297937081896561","0.27565914528039","0.320215018512731"
"No","2009","35-65 y.","1280","0.291894203082486","0.278479157611204","0.305309248553767"
"No","2009","66 and older","5","","",""
"Yes","2010","16-34 y.","1625","0.674820262350673","0.655840273294928","0.693800251406418"
"Yes","2010","35-65 y.","4142","0.682850780490341","0.671079533353814","0.694622027626868"
"Yes","2010","66 and older","18","","",""
"No","2010","16-34 y.","715","0.325179737649327","0.306199748593582","0.344159726705072"
"No","2010","35-65 y.","1862","0.317149219509659","0.305377972373132","0.328920466646186"
"No","2010","66 and older","10","","",""
"Yes","2011","16-34 y.","1903","0.75597207219859","0.739311292360177","0.772632852037003"
"Yes","2011","35-65 y.","5593","0.735316715954986","0.725372765571267","0.745260666338705"
"Yes","2011","66 and older","14","","",""
"No","2011","16-34 y.","650","0.24402792780141","0.227367147962997","0.260688707639823"
"No","2011","35-65 y.","1968","0.264683284045014","0.254739333661295","0.274627234428733"
"No","2011","66 and older","12","","",""
"Yes","2012","16-34 y.","1814","0.738010303553569","0.720651773422067","0.75536883368507"
"Yes","2012","35-65 y.","5592","0.70939309273926","0.699345182596844","0.719441002881677"
"Yes","2012","66 and older","21","","",""
"No","2012","16-34 y.","651","0.261989696446431","0.24463116631493","0.279348226577933"
"No","2012","35-65 y.","2252","0.29060690726074","0.280558997118323","0.300654817403156"
"No","2012","66 and older","24","","",""
"Yes","2013","16-34 y.","2093","0.72310270133361","0.706706300997546","0.739499101669675"
"Yes","2013","35-65 y.","5874","0.728801285747392","0.71912908169821","0.738473489796575"
"Yes","2013","66 and older","16","","",""
"No","2013","16-34 y.","768","0.27689729866639","0.260500898330325","0.293293699002454"
"No","2013","35-65 y.","2242","0.271198714252608","0.261526510203425","0.28087091830179"
"No","2013","66 and older","15","","",""
"Yes","2014","16-34 y.","1822","0.742614983765711","0.725422216689684","0.759807750841738"
"Yes","2014","35-65 y.","5348","0.725842142309262","0.715715960843731","0.735968323774793"
"Yes","2014","66 and older","20","","",""
"No","2014","16-34 y.","662","0.257385016234289","0.240192249158262","0.274577783310316"
"No","2014","35-65 y.","2107","0.274157857690738","0.264031676225207","0.284284039156269"
"No","2014","66 and older","24","","",""
"Yes","2015","16-34 y.","1824","0.758758372947601","0.741772096057115","0.775744649838086"
"Yes","2015","35-65 y.","5429","0.767637924643607","0.757773746307496","0.777502102979719"
"Yes","2015","66 and older","26","","",""
"No","2015","16-34 y.","613","0.241241627052399","0.224255350161914","0.258227903942885"
"No","2015","35-65 y.","1613","0.232362075356393","0.222497897020281","0.242226253692504"
"No","2015","66 and older","22","","",""
"Yes","2016","16-34 y.","1635","0.764261452364653","0.746256771379105","0.782266133350201"
"Yes","2016","35-65 y.","5226","0.763039691733223","0.752984714527853","0.773094668938593"
"Yes","2016","66 and older","35","0.754812386528168","0.631822915265382","0.877801857790954"
"No","2016","16-34 y.","500","0.235738547635347","0.217733866649799","0.253743228620895"
"No","2016","35-65 y.","1644","0.236960308266777","0.226905331061407","0.247015285472147"
"No","2016","66 and older","12","","",""
"Yes","2017","16-34 y.","1848","0.7854057373539","0.768939778804768","0.801871695903032"
"Yes","2017","35-65 y.","5549","0.753846589503592","0.743998571421255","0.76369460758593"
"Yes","2017","66 and older","34","0.610555074805221","0.485062063286835","0.736048086323607"
"No","2017","16-34 y.","540","0.2145942626461","0.198128304096968","0.231060221195232"
"No","2017","35-65 y.","1801","0.246153410496408","0.23630539241407","0.256001428578745"
"No","2017","66 and older","24","","",""
"Yes","2018","16-34 y.","1955","0.77421703321523","0.758087156895208","0.790346909535253"
"Yes","2018","35-65 y.","5527","0.744554802091636","0.734744196843935","0.754365407339338"
"Yes","2018","66 and older","35","0.514674943177551","0.398422580983478","0.630927305371623"
"No","2018","16-34 y.","626","0.22578296678477","0.209653090464747","0.241912843104792"
"No","2018","35-65 y.","2064","0.255445197908364","0.245634592660662","0.265255803156065"
"No","2018","66 and older","36","0.485325056822449","0.369072694628377","0.601577419016522"
"Yes","2019","16-34 y.","1743","0.784544263527906","0.767683090012701","0.801405437043111"
"Yes","2019","35-65 y.","5247","0.761295495310026","0.751252330170935","0.771338660449117"
"Yes","2019","66 and older","56","0.774473991582683","0.68401684158646","0.864931141578906"
"No","2019","16-34 y.","541","0.215455736472094","0.198594562956889","0.232316909987299"
"No","2019","35-65 y.","1674","0.238704504689974","0.228661339550883","0.248747669829066"
"No","2019","66 and older","26","","",""
