"plb0196_h","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","1989","middle vocational","1884","1","1","1"
"No","1989","vocational + Abi","108","1","1","1"
"No","1989","higher vocational","212","1","1","1"
"No","1989","higher education","296","1","1","1"
"Yes","1990","in school","","","",""
"Yes","1990","inadequately","","","",""
"Yes","1990","general elemantary","","","",""
"Yes","1990","middle vocational","","","",""
"Yes","1990","vocational + Abi","","","",""
"Yes","1990","higher vocational","","","",""
"Yes","1990","higher education","","","",""
"No","1990","in school","6","","",""
"No","1990","inadequately","271","1","1","1"
"No","1990","general elemantary","961","1","1","1"
"No","1990","middle vocational","1827","1","1","1"
"No","1990","vocational + Abi","107","1","1","1"
"No","1990","higher vocational","197","1","1","1"
"No","1990","higher education","267","1","1","1"
"Yes","1991","in school","","","",""
"Yes","1991","inadequately","","","",""
"Yes","1991","general elemantary","","","",""
"Yes","1991","middle vocational","","","",""
"Yes","1991","vocational + Abi","","","",""
"Yes","1991","higher vocational","","","",""
"Yes","1991","higher education","","","",""
"No","1991","in school","17","","",""
"No","1991","inadequately","274","1","1","1"
"No","1991","general elemantary","1093","1","1","1"
"No","1991","middle vocational","2949","1","1","1"
"No","1991","vocational + Abi","160","1","1","1"
"No","1991","higher vocational","347","1","1","1"
"No","1991","higher education","729","1","1","1"
"Yes","1992","in school","","","",""
"Yes","1992","inadequately","","","",""
"Yes","1992","general elemantary","","","",""
"Yes","1992","middle vocational","","","",""
"Yes","1992","vocational + Abi","","","",""
"Yes","1992","higher vocational","","","",""
"Yes","1992","higher education","","","",""
"No","1992","in school","17","","",""
"No","1992","inadequately","237","1","1","1"
"No","1992","general elemantary","1040","1","1","1"
"No","1992","middle vocational","2584","1","1","1"
"No","1992","vocational + Abi","138","1","1","1"
"No","1992","higher vocational","327","1","1","1"
"No","1992","higher education","613","1","1","1"
"Yes","1993","in school","","","",""
"Yes","1993","inadequately","","","",""
"Yes","1993","general elemantary","","","",""
"Yes","1993","middle vocational","","","",""
"Yes","1993","vocational + Abi","","","",""
"Yes","1993","higher vocational","","","",""
"Yes","1993","higher education","","","",""
"No","1993","in school","9","","",""
"No","1993","inadequately","246","1","1","1"
"No","1993","general elemantary","993","1","1","1"
"No","1993","middle vocational","2558","1","1","1"
"No","1993","vocational + Abi","157","1","1","1"
"No","1993","higher vocational","320","1","1","1"
"No","1993","higher education","582","1","1","1"
"Yes","1994","in school","","","",""
"Yes","1994","inadequately","","","",""
"Yes","1994","general elemantary","","","",""
"Yes","1994","middle vocational","","","",""
"Yes","1994","vocational + Abi","","","",""
"Yes","1994","higher vocational","","","",""
"Yes","1994","higher education","","","",""
"No","1994","in school","10","","",""
"No","1994","inadequately","219","1","1","1"
"No","1994","general elemantary","844","1","1","1"
"No","1994","middle vocational","2378","1","1","1"
"No","1994","vocational + Abi","132","1","1","1"
"No","1994","higher vocational","323","1","1","1"
"No","1994","higher education","592","1","1","1"
"Yes","1995","in school","","","",""
"Yes","1995","inadequately","","","",""
"Yes","1995","general elemantary","","","",""
"Yes","1995","middle vocational","","","",""
"Yes","1995","vocational + Abi","","","",""
"Yes","1995","higher vocational","","","",""
"Yes","1995","higher education","","","",""
"No","1995","in school","10","","",""
"No","1995","inadequately","184","1","1","1"
"No","1995","general elemantary","808","1","1","1"
"No","1995","middle vocational","2394","1","1","1"
"No","1995","vocational + Abi","166","1","1","1"
"No","1995","higher vocational","297","1","1","1"
"No","1995","higher education","637","1","1","1"
"Yes","1996","in school","","","",""
"Yes","1996","inadequately","","","",""
"Yes","1996","general elemantary","","","",""
"Yes","1996","middle vocational","","","",""
"Yes","1996","vocational + Abi","","","",""
"Yes","1996","higher vocational","","","",""
"Yes","1996","higher education","","","",""
"No","1996","in school","5","","",""
"No","1996","inadequately","171","1","1","1"
"No","1996","general elemantary","800","1","1","1"
"No","1996","middle vocational","2316","1","1","1"
"No","1996","vocational + Abi","164","1","1","1"
"No","1996","higher vocational","283","1","1","1"
"No","1996","higher education","628","1","1","1"
"Yes","1997","in school","","","",""
"Yes","1997","inadequately","","","",""
"Yes","1997","general elemantary","","","",""
"Yes","1997","middle vocational","","","",""
"Yes","1997","vocational + Abi","","","",""
"Yes","1997","higher vocational","","","",""
"Yes","1997","higher education","","","",""
"No","1997","in school","2","","",""
"No","1997","inadequately","34","1","1","1"
"No","1997","general elemantary","202","1","1","1"
"No","1997","middle vocational","792","1","1","1"
"No","1997","vocational + Abi","61","1","1","1"
"No","1997","higher vocational","107","1","1","1"
"No","1997","higher education","194","1","1","1"
"Yes","1998","in school","","","",""
"Yes","1998","inadequately","","","",""
"Yes","1998","general elemantary","","","",""
"Yes","1998","middle vocational","","","",""
"Yes","1998","vocational + Abi","","","",""
"Yes","1998","higher vocational","","","",""
"Yes","1998","higher education","","","",""
"No","1998","in school","1","","",""
"No","1998","inadequately","29","","",""
"No","1998","general elemantary","221","1","1","1"
"No","1998","middle vocational","838","1","1","1"
"No","1998","vocational + Abi","46","1","1","1"
"No","1998","higher vocational","108","1","1","1"
"No","1998","higher education","215","1","1","1"
"Yes","1999","in school","","","",""
"Yes","1999","inadequately","","","",""
"Yes","1999","general elemantary","","","",""
"Yes","1999","middle vocational","","","",""
"Yes","1999","vocational + Abi","","","",""
"Yes","1999","higher vocational","","","",""
"Yes","1999","higher education","","","",""
"No","1999","in school","1","","",""
"No","1999","inadequately","22","","",""
"No","1999","general elemantary","181","1","1","1"
"No","1999","middle vocational","831","1","1","1"
"No","1999","vocational + Abi","45","1","1","1"
"No","1999","higher vocational","103","1","1","1"
"No","1999","higher education","207","1","1","1"
"Yes","2000","in school","","","",""
"Yes","2000","inadequately","","","",""
"Yes","2000","general elemantary","","","",""
"Yes","2000","middle vocational","","","",""
"Yes","2000","vocational + Abi","","","",""
"Yes","2000","higher vocational","","","",""
"Yes","2000","higher education","","","",""
"No","2000","in school","3","","",""
"No","2000","inadequately","18","","",""
"No","2000","general elemantary","252","1","1","1"
"No","2000","middle vocational","1449","1","1","1"
"No","2000","vocational + Abi","137","1","1","1"
"No","2000","higher vocational","230","1","1","1"
"No","2000","higher education","431","1","1","1"
"Yes","2001","in school","","","",""
"Yes","2001","inadequately","","","",""
"Yes","2001","general elemantary","","","",""
"Yes","2001","middle vocational","","","",""
"Yes","2001","vocational + Abi","","","",""
"Yes","2001","higher vocational","","","",""
"Yes","2001","higher education","","","",""
"No","2001","in school","7","","",""
"No","2001","inadequately","15","","",""
"No","2001","general elemantary","215","1","1","1"
"No","2001","middle vocational","1341","1","1","1"
"No","2001","vocational + Abi","144","1","1","1"
"No","2001","higher vocational","214","1","1","1"
"No","2001","higher education","417","1","1","1"
"Yes","2002","in school","14","","",""
"Yes","2002","inadequately","18","","",""
"Yes","2002","general elemantary","276","0.554386549128338","0.509210619037422","0.599562479219255"
"Yes","2002","middle vocational","2627","0.666639174897418","0.651909999986542","0.681368349808294"
"Yes","2002","vocational + Abi","370","0.707053526613806","0.667632004039024","0.746475049188588"
"Yes","2002","higher vocational","548","0.720791954560976","0.688664515270798","0.752919393851153"
"Yes","2002","higher education","1741","0.788466433748119","0.771420333253853","0.805512534242385"
"No","2002","in school","12","","",""
"No","2002","inadequately","11","","",""
"No","2002","general elemantary","189","0.445613450871661","0.400437520780745","0.490789380962578"
"No","2002","middle vocational","1308","0.333360825102582","0.318631650191706","0.348090000013458"
"No","2002","vocational + Abi","142","0.292946473386194","0.253524950811412","0.332367995960976"
"No","2002","higher vocational","201","0.279208045439024","0.247080606148847","0.311335484729202"
"No","2002","higher education","464","0.211533566251881","0.194487465757614","0.228579666746147"
"Yes","2003","in school","2","","",""
"Yes","2003","inadequately","19","","",""
"Yes","2003","general elemantary","272","0.595533152272064","0.550187435539334","0.640878869004795"
"Yes","2003","middle vocational","2508","0.665857857676803","0.650793024592996","0.680922690760609"
"Yes","2003","vocational + Abi","374","0.694043604506377","0.654512769706509","0.733574439306244"
"Yes","2003","higher vocational","530","0.741004134528378","0.709181280070862","0.772826988985894"
"Yes","2003","higher education","1578","0.790729904585765","0.773034204867446","0.808425604304085"
"No","2003","in school","2","","",""
"No","2003","inadequately","11","","",""
"No","2003","general elemantary","178","0.404466847727936","0.359121130995205","0.449812564460666"
"No","2003","middle vocational","1258","0.334142142323197","0.319077309239391","0.349206975407004"
"No","2003","vocational + Abi","148","0.305956395493623","0.266425560693756","0.345487230293491"
"No","2003","higher vocational","198","0.258995865471622","0.227173011014106","0.290818719929138"
"No","2003","higher education","452","0.209270095414235","0.191574395695915","0.226965795132554"
"Yes","2004","in school","4","","",""
"Yes","2004","inadequately","16","","",""
"Yes","2004","general elemantary","264","0.595244758217699","0.549012173561935","0.641477342873462"
"Yes","2004","middle vocational","2448","0.67208840515116","0.656688942344803","0.687487867957518"
"Yes","2004","vocational + Abi","354","0.714137388549831","0.674769475161579","0.753505301938082"
"Yes","2004","higher vocational","546","0.787932936715925","0.75803321766583","0.817832655766021"
"Yes","2004","higher education","1515","0.75287074256785","0.733928747629478","0.771812737506222"
"No","2004","in school","3","","",""
"No","2004","inadequately","8","","",""
"No","2004","general elemantary","169","0.404755241782301","0.358522657126538","0.450987826438065"
"No","2004","middle vocational","1122","0.32791159484884","0.312512132042482","0.343311057655197"
"No","2004","vocational + Abi","152","0.285862611450169","0.246494698061918","0.325230524838421"
"No","2004","higher vocational","172","0.212067063284074","0.182167344233979","0.24196678233417"
"No","2004","higher education","477","0.247129257432149","0.228187262493777","0.266071252370521"
"Yes","2005","in school","2","","",""
"Yes","2005","inadequately","20","","",""
"Yes","2005","general elemantary","260","0.646289750816515","0.600344684557953","0.692234817075078"
"Yes","2005","middle vocational","2265","0.682100497166983","0.666205599916513","0.697995394417454"
"Yes","2005","vocational + Abi","359","0.669650665209591","0.628506609149505","0.710794721269677"
"Yes","2005","higher vocational","472","0.726928688908608","0.692383974690078","0.761473403127137"
"Yes","2005","higher education","1403","0.772350602625588","0.753123257815594","0.791577947435582"
"No","2005","in school","5","","",""
"No","2005","inadequately","7","","",""
"No","2005","general elemantary","156","0.353710249183484","0.307765182924922","0.399655315442047"
"No","2005","middle vocational","1032","0.317899502833017","0.302004605582546","0.333794400083487"
"No","2005","vocational + Abi","143","0.330349334790409","0.289205278730323","0.371493390850495"
"No","2005","higher vocational","167","0.273071311091392","0.238526596872863","0.307616025309922"
"No","2005","higher education","424","0.227649397374412","0.208422052564418","0.246876742184406"
"Yes","2006","in school","3","","",""
"Yes","2006","inadequately","16","","",""
"Yes","2006","general elemantary","249","0.642626761348995","0.595247069326477","0.690006453371513"
"Yes","2006","middle vocational","2577","0.693022374789872","0.678114069921547","0.707930679658196"
"Yes","2006","vocational + Abi","419","0.710798319202346","0.673642770514523","0.747953867890169"
"Yes","2006","higher vocational","529","0.775318693248242","0.744244127249221","0.806393259247262"
"Yes","2006","higher education","1619","0.798848391734006","0.781440486502295","0.816256296965718"
"No","2006","in school","5","","",""
"No","2006","inadequately","11","","",""
"No","2006","general elemantary","144","0.357373238651005","0.309993546628487","0.404752930673523"
"No","2006","middle vocational","1100","0.306977625210128","0.292069320341804","0.321885930078453"
"No","2006","vocational + Abi","153","0.289201680797653","0.25204613210983","0.326357229485476"
"No","2006","higher vocational","164","0.224681306751758","0.193606740752738","0.255755872750779"
"No","2006","higher education","418","0.201151608265994","0.183743703034282","0.218559513497705"
"Yes","2007","in school","2","","",""
"Yes","2007","inadequately","8","","",""
"Yes","2007","general elemantary","201","0.635966362294118","0.582746824619991","0.689185899968246"
"Yes","2007","middle vocational","2486","0.730769757537978","0.715947270681644","0.745592244394313"
"Yes","2007","vocational + Abi","417","0.783272306683125","0.748617636768656","0.817926976597593"
"Yes","2007","higher vocational","492","0.773176305726894","0.740706391609832","0.805646219843956"
"Yes","2007","higher education","1514","0.787085648620651","0.7688363730692","0.805334924172103"
"No","2007","in school","3","","",""
"No","2007","inadequately","9","","",""
"No","2007","general elemantary","113","0.364033637705882","0.310814100031754","0.417253175380009"
"No","2007","middle vocational","954","0.269230242462022","0.254407755605687","0.284052729318356"
"No","2007","vocational + Abi","126","0.216727693316875","0.182073023402407","0.251382363231344"
"No","2007","higher vocational","147","0.226823694273106","0.194353780156044","0.259293608390168"
"No","2007","higher education","419","0.212914351379349","0.194665075827897","0.2311636269308"
"Yes","2008","in school","4","","",""
"Yes","2008","inadequately","11","","",""
"Yes","2008","general elemantary","227","0.631760786630494","0.581230074500282","0.682291498760705"
"Yes","2008","middle vocational","2360","0.693423082591711","0.677925016585573","0.708921148597849"
"Yes","2008","vocational + Abi","399","0.746602135693413","0.709814062893121","0.783390208493705"
"Yes","2008","higher vocational","471","0.793856832492023","0.761406698723902","0.826306966260144"
"Yes","2008","higher education","1455","0.778847209673023","0.759981170061665","0.79771324928438"
"No","2008","in school","5","","",""
"No","2008","inadequately","9","","",""
"No","2008","general elemantary","123","0.368239213369506","0.317708501239295","0.418769925499718"
"No","2008","middle vocational","1040","0.306576917408289","0.291078851402151","0.322074983414427"
"No","2008","vocational + Abi","138","0.253397864306587","0.216609791506295","0.290185937106879"
"No","2008","higher vocational","126","0.206143167507977","0.173693033739856","0.238593301276098"
"No","2008","higher education","404","0.221152790326977","0.20228675071562","0.240018829938335"
"Yes","2009","in school","3","","",""
"Yes","2009","inadequately","13","","",""
"Yes","2009","general elemantary","156","0.629239673875274","0.571085641961901","0.687393705788647"
"Yes","2009","middle vocational","1986","0.669818844124874","0.652882862008069","0.686754826241679"
"Yes","2009","vocational + Abi","352","0.736572506801045","0.696917573664184","0.776227439937905"
"Yes","2009","higher vocational","402","0.748335240928207","0.711967717339158","0.784702764517257"
"Yes","2009","higher education","1335","0.77762948214614","0.757960227362715","0.797298736929565"
"No","2009","in school","2","","",""
"No","2009","inadequately","10","","",""
"No","2009","general elemantary","109","0.370760326124726","0.312606294211353","0.428914358038099"
"No","2009","middle vocational","976","0.330181155875126","0.313245173758321","0.347117137991931"
"No","2009","vocational + Abi","122","0.263427493198955","0.223772560062094","0.303082426335816"
"No","2009","higher vocational","145","0.251664759071793","0.215297235482743","0.288032282660842"
"No","2009","higher education","382","0.22237051785386","0.202701263070435","0.242039772637285"
"Yes","2010","in school","5","","",""
"Yes","2010","inadequately","28","","",""
"Yes","2010","general elemantary","273","0.567490805192099","0.521040939831883","0.613940670552315"
"Yes","2010","middle vocational","2634","0.643826983909719","0.629109753160535","0.658544214658902"
"Yes","2010","vocational + Abi","524","0.695796342579499","0.662581084325814","0.729011600833184"
"Yes","2010","higher vocational","510","0.730032773857484","0.69678753127598","0.763278016438988"
"Yes","2010","higher education","1767","0.761413198865923","0.744095774201115","0.778730623530731"
"No","2010","in school","2","","",""
"No","2010","inadequately","13","","",""
"No","2010","general elemantary","164","0.432509194807901","0.386059329447685","0.478959060168116"
"No","2010","middle vocational","1433","0.356173016090281","0.341455785341098","0.370890246839465"
"No","2010","vocational + Abi","213","0.304203657420501","0.270988399166816","0.337418915674186"
"No","2010","higher vocational","175","0.269967226142516","0.236721983561012","0.30321246872402"
"No","2010","higher education","560","0.238586801134077","0.221269376469269","0.255904225798885"
"Yes","2011","in school","8","","",""
"Yes","2011","inadequately","41","0.743160619750963","0.631681318998109","0.854639920503817"
"Yes","2011","general elemantary","383","0.65901133972268","0.620399079778709","0.697623599666651"
"Yes","2011","middle vocational","3420","0.711297910771578","0.698520720618366","0.724075100924789"
"Yes","2011","vocational + Abi","694","0.779616425787761","0.752490662287604","0.806742189287917"
"Yes","2011","higher vocational","649","0.784019372258263","0.755837039622485","0.812201704894042"
"Yes","2011","higher education","2186","0.789234797971046","0.774065596538126","0.804403999403966"
"No","2011","in school","2","","",""
"No","2011","inadequately","18","","",""
"No","2011","general elemantary","196","0.34098866027732","0.302376400333349","0.379600920221291"
"No","2011","middle vocational","1412","0.288702089228422","0.275924899075211","0.301479279381634"
"No","2011","vocational + Abi","203","0.220383574212239","0.193257810712083","0.247509337712396"
"No","2011","higher vocational","170","0.215980627741737","0.187798295105958","0.244162960377515"
"No","2011","higher education","591","0.210765202028954","0.195596000596034","0.225934403461874"
"Yes","2012","in school","8","","",""
"Yes","2012","inadequately","46","0.696000928833581","0.59325993406729","0.798741923599871"
"Yes","2012","general elemantary","390","0.6354632187536","0.596725269068963","0.674201168438237"
"Yes","2012","middle vocational","3395","0.678115886757786","0.665151765939116","0.691080007576457"
"Yes","2012","vocational + Abi","720","0.757401778976183","0.730229497095797","0.78457406085657"
"Yes","2012","higher vocational","637","0.768252999122089","0.739407943837569","0.797098054406608"
"Yes","2012","higher education","2160","0.779345541513397","0.764001999075887","0.794689083950906"
"No","2012","in school","4","","",""
"No","2012","inadequately","31","0.303999071166419","0.201258076400128","0.40674006593271"
"No","2012","general elemantary","203","0.3645367812464","0.325798831561763","0.403274730931037"
"No","2012","middle vocational","1594","0.321884113242214","0.308919992423543","0.334848234060885"
"No","2012","vocational + Abi","236","0.242598221023817","0.21542593914343","0.269770502904203"
"No","2012","higher vocational","185","0.231747000877911","0.202901945593392","0.260592056162431"
"No","2012","higher education","646","0.220654458486603","0.205310916049094","0.235998000924113"
"Yes","2013","in school","16","","",""
"Yes","2013","inadequately","62","0.637004294782122","0.54322448927679","0.730784100287455"
"Yes","2013","general elemantary","552","0.696661649115325","0.665139800776236","0.728183497454414"
"Yes","2013","middle vocational","3565","0.698083439472928","0.685476323263558","0.710690555682297"
"Yes","2013","vocational + Abi","824","0.739789609118739","0.714036652967172","0.765542565270306"
"Yes","2013","higher vocational","593","0.781057947218016","0.751677257731414","0.810438636704617"
"Yes","2013","higher education","2292","0.768099080563778","0.752968869326167","0.783229291801388"
"No","2013","in school","5","","",""
"No","2013","inadequately","39","0.362995705217878","0.269215899712546","0.45677551072321"
"No","2013","general elemantary","265","0.303338350884675","0.271816502545585","0.334860199223764"
"No","2013","middle vocational","1529","0.301916560527072","0.289309444317703","0.314523676736442"
"No","2013","vocational + Abi","291","0.260210390881261","0.234457434729694","0.285963347032828"
"No","2013","higher vocational","168","0.218942052781984","0.189561363295383","0.248322742268586"
"No","2013","higher education","697","0.231900919436222","0.216770708198612","0.247031130673833"
"Yes","2014","in school","11","","",""
"Yes","2014","inadequately","38","0.688118981123347","0.578010727220985","0.798227235025708"
"Yes","2014","general elemantary","465","0.658262055684089","0.623025821849048","0.69349828951913"
"Yes","2014","middle vocational","3204","0.701688555097602","0.68842241234369","0.714954697851515"
"Yes","2014","vocational + Abi","762","0.767955795956986","0.742125589082909","0.793786002831062"
"Yes","2014","higher vocational","526","0.756099798901677","0.724173297551667","0.788026300251686"
"Yes","2014","higher education","2092","0.778248653877568","0.762786660684488","0.793710647070648"
"No","2014","in school","2","","",""
"No","2014","inadequately","30","0.311881018876653","0.201772764974292","0.421989272779015"
"No","2014","general elemantary","231","0.341737944315911","0.30650171048087","0.376974178150952"
"No","2014","middle vocational","1365","0.298311444902398","0.285045302148486","0.31157758765631"
"No","2014","vocational + Abi","264","0.232044204043014","0.206213997168938","0.257874410917091"
"No","2014","higher vocational","169","0.243900201098323","0.211973699748314","0.275826702448333"
"No","2014","higher education","681","0.221751346122432","0.206289352929352","0.237213339315512"
"Yes","2015","in school","3","","",""
"Yes","2015","inadequately","48","0.734451323503858","0.634504029868115","0.834398617139602"
"Yes","2015","general elemantary","459","0.749662341923263","0.716152180710264","0.783172503136263"
"Yes","2015","middle vocational","3100","0.728688250790453","0.715285751714712","0.742090749866195"
"Yes","2015","vocational + Abi","741","0.735792029532255","0.708243334026924","0.763340725037585"
"Yes","2015","higher vocational","577","0.820580034188598","0.791761599173975","0.849398469203221"
"Yes","2015","higher education","2231","0.821118695865941","0.80679460093342","0.835442790798462"
"No","2015","in school","5","","",""
"No","2015","inadequately","27","","",""
"No","2015","general elemantary","183","0.250337658076737","0.216827496863737","0.283847819289736"
"No","2015","middle vocational","1128","0.271311749209547","0.257909250133805","0.284714248285288"
"No","2015","vocational + Abi","243","0.264207970467745","0.236659274962415","0.291756665973076"
"No","2015","higher vocational","104","0.179419965811402","0.150601530796779","0.208238400826025"
"No","2015","higher education","519","0.178881304134059","0.164557209201538","0.19320539906658"
"Yes","2016","in school","7","","",""
"Yes","2016","inadequately","44","0.616444342464394","0.49913374265508","0.733754942273708"
"Yes","2016","general elemantary","393","0.677273039050279","0.638825066704269","0.715721011396289"
"Yes","2016","middle vocational","2985","0.736907750660945","0.723294881287718","0.750520620034171"
"Yes","2016","vocational + Abi","770","0.773258868571304","0.747175834825241","0.799341902317367"
"Yes","2016","higher vocational","503","0.804776089846095","0.774019244590679","0.83553293510151"
"Yes","2016","higher education","2094","0.814386720308847","0.799527703270248","0.829245737347445"
"No","2016","in school","4","","",""
"No","2016","inadequately","22","","",""
"No","2016","general elemantary","175","0.322726960949721","0.284278988603711","0.361174933295731"
"No","2016","middle vocational","1034","0.263092249339055","0.249479379965829","0.276705118712282"
"No","2016","vocational + Abi","220","0.226741131428696","0.200658097682633","0.252824165174759"
"No","2016","higher vocational","135","0.195223910153905","0.16446706489849","0.225980755409321"
"No","2016","higher education","536","0.185613279691153","0.170754262652555","0.200472296729752"
"Yes","2017","in school","4","","",""
"Yes","2017","inadequately","68","0.62423763947414","0.531156212000733","0.717319066947548"
"Yes","2017","general elemantary","445","0.693777685549139","0.657785650986794","0.729769720111484"
"Yes","2017","middle vocational","3190","0.738371250685663","0.725310035505465","0.75143246586586"
"Yes","2017","vocational + Abi","794","0.745043674039223","0.718756742518209","0.771330605560236"
"Yes","2017","higher vocational","522","0.800056999735097","0.769566753742656","0.830547245727538"
"Yes","2017","higher education","2305","0.813992751395896","0.799709578756291","0.828275924035502"
"No","2017","in school","3","","",""
"No","2017","inadequately","36","0.37576236052586","0.282680933052452","0.468843787999267"
"No","2017","general elemantary","185","0.306222314450861","0.270230279888517","0.342214349013206"
"No","2017","middle vocational","1160","0.261628749314337","0.24856753413414","0.274689964494535"
"No","2017","vocational + Abi","262","0.254956325960777","0.228669394439764","0.281243257481791"
"No","2017","higher vocational","139","0.199943000264903","0.169452754272462","0.230433246257344"
"No","2017","higher education","546","0.186007248604104","0.171724075964498","0.200290421243709"
"Yes","2018","in school","2","","",""
"Yes","2018","inadequately","86","0.508259762082496","0.424238466342004","0.592281057822989"
"Yes","2018","general elemantary","461","0.735836874842864","0.702402998599413","0.769270751086314"
"Yes","2018","middle vocational","3197","0.734240896511508","0.721268018179475","0.747213774843542"
"Yes","2018","vocational + Abi","799","0.781360601355408","0.756629799572","0.806091403138816"
"Yes","2018","higher vocational","514","0.757561354085696","0.72489074795318","0.790231960218213"
"Yes","2018","higher education","2269","0.77359770455328","0.758589509035149","0.788605900071412"
"No","2018","in school","3","","",""
"No","2018","inadequately","50","0.491740237917504","0.407718942177011","0.575761533657996"
"No","2018","general elemantary","207","0.264163125157137","0.230729248913686","0.297597001400587"
"No","2018","middle vocational","1257","0.265759103488492","0.252786225156458","0.278731981820525"
"No","2018","vocational + Abi","274","0.218639398644592","0.193908596861184","0.243370200428"
"No","2018","higher vocational","147","0.242438645914304","0.209768039781787","0.27510925204682"
"No","2018","higher education","718","0.22640229544672","0.211394099928588","0.241410490964851"
"Yes","2019","in school","8","","",""
"Yes","2019","inadequately","102","0.767126195467015","0.700153758621537","0.834098632312493"
"Yes","2019","general elemantary","408","0.722813690580573","0.686354427858935","0.759272953302211"
"Yes","2019","middle vocational","2854","0.740714925812069","0.726920154756244","0.754509696867894"
"Yes","2019","vocational + Abi","773","0.78098961392203","0.755356399193468","0.806622828650592"
"Yes","2019","higher vocational","488","0.797071856096441","0.765208445578051","0.828935266614831"
"Yes","2019","higher education","2270","0.804009743768856","0.789514538888153","0.818504948649559"
"No","2019","in school","1","","",""
"No","2019","inadequately","51","0.232873804532985","0.165901367687507","0.299846241378463"
"No","2019","general elemantary","171","0.277186309419427","0.240727046697789","0.313645572141065"
"No","2019","middle vocational","1023","0.259285074187931","0.245490303132106","0.273079845243756"
"No","2019","vocational + Abi","227","0.219010386077969","0.193377171349408","0.244643600806531"
"No","2019","higher vocational","124","0.202928143903559","0.171064733385169","0.234791554421949"
"No","2019","higher education","611","0.195990256231144","0.181495051350441","0.210485461111847"
