"plb0196_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2005","66 and older","East Germany","","","","","2"
"Yes","2005","16-34 y.","West Germany","1043","0.712377877320818","0.68904704136073","0.735708713280906","1"
"Yes","2005","35-65 y.","West Germany","2608","0.704331570237783","0.68946588746943","0.719197253006136","1"
"Yes","2005","35-65 y.","East Germany","831","0.690187927192554","0.663892954837306","0.716482899547802","1"
"Yes","2005","16-34 y.","East Germany","322","0.604864567285815","0.562141132731329","0.647588001840301","1"
"Yes","2005","66 and older","West Germany","8","","","","1"
"Yes","2005","66 and older","East Germany","","","","","1"
"No","2006","16-34 y.","West Germany","396","0.288014864057296","0.26514421344146","0.310885514673133","2"
"No","2006","16-34 y.","East Germany","148","0.318365486022767","0.277410321700576","0.359320650344958","2"
"No","2006","35-65 y.","West Germany","1077","0.26358342061827","0.250136910397997","0.277029930838543","2"
"No","2006","35-65 y.","East Germany","382","0.303412220780834","0.278592616893579","0.328231824668089","2"
"No","2006","66 and older","West Germany","6","","","","2"
"No","2006","66 and older","East Germany","2","","","","2"
"Yes","2006","16-34 y.","West Germany","1110","0.711985135942704","0.689114485326867","0.73485578655854","1"
"Yes","2006","35-65 y.","West Germany","3047","0.73641657938173","0.722970069161457","0.749863089602003","1"
"Yes","2006","35-65 y.","East Germany","936","0.696587779219166","0.671768175331911","0.721407383106421","1"
"Yes","2006","16-34 y.","East Germany","349","0.681634513977233","0.640679349655042","0.722589678299424","1"
"Yes","2006","66 and older","West Germany","11","","","","1"
"Yes","2006","66 and older","East Germany","2","","","","1"
"No","2007","16-34 y.","West Germany","330","0.239981653250531","0.21734225431912","0.262621052181942","2"
"No","2007","16-34 y.","East Germany","157","0.331459555650973","0.289694093176582","0.373225018125364","2"
"No","2007","35-65 y.","West Germany","930","0.244821463386509","0.23113587447425","0.258507052298768","2"
"No","2007","35-65 y.","East Germany","376","0.30378506856526","0.27865962739684","0.32891050973368","2"
"No","2007","66 and older","West Germany","6","","","","2"
"No","2007","66 and older","East Germany","2","","","","2"
"Yes","2007","16-34 y.","West Germany","1037","0.760018346749469","0.737378947818058","0.78265774568088","1"
"Yes","2007","16-34 y.","East Germany","331","0.668540444349027","0.626774981874636","0.710305906823418","1"
"Yes","2007","35-65 y.","West Germany","2862","0.755178536613491","0.741492947701232","0.76886412552575","1"
"Yes","2007","35-65 y.","East Germany","911","0.69621493143474","0.67108949026632","0.721340372603161","1"
"Yes","2007","66 and older","West Germany","13","","","","1"
"Yes","2007","66 and older","East Germany","2","","","","1"
"No","2008","16-34 y.","West Germany","349","0.269025517459266","0.245335062177942","0.29271597274059","2"
"No","2008","16-34 y.","East Germany","146","0.2941110808416","0.253767547945594","0.334454613737605","2"
"No","2008","35-65 y.","West Germany","989","0.269130512002661","0.254918498170794","0.283342525834528","2"
"No","2008","35-65 y.","East Germany","375","0.334735958957448","0.308533787808738","0.360938130106158","2"
"No","2008","66 and older","West Germany","6","","","","2"
"No","2008","66 and older","East Germany","1","","","","2"
"Yes","2008","16-34 y.","West Germany","997","0.730974482540734","0.70728402725941","0.754664937822058","1"
"Yes","2008","16-34 y.","East Germany","344","0.7058889191584","0.665545386262395","0.746232452054406","1"
"Yes","2008","35-65 y.","West Germany","2752","0.730869487997339","0.716657474165473","0.745081501829206","1"
"Yes","2008","35-65 y.","East Germany","871","0.665264041042552","0.639061869893842","0.691466212191262","1"
"Yes","2008","66 and older","West Germany","10","","","","1"
"Yes","2008","66 and older","East Germany","1","","","","1"
"No","2009","16-34 y.","West Germany","352","0.294626159472638","0.268875985083046","0.320376333862229","2"
"No","2009","16-34 y.","East Germany","123","0.312652243049601","0.268051399069566","0.357253087029636","2"
"No","2009","35-65 y.","West Germany","920","0.283382149154536","0.267910522864097","0.298853775444975","2"
"No","2009","35-65 y.","East Germany","360","0.329827859710189","0.302690331333717","0.35696538808666","2"
"No","2009","66 and older","West Germany","4","","","","2"
"No","2009","66 and older","East Germany","1","","","","2"
"Yes","2009","16-34 y.","West Germany","852","0.705373840527362","0.679623666137771","0.731124014916954","1"
"Yes","2009","16-34 y.","East Germany","292","0.687347756950399","0.642746912970364","0.731948600930434","1"
"Yes","2009","35-65 y.","West Germany","2339","0.716617850845464","0.701146224555025","0.732089477135903","1"
"Yes","2009","35-65 y.","East Germany","793","0.670172140289811","0.64303461191334","0.697309668666283","1"
"Yes","2009","66 and older","West Germany","13","","","","1"
"Yes","2009","66 and older","East Germany","3","","","","1"
"No","2010","16-34 y.","West Germany","544","0.341095618611955","0.318978680417295","0.363212556806615","2"
"No","2010","16-34 y.","East Germany","171","0.257084832143741","0.221363963735432","0.29280570055205","2"
"No","2010","35-65 y.","West Germany","1413","0.302702332975572","0.289504420664398","0.315900245286745","2"
"No","2010","35-65 y.","East Germany","449","0.38304491290483","0.357103493183598","0.408986332626062","2"
"No","2010","66 and older","West Germany","8","","","","2"
"No","2010","66 and older","East Germany","2","","","","2"
"Yes","2010","16-34 y.","West Germany","1221","0.658904381388045","0.636787443193385","0.681021319582705","1"
"Yes","2010","16-34 y.","East Germany","404","0.742915167856259","0.70719429944795","0.778636036264568","1"
"Yes","2010","35-65 y.","West Germany","3242","0.697297667024428","0.684099754713255","0.710495579335602","1"
"Yes","2010","35-65 y.","East Germany","900","0.61695508709517","0.591013667373938","0.642896506816402","1"
"Yes","2010","66 and older","West Germany","16","","","","1"
"Yes","2010","66 and older","East Germany","2","","","","1"
"No","2011","16-34 y.","West Germany","472","0.24095803739427","0.221942207126651","0.25997386766189","2"
"No","2011","16-34 y.","East Germany","178","0.257978743321267","0.223258456171827","0.292699030470707","2"
"No","2011","35-65 y.","West Germany","1472","0.254053803511267","0.242942906305089","0.265164700717446","2"
"No","2011","35-65 y.","East Germany","496","0.312133860263275","0.289870339873422","0.334397380653128","2"
"No","2011","66 and older","West Germany","10","","","","2"
"No","2011","66 and older","East Germany","2","","","","2"
"Yes","2011","16-34 y.","West Germany","1471","0.75904196260573","0.74002613233811","0.778057792873349","1"
"Yes","2011","16-34 y.","East Germany","432","0.742021256678733","0.707300969529293","0.776741543828173","1"
"Yes","2011","35-65 y.","West Germany","4425","0.745946196488733","0.734835299282554","0.757057093694911","1"
"Yes","2011","35-65 y.","East Germany","1168","0.687866139736725","0.665602619346872","0.710129660126578","1"
"Yes","2011","66 and older","West Germany","14","","","","1"
"Yes","2011","66 and older","East Germany","","","","","1"
"No","2012","16-34 y.","West Germany","477","0.250078045348549","0.230600625502107","0.269555465194991","2"
"No","2012","16-34 y.","East Germany","174","0.319957862632676","0.281529296445781","0.358386428819571","2"
"No","2012","35-65 y.","West Germany","1736","0.282434455339806","0.271183221261588","0.293685689418024","2"
"No","2012","35-65 y.","East Germany","516","0.328788998914419","0.306418299628604","0.351159698200234","2"
"No","2012","66 and older","West Germany","24","","","","2"
"No","2012","66 and older","East Germany","","","","","2"
"Yes","2012","16-34 y.","West Germany","1422","0.749921954651451","0.730444534805009","0.769399374497893","1"
"Yes","2012","16-34 y.","East Germany","392","0.680042137367324","0.641613571180429","0.718470703554219","1"
"Yes","2012","35-65 y.","West Germany","4414","0.717565544660194","0.706314310581976","0.728816778738412","1"
"Yes","2012","35-65 y.","East Germany","1178","0.671211001085581","0.648840301799766","0.693581700371397","1"
"Yes","2012","66 and older","West Germany","20","","","","1"
"Yes","2012","66 and older","East Germany","1","","","","1"
"No","2013","16-34 y.","West Germany","607","0.267530486700204","0.249560060771811","0.285500912628597","2"
"No","2013","16-34 y.","East Germany","161","0.323651694252002","0.283819493522184","0.363483894981821","2"
"No","2013","35-65 y.","West Germany","1772","0.267800313103754","0.257024589290492","0.278576036917016","2"
"No","2013","35-65 y.","East Germany","470","0.286168838452039","0.264220761683158","0.30811691522092","2"
"No","2013","66 and older","West Germany","14","","","","2"
"No","2013","66 and older","East Germany","1","","","","2"
"Yes","2013","16-34 y.","West Germany","1724","0.732469513299796","0.714499087371403","0.750439939228189","1"
"Yes","2013","16-34 y.","East Germany","369","0.676348305747998","0.636516105018179","0.716180506477816","1"
"Yes","2013","35-65 y.","West Germany","4715","0.732199686896246","0.721423963082984","0.742975410709508","1"
"Yes","2013","35-65 y.","East Germany","1159","0.713831161547961","0.69188308477908","0.735779238316842","1"
"Yes","2013","66 and older","West Germany","12","","","","1"
"Yes","2013","66 and older","East Germany","4","","","","1"
"No","2014","16-34 y.","West Germany","534","0.251072098974419","0.232185454329272","0.269958743619566","2"
"No","2014","16-34 y.","East Germany","128","0.289433894478929","0.247946258757535","0.330921530200323","2"
"No","2014","35-65 y.","West Germany","1666","0.266205052412625","0.254952196111522","0.277457908713728","2"
"No","2014","35-65 y.","East Germany","441","0.309824925449259","0.286646594443116","0.333003256455402","2"
"No","2014","66 and older","West Germany","18","","","","2"
"No","2014","66 and older","East Germany","6","","","","2"
"Yes","2014","16-34 y.","West Germany","1491","0.748927901025581","0.730041256380434","0.767814545670728","1"
"Yes","2014","16-34 y.","East Germany","331","0.710566105521071","0.669078469799677","0.752053741242465","1"
"Yes","2014","35-65 y.","West Germany","4260","0.733794947587375","0.722542091286272","0.745047803888478","1"
"Yes","2014","35-65 y.","East Germany","1088","0.690175074550741","0.666996743544598","0.713353405556884","1"
"Yes","2014","66 and older","West Germany","16","","","","1"
"Yes","2014","66 and older","East Germany","4","","","","1"
"No","2015","16-34 y.","West Germany","481","0.223155853269364","0.204746526614705","0.241565179924024","2"
"No","2015","16-34 y.","East Germany","132","0.324243292086533","0.282014586005811","0.366471998167256","2"
"No","2015","35-65 y.","West Germany","1267","0.228379566665931","0.217434562794707","0.239324570537155","2"
"No","2015","35-65 y.","East Germany","346","0.250875156267285","0.228093229363409","0.27365708317116","2"
"No","2015","66 and older","West Germany","18","","","","2"
"No","2015","66 and older","East Germany","4","","","","2"
"Yes","2015","16-34 y.","West Germany","1484","0.776844146730636","0.758434820075976","0.795253473385295","1"
"Yes","2015","16-34 y.","East Germany","340","0.675756707913467","0.633528001832744","0.717985413994189","1"
"Yes","2015","35-65 y.","West Germany","4384","0.771620433334069","0.760675429462845","0.782565437205293","1"
"Yes","2015","35-65 y.","East Germany","1045","0.749124843732715","0.72634291682884","0.771906770636591","1"
"Yes","2015","66 and older","West Germany","21","","","","1"
"Yes","2015","66 and older","East Germany","5","","","","1"
"No","2016","16-34 y.","West Germany","409","0.232210022282777","0.212376017897134","0.252044026668421","2"
"No","2016","16-34 y.","East Germany","91","0.253649724744616","0.210687325518554","0.296612123970678","2"
"No","2016","35-65 y.","West Germany","1261","0.227443460539918","0.216309465775537","0.238577455304298","2"
"No","2016","35-65 y.","East Germany","383","0.280100044604787","0.256785157268632","0.303414931940941","2"
"No","2016","66 and older","West Germany","11","","","","2"
"No","2016","66 and older","East Germany","1","","","","2"
"Yes","2016","16-34 y.","West Germany","1332","0.767789977717223","0.747955973331579","0.787623982102866","1"
"Yes","2016","16-34 y.","East Germany","303","0.746350275255384","0.703387876029322","0.789312674481446","1"
"Yes","2016","35-65 y.","West Germany","4184","0.772556539460082","0.761422544695702","0.783690534224463","1"
"Yes","2016","35-65 y.","East Germany","1042","0.719899955395213","0.696585068059058","0.743214842731368","1"
"Yes","2016","66 and older","West Germany","27","","","","1"
"Yes","2016","66 and older","East Germany","8","","","","1"
"No","2017","16-34 y.","West Germany","440","0.222018659808098","0.203572323851875","0.240464995764321","2"
"No","2017","16-34 y.","East Germany","100","0.177736143433901","0.141934372261948","0.213537914605854","2"
"No","2017","35-65 y.","West Germany","1365","0.241606246663092","0.230595645583165","0.252616847743019","2"
"No","2017","35-65 y.","East Germany","436","0.267388639646402","0.245312011461208","0.289465267831595","2"
"No","2017","66 and older","West Germany","22","","","","2"
"No","2017","66 and older","East Germany","2","","","","2"
"Yes","2017","16-34 y.","West Germany","1510","0.777981340191902","0.759535004235679","0.796427676148125","1"
"Yes","2017","16-34 y.","East Germany","338","0.822263856566099","0.786462085394146","0.858065627738052","1"
"Yes","2017","35-65 y.","West Germany","4441","0.758393753336908","0.747383152256981","0.769404354416835","1"
"Yes","2017","35-65 y.","East Germany","1108","0.732611360353598","0.710534732168405","0.754687988538792","1"
"Yes","2017","66 and older","West Germany","29","","","","1"
"Yes","2017","66 and older","East Germany","5","","","","1"
"No","2018","16-34 y.","West Germany","494","0.21461347730875","0.197149493830593","0.232077460786908","2"
"No","2018","16-34 y.","East Germany","132","0.288496980573256","0.24700402588039","0.329989935266121","2"
"No","2018","35-65 y.","West Germany","1573","0.250182469265058","0.239218703976549","0.261146234553567","2"
"No","2018","35-65 y.","East Germany","491","0.280571429247217","0.258529621490457","0.302613237003977","2"
"No","2018","66 and older","West Germany","31","0.502918859789041","0.379454837850531","0.626382881727552","2"
"No","2018","66 and older","East Germany","5","","","","2"
"Yes","2018","16-34 y.","West Germany","1629","0.78538652269125","0.767922539213092","0.802850506169407","1"
"Yes","2018","16-34 y.","East Germany","326","0.711503019426744","0.670010064733879","0.75299597411961","1"
"Yes","2018","35-65 y.","East Germany","1105","0.719428570752783","0.697386762996023","0.741470378509543","1"
"Yes","2018","35-65 y.","West Germany","4422","0.749817530734942","0.738853765446433","0.760781296023451","1"
"Yes","2018","66 and older","West Germany","32","0.497081140210959","0.373617118272448","0.620545162149469","1"
"Yes","2018","66 and older","East Germany","3","","","","1"
"No","2019","16-34 y.","West Germany","439","0.205364436126068","0.187094084128337","0.223634788123799","2"
"No","2019","16-34 y.","East Germany","101","0.270922814094103","0.227204603180329","0.314641025007877","2"
"No","2019","35-65 y.","West Germany","1298","0.232941125226809","0.221679355807374","0.244202894646243","2"
"No","2019","35-65 y.","East Germany","371","0.266913429652637","0.244407654006184","0.28941920529909","2"
"No","2019","66 and older","West Germany","22","","","","2"
"No","2019","66 and older","East Germany","4","","","","2"
"Yes","2019","16-34 y.","West Germany","1439","0.794635563873932","0.776365211876201","0.812905915871663","1"
"Yes","2019","16-34 y.","East Germany","296","0.729077185905897","0.685358974992123","0.772795396819671","1"
"Yes","2019","35-65 y.","East Germany","1113","0.733086570347363","0.71058079470091","0.755592345993816","1"
"Yes","2019","35-65 y.","West Germany","4114","0.767058874773191","0.755797105353757","0.778320644192626","1"
"Yes","2019","66 and older","West Germany","43","0.756169997193029","0.651783408470656","0.860556585915402","1"
