"plb0196_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"No","1989","66 and older","Not Working","1","","",""
"Yes","1990","16-34 y.","Full Time","","","",""
"Yes","1990","16-34 y.","Part Time","","","",""
"Yes","1990","16-34 y.","Not Working","","","",""
"Yes","1990","35-65 y.","Full Time","","","",""
"Yes","1990","35-65 y.","Part Time","","","",""
"Yes","1990","35-65 y.","Not Working","","","",""
"Yes","1990","66 and older","Full Time","","","",""
"Yes","1990","66 and older","Part Time","","","",""
"Yes","1990","66 and older","Not Working","","","",""
"No","1990","16-34 y.","Full Time","1050","1","1","1"
"No","1990","16-34 y.","Part Time","465","1","1","1"
"No","1990","16-34 y.","Not Working","53","1","1","1"
"No","1990","35-65 y.","Full Time","1505","1","1","1"
"No","1990","35-65 y.","Part Time","583","1","1","1"
"No","1990","35-65 y.","Not Working","31","1","1","1"
"No","1990","66 and older","Full Time","12","","",""
"No","1990","66 and older","Part Time","14","","",""
"No","1990","66 and older","Not Working","1","","",""
"Yes","1991","16-34 y.","Full Time","","","",""
"Yes","1991","16-34 y.","Part Time","","","",""
"Yes","1991","16-34 y.","Not Working","","","",""
"Yes","1991","35-65 y.","Full Time","","","",""
"Yes","1991","35-65 y.","Part Time","","","",""
"Yes","1991","35-65 y.","Not Working","","","",""
"Yes","1991","66 and older","Full Time","","","",""
"Yes","1991","66 and older","Part Time","","","",""
"Yes","1991","66 and older","Not Working","","","",""
"No","1991","16-34 y.","Full Time","1024","1","1","1"
"No","1991","16-34 y.","Part Time","435","1","1","1"
"No","1991","16-34 y.","Not Working","73","1","1","1"
"No","1991","35-65 y.","Full Time","1455","1","1","1"
"No","1991","35-65 y.","Part Time","620","1","1","1"
"No","1991","35-65 y.","Not Working","35","1","1","1"
"No","1991","66 and older","Full Time","9","","",""
"No","1991","66 and older","Part Time","18","","",""
"No","1991","66 and older","Not Working","3","","",""
"Yes","1992","16-34 y.","Full Time","","","",""
"Yes","1992","16-34 y.","Part Time","","","",""
"Yes","1992","16-34 y.","Not Working","","","",""
"Yes","1992","35-65 y.","Full Time","","","",""
"Yes","1992","35-65 y.","Part Time","","","",""
"Yes","1992","35-65 y.","Not Working","","","",""
"Yes","1992","66 and older","Full Time","","","",""
"Yes","1992","66 and older","Part Time","","","",""
"Yes","1992","66 and older","Not Working","","","",""
"No","1992","16-34 y.","Full Time","1372","1","1","1"
"No","1992","16-34 y.","Part Time","582","1","1","1"
"No","1992","16-34 y.","Not Working","72","1","1","1"
"No","1992","35-65 y.","Full Time","2216","1","1","1"
"No","1992","35-65 y.","Part Time","743","1","1","1"
"No","1992","35-65 y.","Not Working","29","","",""
"No","1992","66 and older","Full Time","7","","",""
"No","1992","66 and older","Part Time","17","","",""
"No","1992","66 and older","Not Working","","","",""
"Yes","1993","16-34 y.","Full Time","","","",""
"Yes","1993","16-34 y.","Part Time","","","",""
"Yes","1993","16-34 y.","Not Working","","","",""
"Yes","1993","35-65 y.","Full Time","","","",""
"Yes","1993","35-65 y.","Part Time","","","",""
"Yes","1993","35-65 y.","Not Working","","","",""
"Yes","1993","66 and older","Full Time","","","",""
"Yes","1993","66 and older","Part Time","","","",""
"Yes","1993","66 and older","Not Working","","","",""
"No","1993","16-34 y.","Full Time","1417","1","1","1"
"No","1993","16-34 y.","Part Time","545","1","1","1"
"No","1993","16-34 y.","Not Working","106","1","1","1"
"No","1993","35-65 y.","Full Time","2090","1","1","1"
"No","1993","35-65 y.","Part Time","737","1","1","1"
"No","1993","35-65 y.","Not Working","42","1","1","1"
"No","1993","66 and older","Full Time","9","","",""
"No","1993","66 and older","Part Time","17","","",""
"No","1993","66 and older","Not Working","","","",""
"Yes","1994","16-34 y.","Full Time","","","",""
"Yes","1994","16-34 y.","Part Time","","","",""
"Yes","1994","16-34 y.","Not Working","","","",""
"Yes","1994","35-65 y.","Full Time","","","",""
"Yes","1994","35-65 y.","Part Time","","","",""
"Yes","1994","35-65 y.","Not Working","","","",""
"Yes","1994","66 and older","Full Time","","","",""
"Yes","1994","66 and older","Part Time","","","",""
"Yes","1994","66 and older","Not Working","","","",""
"No","1994","16-34 y.","Full Time","1266","1","1","1"
"No","1994","16-34 y.","Part Time","520","1","1","1"
"No","1994","16-34 y.","Not Working","83","1","1","1"
"No","1994","35-65 y.","Full Time","1943","1","1","1"
"No","1994","35-65 y.","Part Time","720","1","1","1"
"No","1994","35-65 y.","Not Working","47","1","1","1"
"No","1994","66 and older","Full Time","10","","",""
"No","1994","66 and older","Part Time","14","","",""
"No","1994","66 and older","Not Working","1","","",""
"Yes","1995","16-34 y.","Full Time","","","",""
"Yes","1995","16-34 y.","Part Time","","","",""
"Yes","1995","16-34 y.","Not Working","","","",""
"Yes","1995","35-65 y.","Full Time","","","",""
"Yes","1995","35-65 y.","Part Time","","","",""
"Yes","1995","35-65 y.","Not Working","","","",""
"Yes","1995","66 and older","Full Time","","","",""
"Yes","1995","66 and older","Part Time","","","",""
"Yes","1995","66 and older","Not Working","","","",""
"No","1995","16-34 y.","Full Time","1162","1","1","1"
"No","1995","16-34 y.","Part Time","570","1","1","1"
"No","1995","16-34 y.","Not Working","96","1","1","1"
"No","1995","35-65 y.","Full Time","1848","1","1","1"
"No","1995","35-65 y.","Part Time","841","1","1","1"
"No","1995","35-65 y.","Not Working","52","1","1","1"
"No","1995","66 and older","Full Time","8","","",""
"No","1995","66 and older","Part Time","19","","",""
"No","1995","66 and older","Not Working","4","","",""
"Yes","1996","16-34 y.","Full Time","","","",""
"Yes","1996","16-34 y.","Part Time","","","",""
"Yes","1996","16-34 y.","Not Working","","","",""
"Yes","1996","35-65 y.","Full Time","","","",""
"Yes","1996","35-65 y.","Part Time","","","",""
"Yes","1996","35-65 y.","Not Working","","","",""
"Yes","1996","66 and older","Full Time","","","",""
"Yes","1996","66 and older","Part Time","","","",""
"Yes","1996","66 and older","Not Working","","","",""
"No","1996","16-34 y.","Full Time","1118","1","1","1"
"No","1996","16-34 y.","Part Time","552","1","1","1"
"No","1996","16-34 y.","Not Working","79","1","1","1"
"No","1996","35-65 y.","Full Time","1710","1","1","1"
"No","1996","35-65 y.","Part Time","930","1","1","1"
"No","1996","35-65 y.","Not Working","40","1","1","1"
"No","1996","66 and older","Full Time","10","","",""
"No","1996","66 and older","Part Time","24","","",""
"No","1996","66 and older","Not Working","2","","",""
"Yes","1997","16-34 y.","Full Time","","","",""
"Yes","1997","16-34 y.","Part Time","","","",""
"Yes","1997","16-34 y.","Not Working","","","",""
"Yes","1997","35-65 y.","Full Time","","","",""
"Yes","1997","35-65 y.","Part Time","","","",""
"Yes","1997","35-65 y.","Not Working","","","",""
"Yes","1997","66 and older","Full Time","","","",""
"Yes","1997","66 and older","Part Time","","","",""
"Yes","1997","66 and older","Not Working","","","",""
"No","1997","16-34 y.","Full Time","465","1","1","1"
"No","1997","16-34 y.","Part Time","152","1","1","1"
"No","1997","16-34 y.","Not Working","14","","",""
"No","1997","35-65 y.","Full Time","586","1","1","1"
"No","1997","35-65 y.","Part Time","203","1","1","1"
"No","1997","35-65 y.","Not Working","6","","",""
"No","1997","66 and older","Full Time","","","",""
"No","1997","66 and older","Part Time","","","",""
"No","1997","66 and older","Not Working","","","",""
"Yes","1998","16-34 y.","Full Time","","","",""
"Yes","1998","16-34 y.","Part Time","","","",""
"Yes","1998","16-34 y.","Not Working","","","",""
"Yes","1998","35-65 y.","Full Time","","","",""
"Yes","1998","35-65 y.","Part Time","","","",""
"Yes","1998","35-65 y.","Not Working","","","",""
"Yes","1998","66 and older","Full Time","","","",""
"Yes","1998","66 and older","Part Time","","","",""
"Yes","1998","66 and older","Not Working","","","",""
"No","1998","16-34 y.","Full Time","434","1","1","1"
"No","1998","16-34 y.","Part Time","163","1","1","1"
"No","1998","16-34 y.","Not Working","12","","",""
"No","1998","35-65 y.","Full Time","616","1","1","1"
"No","1998","35-65 y.","Part Time","267","1","1","1"
"No","1998","35-65 y.","Not Working","11","","",""
"No","1998","66 and older","Full Time","","","",""
"No","1998","66 and older","Part Time","2","","",""
"No","1998","66 and older","Not Working","","","",""
"Yes","1999","16-34 y.","Full Time","","","",""
"Yes","1999","16-34 y.","Part Time","","","",""
"Yes","1999","16-34 y.","Not Working","","","",""
"Yes","1999","35-65 y.","Full Time","","","",""
"Yes","1999","35-65 y.","Part Time","","","",""
"Yes","1999","35-65 y.","Not Working","","","",""
"Yes","1999","66 and older","Full Time","","","",""
"Yes","1999","66 and older","Part Time","","","",""
"Yes","1999","66 and older","Not Working","","","",""
"No","1999","16-34 y.","Full Time","399","1","1","1"
"No","1999","16-34 y.","Part Time","158","1","1","1"
"No","1999","16-34 y.","Not Working","8","","",""
"No","1999","35-65 y.","Full Time","603","1","1","1"
"No","1999","35-65 y.","Part Time","233","1","1","1"
"No","1999","35-65 y.","Not Working","9","","",""
"No","1999","66 and older","Full Time","1","","",""
"No","1999","66 and older","Part Time","2","","",""
"No","1999","66 and older","Not Working","","","",""
"Yes","2000","16-34 y.","Full Time","","","",""
"Yes","2000","16-34 y.","Part Time","","","",""
"Yes","2000","16-34 y.","Not Working","","","",""
"Yes","2000","35-65 y.","Full Time","","","",""
"Yes","2000","35-65 y.","Part Time","","","",""
"Yes","2000","35-65 y.","Not Working","","","",""
"Yes","2000","66 and older","Full Time","","","",""
"Yes","2000","66 and older","Part Time","","","",""
"Yes","2000","66 and older","Not Working","","","",""
"No","2000","16-34 y.","Full Time","620","1","1","1"
"No","2000","16-34 y.","Part Time","203","1","1","1"
"No","2000","16-34 y.","Not Working","23","","",""
"No","2000","35-65 y.","Full Time","1221","1","1","1"
"No","2000","35-65 y.","Part Time","438","1","1","1"
"No","2000","35-65 y.","Not Working","15","","",""
"No","2000","66 and older","Full Time","1","","",""
"No","2000","66 and older","Part Time","1","","",""
"No","2000","66 and older","Not Working","","","",""
"Yes","2001","16-34 y.","Full Time","","","",""
"Yes","2001","16-34 y.","Part Time","","","",""
"Yes","2001","16-34 y.","Not Working","","","",""
"Yes","2001","35-65 y.","Full Time","","","",""
"Yes","2001","35-65 y.","Part Time","","","",""
"Yes","2001","35-65 y.","Not Working","","","",""
"Yes","2001","66 and older","Full Time","","","",""
"Yes","2001","66 and older","Part Time","","","",""
"Yes","2001","66 and older","Not Working","","","",""
"No","2001","16-34 y.","Full Time","547","1","1","1"
"No","2001","16-34 y.","Part Time","227","1","1","1"
"No","2001","16-34 y.","Not Working","22","","",""
"No","2001","35-65 y.","Full Time","1107","1","1","1"
"No","2001","35-65 y.","Part Time","442","1","1","1"
"No","2001","35-65 y.","Not Working","9","","",""
"No","2001","66 and older","Full Time","4","","",""
"No","2001","66 and older","Part Time","1","","",""
"No","2001","66 and older","Not Working","","","",""
"Yes","2002","16-34 y.","Full Time","1314","0.735481314503661","0.715155741052386","0.755806887954937"
"Yes","2002","16-34 y.","Part Time","334","0.629871352622435","0.589109305497286","0.670633399747585"
"Yes","2002","16-34 y.","Not Working","16","","",""
"Yes","2002","35-65 y.","Full Time","3202","0.712911110596297","0.699480970571538","0.726341250621057"
"Yes","2002","35-65 y.","Part Time","732","0.582923775116","0.554790474378037","0.611057075853964"
"Yes","2002","35-65 y.","Not Working","8","","",""
"Yes","2002","66 and older","Full Time","","","",""
"Yes","2002","66 and older","Part Time","6","","",""
"Yes","2002","66 and older","Not Working","","","",""
"No","2002","16-34 y.","Full Time","495","0.264518685496339","0.244193112045063","0.284844258947614"
"No","2002","16-34 y.","Part Time","205","0.370128647377565","0.329366600252415","0.410890694502714"
"No","2002","16-34 y.","Not Working","21","","",""
"No","2002","35-65 y.","Full Time","1157","0.287088889403703","0.273658749378943","0.300519029428462"
"No","2002","35-65 y.","Part Time","448","0.417076224884","0.388942924146036","0.445209525621963"
"No","2002","35-65 y.","Not Working","12","","",""
"No","2002","66 and older","Full Time","2","","",""
"No","2002","66 and older","Part Time","1","","",""
"No","2002","66 and older","Not Working","","","",""
"Yes","2003","16-34 y.","Full Time","1225","0.724948466984095","0.703894360031","0.746002573937191"
"Yes","2003","16-34 y.","Part Time","323","0.624808203542951","0.583153462336179","0.666462944749724"
"Yes","2003","16-34 y.","Not Working","21","","",""
"Yes","2003","35-65 y.","Full Time","3007","0.723965059442226","0.710259820717448","0.737670298167003"
"Yes","2003","35-65 y.","Part Time","727","0.606851715681396","0.578899349990348","0.634804081372443"
"Yes","2003","35-65 y.","Not Working","10","","",""
"Yes","2003","66 and older","Full Time","1","","",""
"Yes","2003","66 and older","Part Time","3","","",""
"Yes","2003","66 and older","Not Working","","","",""
"No","2003","16-34 y.","Full Time","503","0.275051533015905","0.253997426062809","0.296105639969"
"No","2003","16-34 y.","Part Time","196","0.375191796457049","0.333537055250276","0.416846537663821"
"No","2003","16-34 y.","Not Working","20","","",""
"No","2003","35-65 y.","Full Time","1080","0.276034940557774","0.262329701832997","0.289740179282552"
"No","2003","35-65 y.","Part Time","446","0.393148284318604","0.365195918627557","0.421100650009652"
"No","2003","35-65 y.","Not Working","14","","",""
"No","2003","66 and older","Full Time","2","","",""
"No","2003","66 and older","Part Time","2","","",""
"No","2003","66 and older","Not Working","","","",""
"Yes","2004","16-34 y.","Full Time","1137","0.717109681148186","0.694787760905171","0.7394316013912"
"Yes","2004","16-34 y.","Part Time","288","0.595869861802808","0.552508604218684","0.639231119386932"
"Yes","2004","16-34 y.","Not Working","18","","",""
"Yes","2004","35-65 y.","Full Time","3010","0.734793175393844","0.72116397199839","0.748422378789298"
"Yes","2004","35-65 y.","Part Time","718","0.600233115761597","0.572007410942685","0.628458820580508"
"Yes","2004","35-65 y.","Not Working","4","","",""
"Yes","2004","66 and older","Full Time","1","","",""
"Yes","2004","66 and older","Part Time","6","","",""
"Yes","2004","66 and older","Not Working","","","",""
"No","2004","16-34 y.","Full Time","427","0.282890318851814","0.2605683986088","0.305212239094829"
"No","2004","16-34 y.","Part Time","204","0.404130138197192","0.360768880613068","0.447491395781316"
"No","2004","16-34 y.","Not Working","12","","",""
"No","2004","35-65 y.","Full Time","1020","0.265206824606156","0.251577621210703","0.27883602800161"
"No","2004","35-65 y.","Part Time","439","0.399766884238403","0.371541179419492","0.427992589057315"
"No","2004","35-65 y.","Not Working","10","","",""
"No","2004","66 and older","Full Time","","","",""
"No","2004","66 and older","Part Time","4","","",""
"No","2004","66 and older","Not Working","","","",""
"Yes","2005","16-34 y.","Full Time","1045","0.717682885589759","0.694393553234864","0.740972217944655"
"Yes","2005","16-34 y.","Part Time","303","0.620386971034676","0.577286154334231","0.663487787735122"
"Yes","2005","16-34 y.","Not Working","17","","",""
"Yes","2005","35-65 y.","Full Time","2771","0.727168608040396","0.712859102173881","0.74147811390691"
"Yes","2005","35-65 y.","Part Time","661","0.609809670031804","0.580609451421172","0.639009888642435"
"Yes","2005","35-65 y.","Not Working","7","","",""
"Yes","2005","66 and older","Full Time","2","","",""
"Yes","2005","66 and older","Part Time","6","","",""
"Yes","2005","66 and older","Not Working","","","",""
"No","2005","16-34 y.","Full Time","390","0.28231711441024","0.259027782055345","0.305606446765136"
"No","2005","16-34 y.","Part Time","184","0.379613028965324","0.336512212264878","0.422713845665769"
"No","2005","16-34 y.","Not Working","10","","",""
"No","2005","35-65 y.","Full Time","951","0.272831391959604","0.25852188609309","0.287140897826119"
"No","2005","35-65 y.","Part Time","411","0.390190329968196","0.360990111357564","0.419390548578828"
"No","2005","35-65 y.","Not Working","7","","",""
"No","2005","66 and older","Full Time","","","",""
"No","2005","66 and older","Part Time","2","","",""
"No","2005","66 and older","Not Working","","","",""
"Yes","2006","16-34 y.","Full Time","1136","0.741120759019311","0.718880079137009","0.763361438901612"
"Yes","2006","16-34 y.","Part Time","303","0.599985649711836","0.556159260653612","0.643812038770059"
"Yes","2006","16-34 y.","Not Working","20","","",""
"Yes","2006","35-65 y.","Full Time","3183","0.772739195339385","0.759936861476176","0.785541529202594"
"Yes","2006","35-65 y.","Part Time","780","0.583782916643383","0.556935725886734","0.610630107400033"
"Yes","2006","35-65 y.","Not Working","20","","",""
"Yes","2006","66 and older","Full Time","3","","",""
"Yes","2006","66 and older","Part Time","10","","",""
"Yes","2006","66 and older","Not Working","","","",""
"No","2006","16-34 y.","Full Time","354","0.25887924098069","0.236638561098388","0.281119920862991"
"No","2006","16-34 y.","Part Time","177","0.400014350288164","0.356187961229941","0.443840739346388"
"No","2006","16-34 y.","Not Working","13","","",""
"No","2006","35-65 y.","Full Time","933","0.227260804660615","0.214458470797406","0.240063138523824"
"No","2006","35-65 y.","Part Time","515","0.416217083356617","0.389369892599968","0.443064274113266"
"No","2006","35-65 y.","Not Working","11","","",""
"No","2006","66 and older","Full Time","1","","",""
"No","2006","66 and older","Part Time","7","","",""
"No","2006","66 and older","Not Working","","","",""
"Yes","2007","16-34 y.","Full Time","1056","0.779057928714071","0.757024421923801","0.801091435504341"
"Yes","2007","16-34 y.","Part Time","284","0.626500186835982","0.581756608103289","0.671243765568675"
"Yes","2007","16-34 y.","Not Working","28","","",""
"Yes","2007","35-65 y.","Full Time","2974","0.772431581658878","0.759218903240906","0.78564426007685"
"Yes","2007","35-65 y.","Part Time","783","0.654089708217168","0.626972826142533","0.681206590291804"
"Yes","2007","35-65 y.","Not Working","16","","",""
"Yes","2007","66 and older","Full Time","6","","",""
"Yes","2007","66 and older","Part Time","9","","",""
"Yes","2007","66 and older","Not Working","","","",""
"No","2007","16-34 y.","Full Time","306","0.220942071285929","0.198908564495659","0.242975578076199"
"No","2007","16-34 y.","Part Time","165","0.373499813164018","0.328756234431325","0.41824339189671"
"No","2007","16-34 y.","Not Working","16","","",""
"No","2007","35-65 y.","Full Time","894","0.227568418341122","0.21435573992315","0.240781096759094"
"No","2007","35-65 y.","Part Time","399","0.345910291782832","0.318793409708196","0.373027173857468"
"No","2007","35-65 y.","Not Working","13","","",""
"No","2007","66 and older","Full Time","3","","",""
"No","2007","66 and older","Part Time","5","","",""
"No","2007","66 and older","Not Working","","","",""
"Yes","2008","16-34 y.","Full Time","1001","0.756076421897841","0.732987942091042","0.779164901704641"
"Yes","2008","16-34 y.","Part Time","319","0.654407588690801","0.611595621655141","0.69721955572646"
"Yes","2008","16-34 y.","Not Working","21","","",""
"Yes","2008","35-65 y.","Full Time","2869","0.74670952611154","0.732840055878778","0.760578996344302"
"Yes","2008","35-65 y.","Part Time","736","0.629117393933886","0.601533249056113","0.656701538811658"
"Yes","2008","35-65 y.","Not Working","18","","",""
"Yes","2008","66 and older","Full Time","3","","",""
"Yes","2008","66 and older","Part Time","8","","",""
"Yes","2008","66 and older","Not Working","","","",""
"No","2008","16-34 y.","Full Time","328","0.243923578102159","0.220835098295359","0.267012057908958"
"No","2008","16-34 y.","Part Time","155","0.345592411309199","0.30278044427354","0.388404378344859"
"No","2008","16-34 y.","Not Working","12","","",""
"No","2008","35-65 y.","Full Time","908","0.25329047388846","0.239421003655698","0.267159944121222"
"No","2008","35-65 y.","Part Time","442","0.370882606066114","0.343298461188342","0.398466750943887"
"No","2008","35-65 y.","Not Working","14","","",""
"No","2008","66 and older","Full Time","","","",""
"No","2008","66 and older","Part Time","7","","",""
"No","2008","66 and older","Not Working","","","",""
"Yes","2009","16-34 y.","Full Time","866","0.725158894610773","0.69971912633416","0.750598662887385"
"Yes","2009","16-34 y.","Part Time","269","0.63297902797935","0.586828021086324","0.679130034872375"
"Yes","2009","16-34 y.","Not Working","9","","",""
"Yes","2009","35-65 y.","Full Time","2486","0.730567600842011","0.715579515804633","0.745555685879389"
"Yes","2009","35-65 y.","Part Time","642","0.63649483971516","0.607162232686693","0.665827446743626"
"Yes","2009","35-65 y.","Not Working","4","","",""
"Yes","2009","66 and older","Full Time","6","","",""
"Yes","2009","66 and older","Part Time","9","","",""
"Yes","2009","66 and older","Not Working","1","","",""
"No","2009","16-34 y.","Full Time","317","0.274841105389227","0.249401337112615","0.30028087366584"
"No","2009","16-34 y.","Part Time","150","0.36702097202065","0.320869965127625","0.413171978913676"
"No","2009","16-34 y.","Not Working","8","","",""
"No","2009","35-65 y.","Full Time","880","0.269432399157989","0.254444314120611","0.284420484195367"
"No","2009","35-65 y.","Part Time","391","0.36350516028484","0.334172553256374","0.392837767313307"
"No","2009","35-65 y.","Not Working","9","","",""
"No","2009","66 and older","Full Time","","","",""
"No","2009","66 and older","Part Time","5","","",""
"No","2009","66 and older","Not Working","","","",""
"Yes","2010","16-34 y.","Full Time","1207","0.696962864247168","0.674841669791995","0.719084058702341"
"Yes","2010","16-34 y.","Part Time","379","0.63663274475522","0.598147890493614","0.675117599016825"
"Yes","2010","16-34 y.","Not Working","39","0.359466522816439","0.255608199615815","0.463324846017063"
"Yes","2010","35-65 y.","Full Time","3075","0.712576225580956","0.699011648709903","0.726140802452009"
"Yes","2010","35-65 y.","Part Time","1036","0.58928108996386","0.565735197213027","0.612826982714693"
"Yes","2010","35-65 y.","Not Working","31","0.744235828352302","0.624496134552998","0.863975522151605"
"Yes","2010","66 and older","Full Time","8","","",""
"Yes","2010","66 and older","Part Time","10","","",""
"Yes","2010","66 and older","Not Working","","","",""
"No","2010","16-34 y.","Full Time","451","0.303037135752832","0.280915941297659","0.325158330208005"
"No","2010","16-34 y.","Part Time","221","0.363367255244781","0.324882400983175","0.401852109506386"
"No","2010","16-34 y.","Not Working","43","0.640533477183561","0.536675153982937","0.744391800384185"
"No","2010","35-65 y.","Full Time","1201","0.287423774419044","0.273859197547991","0.300988351290098"
"No","2010","35-65 y.","Part Time","641","0.41071891003614","0.387173017285307","0.434264802786973"
"No","2010","35-65 y.","Not Working","20","","",""
"No","2010","66 and older","Full Time","1","","",""
"No","2010","66 and older","Part Time","9","","",""
"No","2010","66 and older","Not Working","","","",""
"Yes","2011","16-34 y.","Full Time","1331","0.785791928487246","0.76631210607923","0.805271750895262"
"Yes","2011","16-34 y.","Part Time","528","0.67973701215792","0.646972538414654","0.712501485901186"
"Yes","2011","16-34 y.","Not Working","44","0.579666046581048","0.464032129211746","0.69529996395035"
"Yes","2011","35-65 y.","Full Time","4069","0.763584025471241","0.752143158383902","0.775024892558579"
"Yes","2011","35-65 y.","Part Time","1479","0.64818902280656","0.628229920449568","0.668148125163551"
"Yes","2011","35-65 y.","Not Working","45","0.743451114641814","0.636454662196752","0.850447567086877"
"Yes","2011","66 and older","Full Time","7","","",""
"Yes","2011","66 and older","Part Time","7","","",""
"Yes","2011","66 and older","Not Working","","","",""
"No","2011","16-34 y.","Full Time","373","0.214208071512754","0.194728249104738","0.23368789392077"
"No","2011","16-34 y.","Part Time","251","0.32026298784208","0.287498514098814","0.353027461585346"
"No","2011","16-34 y.","Not Working","26","","",""
"No","2011","35-65 y.","Full Time","1229","0.236415974528759","0.224975107441421","0.247856841616098"
"No","2011","35-65 y.","Part Time","720","0.35181097719344","0.331851874836449","0.371770079550432"
"No","2011","35-65 y.","Not Working","19","","",""
"No","2011","66 and older","Full Time","","","",""
"No","2011","66 and older","Part Time","12","","",""
"No","2011","66 and older","Not Working","","","",""
"Yes","2012","16-34 y.","Full Time","1310","0.778098788260334","0.758375328165663","0.797822248355004"
"Yes","2012","16-34 y.","Part Time","456","0.628673647643713","0.592517966559117","0.664829328728308"
"Yes","2012","16-34 y.","Not Working","48","0.592936595004953","0.481001212101922","0.704871977907983"
"Yes","2012","35-65 y.","Full Time","4052","0.744287288629995","0.732658984932081","0.755915592327909"
"Yes","2012","35-65 y.","Part Time","1460","0.609741772395634","0.589797321351932","0.629686223439336"
"Yes","2012","35-65 y.","Not Working","80","0.560756651797622","0.478251606977246","0.643261696617998"
"Yes","2012","66 and older","Full Time","5","","",""
"Yes","2012","66 and older","Part Time","16","","",""
"Yes","2012","66 and older","Not Working","","","",""
"No","2012","16-34 y.","Full Time","395","0.221901211739666","0.202177751644996","0.241624671834337"
"No","2012","16-34 y.","Part Time","230","0.371326352356287","0.335170671271692","0.407482033440883"
"No","2012","16-34 y.","Not Working","26","","",""
"No","2012","35-65 y.","Full Time","1355","0.255712711370005","0.244084407672091","0.267341015067919"
"No","2012","35-65 y.","Part Time","838","0.390258227604366","0.370313776560664","0.410202678648068"
"No","2012","35-65 y.","Not Working","59","0.439243348202378","0.356738303382002","0.521748393022754"
"No","2012","66 and older","Full Time","2","","",""
"No","2012","66 and older","Part Time","22","","",""
