"plb0196_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","1990","1-pers.-HH","Female","","","","","1"
"Yes","1990","Single parent ","Male","","","","","1"
"Yes","1990","Single parent ","Female","","","","","1"
"Yes","1990","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1990","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1990","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1990","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1990","(Married) couple without C. ","Male","","","","","1"
"Yes","1990","(Married) couple without C. ","Female","","","","","1"
"Yes","1990","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1990","Couple + C. LE and GT 16","Female","","","","","1"
"No","1991","1-pers.-HH","Male","188","1","1","1","2"
"No","1991","1-pers.-HH","Female","172","1","1","1","2"
"No","1991","(Married) couple without C. ","Male","569","1","1","1","2"
"No","1991","Couple + C. LE 16 ","Female","785","1","1","1","2"
"No","1991","(Married) couple without C. ","Female","543","1","1","1","2"
"No","1991","Single parent ","Male","105","1","1","1","2"
"No","1991","Couple + C. LE 16 ","Male","895","1","1","1","2"
"No","1991","Single parent ","Female","195","1","1","1","2"
"No","1991","Couple + C. GT 16 ","Male","685","1","1","1","2"
"No","1991","Couple + C. GT 16 ","Female","537","1","1","1","2"
"No","1991","Couple + C. LE and GT 16","Male","343","1","1","1","2"
"No","1991","Couple + C. LE and GT 16","Female","265","1","1","1","2"
"Yes","1991","1-pers.-HH","Male","","","","","1"
"Yes","1991","1-pers.-HH","Female","","","","","1"
"Yes","1991","Single parent ","Male","","","","","1"
"Yes","1991","Single parent ","Female","","","","","1"
"Yes","1991","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1991","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1991","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1991","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1991","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1991","(Married) couple without C. ","Male","","","","","1"
"Yes","1991","(Married) couple without C. ","Female","","","","","1"
"Yes","1991","Couple + C. LE and GT 16","Female","","","","","1"
"No","1992","1-pers.-HH","Male","169","1","1","1","2"
"No","1992","1-pers.-HH","Female","156","1","1","1","2"
"No","1992","Couple + C. LE 16 ","Female","634","1","1","1","2"
"No","1992","(Married) couple without C. ","Male","493","1","1","1","2"
"No","1992","(Married) couple without C. ","Female","512","1","1","1","2"
"No","1992","Single parent ","Male","96","1","1","1","2"
"No","1992","Single parent ","Female","167","1","1","1","2"
"No","1992","Couple + C. LE 16 ","Male","816","1","1","1","2"
"No","1992","Couple + C. GT 16 ","Male","653","1","1","1","2"
"No","1992","Couple + C. GT 16 ","Female","494","1","1","1","2"
"No","1992","Couple + C. LE and GT 16","Male","298","1","1","1","2"
"No","1992","Couple + C. LE and GT 16","Female","233","1","1","1","2"
"Yes","1992","1-pers.-HH","Male","","","","","1"
"Yes","1992","1-pers.-HH","Female","","","","","1"
"Yes","1992","Single parent ","Male","","","","","1"
"Yes","1992","Single parent ","Female","","","","","1"
"Yes","1992","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1992","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1992","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1992","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1992","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1992","(Married) couple without C. ","Male","","","","","1"
"Yes","1992","(Married) couple without C. ","Female","","","","","1"
"Yes","1992","Couple + C. LE and GT 16","Female","","","","","1"
"No","1993","1-pers.-HH","Male","217","1","1","1","2"
"No","1993","1-pers.-HH","Female","174","1","1","1","2"
"No","1993","(Married) couple without C. ","Female","509","1","1","1","2"
"No","1993","(Married) couple without C. ","Male","507","1","1","1","2"
"No","1993","Couple + C. LE 16 ","Female","597","1","1","1","2"
"No","1993","Single parent ","Male","82","1","1","1","2"
"No","1993","Single parent ","Female","166","1","1","1","2"
"No","1993","Couple + C. LE 16 ","Male","767","1","1","1","2"
"No","1993","Couple + C. GT 16 ","Male","598","1","1","1","2"
"No","1993","Couple + C. GT 16 ","Female","467","1","1","1","2"
"No","1993","Couple + C. LE and GT 16","Male","308","1","1","1","2"
"No","1993","Couple + C. LE and GT 16","Female","247","1","1","1","2"
"Yes","1993","1-pers.-HH","Male","","","","","1"
"Yes","1993","Single parent ","Male","","","","","1"
"Yes","1993","Single parent ","Female","","","","","1"
"Yes","1993","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1993","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1993","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1993","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1993","1-pers.-HH","Female","","","","","1"
"Yes","1993","(Married) couple without C. ","Male","","","","","1"
"Yes","1993","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1993","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","1993","(Married) couple without C. ","Female","","","","","1"
"No","1994","1-pers.-HH","Male","183","1","1","1","2"
"No","1994","1-pers.-HH","Female","155","1","1","1","2"
"No","1994","(Married) couple without C. ","Male","498","1","1","1","2"
"No","1994","(Married) couple without C. ","Female","499","1","1","1","2"
"No","1994","Couple + C. GT 16 ","Male","546","1","1","1","2"
"No","1994","Single parent ","Male","75","1","1","1","2"
"No","1994","Single parent ","Female","143","1","1","1","2"
"No","1994","Couple + C. LE 16 ","Male","720","1","1","1","2"
"No","1994","Couple + C. LE 16 ","Female","557","1","1","1","2"
"No","1994","Couple + C. GT 16 ","Female","432","1","1","1","2"
"No","1994","Couple + C. LE and GT 16","Male","282","1","1","1","2"
"No","1994","Couple + C. LE and GT 16","Female","233","1","1","1","2"
"Yes","1994","1-pers.-HH","Male","","","","","1"
"Yes","1994","Single parent ","Male","","","","","1"
"Yes","1994","Single parent ","Female","","","","","1"
"Yes","1994","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1994","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1994","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1994","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1994","1-pers.-HH","Female","","","","","1"
"Yes","1994","(Married) couple without C. ","Male","","","","","1"
"Yes","1994","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1994","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","1994","(Married) couple without C. ","Female","","","","","1"
"No","1995","1-pers.-HH","Male","186","1","1","1","2"
"No","1995","1-pers.-HH","Female","172","1","1","1","2"
"No","1995","Couple + C. GT 16 ","Male","554","1","1","1","2"
"No","1995","(Married) couple without C. ","Male","493","1","1","1","2"
"No","1995","(Married) couple without C. ","Female","500","1","1","1","2"
"No","1995","Single parent ","Male","72","1","1","1","2"
"No","1995","Single parent ","Female","158","1","1","1","2"
"No","1995","Couple + C. LE 16 ","Male","711","1","1","1","2"
"No","1995","Couple + C. LE 16 ","Female","545","1","1","1","2"
"No","1995","Couple + C. GT 16 ","Female","435","1","1","1","2"
"No","1995","Couple + C. LE and GT 16","Male","281","1","1","1","2"
"No","1995","Couple + C. LE and GT 16","Female","230","1","1","1","2"
"Yes","1995","1-pers.-HH","Male","","","","","1"
"Yes","1995","1-pers.-HH","Female","","","","","1"
"Yes","1995","Single parent ","Male","","","","","1"
"Yes","1995","Single parent ","Female","","","","","1"
"Yes","1995","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1995","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1995","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1995","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1995","(Married) couple without C. ","Male","","","","","1"
"Yes","1995","(Married) couple without C. ","Female","","","","","1"
"Yes","1995","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1995","Couple + C. LE and GT 16","Female","","","","","1"
"No","1996","1-pers.-HH","Male","203","1","1","1","2"
"No","1996","1-pers.-HH","Female","159","1","1","1","2"
"No","1996","(Married) couple without C. ","Male","478","1","1","1","2"
"No","1996","(Married) couple without C. ","Female","511","1","1","1","2"
"No","1996","Single parent ","Male","88","1","1","1","2"
"No","1996","Couple + C. GT 16 ","Male","512","1","1","1","2"
"No","1996","Single parent ","Female","154","1","1","1","2"
"No","1996","Couple + C. LE 16 ","Male","668","1","1","1","2"
"No","1996","Couple + C. LE 16 ","Female","529","1","1","1","2"
"No","1996","Couple + C. GT 16 ","Female","397","1","1","1","2"
"No","1996","Couple + C. LE and GT 16","Male","271","1","1","1","2"
"No","1996","Couple + C. LE and GT 16","Female","249","1","1","1","2"
"Yes","1996","1-pers.-HH","Male","","","","","1"
"Yes","1996","1-pers.-HH","Female","","","","","1"
"Yes","1996","Single parent ","Male","","","","","1"
"Yes","1996","Single parent ","Female","","","","","1"
"Yes","1996","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1996","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1996","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1996","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1996","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1996","(Married) couple without C. ","Male","","","","","1"
"Yes","1996","(Married) couple without C. ","Female","","","","","1"
"Yes","1996","Couple + C. LE and GT 16","Female","","","","","1"
"No","1997","1-pers.-HH","Male","64","1","1","1","2"
"No","1997","1-pers.-HH","Female","57","1","1","1","2"
"No","1997","(Married) couple without C. ","Male","182","1","1","1","2"
"No","1997","(Married) couple without C. ","Female","154","1","1","1","2"
"No","1997","Single parent ","Male","24","","","","2"
"No","1997","Couple + C. GT 16 ","Male","170","1","1","1","2"
"No","1997","Single parent ","Female","36","1","1","1","2"
"No","1997","Couple + C. LE 16 ","Male","253","1","1","1","2"
"No","1997","Couple + C. LE 16 ","Female","147","1","1","1","2"
"No","1997","Couple + C. GT 16 ","Female","108","1","1","1","2"
"No","1997","Couple + C. LE and GT 16","Male","99","1","1","1","2"
"No","1997","Couple + C. LE and GT 16","Female","58","1","1","1","2"
"Yes","1997","1-pers.-HH","Male","","","","","1"
"Yes","1997","1-pers.-HH","Female","","","","","1"
"Yes","1997","Single parent ","Male","","","","","1"
"Yes","1997","Single parent ","Female","","","","","1"
"Yes","1997","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1997","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1997","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1997","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1997","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1997","(Married) couple without C. ","Male","","","","","1"
"Yes","1997","(Married) couple without C. ","Female","","","","","1"
"Yes","1997","Couple + C. LE and GT 16","Female","","","","","1"
"No","1998","1-pers.-HH","Male","74","1","1","1","2"
"No","1998","1-pers.-HH","Female","73","1","1","1","2"
"No","1998","(Married) couple without C. ","Male","192","1","1","1","2"
"No","1998","(Married) couple without C. ","Female","167","1","1","1","2"
"No","1998","Single parent ","Male","20","","","","2"
"No","1998","Single parent ","Female","54","1","1","1","2"
"No","1998","Couple + C. GT 16 ","Male","180","1","1","1","2"
"No","1998","Couple + C. LE 16 ","Male","254","1","1","1","2"
"No","1998","Couple + C. LE 16 ","Female","140","1","1","1","2"
"No","1998","Couple + C. GT 16 ","Female","114","1","1","1","2"
"No","1998","Couple + C. LE and GT 16","Male","96","1","1","1","2"
"No","1998","Couple + C. LE and GT 16","Female","67","1","1","1","2"
"Yes","1998","1-pers.-HH","Male","","","","","1"
"Yes","1998","1-pers.-HH","Female","","","","","1"
"Yes","1998","Single parent ","Male","","","","","1"
"Yes","1998","Single parent ","Female","","","","","1"
"Yes","1998","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1998","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1998","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1998","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1998","(Married) couple without C. ","Male","","","","","1"
"Yes","1998","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1998","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","1998","(Married) couple without C. ","Female","","","","","1"
"No","1999","1-pers.-HH","Male","62","1","1","1","2"
"No","1999","Couple + C. GT 16 ","Male","168","1","1","1","2"
"No","1999","1-pers.-HH","Female","64","1","1","1","2"
"No","1999","(Married) couple without C. ","Female","165","1","1","1","2"
"No","1999","(Married) couple without C. ","Male","177","1","1","1","2"
"No","1999","Single parent ","Male","25","","","","2"
"No","1999","Single parent ","Female","50","1","1","1","2"
"No","1999","Couple + C. LE 16 ","Male","259","1","1","1","2"
"No","1999","Couple + C. LE 16 ","Female","156","1","1","1","2"
"No","1999","Couple + C. GT 16 ","Female","101","1","1","1","2"
"No","1999","Couple + C. LE and GT 16","Male","87","1","1","1","2"
"No","1999","Couple + C. LE and GT 16","Female","57","1","1","1","2"
"Yes","1999","1-pers.-HH","Male","","","","","1"
"Yes","1999","1-pers.-HH","Female","","","","","1"
"Yes","1999","Single parent ","Male","","","","","1"
"Yes","1999","Single parent ","Female","","","","","1"
"Yes","1999","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1999","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1999","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1999","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1999","(Married) couple without C. ","Male","","","","","1"
"Yes","1999","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1999","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","1999","(Married) couple without C. ","Female","","","","","1"
"No","2000","1-pers.-HH","Male","175","1","1","1","2"
"No","2000","1-pers.-HH","Female","136","1","1","1","2"
"No","2000","Couple + C. GT 16 ","Male","271","1","1","1","2"
"No","2000","(Married) couple without C. ","Female","296","1","1","1","2"
"No","2000","(Married) couple without C. ","Male","324","1","1","1","2"
"No","2000","Single parent ","Male","51","1","1","1","2"
"No","2000","Single parent ","Female","92","1","1","1","2"
"No","2000","Couple + C. LE 16 ","Male","437","1","1","1","2"
"No","2000","Couple + C. LE 16 ","Female","254","1","1","1","2"
"No","2000","Couple + C. GT 16 ","Female","183","1","1","1","2"
"No","2000","Couple + C. LE and GT 16","Male","131","1","1","1","2"
"No","2000","Couple + C. LE and GT 16","Female","90","1","1","1","2"
"Yes","2000","1-pers.-HH","Male","","","","","1"
"Yes","2000","1-pers.-HH","Female","","","","","1"
"Yes","2000","Single parent ","Male","","","","","1"
"Yes","2000","Single parent ","Female","","","","","1"
"Yes","2000","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2000","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2000","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2000","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2000","(Married) couple without C. ","Male","","","","","1"
"Yes","2000","(Married) couple without C. ","Female","","","","","1"
"Yes","2000","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2000","Couple + C. LE and GT 16","Female","","","","","1"
"No","2001","Couple + C. GT 16 ","Male","","","","","2"
"No","2001","1-pers.-HH","Male","","","","","2"
"No","2001","1-pers.-HH","Female","","","","","2"
"No","2001","(Married) couple without C. ","Male","","","","","2"
"No","2001","(Married) couple without C. ","Female","","","","","2"
"No","2001","Single parent ","Male","","","","","2"
"No","2001","Single parent ","Female","","","","","2"
"No","2001","Couple + C. LE 16 ","Male","","","","","2"
"No","2001","Couple + C. GT 16 ","Female","","","","","2"
"No","2001","Couple + C. LE 16 ","Female","","","","","2"
"No","2001","Couple + C. LE and GT 16","Male","","","","","2"
"No","2001","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2001","1-pers.-HH","Male","","","","","1"
"Yes","2001","1-pers.-HH","Female","","","","","1"
"Yes","2001","Single parent ","Male","","","","","1"
"Yes","2001","Single parent ","Female","","","","","1"
"Yes","2001","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2001","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2001","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2001","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2001","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2001","(Married) couple without C. ","Male","","","","","1"
"Yes","2001","(Married) couple without C. ","Female","","","","","1"
"Yes","2001","Couple + C. LE and GT 16","Female","","","","","1"
"No","2002","Couple + C. GT 16 ","Male","287","0.362928141567907","0.331067934242941","0.394788348892873","2"
"No","2002","1-pers.-HH","Male","159","0.306215513721496","0.265895365555347","0.346535661887645","2"
"No","2002","1-pers.-HH","Female","116","0.307084564354485","0.261244797310823","0.352924331398148","2"
"No","2002","(Married) couple without C. ","Male","286","0.268700004048568","0.242468306321475","0.29493170177566","2"
"No","2002","(Married) couple without C. ","Female","285","0.279340633837639","0.251642538883122","0.307038728792157","2"
"No","2002","Single parent ","Male","41","0.342055162128534","0.258217655879597","0.425892668377471","2"
"No","2002","Single parent ","Female","76","0.32652439248357","0.266695517023989","0.386353267943151","2"
"No","2002","Couple + C. LE 16 ","Male","377","0.271784877267932","0.249150235192844","0.29441951934302","2"
"No","2002","Couple + C. GT 16 ","Female","178","0.31282406394413","0.276210518697391","0.349437609190869","2"
"No","2002","Couple + C. LE 16 ","Female","245","0.377780402375131","0.342366531613287","0.413194273136975","2"
"No","2002","Couple + C. LE and GT 16","Male","132","0.371771323084333","0.325497231532295","0.418045414636372","2"
"No","2002","Couple + C. LE and GT 16","Female","85","0.334313664205919","0.279351128809543","0.389276199602296","2"
"Yes","2002","1-pers.-HH","Male","343","0.693784486278504","0.653464338112355","0.734104634444653","1"
"Yes","2002","1-pers.-HH","Female","273","0.692915435645515","0.647075668601852","0.738755202689177","1"
"Yes","2002","(Married) couple without C. ","Male","811","0.731299995951432","0.70506829822434","0.757531693678525","1"
"Yes","2002","Single parent ","Male","82","0.657944837871466","0.574107331622529","0.741782344120403","1"
"Yes","2002","Single parent ","Female","160","0.67347560751643","0.613646732056849","0.733304482976011","1"
"Yes","2002","Couple + C. LE 16 ","Male","1107","0.728215122732068","0.70558048065698","0.750849764807156","1"
"Yes","2002","Couple + C. LE 16 ","Female","475","0.622219597624869","0.586805726863025","0.657633468386713","1"
"Yes","2002","Couple + C. GT 16 ","Male","588","0.637071858432093","0.605211651107127","0.668932065757059","1"
"Yes","2002","Couple + C. GT 16 ","Female","438","0.68717593605587","0.650562390809131","0.723789481302609","1"
"Yes","2002","Couple + C. LE and GT 16","Male","287","0.628228676915667","0.581954585363628","0.674502768467705","1"
"Yes","2002","(Married) couple without C. ","Female","723","0.720659366162361","0.692961271207843","0.748357461116878","1"
"Yes","2002","Couple + C. LE and GT 16","Female","198","0.66568633579408","0.610723800397704","0.720648871190457","1"
"No","2003","1-pers.-HH","Male","130","0.24856709026911","0.21033973392378","0.286794446614439","2"
"No","2003","Couple + C. GT 16 ","Male","265","0.358419370256141","0.326086735633551","0.390752004878731","2"
"No","2003","1-pers.-HH","Female","110","0.286453287876004","0.240755804984392","0.332150770767616","2"
"No","2003","(Married) couple without C. ","Male","274","0.285505867688269","0.257869480851503","0.313142254525036","2"
"No","2003","(Married) couple without C. ","Female","323","0.33669947561101","0.307482083403367","0.365916867818654","2"
"No","2003","Single parent ","Male","42","0.399610382778168","0.307656555407506","0.49156421014883","2"
"No","2003","Single parent ","Female","77","0.291459418253774","0.235900607501977","0.347018229005571","2"
"No","2003","Couple + C. LE 16 ","Male","333","0.275764751942991","0.251665370916366","0.299864132969615","2"
"No","2003","Couple + C. LE 16 ","Female","225","0.330436185866152","0.294951906300429","0.365920465431874","2"
"No","2003","Couple + C. GT 16 ","Female","223","0.356315566483058","0.318859499725684","0.393771633240432","2"
"No","2003","Couple + C. LE and GT 16","Male","110","0.279974464851544","0.235808675317526","0.324140254385562","2"
"No","2003","Couple + C. LE and GT 16","Female","96","0.344108320174997","0.288660154367549","0.399556485982445","2"
"Yes","2003","1-pers.-HH","Male","361","0.75143290973089","0.713205553385561","0.78966026607622","1"
"Yes","2003","1-pers.-HH","Female","266","0.713546712123996","0.667849229232384","0.759244195015608","1"
"Yes","2003","Single parent ","Male","67","0.600389617221832","0.50843578985117","0.692343444592494","1"
"Yes","2003","(Married) couple without C. ","Male","752","0.714494132311731","0.686857745474964","0.742130519148497","1"
"Yes","2003","Single parent ","Female","180","0.708540581746226","0.652981770994429","0.764099392498023","1"
"Yes","2003","Couple + C. LE 16 ","Male","988","0.724235248057009","0.700135867030385","0.748334629083633","1"
"Yes","2003","Couple + C. LE 16 ","Female","450","0.669563814133848","0.634079534568126","0.705048093699571","1"
"Yes","2003","Couple + C. GT 16 ","Male","580","0.641580629743859","0.609247995121269","0.673913264366449","1"
"Yes","2003","Couple + C. GT 16 ","Female","405","0.643684433516942","0.606228366759568","0.681140500274316","1"
"Yes","2003","Couple + C. LE and GT 16","Male","287","0.720025535148456","0.675859745614439","0.764191324682474","1"
"Yes","2003","Couple + C. LE and GT 16","Female","186","0.655891679825003","0.600443514017555","0.711339845632451","1"
"Yes","2003","(Married) couple without C. ","Female","682","0.66330052438899","0.634083132181346","0.692517916596633","1"
"No","2004","1-pers.-HH","Male","114","0.238710203007741","0.200211319651233","0.277209086364249","2"
