"plb0196_h","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","2004","Not Employed","Part Time","","","",""
"Yes","2004","Not Employed","Not Working","22","","",""
"Yes","2004","Employed","Full Time","4148","0.729473778193041","0.717833655130729","0.741113901255352"
"Yes","2004","Employed","Part Time","1012","0.597950297576255","0.574356529084519","0.621544066067991"
"Yes","2004","Employed","Not Working","","","",""
"No","2004","Not Employed","Full Time","","","",""
"No","2004","Not Employed","Part Time","","","",""
"No","2004","Not Employed","Not Working","22","","",""
"No","2004","Employed","Full Time","1447","0.270526221806959","0.258886098744648","0.282166344869271"
"No","2004","Employed","Part Time","647","0.402049702423745","0.378455933932009","0.425643470915481"
"No","2004","Employed","Not Working","","","",""
"Yes","2005","Not Employed","Full Time","","","",""
"Yes","2005","Not Employed","Part Time","","","",""
"Yes","2005","Not Employed","Not Working","24","","",""
"Yes","2005","Employed","Full Time","3818","0.724458319447004","0.712266579778295","0.736650059115713"
"Yes","2005","Employed","Part Time","970","0.6149309615667","0.590837673505688","0.639024249627713"
"Yes","2005","Employed","Not Working","","","",""
"No","2005","Not Employed","Full Time","","","",""
"No","2005","Not Employed","Part Time","","","",""
"No","2005","Not Employed","Not Working","17","","",""
"No","2005","Employed","Full Time","1341","0.275541680552996","0.263349940884287","0.287733420221705"
"No","2005","Employed","Part Time","597","0.3850690384333","0.360975750372287","0.409162326494312"
"No","2005","Employed","Not Working","","","",""
"Yes","2006","Not Employed","Full Time","","","",""
"Yes","2006","Not Employed","Part Time","","","",""
"Yes","2006","Not Employed","Not Working","40","0.637813275986682","0.520060502517734","0.755566049455631"
"Yes","2006","Employed","Full Time","4322","0.763429348823356","0.75230866434535","0.774550033301363"
"Yes","2006","Employed","Part Time","1093","0.589472849589045","0.566696614642085","0.612249084536006"
"Yes","2006","Employed","Not Working","","","",""
"No","2006","Not Employed","Full Time","","","",""
"No","2006","Not Employed","Part Time","","","",""
"No","2006","Not Employed","Not Working","24","","",""
"No","2006","Employed","Full Time","1288","0.236570651176644","0.225449966698637","0.24769133565465"
"No","2006","Employed","Part Time","699","0.410527150410955","0.387750915463994","0.433303385357915"
"No","2006","Employed","Not Working","","","",""
"Yes","2007","Not Employed","Full Time","","","",""
"Yes","2007","Not Employed","Part Time","","","",""
"Yes","2007","Not Employed","Not Working","44","0.596770288418982","0.48424075455585","0.709299822282115"
"Yes","2007","Employed","Full Time","4036","0.774423472071827","0.763105721994945","0.785741222148709"
"Yes","2007","Employed","Part Time","1076","0.648327417878395","0.625252955597533","0.671401880159257"
"Yes","2007","Employed","Not Working","","","",""
"No","2007","Not Employed","Full Time","","","",""
"No","2007","Not Employed","Part Time","","","",""
"No","2007","Not Employed","Not Working","29","","",""
"No","2007","Employed","Full Time","1203","0.225576527928173","0.214258777851291","0.236894278005055"
"No","2007","Employed","Part Time","569","0.351672582121605","0.328598119840743","0.374747044402467"
"No","2007","Employed","Not Working","","","",""
"Yes","2008","Not Employed","Full Time","","","",""
"Yes","2008","Not Employed","Part Time","","","",""
"Yes","2008","Not Employed","Not Working","39","0.520514082207692","0.399064623685462","0.641963540729921"
"Yes","2008","Employed","Full Time","3873","0.749486160927909","0.737604482068827","0.761367839786991"
"Yes","2008","Employed","Part Time","1063","0.636933777114361","0.613849283358","0.660018270870722"
"Yes","2008","Employed","Not Working","","","",""
"No","2008","Not Employed","Full Time","","","",""
"No","2008","Not Employed","Part Time","","","",""
"No","2008","Not Employed","Not Working","26","","",""
"No","2008","Employed","Full Time","1236","0.250513839072091","0.238632160213009","0.262395517931173"
"No","2008","Employed","Part Time","604","0.363066222885639","0.339981729129279","0.386150716642"
"No","2008","Employed","Not Working","","","",""
"Yes","2009","Not Employed","Full Time","","","",""
"Yes","2009","Not Employed","Part Time","","","",""
"Yes","2009","Not Employed","Not Working","14","","",""
"Yes","2009","Employed","Full Time","3358","0.729232090087678","0.716327762409797","0.742136417765559"
"Yes","2009","Employed","Part Time","920","0.635638250468149","0.611003253846737","0.66027324708956"
"Yes","2009","Employed","Not Working","","","",""
"No","2009","Not Employed","Full Time","","","",""
"No","2009","Not Employed","Part Time","","","",""
"No","2009","Not Employed","Not Working","17","","",""
"No","2009","Employed","Full Time","1197","0.270767909912322","0.257863582234441","0.283672237590203"
"No","2009","Employed","Part Time","546","0.364361749531851","0.33972675291044","0.388996746153263"
"No","2009","Employed","Not Working","","","",""
"Yes","2010","Not Employed","Full Time","","","",""
"Yes","2010","Not Employed","Part Time","","","",""
"Yes","2010","Not Employed","Not Working","70","0.446147667745991","0.361666758681355","0.530628576810627"
"Yes","2010","Employed","Full Time","4290","0.708240580742473","0.696683501994973","0.719797659489973"
"Yes","2010","Employed","Part Time","1425","0.6029833557238","0.582970034389661","0.622996677057938"
"Yes","2010","Employed","Not Working","","","",""
"No","2010","Not Employed","Full Time","","","",""
"No","2010","Not Employed","Part Time","","","",""
"No","2010","Not Employed","Not Working","63","0.553852332254009","0.469371423189373","0.638333241318645"
"No","2010","Employed","Full Time","1653","0.291759419257527","0.280202340510027","0.303316498005028"
"No","2010","Employed","Part Time","871","0.3970166442762","0.377003322942062","0.417029965610338"
"No","2010","Employed","Not Working","","","",""
"Yes","2011","Not Employed","Full Time","","","",""
"Yes","2011","Not Employed","Part Time","","","",""
"Yes","2011","Not Employed","Not Working","89","0.638930374721349","0.557606523540852","0.720254225901845"
"Yes","2011","Employed","Full Time","5407","0.770404633800657","0.760558605867748","0.780250661733567"
"Yes","2011","Employed","Part Time","2014","0.655603241181105","0.638591263928775","0.672615218433436"
"Yes","2011","Employed","Not Working","","","",""
"No","2011","Not Employed","Full Time","","","",""
"No","2011","Not Employed","Part Time","","","",""
"No","2011","Not Employed","Not Working","45","0.361069625278651","0.279745774098155","0.442393476459148"
"No","2011","Employed","Full Time","1602","0.229595366199343","0.219749338266433","0.239441394132252"
"No","2011","Employed","Part Time","983","0.344396758818894","0.327384781566564","0.361408736071225"
"No","2011","Employed","Not Working","","","",""
"Yes","2012","Not Employed","Full Time","","","",""
"Yes","2012","Not Employed","Part Time","","","",""
"Yes","2012","Not Employed","Not Working","128","0.574617045258951","0.508221707674793","0.641012382843108"
"Yes","2012","Employed","Full Time","5367","0.754026575258009","0.744022521545273","0.764030628970745"
"Yes","2012","Employed","Part Time","1932","0.610192697384843","0.592804308303245","0.627581086466441"
"Yes","2012","Employed","Not Working","","","",""
"No","2012","Not Employed","Full Time","","","",""
"No","2012","Not Employed","Part Time","","","",""
"No","2012","Not Employed","Not Working","85","0.425382954741049","0.358987617156892","0.491778292325207"
"No","2012","Employed","Full Time","1752","0.245973424741991","0.235969371029255","0.255977478454727"
"No","2012","Employed","Part Time","1090","0.389807302615157","0.372418913533559","0.407195691696755"
"No","2012","Employed","Not Working","","","",""
"Yes","2013","Not Employed","Full Time","","","",""
"Yes","2013","Not Employed","Part Time","","","",""
"Yes","2013","Not Employed","Not Working","1260","0.695013004004193","0.673970648537552","0.716055359470834"
"Yes","2013","Employed","Full Time","4879","0.756731131897794","0.746224374809563","0.767237888986025"
"Yes","2013","Employed","Part Time","1844","0.644422863527873","0.626574022033379","0.662271705022368"
"Yes","2013","Employed","Not Working","","","",""
"No","2013","Not Employed","Full Time","","","",""
"No","2013","Not Employed","Part Time","","","",""
"No","2013","Not Employed","Not Working","579","0.304986995995807","0.283944640529166","0.326029351462448"
"No","2013","Employed","Full Time","1527","0.243268868102206","0.232762111013975","0.253775625190437"
"No","2013","Employed","Part Time","919","0.355577136472127","0.337728294977633","0.373425977966621"
"No","2013","Employed","Not Working","","","",""
"Yes","2014","Not Employed","Full Time","","","",""
"Yes","2014","Not Employed","Part Time","","","",""
"Yes","2014","Not Employed","Not Working","146","0.518782448581061","0.454764238234738","0.582800658927384"
"Yes","2014","Employed","Full Time","5170","0.756851518982303","0.746680054088189","0.767022983876416"
"Yes","2014","Employed","Part Time","1874","0.662804651223354","0.645645812488233","0.679963489958475"
"Yes","2014","Employed","Not Working","","","",""
"No","2014","Not Employed","Full Time","","","",""
"No","2014","Not Employed","Part Time","","","",""
"No","2014","Not Employed","Not Working","88","0.481217551418939","0.417199341072616","0.545235761765262"
"No","2014","Employed","Full Time","1663","0.243148481017698","0.232977016123584","0.253319945911811"
"No","2014","Employed","Part Time","1042","0.337195348776646","0.320036510041525","0.354354187511767"
"No","2014","Employed","Not Working","","","",""
"Yes","2015","Not Employed","Full Time","","","",""
"Yes","2015","Not Employed","Part Time","","","",""
"Yes","2015","Not Employed","Not Working","443","0.700026569763087","0.664412780056654","0.73564035946952"
"Yes","2015","Employed","Full Time","4969","0.792879079037248","0.782832376451701","0.802925781622795"
"Yes","2015","Employed","Part Time","1867","0.68503026539694","0.667314774855796","0.702745755938084"
"Yes","2015","Employed","Not Working","","","",""
"No","2015","Not Employed","Full Time","","","",""
"No","2015","Not Employed","Part Time","","","",""
"No","2015","Not Employed","Not Working","193","0.299973430236913","0.26435964053048","0.335587219943346"
"No","2015","Employed","Full Time","1281","0.207120920962752","0.197074218377205","0.217167623548299"
"No","2015","Employed","Part Time","774","0.31496973460306","0.297254244061916","0.332685225144204"
"No","2015","Employed","Not Working","","","",""
"Yes","2016","Not Employed","Full Time","","","",""
"Yes","2016","Not Employed","Part Time","","","",""
"Yes","2016","Not Employed","Not Working","97","0.613084124472759","0.533257386572249","0.692910862373268"
"Yes","2016","Employed","Full Time","4853","0.793397210438097","0.783281817212349","0.803512603663844"
"Yes","2016","Employed","Part Time","1946","0.687525890490979","0.67021821126352","0.704833569718438"
"Yes","2016","Employed","Not Working","","","",""
"No","2016","Not Employed","Full Time","","","",""
"No","2016","Not Employed","Part Time","","","",""
"No","2016","Not Employed","Not Working","46","0.386915875527241","0.307089137626732","0.466742613427751"
"No","2016","Employed","Full Time","1301","0.206602789561903","0.196487396336156","0.216718182787651"
"No","2016","Employed","Part Time","809","0.312474109509021","0.295166430281562","0.32978178873648"
"No","2016","Employed","Not Working","","","",""
"Yes","2017","Not Employed","Full Time","","","",""
"Yes","2017","Not Employed","Part Time","","","",""
"Yes","2017","Not Employed","Not Working","144","0.673283999554317","0.611308348258605","0.735259650850028"
"Yes","2017","Employed","Full Time","5261","0.7863964385032","0.776592909537866","0.796199967468534"
"Yes","2017","Employed","Part Time","2026","0.694444819278851","0.677568529525689","0.711321109032013"
"Yes","2017","Employed","Not Working","","","",""
"No","2017","Not Employed","Full Time","","","",""
"No","2017","Not Employed","Part Time","","","",""
"No","2017","Not Employed","Not Working","76","0.326716000445683","0.264740349149972","0.388691651741394"
"No","2017","Employed","Full Time","1453","0.2136035614968","0.203800032531466","0.223407090462134"
"No","2017","Employed","Part Time","836","0.305555180721149","0.288678890967987","0.322431470474311"
"No","2017","Employed","Not Working","","","",""
"Yes","2018","Not Employed","Full Time","","","",""
"Yes","2018","Not Employed","Part Time","","","",""
"Yes","2018","Not Employed","Not Working","212","0.641947164452395","0.588491706751854","0.695402622152937"
"Yes","2018","Employed","Full Time","5185","0.778265078023025","0.768357936126848","0.788172219919203"
"Yes","2018","Employed","Part Time","2120","0.684827292306948","0.668680012819943","0.700974571793954"
"Yes","2018","Employed","Not Working","","","",""
"No","2018","Not Employed","Full Time","","","",""
"No","2018","Not Employed","Part Time","","","",""
"No","2018","Not Employed","Not Working","97","0.358052835547605","0.304597377847063","0.411508293248146"
"No","2018","Employed","Full Time","1569","0.221734921976975","0.211827780080797","0.231642063873152"
"No","2018","Employed","Part Time","1060","0.315172707693052","0.299025428206046","0.331319987180057"
"No","2018","Employed","Not Working","","","",""
"Yes","2019","Not Employed","Full Time","","","",""
"Yes","2019","Not Employed","Part Time","","","",""
"Yes","2019","Not Employed","Not Working","184","0.582937354845279","0.525183541490039","0.640691168200519"
"Yes","2019","Employed","Full Time","4942","0.789649681234179","0.779549637520472","0.799749724947885"
"Yes","2019","Employed","Part Time","1920","0.722259021826622","0.705525384803278","0.738992658849966"
"Yes","2019","Employed","Not Working","","","",""
"No","2019","Not Employed","Full Time","","","",""
"No","2019","Not Employed","Part Time","","","",""
"No","2019","Not Employed","Not Working","96","0.417062645154721","0.359308831799481","0.474816458509961"
"No","2019","Employed","Full Time","1313","0.210350318765821","0.200250275052115","0.220450362479528"
"No","2019","Employed","Part Time","832","0.277740978173378","0.261007341150034","0.294474615196722"
"No","2019","Employed","Not Working","","","",""
