"plb0196_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","1994","35-65 y.","general elemantary","","","","","1"
"Yes","1994","35-65 y.","middle vocational","","","","","1"
"Yes","1994","35-65 y.","vocational + Abi","","","","","1"
"Yes","1994","35-65 y.","higher vocational","","","","","1"
"Yes","1994","35-65 y.","higher education","","","","","1"
"Yes","1994","66 and older","in school","","","","","1"
"Yes","1994","66 and older","inadequately","","","","","1"
"Yes","1994","66 and older","general elemantary","","","","","1"
"Yes","1994","66 and older","middle vocational","","","","","1"
"Yes","1994","66 and older","vocational + Abi","","","","","1"
"Yes","1994","66 and older","higher vocational","","","","","1"
"Yes","1994","66 and older","higher education","","","","","1"
"No","1995","16-34 y.","general elemantary","385","1","1","1","2"
"No","1995","16-34 y.","middle vocational","993","1","1","1","2"
"No","1995","16-34 y.","in school","9","","","","2"
"No","1995","16-34 y.","inadequately","41","1","1","1","2"
"No","1995","16-34 y.","vocational + Abi","89","1","1","1","2"
"No","1995","16-34 y.","higher vocational","88","1","1","1","2"
"No","1995","16-34 y.","higher education","149","1","1","1","2"
"No","1995","66 and older","in school","","","","","2"
"No","1995","66 and older","inadequately","","","","","2"
"No","1995","66 and older","general elemantary","6","","","","2"
"No","1995","66 and older","higher vocational","4","","","","2"
"No","1995","66 and older","higher education","7","","","","2"
"No","1995","66 and older","middle vocational","12","","","","2"
"No","1995","66 and older","vocational + Abi","2","","","","2"
"No","1995","35-65 y.","in school","1","","","","2"
"No","1995","35-65 y.","inadequately","143","1","1","1","2"
"No","1995","35-65 y.","general elemantary","417","1","1","1","2"
"No","1995","35-65 y.","middle vocational","1389","1","1","1","2"
"No","1995","35-65 y.","vocational + Abi","75","1","1","1","2"
"No","1995","35-65 y.","higher vocational","205","1","1","1","2"
"No","1995","35-65 y.","higher education","481","1","1","1","2"
"Yes","1995","35-65 y.","in school","","","","","1"
"Yes","1995","35-65 y.","inadequately","","","","","1"
"Yes","1995","35-65 y.","general elemantary","","","","","1"
"Yes","1995","35-65 y.","middle vocational","","","","","1"
"Yes","1995","35-65 y.","vocational + Abi","","","","","1"
"Yes","1995","35-65 y.","higher vocational","","","","","1"
"Yes","1995","35-65 y.","higher education","","","","","1"
"Yes","1995","66 and older","in school","","","","","1"
"Yes","1995","66 and older","inadequately","","","","","1"
"Yes","1995","66 and older","general elemantary","","","","","1"
"Yes","1995","66 and older","middle vocational","","","","","1"
"Yes","1995","66 and older","vocational + Abi","","","","","1"
"Yes","1995","66 and older","higher vocational","","","","","1"
"Yes","1995","66 and older","higher education","","","","","1"
"Yes","1995","16-34 y.","in school","","","","","1"
"Yes","1995","16-34 y.","inadequately","","","","","1"
"Yes","1995","16-34 y.","general elemantary","","","","","1"
"Yes","1995","16-34 y.","middle vocational","","","","","1"
"Yes","1995","16-34 y.","vocational + Abi","","","","","1"
"Yes","1995","16-34 y.","higher vocational","","","","","1"
"Yes","1995","16-34 y.","higher education","","","","","1"
"No","1996","16-34 y.","in school","5","","","","2"
"No","1996","16-34 y.","inadequately","40","1","1","1","2"
"No","1996","16-34 y.","general elemantary","395","1","1","1","2"
"No","1996","16-34 y.","middle vocational","920","1","1","1","2"
"No","1996","16-34 y.","vocational + Abi","82","1","1","1","2"
"No","1996","16-34 y.","higher vocational","93","1","1","1","2"
"No","1996","16-34 y.","higher education","146","1","1","1","2"
"No","1996","66 and older","higher vocational","2","","","","2"
"No","1996","66 and older","higher education","11","","","","2"
"No","1996","66 and older","in school","","","","","2"
"No","1996","66 and older","inadequately","","","","","2"
"No","1996","66 and older","general elemantary","3","","","","2"
"No","1996","66 and older","middle vocational","14","","","","2"
"No","1996","66 and older","vocational + Abi","5","","","","2"
"No","1996","35-65 y.","in school","","","","","2"
"No","1996","35-65 y.","inadequately","131","1","1","1","2"
"No","1996","35-65 y.","general elemantary","402","1","1","1","2"
"No","1996","35-65 y.","middle vocational","1382","1","1","1","2"
"No","1996","35-65 y.","vocational + Abi","77","1","1","1","2"
"No","1996","35-65 y.","higher vocational","188","1","1","1","2"
"No","1996","35-65 y.","higher education","471","1","1","1","2"
"Yes","1996","35-65 y.","in school","","","","","1"
"Yes","1996","35-65 y.","inadequately","","","","","1"
"Yes","1996","35-65 y.","general elemantary","","","","","1"
"Yes","1996","35-65 y.","middle vocational","","","","","1"
"Yes","1996","35-65 y.","vocational + Abi","","","","","1"
"Yes","1996","35-65 y.","higher vocational","","","","","1"
"Yes","1996","35-65 y.","higher education","","","","","1"
"Yes","1996","66 and older","in school","","","","","1"
"Yes","1996","66 and older","inadequately","","","","","1"
"Yes","1996","66 and older","general elemantary","","","","","1"
"Yes","1996","66 and older","middle vocational","","","","","1"
"Yes","1996","66 and older","vocational + Abi","","","","","1"
"Yes","1996","66 and older","higher vocational","","","","","1"
"Yes","1996","66 and older","higher education","","","","","1"
"Yes","1996","16-34 y.","in school","","","","","1"
"Yes","1996","16-34 y.","inadequately","","","","","1"
"Yes","1996","16-34 y.","general elemantary","","","","","1"
"Yes","1996","16-34 y.","middle vocational","","","","","1"
"Yes","1996","16-34 y.","vocational + Abi","","","","","1"
"Yes","1996","16-34 y.","higher vocational","","","","","1"
"Yes","1996","16-34 y.","higher education","","","","","1"
"No","1997","16-34 y.","in school","2","","","","2"
"No","1997","16-34 y.","vocational + Abi","37","1","1","1","2"
"No","1997","16-34 y.","inadequately","9","","","","2"
"No","1997","16-34 y.","general elemantary","121","1","1","1","2"
"No","1997","16-34 y.","middle vocational","343","1","1","1","2"
"No","1997","16-34 y.","higher vocational","40","1","1","1","2"
"No","1997","16-34 y.","higher education","54","1","1","1","2"
"No","1997","66 and older","higher vocational","","","","","2"
"No","1997","66 and older","higher education","","","","","2"
"No","1997","66 and older","in school","","","","","2"
"No","1997","66 and older","inadequately","","","","","2"
"No","1997","66 and older","general elemantary","","","","","2"
"No","1997","66 and older","middle vocational","","","","","2"
"No","1997","66 and older","vocational + Abi","","","","","2"
"No","1997","35-65 y.","in school","","","","","2"
"No","1997","35-65 y.","inadequately","25","","","","2"
"No","1997","35-65 y.","general elemantary","81","1","1","1","2"
"No","1997","35-65 y.","middle vocational","449","1","1","1","2"
"No","1997","35-65 y.","vocational + Abi","24","","","","2"
"No","1997","35-65 y.","higher vocational","67","1","1","1","2"
"No","1997","35-65 y.","higher education","140","1","1","1","2"
"Yes","1997","35-65 y.","in school","","","","","1"
"Yes","1997","35-65 y.","inadequately","","","","","1"
"Yes","1997","35-65 y.","general elemantary","","","","","1"
"Yes","1997","35-65 y.","middle vocational","","","","","1"
"Yes","1997","35-65 y.","vocational + Abi","","","","","1"
"Yes","1997","35-65 y.","higher vocational","","","","","1"
"Yes","1997","35-65 y.","higher education","","","","","1"
"Yes","1997","66 and older","in school","","","","","1"
"Yes","1997","66 and older","inadequately","","","","","1"
"Yes","1997","66 and older","general elemantary","","","","","1"
"Yes","1997","66 and older","middle vocational","","","","","1"
"Yes","1997","66 and older","vocational + Abi","","","","","1"
"Yes","1997","66 and older","higher vocational","","","","","1"
"Yes","1997","66 and older","higher education","","","","","1"
"Yes","1997","16-34 y.","in school","","","","","1"
"Yes","1997","16-34 y.","inadequately","","","","","1"
"Yes","1997","16-34 y.","general elemantary","","","","","1"
"Yes","1997","16-34 y.","middle vocational","","","","","1"
"Yes","1997","16-34 y.","vocational + Abi","","","","","1"
"Yes","1997","16-34 y.","higher vocational","","","","","1"
"Yes","1997","16-34 y.","higher education","","","","","1"
"No","1998","16-34 y.","in school","1","","","","2"
"No","1998","16-34 y.","inadequately","9","","","","2"
"No","1998","16-34 y.","general elemantary","112","1","1","1","2"
"No","1998","16-34 y.","middle vocational","350","1","1","1","2"
"No","1998","16-34 y.","vocational + Abi","27","","","","2"
"No","1998","16-34 y.","higher vocational","37","1","1","1","2"
"No","1998","16-34 y.","higher education","50","1","1","1","2"
"No","1998","66 and older","higher vocational","","","","","2"
"No","1998","66 and older","higher education","","","","","2"
"No","1998","66 and older","in school","","","","","2"
"No","1998","66 and older","inadequately","","","","","2"
"No","1998","66 and older","general elemantary","","","","","2"
"No","1998","66 and older","middle vocational","1","","","","2"
