"plb0196_h","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1996","35-65 y.","Male","","","",""
"Yes","1996","35-65 y.","Female","","","",""
"Yes","1996","66 and older","Male","","","",""
"Yes","1996","66 and older","Female","","","",""
"No","1996","16-34 y.","Male","941","1","1","1"
"No","1996","16-34 y.","Female","808","1","1","1"
"No","1996","35-65 y.","Male","1384","1","1","1"
"No","1996","35-65 y.","Female","1296","1","1","1"
"No","1996","66 and older","Male","26","","",""
"No","1996","66 and older","Female","10","","",""
"Yes","1997","16-34 y.","Male","","","",""
"Yes","1997","16-34 y.","Female","","","",""
"Yes","1997","35-65 y.","Male","","","",""
"Yes","1997","35-65 y.","Female","","","",""
"Yes","1997","66 and older","Male","","","",""
"Yes","1997","66 and older","Female","","","",""
"No","1997","16-34 y.","Male","368","1","1","1"
"No","1997","16-34 y.","Female","263","1","1","1"
"No","1997","35-65 y.","Male","469","1","1","1"
"No","1997","35-65 y.","Female","326","1","1","1"
"No","1997","66 and older","Male","","","",""
"No","1997","66 and older","Female","","","",""
"Yes","1998","16-34 y.","Male","","","",""
"Yes","1998","16-34 y.","Female","","","",""
"Yes","1998","35-65 y.","Male","","","",""
"Yes","1998","35-65 y.","Female","","","",""
"Yes","1998","66 and older","Male","","","",""
"Yes","1998","66 and older","Female","","","",""
"No","1998","16-34 y.","Male","361","1","1","1"
"No","1998","16-34 y.","Female","248","1","1","1"
"No","1998","35-65 y.","Male","502","1","1","1"
"No","1998","35-65 y.","Female","392","1","1","1"
"No","1998","66 and older","Male","","","",""
"No","1998","66 and older","Female","2","","",""
"Yes","1999","16-34 y.","Male","","","",""
"Yes","1999","16-34 y.","Female","","","",""
"Yes","1999","35-65 y.","Male","","","",""
"Yes","1999","35-65 y.","Female","","","",""
"Yes","1999","66 and older","Male","","","",""
"Yes","1999","66 and older","Female","","","",""
"No","1999","16-34 y.","Male","339","1","1","1"
"No","1999","16-34 y.","Female","226","1","1","1"
"No","1999","35-65 y.","Male","469","1","1","1"
"No","1999","35-65 y.","Female","376","1","1","1"
"No","1999","66 and older","Male","3","","",""
"No","1999","66 and older","Female","","","",""
"Yes","2000","16-34 y.","Male","","","",""
"Yes","2000","16-34 y.","Female","","","",""
"Yes","2000","35-65 y.","Male","","","",""
"Yes","2000","35-65 y.","Female","","","",""
"Yes","2000","66 and older","Male","","","",""
"Yes","2000","66 and older","Female","","","",""
"No","2000","16-34 y.","Male","473","1","1","1"
"No","2000","16-34 y.","Female","373","1","1","1"
"No","2000","35-65 y.","Male","960","1","1","1"
"No","2000","35-65 y.","Female","714","1","1","1"
"No","2000","66 and older","Male","1","","",""
"No","2000","66 and older","Female","1","","",""
"Yes","2001","16-34 y.","Male","","","",""
"Yes","2001","16-34 y.","Female","","","",""
"Yes","2001","35-65 y.","Male","","","",""
"Yes","2001","35-65 y.","Female","","","",""
"Yes","2001","66 and older","Male","","","",""
"Yes","2001","66 and older","Female","","","",""
"No","2001","16-34 y.","Male","442","1","1","1"
"No","2001","16-34 y.","Female","354","1","1","1"
"No","2001","35-65 y.","Male","878","1","1","1"
"No","2001","35-65 y.","Female","680","1","1","1"
"No","2001","66 and older","Male","5","","",""
"No","2001","66 and older","Female","","","",""
"Yes","2002","16-34 y.","Male","896","0.69514391170854","0.670224858164635","0.720062965252445"
"Yes","2002","16-34 y.","Female","768","0.725753583357466","0.699072035180128","0.752435131534804"
"Yes","2002","35-65 y.","Male","2390","0.701612549168894","0.685987361404611","0.717237736933177"
"Yes","2002","35-65 y.","Female","1552","0.659684704498596","0.640171754592691","0.6791976544045"
"Yes","2002","66 and older","Male","5","","",""
"Yes","2002","66 and older","Female","1","","",""
"No","2002","16-34 y.","Male","415","0.30485608829146","0.279937034747555","0.329775141835365"
"No","2002","16-34 y.","Female","306","0.274246416642534","0.247564868465196","0.300927964819872"
"No","2002","35-65 y.","Male","904","0.298387450831106","0.282762263066823","0.314012638595389"
"No","2002","35-65 y.","Female","713","0.340315295501405","0.3208023455955","0.359828245407309"
"No","2002","66 and older","Male","3","","",""
"No","2002","66 and older","Female","","","",""
"Yes","2003","16-34 y.","Male","838","0.697361813078428","0.671390924950499","0.723332701206358"
"Yes","2003","16-34 y.","Female","731","0.699107394042106","0.671829497120036","0.726385290964175"
"Yes","2003","35-65 y.","Male","2256","0.718318360522229","0.702396281708685","0.734240439335772"
"Yes","2003","35-65 y.","Female","1488","0.665130113478807","0.645489336105023","0.684770890852592"
"Yes","2003","66 and older","Male","2","","",""
"Yes","2003","66 and older","Female","2","","",""
"No","2003","16-34 y.","Male","364","0.302638186921572","0.276667298793642","0.328609075049501"
"No","2003","16-34 y.","Female","355","0.300892605957894","0.273614709035825","0.328170502879964"
"No","2003","35-65 y.","Male","810","0.281681639477771","0.265759560664228","0.297603718291315"
"No","2003","35-65 y.","Female","730","0.334869886521192","0.315229109147408","0.354510663894977"
"No","2003","66 and older","Male","4","","",""
"No","2003","66 and older","Female","","","",""
"Yes","2004","16-34 y.","Male","771","0.700643890549528","0.673738255844672","0.727549525254383"
"Yes","2004","16-34 y.","Female","672","0.674880384719482","0.645447918117524","0.70431285132144"
"Yes","2004","35-65 y.","Male","2239","0.731069400127873","0.715231699599813","0.746907100655934"
"Yes","2004","35-65 y.","Female","1493","0.666355508657311","0.646607604574057","0.686103412740566"
"Yes","2004","66 and older","Male","3","","",""
"Yes","2004","66 and older","Female","4","","",""
"No","2004","16-34 y.","Male","342","0.299356109450472","0.272450474745617","0.326261744155328"
"No","2004","16-34 y.","Female","301","0.325119615280518","0.29568714867856","0.354552081882476"
"No","2004","35-65 y.","Male","772","0.268930599872127","0.253092899344066","0.284768300400187"
"No","2004","35-65 y.","Female","697","0.333644491342689","0.313896587259434","0.353392395425943"
"No","2004","66 and older","Male","4","","",""
"No","2004","66 and older","Female","","","",""
"Yes","2005","16-34 y.","Male","733","0.697885804560625","0.670059214054562","0.725712395066688"
"Yes","2005","16-34 y.","Female","632","0.686944879370712","0.656698348729067","0.717191410012357"
"Yes","2005","35-65 y.","Male","2054","0.727068535414796","0.710431321479371","0.743705749350221"
"Yes","2005","35-65 y.","Female","1385","0.66542052871572","0.645015105144957","0.685825952286483"
"Yes","2005","66 and older","Male","4","","",""
"Yes","2005","66 and older","Female","4","","",""
"No","2005","16-34 y.","Male","313","0.302114195439375","0.274287604933312","0.329940785945438"
"No","2005","16-34 y.","Female","271","0.313055120629288","0.282808589987643","0.343301651270933"
"No","2005","35-65 y.","Male","700","0.272931464585204","0.256294250649778","0.289568678520629"
"No","2005","35-65 y.","Female","669","0.33457947128428","0.314174047713517","0.354984894855043"
"No","2005","66 and older","Male","1","","",""
"No","2005","66 and older","Female","1","","",""
"Yes","2006","16-34 y.","Male","747","0.689920773608255","0.66179682704551","0.718044720171001"
"Yes","2006","16-34 y.","Female","712","0.727235618898283","0.699120432076838","0.755350805719727"
"Yes","2006","35-65 y.","Male","2300","0.755523049967844","0.740169540470421","0.770876559465267"
"Yes","2006","35-65 y.","Female","1683","0.693142528168546","0.674813226033958","0.711471830303135"
"Yes","2006","66 and older","Male","8","","",""
"Yes","2006","66 and older","Female","5","","",""
"No","2006","16-34 y.","Male","292","0.310079226391745","0.281955279829","0.33820317295449"
"No","2006","16-34 y.","Female","252","0.272764381101717","0.244649194280273","0.300879567923162"
"No","2006","35-65 y.","Male","710","0.244476950032156","0.229123440534733","0.259830459529579"
"No","2006","35-65 y.","Female","749","0.306857471831454","0.288528169696865","0.325186773966042"
"No","2006","66 and older","Male","4","","",""
"No","2006","66 and older","Female","4","","",""
"Yes","2007","16-34 y.","Male","741","0.756170049404848","0.729381896088001","0.782958202721696"
"Yes","2007","16-34 y.","Female","627","0.72447000490881","0.69474767329969","0.75419233651793"
"Yes","2007","35-65 y.","Male","2185","0.767691847928535","0.752146614460556","0.783237081396513"
"Yes","2007","35-65 y.","Female","1588","0.712274580454069","0.69354407472881","0.731005086179329"
"Yes","2007","66 and older","Male","9","","",""
"Yes","2007","66 and older","Female","6","","",""
"No","2007","16-34 y.","Male","246","0.243829950595152","0.217041797278304","0.270618103911999"
"No","2007","16-34 y.","Female","241","0.27552999509119","0.24580766348207","0.30525232670031"
"No","2007","35-65 y.","Male","650","0.232308152071465","0.216762918603487","0.247853385539444"
"No","2007","35-65 y.","Female","656","0.287725419545931","0.268994913820671","0.30645592527119"
"No","2007","66 and older","Male","5","","",""
"No","2007","66 and older","Female","3","","",""
"Yes","2008","16-34 y.","Male","695","0.71338748695006","0.684813498013248","0.741961475886873"
"Yes","2008","16-34 y.","Female","646","0.741895092167911","0.712884155224247","0.770906029111575"
"Yes","2008","35-65 y.","Male","2056","0.74813604888996","0.731837905491857","0.764434192288063"
"Yes","2008","35-65 y.","Female","1567","0.679744243014799","0.660516733608109","0.698971752421488"
"Yes","2008","66 and older","Male","8","","",""
"Yes","2008","66 and older","Female","3","","",""
"No","2008","16-34 y.","Male","267","0.28661251304994","0.258038524113127","0.315186501986752"
"No","2008","16-34 y.","Female","228","0.258104907832089","0.229093970888425","0.287115844775753"
"No","2008","35-65 y.","Male","669","0.25186395111004","0.235565807711937","0.268162094508143"
"No","2008","35-65 y.","Female","695","0.320255756985201","0.301028247578512","0.339483266391891"
"No","2008","66 and older","Male","3","","",""
"No","2008","66 and older","Female","4","","",""
"Yes","2009","16-34 y.","Male","569","0.704605738482957","0.673379815811982","0.735831661153931"
"Yes","2009","16-34 y.","Female","575","0.699179313237688","0.667379626941479","0.730978999533897"
"Yes","2009","35-65 y.","Male","1747","0.72879239347263","0.711057347984573","0.746527438960688"
"Yes","2009","35-65 y.","Female","1385","0.680430860314946","0.659984087712707","0.700877632917185"
"Yes","2009","66 and older","Male","11","","",""
"Yes","2009","66 and older","Female","5","","",""
"No","2009","16-34 y.","Male","251","0.295394261517043","0.264168338846069","0.326620184188018"
"No","2009","16-34 y.","Female","224","0.300820686762312","0.269021000466103","0.332620373058521"
"No","2009","35-65 y.","Male","667","0.27120760652737","0.253472561039312","0.288942652015427"
"No","2009","35-65 y.","Female","613","0.319569139685054","0.299122367082815","0.340015912287293"
"No","2009","66 and older","Male","1","","",""
"No","2009","66 and older","Female","4","","",""
"Yes","2010","16-34 y.","Male","921","0.674989326169895","0.649577252841901","0.70040139949789"
"Yes","2010","16-34 y.","Female","704","0.674626563659742","0.646083493700486","0.703169633618998"
"Yes","2010","35-65 y.","Male","2296","0.70256200368203","0.68686513215958","0.718258875204479"
"Yes","2010","35-65 y.","Female","1846","0.659073909204807","0.641344469798863","0.676803348610752"
"Yes","2010","66 and older","Male","12","","",""
"Yes","2010","66 and older","Female","6","","",""
"No","2010","16-34 y.","Male","384","0.325010673830105","0.29959860050211","0.350422747158099"
"No","2010","16-34 y.","Female","331","0.325373436340258","0.296830366381002","0.353916506299514"
"No","2010","35-65 y.","Male","962","0.29743799631797","0.281741124795521","0.31313486784042"
"No","2010","35-65 y.","Female","900","0.340926090795193","0.323196651389248","0.358655530201137"
"No","2010","66 and older","Male","4","","",""
"No","2010","66 and older","Female","6","","",""
"Yes","2011","16-34 y.","Male","1009","0.760808994630189","0.737848218176605","0.783769771083772"
"Yes","2011","16-34 y.","Female","894","0.750295283862313","0.726076334988685","0.774514232735942"
"Yes","2011","35-65 y.","Male","3084","0.758404849220351","0.745238064605355","0.771571633835346"
"Yes","2011","35-65 y.","Female","2509","0.706156274106498","0.691067267184241","0.721245281028754"
"Yes","2011","66 and older","Male","10","","",""
"Yes","2011","66 and older","Female","4","","",""
"No","2011","16-34 y.","Male","317","0.239191005369811","0.216230228916228","0.262151781823395"
"No","2011","16-34 y.","Female","333","0.249704716137687","0.225485767264058","0.273923665011315"
"No","2011","35-65 y.","Male","976","0.241595150779649","0.228428366164654","0.254761935394645"
"No","2011","35-65 y.","Female","992","0.293843725893502","0.278754718971246","0.308932732815758"
"No","2011","66 and older","Male","3","","",""
"No","2011","66 and older","Female","9","","",""
"Yes","2012","16-34 y.","Male","953","0.723402919508693","0.699058914570662","0.747746924446723"
"Yes","2012","16-34 y.","Female","861","0.755785758389874","0.731147414363601","0.780424102416148"
"Yes","2012","35-65 y.","Male","2989","0.729741385370798","0.71607437955049","0.743408391191106"
"Yes","2012","35-65 y.","Female","2603","0.683759559026811","0.66895131663137","0.698567801422252"
"Yes","2012","66 and older","Male","10","","",""
"Yes","2012","66 and older","Female","11","","",""
"No","2012","16-34 y.","Male","344","0.276597080491307","0.252253075553277","0.300941085429337"
"No","2012","16-34 y.","Female","307","0.244214241610126","0.219575897583852","0.268852585636399"
"No","2012","35-65 y.","Male","1067","0.270258614629202","0.256591608808894","0.28392562044951"
"No","2012","35-65 y.","Female","1185","0.316240440973189","0.301432198577748","0.33104868336863"
"No","2012","66 and older","Male","13","","",""
"No","2012","66 and older","Female","11","","",""
"Yes","2013","16-34 y.","Male","1092","0.707258401423225","0.684277509375526","0.730239293470924"
"Yes","2013","16-34 y.","Female","1001","0.742321707713095","0.719034713211734","0.765608702214455"
"Yes","2013","35-65 y.","Male","3158","0.740495564512046","0.727338072458687","0.753653056565406"
"Yes","2013","35-65 y.","Female","2716","0.713934441523622","0.699663030797999","0.728205852249245"
"Yes","2013","66 and older","Male","8","","",""
"Yes","2013","66 and older","Female","8","","",""
"No","2013","16-34 y.","Male","414","0.292741598576775","0.269760706529076","0.315722490624474"
"No","2013","16-34 y.","Female","354","0.257678292286905","0.234391297785545","0.280965286788266"
"No","2013","35-65 y.","Male","1106","0.259504435487954","0.246346943434594","0.272661927541314"
"No","2013","35-65 y.","Female","1136","0.286065558476378","0.271794147750755","0.300336969202001"
"No","2013","66 and older","Male","4","","",""
"No","2013","66 and older","Female","11","","",""
"Yes","2014","16-34 y.","Male","962","0.739544201202233","0.715482199805434","0.763606202599031"
"Yes","2014","16-34 y.","Female","860","0.746081990819282","0.721517120952207","0.770646860686356"
"Yes","2014","35-65 y.","Male","2842","0.737575073712179","0.723625362086202","0.751524785338156"
"Yes","2014","35-65 y.","Female","2506","0.711307820788223","0.696574456372955","0.726041185203492"
"Yes","2014","66 and older","Male","13","","",""
"Yes","2014","66 and older","Female","7","","",""
"No","2014","16-34 y.","Male","316","0.260455798797767","0.236393797400969","0.284517800194566"
"No","2014","16-34 y.","Female","346","0.253918009180719","0.229353139313644","0.278482879047793"
"No","2014","35-65 y.","Male","979","0.262424926287821","0.248475214661844","0.276374637913798"
"No","2014","35-65 y.","Female","1128","0.288692179211777","0.273958814796508","0.303425543627045"
"No","2014","66 and older","Male","13","","",""
"No","2014","66 and older","Female","11","","",""
"Yes","2015","16-34 y.","Male","959","0.738099326611785","0.714069351620894","0.762129301602676"
"Yes","2015","16-34 y.","Female","865","0.783961684844883","0.760186536312381","0.807736833377384"
"Yes","2015","35-65 y.","Male","2822","0.768123651936804","0.754387091980228","0.781860211893379"
"Yes","2015","35-65 y.","Female","2607","0.767052068918025","0.752876809627192","0.781227328208859"
"Yes","2015","66 and older","Male","20","","",""
"Yes","2015","66 and older","Female","6","","",""
"No","2015","16-34 y.","Male","327","0.261900673388215","0.237870698397324","0.285930648379106"
"No","2015","16-34 y.","Female","286","0.216038315155117","0.192263166622616","0.239813463687619"
"No","2015","35-65 y.","Male","804","0.231876348063197","0.218139788106621","0.245612908019772"
"No","2015","35-65 y.","Female","809","0.232947931081975","0.218772671791141","0.247123190372809"
"No","2015","66 and older","Male","10","","",""
"No","2015","66 and older","Female","12","","",""
"Yes","2016","16-34 y.","Male","854","0.768099669073607","0.743204044424058","0.792995293723157"
"Yes","2016","16-34 y.","Female","781","0.759721611379727","0.73364186557236","0.785801357187095"
"Yes","2016","35-65 y.","Male","2643","0.772391585246492","0.758275143818932","0.786508026674051"
"Yes","2016","35-65 y.","Female","2583","0.752212025269394","0.737870137211533","0.766553913327254"
"Yes","2016","66 and older","Male","22","","",""
"Yes","2016","66 and older","Female","13","","",""
"No","2016","16-34 y.","Male","250","0.231900330926393","0.207004706276843","0.256795955575942"
"No","2016","16-34 y.","Female","250","0.240278388620273","0.214198642812905","0.26635813442764"
"No","2016","35-65 y.","Male","746","0.227608414753508","0.213491973325949","0.241724856181068"
"No","2016","35-65 y.","Female","898","0.247787974730606","0.233446086672746","0.262129862788467"
"No","2016","66 and older","Male","6","","",""
"No","2016","66 and older","Female","6","","",""
"Yes","2017","16-34 y.","Male","992","0.784724678908086","0.762339066232996","0.807110291583175"
"Yes","2017","16-34 y.","Female","856","0.786248505038579","0.761944798821252","0.810552211255906"
"Yes","2017","35-65 y.","Male","2830","0.766622769096127","0.752928741468493","0.78031679672376"
"Yes","2017","35-65 y.","Female","2719","0.738912597655164","0.724731206402386","0.753093988907942"
"Yes","2017","66 and older","Male","18","","",""
"Yes","2017","66 and older","Female","16","","",""
"No","2017","16-34 y.","Male","303","0.215275321091914","0.192889708416825","0.237660933767004"
"No","2017","16-34 y.","Female","237","0.213751494961421","0.189447788744094","0.238055201178748"
"No","2017","35-65 y.","Male","835","0.233377230903873","0.21968320327624","0.247071258531507"
"No","2017","35-65 y.","Female","966","0.261087402344836","0.246906011092058","0.275268793597614"
"No","2017","66 and older","Male","14","","",""
"No","2017","66 and older","Female","10","","",""
"Yes","2018","16-34 y.","Male","1103","0.78369117920576","0.762528264481878","0.804854093929642"
"Yes","2018","16-34 y.","Female","852","0.762519131238615","0.737674885304079","0.787363377173151"
"Yes","2018","35-65 y.","Male","2789","0.757670089245615","0.743973962979809","0.77136621551142"
"Yes","2018","35-65 y.","Female","2738","0.72902570236718","0.714951380308198","0.743100024426162"
"Yes","2018","66 and older","Male","20","","",""
"Yes","2018","66 and older","Female","15","","",""
"No","2018","16-34 y.","Male","351","0.21630882079424","0.195145906070358","0.237471735518122"
"No","2018","16-34 y.","Female","275","0.237480868761385","0.212636622826849","0.262325114695921"
"No","2018","35-65 y.","Male","971","0.242329910754385","0.22863378448858","0.256026037020191"
"No","2018","35-65 y.","Female","1093","0.27097429763282","0.256899975573838","0.285048619691802"
"No","2018","66 and older","Male","18","","",""
"No","2018","66 and older","Female","18","","",""
"Yes","2019","16-34 y.","Male","984","0.785229179070184","0.762845334475825","0.807613023664542"
"Yes","2019","16-34 y.","Female","759","0.784260915490314","0.758638197571225","0.809883633409403"
"Yes","2019","35-65 y.","Male","2605","0.761825811428439","0.747486660680337","0.776164962176541"
"Yes","2019","35-65 y.","Female","2641","0.760643042900788","0.746567206367979","0.774718879433597"
"Yes","2019","66 and older","Male","33","0.896870774535317","0.803778856845155","0.989962692225479"
"Yes","2019","66 and older","Female","23","","",""
"No","2019","16-34 y.","Male","309","0.214770820929816","0.192386976335458","0.237154665524175"
"No","2019","16-34 y.","Female","231","0.215739084509686","0.190116366590597","0.241361802428775"
"No","2019","35-65 y.","Male","785","0.238174188571561","0.223835037823459","0.252513339319663"
"No","2019","35-65 y.","Female","889","0.239356957099212","0.225281120566403","0.253432793632021"
"No","2019","66 and older","Male","8","","",""
"No","2019","66 and older","Female","18","","",""
