"plb0196_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1988","vocational + Abi","Rural Area","","","",""
"Yes","1988","higher vocational","Urban Area","","","",""
"Yes","1988","higher vocational","Rural Area","","","",""
"Yes","1988","higher education","Urban Area","","","",""
"Yes","1988","higher education","Rural Area","","","",""
"No","1988","in school","Urban Area","5","","",""
"No","1988","in school","Rural Area","","","",""
"No","1988","inadequately","Urban Area","258","1","1","1"
"No","1988","inadequately","Rural Area","37","1","1","1"
"No","1988","general elemantary","Urban Area","833","1","1","1"
"No","1988","general elemantary","Rural Area","221","1","1","1"
"No","1988","middle vocational","Urban Area","1542","1","1","1"
"No","1988","middle vocational","Rural Area","429","1","1","1"
"No","1988","vocational + Abi","Urban Area","97","1","1","1"
"No","1988","vocational + Abi","Rural Area","13","","",""
"No","1988","higher vocational","Urban Area","166","1","1","1"
"No","1988","higher vocational","Rural Area","47","1","1","1"
"No","1988","higher education","Urban Area","252","1","1","1"
"No","1988","higher education","Rural Area","58","1","1","1"
"Yes","1989","in school","Urban Area","","","",""
"Yes","1989","in school","Rural Area","","","",""
"Yes","1989","inadequately","Urban Area","","","",""
"Yes","1989","inadequately","Rural Area","","","",""
"Yes","1989","general elemantary","Urban Area","","","",""
"Yes","1989","general elemantary","Rural Area","","","",""
"Yes","1989","middle vocational","Urban Area","","","",""
"Yes","1989","middle vocational","Rural Area","","","",""
"Yes","1989","vocational + Abi","Urban Area","","","",""
"Yes","1989","vocational + Abi","Rural Area","","","",""
"Yes","1989","higher vocational","Urban Area","","","",""
"Yes","1989","higher vocational","Rural Area","","","",""
"Yes","1989","higher education","Urban Area","","","",""
"Yes","1989","higher education","Rural Area","","","",""
"No","1989","in school","Urban Area","9","","",""
"No","1989","in school","Rural Area","1","","",""
"No","1989","inadequately","Urban Area","221","1","1","1"
"No","1989","inadequately","Rural Area","40","1","1","1"
"No","1989","general elemantary","Urban Area","817","1","1","1"
"No","1989","general elemantary","Rural Area","201","1","1","1"
"No","1989","middle vocational","Urban Area","1488","1","1","1"
"No","1989","middle vocational","Rural Area","396","1","1","1"
"No","1989","vocational + Abi","Urban Area","99","1","1","1"
"No","1989","vocational + Abi","Rural Area","9","","",""
"No","1989","higher vocational","Urban Area","160","1","1","1"
"No","1989","higher vocational","Rural Area","52","1","1","1"
"No","1989","higher education","Urban Area","248","1","1","1"
"No","1989","higher education","Rural Area","48","1","1","1"
"Yes","1990","in school","Urban Area","","","",""
"Yes","1990","in school","Rural Area","","","",""
"Yes","1990","inadequately","Urban Area","","","",""
"Yes","1990","inadequately","Rural Area","","","",""
"Yes","1990","general elemantary","Urban Area","","","",""
"Yes","1990","general elemantary","Rural Area","","","",""
"Yes","1990","middle vocational","Urban Area","","","",""
"Yes","1990","middle vocational","Rural Area","","","",""
"Yes","1990","vocational + Abi","Urban Area","","","",""
"Yes","1990","vocational + Abi","Rural Area","","","",""
"Yes","1990","higher vocational","Urban Area","","","",""
"Yes","1990","higher vocational","Rural Area","","","",""
"Yes","1990","higher education","Urban Area","","","",""
"Yes","1990","higher education","Rural Area","","","",""
"No","1990","in school","Urban Area","5","","",""
"No","1990","in school","Rural Area","1","","",""
"No","1990","inadequately","Urban Area","235","1","1","1"
"No","1990","inadequately","Rural Area","36","1","1","1"
"No","1990","general elemantary","Urban Area","753","1","1","1"
"No","1990","general elemantary","Rural Area","208","1","1","1"
"No","1990","middle vocational","Urban Area","1415","1","1","1"
"No","1990","middle vocational","Rural Area","412","1","1","1"
"No","1990","vocational + Abi","Urban Area","93","1","1","1"
"No","1990","vocational + Abi","Rural Area","14","","",""
"No","1990","higher vocational","Urban Area","152","1","1","1"
"No","1990","higher vocational","Rural Area","45","1","1","1"
"No","1990","higher education","Urban Area","228","1","1","1"
"No","1990","higher education","Rural Area","39","1","1","1"
"Yes","1991","in school","Urban Area","","","",""
"Yes","1991","in school","Rural Area","","","",""
"Yes","1991","inadequately","Urban Area","","","",""
"Yes","1991","inadequately","Rural Area","","","",""
"Yes","1991","general elemantary","Urban Area","","","",""
"Yes","1991","general elemantary","Rural Area","","","",""
"Yes","1991","middle vocational","Urban Area","","","",""
"Yes","1991","middle vocational","Rural Area","","","",""
"Yes","1991","vocational + Abi","Urban Area","","","",""
"Yes","1991","vocational + Abi","Rural Area","","","",""
"Yes","1991","higher vocational","Urban Area","","","",""
"Yes","1991","higher vocational","Rural Area","","","",""
"Yes","1991","higher education","Urban Area","","","",""
"Yes","1991","higher education","Rural Area","","","",""
"No","1991","in school","Urban Area","6","","",""
"No","1991","in school","Rural Area","11","","",""
"No","1991","inadequately","Urban Area","234","1","1","1"
"No","1991","inadequately","Rural Area","40","1","1","1"
"No","1991","general elemantary","Urban Area","800","1","1","1"
"No","1991","general elemantary","Rural Area","290","1","1","1"
"No","1991","middle vocational","Urban Area","1726","1","1","1"
"No","1991","middle vocational","Rural Area","1194","1","1","1"
"No","1991","vocational + Abi","Urban Area","119","1","1","1"
"No","1991","vocational + Abi","Rural Area","41","1","1","1"
"No","1991","higher vocational","Urban Area","199","1","1","1"
"No","1991","higher vocational","Rural Area","146","1","1","1"
"No","1991","higher education","Urban Area","411","1","1","1"
"No","1991","higher education","Rural Area","313","1","1","1"
"Yes","1992","in school","Urban Area","","","",""
"Yes","1992","in school","Rural Area","","","",""
"Yes","1992","inadequately","Urban Area","","","",""
"Yes","1992","inadequately","Rural Area","","","",""
"Yes","1992","general elemantary","Urban Area","","","",""
"Yes","1992","general elemantary","Rural Area","","","",""
"Yes","1992","middle vocational","Urban Area","","","",""
"Yes","1992","middle vocational","Rural Area","","","",""
"Yes","1992","vocational + Abi","Urban Area","","","",""
"Yes","1992","vocational + Abi","Rural Area","","","",""
"Yes","1992","higher vocational","Urban Area","","","",""
"Yes","1992","higher vocational","Rural Area","","","",""
"Yes","1992","higher education","Urban Area","","","",""
"Yes","1992","higher education","Rural Area","","","",""
"No","1992","in school","Urban Area","5","","",""
"No","1992","in school","Rural Area","12","","",""
"No","1992","inadequately","Urban Area","197","1","1","1"
"No","1992","inadequately","Rural Area","40","1","1","1"
"No","1992","general elemantary","Urban Area","771","1","1","1"
"No","1992","general elemantary","Rural Area","261","1","1","1"
"No","1992","middle vocational","Urban Area","1609","1","1","1"
"No","1992","middle vocational","Rural Area","948","1","1","1"
"No","1992","vocational + Abi","Urban Area","112","1","1","1"
"No","1992","vocational + Abi","Rural Area","26","","",""
"No","1992","higher vocational","Urban Area","197","1","1","1"
"No","1992","higher vocational","Rural Area","127","1","1","1"
"No","1992","higher education","Urban Area","372","1","1","1"
"No","1992","higher education","Rural Area","230","1","1","1"
"Yes","1993","in school","Urban Area","","","",""
"Yes","1993","in school","Rural Area","","","",""
"Yes","1993","inadequately","Urban Area","","","",""
"Yes","1993","inadequately","Rural Area","","","",""
"Yes","1993","general elemantary","Urban Area","","","",""
"Yes","1993","general elemantary","Rural Area","","","",""
"Yes","1993","middle vocational","Urban Area","","","",""
"Yes","1993","middle vocational","Rural Area","","","",""
"Yes","1993","vocational + Abi","Urban Area","","","",""
"Yes","1993","vocational + Abi","Rural Area","","","",""
"Yes","1993","higher vocational","Urban Area","","","",""
"Yes","1993","higher vocational","Rural Area","","","",""
"Yes","1993","higher education","Urban Area","","","",""
"Yes","1993","higher education","Rural Area","","","",""
"No","1993","in school","Urban Area","3","","",""
"No","1993","in school","Rural Area","6","","",""
"No","1993","inadequately","Urban Area","207","1","1","1"
"No","1993","inadequately","Rural Area","39","1","1","1"
"No","1993","general elemantary","Urban Area","745","1","1","1"
"No","1993","general elemantary","Rural Area","248","1","1","1"
"No","1993","middle vocational","Urban Area","1640","1","1","1"
"No","1993","middle vocational","Rural Area","918","1","1","1"
"No","1993","vocational + Abi","Urban Area","124","1","1","1"
"No","1993","vocational + Abi","Rural Area","33","1","1","1"
"No","1993","higher vocational","Urban Area","204","1","1","1"
"No","1993","higher vocational","Rural Area","116","1","1","1"
"No","1993","higher education","Urban Area","372","1","1","1"
"No","1993","higher education","Rural Area","210","1","1","1"
"Yes","1994","in school","Urban Area","","","",""
"Yes","1994","in school","Rural Area","","","",""
"Yes","1994","inadequately","Urban Area","","","",""
"Yes","1994","inadequately","Rural Area","","","",""
"Yes","1994","general elemantary","Urban Area","","","",""
"Yes","1994","general elemantary","Rural Area","","","",""
"Yes","1994","middle vocational","Urban Area","","","",""
"Yes","1994","middle vocational","Rural Area","","","",""
"Yes","1994","vocational + Abi","Urban Area","","","",""
"Yes","1994","vocational + Abi","Rural Area","","","",""
"Yes","1994","higher vocational","Urban Area","","","",""
"Yes","1994","higher vocational","Rural Area","","","",""
"Yes","1994","higher education","Urban Area","","","",""
"Yes","1994","higher education","Rural Area","","","",""
"No","1994","in school","Urban Area","2","","",""
"No","1994","in school","Rural Area","8","","",""
"No","1994","inadequately","Urban Area","180","1","1","1"
"No","1994","inadequately","Rural Area","39","1","1","1"
"No","1994","general elemantary","Urban Area","603","1","1","1"
"No","1994","general elemantary","Rural Area","241","1","1","1"
"No","1994","middle vocational","Urban Area","1550","1","1","1"
"No","1994","middle vocational","Rural Area","828","1","1","1"
"No","1994","vocational + Abi","Urban Area","98","1","1","1"
"No","1994","vocational + Abi","Rural Area","34","1","1","1"
"No","1994","higher vocational","Urban Area","201","1","1","1"
"No","1994","higher vocational","Rural Area","122","1","1","1"
"No","1994","higher education","Urban Area","379","1","1","1"
"No","1994","higher education","Rural Area","213","1","1","1"
"Yes","1995","in school","Urban Area","","","",""
"Yes","1995","in school","Rural Area","","","",""
"Yes","1995","inadequately","Urban Area","","","",""
"Yes","1995","inadequately","Rural Area","","","",""
"Yes","1995","general elemantary","Urban Area","","","",""
"Yes","1995","general elemantary","Rural Area","","","",""
"Yes","1995","middle vocational","Urban Area","","","",""
"Yes","1995","middle vocational","Rural Area","","","",""
"Yes","1995","vocational + Abi","Urban Area","","","",""
"Yes","1995","vocational + Abi","Rural Area","","","",""
"Yes","1995","higher vocational","Urban Area","","","",""
"Yes","1995","higher vocational","Rural Area","","","",""
"Yes","1995","higher education","Urban Area","","","",""
"Yes","1995","higher education","Rural Area","","","",""
"No","1995","in school","Urban Area","6","","",""
"No","1995","in school","Rural Area","4","","",""
"No","1995","inadequately","Urban Area","154","1","1","1"
"No","1995","inadequately","Rural Area","30","1","1","1"
"No","1995","general elemantary","Urban Area","573","1","1","1"
"No","1995","general elemantary","Rural Area","235","1","1","1"
"No","1995","middle vocational","Urban Area","1483","1","1","1"
"No","1995","middle vocational","Rural Area","911","1","1","1"
"No","1995","vocational + Abi","Urban Area","122","1","1","1"
"No","1995","vocational + Abi","Rural Area","44","1","1","1"
"No","1995","higher vocational","Urban Area","177","1","1","1"
"No","1995","higher vocational","Rural Area","120","1","1","1"
"No","1995","higher education","Urban Area","404","1","1","1"
"No","1995","higher education","Rural Area","233","1","1","1"
"Yes","1996","in school","Urban Area","","","",""
"Yes","1996","in school","Rural Area","","","",""
"Yes","1996","inadequately","Urban Area","","","",""
"Yes","1996","inadequately","Rural Area","","","",""
"Yes","1996","general elemantary","Urban Area","","","",""
"Yes","1996","general elemantary","Rural Area","","","",""
"Yes","1996","middle vocational","Urban Area","","","",""
"Yes","1996","middle vocational","Rural Area","","","",""
"Yes","1996","vocational + Abi","Urban Area","","","",""
"Yes","1996","vocational + Abi","Rural Area","","","",""
"Yes","1996","higher vocational","Urban Area","","","",""
"Yes","1996","higher vocational","Rural Area","","","",""
"Yes","1996","higher education","Urban Area","","","",""
"Yes","1996","higher education","Rural Area","","","",""
"No","1996","in school","Urban Area","4","","",""
"No","1996","in school","Rural Area","1","","",""
"No","1996","inadequately","Urban Area","145","1","1","1"
"No","1996","inadequately","Rural Area","26","","",""
"No","1996","general elemantary","Urban Area","565","1","1","1"
"No","1996","general elemantary","Rural Area","235","1","1","1"
"No","1996","middle vocational","Urban Area","1451","1","1","1"
"No","1996","middle vocational","Rural Area","865","1","1","1"
"No","1996","vocational + Abi","Urban Area","116","1","1","1"
"No","1996","vocational + Abi","Rural Area","48","1","1","1"
"No","1996","higher vocational","Urban Area","173","1","1","1"
"No","1996","higher vocational","Rural Area","110","1","1","1"
"No","1996","higher education","Urban Area","400","1","1","1"
"No","1996","higher education","Rural Area","228","1","1","1"
"Yes","1997","in school","Urban Area","","","",""
"Yes","1997","in school","Rural Area","","","",""
"Yes","1997","inadequately","Urban Area","","","",""
"Yes","1997","inadequately","Rural Area","","","",""
"Yes","1997","general elemantary","Urban Area","","","",""
"Yes","1997","general elemantary","Rural Area","","","",""
"Yes","1997","middle vocational","Urban Area","","","",""
"Yes","1997","middle vocational","Rural Area","","","",""
"Yes","1997","vocational + Abi","Urban Area","","","",""
"Yes","1997","vocational + Abi","Rural Area","","","",""
"Yes","1997","higher vocational","Urban Area","","","",""
"Yes","1997","higher vocational","Rural Area","","","",""
"Yes","1997","higher education","Urban Area","","","",""
"Yes","1997","higher education","Rural Area","","","",""
"No","1997","in school","Urban Area","1","","",""
"No","1997","in school","Rural Area","1","","",""
"No","1997","inadequately","Urban Area","27","","",""
"No","1997","inadequately","Rural Area","7","","",""
"No","1997","general elemantary","Urban Area","135","1","1","1"
"No","1997","general elemantary","Rural Area","67","1","1","1"
"No","1997","middle vocational","Urban Area","468","1","1","1"
"No","1997","middle vocational","Rural Area","324","1","1","1"
"No","1997","vocational + Abi","Urban Area","41","1","1","1"
"No","1997","vocational + Abi","Rural Area","20","","",""
"No","1997","higher vocational","Urban Area","59","1","1","1"
"No","1997","higher vocational","Rural Area","48","1","1","1"
"No","1997","higher education","Urban Area","122","1","1","1"
"No","1997","higher education","Rural Area","72","1","1","1"
"Yes","1998","in school","Urban Area","","","",""
"Yes","1998","in school","Rural Area","","","",""
"Yes","1998","inadequately","Urban Area","","","",""
"Yes","1998","inadequately","Rural Area","","","",""
"Yes","1998","general elemantary","Urban Area","","","",""
"Yes","1998","general elemantary","Rural Area","","","",""
"Yes","1998","middle vocational","Urban Area","","","",""
"Yes","1998","middle vocational","Rural Area","","","",""
"Yes","1998","vocational + Abi","Urban Area","","","",""
"Yes","1998","vocational + Abi","Rural Area","","","",""
"Yes","1998","higher vocational","Urban Area","","","",""
"Yes","1998","higher vocational","Rural Area","","","",""
"Yes","1998","higher education","Urban Area","","","",""
"Yes","1998","higher education","Rural Area","","","",""
"No","1998","in school","Urban Area","","","",""
"No","1998","in school","Rural Area","1","","",""
"No","1998","inadequately","Urban Area","21","","",""
"No","1998","inadequately","Rural Area","8","","",""
"No","1998","general elemantary","Urban Area","151","1","1","1"
"No","1998","general elemantary","Rural Area","70","1","1","1"
"No","1998","middle vocational","Urban Area","465","1","1","1"
"No","1998","middle vocational","Rural Area","373","1","1","1"
"No","1998","vocational + Abi","Urban Area","33","1","1","1"
"No","1998","vocational + Abi","Rural Area","13","","",""
"No","1998","higher vocational","Urban Area","61","1","1","1"
"No","1998","higher vocational","Rural Area","47","1","1","1"
"No","1998","higher education","Urban Area","124","1","1","1"
"No","1998","higher education","Rural Area","91","1","1","1"
"Yes","1999","in school","Urban Area","","","",""
"Yes","1999","in school","Rural Area","","","",""
"Yes","1999","inadequately","Urban Area","","","",""
"Yes","1999","inadequately","Rural Area","","","",""
"Yes","1999","general elemantary","Urban Area","","","",""
"Yes","1999","general elemantary","Rural Area","","","",""
"Yes","1999","middle vocational","Urban Area","","","",""
"Yes","1999","middle vocational","Rural Area","","","",""
"Yes","1999","vocational + Abi","Urban Area","","","",""
"Yes","1999","vocational + Abi","Rural Area","","","",""
"Yes","1999","higher vocational","Urban Area","","","",""
"Yes","1999","higher vocational","Rural Area","","","",""
"Yes","1999","higher education","Urban Area","","","",""
"Yes","1999","higher education","Rural Area","","","",""
"No","1999","in school","Urban Area","","","",""
"No","1999","in school","Rural Area","1","","",""
"No","1999","inadequately","Urban Area","20","","",""
"No","1999","inadequately","Rural Area","2","","",""
"No","1999","general elemantary","Urban Area","118","1","1","1"
"No","1999","general elemantary","Rural Area","63","1","1","1"
"No","1999","middle vocational","Urban Area","462","1","1","1"
"No","1999","middle vocational","Rural Area","369","1","1","1"
"No","1999","vocational + Abi","Urban Area","35","1","1","1"
"No","1999","vocational + Abi","Rural Area","10","","",""
"No","1999","higher vocational","Urban Area","68","1","1","1"
"No","1999","higher vocational","Rural Area","35","1","1","1"
"No","1999","higher education","Urban Area","129","1","1","1"
"No","1999","higher education","Rural Area","78","1","1","1"
"Yes","2000","in school","Urban Area","","","",""
"Yes","2000","in school","Rural Area","","","",""
"Yes","2000","inadequately","Urban Area","","","",""
"Yes","2000","inadequately","Rural Area","","","",""
"Yes","2000","general elemantary","Urban Area","","","",""
"Yes","2000","general elemantary","Rural Area","","","",""
"Yes","2000","middle vocational","Urban Area","","","",""
"Yes","2000","middle vocational","Rural Area","","","",""
"Yes","2000","vocational + Abi","Urban Area","","","",""
"Yes","2000","vocational + Abi","Rural Area","","","",""
"Yes","2000","higher vocational","Urban Area","","","",""
"Yes","2000","higher vocational","Rural Area","","","",""
"Yes","2000","higher education","Urban Area","","","",""
"Yes","2000","higher education","Rural Area","","","",""
"No","2000","in school","Urban Area","1","","",""
"No","2000","in school","Rural Area","2","","",""
"No","2000","inadequately","Urban Area","15","","",""
"No","2000","inadequately","Rural Area","3","","",""
"No","2000","general elemantary","Urban Area","169","1","1","1"
"No","2000","general elemantary","Rural Area","83","1","1","1"
"No","2000","middle vocational","Urban Area","866","1","1","1"
"No","2000","middle vocational","Rural Area","583","1","1","1"
"No","2000","vocational + Abi","Urban Area","104","1","1","1"
"No","2000","vocational + Abi","Rural Area","33","1","1","1"
"No","2000","higher vocational","Urban Area","143","1","1","1"
"No","2000","higher vocational","Rural Area","87","1","1","1"
"No","2000","higher education","Urban Area","298","1","1","1"
"No","2000","higher education","Rural Area","133","1","1","1"
"Yes","2001","in school","Urban Area","","","",""
"Yes","2001","in school","Rural Area","","","",""
"Yes","2001","inadequately","Urban Area","","","",""
"Yes","2001","inadequately","Rural Area","","","",""
"Yes","2001","general elemantary","Urban Area","","","",""
"Yes","2001","general elemantary","Rural Area","","","",""
"Yes","2001","middle vocational","Urban Area","","","",""
"Yes","2001","middle vocational","Rural Area","","","",""
"Yes","2001","vocational + Abi","Urban Area","","","",""
"Yes","2001","vocational + Abi","Rural Area","","","",""
"Yes","2001","higher vocational","Urban Area","","","",""
"Yes","2001","higher vocational","Rural Area","","","",""
"Yes","2001","higher education","Urban Area","","","",""
"Yes","2001","higher education","Rural Area","","","",""
"No","2001","in school","Urban Area","4","","",""
"No","2001","in school","Rural Area","3","","",""
"No","2001","inadequately","Urban Area","14","","",""
"No","2001","inadequately","Rural Area","1","","",""
"No","2001","general elemantary","Urban Area","140","1","1","1"
"No","2001","general elemantary","Rural Area","75","1","1","1"
"No","2001","middle vocational","Urban Area","795","1","1","1"
"No","2001","middle vocational","Rural Area","546","1","1","1"
"No","2001","vocational + Abi","Urban Area","107","1","1","1"
"No","2001","vocational + Abi","Rural Area","37","1","1","1"
"No","2001","higher vocational","Urban Area","139","1","1","1"
"No","2001","higher vocational","Rural Area","75","1","1","1"
"No","2001","higher education","Urban Area","280","1","1","1"
"No","2001","higher education","Rural Area","137","1","1","1"
"Yes","2002","in school","Urban Area","10","","",""
"Yes","2002","in school","Rural Area","4","","",""
"Yes","2002","inadequately","Urban Area","17","","",""
"Yes","2002","inadequately","Rural Area","1","","",""
"Yes","2002","general elemantary","Urban Area","181","0.557207726368869","0.501914004189364","0.612501448548373"
"Yes","2002","general elemantary","Rural Area","95","0.54900396969007","0.470668880199854","0.627339059180286"
"Yes","2002","middle vocational","Urban Area","1657","0.67983380756874","0.661268942063265","0.698398673074214"
"Yes","2002","middle vocational","Rural Area","970","0.643129402641142","0.618957655770653","0.667301149511631"
"Yes","2002","vocational + Abi","Urban Area","289","0.713701812873894","0.66929247951025","0.758111146237538"
"Yes","2002","vocational + Abi","Rural Area","81","0.681867400146298","0.596370628439674","0.767364171852921"
"Yes","2002","higher vocational","Urban Area","378","0.729794830200218","0.690987718846904","0.768601941553532"
"Yes","2002","higher vocational","Rural Area","170","0.699561770708074","0.642272780345464","0.756850761070683"
"Yes","2002","higher education","Urban Area","1282","0.790793293802237","0.770869514844632","0.810717072759842"
"Yes","2002","higher education","Rural Area","459","0.780595846825143","0.747591954469879","0.813599739180408"
"No","2002","in school","Urban Area","9","","",""
"No","2002","in school","Rural Area","3","","",""
"No","2002","inadequately","Urban Area","8","","",""
"No","2002","inadequately","Rural Area","3","","",""
"No","2002","general elemantary","Urban Area","129","0.442792273631131","0.387498551451627","0.498085995810636"
"No","2002","general elemantary","Rural Area","60","0.45099603030993","0.372660940819714","0.529331119800146"
"No","2002","middle vocational","Urban Area","769","0.32016619243126","0.301601326925786","0.338731057936735"
"No","2002","middle vocational","Rural Area","539","0.356870597358858","0.332698850488369","0.381042344229347"
"No","2002","vocational + Abi","Urban Area","109","0.286298187126106","0.241888853762462","0.33070752048975"
"No","2002","vocational + Abi","Rural Area","33","0.318132599853702","0.232635828147079","0.403629371560326"
"No","2002","higher vocational","Urban Area","125","0.270205169799782","0.231398058446468","0.309012281153096"
"No","2002","higher vocational","Rural Area","76","0.300438229291926","0.243149238929317","0.357727219654536"
"No","2002","higher education","Urban Area","319","0.209206706197763","0.189282927240158","0.229130485155368"
"No","2002","higher education","Rural Area","145","0.219404153174857","0.186400260819592","0.252408045530121"
"Yes","2003","in school","Urban Area","1","","",""
"Yes","2003","in school","Rural Area","1","","",""
"Yes","2003","inadequately","Urban Area","16","","",""
"Yes","2003","inadequately","Rural Area","3","","",""
"Yes","2003","general elemantary","Urban Area","181","0.600194028631479","0.54381474343622","0.656573313826737"
"Yes","2003","general elemantary","Rural Area","91","0.587604209352162","0.511328253152309","0.663880165552014"
"Yes","2003","middle vocational","Urban Area","1574","0.677920034073192","0.658975242794432","0.696864825351952"
"Yes","2003","middle vocational","Rural Area","934","0.644842271929209","0.620029838385359","0.669654705473058"
"Yes","2003","vocational + Abi","Urban Area","292","0.680032102003909","0.634433347963507","0.72563085604431"
"Yes","2003","vocational + Abi","Rural Area","82","0.748000912333837","0.670321127129088","0.825680697538585"
"Yes","2003","higher vocational","Urban Area","361","0.739379952939241","0.700392814925862","0.778367090952621"
"Yes","2003","higher vocational","Rural Area","169","0.744807489549919","0.689765319282413","0.799849659817425"
"Yes","2003","higher education","Urban Area","1161","0.809992542191204","0.78991054325771","0.830074541124699"
"Yes","2003","higher education","Rural Area","417","0.72956731791243","0.692909145273317","0.766225490551543"
"No","2003","in school","Urban Area","1","","",""
"No","2003","in school","Rural Area","1","","",""
"No","2003","inadequately","Urban Area","10","","",""
"No","2003","inadequately","Rural Area","1","","",""
"No","2003","general elemantary","Urban Area","109","0.399805971368521","0.343426686173263","0.45618525656378"
"No","2003","general elemantary","Rural Area","69","0.412395790647838","0.336119834447986","0.488671746847691"
"No","2003","middle vocational","Urban Area","763","0.322079965926808","0.303135174648048","0.341024757205568"
"No","2003","middle vocational","Rural Area","495","0.355157728070791","0.330345294526941","0.379970161614641"
"No","2003","vocational + Abi","Urban Area","110","0.319967897996091","0.27436914395569","0.365566652036492"
"No","2003","vocational + Abi","Rural Area","38","0.251999087666163","0.174319302461415","0.329678872870912"
"No","2003","higher vocational","Urban Area","126","0.260620047060759","0.221632909047379","0.299607185074138"
"No","2003","higher vocational","Rural Area","72","0.255192510450081","0.200150340182575","0.310234680717587"
"No","2003","higher education","Urban Area","305","0.190007457808796","0.169925458875301","0.21008945674229"
"No","2003","higher education","Rural Area","147","0.27043268208757","0.233774509448457","0.307090854726683"
"Yes","2004","in school","Urban Area","2","","",""
"Yes","2004","in school","Rural Area","2","","",""
"Yes","2004","inadequately","Urban Area","13","","",""
"Yes","2004","inadequately","Rural Area","3","","",""
"Yes","2004","general elemantary","Urban Area","192","0.617575247198372","0.562490617456341","0.672659876940403"
"Yes","2004","general elemantary","Rural Area","72","0.55042656015586","0.466200651344323","0.634652468967397"
"Yes","2004","middle vocational","Urban Area","1539","0.674782572189725","0.65527819679915","0.6942869475803"
"Yes","2004","middle vocational","Rural Area","909","0.667161675249062","0.642061834395426","0.692261516102699"
"Yes","2004","vocational + Abi","Urban Area","280","0.730557378151947","0.686914523362955","0.77420023294094"
"Yes","2004","vocational + Abi","Rural Area","74","0.641392539552441","0.551358558417951","0.731426520686931"
"Yes","2004","higher vocational","Urban Area","361","0.800866943200999","0.764491402319917","0.83724248408208"
"Yes","2004","higher vocational","Rural Area","185","0.758020646233358","0.705454314140179","0.810586978326537"
