"plb0196_h","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Berlin","lower secondary degree","","","",""
"Yes","1986","Berlin","secondary school degree","","","",""
"Yes","1986","Berlin","college entrance qualification","","","",""
"Yes","1986","Berlin","Other degree","","","",""
"Yes","1986","Berlin","no degree/no degree yet","","","",""
"Yes","1986","Brandenburg","lower secondary degree","","","",""
"Yes","1986","Brandenburg","secondary school degree","","","",""
"Yes","1986","Brandenburg","college entrance qualification","","","",""
"Yes","1986","Brandenburg","Other degree","","","",""
"Yes","1986","Brandenburg","no degree/no degree yet","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Yes","1986","Saxony","lower secondary degree","","","",""
"Yes","1986","Saxony","secondary school degree","","","",""
"Yes","1986","Saxony","college entrance qualification","","","",""
"Yes","1986","Saxony","Other degree","","","",""
"Yes","1986","Saxony","no degree/no degree yet","","","",""
"Yes","1986","Saxony-Anhalt","lower secondary degree","","","",""
"Yes","1986","Saxony-Anhalt","secondary school degree","","","",""
"Yes","1986","Saxony-Anhalt","college entrance qualification","","","",""
"Yes","1986","Saxony-Anhalt","Other degree","","","",""
"Yes","1986","Saxony-Anhalt","no degree/no degree yet","","","",""
"Yes","1986","Thuringia","lower secondary degree","","","",""
"Yes","1986","Thuringia","secondary school degree","","","",""
"Yes","1986","Thuringia","college entrance qualification","","","",""
"Yes","1986","Thuringia","Other degree","","","",""
"Yes","1986","Thuringia","no degree/no degree yet","","","",""
"No","1986","Schleswig-Holstein","lower secondary degree","71","1","1","1"
"No","1986","Schleswig-Holstein","secondary school degree","25","","",""
"No","1986","Schleswig-Holstein","college entrance qualification","14","","",""
"No","1986","Schleswig-Holstein","Other degree","10","","",""
"No","1986","Schleswig-Holstein","no degree/no degree yet","4","","",""
"No","1986","Hamburg","lower secondary degree","32","1","1","1"
"No","1986","Hamburg","secondary school degree","15","","",""
"No","1986","Hamburg","college entrance qualification","13","","",""
"No","1986","Hamburg","Other degree","20","","",""
"No","1986","Hamburg","no degree/no degree yet","10","","",""
"No","1986","Lower Saxony","lower secondary degree","201","1","1","1"
"No","1986","Lower Saxony","secondary school degree","97","1","1","1"
"No","1986","Lower Saxony","college entrance qualification","48","1","1","1"
"No","1986","Lower Saxony","Other degree","32","1","1","1"
"No","1986","Lower Saxony","no degree/no degree yet","15","","",""
"No","1986","Bremen","lower secondary degree","20","","",""
"No","1986","Bremen","secondary school degree","9","","",""
"No","1986","Bremen","college entrance qualification","2","","",""
"No","1986","Bremen","Other degree","4","","",""
"No","1986","Bremen","no degree/no degree yet","","","",""
"No","1986","North Rhine-Westphalia","lower secondary degree","478","1","1","1"
"No","1986","North Rhine-Westphalia","secondary school degree","204","1","1","1"
"No","1986","North Rhine-Westphalia","college entrance qualification","148","1","1","1"
"No","1986","North Rhine-Westphalia","Other degree","174","1","1","1"
"No","1986","North Rhine-Westphalia","no degree/no degree yet","118","1","1","1"
"No","1986","Hesse","lower secondary degree","158","1","1","1"
"No","1986","Hesse","secondary school degree","70","1","1","1"
"No","1986","Hesse","college entrance qualification","47","1","1","1"
"No","1986","Hesse","Other degree","92","1","1","1"
"No","1986","Hesse","no degree/no degree yet","48","1","1","1"
"No","1986","Rhineland-Palatinate,Saarland","lower secondary degree","174","1","1","1"
"No","1986","Rhineland-Palatinate,Saarland","secondary school degree","48","1","1","1"
"No","1986","Rhineland-Palatinate,Saarland","college entrance qualification","25","","",""
"No","1986","Rhineland-Palatinate,Saarland","Other degree","23","","",""
"No","1986","Rhineland-Palatinate,Saarland","no degree/no degree yet","26","","",""
"No","1986","Baden-Württemberg","lower secondary degree","412","1","1","1"
"No","1986","Baden-Württemberg","secondary school degree","104","1","1","1"
"No","1986","Baden-Württemberg","college entrance qualification","64","1","1","1"
"No","1986","Baden-Württemberg","Other degree","172","1","1","1"
"No","1986","Baden-Württemberg","no degree/no degree yet","117","1","1","1"
"No","1986","Bavaria","lower secondary degree","394","1","1","1"
"No","1986","Bavaria","secondary school degree","139","1","1","1"
"No","1986","Bavaria","college entrance qualification","78","1","1","1"
"No","1986","Bavaria","Other degree","102","1","1","1"
"No","1986","Bavaria","no degree/no degree yet","42","1","1","1"
"No","1986","Berlin","lower secondary degree","67","1","1","1"
"No","1986","Berlin","secondary school degree","32","1","1","1"
"No","1986","Berlin","college entrance qualification","23","","",""
"No","1986","Berlin","Other degree","22","","",""
"No","1986","Berlin","no degree/no degree yet","15","","",""
"No","1986","Brandenburg","lower secondary degree","","","",""
"No","1986","Brandenburg","secondary school degree","","","",""
"No","1986","Brandenburg","college entrance qualification","","","",""
"No","1986","Brandenburg","Other degree","","","",""
"No","1986","Brandenburg","no degree/no degree yet","","","",""
"No","1986","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"No","1986","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"No","1986","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"No","1986","Mecklenburg-Western Pomerania","Other degree","","","",""
"No","1986","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"No","1986","Saxony","lower secondary degree","","","",""
"No","1986","Saxony","secondary school degree","","","",""
"No","1986","Saxony","college entrance qualification","","","",""
"No","1986","Saxony","Other degree","","","",""
"No","1986","Saxony","no degree/no degree yet","","","",""
"No","1986","Saxony-Anhalt","lower secondary degree","","","",""
"No","1986","Saxony-Anhalt","secondary school degree","","","",""
"No","1986","Saxony-Anhalt","college entrance qualification","","","",""
"No","1986","Saxony-Anhalt","Other degree","","","",""
"No","1986","Saxony-Anhalt","no degree/no degree yet","","","",""
"No","1986","Thuringia","lower secondary degree","","","",""
"No","1986","Thuringia","secondary school degree","","","",""
"No","1986","Thuringia","college entrance qualification","","","",""
"No","1986","Thuringia","Other degree","","","",""
"No","1986","Thuringia","no degree/no degree yet","","","",""
"Yes","1987","Schleswig-Holstein","lower secondary degree","","","",""
"Yes","1987","Schleswig-Holstein","secondary school degree","","","",""
"Yes","1987","Schleswig-Holstein","college entrance qualification","","","",""
"Yes","1987","Schleswig-Holstein","Other degree","","","",""
"Yes","1987","Schleswig-Holstein","no degree/no degree yet","","","",""
"Yes","1987","Hamburg","lower secondary degree","","","",""
"Yes","1987","Hamburg","secondary school degree","","","",""
"Yes","1987","Hamburg","college entrance qualification","","","",""
"Yes","1987","Hamburg","Other degree","","","",""
"Yes","1987","Hamburg","no degree/no degree yet","","","",""
"Yes","1987","Lower Saxony","lower secondary degree","","","",""
"Yes","1987","Lower Saxony","secondary school degree","","","",""
"Yes","1987","Lower Saxony","college entrance qualification","","","",""
"Yes","1987","Lower Saxony","Other degree","","","",""
"Yes","1987","Lower Saxony","no degree/no degree yet","","","",""
"Yes","1987","Bremen","lower secondary degree","","","",""
"Yes","1987","Bremen","secondary school degree","","","",""
"Yes","1987","Bremen","college entrance qualification","","","",""
"Yes","1987","Bremen","Other degree","","","",""
"Yes","1987","Bremen","no degree/no degree yet","","","",""
"Yes","1987","North Rhine-Westphalia","lower secondary degree","","","",""
"Yes","1987","North Rhine-Westphalia","secondary school degree","","","",""
"Yes","1987","North Rhine-Westphalia","college entrance qualification","","","",""
"Yes","1987","North Rhine-Westphalia","Other degree","","","",""
"Yes","1987","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Yes","1987","Hesse","lower secondary degree","","","",""
"Yes","1987","Hesse","secondary school degree","","","",""
"Yes","1987","Hesse","college entrance qualification","","","",""
"Yes","1987","Hesse","Other degree","","","",""
"Yes","1987","Hesse","no degree/no degree yet","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Yes","1987","Baden-Württemberg","lower secondary degree","","","",""
"Yes","1987","Baden-Württemberg","secondary school degree","","","",""
"Yes","1987","Baden-Württemberg","college entrance qualification","","","",""
"Yes","1987","Baden-Württemberg","Other degree","","","",""
"Yes","1987","Baden-Württemberg","no degree/no degree yet","","","",""
"Yes","1987","Bavaria","lower secondary degree","","","",""
"Yes","1987","Bavaria","secondary school degree","","","",""
"Yes","1987","Bavaria","college entrance qualification","","","",""
"Yes","1987","Bavaria","Other degree","","","",""
"Yes","1987","Bavaria","no degree/no degree yet","","","",""
"Yes","1987","Berlin","lower secondary degree","","","",""
"Yes","1987","Berlin","secondary school degree","","","",""
"Yes","1987","Berlin","college entrance qualification","","","",""
"Yes","1987","Berlin","Other degree","","","",""
"Yes","1987","Berlin","no degree/no degree yet","","","",""
"Yes","1987","Brandenburg","lower secondary degree","","","",""
"Yes","1987","Brandenburg","secondary school degree","","","",""
"Yes","1987","Brandenburg","college entrance qualification","","","",""
"Yes","1987","Brandenburg","Other degree","","","",""
"Yes","1987","Brandenburg","no degree/no degree yet","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Yes","1987","Saxony","lower secondary degree","","","",""
"Yes","1987","Saxony","secondary school degree","","","",""
"Yes","1987","Saxony","college entrance qualification","","","",""
"Yes","1987","Saxony","Other degree","","","",""
"Yes","1987","Saxony","no degree/no degree yet","","","",""
"Yes","1987","Saxony-Anhalt","lower secondary degree","","","",""
"Yes","1987","Saxony-Anhalt","secondary school degree","","","",""
"Yes","1987","Saxony-Anhalt","college entrance qualification","","","",""
"Yes","1987","Saxony-Anhalt","Other degree","","","",""
"Yes","1987","Saxony-Anhalt","no degree/no degree yet","","","",""
"Yes","1987","Thuringia","lower secondary degree","","","",""
"Yes","1987","Thuringia","secondary school degree","","","",""
"Yes","1987","Thuringia","college entrance qualification","","","",""
"Yes","1987","Thuringia","Other degree","","","",""
"Yes","1987","Thuringia","no degree/no degree yet","","","",""
"No","1987","Schleswig-Holstein","lower secondary degree","","","",""
"No","1987","Schleswig-Holstein","secondary school degree","","","",""
"No","1987","Schleswig-Holstein","college entrance qualification","","","",""
"No","1987","Schleswig-Holstein","Other degree","","","",""
"No","1987","Schleswig-Holstein","no degree/no degree yet","","","",""
"No","1987","Hamburg","lower secondary degree","","","",""
"No","1987","Hamburg","secondary school degree","","","",""
"No","1987","Hamburg","college entrance qualification","","","",""
"No","1987","Hamburg","Other degree","","","",""
"No","1987","Hamburg","no degree/no degree yet","","","",""
"No","1987","Lower Saxony","lower secondary degree","","","",""
"No","1987","Lower Saxony","secondary school degree","","","",""
"No","1987","Lower Saxony","college entrance qualification","","","",""
"No","1987","Lower Saxony","Other degree","","","",""
"No","1987","Lower Saxony","no degree/no degree yet","","","",""
"No","1987","Bremen","lower secondary degree","","","",""
"No","1987","Bremen","secondary school degree","","","",""
"No","1987","Bremen","college entrance qualification","","","",""
"No","1987","Bremen","Other degree","","","",""
"No","1987","Bremen","no degree/no degree yet","","","",""
"No","1987","North Rhine-Westphalia","lower secondary degree","","","",""
"No","1987","North Rhine-Westphalia","secondary school degree","","","",""
"No","1987","North Rhine-Westphalia","college entrance qualification","","","",""
"No","1987","North Rhine-Westphalia","Other degree","","","",""
"No","1987","North Rhine-Westphalia","no degree/no degree yet","","","",""
"No","1987","Hesse","lower secondary degree","","","",""
"No","1987","Hesse","secondary school degree","","","",""
"No","1987","Hesse","college entrance qualification","","","",""
"No","1987","Hesse","Other degree","","","",""
"No","1987","Hesse","no degree/no degree yet","","","",""
"No","1987","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"No","1987","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"No","1987","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"No","1987","Rhineland-Palatinate,Saarland","Other degree","","","",""
"No","1987","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"No","1987","Baden-Württemberg","lower secondary degree","","","",""
"No","1987","Baden-Württemberg","secondary school degree","","","",""
"No","1987","Baden-Württemberg","college entrance qualification","","","",""
"No","1987","Baden-Württemberg","Other degree","","","",""
"No","1987","Baden-Württemberg","no degree/no degree yet","","","",""
"No","1987","Bavaria","lower secondary degree","","","",""
"No","1987","Bavaria","secondary school degree","","","",""
"No","1987","Bavaria","college entrance qualification","","","",""
"No","1987","Bavaria","Other degree","","","",""
"No","1987","Bavaria","no degree/no degree yet","","","",""
"No","1987","Berlin","lower secondary degree","","","",""
"No","1987","Berlin","secondary school degree","","","",""
"No","1987","Berlin","college entrance qualification","","","",""
"No","1987","Berlin","Other degree","","","",""
"No","1987","Berlin","no degree/no degree yet","","","",""
"No","1987","Brandenburg","lower secondary degree","","","",""
"No","1987","Brandenburg","secondary school degree","","","",""
"No","1987","Brandenburg","college entrance qualification","","","",""
"No","1987","Brandenburg","Other degree","","","",""
"No","1987","Brandenburg","no degree/no degree yet","","","",""
"No","1987","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"No","1987","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"No","1987","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"No","1987","Mecklenburg-Western Pomerania","Other degree","","","",""
"No","1987","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"No","1987","Saxony","lower secondary degree","","","",""
"No","1987","Saxony","secondary school degree","","","",""
"No","1987","Saxony","college entrance qualification","","","",""
"No","1987","Saxony","Other degree","","","",""
"No","1987","Saxony","no degree/no degree yet","","","",""
"No","1987","Saxony-Anhalt","lower secondary degree","","","",""
"No","1987","Saxony-Anhalt","secondary school degree","","","",""
"No","1987","Saxony-Anhalt","college entrance qualification","","","",""
"No","1987","Saxony-Anhalt","Other degree","","","",""
"No","1987","Saxony-Anhalt","no degree/no degree yet","","","",""
"No","1987","Thuringia","lower secondary degree","","","",""
"No","1987","Thuringia","secondary school degree","","","",""
"No","1987","Thuringia","college entrance qualification","","","",""
"No","1987","Thuringia","Other degree","","","",""
"No","1987","Thuringia","no degree/no degree yet","","","",""
"Yes","1988","Schleswig-Holstein","lower secondary degree","","","",""
"Yes","1988","Schleswig-Holstein","secondary school degree","","","",""
"Yes","1988","Schleswig-Holstein","college entrance qualification","","","",""
"Yes","1988","Schleswig-Holstein","Other degree","","","",""
"Yes","1988","Schleswig-Holstein","no degree/no degree yet","","","",""
"Yes","1988","Hamburg","lower secondary degree","","","",""
"Yes","1988","Hamburg","secondary school degree","","","",""
"Yes","1988","Hamburg","college entrance qualification","","","",""
"Yes","1988","Hamburg","Other degree","","","",""
"Yes","1988","Hamburg","no degree/no degree yet","","","",""
"Yes","1988","Lower Saxony","lower secondary degree","","","",""
"Yes","1988","Lower Saxony","secondary school degree","","","",""
"Yes","1988","Lower Saxony","college entrance qualification","","","",""
"Yes","1988","Lower Saxony","Other degree","","","",""
"Yes","1988","Lower Saxony","no degree/no degree yet","","","",""
"Yes","1988","Bremen","lower secondary degree","","","",""
"Yes","1988","Bremen","secondary school degree","","","",""
"Yes","1988","Bremen","college entrance qualification","","","",""
"Yes","1988","Bremen","Other degree","","","",""
"Yes","1988","Bremen","no degree/no degree yet","","","",""
"Yes","1988","North Rhine-Westphalia","lower secondary degree","","","",""
"Yes","1988","North Rhine-Westphalia","secondary school degree","","","",""
"Yes","1988","North Rhine-Westphalia","college entrance qualification","","","",""
"Yes","1988","North Rhine-Westphalia","Other degree","","","",""
"Yes","1988","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Yes","1988","Hesse","lower secondary degree","","","",""
"Yes","1988","Hesse","secondary school degree","","","",""
"Yes","1988","Hesse","college entrance qualification","","","",""
"Yes","1988","Hesse","Other degree","","","",""
"Yes","1988","Hesse","no degree/no degree yet","","","",""
"Yes","1988","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Yes","1988","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Yes","1988","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Yes","1988","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Yes","1988","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Yes","1988","Baden-Württemberg","lower secondary degree","","","",""
"Yes","1988","Baden-Württemberg","secondary school degree","","","",""
"Yes","1988","Baden-Württemberg","college entrance qualification","","","",""
"Yes","1988","Baden-Württemberg","Other degree","","","",""
"Yes","1988","Baden-Württemberg","no degree/no degree yet","","","",""
"Yes","1988","Bavaria","lower secondary degree","","","",""
"Yes","1988","Bavaria","secondary school degree","","","",""
"Yes","1988","Bavaria","college entrance qualification","","","",""
"Yes","1988","Bavaria","Other degree","","","",""
"Yes","1988","Bavaria","no degree/no degree yet","","","",""
"Yes","1988","Berlin","lower secondary degree","","","",""
"Yes","1988","Berlin","secondary school degree","","","",""
"Yes","1988","Berlin","college entrance qualification","","","",""
"Yes","1988","Berlin","Other degree","","","",""
"Yes","1988","Berlin","no degree/no degree yet","","","",""
"Yes","1988","Brandenburg","lower secondary degree","","","",""
"Yes","1988","Brandenburg","secondary school degree","","","",""
"Yes","1988","Brandenburg","college entrance qualification","","","",""
"Yes","1988","Brandenburg","Other degree","","","",""
"Yes","1988","Brandenburg","no degree/no degree yet","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Yes","1988","Saxony","lower secondary degree","","","",""
"Yes","1988","Saxony","secondary school degree","","","",""
"Yes","1988","Saxony","college entrance qualification","","","",""
"Yes","1988","Saxony","Other degree","","","",""
"Yes","1988","Saxony","no degree/no degree yet","","","",""
"Yes","1988","Saxony-Anhalt","lower secondary degree","","","",""
"Yes","1988","Saxony-Anhalt","secondary school degree","","","",""
"Yes","1988","Saxony-Anhalt","college entrance qualification","","","",""
"Yes","1988","Saxony-Anhalt","Other degree","","","",""
"Yes","1988","Saxony-Anhalt","no degree/no degree yet","","","",""
"Yes","1988","Thuringia","lower secondary degree","","","",""
"Yes","1988","Thuringia","secondary school degree","","","",""
"Yes","1988","Thuringia","college entrance qualification","","","",""
"Yes","1988","Thuringia","Other degree","","","",""
"Yes","1988","Thuringia","no degree/no degree yet","","","",""
"No","1988","Schleswig-Holstein","lower secondary degree","59","1","1","1"
"No","1988","Schleswig-Holstein","secondary school degree","33","1","1","1"
"No","1988","Schleswig-Holstein","college entrance qualification","13","","",""
"No","1988","Schleswig-Holstein","Other degree","9","","",""
"No","1988","Schleswig-Holstein","no degree/no degree yet","3","","",""
"No","1988","Hamburg","lower secondary degree","26","","",""
"No","1988","Hamburg","secondary school degree","12","","",""
"No","1988","Hamburg","college entrance qualification","6","","",""
"No","1988","Hamburg","Other degree","12","","",""
"No","1988","Hamburg","no degree/no degree yet","4","","",""
"No","1988","Lower Saxony","lower secondary degree","194","1","1","1"
"No","1988","Lower Saxony","secondary school degree","104","1","1","1"
"No","1988","Lower Saxony","college entrance qualification","55","1","1","1"
"No","1988","Lower Saxony","Other degree","30","1","1","1"
"No","1988","Lower Saxony","no degree/no degree yet","12","","",""
"No","1988","Bremen","lower secondary degree","16","","",""
"No","1988","Bremen","secondary school degree","7","","",""
"No","1988","Bremen","college entrance qualification","2","","",""
"No","1988","Bremen","Other degree","","","",""
"No","1988","Bremen","no degree/no degree yet","1","","",""
"No","1988","North Rhine-Westphalia","lower secondary degree","425","1","1","1"
"No","1988","North Rhine-Westphalia","secondary school degree","192","1","1","1"
"No","1988","North Rhine-Westphalia","college entrance qualification","143","1","1","1"
"No","1988","North Rhine-Westphalia","Other degree","138","1","1","1"
"No","1988","North Rhine-Westphalia","no degree/no degree yet","91","1","1","1"
"No","1988","Hesse","lower secondary degree","163","1","1","1"
"No","1988","Hesse","secondary school degree","75","1","1","1"
"No","1988","Hesse","college entrance qualification","52","1","1","1"
"No","1988","Hesse","Other degree","87","1","1","1"
"No","1988","Hesse","no degree/no degree yet","42","1","1","1"
"No","1988","Rhineland-Palatinate,Saarland","lower secondary degree","159","1","1","1"
"No","1988","Rhineland-Palatinate,Saarland","secondary school degree","41","1","1","1"
"No","1988","Rhineland-Palatinate,Saarland","college entrance qualification","21","","",""
"No","1988","Rhineland-Palatinate,Saarland","Other degree","21","","",""
"No","1988","Rhineland-Palatinate,Saarland","no degree/no degree yet","20","","",""
"No","1988","Baden-Württemberg","lower secondary degree","360","1","1","1"
"No","1988","Baden-Württemberg","secondary school degree","116","1","1","1"
"No","1988","Baden-Württemberg","college entrance qualification","56","1","1","1"
"No","1988","Baden-Württemberg","Other degree","157","1","1","1"
"No","1988","Baden-Württemberg","no degree/no degree yet","103","1","1","1"
"No","1988","Bavaria","lower secondary degree","379","1","1","1"
"No","1988","Bavaria","secondary school degree","136","1","1","1"
"No","1988","Bavaria","college entrance qualification","69","1","1","1"
"No","1988","Bavaria","Other degree","98","1","1","1"
"No","1988","Bavaria","no degree/no degree yet","34","1","1","1"
"No","1988","Berlin","lower secondary degree","62","1","1","1"
"No","1988","Berlin","secondary school degree","32","1","1","1"
"No","1988","Berlin","college entrance qualification","24","","",""
"No","1988","Berlin","Other degree","25","","",""
"No","1988","Berlin","no degree/no degree yet","14","","",""
"No","1988","Brandenburg","lower secondary degree","","","",""
"No","1988","Brandenburg","secondary school degree","","","",""
"No","1988","Brandenburg","college entrance qualification","","","",""
"No","1988","Brandenburg","Other degree","","","",""
"No","1988","Brandenburg","no degree/no degree yet","","","",""
"No","1988","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"No","1988","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"No","1988","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"No","1988","Mecklenburg-Western Pomerania","Other degree","","","",""
"No","1988","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"No","1988","Saxony","lower secondary degree","","","",""
"No","1988","Saxony","secondary school degree","","","",""
"No","1988","Saxony","college entrance qualification","","","",""
"No","1988","Saxony","Other degree","","","",""
"No","1988","Saxony","no degree/no degree yet","","","",""
"No","1988","Saxony-Anhalt","lower secondary degree","","","",""
"No","1988","Saxony-Anhalt","secondary school degree","","","",""
"No","1988","Saxony-Anhalt","college entrance qualification","","","",""
"No","1988","Saxony-Anhalt","Other degree","","","",""
"No","1988","Saxony-Anhalt","no degree/no degree yet","","","",""
"No","1988","Thuringia","lower secondary degree","","","",""
"No","1988","Thuringia","secondary school degree","","","",""
"No","1988","Thuringia","college entrance qualification","","","",""
"No","1988","Thuringia","Other degree","","","",""
"No","1988","Thuringia","no degree/no degree yet","","","",""
"Yes","1989","Schleswig-Holstein","lower secondary degree","","","",""
"Yes","1989","Schleswig-Holstein","secondary school degree","","","",""
"Yes","1989","Schleswig-Holstein","college entrance qualification","","","",""
"Yes","1989","Schleswig-Holstein","Other degree","","","",""
"Yes","1989","Schleswig-Holstein","no degree/no degree yet","","","",""
"Yes","1989","Hamburg","lower secondary degree","","","",""
"Yes","1989","Hamburg","secondary school degree","","","",""
"Yes","1989","Hamburg","college entrance qualification","","","",""
"Yes","1989","Hamburg","Other degree","","","",""
"Yes","1989","Hamburg","no degree/no degree yet","","","",""
"Yes","1989","Lower Saxony","lower secondary degree","","","",""
"Yes","1989","Lower Saxony","secondary school degree","","","",""
"Yes","1989","Lower Saxony","college entrance qualification","","","",""
"Yes","1989","Lower Saxony","Other degree","","","",""
"Yes","1989","Lower Saxony","no degree/no degree yet","","","",""
"Yes","1989","Bremen","lower secondary degree","","","",""
"Yes","1989","Bremen","secondary school degree","","","",""
"Yes","1989","Bremen","college entrance qualification","","","",""
"Yes","1989","Bremen","Other degree","","","",""
"Yes","1989","Bremen","no degree/no degree yet","","","",""
"Yes","1989","North Rhine-Westphalia","lower secondary degree","","","",""
"Yes","1989","North Rhine-Westphalia","secondary school degree","","","",""
"Yes","1989","North Rhine-Westphalia","college entrance qualification","","","",""
"Yes","1989","North Rhine-Westphalia","Other degree","","","",""
"Yes","1989","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Yes","1989","Hesse","lower secondary degree","","","",""
"Yes","1989","Hesse","secondary school degree","","","",""
"Yes","1989","Hesse","college entrance qualification","","","",""
"Yes","1989","Hesse","Other degree","","","",""
"Yes","1989","Hesse","no degree/no degree yet","","","",""
"Yes","1989","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Yes","1989","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
