"plb0196_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","1986","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","1986","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","1986","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","1986","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","1986","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","1986","no degree/no degree yet","(3a) lower tertiary education","","","",""
"No","1986","no degree/no degree yet","(3b) higher tertiary education","1","","",""
"Yes","1987","lower secondary degree","(0) in school","","","",""
"Yes","1987","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","1987","lower secondary degree","(1b) general elementary school","","","",""
"Yes","1987","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes","1987","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","1987","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","1987","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes","1987","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes","1987","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes","1987","secondary school degree","(0) in school","","","",""
"Yes","1987","secondary school degree","(1a) inadequately completed","","","",""
"Yes","1987","secondary school degree","(1b) general elementary school","","","",""
"Yes","1987","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","1987","secondary school degree","(2b) intermediate general qualification","","","",""
"Yes","1987","secondary school degree","(2a) intermediate vocational","","","",""
"Yes","1987","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","1987","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","secondary school degree","(3a) lower tertiary education","","","",""
"Yes","1987","secondary school degree","(3b) higher tertiary education","","","",""
"Yes","1987","college entrance qualification","(0) in school","","","",""
"Yes","1987","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","1987","college entrance qualification","(1b) general elementary school","","","",""
"Yes","1987","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","1987","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","1987","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","1987","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Yes","1987","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","college entrance qualification","(3a) lower tertiary education","","","",""
"Yes","1987","college entrance qualification","(3b) higher tertiary education","","","",""
"Yes","1987","Other degree","(0) in school","","","",""
"Yes","1987","Other degree","(1a) inadequately completed","","","",""
"Yes","1987","Other degree","(1b) general elementary school","","","",""
"Yes","1987","Other degree","(1c) basic vocational qualification","","","",""
"Yes","1987","Other degree","(2b) intermediate general qualification","","","",""
"Yes","1987","Other degree","(2a) intermediate vocational","","","",""
"Yes","1987","Other degree","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Other degree","(3a) lower tertiary education","","","",""
"Yes","1987","Other degree","(3b) higher tertiary education","","","",""
"Yes","1987","no degree/no degree yet","(0) in school","","","",""
"Yes","1987","no degree/no degree yet","(1a) inadequately completed","","","",""
"Yes","1987","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","1987","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","1987","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","1987","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","1987","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","1987","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","1987","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","1987","lower secondary degree","(0) in school","","","",""
"No","1987","lower secondary degree","(1a) inadequately completed","","","",""
"No","1987","lower secondary degree","(1b) general elementary school","","","",""
"No","1987","lower secondary degree","(1c) basic vocational qualification","","","",""
"No","1987","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","1987","lower secondary degree","(2a) intermediate vocational","","","",""
"No","1987","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"No","1987","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"No","1987","lower secondary degree","(3a) lower tertiary education","","","",""
"No","1987","lower secondary degree","(3b) higher tertiary education","","","",""
"No","1987","secondary school degree","(0) in school","","","",""
"No","1987","secondary school degree","(1a) inadequately completed","","","",""
"No","1987","secondary school degree","(1b) general elementary school","","","",""
"No","1987","secondary school degree","(1c) basic vocational qualification","","","",""
"No","1987","secondary school degree","(2b) intermediate general qualification","","","",""
"No","1987","secondary school degree","(2a) intermediate vocational","","","",""
"No","1987","secondary school degree","(2c_gen) general maturity certificate","","","",""
"No","1987","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"No","1987","secondary school degree","(3a) lower tertiary education","","","",""
"No","1987","secondary school degree","(3b) higher tertiary education","","","",""
"No","1987","college entrance qualification","(0) in school","","","",""
"No","1987","college entrance qualification","(1a) inadequately completed","","","",""
"No","1987","college entrance qualification","(1b) general elementary school","","","",""
"No","1987","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","1987","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","1987","college entrance qualification","(2a) intermediate vocational","","","",""
"No","1987","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"No","1987","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"No","1987","college entrance qualification","(3a) lower tertiary education","","","",""
"No","1987","college entrance qualification","(3b) higher tertiary education","","","",""
"No","1987","Other degree","(0) in school","","","",""
"No","1987","Other degree","(1a) inadequately completed","","","",""
"No","1987","Other degree","(1b) general elementary school","","","",""
"No","1987","Other degree","(1c) basic vocational qualification","","","",""
"No","1987","Other degree","(2b) intermediate general qualification","","","",""
"No","1987","Other degree","(2a) intermediate vocational","","","",""
"No","1987","Other degree","(2c_gen) general maturity certificate","","","",""
"No","1987","Other degree","(2c_voc) vocational maturity certificate","","","",""
"No","1987","Other degree","(3a) lower tertiary education","","","",""
"No","1987","Other degree","(3b) higher tertiary education","","","",""
"No","1987","no degree/no degree yet","(0) in school","","","",""
"No","1987","no degree/no degree yet","(1a) inadequately completed","","","",""
"No","1987","no degree/no degree yet","(1b) general elementary school","","","",""
"No","1987","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","1987","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","1987","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","1987","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","1987","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","1987","no degree/no degree yet","(3a) lower tertiary education","","","",""
"No","1987","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes","1988","lower secondary degree","(0) in school","","","",""
"Yes","1988","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","1988","lower secondary degree","(1b) general elementary school","","","",""
"Yes","1988","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes","1988","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","1988","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","1988","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes","1988","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes","1988","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes","1988","secondary school degree","(0) in school","","","",""
"Yes","1988","secondary school degree","(1a) inadequately completed","","","",""
"Yes","1988","secondary school degree","(1b) general elementary school","","","",""
"Yes","1988","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","1988","secondary school degree","(2b) intermediate general qualification","","","",""
"Yes","1988","secondary school degree","(2a) intermediate vocational","","","",""
"Yes","1988","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","1988","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","secondary school degree","(3a) lower tertiary education","","","",""
"Yes","1988","secondary school degree","(3b) higher tertiary education","","","",""
"Yes","1988","college entrance qualification","(0) in school","","","",""
"Yes","1988","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","1988","college entrance qualification","(1b) general elementary school","","","",""
"Yes","1988","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","1988","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","1988","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","1988","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Yes","1988","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","college entrance qualification","(3a) lower tertiary education","","","",""
"Yes","1988","college entrance qualification","(3b) higher tertiary education","","","",""
"Yes","1988","Other degree","(0) in school","","","",""
"Yes","1988","Other degree","(1a) inadequately completed","","","",""
"Yes","1988","Other degree","(1b) general elementary school","","","",""
"Yes","1988","Other degree","(1c) basic vocational qualification","","","",""
"Yes","1988","Other degree","(2b) intermediate general qualification","","","",""
"Yes","1988","Other degree","(2a) intermediate vocational","","","",""
"Yes","1988","Other degree","(2c_gen) general maturity certificate","","","",""
"Yes","1988","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","Other degree","(3a) lower tertiary education","","","",""
"Yes","1988","Other degree","(3b) higher tertiary education","","","",""
"Yes","1988","no degree/no degree yet","(0) in school","","","",""
"Yes","1988","no degree/no degree yet","(1a) inadequately completed","","","",""
"Yes","1988","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","1988","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","1988","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","1988","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","1988","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","1988","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","1988","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","1988","lower secondary degree","(0) in school","","","",""
"No","1988","lower secondary degree","(1a) inadequately completed","","","",""
"No","1988","lower secondary degree","(1b) general elementary school","586","1","1","1"
"No","1988","lower secondary degree","(1c) basic vocational qualification","1244","1","1","1"
"No","1988","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","1988","lower secondary degree","(2a) intermediate vocational","","","",""
"No","1988","lower secondary degree","(2c_gen) general maturity certificate","3","","",""
"No","1988","lower secondary degree","(2c_voc) vocational maturity certificate","6","","",""
"No","1988","lower secondary degree","(3a) lower tertiary education","4","","",""
"No","1988","lower secondary degree","(3b) higher tertiary education","","","",""
"No","1988","secondary school degree","(0) in school","","","",""
"No","1988","secondary school degree","(1a) inadequately completed","","","",""
"No","1988","secondary school degree","(1b) general elementary school","","","",""
"No","1988","secondary school degree","(1c) basic vocational qualification","","","",""
"No","1988","secondary school degree","(2b) intermediate general qualification","177","1","1","1"
"No","1988","secondary school degree","(2a) intermediate vocational","542","1","1","1"
"No","1988","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"No","1988","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"No","1988","secondary school degree","(3a) lower tertiary education","21","","",""
"No","1988","secondary school degree","(3b) higher tertiary education","7","","",""
"No","1988","college entrance qualification","(0) in school","","","",""
"No","1988","college entrance qualification","(1a) inadequately completed","","","",""
"No","1988","college entrance qualification","(1b) general elementary school","","","",""
"No","1988","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","1988","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","1988","college entrance qualification","(2a) intermediate vocational","","","",""
"No","1988","college entrance qualification","(2c_gen) general maturity certificate","76","1","1","1"
"No","1988","college entrance qualification","(2c_voc) vocational maturity certificate","106","1","1","1"
"No","1988","college entrance qualification","(3a) lower tertiary education","66","1","1","1"
"No","1988","college entrance qualification","(3b) higher tertiary education","193","1","1","1"
"No","1988","Other degree","(0) in school","","","",""
"No","1988","Other degree","(1a) inadequately completed","","","",""
"No","1988","Other degree","(1b) general elementary school","301","1","1","1"
"No","1988","Other degree","(1c) basic vocational qualification","198","1","1","1"
"No","1988","Other degree","(2b) intermediate general qualification","","","",""
"No","1988","Other degree","(2a) intermediate vocational","","","",""
"No","1988","Other degree","(2c_gen) general maturity certificate","27","","",""
"No","1988","Other degree","(2c_voc) vocational maturity certificate","35","1","1","1"
"No","1988","Other degree","(3a) lower tertiary education","","","",""
"No","1988","Other degree","(3b) higher tertiary education","16","","",""
"No","1988","no degree/no degree yet","(0) in school","5","","",""
"No","1988","no degree/no degree yet","(1a) inadequately completed","319","1","1","1"
"No","1988","no degree/no degree yet","(1b) general elementary school","","","",""
"No","1988","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","1988","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","1988","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","1988","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","1988","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","1988","no degree/no degree yet","(3a) lower tertiary education","","","",""
"No","1988","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes","1989","lower secondary degree","(0) in school","","","",""
"Yes","1989","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","1989","lower secondary degree","(1b) general elementary school","","","",""
"Yes","1989","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes","1989","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","1989","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","1989","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes","1989","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes","1989","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes","1989","secondary school degree","(0) in school","","","",""
"Yes","1989","secondary school degree","(1a) inadequately completed","","","",""
"Yes","1989","secondary school degree","(1b) general elementary school","","","",""
"Yes","1989","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","1989","secondary school degree","(2b) intermediate general qualification","","","",""
"Yes","1989","secondary school degree","(2a) intermediate vocational","","","",""
"Yes","1989","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","1989","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","secondary school degree","(3a) lower tertiary education","","","",""
"Yes","1989","secondary school degree","(3b) higher tertiary education","","","",""
"Yes","1989","college entrance qualification","(0) in school","","","",""
"Yes","1989","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","1989","college entrance qualification","(1b) general elementary school","","","",""
"Yes","1989","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","1989","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","1989","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","1989","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Yes","1989","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","college entrance qualification","(3a) lower tertiary education","","","",""
"Yes","1989","college entrance qualification","(3b) higher tertiary education","","","",""
"Yes","1989","Other degree","(0) in school","","","",""
"Yes","1989","Other degree","(1a) inadequately completed","","","",""
"Yes","1989","Other degree","(1b) general elementary school","","","",""
"Yes","1989","Other degree","(1c) basic vocational qualification","","","",""
"Yes","1989","Other degree","(2b) intermediate general qualification","","","",""
"Yes","1989","Other degree","(2a) intermediate vocational","","","",""
"Yes","1989","Other degree","(2c_gen) general maturity certificate","","","",""
"Yes","1989","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","Other degree","(3a) lower tertiary education","","","",""
"Yes","1989","Other degree","(3b) higher tertiary education","","","",""
"Yes","1989","no degree/no degree yet","(0) in school","","","",""
"Yes","1989","no degree/no degree yet","(1a) inadequately completed","","","",""
"Yes","1989","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","1989","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","1989","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","1989","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","1989","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","1989","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","1989","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","1989","lower secondary degree","(0) in school","","","",""
"No","1989","lower secondary degree","(1a) inadequately completed","","","",""
"No","1989","lower secondary degree","(1b) general elementary school","575","1","1","1"
"No","1989","lower secondary degree","(1c) basic vocational qualification","1189","1","1","1"
"No","1989","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","1989","lower secondary degree","(2a) intermediate vocational","","","",""
"No","1989","lower secondary degree","(2c_gen) general maturity certificate","5","","",""
"No","1989","lower secondary degree","(2c_voc) vocational maturity certificate","5","","",""
"No","1989","lower secondary degree","(3a) lower tertiary education","3","","",""
"No","1989","lower secondary degree","(3b) higher tertiary education","1","","",""
"No","1989","secondary school degree","(0) in school","","","",""
"No","1989","secondary school degree","(1a) inadequately completed","","","",""
"No","1989","secondary school degree","(1b) general elementary school","","","",""
"No","1989","secondary school degree","(1c) basic vocational qualification","","","",""
"No","1989","secondary school degree","(2b) intermediate general qualification","161","1","1","1"
"No","1989","secondary school degree","(2a) intermediate vocational","512","1","1","1"
"No","1989","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"No","1989","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"No","1989","secondary school degree","(3a) lower tertiary education","18","","",""
"No","1989","secondary school degree","(3b) higher tertiary education","5","","",""
"No","1989","college entrance qualification","(0) in school","","","",""
"No","1989","college entrance qualification","(1a) inadequately completed","","","",""
"No","1989","college entrance qualification","(1b) general elementary school","","","",""
"No","1989","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","1989","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","1989","college entrance qualification","(2a) intermediate vocational","","","",""
"No","1989","college entrance qualification","(2c_gen) general maturity certificate","87","1","1","1"
"No","1989","college entrance qualification","(2c_voc) vocational maturity certificate","108","1","1","1"
"No","1989","college entrance qualification","(3a) lower tertiary education","65","1","1","1"
"No","1989","college entrance qualification","(3b) higher tertiary education","181","1","1","1"
"No","1989","Other degree","(0) in school","","","",""
"No","1989","Other degree","(1a) inadequately completed","","","",""
"No","1989","Other degree","(1b) general elementary school","290","1","1","1"
"No","1989","Other degree","(1c) basic vocational qualification","178","1","1","1"
"No","1989","Other degree","(2b) intermediate general qualification","","","",""
"No","1989","Other degree","(2a) intermediate vocational","","","",""
"No","1989","Other degree","(2c_gen) general maturity certificate","22","","",""
"No","1989","Other degree","(2c_voc) vocational maturity certificate","37","1","1","1"
"No","1989","Other degree","(3a) lower tertiary education","","","",""
"No","1989","Other degree","(3b) higher tertiary education","19","","",""
"No","1989","no degree/no degree yet","(0) in school","10","","",""
"No","1989","no degree/no degree yet","(1a) inadequately completed","297","1","1","1"
"No","1989","no degree/no degree yet","(1b) general elementary school","","","",""
"No","1989","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","1989","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","1989","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","1989","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","1989","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","1989","no degree/no degree yet","(3a) lower tertiary education","","","",""
"No","1989","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes","1990","lower secondary degree","(0) in school","","","",""
"Yes","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","1990","lower secondary degree","(1b) general elementary school","","","",""
"Yes","1990","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1990","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes","1990","secondary school degree","(0) in school","","","",""
"Yes","1990","secondary school degree","(1a) inadequately completed","","","",""
"Yes","1990","secondary school degree","(1b) general elementary school","","","",""
"Yes","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","1990","secondary school degree","(2b) intermediate general qualification","","","",""
"Yes","1990","secondary school degree","(2a) intermediate vocational","","","",""
"Yes","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1990","secondary school degree","(3a) lower tertiary education","","","",""
"Yes","1990","secondary school degree","(3b) higher tertiary education","","","",""
"Yes","1990","college entrance qualification","(0) in school","","","",""
"Yes","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","1990","college entrance qualification","(1b) general elementary school","","","",""
"Yes","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","1990","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Yes","1990","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Yes","1990","college entrance qualification","(3a) lower tertiary education","","","",""
"Yes","1990","college entrance qualification","(3b) higher tertiary education","","","",""
"Yes","1990","Other degree","(0) in school","","","",""
"Yes","1990","Other degree","(1a) inadequately completed","","","",""
