"plb0196_h","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2005","direct migration background","Female","144","0.595635391839987","0.532071985047221","0.659198798632754","1"
"Yes","2005","no migration background","Female","1806","0.681568155978673","0.663763519610441","0.699372792346906","1"
"Yes","2005","indirect migration background","Male","116","0.784980645776716","0.71901418136394","0.850947110189493","1"
"Yes","2005","indirect migration background","Female","71","0.714791913621207","0.627595181050611","0.801988646191804","1"
"No","2006","no migration background","Male","878","0.258577095701085","0.244183930364378","0.272970261037792","2"
"No","2006","no migration background","Female","885","0.295373956093008","0.279076107130989","0.311671805055028","2"
"No","2006","direct migration background","Male","98","0.305291354437399","0.25731745011403","0.353265258760768","2"
"No","2006","direct migration background","Female","91","0.328743434868015","0.272291336434424","0.385195533301607","2"
"No","2006","indirect migration background","Male","30","0.272552199900298","0.201765435696856","0.34333896410374","2"
"No","2006","indirect migration background","Female","29","","","","2"
"Yes","2006","no migration background","Male","2677","0.741422904298915","0.727029738962208","0.755816069635622","1"
"Yes","2006","direct migration background","Male","256","0.694708645562601","0.646734741239232","0.74268254988597","1"
"Yes","2006","direct migration background","Female","175","0.671256565131985","0.614804466698393","0.727708663565576","1"
"Yes","2006","no migration background","Female","2125","0.704626043906991","0.688328194944972","0.720923892869011","1"
"Yes","2006","indirect migration background","Male","122","0.727447800099702","0.65666103589626","0.798234564303144","1"
"Yes","2006","indirect migration background","Female","100","0.755956638441626","0.681836678197101","0.830076598686152","1"
"No","2007","no migration background","Male","790","0.23547522067799","0.221149993107096","0.249800448248885","2"
"No","2007","no migration background","Female","804","0.283567331104961","0.266809430658661","0.30032523155126","2"
"No","2007","direct migration background","Male","75","0.235585541130695","0.188345963394718","0.282825118866671","2"
"No","2007","direct migration background","Female","62","0.271657743323179","0.211780891437713","0.331534595208644","2"
"No","2007","indirect migration background","Male","36","0.237132154020651","0.170389162248962","0.303875145792339","2"
"No","2007","indirect migration background","Female","34","0.308070693478202","0.228705062988855","0.387436323967549","2"
"Yes","2007","no migration background","Male","2580","0.76452477932201","0.750199551751115","0.778850006892904","1"
"Yes","2007","no migration background","Female","1975","0.716432668895039","0.69967476844874","0.733190569341339","1"
"Yes","2007","direct migration background","Male","235","0.764414458869305","0.717174881133329","0.811654036605281","1"
"Yes","2007","direct migration background","Female","150","0.728342256676821","0.668465404791356","0.788219108562287","1"
"Yes","2007","indirect migration background","Male","120","0.762867845979349","0.696124854207661","0.829610837751038","1"
"Yes","2007","indirect migration background","Female","96","0.691929306521798","0.612563676032451","0.771294937011145","1"
"No","2008","no migration background","Male","831","0.266318508738515","0.251119065072109","0.28151795240492","2"
"No","2008","no migration background","Female","826","0.304781400873112","0.287749654577729","0.321813147168495","2"
"No","2008","direct migration background","Male","70","0.249768783803944","0.20045493714627","0.299082630461618","2"
"No","2008","direct migration background","Female","63","0.302847543034372","0.241570595387337","0.364124490681406","2"
"No","2008","indirect migration background","Male","38","0.20629407812222","0.14217672781158","0.270411428432861","2"
"No","2008","indirect migration background","Female","38","0.250543546710927","0.173334139493786","0.327752953928069","2"
"Yes","2008","no migration background","Male","2418","0.733681491261485","0.71848204759508","0.748880934927891","1"
"Yes","2008","no migration background","Female","1980","0.695218599126888","0.678186852831505","0.712250345422272","1"
"Yes","2008","direct migration background","Male","226","0.750231216196056","0.700917369538382","0.79954506285373","1"
"Yes","2008","direct migration background","Female","153","0.697152456965628","0.635875509318594","0.758429404612663","1"
"Yes","2008","indirect migration background","Male","115","0.79370592187778","0.729588571567139","0.85782327218842","1"
"Yes","2008","indirect migration background","Female","83","0.749456453289073","0.672247046071931","0.826665860506214","1"
"No","2009","no migration background","Male","790","0.265720576558334","0.249599511331537","0.281841641785132","2"
"No","2009","no migration background","Female","755","0.31431411088544","0.29615605785562","0.332472163915259","2"
"No","2009","direct migration background","Male","83","0.319800797891006","0.258448697648068","0.381152898133944","2"
"No","2009","direct migration background","Female","56","0.380074584220365","0.308361914183291","0.451787254257438","2"
"No","2009","indirect migration background","Male","46","0.371046003753023","0.291024373866322","0.451067633639725","2"
"No","2009","indirect migration background","Female","30","0.214977439469994","0.141167963451795","0.288786915488193","2"
"Yes","2009","no migration background","Male","2094","0.734279423441666","0.718158358214869","0.750400488668463","1"
"Yes","2009","no migration background","Female","1756","0.68568588911456","0.667527836084741","0.70384394214438","1"
"Yes","2009","direct migration background","Male","139","0.680199202108994","0.618847101866056","0.741551302351932","1"
"Yes","2009","direct migration background","Female","120","0.619925415779635","0.548212745742562","0.691638085816709","1"
"Yes","2009","indirect migration background","Male","94","0.628953996246977","0.548932366360275","0.708975626133678","1"
"Yes","2009","indirect migration background","Female","89","0.785022560530006","0.711213084511807","0.858832036548205","1"
"No","2010","no migration background","Male","1146","0.30868212149458","0.294126077530973","0.323238165458188","2"
"No","2010","no migration background","Female","1095","0.337964078404894","0.321986808151288","0.3539413486585","2"
"No","2010","direct migration background","Male","137","0.26154143130199","0.222267093791487","0.300815768812492","2"
"No","2010","direct migration background","Female","94","0.358222393494423","0.301030450099529","0.415414336889318","2"
"No","2010","indirect migration background","Male","67","0.327166324571739","0.266399225075518","0.387933424067959","2"
"No","2010","indirect migration background","Female","48","0.267747937996386","0.198264842057014","0.337231033935758","2"
"Yes","2010","no migration background","Male","2723","0.69131787850542","0.676761834541812","0.705873922469027","1"
"Yes","2010","no migration background","Female","2272","0.662035921595106","0.646058651341501","0.678013191848712","1"
"Yes","2010","direct migration background","Male","344","0.73845856869801","0.699184231187507","0.777732906208513","1"
"Yes","2010","direct migration background","Female","176","0.641777606505577","0.584585663110683","0.698969549900471","1"
"Yes","2010","indirect migration background","Male","162","0.672833675428261","0.612066575932041","0.733600774924482","1"
"Yes","2010","indirect migration background","Female","108","0.732252062003614","0.662768966064242","0.801735157942986","1"
"No","2011","no migration background","Male","1101","0.242943487715085","0.230505521694512","0.255381453735658","2"
"No","2011","no migration background","Female","1180","0.285624669403245","0.271909618541071","0.299339720265419","2"
"No","2011","direct migration background","Male","138","0.244615990334664","0.208917750038579","0.280314230630748","2"
"No","2011","direct migration background","Female","93","0.246748764697017","0.201965009009638","0.291532520384397","2"
"No","2011","indirect migration background","Male","57","0.193510267054157","0.146819267459112","0.240201266649203","2"
"No","2011","indirect migration background","Female","61","0.281244222539521","0.221560991895834","0.340927453183207","2"
"Yes","2011","no migration background","Male","3466","0.757056512284915","0.744618546264342","0.769494478305488","1"
"Yes","2011","no migration background","Female","2987","0.714375330596755","0.700660279734581","0.728090381458929","1"
"Yes","2011","direct migration background","Male","419","0.755384009665336","0.719685769369252","0.791082249961421","1"
"Yes","2011","direct migration background","Female","263","0.753251235302983","0.708467479615603","0.798034990990362","1"
"Yes","2011","indirect migration background","Male","218","0.806489732945843","0.759798733350797","0.853180732540888","1"
"Yes","2011","indirect migration background","Female","157","0.718755777460479","0.659072546816793","0.778439008104166","1"
"No","2012","no migration background","Male","1192","0.269432797753002","0.256540051398755","0.282325544107248","2"
"No","2012","no migration background","Female","1293","0.293953705501299","0.280390582629682","0.307516828372916","2"
"No","2012","direct migration background","Male","163","0.324399788215046","0.285131954866659","0.363667621563434","2"
"No","2012","direct migration background","Female","140","0.355810254347205","0.309125665079719","0.402494843614691","2"
"No","2012","indirect migration background","Male","69","0.231449991171843","0.182137200409097","0.280762781934588","2"
"No","2012","indirect migration background","Female","70","0.203529254011118","0.152591381154515","0.254467126867722","2"
"Yes","2012","no migration background","Male","3357","0.730567202246998","0.717674455892752","0.743459948601245","1"
"Yes","2012","no migration background","Female","3041","0.706046294498701","0.692483171627084","0.719609417370318","1"
"Yes","2012","direct migration background","Male","383","0.675600211784954","0.636332378436566","0.714868045133341","1"
"Yes","2012","direct migration background","Female","264","0.644189745652795","0.597505156385309","0.690874334920281","1"
"Yes","2012","indirect migration background","Male","212","0.768550008828157","0.719237218065412","0.817862799590903","1"
"Yes","2012","indirect migration background","Female","170","0.796470745988881","0.745532873132277","0.847408618845485","1"
"No","2013","no migration background","Male","1068","0.267689784743148","0.254262775163157","0.281116794323139","2"
"No","2013","no migration background","Female","1144","0.278205726396451","0.264365377927524","0.292046074865378","2"
"No","2013","direct migration background","Male","353","0.294146604725964","0.268026193535395","0.320267015916533","2"
"No","2013","direct migration background","Female","255","0.305394502297563","0.274413607186251","0.336375397408874","2"
"No","2013","indirect migration background","Male","103","0.230585208844338","0.191048470858966","0.270121946829711","2"
"No","2013","indirect migration background","Female","102","0.24109239666052","0.196279782648898","0.285905010672143","2"
"Yes","2013","no migration background","Male","3109","0.732310215256852","0.718883205676861","0.745737224836843","1"
"Yes","2013","no migration background","Female","2883","0.721794273603549","0.707953925134623","0.735634622072476","1"
"Yes","2013","direct migration background","Male","816","0.705853395274036","0.679732984083467","0.731973806464605","1"
"Yes","2013","direct migration background","Female","594","0.694605497702437","0.663624602591126","0.725586392813749","1"
"Yes","2013","indirect migration background","Male","333","0.769414791155661","0.729878053170289","0.808951529141034","1"
"Yes","2013","indirect migration background","Female","248","0.758907603339479","0.714094989327857","0.803720217351102","1"
"No","2014","no migration background","Male","973","0.265392418194981","0.251436067368516","0.279348769021445","2"
"No","2014","no migration background","Female","1151","0.280131720943592","0.265919136110817","0.294344305776367","2"
"No","2014","direct migration background","Male","251","0.259083385237869","0.230879257539923","0.287287512935814","2"
"No","2014","direct migration background","Female","239","0.316541539454493","0.28158205240305","0.351501026505936","2"
"No","2014","indirect migration background","Male","84","0.235630291496796","0.191358404574892","0.2799021784187","2"
"No","2014","indirect migration background","Female","95","0.213549471313192","0.170179814491535","0.256919128134849","2"
"Yes","2014","no migration background","Male","2872","0.734607581805019","0.720651230978555","0.748563932631484","1"
"Yes","2014","no migration background","Female","2684","0.719868279056408","0.705655694223633","0.734080863889183","1"
"Yes","2014","direct migration background","Male","676","0.740916614762132","0.712712487064186","0.769120742460077","1"
"Yes","2014","direct migration background","Female","441","0.683458460545507","0.648498973494064","0.71841794759695","1"
"Yes","2014","indirect migration background","Male","269","0.764369708503204","0.7200978215813","0.808641595425108","1"
"Yes","2014","indirect migration background","Female","248","0.786450528686808","0.743080871865151","0.829820185508465","1"
"No","2015","no migration background","Male","790","0.237830464497017","0.223893665197842","0.251767263796192","2"
"No","2015","no migration background","Female","821","0.234396576426261","0.220457504761912","0.248335648090611","2"
"No","2015","direct migration background","Male","265","0.237549794027429","0.211534148542434","0.263565439512424","2"
"No","2015","direct migration background","Female","211","0.24382123425439","0.212925811660175","0.274716656848604","2"
"No","2015","indirect migration background","Male","86","0.281590039256039","0.232989066836423","0.330191011675654","2"
"No","2015","indirect migration background","Female","75","0.169153458213006","0.126373738793713","0.211933177632299","2"
"Yes","2015","no migration background","Male","2795","0.762169535502983","0.748232736203808","0.776106334802158","1"
"Yes","2015","no migration background","Female","2727","0.765603423573739","0.751664351909389","0.779542495238088","1"
"Yes","2015","direct migration background","Male","763","0.762450205972571","0.736434560487576","0.788465851457566","1"
"Yes","2015","direct migration background","Female","531","0.75617876574561","0.725283343151396","0.787074188339825","1"
"Yes","2015","indirect migration background","Male","243","0.718409960743961","0.669808988324346","0.767010933163577","1"
"Yes","2015","indirect migration background","Female","220","0.830846541786994","0.788066822367701","0.873626261206287","1"
"No","2016","no migration background","Male","714","0.221529568234022","0.207513015367867","0.235546121100178","2"
"No","2016","no migration background","Female","896","0.2499268670095","0.235658021412726","0.264195712606275","2"
"No","2016","direct migration background","Male","225","0.26535261217911","0.235861057443962","0.294844166914259","2"
"No","2016","direct migration background","Female","177","0.235293967108302","0.203574756047467","0.267013178169137","2"
"No","2016","indirect migration background","Male","63","0.244644663020005","0.194997393177636","0.294291932862375","2"
"No","2016","indirect migration background","Female","81","0.21768200734566","0.171520303599861","0.263843711091459","2"
"Yes","2016","no migration background","Male","2658","0.778470431765978","0.764453878899822","0.792486984632133","1"
"Yes","2016","no migration background","Female","2641","0.7500731329905","0.735804287393725","0.764341978587274","1"
"Yes","2016","direct migration background","Male","636","0.73464738782089","0.705155833085741","0.764138942556038","1"
"Yes","2016","direct migration background","Female","510","0.764706032891698","0.732986821830863","0.796425243952533","1"
"Yes","2016","indirect migration background","Male","225","0.755355336979995","0.705708067137626","0.805002606822364","1"
"Yes","2016","indirect migration background","Female","226","0.78231799265434","0.736156288908541","0.828479696400139","1"
"No","2017","no migration background","Male","844","0.222518713966521","0.209253848752008","0.235783579181034","2"
"No","2017","no migration background","Female","969","0.254891530599303","0.241163003101988","0.268620058096618","2"
"No","2017","direct migration background","Male","239","0.252308766950167","0.224088916386075","0.28052861751426","2"
"No","2017","direct migration background","Female","165","0.218266205597096","0.18595962736516","0.250572783829032","2"
"No","2017","indirect migration background","Male","69","0.261696597592689","0.212366196751621","0.311026998433758","2"
"No","2017","indirect migration background","Female","79","0.241379494769569","0.193355238596479","0.289403750942659","2"
"Yes","2017","no migration background","Male","2933","0.777481286033479","0.764216420818966","0.790746151247992","1"
"Yes","2017","no migration background","Female","2902","0.745108469400697","0.731379941903382","0.758836996898012","1"
"Yes","2017","direct migration background","Male","671","0.747691233049833","0.71947138248574","0.775911083613925","1"
"Yes","2017","direct migration background","Female","463","0.781733794402904","0.749427216170968","0.81404037263484","1"
"Yes","2017","indirect migration background","Male","236","0.738303402407311","0.688973001566242","0.787633803248379","1"
"Yes","2017","indirect migration background","Female","226","0.758620505230431","0.710596249057341","0.806644761403521","1"
"No","2018","no migration background","Male","956","0.241525748742954","0.22796185088193","0.255089646603978","2"
"No","2018","no migration background","Female","1082","0.260436763114303","0.246767682655755","0.274105843572851","2"
"No","2018","direct migration background","Male","319","0.237633253306939","0.212468955044783","0.262797551569094","2"
"No","2018","direct migration background","Female","210","0.292058402964085","0.258228408677385","0.325888397250785","2"
"No","2018","indirect migration background","Male","65","0.167677271065888","0.127248164411518","0.208106377720259","2"
"No","2018","indirect migration background","Female","94","0.261134598570254","0.214237279756798","0.308031917383711","2"
"Yes","2018","no migration background","Male","2869","0.758474251257046","0.744910353396022","0.77203814911807","1"
"Yes","2018","no migration background","Female","2878","0.739563236885697","0.725894156427149","0.753232317344245","1"
"Yes","2018","direct migration background","Female","484","0.707941597035915","0.674111602749215","0.741771591322615","1"
"Yes","2018","direct migration background","Male","780","0.762366746693061","0.737202448430906","0.787531044955217","1"
"Yes","2018","indirect migration background","Male","263","0.832322728934112","0.791893622279741","0.872751835588482","1"
