"plb0196_h","year","sampreg","n","percent","lower_confidence","upper_confidence"
"No","1999","West Germany","947","1","1","1"
"No","1999","East Germany","466","1","1","1"
"Yes","2000","West Germany","","","",""
"Yes","2000","East Germany","","","",""
"No","2000","West Germany","1841","1","1","1"
"No","2000","East Germany","681","1","1","1"
"Yes","2001","West Germany","","","",""
"Yes","2001","East Germany","","","",""
"No","2001","West Germany","1725","1","1","1"
"No","2001","East Germany","634","1","1","1"
"Yes","2002","West Germany","4283","0.700475961249696","0.688871406733102","0.712080515766291"
"Yes","2002","East Germany","1329","0.657491834462253","0.636525805054114","0.678457863870392"
"No","2002","West Germany","1702","0.299524038750304","0.287919484233709","0.311128593266898"
"No","2002","East Germany","639","0.342508165537747","0.321542136129608","0.363474194945886"
"Yes","2003","West Germany","4038","0.703123138675739","0.691279971359017","0.714966305992461"
"Yes","2003","East Germany","1279","0.668770561051894","0.647398583872959","0.69014253823083"
"No","2003","West Germany","1679","0.296876861324261","0.285033694007539","0.308720028640983"
"No","2003","East Germany","584","0.331229438948106","0.30985746176917","0.352601416127041"
"Yes","2004","West Germany","3927","0.703559011472011","0.691476410556942","0.71564161238708"
"Yes","2004","East Germany","1255","0.682873352952406","0.661434810550716","0.704311895354095"
"No","2004","West Germany","1561","0.296440988527989","0.28435838761292","0.308523589443058"
"No","2004","East Germany","555","0.317126647047594","0.295688104645905","0.338565189449284"
"Yes","2005","West Germany","3659","0.707203114518095","0.694684894135634","0.719721334900555"
"Yes","2005","East Germany","1153","0.663160762868471","0.640634090844437","0.685687434892506"
"No","2005","West Germany","1417","0.292796885481905","0.280278665099444","0.305315105864366"
"No","2005","East Germany","538","0.336839237131529","0.314312565107494","0.359365909155563"
"Yes","2006","West Germany","4168","0.729299544977466","0.717710793182776","0.740888296772156"
"Yes","2006","East Germany","1287","0.690536802672286","0.669293127097357","0.711780478247215"
"No","2006","West Germany","1479","0.270700455022534","0.259111703227844","0.282289206817224"
"No","2006","East Germany","532","0.309463197327714","0.288219521752785","0.330706872902643"
"Yes","2007","West Germany","3912","0.756807171238981","0.745122000312642","0.768492342165321"
"Yes","2007","East Germany","1244","0.68732560365959","0.6657835284357","0.708867678883479"
"No","2007","West Germany","1266","0.243192828761019","0.231507657834679","0.254877999687358"
"No","2007","East Germany","535","0.31267439634041","0.291132321116521","0.3342164715643"
"Yes","2008","West Germany","3759","0.730664995154477","0.718493586101495","0.742836404207459"
"Yes","2008","East Germany","1216","0.677592478893192","0.655618430552531","0.699566527233853"
"No","2008","West Germany","1344","0.269335004845523","0.257163595792541","0.281506413898505"
"No","2008","East Germany","522","0.322407521106808","0.300433472766147","0.344381569447469"
"Yes","2009","West Germany","3204","0.713181927268492","0.699938130575123","0.726425723961861"
"Yes","2009","East Germany","1088","0.675941861641589","0.652805878546311","0.699077844736866"
"No","2009","West Germany","1276","0.286818072731508","0.273574276038139","0.300061869424877"
"No","2009","East Germany","484","0.324058138358411","0.300922155263134","0.347194121453689"
"Yes","2010","West Germany","4479","0.686030728478392","0.674699273378161","0.697362183578623"
"Yes","2010","East Germany","1306","0.655900643186978","0.634694800513366","0.67710648586059"
"No","2010","West Germany","1965","0.313969271521608","0.302637816421377","0.325300726621839"
"No","2010","East Germany","622","0.344099356813022","0.32289351413941","0.365305199486634"
"Yes","2011","West Germany","5910","0.749529864723072","0.739953541751468","0.759106187694677"
"Yes","2011","East Germany","1600","0.703199001345185","0.684430319877531","0.721967682812838"
"No","2011","West Germany","1954","0.250470135276927","0.240893812305323","0.260046458248532"
"No","2011","East Germany","676","0.296800998654816","0.278032317187162","0.315569680122469"
"Yes","2012","West Germany","5856","0.724976955108995","0.715248587686261","0.734705322531728"
"Yes","2012","East Germany","1571","0.673819649586188","0.654495582208799","0.693143716963577"
"No","2012","West Germany","2237","0.275023044891005","0.265294677468272","0.284751412313739"
"No","2012","East Germany","690","0.326180350413812","0.306856283036423","0.345504417791201"
"Yes","2013","West Germany","6451","0.731142362417788","0.721902066342176","0.740382658493399"
"Yes","2013","East Germany","1532","0.704114507520319","0.684883459822948","0.72334555521769"
"No","2013","West Germany","2393","0.268857637582212","0.259617341506601","0.278097933657824"
"No","2013","East Germany","632","0.295885492479681","0.27665444478231","0.315116540177052"
"Yes","2014","West Germany","5767","0.736983640384726","0.727326891552655","0.746640389216797"
"Yes","2014","East Germany","1423","0.694540978597203","0.674344494848306","0.7147374623461"
"No","2014","West Germany","2218","0.263016359615274","0.253359610783203","0.272673108447345"
"No","2014","East Germany","575","0.305459021402797","0.2852625376539","0.325655505151694"
"Yes","2015","West Germany","5889","0.771112931579495","0.761701729147905","0.780524134011086"
"Yes","2015","East Germany","1390","0.727491055112101","0.707321357890363","0.747660752333839"
"No","2015","West Germany","1766","0.228887068420505","0.219475865988914","0.238298270852095"
"No","2015","East Germany","482","0.272508944887899","0.252339247666161","0.292678642109637"
"Yes","2016","West Germany","5543","0.770815522063197","0.761123217592134","0.78050782653426"
"Yes","2016","East Germany","1353","0.728207252130004","0.707813063709458","0.74860144055055"
"No","2016","West Germany","1681","0.229184477936803","0.21949217346574","0.238876782407866"
"No","2016","East Germany","475","0.271792747869996","0.25139855944945","0.292186936290542"
"Yes","2017","West Germany","5980","0.76255661547719","0.753117700264967","0.771995530689413"
"Yes","2017","East Germany","1451","0.758161873544649","0.739343847957929","0.776979899131368"
"No","2017","West Germany","1827","0.23744338452281","0.228004469310587","0.246882299735033"
"No","2017","East Germany","538","0.241838126455351","0.223020100868631","0.260656152042071"
"Yes","2018","West Germany","6083","0.75764066800078","0.748355144205838","0.766926191795721"
"Yes","2018","East Germany","1434","0.717090343991179","0.697649523815501","0.736531164166857"
"No","2018","West Germany","2098","0.24235933199922","0.233073808204279","0.251644855794162"
"No","2018","East Germany","628","0.282909656008821","0.263468835833143","0.302350476184499"
"Yes","2019","West Germany","5596","0.774918263456099","0.765373727258644","0.784462799653554"
"Yes","2019","East Germany","1422","0.733174076857312","0.71327570476252","0.753072448952104"
"No","2019","West Germany","1759","0.225081736543901","0.215537200346446","0.234626272741356"
"No","2019","East Germany","476","0.266825923142688","0.246927551047896","0.28672429523748"
