"plb0196_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2013","Rural Area","West Germany","710","0.310006933506782","0.29153817264521","0.328475694368354"
"No","2013","Rural Area","East Germany","407","0.307771700603656","0.283094978303738","0.332448422903574"
"Yes","2014","Urban Area","West Germany","4210","0.751235004513042","0.740073921868791","0.762396087157293"
"Yes","2014","Urban Area","East Germany","560","0.722984175625049","0.691040925418147","0.754927425831951"
"Yes","2014","Rural Area","West Germany","1557","0.694070037156307","0.674910336528392","0.713229737784222"
"Yes","2014","Rural Area","East Germany","863","0.676164485411471","0.650161314124752","0.702167656698191"
"No","2014","Urban Area","West Germany","1553","0.248764995486958","0.237603912842707","0.259926078131209"
"No","2014","Urban Area","East Germany","194","0.277015824374951","0.245072574168049","0.308959074581853"
"No","2014","Rural Area","West Germany","665","0.305929962843693","0.286770262215778","0.325089663471608"
"No","2014","Rural Area","East Germany","381","0.323835514588529","0.297832343301809","0.349838685875248"
"Yes","2015","Urban Area","West Germany","4226","0.780195807510223","0.769177167655966","0.791214447364481"
"Yes","2015","Urban Area","East Germany","548","0.716869960165598","0.684188622285258","0.749551298045938"
"Yes","2015","Rural Area","West Germany","1663","0.746134369526779","0.728066641955322","0.764202097098235"
"Yes","2015","Rural Area","East Germany","842","0.7351086799303","0.709515474758999","0.760701885101601"
"No","2015","Urban Area","West Germany","1200","0.219804192489777","0.208785552635519","0.230822832344034"
"No","2015","Urban Area","East Germany","182","0.283130039834402","0.250448701954062","0.315811377714742"
"No","2015","Rural Area","West Germany","566","0.253865630473221","0.235797902901765","0.271933358044678"
"No","2015","Rural Area","East Germany","300","0.2648913200697","0.239298114898399","0.290484525241001"
"Yes","2016","Urban Area","West Germany","4006","0.776994665717071","0.765665485660236","0.788323845773907"
"Yes","2016","Urban Area","East Germany","520","0.776906727395325","0.745615592640399","0.80819786215025"
"Yes","2016","Rural Area","West Germany","1537","0.752624749134948","0.733891488618623","0.771358009651274"
"Yes","2016","Rural Area","East Germany","833","0.696589832293113","0.669996009056678","0.723183655529548"
"No","2016","Urban Area","West Germany","1180","0.223005334282929","0.211676154226093","0.234334514339764"
"No","2016","Urban Area","East Germany","160","0.223093272604675","0.19180213784975","0.254384407359601"
"No","2016","Rural Area","West Germany","501","0.247375250865052","0.228641990348726","0.266108511381377"
"No","2016","Rural Area","East Germany","315","0.303410167706887","0.276816344470452","0.330003990943322"
"Yes","2017","Urban Area","West Germany","4277","0.767505995472673","0.756390556153353","0.778621434791994"
"Yes","2017","Urban Area","East Germany","533","0.808123789877961","0.779056600215879","0.837190979540044"
"Yes","2017","Rural Area","West Germany","1703","0.748510545128896","0.73061895968266","0.766402130575133"
"Yes","2017","Rural Area","East Germany","918","0.728454274596009","0.704127293787476","0.752781255404542"
"No","2017","Urban Area","West Germany","1271","0.232494004527326","0.221378565208006","0.243609443846647"
"No","2017","Urban Area","East Germany","172","0.191876210122039","0.162809020459956","0.220943399784121"
"No","2017","Rural Area","West Germany","556","0.251489454871104","0.233597869424867","0.26938104031734"
"No","2017","Rural Area","East Germany","366","0.271545725403991","0.247218744595458","0.295872706212524"
"Yes","2018","Urban Area","West Germany","4384","0.767964900323449","0.757151326236141","0.778778474410757"
"Yes","2018","Urban Area","East Germany","523","0.734943348850528","0.70335595870173","0.766530738999326"
"Yes","2018","Rural Area","West Germany","1699","0.728037487607968","0.709958200868024","0.746116774347912"
"Yes","2018","Rural Area","East Germany","911","0.70577266322919","0.681114819251999","0.730430507206381"
"No","2018","Urban Area","West Germany","1470","0.232035099676551","0.221221525589243","0.242848673763859"
"No","2018","Urban Area","East Germany","227","0.265056651149472","0.233469261000674","0.29664404129827"
"No","2018","Rural Area","West Germany","628","0.271962512392032","0.253883225652088","0.290041799131976"
"No","2018","Rural Area","East Germany","401","0.29422733677081","0.269569492793619","0.318885180748001"
"Yes","2019","Urban Area","West Germany","3787","0.787590090455683","0.776201662724609","0.798978518186757"
"Yes","2019","Urban Area","East Germany","423","0.760705699042199","0.725368787426402","0.796042610657997"
"Yes","2019","Rural Area","West Germany","1555","0.751701518028364","0.73299069631018","0.770412339746548"
"Yes","2019","Rural Area","East Germany","888","0.71702445909725","0.691463961519873","0.742584956674626"
"No","2019","Urban Area","West Germany","1168","0.212409909544317","0.201021481813243","0.223798337275391"
"No","2019","Urban Area","East Germany","137","0.239294300957801","0.203957389342003","0.274631212573598"
"No","2019","Rural Area","West Germany","493","0.248298481971636","0.229587660253452","0.26700930368982"
"No","2019","Rural Area","East Germany","305","0.28297554090275","0.257415043325374","0.308536038480127"
