"plb0196_h","year","migback","n","percent","lower_confidence","upper_confidence"
"No","1997","no migration background","1121","1","1","1"
"No","1997","direct migration background","240","1","1","1"
"No","1997","indirect migration background","65","1","1","1"
"Yes","1998","no migration background","","","",""
"Yes","1998","direct migration background","","","",""
"Yes","1998","indirect migration background","","","",""
"No","1998","no migration background","1252","1","1","1"
"No","1998","direct migration background","205","1","1","1"
"No","1998","indirect migration background","48","1","1","1"
"Yes","1999","no migration background","","","",""
"Yes","1999","direct migration background","","","",""
"Yes","1999","indirect migration background","","","",""
"No","1999","no migration background","1187","1","1","1"
"No","1999","direct migration background","169","1","1","1"
"No","1999","indirect migration background","57","1","1","1"
"Yes","2000","no migration background","","","",""
"Yes","2000","direct migration background","","","",""
"Yes","2000","indirect migration background","","","",""
"No","2000","no migration background","2127","1","1","1"
"No","2000","direct migration background","322","1","1","1"
"No","2000","indirect migration background","73","1","1","1"
"Yes","2001","no migration background","","","",""
"Yes","2001","direct migration background","","","",""
"Yes","2001","indirect migration background","","","",""
"No","2001","no migration background","2004","1","1","1"
"No","2001","direct migration background","261","1","1","1"
"No","2001","indirect migration background","94","1","1","1"
"Yes","2002","no migration background","4969","0.701075142758758","0.690338728121677","0.711811557395839"
"Yes","2002","direct migration background","461","0.622153198225759","0.586564682917278","0.65774171353424"
"Yes","2002","indirect migration background","182","0.663521492432404","0.605640726386976","0.721402258477832"
"No","2002","no migration background","2015","0.298924857241242","0.288188442604161","0.309661271878323"
"No","2002","direct migration background","252","0.377846801774241","0.34225828646576","0.413435317082722"
"No","2002","indirect migration background","74","0.336478507567596","0.278597741522169","0.394359273613024"
"Yes","2003","no migration background","4729","0.702150238479566","0.691176205200009","0.713124271759123"
"Yes","2003","direct migration background","414","0.654769744024182","0.618163150680773","0.691376337367591"
"Yes","2003","indirect migration background","174","0.683769471626312","0.627355771243984","0.74018317200864"
"No","2003","no migration background","1942","0.297849761520434","0.286875728240877","0.308823794799991"
"No","2003","direct migration background","234","0.345230255975818","0.308623662632409","0.381836849319227"
"No","2003","indirect migration background","87","0.316230528373688","0.25981682799136","0.372644228756016"
"Yes","2004","no migration background","4601","0.704435579002809","0.693293032655715","0.715578125349903"
"Yes","2004","direct migration background","404","0.653690310603492","0.615994704976621","0.691385916230362"
"Yes","2004","indirect migration background","177","0.715104116130244","0.658469637852138","0.77173859440835"
"No","2004","no migration background","1841","0.295564420997191","0.284421874650097","0.306706967344285"
"No","2004","direct migration background","208","0.346309689396508","0.308614083769638","0.384005295023378"
"No","2004","indirect migration background","67","0.284895883869756","0.22826140559165","0.341530362147862"
"Yes","2005","no migration background","4240","0.705189633193816","0.69359928463671","0.716779981750921"
"Yes","2005","direct migration background","385","0.629792686163258","0.59015283941189","0.669432532914626"
"Yes","2005","indirect migration background","187","0.759389127017134","0.706612985899265","0.812165268135003"
"No","2005","no migration background","1705","0.294810366806184","0.283220018249079","0.30640071536329"
"No","2005","direct migration background","185","0.370207313836742","0.330567467085374","0.40984716058811"
"No","2005","indirect migration background","65","0.240610872982866","0.187834731864997","0.293387014100735"
"Yes","2006","no migration background","4802","0.725873793449997","0.715083417843136","0.736664169056858"
"Yes","2006","direct migration background","431","0.684311875261028","0.647726424753099","0.720897325768957"
"Yes","2006","indirect migration background","222","0.739808353066259","0.688510259970225","0.791106446162292"
"No","2006","no migration background","1763","0.274126206550003","0.263335830943142","0.284916582156864"
"No","2006","direct migration background","189","0.315688124738972","0.279102674231043","0.352273575246901"
"No","2006","indirect migration background","59","0.260191646933741","0.208893553837708","0.311489740029775"
"Yes","2007","no migration background","4555","0.744093432151079","0.733186558147198","0.755000306154959"
"Yes","2007","direct migration background","385","0.748879251395824","0.711677786872577","0.786080715919072"
"Yes","2007","indirect migration background","216","0.730514988139849","0.679093226872066","0.781936749407632"
"No","2007","no migration background","1594","0.255906567848921","0.244999693845041","0.266813441852802"
"No","2007","direct migration background","137","0.251120748604176","0.213919284080928","0.288322213127423"
"No","2007","indirect migration background","70","0.269485011860151","0.218063250592368","0.320906773127934"
"Yes","2008","no migration background","4398","0.716893748061589","0.705546432203101","0.728241063920077"
"Yes","2008","direct migration background","379","0.728742401072721","0.690230843231009","0.767253958914434"
"Yes","2008","indirect migration background","198","0.775408542218258","0.725996282305507","0.82482080213101"
"No","2008","no migration background","1657","0.283106251938411","0.271758936079923","0.294453567796899"
"No","2008","direct migration background","133","0.271257598927279","0.232746041085566","0.309769156768991"
"No","2008","indirect migration background","76","0.224591457781742","0.17517919786899","0.274003717694493"
"Yes","2009","no migration background","3850","0.712830460817502","0.700757475372902","0.724903446262101"
"Yes","2009","direct migration background","259","0.653536679655647","0.606787911645448","0.700285447665846"
"Yes","2009","indirect migration background","183","0.695254912762753","0.639196783751558","0.751313041773949"
"No","2009","no migration background","1545","0.287169539182498","0.275096553737899","0.299242524627098"
"No","2009","direct migration background","139","0.346463320344353","0.299714552334154","0.393212088354552"
"No","2009","indirect migration background","76","0.304745087237247","0.248686958226051","0.360803216248442"
"Yes","2010","no migration background","4995","0.677950772604446","0.667184657400195","0.688716887808698"
"Yes","2010","direct migration background","520","0.693799037191366","0.660834404202141","0.726763670180591"
"Yes","2010","indirect migration background","270","0.699640980861066","0.653850449312796","0.745431512409336"
"No","2010","no migration background","2241","0.322049227395554","0.311283112191302","0.332815342599805"
"No","2010","direct migration background","231","0.306200962808634","0.273236329819409","0.339165595797858"
"No","2010","indirect migration background","115","0.300359019138934","0.254568487590664","0.346149550687204"
"Yes","2011","no migration background","6453","0.737870456768927","0.728647088621551","0.747093824916302"
"Yes","2011","direct migration background","682","0.754463222328155","0.726544855110176","0.782381589546134"
"Yes","2011","indirect migration background","375","0.767814341997112","0.730543394245592","0.805085289748632"
"No","2011","no migration background","2281","0.262129543231073","0.252906175083698","0.271352911378449"
"No","2011","direct migration background","231","0.245536777671845","0.217618410453866","0.273455144889824"
"No","2011","indirect migration background","118","0.232185658002888","0.194914710251368","0.269456605754408"
"Yes","2012","no migration background","6398","0.719604912881246","0.710263759143695","0.728946066618797"
"Yes","2012","direct migration background","647","0.662009137241434","0.631929627043619","0.692088647439248"
"Yes","2012","indirect migration background","382","0.780983697975691","0.745470610213589","0.816496785737793"
"No","2012","no migration background","2485","0.280395087118754","0.271053933381203","0.289736240856305"
"No","2012","direct migration background","303","0.337990862758567","0.307911352560752","0.368070372956381"
"No","2012","indirect migration background","139","0.219016302024309","0.183503214262207","0.254529389786411"
"Yes","2013","no migration background","5992","0.727561801953768","0.717927855909475","0.73719574799806"
"Yes","2013","direct migration background","1410","0.701297827329588","0.681328752355153","0.721266902304022"
"Yes","2013","indirect migration background","581","0.764965933916983","0.735322857568554","0.794609010265413"
"No","2013","no migration background","2212","0.272438198046232","0.26280425200194","0.282072144090525"
"No","2013","direct migration background","608","0.298702172670412","0.278733097695978","0.318671247644847"
"No","2013","indirect migration background","205","0.235034066083017","0.205390989734587","0.264677142431446"
"Yes","2014","no migration background","5556","0.727799911498372","0.717845453665599","0.737754369331145"
"Yes","2014","direct migration background","1117","0.718489262582067","0.696500652609231","0.740477872554904"
"Yes","2014","indirect migration background","517","0.774519692850534","0.743473095277309","0.805566290423758"
"No","2014","no migration background","2124","0.272200088501628","0.262245630668855","0.282154546334401"
"No","2014","direct migration background","490","0.281510737417933","0.259522127445096","0.303499347390769"
"No","2014","indirect migration background","179","0.225480307149466","0.194433709576242","0.256526904722691"
"Yes","2015","no migration background","5522","0.763745947040918","0.753888236259268","0.773603657822568"
"Yes","2015","direct migration background","1294","0.759800553263664","0.73989852851606","0.779702578011267"
"Yes","2015","indirect migration background","463","0.766305814227506","0.733102547800567","0.799509080654446"
"No","2015","no migration background","1611","0.236254052959082","0.226396342177432","0.246111763740732"
"No","2015","direct migration background","476","0.240199446736336","0.220297421988733","0.26010147148394"
"No","2015","indirect migration background","161","0.233694185772494","0.200490919345555","0.266897452199433"
"Yes","2016","no migration background","5299","0.765318882236395","0.755325769590165","0.775311994882625"
"Yes","2016","direct migration background","1146","0.748040222233923","0.726413500294275","0.769666944173571"
"Yes","2016","indirect migration background","451","0.768655893613246","0.7347726632125","0.802539124013992"
"No","2016","no migration background","1610","0.234681117763605","0.224688005117375","0.244674230409835"
"No","2016","direct migration background","402","0.251959777766077","0.230333055826429","0.273586499705725"
"No","2016","indirect migration background","144","0.231344106386754","0.197460875986008","0.2652273367875"
"Yes","2017","no migration background","5835","0.762629553127173","0.753094035122211","0.772165071132135"
"Yes","2017","direct migration background","1134","0.762803757202931","0.741545373685667","0.784062140720194"
"Yes","2017","indirect migration background","462","0.747856533867738","0.713396461987341","0.782316605748134"
"No","2017","no migration background","1813","0.237370446872827","0.227834928867865","0.246905964877789"
"No","2017","direct migration background","404","0.237196242797069","0.215937859279806","0.258454626314333"
"No","2017","indirect migration background","148","0.252143466132262","0.217683394251866","0.286603538012659"
"Yes","2018","no migration background","5747","0.749856306884426","0.740235697415926","0.759476916352927"
"Yes","2018","direct migration background","1264","0.738161497989132","0.71781215487565","0.758510841102613"
"Yes","2018","indirect migration background","506","0.788918916320453","0.75790346460568","0.819934368035225"
"No","2018","no migration background","2038","0.250143693115574","0.240523083647073","0.259764302584074"
"No","2018","direct migration background","529","0.261838502010868","0.241489158897387","0.28218784512435"
"No","2018","indirect migration background","159","0.211081083679547","0.180065631964775","0.24209653539432"
"Yes","2019","no migration background","5494","0.771011263943374","0.761289517331885","0.780733010554863"
"Yes","2019","direct migration background","1101","0.763993144262909","0.74253307036797","0.785453218157847"
"Yes","2019","indirect migration background","451","0.74104468435548","0.706195841760463","0.775893526950496"
"No","2019","no migration background","1682","0.228988736056626","0.219266989445137","0.238710482668115"
"No","2019","direct migration background","403","0.236006855737091","0.214546781842153","0.25746692963203"
"No","2019","indirect migration background","156","0.258955315644521","0.224106473049504","0.293804158239537"
