"plb0196_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1988","66 and older","indirect migration background","","","","","2"
"No","1988","16-34 y.","direct migration background","475","1","1","1","2"
"Yes","1988","16-34 y.","no migration background","","","","","1"
"Yes","1988","16-34 y.","direct migration background","","","","","1"
"Yes","1988","16-34 y.","indirect migration background","","","","","1"
"Yes","1988","35-65 y.","no migration background","","","","","1"
"Yes","1988","35-65 y.","direct migration background","","","","","1"
"Yes","1988","35-65 y.","indirect migration background","","","","","1"
"Yes","1988","66 and older","no migration background","","","","","1"
"Yes","1988","66 and older","direct migration background","","","","","1"
"Yes","1988","66 and older","indirect migration background","","","","","1"
"No","1989","35-65 y.","indirect migration background","10","","","","2"
"No","1989","16-34 y.","no migration background","1092","1","1","1","2"
"No","1989","66 and older","no migration background","32","1","1","1","2"
"No","1989","16-34 y.","indirect migration background","88","1","1","1","2"
"No","1989","35-65 y.","no migration background","1411","1","1","1","2"
"No","1989","35-65 y.","direct migration background","768","1","1","1","2"
"No","1989","66 and older","direct migration background","","","","","2"
"No","1989","66 and older","indirect migration background","","","","","2"
"No","1989","16-34 y.","direct migration background","455","1","1","1","2"
"Yes","1989","16-34 y.","no migration background","","","","","1"
"Yes","1989","16-34 y.","direct migration background","","","","","1"
"Yes","1989","16-34 y.","indirect migration background","","","","","1"
"Yes","1989","35-65 y.","no migration background","","","","","1"
"Yes","1989","35-65 y.","direct migration background","","","","","1"
"Yes","1989","35-65 y.","indirect migration background","","","","","1"
"Yes","1989","66 and older","no migration background","","","","","1"
"Yes","1989","66 and older","direct migration background","","","","","1"
"Yes","1989","66 and older","indirect migration background","","","","","1"
"No","1990","35-65 y.","indirect migration background","11","","","","2"
"No","1990","16-34 y.","no migration background","1030","1","1","1","2"
"No","1990","35-65 y.","no migration background","1342","1","1","1","2"
"No","1990","66 and older","indirect migration background","","","","","2"
"No","1990","35-65 y.","direct migration background","766","1","1","1","2"
"No","1990","66 and older","no migration background","27","","","","2"
"No","1990","16-34 y.","indirect migration background","107","1","1","1","2"
"No","1990","66 and older","direct migration background","","","","","2"
"No","1990","16-34 y.","direct migration background","431","1","1","1","2"
"Yes","1990","16-34 y.","no migration background","","","","","1"
"Yes","1990","16-34 y.","direct migration background","","","","","1"
"Yes","1990","16-34 y.","indirect migration background","","","","","1"
"Yes","1990","35-65 y.","no migration background","","","","","1"
"Yes","1990","35-65 y.","direct migration background","","","","","1"
"Yes","1990","35-65 y.","indirect migration background","","","","","1"
"Yes","1990","66 and older","no migration background","","","","","1"
"Yes","1990","66 and older","direct migration background","","","","","1"
"Yes","1990","66 and older","indirect migration background","","","","","1"
"No","1991","35-65 y.","indirect migration background","9","","","","2"
"No","1991","16-34 y.","no migration background","1783","1","1","1","2"
"No","1991","35-65 y.","no migration background","2452","1","1","1","2"
"No","1991","66 and older","indirect migration background","","","","","2"
"No","1991","35-65 y.","direct migration background","821","1","1","1","2"
"No","1991","66 and older","no migration background","32","1","1","1","2"
"No","1991","66 and older","direct migration background","4","","","","2"
"No","1991","16-34 y.","indirect migration background","139","1","1","1","2"
"No","1991","16-34 y.","direct migration background","421","1","1","1","2"
"Yes","1991","16-34 y.","no migration background","","","","","1"
"Yes","1991","16-34 y.","direct migration background","","","","","1"
"Yes","1991","16-34 y.","indirect migration background","","","","","1"
"Yes","1991","35-65 y.","no migration background","","","","","1"
"Yes","1991","35-65 y.","direct migration background","","","","","1"
"Yes","1991","35-65 y.","indirect migration background","","","","","1"
"Yes","1991","66 and older","no migration background","","","","","1"
"Yes","1991","66 and older","direct migration background","","","","","1"
"Yes","1991","66 and older","indirect migration background","","","","","1"
"No","1992","35-65 y.","indirect migration background","10","","","","2"
"No","1992","16-34 y.","no migration background","1464","1","1","1","2"
"No","1992","35-65 y.","no migration background","2198","1","1","1","2"
"No","1992","35-65 y.","direct migration background","780","1","1","1","2"
"No","1992","66 and older","no migration background","21","","","","2"
"No","1992","66 and older","direct migration background","3","","","","2"
"No","1992","66 and older","indirect migration background","","","","","2"
"No","1992","16-34 y.","indirect migration background","157","1","1","1","2"
"No","1992","16-34 y.","direct migration background","405","1","1","1","2"
"Yes","1992","16-34 y.","no migration background","","","","","1"
"Yes","1992","16-34 y.","direct migration background","","","","","1"
"Yes","1992","16-34 y.","indirect migration background","","","","","1"
"Yes","1992","35-65 y.","no migration background","","","","","1"
"Yes","1992","35-65 y.","direct migration background","","","","","1"
"Yes","1992","35-65 y.","indirect migration background","","","","","1"
"Yes","1992","66 and older","no migration background","","","","","1"
"Yes","1992","66 and older","direct migration background","","","","","1"
"Yes","1992","66 and older","indirect migration background","","","","","1"
"No","1993","35-65 y.","indirect migration background","10","","","","2"
"No","1993","16-34 y.","no migration background","1471","1","1","1","2"
"No","1993","16-34 y.","indirect migration background","189","1","1","1","2"
"No","1993","35-65 y.","no migration background","2101","1","1","1","2"
"No","1993","35-65 y.","direct migration background","758","1","1","1","2"
"No","1993","66 and older","no migration background","23","","","","2"
"No","1993","66 and older","direct migration background","3","","","","2"
"No","1993","66 and older","indirect migration background","","","","","2"
"No","1993","16-34 y.","direct migration background","408","1","1","1","2"
"Yes","1993","35-65 y.","direct migration background","","","","","1"
"Yes","1993","35-65 y.","indirect migration background","","","","","1"
"Yes","1993","66 and older","no migration background","","","","","1"
"Yes","1993","66 and older","direct migration background","","","","","1"
"Yes","1993","66 and older","indirect migration background","","","","","1"
"Yes","1993","16-34 y.","no migration background","","","","","1"
"Yes","1993","16-34 y.","direct migration background","","","","","1"
"Yes","1993","16-34 y.","indirect migration background","","","","","1"
"Yes","1993","35-65 y.","no migration background","","","","","1"
"No","1994","35-65 y.","indirect migration background","9","","","","2"
"No","1994","16-34 y.","no migration background","1343","1","1","1","2"
"No","1994","16-34 y.","indirect migration background","195","1","1","1","2"
"No","1994","35-65 y.","no migration background","2021","1","1","1","2"
"No","1994","35-65 y.","direct migration background","680","1","1","1","2"
"No","1994","66 and older","no migration background","22","","","","2"
"No","1994","66 and older","direct migration background","3","","","","2"
"No","1994","66 and older","indirect migration background","","","","","2"
"No","1994","16-34 y.","direct migration background","331","1","1","1","2"
"Yes","1994","35-65 y.","direct migration background","","","","","1"
"Yes","1994","35-65 y.","indirect migration background","","","","","1"
"Yes","1994","66 and older","no migration background","","","","","1"
"Yes","1994","66 and older","direct migration background","","","","","1"
"Yes","1994","66 and older","indirect migration background","","","","","1"
"Yes","1994","16-34 y.","no migration background","","","","","1"
"Yes","1994","16-34 y.","direct migration background","","","","","1"
"Yes","1994","16-34 y.","indirect migration background","","","","","1"
"Yes","1994","35-65 y.","no migration background","","","","","1"
"No","1995","35-65 y.","indirect migration background","8","","","","2"
"No","1995","16-34 y.","no migration background","1271","1","1","1","2"
"No","1995","16-34 y.","direct migration background","369","1","1","1","2"
"No","1995","16-34 y.","indirect migration background","188","1","1","1","2"
"No","1995","35-65 y.","no migration background","2026","1","1","1","2"
"No","1995","35-65 y.","direct migration background","707","1","1","1","2"
"No","1995","66 and older","no migration background","29","","","","2"
"No","1995","66 and older","direct migration background","2","","","","2"
"No","1995","66 and older","indirect migration background","","","","","2"
"Yes","1995","35-65 y.","direct migration background","","","","","1"
"Yes","1995","35-65 y.","indirect migration background","","","","","1"
"Yes","1995","66 and older","no migration background","","","","","1"
"Yes","1995","66 and older","direct migration background","","","","","1"
"Yes","1995","66 and older","indirect migration background","","","","","1"
"Yes","1995","16-34 y.","no migration background","","","","","1"
"Yes","1995","16-34 y.","direct migration background","","","","","1"
"Yes","1995","16-34 y.","indirect migration background","","","","","1"
"Yes","1995","35-65 y.","no migration background","","","","","1"
"No","1996","16-34 y.","no migration background","1233","1","1","1","2"
"No","1996","35-65 y.","indirect migration background","10","","","","2"
"No","1996","16-34 y.","direct migration background","326","1","1","1","2"
"No","1996","16-34 y.","indirect migration background","190","1","1","1","2"
"No","1996","35-65 y.","no migration background","2011","1","1","1","2"
"No","1996","35-65 y.","direct migration background","659","1","1","1","2"
"No","1996","66 and older","no migration background","31","1","1","1","2"
"No","1996","66 and older","direct migration background","4","","","","2"
"No","1996","66 and older","indirect migration background","1","","","","2"
"Yes","1996","35-65 y.","direct migration background","","","","","1"
"Yes","1996","35-65 y.","indirect migration background","","","","","1"
"Yes","1996","66 and older","no migration background","","","","","1"
"Yes","1996","66 and older","direct migration background","","","","","1"
"Yes","1996","66 and older","indirect migration background","","","","","1"
"Yes","1996","16-34 y.","no migration background","","","","","1"
"Yes","1996","16-34 y.","direct migration background","","","","","1"
"Yes","1996","16-34 y.","indirect migration background","","","","","1"
"Yes","1996","35-65 y.","no migration background","","","","","1"
"No","1997","35-65 y.","indirect migration background","3","","","","2"
"No","1997","16-34 y.","no migration background","477","1","1","1","2"
"No","1997","16-34 y.","direct migration background","92","1","1","1","2"
"No","1997","16-34 y.","indirect migration background","62","1","1","1","2"
"No","1997","35-65 y.","no migration background","644","1","1","1","2"
"No","1997","35-65 y.","direct migration background","148","1","1","1","2"
"No","1997","66 and older","no migration background","","","","","2"
"No","1997","66 and older","direct migration background","","","","","2"
"No","1997","66 and older","indirect migration background","","","","","2"
"Yes","1997","35-65 y.","direct migration background","","","","","1"
"Yes","1997","35-65 y.","indirect migration background","","","","","1"
"Yes","1997","66 and older","no migration background","","","","","1"
"Yes","1997","66 and older","direct migration background","","","","","1"
"Yes","1997","66 and older","indirect migration background","","","","","1"
"Yes","1997","16-34 y.","no migration background","","","","","1"
"Yes","1997","16-34 y.","direct migration background","","","","","1"
"Yes","1997","16-34 y.","indirect migration background","","","","","1"
"Yes","1997","35-65 y.","no migration background","","","","","1"
"No","1998","35-65 y.","indirect migration background","","","","","2"
"No","1998","16-34 y.","no migration background","494","1","1","1","2"
"No","1998","16-34 y.","direct migration background","67","1","1","1","2"
"No","1998","16-34 y.","indirect migration background","48","1","1","1","2"
"No","1998","35-65 y.","no migration background","756","1","1","1","2"
"No","1998","35-65 y.","direct migration background","138","1","1","1","2"
"No","1998","66 and older","no migration background","2","","","","2"
"No","1998","66 and older","direct migration background","","","","","2"
"No","1998","66 and older","indirect migration background","","","","","2"
"Yes","1998","35-65 y.","direct migration background","","","","","1"
"Yes","1998","35-65 y.","indirect migration background","","","","","1"
"Yes","1998","66 and older","no migration background","","","","","1"
"Yes","1998","66 and older","direct migration background","","","","","1"
"Yes","1998","66 and older","indirect migration background","","","","","1"
"Yes","1998","16-34 y.","no migration background","","","","","1"
"Yes","1998","16-34 y.","direct migration background","","","","","1"
"Yes","1998","16-34 y.","indirect migration background","","","","","1"
"Yes","1998","35-65 y.","no migration background","","","","","1"
"No","1999","66 and older","no migration background","2","","","","2"
"No","1999","66 and older","direct migration background","1","","","","2"
"No","1999","66 and older","indirect migration background","","","","","2"
"No","1999","35-65 y.","indirect migration background","8","","","","2"
"No","1999","16-34 y.","no migration background","462","1","1","1","2"
"No","1999","16-34 y.","direct migration background","54","1","1","1","2"
"No","1999","16-34 y.","indirect migration background","49","1","1","1","2"
"No","1999","35-65 y.","no migration background","723","1","1","1","2"
"No","1999","35-65 y.","direct migration background","114","1","1","1","2"
"Yes","1999","35-65 y.","direct migration background","","","","","1"
"Yes","1999","35-65 y.","indirect migration background","","","","","1"
"Yes","1999","66 and older","no migration background","","","","","1"
"Yes","1999","66 and older","direct migration background","","","","","1"
"Yes","1999","66 and older","indirect migration background","","","","","1"
"Yes","1999","35-65 y.","no migration background","","","","","1"
"Yes","1999","16-34 y.","no migration background","","","","","1"
"Yes","1999","16-34 y.","direct migration background","","","","","1"
"Yes","1999","16-34 y.","indirect migration background","","","","","1"
"No","2000","66 and older","no migration background","2","","","","2"
"No","2000","66 and older","direct migration background","","","","","2"
"No","2000","66 and older","indirect migration background","","","","","2"
"No","2000","35-65 y.","indirect migration background","10","","","","2"
"No","2000","16-34 y.","no migration background","684","1","1","1","2"
"No","2000","16-34 y.","direct migration background","99","1","1","1","2"
"No","2000","16-34 y.","indirect migration background","63","1","1","1","2"
"No","2000","35-65 y.","no migration background","1441","1","1","1","2"
"No","2000","35-65 y.","direct migration background","223","1","1","1","2"
"Yes","2000","35-65 y.","direct migration background","","","","","1"
"Yes","2000","35-65 y.","indirect migration background","","","","","1"
"Yes","2000","66 and older","no migration background","","","","","1"
"Yes","2000","66 and older","direct migration background","","","","","1"
"Yes","2000","16-34 y.","no migration background","","","","","1"
"Yes","2000","16-34 y.","direct migration background","","","","","1"
"Yes","2000","16-34 y.","indirect migration background","","","","","1"
"Yes","2000","35-65 y.","no migration background","","","","","1"
"Yes","2000","66 and older","indirect migration background","","","","","1"
"No","2001","35-65 y.","indirect migration background","","","","","2"
"No","2001","66 and older","no migration background","","","","","2"
"No","2001","66 and older","direct migration background","","","","","2"
"No","2001","66 and older","indirect migration background","","","","","2"
"No","2001","16-34 y.","no migration background","","","","","2"
"No","2001","16-34 y.","direct migration background","","","","","2"
"No","2001","16-34 y.","indirect migration background","","","","","2"
"No","2001","35-65 y.","no migration background","","","","","2"
"No","2001","35-65 y.","direct migration background","","","","","2"
"Yes","2001","35-65 y.","direct migration background","","","","","1"
"Yes","2001","35-65 y.","indirect migration background","","","","","1"
"Yes","2001","66 and older","no migration background","","","","","1"
"Yes","2001","66 and older","direct migration background","","","","","1"
"Yes","2001","16-34 y.","no migration background","","","","","1"
"Yes","2001","16-34 y.","direct migration background","","","","","1"
"Yes","2001","16-34 y.","indirect migration background","","","","","1"
"Yes","2001","35-65 y.","no migration background","","","","","1"
"Yes","2001","66 and older","indirect migration background","","","","","1"
"No","2002","35-65 y.","indirect migration background","15","","","","2"
"No","2002","66 and older","no migration background","3","","","","2"
"No","2002","66 and older","direct migration background","","","","","2"
"No","2002","66 and older","indirect migration background","","","","","2"
"No","2002","16-34 y.","no migration background","589","0.279626909936597","0.259892807429671","0.299361012443522","2"
"No","2002","16-34 y.","direct migration background","73","0.360832639916757","0.295410744765501","0.426254535068012","2"
"No","2002","16-34 y.","indirect migration background","59","0.350825562133587","0.283145970816855","0.41850515345032","2"
"No","2002","35-65 y.","no migration background","1423","0.307333162899385","0.294528982655956","0.320137343142815","2"
"No","2002","35-65 y.","direct migration background","179","0.385383682823656","0.342978246428068","0.427789119219244","2"
"Yes","2002","35-65 y.","direct migration background","327","0.614616317176344","0.572210880780756","0.657021753571932","1"
"Yes","2002","35-65 y.","indirect migration background","50","0.695025138939013","0.583101018440323","0.806949259437704","1"
"Yes","2002","66 and older","no migration background","6","","","","1"
"Yes","2002","66 and older","direct migration background","","","","","1"
"Yes","2002","66 and older","indirect migration background","","","","","1"
"Yes","2002","16-34 y.","no migration background","1398","0.720373090063403","0.700638987556478","0.740107192570329","1"
"Yes","2002","16-34 y.","direct migration background","134","0.639167360083243","0.573745464931988","0.704589255234499","1"
"Yes","2002","16-34 y.","indirect migration background","132","0.649174437866413","0.58149484654968","0.716854029183145","1"
"Yes","2002","35-65 y.","no migration background","3565","0.692666837100615","0.679862656857185","0.705471017344044","1"
"No","2003","35-65 y.","indirect migration background","18","","","","2"
"No","2003","66 and older","no migration background","4","","","","2"
"No","2003","66 and older","direct migration background","","","","","2"
"No","2003","66 and older","indirect migration background","","","","","2"
"No","2003","16-34 y.","no migration background","589","0.296909635445668","0.276343786411111","0.317475484480226","2"
"No","2003","16-34 y.","direct migration background","61","0.319095718067414","0.252641781923976","0.385549654210853","2"
"No","2003","16-34 y.","indirect migration background","69","0.328043307071355","0.263457616909434","0.392628997233276","2"
"No","2003","35-65 y.","no migration background","1349","0.297367541212793","0.284391673769672","0.310343408655915","2"
"No","2003","35-65 y.","direct migration background","173","0.358435255794837","0.314565284162821","0.402305227426853","2"
"Yes","2003","35-65 y.","direct migration background","286","0.641564744205163","0.597694772573147","0.685434715837178","1"
"Yes","2003","35-65 y.","indirect migration background","40","0.723039718199637","0.607873815035029","0.838205621364245","1"
"Yes","2003","66 and older","no migration background","4","","","","1"
"Yes","2003","66 and older","direct migration background","","","","","1"
"Yes","2003","66 and older","indirect migration background","","","","","1"
"Yes","2003","16-34 y.","no migration background","1307","0.703090364554332","0.682524515519774","0.723656213588889","1"
"Yes","2003","16-34 y.","direct migration background","128","0.680904281932586","0.614450345789147","0.747358218076024","1"
"Yes","2003","16-34 y.","indirect migration background","134","0.671956692928645","0.607371002766724","0.736542383090566","1"
"Yes","2003","35-65 y.","no migration background","3418","0.702632458787207","0.689656591344085","0.715608326230329","1"
"No","2004","16-34 y.","no migration background","532","0.302162921917361","0.280537143269211","0.32378870056551","2"
"No","2004","35-65 y.","indirect migration background","16","","","","2"
"No","2004","66 and older","no migration background","4","","","","2"
"No","2004","66 and older","direct migration background","","","","","2"
"No","2004","66 and older","indirect migration background","","","","","2"
"No","2004","16-34 y.","direct migration background","60","0.399354607242498","0.327202356613512","0.471506857871484","2"
"No","2004","16-34 y.","indirect migration background","51","0.293299157949104","0.226228175127396","0.360370140770811","2"
"No","2004","35-65 y.","no migration background","1305","0.292239135066823","0.279235707947031","0.305242562186614","2"
"No","2004","35-65 y.","direct migration background","148","0.322078340637596","0.278167274931116","0.365989406344077","2"
"Yes","2004","35-65 y.","direct migration background","287","0.677921659362404","0.634010593655923","0.721832725068884","1"
"Yes","2004","35-65 y.","indirect migration background","51","0.734683381035498","0.628966820555638","0.840399941515358","1"
"Yes","2004","66 and older","no migration background","7","","","","1"
"Yes","2004","66 and older","direct migration background","","","","","1"
"Yes","2004","66 and older","indirect migration background","","","","","1"
"Yes","2004","16-34 y.","no migration background","1200","0.697837078082639","0.67621129943449","0.719462856730789","1"
"Yes","2004","16-34 y.","direct migration background","117","0.600645392757502","0.528493142128516","0.672797643386488","1"
"Yes","2004","16-34 y.","indirect migration background","126","0.706700842050896","0.639629859229189","0.773771824872604","1"
"Yes","2004","35-65 y.","no migration background","3394","0.707760864933177","0.694757437813386","0.720764292052969","1"
"No","2005","16-34 y.","no migration background","495","0.308720216469722","0.286210589625865","0.331229843313579","2"
"No","2005","35-65 y.","indirect migration background","16","","","","2"
"No","2005","66 and older","no migration background","2","","","","2"
"No","2005","66 and older","direct migration background","","","","","2"
"No","2005","66 and older","indirect migration background","","","","","2"
"No","2005","16-34 y.","direct migration background","40","0.353360610080629","0.275286509283733","0.431434710877526","2"
"No","2005","16-34 y.","indirect migration background","49","0.233771457083534","0.173111486885564","0.294431427281504","2"
"No","2005","35-65 y.","no migration background","1208","0.289360146829382","0.27583628806016","0.302884005598605","2"
"No","2005","35-65 y.","direct migration background","145","0.378299138438528","0.332138312229064","0.424459964647993","2"
"Yes","2005","35-65 y.","direct migration background","279","0.621700861561472","0.575540035352007","0.667861687770936","1"
"Yes","2005","35-65 y.","indirect migration background","49","0.737666892648409","0.630724939757007","0.844608845539811","1"
"Yes","2005","66 and older","no migration background","6","","","","1"
"Yes","2005","66 and older","direct migration background","2","","","","1"
"Yes","2005","66 and older","indirect migration background","","","","","1"
"Yes","2005","35-65 y.","no migration background","3111","0.710639853170618","0.697115994401395","0.72416371193984","1"
"Yes","2005","16-34 y.","no migration background","1123","0.691279783530278","0.668770156686421","0.713789410374135","1"
"Yes","2005","16-34 y.","direct migration background","104","0.646639389919371","0.568565289122474","0.724713490716267","1"
"Yes","2005","16-34 y.","indirect migration background","138","0.766228542916466","0.705568572718496","0.826888513114436","1"
"No","2006","66 and older","no migration background","8","","","","2"
"No","2006","66 and older","direct migration background","","","","","2"
"No","2006","66 and older","indirect migration background","","","","","2"
"No","2006","35-65 y.","indirect migration background","13","","","","2"
"No","2006","16-34 y.","no migration background","450","0.2955884180844","0.273504144550158","0.317672691618642","2"
"No","2006","16-34 y.","direct migration background","48","0.308477909735189","0.237135098803854","0.379820720666524","2"
"No","2006","16-34 y.","indirect migration background","46","0.267897428495502","0.206825357860239","0.328969499130765","2"
"No","2006","35-65 y.","no migration background","1305","0.265729241901148","0.253368853726586","0.278089630075711","2"
"No","2006","35-65 y.","direct migration background","141","0.319155296424939","0.27641721219439","0.361893380655487","2"
"Yes","2006","35-65 y.","direct migration background","316","0.680844703575061","0.638106619344513","0.72358278780561","1"
"Yes","2006","35-65 y.","indirect migration background","66","0.763218633405317","0.669476941174766","0.856960325635869","1"
"Yes","2006","66 and older","no migration background","11","","","","1"
"Yes","2006","66 and older","direct migration background","2","","","","1"
"Yes","2006","66 and older","indirect migration background","","","","","1"
"Yes","2006","35-65 y.","no migration background","3601","0.734270758098852","0.721910369924289","0.746631146273414","1"
"Yes","2006","16-34 y.","no migration background","1190","0.7044115819156","0.682327308381358","0.726495855449842","1"
"Yes","2006","16-34 y.","direct migration background","113","0.691522090264811","0.620179279333476","0.762864901196146","1"
"Yes","2006","16-34 y.","indirect migration background","156","0.732102571504498","0.671030500869235","0.793174642139761","1"
"No","2007","35-65 y.","indirect migration background","17","","","","2"
"No","2007","66 and older","no migration background","8","","","","2"
"No","2007","66 and older","direct migration background","","","","","2"
"No","2007","66 and older","indirect migration background","","","","","2"
"No","2007","16-34 y.","no migration background","394","0.257642916042282","0.235562513003943","0.279723319080621","2"
"No","2007","16-34 y.","direct migration background","40","0.24783888902462","0.17874452464667","0.31693325340257","2"
"No","2007","16-34 y.","indirect migration background","53","0.266627438203958","0.205034596079085","0.328220280328831","2"
"No","2007","35-65 y.","no migration background","1192","0.255465157829643","0.242889362675595","0.268040952983691","2"
"No","2007","35-65 y.","direct migration background","97","0.252486912076417","0.20833947898532","0.296634345167514","2"
"Yes","2007","16-34 y.","no migration background","1113","0.742357083957718","0.720276680919379","0.764437486996057","1"
"Yes","2007","16-34 y.","direct migration background","110","0.75216111097538","0.68306674659743","0.82125547535333","1"
"Yes","2007","16-34 y.","indirect migration background","145","0.733372561796042","0.671779719671169","0.794965403920915","1"
"Yes","2007","35-65 y.","direct migration background","275","0.747513087923583","0.703365654832486","0.791660521014679","1"
"Yes","2007","35-65 y.","indirect migration background","70","0.720870653559314","0.626612291866037","0.81512901525259","1"
"Yes","2007","66 and older","no migration background","14","","","","1"
"Yes","2007","66 and older","direct migration background","","","","","1"
"Yes","2007","66 and older","indirect migration background","1","","","","1"
"Yes","2007","35-65 y.","no migration background","3428","0.744534842170357","0.731959047016309","0.757110637324405","1"
"No","2008","35-65 y.","indirect migration background","22","","","","2"
"No","2008","66 and older","no migration background","5","","","","2"
"No","2008","66 and older","direct migration background","2","","","","2"
"No","2008","66 and older","indirect migration background","","","","","2"
"No","2008","16-34 y.","no migration background","414","0.288313232054116","0.265585947098738","0.311040517009493","2"
"No","2008","16-34 y.","direct migration background","27","","","","2"
"No","2008","16-34 y.","indirect migration background","54","0.227441503135178","0.166873992440263","0.288009013830094","2"
"No","2008","35-65 y.","no migration background","1238","0.28124909078409","0.268133070466157","0.294365111102024","2"
"No","2008","35-65 y.","direct migration background","104","0.291274838023649","0.245771933980102","0.336777742067197","2"
"Yes","2008","16-34 y.","no migration background","1112","0.711686767945884","0.688959482990507","0.734414052901262","1"
"Yes","2008","16-34 y.","direct migration background","99","0.802530345153447","0.733020914151081","0.872039776155813","1"
"Yes","2008","16-34 y.","indirect migration background","130","0.772558496864822","0.711990986169906","0.833126007559737","1"
"Yes","2008","35-65 y.","direct migration background","279","0.708725161976351","0.663222257932803","0.754228066019898","1"
"Yes","2008","35-65 y.","indirect migration background","68","0.783172047271209","0.698036082844659","0.868308011697759","1"
"Yes","2008","66 and older","no migration background","10","","","","1"
"Yes","2008","66 and older","direct migration background","1","","","","1"
"Yes","2008","66 and older","indirect migration background","","","","","1"
"Yes","2008","35-65 y.","no migration background","3276","0.71875090921591","0.705634888897976","0.731866929533843","1"
"No","2009","35-65 y.","indirect migration background","24","","","","2"
"No","2009","66 and older","no migration background","4","","","","2"
"No","2009","66 and older","direct migration background","1","","","","2"
"No","2009","66 and older","indirect migration background","","","","","2"
"No","2009","16-34 y.","no migration background","386","0.285001902226872","0.260832160237078","0.309171644216666","2"
"No","2009","16-34 y.","direct migration background","37","0.397058512711639","0.304349695173757","0.48976733024952","2"
"No","2009","16-34 y.","indirect migration background","52","0.31253356503503","0.243261529409336","0.381805600660725","2"
"No","2009","35-65 y.","no migration background","1155","0.288578277551187","0.274601273352475","0.302555281749899","2"
"No","2009","35-65 y.","direct migration background","101","0.324818048869925","0.270732363687597","0.378903734052253","2"
"Yes","2009","16-34 y.","no migration background","954","0.714998097773128","0.690828355783334","0.739167839762922","1"
"Yes","2009","16-34 y.","direct migration background","70","0.602941487288361","0.51023266975048","0.695650304826243","1"
"Yes","2009","16-34 y.","indirect migration background","120","0.68746643496497","0.618194399339275","0.756738470590664","1"
"Yes","2009","35-65 y.","direct migration background","187","0.675181951130075","0.621096265947747","0.729267636312404","1"
"Yes","2009","35-65 y.","indirect migration background","63","0.715536115725338","0.620734047480323","0.810338183970352","1"
"Yes","2009","66 and older","no migration background","14","","","","1"
"Yes","2009","66 and older","direct migration background","2","","","","1"
"Yes","2009","35-65 y.","no migration background","2882","0.711421722448813","0.6974447182501","0.725398726647525","1"
"Yes","2009","66 and older","indirect migration background","","","","","1"
"No","2010","35-65 y.","indirect migration background","54","0.34092668387673","0.270086247294709","0.41176712045875","2"
"No","2010","66 and older","no migration background","9","","","","2"
"No","2010","66 and older","direct migration background","1","","","","2"
"No","2010","66 and older","indirect migration background","","","","","2"
"No","2010","16-34 y.","no migration background","577","0.32505776692453","0.303935248974767","0.346180284874292","2"
"No","2010","16-34 y.","direct migration background","77","0.384896486105722","0.323079804254767","0.446713167956678","2"
