"plb0196_h","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Employed","Rural Area","1483","1","1","1","2"
"No","1996","Not Employed","Urban Area","69","1","1","1","2"
"Yes","1996","Employed","Rural Area","","","","","1"
"Yes","1996","Not Employed","Urban Area","","","","","1"
"Yes","1996","Not Employed","Rural Area","","","","","1"
"Yes","1996","Employed","Urban Area","","","","","1"
"No","1997","Not Employed","Rural Area","8","","","","2"
"No","1997","Not Employed","Urban Area","12","","","","2"
"No","1997","Employed","Urban Area","862","1","1","1","2"
"No","1997","Employed","Rural Area","544","1","1","1","2"
"Yes","1997","Employed","Rural Area","","","","","1"
"Yes","1997","Not Employed","Urban Area","","","","","1"
"Yes","1997","Not Employed","Rural Area","","","","","1"
"Yes","1997","Employed","Urban Area","","","","","1"
"No","1998","Not Employed","Rural Area","10","","","","2"
"No","1998","Employed","Rural Area","605","1","1","1","2"
"No","1998","Not Employed","Urban Area","13","","","","2"
"No","1998","Employed","Urban Area","877","1","1","1","2"
"Yes","1998","Not Employed","Urban Area","","","","","1"
"Yes","1998","Not Employed","Rural Area","","","","","1"
"Yes","1998","Employed","Urban Area","","","","","1"
"Yes","1998","Employed","Rural Area","","","","","1"
"No","1999","Not Employed","Rural Area","9","","","","2"
"No","1999","Employed","Rural Area","558","1","1","1","2"
"No","1999","Not Employed","Urban Area","8","","","","2"
"No","1999","Employed","Urban Area","838","1","1","1","2"
"Yes","1999","Not Employed","Urban Area","","","","","1"
"Yes","1999","Not Employed","Rural Area","","","","","1"
"Yes","1999","Employed","Urban Area","","","","","1"
"Yes","1999","Employed","Rural Area","","","","","1"
"No","2000","Not Employed","Rural Area","16","","","","2"
"No","2000","Employed","Rural Area","908","1","1","1","2"
"No","2000","Not Employed","Urban Area","22","","","","2"
"No","2000","Employed","Urban Area","1576","1","1","1","2"
"Yes","2000","Not Employed","Urban Area","","","","","1"
"Yes","2000","Not Employed","Rural Area","","","","","1"
"Yes","2000","Employed","Urban Area","","","","","1"
"Yes","2000","Employed","Rural Area","","","","","1"
"No","2001","Not Employed","Rural Area","","","","","2"
"No","2001","Employed","Rural Area","","","","","2"
"No","2001","Not Employed","Urban Area","","","","","2"
"No","2001","Employed","Urban Area","","","","","2"
"Yes","2001","Not Employed","Rural Area","","","","","1"
"Yes","2001","Employed","Urban Area","","","","","1"
"Yes","2001","Employed","Rural Area","","","","","1"
"Yes","2001","Not Employed","Urban Area","","","","","1"
"No","2002","Not Employed","Urban Area","19","","","","2"
"No","2002","Not Employed","Rural Area","14","","","","2"
"No","2002","Employed","Rural Area","851","0.335051301264652","0.317008559943296","0.353094042586008","2"
"No","2002","Employed","Urban Area","1457","0.291771024234961","0.279494530194239","0.304047518275683","2"
"Yes","2002","Not Employed","Rural Area","9","","","","1"
"Yes","2002","Employed","Urban Area","3810","0.708228975765039","0.695952481724317","0.72050546980576","1"
"Yes","2002","Employed","Rural Area","1778","0.664948698735348","0.646905957413992","0.682991440056704","1"
"Yes","2002","Not Employed","Urban Area","15","","","","1"
"No","2003","Employed","Rural Area","816","0.329782946851918","0.311401754453315","0.348164139250521","2"
"No","2003","Not Employed","Urban Area","22","","","","2"
"No","2003","Not Employed","Rural Area","12","","","","2"
"No","2003","Employed","Urban Area","1413","0.287735363322242","0.275189702007415","0.300281024637069","2"
"Yes","2003","Not Employed","Rural Area","12","","","","1"
"Yes","2003","Not Employed","Urban Area","19","","","","1"
"Yes","2003","Employed","Urban Area","3589","0.712264636677758","0.699718975362931","0.724810297992585","1"
"Yes","2003","Employed","Rural Area","1697","0.670217053148082","0.651835860749479","0.688598245546685","1"
"No","2004","Employed","Rural Area","737","0.309997584064615","0.291551933216294","0.328443234912936","2"
"No","2004","Not Employed","Urban Area","12","","","","2"
"No","2004","Not Employed","Rural Area","10","","","","2"
"No","2004","Employed","Urban Area","1357","0.294596198607007","0.281752126143667","0.307440271070347","2"
"Yes","2004","Not Employed","Rural Area","11","","","","1"
"Yes","2004","Employed","Rural Area","1678","0.690002415935385","0.671556765087064","0.708448066783706","1"
"Yes","2004","Not Employed","Urban Area","11","","","","1"
"Yes","2004","Employed","Urban Area","3482","0.705403801392993","0.692559728929653","0.718247873856333","1"
"No","2005","Not Employed","Urban Area","8","","","","2"
"No","2005","Not Employed","Rural Area","9","","","","2"
"No","2005","Employed","Urban Area","1192","0.282650513759856","0.269463457919744","0.295837569599967","2"
"No","2005","Employed","Rural Area","746","0.338030561272102","0.318471702628886","0.357589419915319","2"
"Yes","2005","Not Employed","Rural Area","11","","","","1"
"Yes","2005","Employed","Rural Area","1501","0.661969438727898","0.642410580084681","0.681528297371114","1"
"Yes","2005","Not Employed","Urban Area","13","","","","1"
"Yes","2005","Employed","Urban Area","3287","0.717349486240144","0.704162430400032","0.730536542080256","1"
"No","2006","Not Employed","Urban Area","17","","","","2"
"No","2006","Not Employed","Rural Area","7","","","","2"
"No","2006","Employed","Urban Area","1224","0.260958276329408","0.248689611478113","0.273226941180702","2"
"No","2006","Employed","Rural Area","763","0.311721951603777","0.293491899782614","0.32995200342494","2"
"Yes","2006","Not Employed","Rural Area","18","","","","1"
"Yes","2006","Employed","Rural Area","1717","0.688278048396223","0.67004799657506","0.706508100217386","1"
"Yes","2006","Not Employed","Urban Area","22","","","","1"
"Yes","2006","Employed","Urban Area","3698","0.739041723670592","0.726773058819298","0.751310388521887","1"
"No","2007","Not Employed","Urban Area","20","","","","2"
"No","2007","Not Employed","Rural Area","9","","","","2"
"No","2007","Employed","Urban Area","1052","0.227932064133641","0.215686279780039","0.240177848487244","2"
"No","2007","Employed","Rural Area","720","0.310052093524211","0.291454773799165","0.328649413249256","2"
"Yes","2007","Not Employed","Rural Area","17","","","","1"
"Yes","2007","Employed","Rural Area","1656","0.689947906475789","0.671350586750744","0.708545226200835","1"
"Yes","2007","Not Employed","Urban Area","27","","","","1"
"Yes","2007","Employed","Urban Area","3456","0.772067935866359","0.759822151512756","0.784313720219961","1"
"No","2008","Not Employed","Rural Area","11","","","","2"
"No","2008","Employed","Urban Area","1120","0.247465090727646","0.234795952605695","0.260134228849597","2"
"No","2008","Employed","Rural Area","720","0.337662995153933","0.318415289843742","0.356910700464124","2"
"No","2008","Not Employed","Urban Area","15","","","","2"
"Yes","2008","Not Employed","Urban Area","23","","","","1"
"Yes","2008","Not Employed","Rural Area","16","","","","1"
"Yes","2008","Employed","Rural Area","1599","0.662337004846067","0.643089299535876","0.681584710156259","1"
"Yes","2008","Employed","Urban Area","3337","0.752534909272354","0.739865771150403","0.765204047394305","1"
"No","2009","Not Employed","Rural Area","6","","","","2"
"No","2009","Employed","Urban Area","1039","0.263380004695018","0.249533059510782","0.277226949879255","2"
"No","2009","Employed","Rural Area","704","0.352746793526607","0.332473723237779","0.373019863815436","2"
"No","2009","Not Employed","Urban Area","11","","","","2"
"Yes","2009","Employed","Rural Area","1430","0.647253206473393","0.626980136184564","0.667526276762221","1"
"Yes","2009","Not Employed","Urban Area","9","","","","1"
"Yes","2009","Not Employed","Rural Area","5","","","","1"
"Yes","2009","Employed","Urban Area","2848","0.736619995304982","0.722773050120745","0.750466940489218","1"
"No","2010","Not Employed","Rural Area","24","","","","2"
"No","2010","Not Employed","Urban Area","39","0.542789604426245","0.426089060591234","0.659490148261257","2"
"No","2010","Employed","Urban Area","1562","0.294040097365443","0.281841791784545","0.306238402946342","2"
"No","2010","Employed","Rural Area","962","0.366032519642217","0.348439306128047","0.383625733156387","2"
"Yes","2010","Employed","Rural Area","1918","0.633967480357783","0.616374266843613","0.651560693871953","1"
"Yes","2010","Not Employed","Urban Area","31","0.457210395573755","0.340509851738743","0.573910939408766","1"
"Yes","2010","Not Employed","Rural Area","39","0.439537615057514","0.316977523920465","0.562097706194563","1"
"Yes","2010","Employed","Urban Area","3797","0.705959902634557","0.693761597053658","0.718158208215455","1"
"No","2011","Not Employed","Rural Area","19","","","","2"
"No","2011","Employed","Rural Area","1055","0.30824865332911","0.293166542391802","0.323330764266418","2"
"No","2011","Not Employed","Urban Area","26","","","","2"
"No","2011","Employed","Urban Area","1530","0.233280966872412","0.222923672985118","0.243638260759706","2"
"Yes","2011","Not Employed","Urban Area","55","0.59401731322242","0.487072705986031","0.700961920458809","1"
"Yes","2011","Not Employed","Rural Area","34","0.715771617160043","0.594340185640691","0.837203048679394","1"
"Yes","2011","Employed","Urban Area","4875","0.766719033127588","0.756361739240294","0.777076327014882","1"
"Yes","2011","Employed","Rural Area","2546","0.69175134667089","0.676669235733582","0.706833457608198","1"
"No","2012","Not Employed","Rural Area","42","0.491070825781414","0.385413502045504","0.596728149517323","2"
"No","2012","Employed","Rural Area","1082","0.300846789299304","0.285990611265893","0.315702967332715","2"
"No","2012","Not Employed","Urban Area","43","0.387323439674602","0.302600941470455","0.472045937878748","2"
"No","2012","Employed","Urban Area","1760","0.272341144275136","0.261502346173544","0.283179942376727","2"
"Yes","2012","Not Employed","Urban Area","84","0.612676560325399","0.527954062121252","0.697399058529545","1"
"Yes","2012","Not Employed","Rural Area","44","0.508929174218586","0.403271850482677","0.614586497954495","1"
"Yes","2012","Employed","Urban Area","4720","0.727658855724865","0.716820057623273","0.738497653826456","1"
"Yes","2012","Employed","Rural Area","2579","0.699153210700696","0.684297032667285","0.714009388734107","1"
"No","2013","Not Employed","Rural Area","150","0.355134333935888","0.311162624368194","0.399106043503581","2"
"No","2013","Employed","Rural Area","967","0.30623931815069","0.290508254748161","0.321970381553218","2"
"No","2013","Not Employed","Urban Area","429","0.291528350520052","0.267585178725082","0.315471522315023","2"
"No","2013","Employed","Urban Area","1479","0.253194308093355","0.242071285236157","0.264317330950554","2"
"Yes","2013","Not Employed","Urban Area","955","0.708471649479948","0.684528477684977","0.732414821274918","1"
"Yes","2013","Not Employed","Rural Area","305","0.644865666064112","0.600893956496419","0.688837375631806","1"
"Yes","2013","Employed","Urban Area","4392","0.746805691906645","0.735682669049446","0.757928714763843","1"
"Yes","2013","Employed","Rural Area","2331","0.69376068184931","0.678029618446782","0.709491745251839","1"
"No","2014","Not Employed","Rural Area","28","","","","2"
"No","2014","Employed","Rural Area","1018","0.308228806602485","0.292680101055207","0.323777512149764","2"
"No","2014","Not Employed","Urban Area","60","0.4666850287308","0.388398035395545","0.544972022066055","2"
"No","2014","Employed","Urban Area","1687","0.247940233943568","0.237328531243405","0.258551936643731","2"
"Yes","2014","Not Employed","Rural Area","50","0.490796597253662","0.379854285867861","0.601738908639464","1"
"Yes","2014","Employed","Urban Area","4674","0.752059766056432","0.741448063356269","0.762671468756595","1"
"Yes","2014","Employed","Rural Area","2370","0.691771193397515","0.676222487850237","0.707319898944793","1"
"Yes","2014","Not Employed","Urban Area","96","0.5333149712692","0.455027977933945","0.611601964604455","1"
"No","2015","Not Employed","Urban Area","138","0.296476698659952","0.25413884323182","0.338814554088083","2"
"No","2015","Not Employed","Rural Area","55","0.310863255187375","0.244876832037912","0.376849678336838","2"
"No","2015","Employed","Rural Area","811","0.256089554858182","0.24092414107836","0.271254968638004","2"
"No","2015","Employed","Urban Area","1244","0.224171063535913","0.213353216593852","0.234988910477974","2"
"Yes","2015","Not Employed","Rural Area","134","0.689136744812625","0.623150321663162","0.755123167962088","1"
"Yes","2015","Employed","Urban Area","4465","0.775828936464087","0.765011089522026","0.786646783406148","1"
"Yes","2015","Employed","Rural Area","2371","0.743910445141818","0.728745031361996","0.75907585892164","1"
"Yes","2015","Not Employed","Urban Area","309","0.703523301340048","0.661185445911917","0.74586115676818","1"
"No","2016","Employed","Rural Area","796","0.260981861072746","0.245616090927363","0.27634763121813","2"
"No","2016","Not Employed","Urban Area","26","","","","2"
"No","2016","Not Employed","Rural Area","20","","","","2"
"No","2016","Employed","Urban Area","1314","0.222393294811093","0.21166419225002","0.233122397372165","2"
"Yes","2016","Not Employed","Rural Area","28","","","","1"
"Yes","2016","Not Employed","Urban Area","69","0.728143378509315","0.638676002862649","0.817610754155981","1"
"Yes","2016","Employed","Urban Area","4457","0.777606705188907","0.766877602627835","0.78833580774998","1"
"Yes","2016","Employed","Rural Area","2342","0.739018138927254","0.723652368781871","0.754383909072637","1"
"No","2017","Employed","Rural Area","893","0.256023755291582","0.241500445302775","0.270547065280388","2"
"No","2017","Not Employed","Urban Area","47","0.278927445974342","0.206181839158308","0.351673052790376","2"
"No","2017","Not Employed","Rural Area","29","","","","2"
"No","2017","Employed","Urban Area","1396","0.227885292047809","0.217364869295461","0.238405714800158","2"
"Yes","2017","Not Employed","Rural Area","45","0.545668070809286","0.43222365272678","0.659112488891791","1"
"Yes","2017","Employed","Rural Area","2576","0.743976244708418","0.729452934719612","0.758499554697225","1"
"Yes","2017","Not Employed","Urban Area","99","0.721072554025658","0.648326947209624","0.793818160841692","1"
"Yes","2017","Employed","Urban Area","4711","0.772114707952191","0.761594285199842","0.782635130704539","1"
"No","2018","Not Employed","Urban Area","71","0.322516979839755","0.259594524650714","0.385439435028796","2"
"No","2018","Not Employed","Rural Area","26","","","","2"
"No","2018","Employed","Urban Area","1626","0.233798585639876","0.223422772966568","0.244174398313183","2"
"No","2018","Employed","Rural Area","1003","0.277120625399867","0.262380840203609","0.291860410596126","2"
"Yes","2018","Not Employed","Rural Area","71","0.525578085357781","0.426206271067574","0.624949899647988","1"
"Yes","2018","Employed","Rural Area","2539","0.722879374600133","0.708139589403874","0.737619159796391","1"
"Yes","2018","Not Employed","Urban Area","141","0.677483020160245","0.614560564971204","0.740405475349286","1"
"Yes","2018","Employed","Urban Area","4766","0.766201414360124","0.755825601686817","0.776577227033432","1"
"No","2019","Not Employed","Urban Area","58","0.383828498579481","0.310938247140997","0.456718750017966","2"
"No","2019","Not Employed","Rural Area","35","0.460293615933975","0.362112775110863","0.558474456757087","2"
"No","2019","Employed","Urban Area","1247","0.211437349713912","0.200489626190486","0.222385073237339","2"
"No","2019","Employed","Rural Area","763","0.254724400707412","0.239489531628454","0.269959269786369","2"
"Yes","2019","Not Employed","Rural Area","64","0.539706384066025","0.441525543242913","0.637887224889137","1"
"Yes","2019","Employed","Rural Area","2379","0.745275599292588","0.730040730213631","0.760510468371546","1"
"Yes","2019","Not Employed","Urban Area","113","0.616171501420519","0.543281249982034","0.689061752859004","1"
"Yes","2019","Employed","Urban Area","4097","0.788562650286088","0.777614926762661","0.799510373809514","1"
