"plb0196_h","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"No","1991","lower secondary degree","East Germany","641","1","1","1"
"No","1991","secondary school degree","West Germany","640","1","1","1"
"No","1991","secondary school degree","East Germany","1074","1","1","1"
"No","1991","college entrance qualification","West Germany","446","1","1","1"
"No","1991","college entrance qualification","East Germany","220","1","1","1"
"No","1991","Other degree","West Germany","527","1","1","1"
"No","1991","Other degree","East Germany","17","","",""
"No","1991","no degree/no degree yet","West Germany","300","1","1","1"
"No","1991","no degree/no degree yet","East Germany","2","","",""
"Yes","1992","lower secondary degree","West Germany","","","",""
"Yes","1992","lower secondary degree","East Germany","","","",""
"Yes","1992","secondary school degree","West Germany","","","",""
"Yes","1992","secondary school degree","East Germany","","","",""
"Yes","1992","college entrance qualification","West Germany","","","",""
"Yes","1992","college entrance qualification","East Germany","","","",""
"Yes","1992","Other degree","West Germany","","","",""
"Yes","1992","Other degree","East Germany","","","",""
"Yes","1992","no degree/no degree yet","West Germany","","","",""
"Yes","1992","no degree/no degree yet","East Germany","","","",""
"No","1992","lower secondary degree","West Germany","1618","1","1","1"
"No","1992","lower secondary degree","East Germany","454","1","1","1"
"No","1992","secondary school degree","West Germany","655","1","1","1"
"No","1992","secondary school degree","East Germany","776","1","1","1"
"No","1992","college entrance qualification","West Germany","453","1","1","1"
"No","1992","college entrance qualification","East Germany","163","1","1","1"
"No","1992","Other degree","West Germany","513","1","1","1"
"No","1992","Other degree","East Germany","16","","",""
"No","1992","no degree/no degree yet","West Germany","262","1","1","1"
"No","1992","no degree/no degree yet","East Germany","9","","",""
"Yes","1993","lower secondary degree","West Germany","","","",""
"Yes","1993","lower secondary degree","East Germany","","","",""
"Yes","1993","secondary school degree","West Germany","","","",""
"Yes","1993","secondary school degree","East Germany","","","",""
"Yes","1993","college entrance qualification","West Germany","","","",""
"Yes","1993","college entrance qualification","East Germany","","","",""
"Yes","1993","Other degree","West Germany","","","",""
"Yes","1993","Other degree","East Germany","","","",""
"Yes","1993","no degree/no degree yet","West Germany","","","",""
"Yes","1993","no degree/no degree yet","East Germany","","","",""
"No","1993","lower secondary degree","West Germany","1647","1","1","1"
"No","1993","lower secondary degree","East Germany","324","1","1","1"
"No","1993","secondary school degree","West Germany","685","1","1","1"
"No","1993","secondary school degree","East Germany","744","1","1","1"
"No","1993","college entrance qualification","West Germany","476","1","1","1"
"No","1993","college entrance qualification","East Germany","162","1","1","1"
"No","1993","Other degree","West Germany","511","1","1","1"
"No","1993","Other degree","East Germany","7","","",""
"No","1993","no degree/no degree yet","West Germany","268","1","1","1"
"No","1993","no degree/no degree yet","East Germany","6","","",""
"Yes","1994","lower secondary degree","West Germany","","","",""
"Yes","1994","lower secondary degree","East Germany","","","",""
"Yes","1994","secondary school degree","West Germany","","","",""
"Yes","1994","secondary school degree","East Germany","","","",""
"Yes","1994","college entrance qualification","West Germany","","","",""
"Yes","1994","college entrance qualification","East Germany","","","",""
"Yes","1994","Other degree","West Germany","","","",""
"Yes","1994","Other degree","East Germany","","","",""
"Yes","1994","no degree/no degree yet","West Germany","","","",""
"Yes","1994","no degree/no degree yet","East Germany","","","",""
"No","1994","lower secondary degree","West Germany","1456","1","1","1"
"No","1994","lower secondary degree","East Germany","298","1","1","1"
"No","1994","secondary school degree","West Germany","667","1","1","1"
"No","1994","secondary school degree","East Germany","685","1","1","1"
"No","1994","college entrance qualification","West Germany","500","1","1","1"
"No","1994","college entrance qualification","East Germany","163","1","1","1"
"No","1994","Other degree","West Germany","420","1","1","1"
"No","1994","Other degree","East Germany","11","","",""
"No","1994","no degree/no degree yet","West Germany","243","1","1","1"
"No","1994","no degree/no degree yet","East Germany","4","","",""
"Yes","1995","lower secondary degree","West Germany","","","",""
"Yes","1995","lower secondary degree","East Germany","","","",""
"Yes","1995","secondary school degree","West Germany","","","",""
"Yes","1995","secondary school degree","East Germany","","","",""
"Yes","1995","college entrance qualification","West Germany","","","",""
"Yes","1995","college entrance qualification","East Germany","","","",""
"Yes","1995","Other degree","West Germany","","","",""
"Yes","1995","Other degree","East Germany","","","",""
"Yes","1995","no degree/no degree yet","West Germany","","","",""
"Yes","1995","no degree/no degree yet","East Germany","","","",""
"No","1995","lower secondary degree","West Germany","1384","1","1","1"
"No","1995","lower secondary degree","East Germany","288","1","1","1"
"No","1995","secondary school degree","West Germany","690","1","1","1"
"No","1995","secondary school degree","East Germany","691","1","1","1"
"No","1995","college entrance qualification","West Germany","493","1","1","1"
"No","1995","college entrance qualification","East Germany","176","1","1","1"
"No","1995","Other degree","West Germany","515","1","1","1"
"No","1995","Other degree","East Germany","12","","",""
"No","1995","no degree/no degree yet","West Germany","199","1","1","1"
"No","1995","no degree/no degree yet","East Germany","5","","",""
"Yes","1996","lower secondary degree","West Germany","","","",""
"Yes","1996","lower secondary degree","East Germany","","","",""
"Yes","1996","secondary school degree","West Germany","","","",""
"Yes","1996","secondary school degree","East Germany","","","",""
"Yes","1996","college entrance qualification","West Germany","","","",""
"Yes","1996","college entrance qualification","East Germany","","","",""
"Yes","1996","Other degree","West Germany","","","",""
"Yes","1996","Other degree","East Germany","","","",""
"Yes","1996","no degree/no degree yet","West Germany","","","",""
"Yes","1996","no degree/no degree yet","East Germany","","","",""
"No","1996","lower secondary degree","West Germany","1364","1","1","1"
"No","1996","lower secondary degree","East Germany","258","1","1","1"
"No","1996","secondary school degree","West Germany","671","1","1","1"
"No","1996","secondary school degree","East Germany","697","1","1","1"
"No","1996","college entrance qualification","West Germany","491","1","1","1"
"No","1996","college entrance qualification","East Germany","173","1","1","1"
"No","1996","Other degree","West Germany","461","1","1","1"
"No","1996","Other degree","East Germany","12","","",""
"No","1996","no degree/no degree yet","West Germany","184","1","1","1"
"No","1996","no degree/no degree yet","East Germany","5","","",""
"Yes","1997","lower secondary degree","West Germany","","","",""
"Yes","1997","lower secondary degree","East Germany","","","",""
"Yes","1997","secondary school degree","West Germany","","","",""
"Yes","1997","secondary school degree","East Germany","","","",""
"Yes","1997","college entrance qualification","West Germany","","","",""
"Yes","1997","college entrance qualification","East Germany","","","",""
"Yes","1997","Other degree","West Germany","","","",""
"Yes","1997","Other degree","East Germany","","","",""
"Yes","1997","no degree/no degree yet","West Germany","","","",""
"Yes","1997","no degree/no degree yet","East Germany","","","",""
"No","1997","lower secondary degree","West Germany","421","1","1","1"
"No","1997","lower secondary degree","East Germany","91","1","1","1"
"No","1997","secondary school degree","West Germany","219","1","1","1"
"No","1997","secondary school degree","East Germany","280","1","1","1"
"No","1997","college entrance qualification","West Germany","152","1","1","1"
"No","1997","college entrance qualification","East Germany","59","1","1","1"
"No","1997","Other degree","West Germany","111","1","1","1"
"No","1997","Other degree","East Germany","3","","",""
"No","1997","no degree/no degree yet","West Germany","43","1","1","1"
"No","1997","no degree/no degree yet","East Germany","","","",""
"Yes","1998","lower secondary degree","West Germany","","","",""
"Yes","1998","lower secondary degree","East Germany","","","",""
"Yes","1998","secondary school degree","West Germany","","","",""
"Yes","1998","secondary school degree","East Germany","","","",""
"Yes","1998","college entrance qualification","West Germany","","","",""
"Yes","1998","college entrance qualification","East Germany","","","",""
"Yes","1998","Other degree","West Germany","","","",""
"Yes","1998","Other degree","East Germany","","","",""
"Yes","1998","no degree/no degree yet","West Germany","","","",""
"Yes","1998","no degree/no degree yet","East Germany","","","",""
"No","1998","lower secondary degree","West Germany","434","1","1","1"
"No","1998","lower secondary degree","East Germany","101","1","1","1"
"No","1998","secondary school degree","West Germany","242","1","1","1"
"No","1998","secondary school degree","East Germany","304","1","1","1"
"No","1998","college entrance qualification","West Germany","162","1","1","1"
"No","1998","college entrance qualification","East Germany","67","1","1","1"
"No","1998","Other degree","West Germany","89","1","1","1"
"No","1998","Other degree","East Germany","3","","",""
"No","1998","no degree/no degree yet","West Germany","32","1","1","1"
"No","1998","no degree/no degree yet","East Germany","2","","",""
"Yes","1999","lower secondary degree","West Germany","","","",""
"Yes","1999","lower secondary degree","East Germany","","","",""
"Yes","1999","secondary school degree","West Germany","","","",""
"Yes","1999","secondary school degree","East Germany","","","",""
"Yes","1999","college entrance qualification","West Germany","","","",""
"Yes","1999","college entrance qualification","East Germany","","","",""
"Yes","1999","Other degree","West Germany","","","",""
"Yes","1999","Other degree","East Germany","","","",""
"Yes","1999","no degree/no degree yet","West Germany","","","",""
"Yes","1999","no degree/no degree yet","East Germany","","","",""
"No","1999","lower secondary degree","West Germany","410","1","1","1"
"No","1999","lower secondary degree","East Germany","82","1","1","1"
"No","1999","secondary school degree","West Germany","257","1","1","1"
"No","1999","secondary school degree","East Germany","299","1","1","1"
"No","1999","college entrance qualification","West Germany","147","1","1","1"
"No","1999","college entrance qualification","East Germany","70","1","1","1"
"No","1999","Other degree","West Germany","69","1","1","1"
"No","1999","Other degree","East Germany","3","","",""
"No","1999","no degree/no degree yet","West Germany","31","1","1","1"
"No","1999","no degree/no degree yet","East Germany","1","","",""
"Yes","2000","lower secondary degree","West Germany","","","",""
"Yes","2000","lower secondary degree","East Germany","","","",""
"Yes","2000","secondary school degree","West Germany","","","",""
"Yes","2000","secondary school degree","East Germany","","","",""
"Yes","2000","college entrance qualification","West Germany","","","",""
"Yes","2000","college entrance qualification","East Germany","","","",""
"Yes","2000","Other degree","West Germany","","","",""
"Yes","2000","Other degree","East Germany","","","",""
"Yes","2000","no degree/no degree yet","West Germany","","","",""
"Yes","2000","no degree/no degree yet","East Germany","","","",""
"No","2000","lower secondary degree","West Germany","766","1","1","1"
"No","2000","lower secondary degree","East Germany","95","1","1","1"
"No","2000","secondary school degree","West Germany","525","1","1","1"
"No","2000","secondary school degree","East Germany","458","1","1","1"
"No","2000","college entrance qualification","West Germany","387","1","1","1"
"No","2000","college entrance qualification","East Germany","125","1","1","1"
"No","2000","Other degree","West Germany","132","1","1","1"
"No","2000","Other degree","East Germany","2","","",""
"No","2000","no degree/no degree yet","West Germany","28","","",""
"No","2000","no degree/no degree yet","East Germany","1","","",""
"Yes","2001","lower secondary degree","West Germany","","","",""
"Yes","2001","lower secondary degree","East Germany","","","",""
"Yes","2001","secondary school degree","West Germany","","","",""
"Yes","2001","secondary school degree","East Germany","","","",""
"Yes","2001","college entrance qualification","West Germany","","","",""
"Yes","2001","college entrance qualification","East Germany","","","",""
"Yes","2001","Other degree","West Germany","","","",""
"Yes","2001","Other degree","East Germany","","","",""
"Yes","2001","no degree/no degree yet","West Germany","","","",""
"Yes","2001","no degree/no degree yet","East Germany","","","",""
"No","2001","lower secondary degree","West Germany","709","1","1","1"
"No","2001","lower secondary degree","East Germany","99","1","1","1"
"No","2001","secondary school degree","West Germany","472","1","1","1"
"No","2001","secondary school degree","East Germany","413","1","1","1"
"No","2001","college entrance qualification","West Germany","394","1","1","1"
"No","2001","college entrance qualification","East Germany","116","1","1","1"
"No","2001","Other degree","West Germany","124","1","1","1"
"No","2001","Other degree","East Germany","2","","",""
"No","2001","no degree/no degree yet","West Germany","18","","",""
"No","2001","no degree/no degree yet","East Germany","3","","",""
"Yes","2002","lower secondary degree","West Germany","1154","0.632338024731002","0.609862700383265","0.654813349078738"
"Yes","2002","lower secondary degree","East Germany","108","0.525193790413333","0.456330084182139","0.594057496644528"
"Yes","2002","secondary school degree","West Germany","1305","0.729339564128538","0.708751277977926","0.74992785027915"
"Yes","2002","secondary school degree","East Germany","798","0.655790133827331","0.628997912612261","0.682582355042401"
"Yes","2002","college entrance qualification","West Germany","1576","0.774239650692834","0.756070519729614","0.792408781656055"
"Yes","2002","college entrance qualification","East Germany","416","0.74861009627317","0.711952945229199","0.78526724731714"
"Yes","2002","Other degree","West Germany","190","0.600248869032494","0.545184353192855","0.655313384872132"
"Yes","2002","Other degree","East Germany","2","","",""
"Yes","2002","no degree/no degree yet","West Germany","35","0.697080505224831","0.575637689841924","0.818523320607739"
"Yes","2002","no degree/no degree yet","East Germany","2","","",""
"No","2002","lower secondary degree","West Germany","614","0.367661975268998","0.345186650921261","0.390137299616735"
"No","2002","lower secondary degree","East Germany","94","0.474806209586667","0.405942503355472","0.543669915817861"
"No","2002","secondary school degree","West Germany","484","0.270660435871462","0.25007214972085","0.291248722022074"
"No","2002","secondary school degree","East Germany","410","0.344209866172669","0.317417644957599","0.371002087387739"
"No","2002","college entrance qualification","West Germany","458","0.225760349307166","0.207591218343945","0.243929480270386"
"No","2002","college entrance qualification","East Germany","122","0.251389903726831","0.21473275268286","0.288047054770801"
"No","2002","Other degree","West Germany","114","0.399751130967507","0.344686615127868","0.454815646807145"
"No","2002","Other degree","East Germany","1","","",""
"No","2002","no degree/no degree yet","West Germany","20","","",""
"No","2002","no degree/no degree yet","East Germany","7","","",""
"Yes","2003","lower secondary degree","West Germany","1093","0.645610700481487","0.622792177481108","0.668429223481865"
"Yes","2003","lower secondary degree","East Germany","102","0.560953504191746","0.486132517861475","0.635774490522016"
"Yes","2003","secondary school degree","West Germany","1245","0.726549757931695","0.70561246434971","0.747487051513679"
"Yes","2003","secondary school degree","East Germany","762","0.654284812281107","0.626700784074551","0.681868840487663"
"Yes","2003","college entrance qualification","West Germany","1484","0.781938802885645","0.763487750763906","0.800389855007383"
"Yes","2003","college entrance qualification","East Germany","397","0.771236087189023","0.735340368887409","0.807131805490638"
"Yes","2003","Other degree","West Germany","159","0.540075377092233","0.48127717193518","0.598873582249287"
"Yes","2003","Other degree","East Germany","4","","",""
"Yes","2003","no degree/no degree yet","West Germany","24","","",""
"Yes","2003","no degree/no degree yet","East Germany","3","","",""
"No","2003","lower secondary degree","West Germany","595","0.354389299518513","0.331570776518135","0.377207822518892"
"No","2003","lower secondary degree","East Germany","67","0.439046495808254","0.364225509477984","0.513867482138525"
"No","2003","secondary school degree","West Germany","496","0.273450242068305","0.252512948486321","0.29438753565029"
"No","2003","secondary school degree","East Germany","380","0.345715187718893","0.318131159512337","0.373299215925449"
"No","2003","college entrance qualification","West Germany","440","0.218061197114355","0.199610144992617","0.236512249236094"
"No","2003","college entrance qualification","East Germany","129","0.228763912810977","0.192868194509362","0.264659631112592"
"No","2003","Other degree","West Germany","117","0.459924622907767","0.401126417750713","0.51872282806482"
"No","2003","Other degree","East Germany","3","","",""
"No","2003","no degree/no degree yet","West Germany","14","","",""
"No","2003","no degree/no degree yet","East Germany","1","","",""
"Yes","2004","lower secondary degree","West Germany","1047","0.642660092319286","0.618985791948213","0.666334392690359"
"Yes","2004","lower secondary degree","East Germany","94","0.586435950511421","0.512838028884017","0.660033872138825"
"Yes","2004","secondary school degree","West Germany","1239","0.722898730748017","0.701616880141435","0.744180581354599"
"Yes","2004","secondary school degree","East Germany","773","0.687359081608128","0.660051136134368","0.714667027081888"
"Yes","2004","college entrance qualification","West Germany","1406","0.763564399588115","0.744291138593186","0.782837660583043"
"Yes","2004","college entrance qualification","East Germany","377","0.720525632490958","0.681580004458572","0.759471260523344"
"Yes","2004","Other degree","West Germany","165","0.640882908567429","0.581414616046732","0.700351201088127"
"Yes","2004","Other degree","East Germany","4","","",""
"Yes","2004","no degree/no degree yet","West Germany","23","","",""
"Yes","2004","no degree/no degree yet","East Germany","2","","",""
"No","2004","lower secondary degree","West Germany","527","0.357339907680714","0.333665607309641","0.381014208051787"
"No","2004","lower secondary degree","East Germany","78","0.413564049488579","0.339966127861175","0.487161971115983"
"No","2004","secondary school degree","West Germany","460","0.277101269251983","0.255819418645401","0.298383119858565"
"No","2004","secondary school degree","East Germany","334","0.312640918391872","0.285332972918112","0.339948863865632"
"No","2004","college entrance qualification","West Germany","461","0.236435600411886","0.217162339416957","0.255708861406814"
"No","2004","college entrance qualification","East Germany","133","0.279474367509042","0.240528739476656","0.318419995541428"
"No","2004","Other degree","West Germany","85","0.359117091432571","0.299648798911873","0.418585383953268"
"No","2004","Other degree","East Germany","4","","",""
"No","2004","no degree/no degree yet","West Germany","11","","",""
"No","2004","no degree/no degree yet","East Germany","1","","",""
"Yes","2005","lower secondary degree","West Germany","979","0.680473679045001","0.656297316386392","0.704650041703611"
"Yes","2005","lower secondary degree","East Germany","69","0.449424957217979","0.365823183756028","0.53302673067993"
"Yes","2005","secondary school degree","West Germany","1142","0.733622101961745","0.711845358707476","0.755398845216014"
"Yes","2005","secondary school degree","East Germany","693","0.661132212446062","0.63229606625199","0.689968358640134"
"Yes","2005","college entrance qualification","West Germany","1312","0.735331579168437","0.714464790620319","0.756198367716555"
"Yes","2005","college entrance qualification","East Germany","374","0.755545210538395","0.717570450052399","0.79351997102439"
"Yes","2005","Other degree","West Germany","158","0.63959859501403","0.578982694989226","0.700214495038834"
"Yes","2005","Other degree","East Germany","5","","",""
"Yes","2005","no degree/no degree yet","West Germany","21","","",""
"Yes","2005","no degree/no degree yet","East Germany","3","","",""
"No","2005","lower secondary degree","West Germany","450","0.319526320954999","0.295349958296389","0.343702683613608"
"No","2005","lower secondary degree","East Germany","67","0.550575042782021","0.46697326932007","0.634176816243972"
"No","2005","secondary school degree","West Germany","441","0.266377898038255","0.244601154783986","0.288154641292523"
"No","2005","secondary school degree","East Germany","342","0.338867787553938","0.310031641359866","0.36770393374801"
"No","2005","college entrance qualification","West Germany","405","0.264668420831563","0.243801632283445","0.285535209379681"
"No","2005","college entrance qualification","East Germany","118","0.244454789461605","0.20648002897561","0.282429549947601"
"No","2005","Other degree","West Germany","83","0.36040140498597","0.299785504961166","0.421017305010774"
"No","2005","Other degree","East Germany","3","","",""
"No","2005","no degree/no degree yet","West Germany","15","","",""
"No","2005","no degree/no degree yet","East Germany","1","","",""
"Yes","2006","lower secondary degree","West Germany","1085","0.684324591722755","0.661260453040874","0.707388730404636"
"Yes","2006","lower secondary degree","East Germany","85","0.590640101838511","0.510047683955628","0.671232519721394"
"Yes","2006","secondary school degree","West Germany","1292","0.738473088106064","0.717847783075061","0.759098393137068"
"Yes","2006","secondary school degree","East Germany","789","0.702950026084065","0.676223950157455","0.729676102010675"
"Yes","2006","college entrance qualification","West Germany","1524","0.77655967128925","0.758085491468502","0.795033851109997"
"Yes","2006","college entrance qualification","East Germany","393","0.722462750350592","0.683938625449553","0.760986875251631"
"Yes","2006","Other degree","West Germany","181","0.668174507443588","0.611800290951245","0.724548723935931"
"Yes","2006","Other degree","East Germany","6","","",""
"Yes","2006","no degree/no degree yet","West Germany","18","","",""
"Yes","2006","no degree/no degree yet","East Germany","1","","",""
"No","2006","lower secondary degree","West Germany","475","0.315675408277245","0.292611269595364","0.338739546959126"
"No","2006","lower secondary degree","East Germany","58","0.409359898161489","0.328767480278606","0.489952316044372"
"No","2006","secondary school degree","West Germany","452","0.261526911893936","0.240901606862932","0.282152216924939"
"No","2006","secondary school degree","East Germany","334","0.297049973915935","0.270323897989325","0.323776049842545"
"No","2006","college entrance qualification","West Germany","429","0.223440328710751","0.204966148890003","0.241914508531498"
"No","2006","college entrance qualification","East Germany","126","0.277537249649408","0.23901312474837","0.316061374550447"
"No","2006","Other degree","West Germany","87","0.331825492556412","0.275451276064069","0.388199709048755"
"No","2006","Other degree","East Germany","4","","",""
"No","2006","no degree/no degree yet","West Germany","14","","",""
"No","2006","no degree/no degree yet","East Germany","1","","",""
"Yes","2007","lower secondary degree","West Germany","1007","0.714734708681165","0.691191052159762","0.738278365202567"
"Yes","2007","lower secondary degree","East Germany","79","0.598223487897573","0.514589052797369","0.681857922997777"
"Yes","2007","secondary school degree","West Germany","1210","0.76319152143229","0.742321671569292","0.784061371295287"
"Yes","2007","secondary school degree","East Germany","751","0.68695447151338","0.659220396868507","0.714688546158254"
"Yes","2007","college entrance qualification","West Germany","1442","0.802151876220476","0.783814235529959","0.820489516910992"
"Yes","2007","college entrance qualification","East Germany","390","0.724229986244195","0.686290079579347","0.762169892909042"
"Yes","2007","Other degree","West Germany","166","0.740469296573768","0.68369153726643","0.797247055881105"
"Yes","2007","Other degree","East Germany","5","","",""
"Yes","2007","no degree/no degree yet","West Germany","13","","",""
"Yes","2007","no degree/no degree yet","East Germany","1","","",""
"No","2007","lower secondary degree","West Germany","406","0.285265291318835","0.261721634797433","0.308808947840238"
"No","2007","lower secondary degree","East Germany","53","0.401776512102427","0.318142077002223","0.485410947202631"
"No","2007","secondary school degree","West Germany","384","0.23680847856771","0.215938628704713","0.257678328430708"
"No","2007","secondary school degree","East Germany","323","0.31304552848662","0.285311453841746","0.340779603131493"
"No","2007","college entrance qualification","West Germany","371","0.197848123779524","0.179510483089008","0.216185764470041"
"No","2007","college entrance qualification","East Germany","143","0.275770013755805","0.237830107090958","0.313709920420653"
"No","2007","Other degree","West Germany","63","0.259530703426232","0.202752944118895","0.31630846273357"
"No","2007","Other degree","East Germany","3","","",""
"No","2007","no degree/no degree yet","West Germany","13","","",""
"No","2007","no degree/no degree yet","East Germany","1","","",""
"Yes","2008","lower secondary degree","West Germany","942","0.686717429935074","0.662245642053265","0.711189217816883"
"Yes","2008","lower secondary degree","East Germany","73","0.62773442008889","0.542990705383166","0.712478134794614"
"Yes","2008","secondary school degree","West Germany","1196","0.746532629092559","0.725191515630267","0.767873742554852"
"Yes","2008","secondary school degree","East Germany","732","0.667202227199725","0.638794954089899","0.695609500309551"
"Yes","2008","college entrance qualification","West Germany","1359","0.767231868572186","0.74749430735105","0.786969429793322"
"Yes","2008","college entrance qualification","East Germany","383","0.721623802406621","0.68302670150644","0.760220903306802"
"Yes","2008","Other degree","West Germany","148","0.652483612308755","0.588535056913947","0.716432167703563"
"Yes","2008","Other degree","East Germany","8","","",""
"Yes","2008","no degree/no degree yet","West Germany","19","","",""
"Yes","2008","no degree/no degree yet","East Germany","","","",""
"No","2008","lower secondary degree","West Germany","438","0.313282570064926","0.288810782183117","0.337754357946735"
"No","2008","lower secondary degree","East Germany","52","0.37226557991111","0.287521865205386","0.457009294616834"
"No","2008","secondary school degree","West Germany","400","0.253467370907441","0.232126257445148","0.274808484369733"
"No","2008","secondary school degree","East Germany","325","0.332797772800275","0.304390499690449","0.361205045910101"
"No","2008","college entrance qualification","West Germany","402","0.232768131427814","0.213030570206678","0.25250569264895"
"No","2008","college entrance qualification","East Germany","135","0.278376197593379","0.239779096693198","0.31697329849356"
