"plb0196_h","year","sex","n","percent","lower_confidence","upper_confidence"
"No","2007","Female","900","0.283675483003068","0.267860562397803","0.299490403608333"
"Yes","2008","Male","2759","0.738375308356377","0.724209460112693","0.752541156600061"
"Yes","2008","Female","2216","0.697962452501818","0.681910702096279","0.714014202907358"
"No","2008","Male","939","0.261624691643623","0.247458843399939","0.275790539887307"
"No","2008","Female","927","0.302037547498182","0.285985797092643","0.318089297903721"
"Yes","2009","Male","2327","0.722781193843523","0.707382332808835","0.73818005487821"
"Yes","2009","Female","1965","0.685521668760319","0.668342180843411","0.702701156677228"
"No","2009","Male","919","0.277218806156477","0.26181994512179","0.292617667191165"
"No","2009","Female","841","0.314478331239681","0.297298843322772","0.331657819156589"
"Yes","2010","Male","3229","0.695027820702031","0.681692791369439","0.708362850034623"
"Yes","2010","Female","2556","0.663294349816387","0.648254793623421","0.678333906009352"
"No","2010","Male","1350","0.304972179297969","0.291637149965377","0.318307208630561"
"No","2010","Female","1237","0.336705650183613","0.321666093990648","0.351745206376579"
"Yes","2011","Male","4103","0.759403022556685","0.748001242173606","0.770804802939765"
"Yes","2011","Female","3407","0.718493823666638","0.705692095624308","0.731295551708969"
"No","2011","Male","1296","0.240596977443315","0.229195197060235","0.251998757826394"
"No","2011","Female","1334","0.281506176333361","0.268704448291031","0.294307904375692"
"Yes","2012","Male","3952","0.725995917330746","0.714073506934424","0.737918327727068"
"Yes","2012","Female","3475","0.703739335831753","0.69105512201333","0.716423549650176"
"No","2012","Male","1424","0.274004082669254","0.262081672272932","0.285926493065576"
"No","2012","Female","1503","0.296260664168247","0.283576450349824","0.30894487798667"
"Yes","2013","Male","4258","0.730843107896771","0.719411064149383","0.742275151644159"
"Yes","2013","Female","3725","0.720599718340826","0.70843438951959","0.732765047162062"
"No","2013","Male","1524","0.269156892103229","0.257724848355841","0.280588935850617"
"No","2013","Female","1501","0.279400281659174","0.267234952837938","0.29156561048041"
"Yes","2014","Male","3817","0.737162094973814","0.725110996022874","0.749213193924753"
"Yes","2014","Female","3373","0.720193739040504","0.707570444359928","0.732817033721081"
"No","2014","Male","1308","0.262837905026186","0.250786806075247","0.274889003977126"
"No","2014","Female","1485","0.279806260959496","0.267182966278919","0.292429555640072"
"Yes","2015","Male","3801","0.759631682337567","0.747718250967842","0.771545113707291"
"Yes","2015","Female","3478","0.76793585138699","0.755716591026489","0.780155111747491"
"No","2015","Male","1141","0.240368317662433","0.228454886292709","0.252281749032158"
"No","2015","Female","1107","0.23206414861301","0.21984488825251","0.244283408973511"
"Yes","2016","Male","3519","0.771503670677493","0.759264853433828","0.783742487921159"
"Yes","2016","Female","3377","0.753806706408057","0.741263193889205","0.766350218926909"
"No","2016","Male","1002","0.228496329322507","0.216257512078841","0.240735146566172"
"No","2016","Female","1154","0.246193293591943","0.233649781073091","0.258736806110795"
"Yes","2017","Male","3840","0.771455605981341","0.759807600702451","0.783103611260231"
"Yes","2017","Female","3591","0.750342578557798","0.738103502668285","0.762581654447311"
"No","2017","Male","1152","0.228544394018659","0.216896388739769","0.240192399297549"
"No","2017","Female","1213","0.249657421442202","0.237418345552688","0.261896497331715"
"Yes","2018","Male","3912","0.763956996618108","0.752472399765817","0.7754415934704"
"Yes","2018","Female","3605","0.735232710449781","0.722992218260049","0.747473202639513"
"No","2018","Male","1340","0.236043003381891","0.2245584065296","0.247527600234183"
"No","2018","Female","1386","0.264767289550219","0.252526797360487","0.277007781739951"
"Yes","2019","Male","3622","0.769915117405926","0.757912979499405","0.781917255312447"
"Yes","2019","Female","3423","0.765955799150882","0.753668148611655","0.778243449690109"
"No","2019","Male","1102","0.230084882594074","0.218082744687553","0.242087020500595"
"No","2019","Female","1138","0.234044200849118","0.221756550309891","0.246331851388345"
