"plb0196_h","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Yes","1990","Bremen","","","",""
"Yes","1990","North Rhine-Westphalia","","","",""
"Yes","1990","Hesse","","","",""
"Yes","1990","Rhineland-Palatinate,Saarland","","","",""
"Yes","1990","Baden-Württemberg","","","",""
"Yes","1990","Bavaria","","","",""
"Yes","1990","Berlin","","","",""
"Yes","1990","Brandenburg","","","",""
"Yes","1990","Mecklenburg-Western Pomerania","","","",""
"Yes","1990","Saxony","","","",""
"Yes","1990","Saxony-Anhalt","","","",""
"Yes","1990","Thuringia","","","",""
"No","1990","Schleswig-Holstein","111","1","1","1"
"No","1990","Hamburg","55","1","1","1"
"No","1990","Lower Saxony","342","1","1","1"
"No","1990","Bremen","25","","",""
"No","1990","North Rhine-Westphalia","963","1","1","1"
"No","1990","Hesse","401","1","1","1"
"No","1990","Rhineland-Palatinate,Saarland","227","1","1","1"
"No","1990","Baden-Württemberg","759","1","1","1"
"No","1990","Bavaria","675","1","1","1"
"No","1990","Berlin","156","1","1","1"
"No","1990","Brandenburg","","","",""
"No","1990","Mecklenburg-Western Pomerania","","","",""
"No","1990","Saxony","","","",""
"No","1990","Saxony-Anhalt","","","",""
"No","1990","Thuringia","","","",""
"Yes","1991","Schleswig-Holstein","","","",""
"Yes","1991","Hamburg","","","",""
"Yes","1991","Lower Saxony","","","",""
"Yes","1991","Bremen","","","",""
"Yes","1991","North Rhine-Westphalia","","","",""
"Yes","1991","Hesse","","","",""
"Yes","1991","Rhineland-Palatinate,Saarland","","","",""
"Yes","1991","Baden-Württemberg","","","",""
"Yes","1991","Bavaria","","","",""
"Yes","1991","Berlin","","","",""
"Yes","1991","Brandenburg","","","",""
"Yes","1991","Mecklenburg-Western Pomerania","","","",""
"Yes","1991","Saxony","","","",""
"Yes","1991","Saxony-Anhalt","","","",""
"Yes","1991","Thuringia","","","",""
"No","1991","Schleswig-Holstein","114","1","1","1"
"No","1991","Hamburg","57","1","1","1"
"No","1991","Lower Saxony","335","1","1","1"
"No","1991","Bremen","23","","",""
"No","1991","North Rhine-Westphalia","964","1","1","1"
"No","1991","Hesse","400","1","1","1"
"No","1991","Rhineland-Palatinate,Saarland","244","1","1","1"
"No","1991","Baden-Württemberg","755","1","1","1"
"No","1991","Bavaria","659","1","1","1"
"No","1991","Berlin","258","1","1","1"
"No","1991","Brandenburg","331","1","1","1"
"No","1991","Mecklenburg-Western Pomerania","239","1","1","1"
"No","1991","Saxony","568","1","1","1"
"No","1991","Saxony-Anhalt","398","1","1","1"
"No","1991","Thuringia","316","1","1","1"
"Yes","1992","Schleswig-Holstein","","","",""
"Yes","1992","Hamburg","","","",""
"Yes","1992","Lower Saxony","","","",""
"Yes","1992","Bremen","","","",""
"Yes","1992","North Rhine-Westphalia","","","",""
"Yes","1992","Hesse","","","",""
"Yes","1992","Rhineland-Palatinate,Saarland","","","",""
"Yes","1992","Baden-Württemberg","","","",""
"Yes","1992","Bavaria","","","",""
"Yes","1992","Berlin","","","",""
"Yes","1992","Brandenburg","","","",""
"Yes","1992","Mecklenburg-Western Pomerania","","","",""
"Yes","1992","Saxony","","","",""
"Yes","1992","Saxony-Anhalt","","","",""
"Yes","1992","Thuringia","","","",""
"No","1992","Schleswig-Holstein","103","1","1","1"
"No","1992","Hamburg","61","1","1","1"
"No","1992","Lower Saxony","310","1","1","1"
"No","1992","Bremen","22","","",""
"No","1992","North Rhine-Westphalia","967","1","1","1"
"No","1992","Hesse","379","1","1","1"
"No","1992","Rhineland-Palatinate,Saarland","221","1","1","1"
"No","1992","Baden-Württemberg","721","1","1","1"
"No","1992","Bavaria","695","1","1","1"
"No","1992","Berlin","219","1","1","1"
"No","1992","Brandenburg","248","1","1","1"
"No","1992","Mecklenburg-Western Pomerania","159","1","1","1"
"No","1992","Saxony","394","1","1","1"
"No","1992","Saxony-Anhalt","295","1","1","1"
"No","1992","Thuringia","244","1","1","1"
"Yes","1993","Schleswig-Holstein","","","",""
"Yes","1993","Hamburg","","","",""
"Yes","1993","Lower Saxony","","","",""
"Yes","1993","Bremen","","","",""
"Yes","1993","North Rhine-Westphalia","","","",""
"Yes","1993","Hesse","","","",""
"Yes","1993","Rhineland-Palatinate,Saarland","","","",""
"Yes","1993","Baden-Württemberg","","","",""
"Yes","1993","Bavaria","","","",""
"Yes","1993","Berlin","","","",""
"Yes","1993","Brandenburg","","","",""
"Yes","1993","Mecklenburg-Western Pomerania","","","",""
"Yes","1993","Saxony","","","",""
"Yes","1993","Saxony-Anhalt","","","",""
"Yes","1993","Thuringia","","","",""
"No","1993","Schleswig-Holstein","98","1","1","1"
"No","1993","Hamburg","57","1","1","1"
"No","1993","Lower Saxony","351","1","1","1"
"No","1993","Bremen","24","","",""
"No","1993","North Rhine-Westphalia","1008","1","1","1"
"No","1993","Hesse","390","1","1","1"
"No","1993","Rhineland-Palatinate,Saarland","224","1","1","1"
"No","1993","Baden-Württemberg","751","1","1","1"
"No","1993","Bavaria","688","1","1","1"
"No","1993","Berlin","215","1","1","1"
"No","1993","Brandenburg","233","1","1","1"
"No","1993","Mecklenburg-Western Pomerania","133","1","1","1"
"No","1993","Saxony","329","1","1","1"
"No","1993","Saxony-Anhalt","242","1","1","1"
"No","1993","Thuringia","220","1","1","1"
"Yes","1994","Schleswig-Holstein","","","",""
"Yes","1994","Hamburg","","","",""
"Yes","1994","Lower Saxony","","","",""
"Yes","1994","Bremen","","","",""
"Yes","1994","North Rhine-Westphalia","","","",""
"Yes","1994","Hesse","","","",""
"Yes","1994","Rhineland-Palatinate,Saarland","","","",""
"Yes","1994","Baden-Württemberg","","","",""
"Yes","1994","Bavaria","","","",""
"Yes","1994","Berlin","","","",""
"Yes","1994","Brandenburg","","","",""
"Yes","1994","Mecklenburg-Western Pomerania","","","",""
"Yes","1994","Saxony","","","",""
"Yes","1994","Saxony-Anhalt","","","",""
"Yes","1994","Thuringia","","","",""
"No","1994","Schleswig-Holstein","109","1","1","1"
"No","1994","Hamburg","46","1","1","1"
"No","1994","Lower Saxony","341","1","1","1"
"No","1994","Bremen","21","","",""
"No","1994","North Rhine-Westphalia","930","1","1","1"
"No","1994","Hesse","359","1","1","1"
"No","1994","Rhineland-Palatinate,Saarland","211","1","1","1"
"No","1994","Baden-Württemberg","681","1","1","1"
"No","1994","Bavaria","631","1","1","1"
"No","1994","Berlin","189","1","1","1"
"No","1994","Brandenburg","199","1","1","1"
"No","1994","Mecklenburg-Western Pomerania","133","1","1","1"
"No","1994","Saxony","330","1","1","1"
"No","1994","Saxony-Anhalt","221","1","1","1"
"No","1994","Thuringia","203","1","1","1"
"Yes","1995","Schleswig-Holstein","","","",""
"Yes","1995","Hamburg","","","",""
"Yes","1995","Lower Saxony","","","",""
"Yes","1995","Bremen","","","",""
"Yes","1995","North Rhine-Westphalia","","","",""
"Yes","1995","Hesse","","","",""
"Yes","1995","Rhineland-Palatinate,Saarland","","","",""
"Yes","1995","Baden-Württemberg","","","",""
"Yes","1995","Bavaria","","","",""
"Yes","1995","Berlin","","","",""
"Yes","1995","Brandenburg","","","",""
"Yes","1995","Mecklenburg-Western Pomerania","","","",""
"Yes","1995","Saxony","","","",""
"Yes","1995","Saxony-Anhalt","","","",""
"Yes","1995","Thuringia","","","",""
"No","1995","Schleswig-Holstein","90","1","1","1"
"No","1995","Hamburg","43","1","1","1"
"No","1995","Lower Saxony","337","1","1","1"
"No","1995","Bremen","19","","",""
"No","1995","North Rhine-Westphalia","905","1","1","1"
"No","1995","Hesse","370","1","1","1"
"No","1995","Rhineland-Palatinate,Saarland","247","1","1","1"
"No","1995","Baden-Württemberg","672","1","1","1"
"No","1995","Bavaria","638","1","1","1"
"No","1995","Berlin","178","1","1","1"
"No","1995","Brandenburg","215","1","1","1"
"No","1995","Mecklenburg-Western Pomerania","135","1","1","1"
"No","1995","Saxony","315","1","1","1"
"No","1995","Saxony-Anhalt","233","1","1","1"
"No","1995","Thuringia","203","1","1","1"
"Yes","1996","Schleswig-Holstein","","","",""
"Yes","1996","Hamburg","","","",""
"Yes","1996","Lower Saxony","","","",""
"Yes","1996","Bremen","","","",""
"Yes","1996","North Rhine-Westphalia","","","",""
"Yes","1996","Hesse","","","",""
"Yes","1996","Rhineland-Palatinate,Saarland","","","",""
"Yes","1996","Baden-Württemberg","","","",""
"Yes","1996","Bavaria","","","",""
"Yes","1996","Berlin","","","",""
"Yes","1996","Brandenburg","","","",""
"Yes","1996","Mecklenburg-Western Pomerania","","","",""
"Yes","1996","Saxony","","","",""
"Yes","1996","Saxony-Anhalt","","","",""
"Yes","1996","Thuringia","","","",""
"No","1996","Schleswig-Holstein","99","1","1","1"
"No","1996","Hamburg","46","1","1","1"
"No","1996","Lower Saxony","345","1","1","1"
"No","1996","Bremen","22","","",""
"No","1996","North Rhine-Westphalia","902","1","1","1"
"No","1996","Hesse","337","1","1","1"
"No","1996","Rhineland-Palatinate,Saarland","244","1","1","1"
"No","1996","Baden-Württemberg","618","1","1","1"
"No","1996","Bavaria","597","1","1","1"
"No","1996","Berlin","172","1","1","1"
"No","1996","Brandenburg","201","1","1","1"
"No","1996","Mecklenburg-Western Pomerania","131","1","1","1"
"No","1996","Saxony","333","1","1","1"
"No","1996","Saxony-Anhalt","223","1","1","1"
"No","1996","Thuringia","195","1","1","1"
"Yes","1997","Schleswig-Holstein","","","",""
"Yes","1997","Hamburg","","","",""
"Yes","1997","Lower Saxony","","","",""
"Yes","1997","Bremen","","","",""
"Yes","1997","North Rhine-Westphalia","","","",""
"Yes","1997","Hesse","","","",""
"Yes","1997","Rhineland-Palatinate,Saarland","","","",""
"Yes","1997","Baden-Württemberg","","","",""
"Yes","1997","Bavaria","","","",""
"Yes","1997","Berlin","","","",""
"Yes","1997","Brandenburg","","","",""
"Yes","1997","Mecklenburg-Western Pomerania","","","",""
"Yes","1997","Saxony","","","",""
"Yes","1997","Saxony-Anhalt","","","",""
"Yes","1997","Thuringia","","","",""
"No","1997","Schleswig-Holstein","37","1","1","1"
"No","1997","Hamburg","18","","",""
"No","1997","Lower Saxony","120","1","1","1"
"No","1997","Bremen","11","","",""
"No","1997","North Rhine-Westphalia","239","1","1","1"
"No","1997","Hesse","84","1","1","1"
"No","1997","Rhineland-Palatinate,Saarland","72","1","1","1"
"No","1997","Baden-Württemberg","169","1","1","1"
"No","1997","Bavaria","214","1","1","1"
"No","1997","Berlin","44","1","1","1"
"No","1997","Brandenburg","80","1","1","1"
"No","1997","Mecklenburg-Western Pomerania","47","1","1","1"
"No","1997","Saxony","132","1","1","1"
"No","1997","Saxony-Anhalt","85","1","1","1"
"No","1997","Thuringia","74","1","1","1"
"Yes","1998","Schleswig-Holstein","","","",""
"Yes","1998","Hamburg","","","",""
"Yes","1998","Lower Saxony","","","",""
"Yes","1998","Bremen","","","",""
"Yes","1998","North Rhine-Westphalia","","","",""
"Yes","1998","Hesse","","","",""
"Yes","1998","Rhineland-Palatinate,Saarland","","","",""
"Yes","1998","Baden-Württemberg","","","",""
"Yes","1998","Bavaria","","","",""
"Yes","1998","Berlin","","","",""
"Yes","1998","Brandenburg","","","",""
"Yes","1998","Mecklenburg-Western Pomerania","","","",""
"Yes","1998","Saxony","","","",""
"Yes","1998","Saxony-Anhalt","","","",""
"Yes","1998","Thuringia","","","",""
"No","1998","Schleswig-Holstein","37","1","1","1"
"No","1998","Hamburg","14","","",""
"No","1998","Lower Saxony","139","1","1","1"
"No","1998","Bremen","7","","",""
"No","1998","North Rhine-Westphalia","251","1","1","1"
"No","1998","Hesse","95","1","1","1"
"No","1998","Rhineland-Palatinate,Saarland","77","1","1","1"
"No","1998","Baden-Württemberg","177","1","1","1"
"No","1998","Bavaria","186","1","1","1"
"No","1998","Berlin","53","1","1","1"
"No","1998","Brandenburg","80","1","1","1"
"No","1998","Mecklenburg-Western Pomerania","55","1","1","1"
"No","1998","Saxony","153","1","1","1"
"No","1998","Saxony-Anhalt","84","1","1","1"
"No","1998","Thuringia","97","1","1","1"
"Yes","1999","Schleswig-Holstein","","","",""
"Yes","1999","Hamburg","","","",""
"Yes","1999","Lower Saxony","","","",""
"Yes","1999","Bremen","","","",""
"Yes","1999","North Rhine-Westphalia","","","",""
"Yes","1999","Hesse","","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","","","",""
"Yes","1999","Baden-Württemberg","","","",""
"Yes","1999","Bavaria","","","",""
"Yes","1999","Berlin","","","",""
"Yes","1999","Brandenburg","","","",""
"Yes","1999","Mecklenburg-Western Pomerania","","","",""
"Yes","1999","Saxony","","","",""
"Yes","1999","Saxony-Anhalt","","","",""
"Yes","1999","Thuringia","","","",""
"No","1999","Schleswig-Holstein","39","1","1","1"
"No","1999","Hamburg","10","","",""
"No","1999","Lower Saxony","141","1","1","1"
"No","1999","Bremen","7","","",""
"No","1999","North Rhine-Westphalia","221","1","1","1"
"No","1999","Hesse","84","1","1","1"
"No","1999","Rhineland-Palatinate,Saarland","83","1","1","1"
"No","1999","Baden-Württemberg","143","1","1","1"
"No","1999","Bavaria","199","1","1","1"
"No","1999","Berlin","49","1","1","1"
"No","1999","Brandenburg","73","1","1","1"
"No","1999","Mecklenburg-Western Pomerania","58","1","1","1"
"No","1999","Saxony","132","1","1","1"
"No","1999","Saxony-Anhalt","83","1","1","1"
"No","1999","Thuringia","91","1","1","1"
"Yes","2000","Schleswig-Holstein","","","",""
"Yes","2000","Hamburg","","","",""
"Yes","2000","Lower Saxony","","","",""
"Yes","2000","Bremen","","","",""
"Yes","2000","North Rhine-Westphalia","","","",""
"Yes","2000","Hesse","","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","","","",""
"Yes","2000","Baden-Württemberg","","","",""
"Yes","2000","Bavaria","","","",""
"Yes","2000","Berlin","","","",""
"Yes","2000","Brandenburg","","","",""
"Yes","2000","Mecklenburg-Western Pomerania","","","",""
"Yes","2000","Saxony","","","",""
"Yes","2000","Saxony-Anhalt","","","",""
"Yes","2000","Thuringia","","","",""
"No","2000","Schleswig-Holstein","59","1","1","1"
"No","2000","Hamburg","48","1","1","1"
"No","2000","Lower Saxony","249","1","1","1"
"No","2000","Bremen","22","","",""
"No","2000","North Rhine-Westphalia","506","1","1","1"
"No","2000","Hesse","159","1","1","1"
"No","2000","Rhineland-Palatinate,Saarland","145","1","1","1"
"No","2000","Baden-Württemberg","255","1","1","1"
"No","2000","Bavaria","350","1","1","1"
"No","2000","Berlin","95","1","1","1"
"No","2000","Brandenburg","114","1","1","1"
"No","2000","Mecklenburg-Western Pomerania","73","1","1","1"
"No","2000","Saxony","187","1","1","1"
"No","2000","Saxony-Anhalt","120","1","1","1"
"No","2000","Thuringia","140","1","1","1"
"Yes","2001","Schleswig-Holstein","","","",""
"Yes","2001","Hamburg","","","",""
"Yes","2001","Lower Saxony","","","",""
"Yes","2001","Bremen","","","",""
"Yes","2001","North Rhine-Westphalia","","","",""
"Yes","2001","Hesse","","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","","","",""
"Yes","2001","Baden-Württemberg","","","",""
"Yes","2001","Bavaria","","","",""
"Yes","2001","Berlin","","","",""
"Yes","2001","Brandenburg","","","",""
"Yes","2001","Mecklenburg-Western Pomerania","","","",""
"Yes","2001","Saxony","","","",""
"Yes","2001","Saxony-Anhalt","","","",""
"Yes","2001","Thuringia","","","",""
"No","2001","Schleswig-Holstein","55","1","1","1"
"No","2001","Hamburg","28","","",""
"No","2001","Lower Saxony","240","1","1","1"
"No","2001","Bremen","11","","",""
"No","2001","North Rhine-Westphalia","454","1","1","1"
"No","2001","Hesse","152","1","1","1"
"No","2001","Rhineland-Palatinate,Saarland","127","1","1","1"
"No","2001","Baden-Württemberg","261","1","1","1"
"No","2001","Bavaria","353","1","1","1"
"No","2001","Berlin","77","1","1","1"
"No","2001","Brandenburg","112","1","1","1"
"No","2001","Mecklenburg-Western Pomerania","69","1","1","1"
"No","2001","Saxony","175","1","1","1"
"No","2001","Saxony-Anhalt","113","1","1","1"
"No","2001","Thuringia","132","1","1","1"
"Yes","2002","Schleswig-Holstein","171","0.70527944061083","0.646358455206649","0.764200426015011"
"Yes","2002","Hamburg","91","0.728698445167469","0.648811709915913","0.808585180419025"
"Yes","2002","Lower Saxony","489","0.688634682857704","0.654233527008075","0.723035838707334"
"Yes","2002","Bremen","39","0.606422817475174","0.482806674442671","0.730038960507677"
"Yes","2002","North Rhine-Westphalia","1125","0.71771329492218","0.695326956182035","0.740099633662325"
"Yes","2002","Hesse","420","0.705068406578314","0.668458279435139","0.74167853372149"
"Yes","2002","Rhineland-Palatinate,Saarland","308","0.686159159930036","0.642144098228833","0.730174221631239"
"Yes","2002","Baden-Württemberg","731","0.725412001389102","0.697763971118169","0.753060031660035"
"Yes","2002","Bavaria","804","0.672733658921366","0.645708636653851","0.699758681188881"
"Yes","2002","Berlin","195","0.654163207646054","0.598351585702139","0.70997482958997"
"Yes","2002","Brandenburg","215","0.666647053811126","0.615708070458508","0.717586037163744"
"Yes","2002","Mecklenburg-Western Pomerania","110","0.55622152171171","0.486666727808918","0.625776315614502"
"Yes","2002","Saxony","458","0.721684292190564","0.686321382296356","0.757047202084772"
"Yes","2002","Saxony-Anhalt","221","0.581364752914199","0.529532425123271","0.633197080705127"
"Yes","2002","Thuringia","235","0.675694707406606","0.626227072539702","0.72516234227351"
"No","2002","Schleswig-Holstein","59","0.29472055938917","0.235799573984989","0.353641544793351"
"No","2002","Hamburg","28","","",""
"No","2002","Lower Saxony","207","0.311365317142296","0.276964161292666","0.345766472991925"
"No","2002","Bremen","21","","",""
"No","2002","North Rhine-Westphalia","428","0.28228670507782","0.259900366337675","0.304673043817965"
"No","2002","Hesse","176","0.294931593421686","0.258321466278511","0.331541720564861"
"No","2002","Rhineland-Palatinate,Saarland","119","0.313840840069964","0.269825778368761","0.357855901771167"
"No","2002","Baden-Württemberg","270","0.274587998610898","0.246939968339965","0.302236028881831"
"No","2002","Bavaria","354","0.327266341078634","0.300241318811119","0.354291363346149"
"No","2002","Berlin","84","0.345836792353946","0.29002517041003","0.401648414297861"
"No","2002","Brandenburg","114","0.333352946188874","0.282413962836256","0.384291929541492"
"No","2002","Mecklenburg-Western Pomerania","86","0.44377847828829","0.374223684385498","0.513333272191082"
"No","2002","Saxony","159","0.278315707809436","0.242952797915228","0.313678617703644"
"No","2002","Saxony-Anhalt","127","0.418635247085801","0.366802919294873","0.470467574876729"
"No","2002","Thuringia","109","0.324305292593394","0.27483765772649","0.373772927460299"
"Yes","2003","Schleswig-Holstein","146","0.728561396559415","0.66661951691552","0.79050327620331"
"Yes","2003","Hamburg","84","0.73968292179845","0.656539033939025","0.822826809657875"
"Yes","2003","Lower Saxony","477","0.695532147665968","0.661393233348878","0.729671061983059"
"Yes","2003","Bremen","36","0.553779618474434","0.425848181016147","0.68171105593272"
"Yes","2003","North Rhine-Westphalia","1061","0.711836080771095","0.68868350984025","0.73498865170194"
"Yes","2003","Hesse","389","0.705362229978822","0.667570872090349","0.743153587867294"
"Yes","2003","Rhineland-Palatinate,Saarland","286","0.602894824620835","0.556100089070622","0.649689560171048"
"Yes","2003","Baden-Württemberg","685","0.748359519320479","0.720735344163858","0.775983694477099"
"Yes","2003","Bavaria","775","0.695504154365659","0.668540819967068","0.72246748876425"
"Yes","2003","Berlin","207","0.757270698160451","0.70555375974429","0.808987636576611"
"Yes","2003","Brandenburg","200","0.662561449575012","0.609496396690465","0.71562650245956"
"Yes","2003","Mecklenburg-Western Pomerania","118","0.615433928077693","0.54475522081908","0.686112635336306"
"Yes","2003","Saxony","416","0.661570456899247","0.623518494940836","0.699622418857658"
"Yes","2003","Saxony-Anhalt","203","0.601656585293862","0.546983209389091","0.656329961198634"
"Yes","2003","Thuringia","234","0.683604515678041","0.634881779605882","0.732327251750199"
"No","2003","Schleswig-Holstein","52","0.271438603440585","0.20949672379669","0.33338048308448"
"No","2003","Hamburg","23","","",""
"No","2003","Lower Saxony","221","0.304467852334032","0.270328938016941","0.338606766651122"
"No","2003","Bremen","22","","",""
"No","2003","North Rhine-Westphalia","409","0.288163919228905","0.26501134829806","0.31131649015975"
"No","2003","Hesse","170","0.294637770021178","0.256846412132706","0.332429127909651"
"No","2003","Rhineland-Palatinate,Saarland","134","0.397105175379165","0.350310439828952","0.443899910929378"
"No","2003","Baden-Württemberg","263","0.251640480679521","0.2240163055229","0.279264655836142"
"No","2003","Bavaria","344","0.304495845634341","0.27753251123575","0.331459180032932"
"No","2003","Berlin","57","0.242729301839549","0.191012363423389","0.29444624025571"
"No","2003","Brandenburg","105","0.337438550424988","0.28437349754044","0.390503603309536"
"No","2003","Mecklenburg-Western Pomerania","64","0.384566071922307","0.313887364663694","0.45524477918092"
"No","2003","Saxony","178","0.338429543100753","0.300377581142342","0.376481505059164"
"No","2003","Saxony-Anhalt","105","0.398343414706138","0.343670038801366","0.45301679061091"
"No","2003","Thuringia","116","0.316395484321959","0.267672748249801","0.365118220394118"
"Yes","2004","Schleswig-Holstein","159","0.763017481036727","0.70408448872682","0.821950473346635"
"Yes","2004","Hamburg","69","0.700729088592693","0.609123957458056","0.792334219727331"
"Yes","2004","Lower Saxony","441","0.663140177295543","0.626291930422955","0.69998842416813"
"Yes","2004","Bremen","40","0.609537662337662","0.481763240325674","0.737312084349651"
"Yes","2004","North Rhine-Westphalia","1035","0.712088153239443","0.688628319924579","0.735547986554307"
"Yes","2004","Hesse","388","0.742757598488838","0.705473301465023","0.780041895512653"
"Yes","2004","Rhineland-Palatinate,Saarland","270","0.652353615513309","0.604845824856818","0.699861406169801"
"Yes","2004","Baden-Württemberg","664","0.713959586791104","0.684852877332183","0.743066296250026"
"Yes","2004","Bavaria","771","0.705094337100801","0.677998734582703","0.732189939618898"
"Yes","2004","Berlin","181","0.675785535768788","0.619214926530023","0.732356145007553"
"Yes","2004","Brandenburg","195","0.657855086384067","0.602285234675843","0.713424938092291"
"Yes","2004","Mecklenburg-Western Pomerania","103","0.575613967694024","0.501750435785872","0.649477499602177"
"Yes","2004","Saxony","423","0.713709449115234","0.676794601522526","0.750624296707942"
"Yes","2004","Saxony-Anhalt","216","0.696326444039499","0.646637464954468","0.746015423124529"
"Yes","2004","Thuringia","227","0.682729362921945","0.632890867998525","0.732567857845365"
"No","2004","Schleswig-Holstein","41","0.236982518963273","0.178049526653365","0.29591551127318"
"No","2004","Hamburg","27","","",""
"No","2004","Lower Saxony","191","0.336859822704457","0.30001157583187","0.373708069577045"
