"plb0196_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1990","Full Time","Female","","","",""
"Yes","1990","Part Time","Male","","","",""
"Yes","1990","Part Time","Female","","","",""
"Yes","1990","Not Working","Male","","","",""
"Yes","1990","Not Working","Female","","","",""
"No","1990","Full Time","Male","1735","1","1","1"
"No","1990","Full Time","Female","832","1","1","1"
"No","1990","Part Time","Male","257","1","1","1"
"No","1990","Part Time","Female","805","1","1","1"
"No","1990","Not Working","Male","37","1","1","1"
"No","1990","Not Working","Female","48","1","1","1"
"Yes","1991","Full Time","Male","","","",""
"Yes","1991","Full Time","Female","","","",""
"Yes","1991","Part Time","Male","","","",""
"Yes","1991","Part Time","Female","","","",""
"Yes","1991","Not Working","Male","","","",""
"Yes","1991","Not Working","Female","","","",""
"No","1991","Full Time","Male","1660","1","1","1"
"No","1991","Full Time","Female","828","1","1","1"
"No","1991","Part Time","Male","270","1","1","1"
"No","1991","Part Time","Female","803","1","1","1"
"No","1991","Not Working","Male","46","1","1","1"
"No","1991","Not Working","Female","65","1","1","1"
"Yes","1992","Full Time","Male","","","",""
"Yes","1992","Full Time","Female","","","",""
"Yes","1992","Part Time","Male","","","",""
"Yes","1992","Part Time","Female","","","",""
"Yes","1992","Not Working","Male","","","",""
"Yes","1992","Not Working","Female","","","",""
"No","1992","Full Time","Male","2311","1","1","1"
"No","1992","Full Time","Female","1284","1","1","1"
"No","1992","Part Time","Male","374","1","1","1"
"No","1992","Part Time","Female","968","1","1","1"
"No","1992","Not Working","Male","38","1","1","1"
"No","1992","Not Working","Female","63","1","1","1"
"Yes","1993","Full Time","Male","","","",""
"Yes","1993","Full Time","Female","","","",""
"Yes","1993","Part Time","Male","","","",""
"Yes","1993","Part Time","Female","","","",""
"Yes","1993","Not Working","Male","","","",""
"Yes","1993","Not Working","Female","","","",""
"No","1993","Full Time","Male","2287","1","1","1"
"No","1993","Full Time","Female","1229","1","1","1"
"No","1993","Part Time","Male","342","1","1","1"
"No","1993","Part Time","Female","957","1","1","1"
"No","1993","Not Working","Male","45","1","1","1"
"No","1993","Not Working","Female","103","1","1","1"
"Yes","1994","Full Time","Male","","","",""
"Yes","1994","Full Time","Female","","","",""
"Yes","1994","Part Time","Male","","","",""
"Yes","1994","Part Time","Female","","","",""
"Yes","1994","Not Working","Male","","","",""
"Yes","1994","Not Working","Female","","","",""
"No","1994","Full Time","Male","2089","1","1","1"
"No","1994","Full Time","Female","1130","1","1","1"
"No","1994","Part Time","Male","317","1","1","1"
"No","1994","Part Time","Female","937","1","1","1"
"No","1994","Not Working","Male","51","1","1","1"
"No","1994","Not Working","Female","80","1","1","1"
"Yes","1995","Full Time","Male","","","",""
"Yes","1995","Full Time","Female","","","",""
"Yes","1995","Part Time","Male","","","",""
"Yes","1995","Part Time","Female","","","",""
"Yes","1995","Not Working","Male","","","",""
"Yes","1995","Not Working","Female","","","",""
"No","1995","Full Time","Male","1963","1","1","1"
"No","1995","Full Time","Female","1055","1","1","1"
"No","1995","Part Time","Male","409","1","1","1"
"No","1995","Part Time","Female","1021","1","1","1"
"No","1995","Not Working","Male","61","1","1","1"
"No","1995","Not Working","Female","91","1","1","1"
"Yes","1996","Full Time","Male","","","",""
"Yes","1996","Full Time","Female","","","",""
"Yes","1996","Part Time","Male","","","",""
"Yes","1996","Part Time","Female","","","",""
"Yes","1996","Not Working","Male","","","",""
"Yes","1996","Not Working","Female","","","",""
"No","1996","Full Time","Male","1828","1","1","1"
"No","1996","Full Time","Female","1010","1","1","1"
"No","1996","Part Time","Male","481","1","1","1"
"No","1996","Part Time","Female","1025","1","1","1"
"No","1996","Not Working","Male","42","1","1","1"
"No","1996","Not Working","Female","79","1","1","1"
"Yes","1997","Full Time","Male","","","",""
"Yes","1997","Full Time","Female","","","",""
"Yes","1997","Part Time","Male","","","",""
"Yes","1997","Part Time","Female","","","",""
"Yes","1997","Not Working","Male","","","",""
"Yes","1997","Not Working","Female","","","",""
"No","1997","Full Time","Male","715","1","1","1"
"No","1997","Full Time","Female","336","1","1","1"
"No","1997","Part Time","Male","113","1","1","1"
"No","1997","Part Time","Female","242","1","1","1"
"No","1997","Not Working","Male","9","","",""
"No","1997","Not Working","Female","11","","",""
"Yes","1998","Full Time","Male","","","",""
"Yes","1998","Full Time","Female","","","",""
"Yes","1998","Part Time","Male","","","",""
"Yes","1998","Part Time","Female","","","",""
"Yes","1998","Not Working","Male","","","",""
"Yes","1998","Not Working","Female","","","",""
"No","1998","Full Time","Male","708","1","1","1"
"No","1998","Full Time","Female","342","1","1","1"
"No","1998","Part Time","Male","144","1","1","1"
"No","1998","Part Time","Female","288","1","1","1"
"No","1998","Not Working","Male","11","","",""
"No","1998","Not Working","Female","12","","",""
"Yes","1999","Full Time","Male","","","",""
"Yes","1999","Full Time","Female","","","",""
"Yes","1999","Part Time","Male","","","",""
"Yes","1999","Part Time","Female","","","",""
"Yes","1999","Not Working","Male","","","",""
"Yes","1999","Not Working","Female","","","",""
"No","1999","Full Time","Male","678","1","1","1"
"No","1999","Full Time","Female","325","1","1","1"
"No","1999","Part Time","Male","128","1","1","1"
"No","1999","Part Time","Female","265","1","1","1"
"No","1999","Not Working","Male","5","","",""
"No","1999","Not Working","Female","12","","",""
"Yes","2000","Full Time","Male","","","",""
"Yes","2000","Full Time","Female","","","",""
"Yes","2000","Part Time","Male","","","",""
"Yes","2000","Part Time","Female","","","",""
"Yes","2000","Not Working","Male","","","",""
"Yes","2000","Not Working","Female","","","",""
"No","2000","Full Time","Male","1237","1","1","1"
"No","2000","Full Time","Female","605","1","1","1"
"No","2000","Part Time","Male","180","1","1","1"
"No","2000","Part Time","Female","462","1","1","1"
"No","2000","Not Working","Male","17","","",""
"No","2000","Not Working","Female","21","","",""
"Yes","2001","Full Time","Male","","","",""
"Yes","2001","Full Time","Female","","","",""
"Yes","2001","Part Time","Male","","","",""
"Yes","2001","Part Time","Female","","","",""
"Yes","2001","Not Working","Male","","","",""
"Yes","2001","Not Working","Female","","","",""
"No","2001","Full Time","Male","1115","1","1","1"
"No","2001","Full Time","Female","543","1","1","1"
"No","2001","Part Time","Male","198","1","1","1"
"No","2001","Part Time","Female","472","1","1","1"
"No","2001","Not Working","Male","12","","",""
"No","2001","Not Working","Female","19","","",""
"Yes","2002","Full Time","Male","3060","0.719488929182054","0.705863352037005","0.733114506327104"
"Yes","2002","Full Time","Female","1456","0.72010626334637","0.70040108371331","0.73981144297943"
"Yes","2002","Part Time","Male","221","0.512438263219371","0.464347726325589","0.560528800113153"
"Yes","2002","Part Time","Female","851","0.629921421110291","0.60378555433829","0.656057287882292"
"Yes","2002","Not Working","Male","10","","",""
"Yes","2002","Not Working","Female","14","","",""
"No","2002","Full Time","Male","1116","0.280511070817946","0.266885493672896","0.294136647962995"
"No","2002","Full Time","Female","538","0.27989373665363","0.26018855702057","0.29959891628669"
"No","2002","Part Time","Male","194","0.487561736780629","0.439471199886847","0.535652273674411"
"No","2002","Part Time","Female","460","0.370078578889709","0.343942712117708","0.39621444566171"
"No","2002","Not Working","Male","12","","",""
"No","2002","Not Working","Female","21","","",""
"Yes","2003","Full Time","Male","2871","0.72720626784121","0.713202571225669","0.741209964456751"
"Yes","2003","Full Time","Female","1362","0.715029240135564","0.694900964027227","0.735157516243902"
"Yes","2003","Part Time","Male","216","0.563433375808243","0.512898200223211","0.613968551393275"
"Yes","2003","Part Time","Female","837","0.631402888405793","0.605446642762249","0.657359134049337"
"Yes","2003","Not Working","Male","9","","",""
"Yes","2003","Not Working","Female","22","","",""
"No","2003","Full Time","Male","1015","0.27279373215879","0.258790035543249","0.286797428774331"
"No","2003","Full Time","Female","570","0.284970759864436","0.264842483756098","0.305099035972773"
"No","2003","Part Time","Male","154","0.436566624191757","0.386031448606725","0.487101799776789"
"No","2003","Part Time","Female","490","0.368597111594207","0.342640865950663","0.394553357237751"
"No","2003","Not Working","Male","9","","",""
"No","2003","Not Working","Female","25","","",""
"Yes","2004","Full Time","Male","2789","0.7409907852804","0.726931679895999","0.755049890664801"
"Yes","2004","Full Time","Female","1359","0.705325101859204","0.684634414707637","0.726015789010771"
"Yes","2004","Part Time","Male","215","0.542583567982883","0.492690764973175","0.592476370992591"
"Yes","2004","Part Time","Female","797","0.617122473948624","0.590451530861848","0.643793417035401"
"Yes","2004","Not Working","Male","9","","",""
"Yes","2004","Not Working","Female","13","","",""
"No","2004","Full Time","Male","941","0.2590092147196","0.244950109335199","0.273068320104001"
"No","2004","Full Time","Female","506","0.294674898140796","0.273984210989229","0.315365585292363"
"No","2004","Part Time","Male","168","0.457416432017117","0.407523629007409","0.507309235026824"
"No","2004","Part Time","Female","479","0.382877526051376","0.356206582964599","0.409548469138153"
"No","2004","Not Working","Male","9","","",""
"No","2004","Not Working","Female","13","","",""
"Yes","2005","Full Time","Male","2578","0.732324934943445","0.717551060195487","0.747098809691404"
"Yes","2005","Full Time","Female","1240","0.707906559723188","0.686347692890249","0.729465426556127"
"Yes","2005","Part Time","Male","197","0.585515055652559","0.532761820198007","0.638268291107111"
"Yes","2005","Part Time","Female","773","0.624474663557419","0.597433848964847","0.651515478149992"
"Yes","2005","Not Working","Male","16","","",""
"Yes","2005","Not Working","Female","8","","",""
"No","2005","Full Time","Male","872","0.267675065056555","0.252901190308596","0.282448939804513"
"No","2005","Full Time","Female","469","0.292093440276812","0.270534573443873","0.313652307109751"
"No","2005","Part Time","Male","138","0.414484944347441","0.361731708892889","0.467238179801993"
"No","2005","Part Time","Female","459","0.375525336442581","0.348484521850008","0.402566151035153"
"No","2005","Not Working","Male","4","","",""
"No","2005","Not Working","Female","13","","",""
"Yes","2006","Full Time","Male","2823","0.754983363377738","0.741102415845178","0.768864310910297"
"Yes","2006","Full Time","Female","1499","0.781054565835314","0.762566987228097","0.799542144442531"
"Yes","2006","Part Time","Male","210","0.568814291016792","0.516480005611505","0.62114857642208"
"Yes","2006","Part Time","Female","883","0.596029588484932","0.570755674777092","0.621303502192771"
"Yes","2006","Not Working","Male","22","","",""
"Yes","2006","Not Working","Female","18","","",""
"No","2006","Full Time","Male","865","0.245016636622262","0.231135689089703","0.258897584154822"
"No","2006","Full Time","Female","423","0.218945434164686","0.200457855557469","0.237433012771903"
"No","2006","Part Time","Male","134","0.431185708983208","0.37885142357792","0.483519994388495"
"No","2006","Part Time","Female","565","0.403970411515068","0.378696497807229","0.429244325222908"
"No","2006","Not Working","Male","7","","",""
"No","2006","Not Working","Female","17","","",""
"Yes","2007","Full Time","Male","2722","0.782238034007991","0.768547082091208","0.795928985924773"
"Yes","2007","Full Time","Female","1314","0.75774677589382","0.737661666183091","0.777831885604549"
"Yes","2007","Part Time","Male","195","0.580232638560518","0.526159881632162","0.634305395488875"
"Yes","2007","Part Time","Female","881","0.6674033811701","0.642034970000903","0.692771792339298"
"Yes","2007","Not Working","Male","18","","",""
"Yes","2007","Not Working","Female","26","","",""
"No","2007","Full Time","Male","769","0.217761965992009","0.204071014075226","0.231452917908792"
"No","2007","Full Time","Female","434","0.24225322410618","0.222168114395451","0.262338333816909"
"No","2007","Part Time","Male","125","0.419767361439482","0.365694604511125","0.473840118367838"
"No","2007","Part Time","Female","444","0.3325966188299","0.307228207660702","0.357965029999097"
"No","2007","Not Working","Male","7","","",""
"No","2007","Not Working","Female","22","","",""
"Yes","2008","Full Time","Male","2558","0.757574697117101","0.743099375003122","0.772050019231079"
"Yes","2008","Full Time","Female","1315","0.732881507597048","0.712104027503014","0.753658987691081"
"Yes","2008","Part Time","Male","186","0.584004228093419","0.528688246262588","0.63932020992425"
"Yes","2008","Part Time","Female","877","0.652041808659355","0.626745288007335","0.677338329311374"
"Yes","2008","Not Working","Male","15","","",""
"Yes","2008","Not Working","Female","24","","",""
"No","2008","Full Time","Male","809","0.242425302882899","0.227949980768921","0.256900624996878"
"No","2008","Full Time","Female","427","0.267118492402952","0.246341012308919","0.287895972496986"
"No","2008","Part Time","Male","119","0.415995771906581","0.36067979007575","0.471311753737412"
"No","2008","Part Time","Female","485","0.347958191340645","0.322661670688626","0.373254711992665"
"No","2008","Not Working","Male","11","","",""
"No","2008","Not Working","Female","15","","",""
"Yes","2009","Full Time","Male","2159","0.737183378995275","0.721294307014656","0.753072450975894"
"Yes","2009","Full Time","Female","1199","0.713841437174765","0.691743873052296","0.735939001297234"
"Yes","2009","Part Time","Male","159","0.583974480877554","0.526649246211487","0.641299715543622"
"Yes","2009","Part Time","Female","761","0.651616563136927","0.624454412099445","0.678778714174408"
"Yes","2009","Not Working","Male","9","","",""
"Yes","2009","Not Working","Female","5","","",""
"No","2009","Full Time","Male","789","0.262816621004725","0.246927549024106","0.278705692985344"
"No","2009","Full Time","Female","408","0.286158562825235","0.264060998702766","0.308256126947704"
"No","2009","Part Time","Male","125","0.416025519122446","0.358700284456378","0.473350753788513"
"No","2009","Part Time","Female","421","0.348383436863073","0.321221285825592","0.375545587900555"
"No","2009","Not Working","Male","5","","",""
"No","2009","Not Working","Female","12","","",""
"Yes","2010","Full Time","Male","2961","0.702844589643537","0.688886486800278","0.716802692486796"
"Yes","2010","Full Time","Female","1329","0.717934792400286","0.697288887774825","0.738580697025747"
"Yes","2010","Part Time","Male","253","0.638612077176739","0.593205449909305","0.684018704444173"
"Yes","2010","Part Time","Female","1172","0.591803719129938","0.569503165848836","0.614104272411039"
"Yes","2010","Not Working","Male","15","","",""
"Yes","2010","Not Working","Female","55","0.400213130478555","0.305132479013848","0.495293781943262"
"No","2010","Full Time","Male","1157","0.297155410356463","0.283197307513204","0.311113513199722"
"No","2010","Full Time","Female","496","0.282065207599714","0.261419302974253","0.302711112225175"
"No","2010","Part Time","Male","177","0.361387922823261","0.315981295555827","0.406794550090695"
"No","2010","Part Time","Female","694","0.408196280870062","0.385895727588961","0.430496834151164"
"No","2010","Not Working","Male","16","","",""
"No","2010","Not Working","Female","47","0.599786869521445","0.504706218056738","0.694867520986152"
"Yes","2011","Full Time","Male","3733","0.777986456768425","0.766231723858116","0.789741189678734"
"Yes","2011","Full Time","Female","1674","0.756177801528927","0.738263680340975","0.774091922716879"
"Yes","2011","Part Time","Male","353","0.630433477712678","0.590703117114062","0.670163838311294"
"Yes","2011","Part Time","Female","1661","0.664026876159523","0.645247115558131","0.682806636760916"
"Yes","2011","Not Working","Male","17","","",""
"Yes","2011","Not Working","Female","72","0.730126565176494","0.644814478470638","0.815438651882351"
"No","2011","Full Time","Male","1069","0.222013543231575","0.210258810321266","0.233768276141884"
"No","2011","Full Time","Female","533","0.243822198471073","0.225908077283121","0.261736319659025"
"No","2011","Part Time","Male","214","0.369566522287322","0.329836161688706","0.409296882885938"
"No","2011","Part Time","Female","769","0.335973123840477","0.317193363239084","0.354752884441869"
"No","2011","Not Working","Male","13","","",""
"No","2011","Not Working","Female","32","0.269873434823506","0.184561348117649","0.355185521529363"
"Yes","2012","Full Time","Male","3586","0.749661636681564","0.737361413652767","0.761961859710362"
"Yes","2012","Full Time","Female","1781","0.762344031669942","0.745149326770474","0.77953873656941"
"Yes","2012","Part Time","Male","312","0.557815964756794","0.515046855017764","0.600585074495823"
"Yes","2012","Part Time","Female","1620","0.627115745028863","0.608175229134496","0.64605626092323"
"Yes","2012","Not Working","Male","54","0.571837447402316","0.471272355852426","0.672402538952207"
"Yes","2012","Not Working","Female","74","0.578551338243509","0.490202517138725","0.666900159348293"
"No","2012","Full Time","Male","1179","0.250338363318435","0.238038140289638","0.262638586347233"
"No","2012","Full Time","Female","573","0.237655968330058","0.22046126343059","0.254850673229526"
"No","2012","Part Time","Male","206","0.442184035243206","0.399414925504177","0.484953144982236"
"No","2012","Part Time","Female","884","0.372884254971137","0.35394373907677","0.391824770865504"
"No","2012","Not Working","Male","39","0.428162552597684","0.327597461047793","0.528727644147574"
"No","2012","Not Working","Female","46","0.421448661756491","0.333099840651707","0.509797482861275"
"Yes","2013","Full Time","Male","3232","0.748259499036864","0.735215731054364","0.761303267019365"
"Yes","2013","Full Time","Female","1647","0.772603029271925","0.754898001314102","0.790308057229749"
"Yes","2013","Part Time","Male","298","0.618785257627247","0.574353185127613","0.663217330126882"
"Yes","2013","Part Time","Female","1546","0.651804904009093","0.632352333840273","0.671257474177914"
"Yes","2013","Not Working","Male","728","0.691451266992563","0.663775550425078","0.719126983560048"
"Yes","2013","Not Working","Female","532","0.701184424304448","0.668832310105288","0.733536538503607"
"No","2013","Full Time","Male","1021","0.251740500963136","0.238696732980635","0.264784268945636"
"No","2013","Full Time","Female","506","0.227396970728075","0.209691942770251","0.245101998685898"
"No","2013","Part Time","Male","161","0.381214742372753","0.336782669873118","0.425646814872387"
"No","2013","Part Time","Female","758","0.348195095990907","0.328742525822086","0.367647666159727"
"No","2013","Not Working","Male","342","0.308548733007437","0.280873016439952","0.336224449574923"
"No","2013","Not Working","Female","237","0.298815575695552","0.266463461496392","0.331167689894712"
"Yes","2014","Full Time","Male","3404","0.751034826721289","0.738369821171299","0.763699832271279"
"Yes","2014","Full Time","Female","1766","0.767668399888094","0.750611754952807","0.784725044823382"
"Yes","2014","Part Time","Male","341","0.661837251526586","0.621824406284636","0.701850096768535"
"Yes","2014","Part Time","Female","1533","0.663100605865099","0.644107731417598","0.682093480312601"
"Yes","2014","Not Working","Male","72","0.516409785873804","0.423022504618776","0.609797067128832"
"Yes","2014","Not Working","Female","74","0.522182096283237","0.434263762978754","0.61010042958772"
"No","2014","Full Time","Male","1074","0.248965173278711","0.236300167728721","0.261630178828701"
"No","2014","Full Time","Female","589","0.232331600111906","0.215274955176618","0.249388245047193"
"No","2014","Part Time","Male","196","0.338162748473414","0.298149903231464","0.378175593715364"
"No","2014","Part Time","Female","846","0.336899394134901","0.317906519687399","0.355892268582402"
"No","2014","Not Working","Male","38","0.483590214126196","0.390202932871168","0.576977495381224"
"No","2014","Not Working","Female","50","0.477817903716763","0.38989957041228","0.565736237021246"
"Yes","2015","Full Time","Male","3217","0.77275442533732","0.759930566441568","0.785578284233072"
"Yes","2015","Full Time","Female","1752","0.831054579215905","0.815208605239423","0.846900553192388"
"Yes","2015","Part Time","Male","312","0.660486939710325","0.617212691175321","0.703761188245329"
"Yes","2015","Part Time","Female","1555","0.692220070343423","0.672848603844189","0.711591536842657"
"Yes","2015","Not Working","Male","272","0.723673450389272","0.678712144188767","0.768634756589778"
"Yes","2015","Not Working","Female","171","0.665435748554311","0.607636666698156","0.723234830410467"
"No","2015","Full Time","Male","885","0.22724557466268","0.214421715766928","0.240069433558433"
"No","2015","Full Time","Female","396","0.168945420784095","0.153099446807612","0.184791394760577"
"No","2015","Part Time","Male","148","0.339513060289675","0.296238811754672","0.382787308824679"
"No","2015","Part Time","Female","626","0.307779929656577","0.288408463157343","0.327151396155811"
"No","2015","Not Working","Male","108","0.276326549610728","0.231365243410222","0.321287855811233"
"No","2015","Not Working","Female","85","0.334564251445689","0.276765169589533","0.392363333301844"
"Yes","2016","Full Time","Male","3126","0.790888965297296","0.778208335909839","0.803569594684752"
"Yes","2016","Full Time","Female","1727","0.798014263634016","0.781249149267693","0.814779378000339"
"Yes","2016","Part Time","Male","351","0.642230725716954","0.600669848970865","0.683791602463043"
"Yes","2016","Part Time","Female","1595","0.701362532427288","0.682426887877971","0.720298176976604"
"Yes","2016","Not Working","Male","42","0.570811809138946","0.444514981548382","0.697108636729511"
"Yes","2016","Not Working","Female","55","0.646450070981513","0.544214666650011","0.748685475313014"
"No","2016","Full Time","Male","825","0.209111034702704","0.196430405315247","0.221791664090161"
"No","2016","Full Time","Female","476","0.201985736365984","0.185220621999661","0.218750850732307"
"No","2016","Part Time","Male","160","0.357769274283046","0.316208397536957","0.399330151029135"
"No","2016","Part Time","Female","649","0.298637467572713","0.279701823023396","0.317573112122029"
"No","2016","Not Working","Male","17","","",""
"No","2016","Not Working","Female","29","","",""
"Yes","2017","Full Time","Male","3362","0.782234635726819","0.769887075355013","0.794582196098626"
"Yes","2017","Full Time","Female","1899","0.794098581177586","0.777994798492136","0.810202363863036"
"Yes","2017","Part Time","Male","385","0.682888912618625","0.644619247019384","0.721158578217865"
"Yes","2017","Part Time","Female","1641","0.698040494014119","0.679253121529128","0.716827866499111"
"Yes","2017","Not Working","Male","93","0.797240030312605","0.728652244537322","0.865827816087889"
"Yes","2017","Not Working","Female","51","0.590046152583474","0.487287777136364","0.692804528030584"
"No","2017","Full Time","Male","930","0.217765364273181","0.205417803901374","0.230112924644987"
"No","2017","Full Time","Female","523","0.205901418822414","0.189797636136964","0.222005201507864"
"No","2017","Part Time","Male","183","0.317111087381375","0.278841421782135","0.355380752980616"
"No","2017","Part Time","Female","653","0.301959505985881","0.28317213350089","0.320746878470872"
"No","2017","Not Working","Male","39","0.202759969687395","0.134172183912112","0.271347755462678"
"No","2017","Not Working","Female","37","0.409953847416526","0.307195471969416","0.512712222863636"
"Yes","2018","Full Time","Male","3320","0.774885690841034","0.762455615779238","0.78731576590283"
"Yes","2018","Full Time","Female","1865","0.784593302661885","0.768203955101907","0.800982650221863"
"Yes","2018","Part Time","Male","453","0.698591207646082","0.664909597693322","0.732272817598841"
"Yes","2018","Part Time","Female","1667","0.679767365092574","0.661356403753497","0.698178326431651"
"Yes","2018","Not Working","Male","139","0.722201226519081","0.660432779977756","0.783969673060407"
"Yes","2018","Not Working","Female","73","0.561828653136332","0.46781733724354","0.655839969029125"
"No","2018","Full Time","Male","1017","0.225114309158966","0.21268423409717","0.237544384220762"
"No","2018","Full Time","Female","552","0.215406697338115","0.199017349778137","0.231796044898093"
"No","2018","Part Time","Male","260","0.301408792353918","0.267727182401159","0.335090402306677"
"No","2018","Part Time","Female","800","0.320232634907426","0.301821673568349","0.338643596246503"
"No","2018","Not Working","Male","63","0.277798773480919","0.216030326939593","0.339567220022244"
"No","2018","Not Working","Female","34","0.438171346863668","0.344160030970875","0.532182662756461"
"Yes","2019","Full Time","Male","3107","0.784883540085482","0.77207913570052","0.797687944470445"
"Yes","2019","Full Time","Female","1835","0.798922841487077","0.7825355617423","0.815310121231853"
"Yes","2019","Part Time","Male","415","0.702912537708805","0.666766831662754","0.739058243754856"
"Yes","2019","Part Time","Female","1505","0.728792880022271","0.709947849527022","0.747637910517519"
"Yes","2019","Not Working","Male","100","0.492884065046053","0.413922863533313","0.571845266558794"
"Yes","2019","Not Working","Female","83","0.667288982506615","0.58468829674141","0.749889668271819"
"No","2019","Full Time","Male","849","0.215116459914518","0.202312055529555","0.22792086429948"
"No","2019","Full Time","Female","463","0.201077158512923","0.184689878768147","0.2174644382577"
"No","2019","Part Time","Male","199","0.297087462291195","0.260941756245144","0.333233168337246"
"No","2019","Part Time","Female","633","0.271207119977729","0.252362089482481","0.290052150472978"
"No","2019","Not Working","Male","54","0.507115934953947","0.428154733441207","0.586077136466687"
"No","2019","Not Working","Female","42","0.332711017493385","0.250110331728181","0.41531170325859"
