"plb0196_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1987","Full Time","general elemantary","","","",""
"Yes","1987","Full Time","middle vocational","","","",""
"Yes","1987","Full Time","vocational + Abi","","","",""
"Yes","1987","Full Time","higher vocational","","","",""
"Yes","1987","Full Time","higher education","","","",""
"Yes","1987","Part Time","in school","","","",""
"Yes","1987","Part Time","inadequately","","","",""
"Yes","1987","Part Time","general elemantary","","","",""
"Yes","1987","Part Time","middle vocational","","","",""
"Yes","1987","Part Time","vocational + Abi","","","",""
"Yes","1987","Part Time","higher vocational","","","",""
"Yes","1987","Part Time","higher education","","","",""
"Yes","1987","Not Working","in school","","","",""
"Yes","1987","Not Working","inadequately","","","",""
"Yes","1987","Not Working","general elemantary","","","",""
"Yes","1987","Not Working","middle vocational","","","",""
"Yes","1987","Not Working","vocational + Abi","","","",""
"Yes","1987","Not Working","higher vocational","","","",""
"Yes","1987","Not Working","higher education","","","",""
"No","1987","Full Time","in school","","","",""
"No","1987","Full Time","inadequately","","","",""
"No","1987","Full Time","general elemantary","","","",""
"No","1987","Full Time","middle vocational","","","",""
"No","1987","Full Time","vocational + Abi","","","",""
"No","1987","Full Time","higher vocational","","","",""
"No","1987","Full Time","higher education","","","",""
"No","1987","Part Time","in school","","","",""
"No","1987","Part Time","inadequately","","","",""
"No","1987","Part Time","general elemantary","","","",""
"No","1987","Part Time","middle vocational","","","",""
"No","1987","Part Time","vocational + Abi","","","",""
"No","1987","Part Time","higher vocational","","","",""
"No","1987","Part Time","higher education","","","",""
"No","1987","Not Working","in school","","","",""
"No","1987","Not Working","inadequately","","","",""
"No","1987","Not Working","general elemantary","","","",""
"No","1987","Not Working","middle vocational","","","",""
"No","1987","Not Working","vocational + Abi","","","",""
"No","1987","Not Working","higher vocational","","","",""
"No","1987","Not Working","higher education","","","",""
"Yes","1988","Full Time","in school","","","",""
"Yes","1988","Full Time","inadequately","","","",""
"Yes","1988","Full Time","general elemantary","","","",""
"Yes","1988","Full Time","middle vocational","","","",""
"Yes","1988","Full Time","vocational + Abi","","","",""
"Yes","1988","Full Time","higher vocational","","","",""
"Yes","1988","Full Time","higher education","","","",""
"Yes","1988","Part Time","in school","","","",""
"Yes","1988","Part Time","inadequately","","","",""
"Yes","1988","Part Time","general elemantary","","","",""
"Yes","1988","Part Time","middle vocational","","","",""
"Yes","1988","Part Time","vocational + Abi","","","",""
"Yes","1988","Part Time","higher vocational","","","",""
"Yes","1988","Part Time","higher education","","","",""
"Yes","1988","Not Working","in school","","","",""
"Yes","1988","Not Working","inadequately","","","",""
"Yes","1988","Not Working","general elemantary","","","",""
"Yes","1988","Not Working","middle vocational","","","",""
"Yes","1988","Not Working","vocational + Abi","","","",""
"Yes","1988","Not Working","higher vocational","","","",""
"Yes","1988","Not Working","higher education","","","",""
"No","1988","Full Time","in school","","","",""
"No","1988","Full Time","inadequately","229","1","1","1"
"No","1988","Full Time","general elemantary","680","1","1","1"
"No","1988","Full Time","middle vocational","1478","1","1","1"
"No","1988","Full Time","vocational + Abi","82","1","1","1"
"No","1988","Full Time","higher vocational","150","1","1","1"
"No","1988","Full Time","higher education","216","1","1","1"
"No","1988","Part Time","in school","3","","",""
"No","1988","Part Time","inadequately","58","1","1","1"
"No","1988","Part Time","general elemantary","346","1","1","1"
"No","1988","Part Time","middle vocational","462","1","1","1"
"No","1988","Part Time","vocational + Abi","25","","",""
"No","1988","Part Time","higher vocational","59","1","1","1"
"No","1988","Part Time","higher education","88","1","1","1"
"No","1988","Not Working","in school","2","","",""
"No","1988","Not Working","inadequately","8","","",""
"No","1988","Not Working","general elemantary","28","","",""
"No","1988","Not Working","middle vocational","31","1","1","1"
"No","1988","Not Working","vocational + Abi","3","","",""
"No","1988","Not Working","higher vocational","4","","",""
"No","1988","Not Working","higher education","6","","",""
"Yes","1989","Full Time","in school","","","",""
"Yes","1989","Full Time","inadequately","","","",""
"Yes","1989","Full Time","general elemantary","","","",""
"Yes","1989","Full Time","middle vocational","","","",""
"Yes","1989","Full Time","vocational + Abi","","","",""
"Yes","1989","Full Time","higher vocational","","","",""
"Yes","1989","Full Time","higher education","","","",""
"Yes","1989","Part Time","in school","","","",""
"Yes","1989","Part Time","inadequately","","","",""
"Yes","1989","Part Time","general elemantary","","","",""
"Yes","1989","Part Time","middle vocational","","","",""
"Yes","1989","Part Time","vocational + Abi","","","",""
"Yes","1989","Part Time","higher vocational","","","",""
"Yes","1989","Part Time","higher education","","","",""
"Yes","1989","Not Working","in school","","","",""
"Yes","1989","Not Working","inadequately","","","",""
"Yes","1989","Not Working","general elemantary","","","",""
"Yes","1989","Not Working","middle vocational","","","",""
"Yes","1989","Not Working","vocational + Abi","","","",""
"Yes","1989","Not Working","higher vocational","","","",""
"Yes","1989","Not Working","higher education","","","",""
"No","1989","Full Time","in school","","","",""
"No","1989","Full Time","inadequately","187","1","1","1"
"No","1989","Full Time","general elemantary","661","1","1","1"
"No","1989","Full Time","middle vocational","1401","1","1","1"
"No","1989","Full Time","vocational + Abi","80","1","1","1"
"No","1989","Full Time","higher vocational","157","1","1","1"
"No","1989","Full Time","higher education","203","1","1","1"
"No","1989","Part Time","in school","7","","",""
"No","1989","Part Time","inadequately","65","1","1","1"
"No","1989","Part Time","general elemantary","327","1","1","1"
"No","1989","Part Time","middle vocational","449","1","1","1"
"No","1989","Part Time","vocational + Abi","24","","",""
"No","1989","Part Time","higher vocational","54","1","1","1"
"No","1989","Part Time","higher education","87","1","1","1"
"No","1989","Not Working","in school","3","","",""
"No","1989","Not Working","inadequately","9","","",""
"No","1989","Not Working","general elemantary","30","1","1","1"
"No","1989","Not Working","middle vocational","34","1","1","1"
"No","1989","Not Working","vocational + Abi","4","","",""
"No","1989","Not Working","higher vocational","1","","",""
"No","1989","Not Working","higher education","6","","",""
"Yes","1990","Full Time","in school","","","",""
"Yes","1990","Full Time","inadequately","","","",""
"Yes","1990","Full Time","general elemantary","","","",""
"Yes","1990","Full Time","middle vocational","","","",""
"Yes","1990","Full Time","vocational + Abi","","","",""
"Yes","1990","Full Time","higher vocational","","","",""
"Yes","1990","Full Time","higher education","","","",""
"Yes","1990","Part Time","in school","","","",""
"Yes","1990","Part Time","inadequately","","","",""
"Yes","1990","Part Time","general elemantary","","","",""
"Yes","1990","Part Time","middle vocational","","","",""
"Yes","1990","Part Time","vocational + Abi","","","",""
"Yes","1990","Part Time","higher vocational","","","",""
"Yes","1990","Part Time","higher education","","","",""
"Yes","1990","Not Working","in school","","","",""
"Yes","1990","Not Working","inadequately","","","",""
"Yes","1990","Not Working","general elemantary","","","",""
"Yes","1990","Not Working","middle vocational","","","",""
"Yes","1990","Not Working","vocational + Abi","","","",""
"Yes","1990","Not Working","higher vocational","","","",""
"Yes","1990","Not Working","higher education","","","",""
"No","1990","Full Time","in school","","","",""
"No","1990","Full Time","inadequately","193","1","1","1"
"No","1990","Full Time","general elemantary","606","1","1","1"
"No","1990","Full Time","middle vocational","1322","1","1","1"
"No","1990","Full Time","vocational + Abi","79","1","1","1"
"No","1990","Full Time","higher vocational","144","1","1","1"
"No","1990","Full Time","higher education","175","1","1","1"
"No","1990","Part Time","in school","4","","",""
"No","1990","Part Time","inadequately","71","1","1","1"
"No","1990","Part Time","general elemantary","330","1","1","1"
"No","1990","Part Time","middle vocational","466","1","1","1"
"No","1990","Part Time","vocational + Abi","28","","",""
"No","1990","Part Time","higher vocational","51","1","1","1"
"No","1990","Part Time","higher education","86","1","1","1"
"No","1990","Not Working","in school","2","","",""
"No","1990","Not Working","inadequately","7","","",""
"No","1990","Not Working","general elemantary","25","","",""
"No","1990","Not Working","middle vocational","39","1","1","1"
"No","1990","Not Working","vocational + Abi","","","",""
"No","1990","Not Working","higher vocational","2","","",""
"No","1990","Not Working","higher education","6","","",""
"Yes","1991","Full Time","in school","","","",""
"Yes","1991","Full Time","inadequately","","","",""
"Yes","1991","Full Time","general elemantary","","","",""
"Yes","1991","Full Time","middle vocational","","","",""
"Yes","1991","Full Time","vocational + Abi","","","",""
"Yes","1991","Full Time","higher vocational","","","",""
"Yes","1991","Full Time","higher education","","","",""
"Yes","1991","Part Time","in school","","","",""
"Yes","1991","Part Time","inadequately","","","",""
"Yes","1991","Part Time","general elemantary","","","",""
"Yes","1991","Part Time","middle vocational","","","",""
"Yes","1991","Part Time","vocational + Abi","","","",""
"Yes","1991","Part Time","higher vocational","","","",""
"Yes","1991","Part Time","higher education","","","",""
"Yes","1991","Not Working","in school","","","",""
"Yes","1991","Not Working","inadequately","","","",""
"Yes","1991","Not Working","general elemantary","","","",""
"Yes","1991","Not Working","middle vocational","","","",""
"Yes","1991","Not Working","vocational + Abi","","","",""
"Yes","1991","Not Working","higher vocational","","","",""
"Yes","1991","Not Working","higher education","","","",""
"No","1991","Full Time","in school","","","",""
"No","1991","Full Time","inadequately","183","1","1","1"
"No","1991","Full Time","general elemantary","613","1","1","1"
"No","1991","Full Time","middle vocational","1241","1","1","1"
"No","1991","Full Time","vocational + Abi","76","1","1","1"
"No","1991","Full Time","higher vocational","146","1","1","1"
"No","1991","Full Time","higher education","179","1","1","1"
"No","1991","Part Time","in school","5","","",""
"No","1991","Part Time","inadequately","78","1","1","1"
"No","1991","Part Time","general elemantary","295","1","1","1"
"No","1991","Part Time","middle vocational","471","1","1","1"
"No","1991","Part Time","vocational + Abi","41","1","1","1"
"No","1991","Part Time","higher vocational","58","1","1","1"
"No","1991","Part Time","higher education","95","1","1","1"
"No","1991","Not Working","in school","2","","",""
"No","1991","Not Working","inadequately","11","","",""
"No","1991","Not Working","general elemantary","38","1","1","1"
"No","1991","Not Working","middle vocational","45","1","1","1"
"No","1991","Not Working","vocational + Abi","2","","",""
"No","1991","Not Working","higher vocational","","","",""
"No","1991","Not Working","higher education","10","","",""
"Yes","1992","Full Time","in school","","","",""
"Yes","1992","Full Time","inadequately","","","",""
"Yes","1992","Full Time","general elemantary","","","",""
"Yes","1992","Full Time","middle vocational","","","",""
"Yes","1992","Full Time","vocational + Abi","","","",""
"Yes","1992","Full Time","higher vocational","","","",""
"Yes","1992","Full Time","higher education","","","",""
"Yes","1992","Part Time","in school","","","",""
"Yes","1992","Part Time","inadequately","","","",""
"Yes","1992","Part Time","general elemantary","","","",""
"Yes","1992","Part Time","middle vocational","","","",""
"Yes","1992","Part Time","vocational + Abi","","","",""
"Yes","1992","Part Time","higher vocational","","","",""
"Yes","1992","Part Time","higher education","","","",""
"Yes","1992","Not Working","in school","","","",""
"Yes","1992","Not Working","inadequately","","","",""
"Yes","1992","Not Working","general elemantary","","","",""
"Yes","1992","Not Working","middle vocational","","","",""
"Yes","1992","Not Working","vocational + Abi","","","",""
"Yes","1992","Not Working","higher vocational","","","",""
"Yes","1992","Not Working","higher education","","","",""
"No","1992","Full Time","in school","8","","",""
"No","1992","Full Time","inadequately","178","1","1","1"
"No","1992","Full Time","general elemantary","678","1","1","1"
"No","1992","Full Time","middle vocational","1882","1","1","1"
"No","1992","Full Time","vocational + Abi","100","1","1","1"
"No","1992","Full Time","higher vocational","257","1","1","1"
"No","1992","Full Time","higher education","432","1","1","1"
"No","1992","Part Time","in school","9","","",""
"No","1992","Part Time","inadequately","56","1","1","1"
"No","1992","Part Time","general elemantary","333","1","1","1"
"No","1992","Part Time","middle vocational","652","1","1","1"
"No","1992","Part Time","vocational + Abi","36","1","1","1"
"No","1992","Part Time","higher vocational","69","1","1","1"
"No","1992","Part Time","higher education","168","1","1","1"
"No","1992","Not Working","in school","","","",""
"No","1992","Not Working","inadequately","3","","",""
"No","1992","Not Working","general elemantary","29","","",""
"No","1992","Not Working","middle vocational","50","1","1","1"
"No","1992","Not Working","vocational + Abi","2","","",""
"No","1992","Not Working","higher vocational","1","","",""
"No","1992","Not Working","higher education","13","","",""
"Yes","1993","Full Time","in school","","","",""
"Yes","1993","Full Time","inadequately","","","",""
"Yes","1993","Full Time","general elemantary","","","",""
"Yes","1993","Full Time","middle vocational","","","",""
"Yes","1993","Full Time","vocational + Abi","","","",""
"Yes","1993","Full Time","higher vocational","","","",""
"Yes","1993","Full Time","higher education","","","",""
"Yes","1993","Part Time","in school","","","",""
"Yes","1993","Part Time","inadequately","","","",""
"Yes","1993","Part Time","general elemantary","","","",""
"Yes","1993","Part Time","middle vocational","","","",""
"Yes","1993","Part Time","vocational + Abi","","","",""
"Yes","1993","Part Time","higher vocational","","","",""
"Yes","1993","Part Time","higher education","","","",""
"Yes","1993","Not Working","in school","","","",""
"Yes","1993","Not Working","inadequately","","","",""
"Yes","1993","Not Working","general elemantary","","","",""
"Yes","1993","Not Working","middle vocational","","","",""
"Yes","1993","Not Working","vocational + Abi","","","",""
"Yes","1993","Not Working","higher vocational","","","",""
"Yes","1993","Not Working","higher education","","","",""
"No","1993","Full Time","in school","4","","",""
"No","1993","Full Time","inadequately","181","1","1","1"
"No","1993","Full Time","general elemantary","624","1","1","1"
"No","1993","Full Time","middle vocational","1863","1","1","1"
"No","1993","Full Time","vocational + Abi","107","1","1","1"
"No","1993","Full Time","higher vocational","255","1","1","1"
"No","1993","Full Time","higher education","417","1","1","1"
"No","1993","Part Time","in school","4","","",""
"No","1993","Part Time","inadequately","56","1","1","1"
"No","1993","Part Time","general elemantary","337","1","1","1"
"No","1993","Part Time","middle vocational","625","1","1","1"
"No","1993","Part Time","vocational + Abi","45","1","1","1"
"No","1993","Part Time","higher vocational","55","1","1","1"
"No","1993","Part Time","higher education","150","1","1","1"
"No","1993","Not Working","in school","1","","",""
"No","1993","Not Working","inadequately","9","","",""
"No","1993","Not Working","general elemantary","32","1","1","1"
"No","1993","Not Working","middle vocational","70","1","1","1"
"No","1993","Not Working","vocational + Abi","5","","",""
"No","1993","Not Working","higher vocational","10","","",""
"No","1993","Not Working","higher education","15","","",""
"Yes","1994","Full Time","in school","","","",""
"Yes","1994","Full Time","inadequately","","","",""
"Yes","1994","Full Time","general elemantary","","","",""
"Yes","1994","Full Time","middle vocational","","","",""
"Yes","1994","Full Time","vocational + Abi","","","",""
"Yes","1994","Full Time","higher vocational","","","",""
"Yes","1994","Full Time","higher education","","","",""
"Yes","1994","Part Time","in school","","","",""
"Yes","1994","Part Time","inadequately","","","",""
"Yes","1994","Part Time","general elemantary","","","",""
"Yes","1994","Part Time","middle vocational","","","",""
"Yes","1994","Part Time","vocational + Abi","","","",""
"Yes","1994","Part Time","higher vocational","","","",""
"Yes","1994","Part Time","higher education","","","",""
"Yes","1994","Not Working","in school","","","",""
"Yes","1994","Not Working","inadequately","","","",""
"Yes","1994","Not Working","general elemantary","","","",""
"Yes","1994","Not Working","middle vocational","","","",""
"Yes","1994","Not Working","vocational + Abi","","","",""
"Yes","1994","Not Working","higher vocational","","","",""
"Yes","1994","Not Working","higher education","","","",""
"No","1994","Full Time","in school","4","","",""
"No","1994","Full Time","inadequately","148","1","1","1"
"No","1994","Full Time","general elemantary","529","1","1","1"
"No","1994","Full Time","middle vocational","1736","1","1","1"
"No","1994","Full Time","vocational + Abi","89","1","1","1"
"No","1994","Full Time","higher vocational","241","1","1","1"
"No","1994","Full Time","higher education","411","1","1","1"
"No","1994","Part Time","in school","5","","",""
"No","1994","Part Time","inadequately","65","1","1","1"
"No","1994","Part Time","general elemantary","290","1","1","1"
"No","1994","Part Time","middle vocational","580","1","1","1"
"No","1994","Part Time","vocational + Abi","39","1","1","1"
"No","1994","Part Time","higher vocational","76","1","1","1"
"No","1994","Part Time","higher education","160","1","1","1"
"No","1994","Not Working","in school","1","","",""
"No","1994","Not Working","inadequately","6","","",""
"No","1994","Not Working","general elemantary","25","","",""
"No","1994","Not Working","middle vocational","62","1","1","1"
"No","1994","Not Working","vocational + Abi","4","","",""
"No","1994","Not Working","higher vocational","6","","",""
"No","1994","Not Working","higher education","21","","",""
"Yes","1995","Full Time","in school","","","",""
"Yes","1995","Full Time","inadequately","","","",""
"Yes","1995","Full Time","general elemantary","","","",""
"Yes","1995","Full Time","middle vocational","","","",""
"Yes","1995","Full Time","vocational + Abi","","","",""
"Yes","1995","Full Time","higher vocational","","","",""
"Yes","1995","Full Time","higher education","","","",""
"Yes","1995","Part Time","in school","","","",""
"Yes","1995","Part Time","inadequately","","","",""
"Yes","1995","Part Time","general elemantary","","","",""
"Yes","1995","Part Time","middle vocational","","","",""
"Yes","1995","Part Time","vocational + Abi","","","",""
"Yes","1995","Part Time","higher vocational","","","",""
"Yes","1995","Part Time","higher education","","","",""
"Yes","1995","Not Working","in school","","","",""
"Yes","1995","Not Working","inadequately","","","",""
"Yes","1995","Not Working","general elemantary","","","",""
"Yes","1995","Not Working","middle vocational","","","",""
"Yes","1995","Not Working","vocational + Abi","","","",""
"Yes","1995","Not Working","higher vocational","","","",""
"Yes","1995","Not Working","higher education","","","",""
"No","1995","Full Time","in school","4","","",""
"No","1995","Full Time","inadequately","125","1","1","1"
"No","1995","Full Time","general elemantary","470","1","1","1"
"No","1995","Full Time","middle vocational","1591","1","1","1"
"No","1995","Full Time","vocational + Abi","103","1","1","1"
"No","1995","Full Time","higher vocational","222","1","1","1"
"No","1995","Full Time","higher education","438","1","1","1"
"No","1995","Part Time","in school","2","","",""
"No","1995","Part Time","inadequately","58","1","1","1"
"No","1995","Part Time","general elemantary","306","1","1","1"
"No","1995","Part Time","middle vocational","718","1","1","1"
"No","1995","Part Time","vocational + Abi","58","1","1","1"
"No","1995","Part Time","higher vocational","68","1","1","1"
"No","1995","Part Time","higher education","183","1","1","1"
"No","1995","Not Working","in school","4","","",""
"No","1995","Not Working","inadequately","1","","",""
"No","1995","Not Working","general elemantary","32","1","1","1"
"No","1995","Not Working","middle vocational","85","1","1","1"
"No","1995","Not Working","vocational + Abi","5","","",""
"No","1995","Not Working","higher vocational","7","","",""
"No","1995","Not Working","higher education","16","","",""
"Yes","1996","Full Time","in school","","","",""
"Yes","1996","Full Time","inadequately","","","",""
"Yes","1996","Full Time","general elemantary","","","",""
"Yes","1996","Full Time","middle vocational","","","",""
"Yes","1996","Full Time","vocational + Abi","","","",""
"Yes","1996","Full Time","higher vocational","","","",""
"Yes","1996","Full Time","higher education","","","",""
"Yes","1996","Part Time","in school","","","",""
"Yes","1996","Part Time","inadequately","","","",""
"Yes","1996","Part Time","general elemantary","","","",""
"Yes","1996","Part Time","middle vocational","","","",""
"Yes","1996","Part Time","vocational + Abi","","","",""
"Yes","1996","Part Time","higher vocational","","","",""
"Yes","1996","Part Time","higher education","","","",""
"Yes","1996","Not Working","in school","","","",""
"Yes","1996","Not Working","inadequately","","","",""
"Yes","1996","Not Working","general elemantary","","","",""
"Yes","1996","Not Working","middle vocational","","","",""
"Yes","1996","Not Working","vocational + Abi","","","",""
"Yes","1996","Not Working","higher vocational","","","",""
"Yes","1996","Not Working","higher education","","","",""
"No","1996","Full Time","in school","2","","",""
"No","1996","Full Time","inadequately","97","1","1","1"
"No","1996","Full Time","general elemantary","439","1","1","1"
"No","1996","Full Time","middle vocational","1509","1","1","1"
"No","1996","Full Time","vocational + Abi","111","1","1","1"
"No","1996","Full Time","higher vocational","200","1","1","1"
"No","1996","Full Time","higher education","431","1","1","1"
"No","1996","Part Time","in school","1","","",""
"No","1996","Part Time","inadequately","73","1","1","1"
"No","1996","Part Time","general elemantary","332","1","1","1"
"No","1996","Part Time","middle vocational","745","1","1","1"
"No","1996","Part Time","vocational + Abi","48","1","1","1"
"No","1996","Part Time","higher vocational","76","1","1","1"
"No","1996","Part Time","higher education","187","1","1","1"
"No","1996","Not Working","in school","2","","",""
"No","1996","Not Working","inadequately","1","","",""
"No","1996","Not Working","general elemantary","29","","",""
"No","1996","Not Working","middle vocational","62","1","1","1"
"No","1996","Not Working","vocational + Abi","5","","",""
"No","1996","Not Working","higher vocational","7","","",""
"No","1996","Not Working","higher education","10","","",""
"Yes","1997","Full Time","in school","","","",""
"Yes","1997","Full Time","inadequately","","","",""
"Yes","1997","Full Time","general elemantary","","","",""
"Yes","1997","Full Time","middle vocational","","","",""
"Yes","1997","Full Time","vocational + Abi","","","",""
"Yes","1997","Full Time","higher vocational","","","",""
"Yes","1997","Full Time","higher education","","","",""
"Yes","1997","Part Time","in school","","","",""
"Yes","1997","Part Time","inadequately","","","",""
"Yes","1997","Part Time","general elemantary","","","",""
"Yes","1997","Part Time","middle vocational","","","",""
"Yes","1997","Part Time","vocational + Abi","","","",""
"Yes","1997","Part Time","higher vocational","","","",""
"Yes","1997","Part Time","higher education","","","",""
"Yes","1997","Not Working","in school","","","",""
"Yes","1997","Not Working","inadequately","","","",""
"Yes","1997","Not Working","general elemantary","","","",""
"Yes","1997","Not Working","middle vocational","","","",""
"Yes","1997","Not Working","vocational + Abi","","","",""
"Yes","1997","Not Working","higher vocational","","","",""
"Yes","1997","Not Working","higher education","","","",""
"No","1997","Full Time","in school","1","","",""
"No","1997","Full Time","inadequately","21","","",""
"No","1997","Full Time","general elemantary","156","1","1","1"
"No","1997","Full Time","middle vocational","588","1","1","1"
"No","1997","Full Time","vocational + Abi","43","1","1","1"
"No","1997","Full Time","higher vocational","85","1","1","1"
"No","1997","Full Time","higher education","137","1","1","1"
"No","1997","Part Time","in school","1","","",""
"No","1997","Part Time","inadequately","12","","",""
"No","1997","Part Time","general elemantary","40","1","1","1"
"No","1997","Part Time","middle vocational","195","1","1","1"
"No","1997","Part Time","vocational + Abi","16","","",""
"No","1997","Part Time","higher vocational","22","","",""
"No","1997","Part Time","higher education","56","1","1","1"
"No","1997","Not Working","in school","","","",""
"No","1997","Not Working","inadequately","1","","",""
"No","1997","Not Working","general elemantary","6","","",""
"No","1997","Not Working","middle vocational","9","","",""
"No","1997","Not Working","vocational + Abi","2","","",""
"No","1997","Not Working","higher vocational","","","",""
"No","1997","Not Working","higher education","1","","",""
"Yes","1998","Full Time","in school","","","",""
"Yes","1998","Full Time","inadequately","","","",""
"Yes","1998","Full Time","general elemantary","","","",""
"Yes","1998","Full Time","middle vocational","","","",""
"Yes","1998","Full Time","vocational + Abi","","","",""
"Yes","1998","Full Time","higher vocational","","","",""
"Yes","1998","Full Time","higher education","","","",""
"Yes","1998","Part Time","in school","","","",""
"Yes","1998","Part Time","inadequately","","","",""
"Yes","1998","Part Time","general elemantary","","","",""
"Yes","1998","Part Time","middle vocational","","","",""
"Yes","1998","Part Time","vocational + Abi","","","",""
"Yes","1998","Part Time","higher vocational","","","",""
"Yes","1998","Part Time","higher education","","","",""
"Yes","1998","Not Working","in school","","","",""
"Yes","1998","Not Working","inadequately","","","",""
"Yes","1998","Not Working","general elemantary","","","",""
"Yes","1998","Not Working","middle vocational","","","",""
"Yes","1998","Not Working","vocational + Abi","","","",""
"Yes","1998","Not Working","higher vocational","","","",""
"Yes","1998","Not Working","higher education","","","",""
"No","1998","Full Time","in school","1","","",""
"No","1998","Full Time","inadequately","22","","",""
"No","1998","Full Time","general elemantary","151","1","1","1"
"No","1998","Full Time","middle vocational","595","1","1","1"
"No","1998","Full Time","vocational + Abi","24","","",""
"No","1998","Full Time","higher vocational","86","1","1","1"
"No","1998","Full Time","higher education","144","1","1","1"
"No","1998","Part Time","in school","","","",""
"No","1998","Part Time","inadequately","6","","",""
"No","1998","Part Time","general elemantary","65","1","1","1"
"No","1998","Part Time","middle vocational","234","1","1","1"
"No","1998","Part Time","vocational + Abi","21","","",""
"No","1998","Part Time","higher vocational","21","","",""
"No","1998","Part Time","higher education","65","1","1","1"
"No","1998","Not Working","in school","","","",""
"No","1998","Not Working","inadequately","1","","",""
"No","1998","Not Working","general elemantary","5","","",""
"No","1998","Not Working","middle vocational","9","","",""
"No","1998","Not Working","vocational + Abi","1","","",""
"No","1998","Not Working","higher vocational","1","","",""
"No","1998","Not Working","higher education","6","","",""
"Yes","1999","Full Time","in school","","","",""
"Yes","1999","Full Time","inadequately","","","",""
"Yes","1999","Full Time","general elemantary","","","",""
"Yes","1999","Full Time","middle vocational","","","",""
"Yes","1999","Full Time","vocational + Abi","","","",""
"Yes","1999","Full Time","higher vocational","","","",""
"Yes","1999","Full Time","higher education","","","",""
"Yes","1999","Part Time","in school","","","",""
"Yes","1999","Part Time","inadequately","","","",""
"Yes","1999","Part Time","general elemantary","","","",""
"Yes","1999","Part Time","middle vocational","","","",""
"Yes","1999","Part Time","vocational + Abi","","","",""
"Yes","1999","Part Time","higher vocational","","","",""
"Yes","1999","Part Time","higher education","","","",""
"Yes","1999","Not Working","in school","","","",""
"Yes","1999","Not Working","inadequately","","","",""
"Yes","1999","Not Working","general elemantary","","","",""
"Yes","1999","Not Working","middle vocational","","","",""
"Yes","1999","Not Working","vocational + Abi","","","",""
"Yes","1999","Not Working","higher vocational","","","",""
"Yes","1999","Not Working","higher education","","","",""
"No","1999","Full Time","in school","","","",""
"No","1999","Full Time","inadequately","15","","",""
"No","1999","Full Time","general elemantary","123","1","1","1"
"No","1999","Full Time","middle vocational","592","1","1","1"
"No","1999","Full Time","vocational + Abi","31","1","1","1"
"No","1999","Full Time","higher vocational","82","1","1","1"
"No","1999","Full Time","higher education","146","1","1","1"
"No","1999","Part Time","in school","1","","",""
"No","1999","Part Time","inadequately","7","","",""
"No","1999","Part Time","general elemantary","56","1","1","1"
"No","1999","Part Time","middle vocational","227","1","1","1"
"No","1999","Part Time","vocational + Abi","14","","",""
"No","1999","Part Time","higher vocational","21","","",""
"No","1999","Part Time","higher education","59","1","1","1"
"No","1999","Not Working","in school","","","",""
"No","1999","Not Working","inadequately","","","",""
"No","1999","Not Working","general elemantary","2","","",""
"No","1999","Not Working","middle vocational","12","","",""
"No","1999","Not Working","vocational + Abi","","","",""
"No","1999","Not Working","higher vocational","","","",""
"No","1999","Not Working","higher education","2","","",""
