"plb0196_h","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"No","1987","(2c_gen) general maturity certificate","West Germany","","","",""
"No","1987","(2c_gen) general maturity certificate","East Germany","","","",""
"No","1987","(2c_voc) vocational maturity certificate","West Germany","","","",""
"No","1987","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","1987","(3a) lower tertiary education","West Germany","","","",""
"No","1987","(3a) lower tertiary education","East Germany","","","",""
"No","1987","(3b) higher tertiary education","West Germany","","","",""
"No","1987","(3b) higher tertiary education","East Germany","","","",""
"Yes","1988","(0) in school","West Germany","","","",""
"Yes","1988","(0) in school","East Germany","","","",""
"Yes","1988","(1a) inadequately completed","West Germany","","","",""
"Yes","1988","(1a) inadequately completed","East Germany","","","",""
"Yes","1988","(1b) general elementary school","West Germany","","","",""
"Yes","1988","(1b) general elementary school","East Germany","","","",""
"Yes","1988","(1c) basic vocational qualification","West Germany","","","",""
"Yes","1988","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1988","(2b) intermediate general qualification","West Germany","","","",""
"Yes","1988","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1988","(2a) intermediate vocational","West Germany","","","",""
"Yes","1988","(2a) intermediate vocational","East Germany","","","",""
"Yes","1988","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","1988","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1988","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","1988","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1988","(3a) lower tertiary education","West Germany","","","",""
"Yes","1988","(3a) lower tertiary education","East Germany","","","",""
"Yes","1988","(3b) higher tertiary education","West Germany","","","",""
"Yes","1988","(3b) higher tertiary education","East Germany","","","",""
"No","1988","(0) in school","West Germany","5","","",""
"No","1988","(0) in school","East Germany","","","",""
"No","1988","(1a) inadequately completed","West Germany","325","1","1","1"
"No","1988","(1a) inadequately completed","East Germany","","","",""
"No","1988","(1b) general elementary school","West Germany","887","1","1","1"
"No","1988","(1b) general elementary school","East Germany","","","",""
"No","1988","(1c) basic vocational qualification","West Germany","1442","1","1","1"
"No","1988","(1c) basic vocational qualification","East Germany","","","",""
"No","1988","(2b) intermediate general qualification","West Germany","177","1","1","1"
"No","1988","(2b) intermediate general qualification","East Germany","","","",""
"No","1988","(2a) intermediate vocational","West Germany","542","1","1","1"
"No","1988","(2a) intermediate vocational","East Germany","","","",""
"No","1988","(2c_gen) general maturity certificate","West Germany","107","1","1","1"
"No","1988","(2c_gen) general maturity certificate","East Germany","","","",""
"No","1988","(2c_voc) vocational maturity certificate","West Germany","147","1","1","1"
"No","1988","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","1988","(3a) lower tertiary education","West Germany","93","1","1","1"
"No","1988","(3a) lower tertiary education","East Germany","","","",""
"No","1988","(3b) higher tertiary education","West Germany","217","1","1","1"
"No","1988","(3b) higher tertiary education","East Germany","","","",""
"Yes","1989","(0) in school","West Germany","","","",""
"Yes","1989","(0) in school","East Germany","","","",""
"Yes","1989","(1a) inadequately completed","West Germany","","","",""
"Yes","1989","(1a) inadequately completed","East Germany","","","",""
"Yes","1989","(1b) general elementary school","West Germany","","","",""
"Yes","1989","(1b) general elementary school","East Germany","","","",""
"Yes","1989","(1c) basic vocational qualification","West Germany","","","",""
"Yes","1989","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1989","(2b) intermediate general qualification","West Germany","","","",""
"Yes","1989","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1989","(2a) intermediate vocational","West Germany","","","",""
"Yes","1989","(2a) intermediate vocational","East Germany","","","",""
"Yes","1989","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","1989","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1989","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","1989","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1989","(3a) lower tertiary education","West Germany","","","",""
"Yes","1989","(3a) lower tertiary education","East Germany","","","",""
"Yes","1989","(3b) higher tertiary education","West Germany","","","",""
"Yes","1989","(3b) higher tertiary education","East Germany","","","",""
"No","1989","(0) in school","West Germany","10","","",""
"No","1989","(0) in school","East Germany","","","",""
"No","1989","(1a) inadequately completed","West Germany","299","1","1","1"
"No","1989","(1a) inadequately completed","East Germany","","","",""
"No","1989","(1b) general elementary school","West Germany","865","1","1","1"
"No","1989","(1b) general elementary school","East Germany","","","",""
"No","1989","(1c) basic vocational qualification","West Germany","1367","1","1","1"
"No","1989","(1c) basic vocational qualification","East Germany","","","",""
"No","1989","(2b) intermediate general qualification","West Germany","161","1","1","1"
"No","1989","(2b) intermediate general qualification","East Germany","","","",""
"No","1989","(2a) intermediate vocational","West Germany","512","1","1","1"
"No","1989","(2a) intermediate vocational","East Germany","","","",""
"No","1989","(2c_gen) general maturity certificate","West Germany","115","1","1","1"
"No","1989","(2c_gen) general maturity certificate","East Germany","","","",""
"No","1989","(2c_voc) vocational maturity certificate","West Germany","150","1","1","1"
"No","1989","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","1989","(3a) lower tertiary education","West Germany","88","1","1","1"
"No","1989","(3a) lower tertiary education","East Germany","","","",""
"No","1989","(3b) higher tertiary education","West Germany","208","1","1","1"
"No","1989","(3b) higher tertiary education","East Germany","","","",""
"Yes","1990","(0) in school","West Germany","","","",""
"Yes","1990","(0) in school","East Germany","","","",""
"Yes","1990","(1a) inadequately completed","West Germany","","","",""
"Yes","1990","(1a) inadequately completed","East Germany","","","",""
"Yes","1990","(1b) general elementary school","West Germany","","","",""
"Yes","1990","(1b) general elementary school","East Germany","","","",""
"Yes","1990","(1c) basic vocational qualification","West Germany","","","",""
"Yes","1990","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1990","(2b) intermediate general qualification","West Germany","","","",""
"Yes","1990","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1990","(2a) intermediate vocational","West Germany","","","",""
"Yes","1990","(2a) intermediate vocational","East Germany","","","",""
"Yes","1990","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1990","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1990","(3a) lower tertiary education","West Germany","","","",""
"Yes","1990","(3a) lower tertiary education","East Germany","","","",""
"Yes","1990","(3b) higher tertiary education","West Germany","","","",""
"Yes","1990","(3b) higher tertiary education","East Germany","","","",""
"No","1990","(0) in school","West Germany","6","","",""
"No","1990","(0) in school","East Germany","","","",""
"No","1990","(1a) inadequately completed","West Germany","295","1","1","1"
"No","1990","(1a) inadequately completed","East Germany","","","",""
"No","1990","(1b) general elementary school","West Germany","814","1","1","1"
"No","1990","(1b) general elementary school","East Germany","","","",""
"No","1990","(1c) basic vocational qualification","West Germany","1312","1","1","1"
"No","1990","(1c) basic vocational qualification","East Germany","","","",""
"No","1990","(2b) intermediate general qualification","West Germany","158","1","1","1"
"No","1990","(2b) intermediate general qualification","East Germany","","","",""
"No","1990","(2a) intermediate vocational","West Germany","505","1","1","1"
"No","1990","(2a) intermediate vocational","East Germany","","","",""
"No","1990","(2c_gen) general maturity certificate","West Germany","115","1","1","1"
"No","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"No","1990","(2c_voc) vocational maturity certificate","West Germany","147","1","1","1"
"No","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","1990","(3a) lower tertiary education","West Germany","92","1","1","1"
"No","1990","(3a) lower tertiary education","East Germany","","","",""
"No","1990","(3b) higher tertiary education","West Germany","175","1","1","1"
"No","1990","(3b) higher tertiary education","East Germany","","","",""
"Yes","1991","(0) in school","West Germany","","","",""
"Yes","1991","(0) in school","East Germany","","","",""
"Yes","1991","(1a) inadequately completed","West Germany","","","",""
"Yes","1991","(1a) inadequately completed","East Germany","","","",""
"Yes","1991","(1b) general elementary school","West Germany","","","",""
"Yes","1991","(1b) general elementary school","East Germany","","","",""
"Yes","1991","(1c) basic vocational qualification","West Germany","","","",""
"Yes","1991","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1991","(2b) intermediate general qualification","West Germany","","","",""
"Yes","1991","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1991","(2a) intermediate vocational","West Germany","","","",""
"Yes","1991","(2a) intermediate vocational","East Germany","","","",""
"Yes","1991","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","1991","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1991","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","1991","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1991","(3a) lower tertiary education","West Germany","","","",""
"Yes","1991","(3a) lower tertiary education","East Germany","","","",""
"Yes","1991","(3b) higher tertiary education","West Germany","","","",""
"Yes","1991","(3b) higher tertiary education","East Germany","","","",""
"No","1991","(0) in school","West Germany","7","","",""
"No","1991","(0) in school","East Germany","","","",""
"No","1991","(1a) inadequately completed","West Germany","298","1","1","1"
"No","1991","(1a) inadequately completed","East Germany","13","","",""
"No","1991","(1b) general elementary school","West Germany","815","1","1","1"
"No","1991","(1b) general elementary school","East Germany","62","1","1","1"
"No","1991","(1c) basic vocational qualification","West Germany","1289","1","1","1"
"No","1991","(1c) basic vocational qualification","East Germany","551","1","1","1"
"No","1991","(2b) intermediate general qualification","West Germany","145","1","1","1"
"No","1991","(2b) intermediate general qualification","East Germany","82","1","1","1"
"No","1991","(2a) intermediate vocational","West Germany","476","1","1","1"
"No","1991","(2a) intermediate vocational","East Germany","764","1","1","1"
"No","1991","(2c_gen) general maturity certificate","West Germany","107","1","1","1"
"No","1991","(2c_gen) general maturity certificate","East Germany","5","","",""
"No","1991","(2c_voc) vocational maturity certificate","West Germany","168","1","1","1"
"No","1991","(2c_voc) vocational maturity certificate","East Germany","44","1","1","1"
"No","1991","(3a) lower tertiary education","West Germany","91","1","1","1"
"No","1991","(3a) lower tertiary education","East Germany","306","1","1","1"
"No","1991","(3b) higher tertiary education","West Germany","194","1","1","1"
"No","1991","(3b) higher tertiary education","East Germany","138","1","1","1"
"Yes","1992","(0) in school","West Germany","","","",""
"Yes","1992","(0) in school","East Germany","","","",""
"Yes","1992","(1a) inadequately completed","West Germany","","","",""
"Yes","1992","(1a) inadequately completed","East Germany","","","",""
"Yes","1992","(1b) general elementary school","West Germany","","","",""
"Yes","1992","(1b) general elementary school","East Germany","","","",""
"Yes","1992","(1c) basic vocational qualification","West Germany","","","",""
"Yes","1992","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1992","(2b) intermediate general qualification","West Germany","","","",""
"Yes","1992","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1992","(2a) intermediate vocational","West Germany","","","",""
"Yes","1992","(2a) intermediate vocational","East Germany","","","",""
"Yes","1992","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","1992","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1992","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","1992","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1992","(3a) lower tertiary education","West Germany","","","",""
"Yes","1992","(3a) lower tertiary education","East Germany","","","",""
"Yes","1992","(3b) higher tertiary education","West Germany","","","",""
"Yes","1992","(3b) higher tertiary education","East Germany","","","",""
"No","1992","(0) in school","West Germany","10","","",""
"No","1992","(0) in school","East Germany","","","",""
"No","1992","(1a) inadequately completed","West Germany","257","1","1","1"
"No","1992","(1a) inadequately completed","East Germany","18","","",""
"No","1992","(1b) general elementary school","West Germany","783","1","1","1"
"No","1992","(1b) general elementary school","East Germany","48","1","1","1"
"No","1992","(1c) basic vocational qualification","West Germany","1268","1","1","1"
"No","1992","(1c) basic vocational qualification","East Germany","389","1","1","1"
"No","1992","(2b) intermediate general qualification","West Germany","135","1","1","1"
"No","1992","(2b) intermediate general qualification","East Germany","81","1","1","1"
"No","1992","(2a) intermediate vocational","West Germany","491","1","1","1"
"No","1992","(2a) intermediate vocational","East Germany","528","1","1","1"
"No","1992","(2c_gen) general maturity certificate","West Germany","109","1","1","1"
"No","1992","(2c_gen) general maturity certificate","East Germany","9","","",""
"No","1992","(2c_voc) vocational maturity certificate","West Germany","172","1","1","1"
"No","1992","(2c_voc) vocational maturity certificate","East Germany","24","","",""
"No","1992","(3a) lower tertiary education","West Germany","103","1","1","1"
"No","1992","(3a) lower tertiary education","East Germany","230","1","1","1"
"No","1992","(3b) higher tertiary education","West Germany","180","1","1","1"
"No","1992","(3b) higher tertiary education","East Germany","100","1","1","1"
"Yes","1993","(0) in school","West Germany","","","",""
"Yes","1993","(0) in school","East Germany","","","",""
"Yes","1993","(1a) inadequately completed","West Germany","","","",""
"Yes","1993","(1a) inadequately completed","East Germany","","","",""
"Yes","1993","(1b) general elementary school","West Germany","","","",""
"Yes","1993","(1b) general elementary school","East Germany","","","",""
"Yes","1993","(1c) basic vocational qualification","West Germany","","","",""
"Yes","1993","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1993","(2b) intermediate general qualification","West Germany","","","",""
"Yes","1993","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1993","(2a) intermediate vocational","West Germany","","","",""
"Yes","1993","(2a) intermediate vocational","East Germany","","","",""
"Yes","1993","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","1993","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1993","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","1993","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1993","(3a) lower tertiary education","West Germany","","","",""
"Yes","1993","(3a) lower tertiary education","East Germany","","","",""
"Yes","1993","(3b) higher tertiary education","West Germany","","","",""
"Yes","1993","(3b) higher tertiary education","East Germany","","","",""
"No","1993","(0) in school","West Germany","3","","",""
"No","1993","(0) in school","East Germany","","","",""
"No","1993","(1a) inadequately completed","West Germany","269","1","1","1"
"No","1993","(1a) inadequately completed","East Germany","11","","",""
"No","1993","(1b) general elementary school","West Germany","767","1","1","1"
"No","1993","(1b) general elementary school","East Germany","25","","",""
"No","1993","(1c) basic vocational qualification","West Germany","1303","1","1","1"
"No","1993","(1c) basic vocational qualification","East Germany","286","1","1","1"
"No","1993","(2b) intermediate general qualification","West Germany","129","1","1","1"
"No","1993","(2b) intermediate general qualification","East Germany","79","1","1","1"
"No","1993","(2a) intermediate vocational","West Germany","523","1","1","1"
"No","1993","(2a) intermediate vocational","East Germany","517","1","1","1"
"No","1993","(2c_gen) general maturity certificate","West Germany","118","1","1","1"
"No","1993","(2c_gen) general maturity certificate","East Germany","18","","",""
"No","1993","(2c_voc) vocational maturity certificate","West Germany","186","1","1","1"
"No","1993","(2c_voc) vocational maturity certificate","East Germany","25","","",""
"No","1993","(3a) lower tertiary education","West Germany","109","1","1","1"
"No","1993","(3a) lower tertiary education","East Germany","204","1","1","1"
"No","1993","(3b) higher tertiary education","West Germany","186","1","1","1"
"No","1993","(3b) higher tertiary education","East Germany","83","1","1","1"
"Yes","1994","(0) in school","West Germany","","","",""
"Yes","1994","(0) in school","East Germany","","","",""
"Yes","1994","(1a) inadequately completed","West Germany","","","",""
"Yes","1994","(1a) inadequately completed","East Germany","","","",""
"Yes","1994","(1b) general elementary school","West Germany","","","",""
"Yes","1994","(1b) general elementary school","East Germany","","","",""
"Yes","1994","(1c) basic vocational qualification","West Germany","","","",""
"Yes","1994","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1994","(2b) intermediate general qualification","West Germany","","","",""
"Yes","1994","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1994","(2a) intermediate vocational","West Germany","","","",""
"Yes","1994","(2a) intermediate vocational","East Germany","","","",""
"Yes","1994","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","1994","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1994","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","1994","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1994","(3a) lower tertiary education","West Germany","","","",""
"Yes","1994","(3a) lower tertiary education","East Germany","","","",""
"Yes","1994","(3b) higher tertiary education","West Germany","","","",""
"Yes","1994","(3b) higher tertiary education","East Germany","","","",""
"No","1994","(0) in school","West Germany","2","","",""
"No","1994","(0) in school","East Germany","","","",""
"No","1994","(1a) inadequately completed","West Germany","245","1","1","1"
"No","1994","(1a) inadequately completed","East Germany","12","","",""
"No","1994","(1b) general elementary school","West Germany","629","1","1","1"
"No","1994","(1b) general elementary school","East Germany","33","1","1","1"
"No","1994","(1c) basic vocational qualification","West Germany","1170","1","1","1"
"No","1994","(1c) basic vocational qualification","East Germany","253","1","1","1"
"No","1994","(2b) intermediate general qualification","West Germany","110","1","1","1"
"No","1994","(2b) intermediate general qualification","East Germany","77","1","1","1"
"No","1994","(2a) intermediate vocational","West Germany","524","1","1","1"
"No","1994","(2a) intermediate vocational","East Germany","482","1","1","1"
"No","1994","(2c_gen) general maturity certificate","West Germany","124","1","1","1"
"No","1994","(2c_gen) general maturity certificate","East Germany","23","","",""
"No","1994","(2c_voc) vocational maturity certificate","West Germany","167","1","1","1"
"No","1994","(2c_voc) vocational maturity certificate","East Germany","21","","",""
"No","1994","(3a) lower tertiary education","West Germany","117","1","1","1"
"No","1994","(3a) lower tertiary education","East Germany","174","1","1","1"
"No","1994","(3b) higher tertiary education","West Germany","207","1","1","1"
"No","1994","(3b) higher tertiary education","East Germany","94","1","1","1"
"Yes","1995","(0) in school","West Germany","","","",""
"Yes","1995","(0) in school","East Germany","","","",""
"Yes","1995","(1a) inadequately completed","West Germany","","","",""
"Yes","1995","(1a) inadequately completed","East Germany","","","",""
"Yes","1995","(1b) general elementary school","West Germany","","","",""
"Yes","1995","(1b) general elementary school","East Germany","","","",""
"Yes","1995","(1c) basic vocational qualification","West Germany","","","",""
"Yes","1995","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1995","(2b) intermediate general qualification","West Germany","","","",""
"Yes","1995","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1995","(2a) intermediate vocational","West Germany","","","",""
"Yes","1995","(2a) intermediate vocational","East Germany","","","",""
"Yes","1995","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","1995","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1995","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","1995","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1995","(3a) lower tertiary education","West Germany","","","",""
"Yes","1995","(3a) lower tertiary education","East Germany","","","",""
"Yes","1995","(3b) higher tertiary education","West Germany","","","",""
"Yes","1995","(3b) higher tertiary education","East Germany","","","",""
"No","1995","(0) in school","West Germany","5","","",""
"No","1995","(0) in school","East Germany","","","",""
"No","1995","(1a) inadequately completed","West Germany","197","1","1","1"
"No","1995","(1a) inadequately completed","East Germany","10","","",""
"No","1995","(1b) general elementary school","West Germany","598","1","1","1"
"No","1995","(1b) general elementary school","East Germany","30","1","1","1"
"No","1995","(1c) basic vocational qualification","West Germany","1158","1","1","1"
"No","1995","(1c) basic vocational qualification","East Germany","244","1","1","1"
"No","1995","(2b) intermediate general qualification","West Germany","117","1","1","1"
"No","1995","(2b) intermediate general qualification","East Germany","74","1","1","1"
"No","1995","(2a) intermediate vocational","West Germany","532","1","1","1"
"No","1995","(2a) intermediate vocational","East Germany","487","1","1","1"
"No","1995","(2c_gen) general maturity certificate","West Germany","135","1","1","1"
"No","1995","(2c_gen) general maturity certificate","East Germany","28","","",""
"No","1995","(2c_voc) vocational maturity certificate","West Germany","185","1","1","1"
"No","1995","(2c_voc) vocational maturity certificate","East Germany","26","","",""
"No","1995","(3a) lower tertiary education","West Germany","129","1","1","1"
"No","1995","(3a) lower tertiary education","East Germany","184","1","1","1"
"No","1995","(3b) higher tertiary education","West Germany","230","1","1","1"
"No","1995","(3b) higher tertiary education","East Germany","94","1","1","1"
"Yes","1996","(0) in school","West Germany","","","",""
"Yes","1996","(0) in school","East Germany","","","",""
"Yes","1996","(1a) inadequately completed","West Germany","","","",""
"Yes","1996","(1a) inadequately completed","East Germany","","","",""
"Yes","1996","(1b) general elementary school","West Germany","","","",""
"Yes","1996","(1b) general elementary school","East Germany","","","",""
"Yes","1996","(1c) basic vocational qualification","West Germany","","","",""
"Yes","1996","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1996","(2b) intermediate general qualification","West Germany","","","",""
"Yes","1996","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1996","(2a) intermediate vocational","West Germany","","","",""
"Yes","1996","(2a) intermediate vocational","East Germany","","","",""
"Yes","1996","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","1996","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1996","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","1996","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1996","(3a) lower tertiary education","West Germany","","","",""
"Yes","1996","(3a) lower tertiary education","East Germany","","","",""
"Yes","1996","(3b) higher tertiary education","West Germany","","","",""
"Yes","1996","(3b) higher tertiary education","East Germany","","","",""
"No","1996","(0) in school","West Germany","3","","",""
"No","1996","(0) in school","East Germany","","","",""
"No","1996","(1a) inadequately completed","West Germany","185","1","1","1"
"No","1996","(1a) inadequately completed","East Germany","8","","",""
"No","1996","(1b) general elementary school","West Germany","578","1","1","1"
"No","1996","(1b) general elementary school","East Germany","36","1","1","1"
"No","1996","(1c) basic vocational qualification","West Germany","1136","1","1","1"
"No","1996","(1c) basic vocational qualification","East Germany","214","1","1","1"
"No","1996","(2b) intermediate general qualification","West Germany","123","1","1","1"
"No","1996","(2b) intermediate general qualification","East Germany","70","1","1","1"
"No","1996","(2a) intermediate vocational","West Germany","506","1","1","1"
"No","1996","(2a) intermediate vocational","East Germany","488","1","1","1"
"No","1996","(2c_gen) general maturity certificate","West Germany","120","1","1","1"
"No","1996","(2c_gen) general maturity certificate","East Germany","21","","",""
"No","1996","(2c_voc) vocational maturity certificate","West Germany","178","1","1","1"
"No","1996","(2c_voc) vocational maturity certificate","East Germany","32","1","1","1"
"No","1996","(3a) lower tertiary education","West Germany","126","1","1","1"
"No","1996","(3a) lower tertiary education","East Germany","189","1","1","1"
"No","1996","(3b) higher tertiary education","West Germany","223","1","1","1"
"No","1996","(3b) higher tertiary education","East Germany","90","1","1","1"
"Yes","1997","(0) in school","West Germany","","","",""
"Yes","1997","(0) in school","East Germany","","","",""
"Yes","1997","(1a) inadequately completed","West Germany","","","",""
"Yes","1997","(1a) inadequately completed","East Germany","","","",""
"Yes","1997","(1b) general elementary school","West Germany","","","",""
"Yes","1997","(1b) general elementary school","East Germany","","","",""
"Yes","1997","(1c) basic vocational qualification","West Germany","","","",""
"Yes","1997","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1997","(2b) intermediate general qualification","West Germany","","","",""
"Yes","1997","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1997","(2a) intermediate vocational","West Germany","","","",""
"Yes","1997","(2a) intermediate vocational","East Germany","","","",""
"Yes","1997","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","1997","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1997","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","1997","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1997","(3a) lower tertiary education","West Germany","","","",""
"Yes","1997","(3a) lower tertiary education","East Germany","","","",""
